Great 	 Baldwin great location near Union Square Chinatown . room average size many area small compare many new hotel . stay Thanksgiving Friday . noisy Thursday night quiet Friday night . stay 2 day shopping special include free parking taxis also include . use mainly sleep change clothe . room clean staff helpful ! ! ! would stay . 
 great value 	 stay good sized Queen room recently renovate , good light flat screen tv . accommodation basic , clean comfortable . staff friendly helpful . amazing low rate post website , include parking . location central , safe convenient , close shopping , downtown , Chinatown , restaurant public transportation . this place stay want pamper cater , great value price . 
 Feb 26 2009 	 clean hotel fantastic location $ 77 / night ... can not beat ! 	 boyfriend spend 4 night completely satisfied choice ! advice someone site check priceline.com get we room $ 77 / night . price list back room door say $ 199 / night . ( would definately worth ) .room : - clean , high ceiling , basic ( even hairdryer ... look ... 's dresser drawer - have wireless internet not free . various price - basically long get cheap per day . get 3 day $ 25.- view room 407 pretty - space building pipe . not care , spend time room 's much explore SF ? ! -noise level room 407 good ( beside elevator ) -had heat ( apparently previous reviewer not ? ) rest Hotel : - couple couch , vend machine , coffee / tea / hot water lobby ... 's . microwave hotel would nice.- complaint staff - keep luggage safe last day explore check - out flight . location : - chinatown meet upscale high - class downtown . hotel upscale side.-easy walk distance anything want ... even fisherman 's wharf 30 minute walk . ( nice walk ... see chinatown morph little italy mostly apartment fisherman 's wharf ) 
 Feb 15 2009 	 solid 2 star hotel 	 leave Baldwin four night stay mixed feeling . hotel remind well B & amp ; b hotel one might find London Paris . nice clean room spotless bath , amenity . even lobby coffee foul ! also , watch loading / unload zone front hotel . park ten minute , unload bag check hotel , find $ 60 ticket return move car parking garage 2 block away . front desk smile say & quot ; sorry ! & quot ; good size rear corner room double bed , nicely furnish view rooftop . however , heat ! attempt repair weekend offer use portable electric . stay numerous S.F . hotel 40 year , would probably come back Baldwin . right recession find similar deal 3 4 star hotel nearby . bother bare bone Baldwin ? 
 Jan 9 2009 	 Great Location ! 	 husband stay Hotel Baldwin Dec 27 - 31 , 2008 . price $ 82+/night , bad choice - room basic adequate . hotel staff always friendly happy help . couple thing watch :1 . happy pay internet connection , even use hotel 's PC lobby ( $ 5 20 minute ) . one would need pay internet connection room well - sure much internet card , though.2 . choose stay hotel , please get room away lift , mention early review , hear noisy lift shaft room every time 's use . say , location great - less 5 minute walk Union Square , lot cafe area Loehmann 's ( designer clothing / accessory bargain store ) around corner . catch cable car 1.5 block away - mere 3 minute stroll hotel . breakfast serve hotel coffee tea lobby every morning . deter anyone get nice breakfast cafe nearby . although hotel right front chinatown gate , one would still walk block get chinese food store right Gate sell mostly antique oriental souvenir . restaurant / bar call E & amp ; Trading Company Sutter Street ( around corner hotel ) really worth try - great southeast asian food lovely environment . overall , nice hotel live - would great provide free internet well . 
 Dec 23 2008 	 gem place 	 stay 4 night early December . worried might disaster consider low cost fantastic little place . ' good ' side Union Square designer store doorstep . honestly work Travel stay top hotel location place can not beat . not expect luxury . facility non - existent , want nice room perfect location good price , can not beat little gem . staff friendly stay extremely pleasant . 
 Nov 28 2008 	 great hotel be Deaf . 	 hotel pretty good value , find noisy , especially Saturday night . the room quite nice price . bed comfortable . room clean . view good . unfortunately everything seem make noise : elevator , right next , make horrible chunk noise whenever anyone use . could easily hear people adjacent room . pipe shriek . unfortunately , think large room ( Queens , suite ) close elevator . either get double bring earplug . less loud Sunday Monday night ( less guest less use Elevator ) 
 Nov 17 2008 	 second stay Baldwin - meet expectation 	 second trip SF , time parent ( be never ) .As everyone mention , hotel strategically locate near Union Square ( shopping ) Chinatown ( good / cheap eat imo ) . also couple block away Montgomery train station ( BART / muni train ) bus line Market street . furthermore , also block away Cablecar line , great tourist like we . the room stay ( # 305 ) clean , although little small , perfect need . stay two night problem whatsoever . serve coffee morning , breakfast . staff friendly helpful . problem . would stay travel SF future . convenience unbeatable . price fair location . 
 Nov 17 2008 	 bit noisy - right next elevator shaft 	 room 301 situate right next elevator could hear elevator go time . pay $ 250 2 night peak time ( Nike Women 's Marathon ) likely good deal place close Union Square time , however not think room much noise 's challenging get sleep . 
 Nov 12 2008 	 Fantastic Location 	 hotel fantastic location , block Union Square , close shop restaurant , could not ask more . the room inself fairly standard , top mark cleanliness . the double bed quite small , good thing could open window fresh air , like many hotel USA air conditioning . the tea coffee make facility reception , rather room , big deal lift quick take 2 min go grab hot drink . the staff helpful , not see housekeeping staff , receptionist could not enough we . would certainly stay would recommend anyone . 
 Nov 2 2008 	 central location friendly atmosphere . 	 stay early October even though do homework location , pleasantly pleased hotel location . heart city , step away chinatown easy access two cable car line street car , give quick tranportation main attraction area . ok street noise centre city lift hear enough disturb you . our room ninth floor view window overlook roof top lovely , bathroom modern , handy safe deposit box room extra charge . we find hotel recepitionist helpful . 
 Oct 30 2008 	 great location great hotel 	 great little hotel price visit San Francisco . staff friendly helpful ; room not huge , grant - clean well tend . it be location winner , timid nature feel safe night ; transport - wise cable - car bus everywhere couple block away ; Market Street / Union Square ( shopping - incline nature ) short walk ( nay mere leap ) ; right start Chinatown . if visit SF not coupe room anyway , apart come back wash change go - would highly recommend hotel - say tin well without pretention . 
 Oct 28 2008 	 good location nice clean hotel 	 stay two night Oct 24 - 26th . reason , lot hotel sell weekend end . 5 minute walk Bart Station Montgomery St . stayed room 302 142 / night . air conditioning room , ceiling fan sufficient . open window additional breeze , previous poster , noise factor . bathroom small clean . desk chair , flat screen tv , blow dryer drawer tv , queen size bed . would stay . 
 Oct 28 2008 	 pick Winner ! 	 first time San Francisco overwhelmed choice Trip Advisor . little hotel seem stand excellent location affordable price . super worry free week . day would step onto street new adventure . also take advantage 3 day transit pass work great . hotel walk alot destination incline . the front desk polite efficient help arrange shuttle trip back airport . clean staff awesome ! ! ! 
 Oct 27 2008 	 good value 	 hotel nice central location close Chinatown Union Square . recption staff friendly room nice clean ( although bemused find everything tv remote control hairdryer nail / screw / velcroed / glue furniture ) good value money . 
 Oct 26 2008 	 great location pleasant hotel 	 decent hotel great location . China town Union square short walking distance . hotel clean bathroom recently renovate . keep mind hotel quite noisy location . sensitive noise would recommend th Baldwin . earplug prove useful . great hotel city break . 
 Oct 20 2008 	 good value 	 wife stay Baldwin five night end September , 2008 . location ideal , although vibrant neighborhood bustle city obvious nighttime noise . nothing overwhelming . great access restaurant , store public transit . the building , old , clearly well maintain lot character . room ( two , helpful staff allow we move away room near elevator day 1 ) good , update bathroom . room lack frill , excellent price . mattresse hard . only complaint would noise appear elevator shaft . elevator function well we , make tremendous racket operation could hear clearly loudly first room ( ending & quot ; 1 & quot ; ) could even hear faintly & quot ; 2 & quot ; room . but overall , Baldwin excellent home trip . 
 Oct 12 2008 	 Great Hotel 	 great hotel , smile staff . everything great , old hotel hear elevator trafic all . great service way , staff willing help out . have game ticket send hotel arrive first thing give football game ticket , another great service . one thing miss small fridge though , ice bucket dosnt cut . 
 Oct 12 2008 	 fantastic location great deal 	 hotel complete gem . the location absolutely fantastic - within walking distance 2 BART station , cable car line , Union Square Chinatown . front desk staff helpful . room tired look way look clean lot year . look like clean lot bad thing room ! shower good elevator slow . apart think great hotel people plan lot shopping party San Francisco . 
 Oct 10 2008 	 would recommend ! 	 excellent location , step Chinatown , block Union Square , BART cable car . clean room bathroom , bearable noise ( come room tired , not even pay attention ) ) ) , friendly staff , cheap rate . would stay without doubt , pleased . 
 Oct 7 2008 	 nice area 	 conclusion tour across america . the hotel comfortable right need . the location nice right really short walk union square simply jump various transport available . what shame many beggar drunk around . 
 Oct 6 2008 	 little beauty 	 Stayed baldwin 3 night mid sept 2008 could not pleased . TA toss gem . baldwin fantasic location , clean front desk staff polite helpful . room nice perfectly adequate need . come san francisco touristy thing accomadation need live baldwin little beauty . would definetly recommend . 
 Sep 30 2008 	 Perfect little Hotel heart ! 	 stay 4 night Baldwin end September wonderful time ! hotel perfectly locate , right center ! charming place , room perfect comfortable , private bath ! ! hotel staff helpful knowledgable city , ect ! stay future ! absolutely love Baldwin ! 
 Sep 12 2008 	 decent value great location 	 PROS : Baldwin Hotel location can not beat . husband choose hotel easily accessible near Montgomery BART station venue wedding attend . also , block away Chinatown ( literally see Chinatown gate hotel doorway ) , North Beach , amidst great downtown SF shopping . staff helpful housekeeping service good . room decor classy clean . con : free internet service seem crazy day age , especially city like San Francisco . also , elevator loud old machine room happen right next . try request room adjacent elevator , otherwise toss turn Saturday nite people return hotel hour night . another downside ice machine hotel lobby . 
 Sep 11 2008 	 great little hotel Perfect Location ! 	 hubby & amp ; take 5 day trip SF & amp ; stay Baldwin . could not pleased ! sure room little date , add charm . booked & quot ; double & quot ; room , think mean queen size bed , think full size . make ! could ' ve upgrade , much really go sleep great city ! elevator little slow , top floor & amp ; amazing view ! sleep windows open fresh air & amp ; high , traffic noise problem . friend city & amp ; come pick we hotel could not believe location ! go friend & amp ; family stay visit . , can not state clear great location ! walk distance everything . take metro quite bit & amp ; easy use ! great little bagel shop fresh juice around corner breakfast ! eat Farallon ( amazing ! ) Bix Supperclub ( quite experience ! even see couple actor ! ) question , shoot message ! 
 Sep 5 2008 	 stay Oct 2007 . good hotel Excellent Location 	 feel like month trawl page trip advisor , finally decide Baldwin Hotel fit requirement budget location good review fellow trip advisor member . the Baldwin central , right gate China Town block Union Square . originally book double room decide upgrade queen . however , show room bed look awfully small , like 3/4 size , check reception assure fact queen size room . ( think may language barrier Americans Brits check booking , think perhaps double could twin ! ! ) anyway , room way problem . bed small , cosy ( boyfriend 6 ft 4 ) ; room bathroom clean every day ( leave 2 dollar tip every day ) . sheet clean towel fluffy plentiful . bathroom lovely traditional cast iron bath plenty hot water excellent shower ( thing hotel shower ! ! ) happy comfortable . side ( not much ) , decor little date , be San Francisco see hotel decor . tea / coffee make facility room , bring travel kettle supply . hotel advertise tea / coffee facility lobby , however every time boyfriend go coffee , not , bad always cold . see tea entire stay . negative thing lack air conditioning . come good old UK , not know modern phenomenon air conditioning , imagine could problem people . Baldwin last week October 2007 bit heat wave . temperature 79 84f ( 26 - 28c ) degree everyday . window open day , get noisy outside due hotel 's central location . not problem we , would not advise stay height summer unless hotel get air con . staff greet we warmly remain way rest week , direct we post office , advise trip , order cab etcOur stay room forage food everyday , never go hungry bored food San Francisco . sushi , chinese , italian , fish . favourite place eat . 1 . cheesecake Factory top floor Macy 's . popular touristy well worth it.2 . North Beach Restaurant Little Italy . delicious , good pasta outside Rome . quite expensive , worth treat . brilliant traditional fine dining3 . Capps Corner . americanised version italian cuisine . generous portion , cheap cheerful.4 . Mayflower Market . little deli / mini - market Bush street Stockton Street Grant Avenue ( around corner hotel ) get sort , fruit , bagel , sandwich , crisp etc help cheap breakfast / lunch . San Francisco amazing city much see . highlight week visit Alcatraz ( pre - book online go ) Golden Gate Bridge , japanese Tea Gardens , San Francisco Zoo , Haight - Ashbury District , Pier 39 , Muir Woods . although will find amazing interesting thing around every corner . if not work , simply LOVE San Francisco sincerely hope go back one day . hope love much ! ! please enjoy : - ) 
 Aug 30 2008 	 Great Hotel ! ! ! 	 great Hotel . bit concerned would like reasonable hotel could find . not worried . location great safe - right outside China Town gate . staff could pleasent helpful . room quite small spotless recently renovate . would not hestitate stay . 
 Aug 17 2008 	 worry 	 lovely little clean hotel . Union square side SF close tram line take Fishermans Wharf & amp ; will not tire get tram , be like atraction & amp ; really enjoyable ride . starbuck couple door road good way start day head . go back San Fran amazing city & amp ; definitely try & amp ; book Baldwin again . make sure hire gocar day & amp ; sure book evening Alcatraz tour well advance net . superb experience . 
 Aug 4 2008 	 great value great location 	 perfectly adequate old - school hotel ideal location two block Union Square - good side , outside Chinatown gate , rather Tenderloin side- un - heard price . let we book one night weekend pay $ 127 queen . yes , room small date . clean window open fresh air , bed comfortable down - like pillow not tweak neck . room fabulous claw - foot bathtub could actually soak way neck , hot water . husband run marathon get 3:30 get good night 's sleep . see would noisy noisy people floor , not problem , street noise , well , 's city . big city hotel downtown old - style window . contract 450 Sutter garage , $ 25 24 hour , privilege . front desk friendly let we check noon instead eleven . the downside : coffeemaker , coffee service lobby pretty grim , powdered creamer . nice cafe across street , since live locally would bring little coffeemaker next time . hairdryer work elevator slooooooow . price , would totally stay , location absolutely ideal . 
 Jul 29 2008 	 Brilliant location 	 location could not well - right near gate chinatown , round block union square , transport route . can not complain ! 
 Jul 25 2008 	 basically ok 	 Baldwin ok . staff friendly , location good ( right near Chinatown ) window open , get fresh air . also like fact affiliated chain . complaint be frumpy without interesting . furnishing look like choose someone forget glass randomly pick thing Home Depot closeout sale . 
 Jul 24 2008 	 bit hassle 	 stay 4 night . plus side , location convenient , right outside Chinatown easy walk SFMOMA , Ferry Building , bus stop . room bathroom clean okay , although ask extra pillow one pillow get flat hard . ceiling fan A / C , get hot room . really not help ancient radiator room , technically turn , still run little bit hot water . front desk guy come look really could not anything . room face street , definitely noise deal , would okay . not okay constant bang sound ( something build rattle , maybe elevator shaft ) loud could hear earplug . could not sleep . 2nd day , even though leave & quot ; Disturb & quot ; sign door , room clean anyway . little annoying whole reason put sign not need new towel every day room clean ' ve barely . 3rd morning , water pressure shower . another time room get clean bar soap use 2 day throw away replace new one , wrap plastic . eco - conscious traveler , irritate see . we stay save money , end , price still high get . 
 Jul 2 2008 	 Super Stay 	 quiet , off - season inexpensive great staff make & quot ; location & quot ; stay . can not go wrong hotel . 
 Jul 1 2008 	 Ideal ! 	 great 3 night stay . staff helpful , room spotless location great . glad not go fancy name hotel substance . ceiling fan totally adequate ( come Scotland surprise chilly San Francisco could ! ! ) , although big room definitely big enough . would definitely recommend anyone look good value close Union Sq 
 Jun 30 2008 	 great hotel SF 	 Baldwin Hotel excellent choice lodge San Francisco . could see gate ChinaTown window . walk anywhere location . minute walk BART , cable car , bus many wonderful restaurant . could not pick perfect location reasonable price ! ! ! room spacious , comfortable clean . though room face street noise traffic , garbage truck , etc .... enough bother we keep we awake . people front desk always helpful answer question . highly recommend hotel would stay . 
