avoid 	 Appalling customer service ... wish never book hotel ! reputable agency - online offline think twice business Dylan house ( London ) . hopefully soon later realize stop deal they . the reason book 2 night hotel via www.bookings.com close proximity need London last weekend October NLP seminar . call hotel 3 day arrival date inform maintenance work go room available . nobody bother apologize inconvenience . find another hotel nearby . month later check credit card statement realize Dylan House still charge £ 77 - one night fee . phone inquire charge , - bookings.com Dylan House reply , cancellation fee show .... please , aware try avoid hotel cost ! 
 Mar 10 2008 	 bad seem review 	 well , price pay ( 135 2 night ) ok hotel . the room clean , kitchenette convinient : kettle , microwave , toaster , fridge - everything need budget prefer quick bite room . staff polite we helpful . yes room tiny , London price range believe & quot ; common . we book twin room , allocate , first , double one . note staff , grant we key single room next . ' ve get 2 room disposal . compare - clean decent . single , course , much small really tiny bathroom . double fine toilet far sink : ) negative side double bed really small wall really thin , ' ve get absolutely annoying neighbour conduct night style life disturb lot . end guest let respect other right night sleep . 
 Feb 5 2008 	 place terrible 	 hotel fall bit , everything seem , do not believe website , look glam , completely reverse , room small furniture almost top room even swing cat , staff see , manage find somebody talk , like favour let stay . owner have not get clue deal guest problem , do not want admit hotel problem , staff , management . Hotel mis manage owner have not get clue run hotel . scratch , find else ! ! ! tell will not go back ..... 
 Feb 2 2008 	 Nice Clean Studio Aparment Good Area 	 stay London 2 week , look somewhere provide self catering facility pleasant & amp ; comfortable enough spend 16 night . also budget make find thing bit tricky ! pleased location hotel 5 min walk Paddington station also near shop supermarket Queensway nearby . also good location stay sightseeing central . initially show room basement ok , however dark shower heat . ask move different room offer room top building attic instead , lovely . I please see clean plate , cooker , bathroom , etc spotless . room small average definately big enough 2 adult stay . light airy nice view rooftop & amp ; split two part archway divide two . comfy bed small clean shower / bathroom en suite . kitchen area contain 2 hotplate , microwave , fridge , kettle , toaster , iron plate cup bowl pan etc . also small fold table 2 chair . booked hotel Venere & amp ; get good rate approx £ 70 per night 16 night stay . would definately recommend stay hotel & amp ; stay . 
 Nov 19 2007 	 stay - disappoint 	 place major disappointment . stay five night September put small room imaginable . husband sit lie bed move around . small double bed push wall side one half foot cupboard . & quot ; well be & quot ; reply management say website not depict size quality room . bad come . service whatsoever . towel change last day complain , clean towel forthcoming . top continental breakfast provide morning ( consist small packet cereal milk small carton apple juice ) . receive first morning , notify management breakfast provide last morning . shower small husband bent like fish hook . extremely disappointing experience money pay ( 120 pound ) per night service whatsoever . also cereal bowl dirty dry cereal . absolutely disgusting place . 
 Sep 7 2007 	 not believe website 	 book ' studio apartment ' Dylan House Hotel Late Rooms ' glad ' pay full price room . book single room actually allocate double room arrival . quite pleased single room look really small photograph see . lovely girl reception tell would bring breakfast ( cereal snack ) morning . when walk narrow , steep staircase fifth floor open door discover little box room . double bed , push wall take room perhaps 50 cm clearance bed kitchenette . dvd player mention hotel website . promise satellite system standard Sky system . one thousand channel majority French , spanish , german Arabic . the room fairly clean although cooker look quite grubby . arrival decide go self - cater one look cooker convince go eat . look around tea make equipment ( use stay Travel Inns complimentary hot drink facility ) kettle . call reception ask actually go another guest room . tell call reception divert number try . really ' bother . decide shower get hot eventually although cubicle little room manoeuvre . shower knock door . jumped discover light Continental breakfast floor outside room . breakfast consist small box Crunchy Nut Cornflakes , Kelloggs Nutrigrain bar , pint milk small carton orange juice . perhaps spoil Travel Inn breakfast would describe breakfast . eat return room sit bed ( chair ) . want read bed bedside lamp read use main room light . give bad job decide stick tv . bed quite comfortable get decent night ' sleep . morning ' breakfast ' leave room . go reception drop key lock . leave shove key door , key ring room number hope know room . 
 Jul 5 2007 	 home away home 	 stay Dylan House Hotel last week whilst business trip . occasion decide stay hotel attractive look room value money package . delighted discover bedroom private mini kitchen , enable stay indoor enjoy much need home cook meal ( especially since weather be not great outside ) . upon arrival greet Daniel absolute delight welcoming . checking - in quick efficient . once room carefully inspect entire room begin unpack ( i m bit clean freak ) . bathroom bedroom clean high standard . travel London regularly would definatly reconsider stay hotel . location fantastic , everything within walking distance . thing dampen visit bad weather . thank pleasant stay * 
 Jul 4 2007 	 clean quite friendly place stay 	 lovely modern place stay perfect location . quiteand peacful helpful friendly staff . really enjoyedour stay . second visit past eight week . kitchenette handy . highly recommend hotel new visitor . would definitly stay . thank guy see time soon . 
 Jun 15 2007 	 Return Bed Bugs 	 type review , arm completely unmercifully cover bed bug bite start itch hour ago , like chicken pox select part body , testament foul disgusting discovery make half way ten day nightmare stay Dylan Hotel . fortunately we , check planned morning , chance detail full ten day inconvenience headache , make easy hotel 's unscrupulous owner , whose whole name shall post even though expose shady business practice . begin , book stay 5th June 15th ; first time London excite eager good , relax time . night one , start feel itch arm leg , quickly attribute brown quilt use bed - perhaps , think , material make body itchy . approximately five day pass mother find two big , fat insect lounge bed - like interrupt stay rather way around - finally realize culprit . engorge blood immediately notify management . tell Daniel , staff member time , everything capacity fix problem , ultimately boss fail follow . Daniel come family'suite ' ' clean ' everyday - even though quick look beneath bed reveal disneyworld version land dustbunnie - verbatim , word : & quot ; Bed bug . & quot ; , , mean mother , sister , travel part Europe US , definitely first . bed bug . 's want hear want see . Daniel call exterminator spray room , since momentarily confound discovery , decide give chance make right since , naturally , problem willoccur think would truly make well . leave morning let job , come back late evening find inevitable stench poisonous spray linger room , word , not even move we another room . not request one begin , not know - ton luggage wipe would not energy move anyway . follow morning , find particularly large bedbug walk happily mom 's pillow , probably tickle attempt murder , another gruesome discovery bed bug egg line upholstery head one bed . sister scream see mama papa bed bug emerge nest . mean ... euw high degree . YUCK . management head , Daniel propose separate we two room , see room time , could say enchantment wear absolutely determined stay another hotel . guess - book triple London middle June 11th hour ? easy - every phone call end dismal , & quot ; sorry , madam , fully book . & quot ; owner come afternoon make already long story short , basically suggest bring infestation we , way know get , etc . oh , australian tourist read , PARAPHRASE mister 's claim australian guest usually unsanitary ideal guest hotel , something effect . clarify , American , hearingthe OWNER hotel make outrageous claim , unvalidated generalization entire nationality , truly unbelievable . reiterate could move we two room , one & quot ; spectular & quot ; view balcony , another one one time visit make we think capture essence dungeon london almost exactly . since could find another hotel arrangement , trust we , must call 50 + hotel , choice stay entirety booking . fun part . promise read far vain . the new room , owner claim , clean . number one , not actually see yet , inspect , know whether infest . honest , think new room infest check matteress , favourite hide bed bug apparently , not see anything first . follow morning , however , arm cover bite , go mother . bite part body bug seem feasted almost entirely arm . hotel owner promise 2 night stay compensation whether decide stay . not decision ; stay . pay 110 lbs per night , law basic arithmetic , would think would gotten 220 pound return , right ? . return pence 200 pound honestly , could care less money . nothing could compensate discovery owner 's sleazy business practice . inquire full promised amount return , response receive owner leave even though Daniel tell pay 110 lbs per night . not matter . matter buy rub alcohol , antiseptic , visit doctor make sure be okay medically , bugger carry disease , etc . sister get away least number bite ; arm look almost normal . also , wash clothe , include one not wear , compensate Dylan Hotel . nicety , huh ? advice quite simple : stay Dylan Hotel find day night staff pleasant helpful , expect come away expect , perhaps fat bed beg two body countless bite mark , owner suggest , well , surely bring ! Mr . Shyam , hope fumigate hotel top bottom , although sure exterminate ultimate problem : . expect problem occur , also expect problem fix , entire conversation expose lack business skill interested cut corner . perhaps need think entire business strategy , perhaps one will not cut repeat , happy customer . PS tell bed use Room 13 , original room stay ( hereinafter refer & quot ; le suite & quot ; ) would around another 10 week get new furniture . yes , laugh , cry , whichever prefer . second exterminator call open bed find entire bed bug community nesting . imagine rest body , think itclean , imagine foulness discovery . problem : advertise satellite television . grand total four channel . television change original work . way , owner also blame guest . paraphrase , ' some guest rewire television connection , ' m sure , not work sometimes . & quot ; may true guest meander far , would choose tell we ? um , ever hear tact ? really much . London FABULOUS , wonderful , wonderful city . Dylan Hotel ? understatement century : fabulous . now be rub medicine arm . wish we luck ! 
 Oct 24 2006 	 great like bed bug ! 	 hotel look new beautiful . safe neighborhood staff wonderful . new owner , however , . refuse refund charge room sign use month full bed bug . make mutiple trip laundromat clean clothe . move infested room another day spray old one . course , still infest , deal toxic fume spray . move next door room , also infest spend night bathroom avoid little devil . , enough want . still nine day leave already pay . grumpily pay back seven . force find last minute expensive hotel room remainder stay . would highly recommend use hotel . 
 Sep 6 2006 	 Extreme Caution 	 recommend extreme caution consider Dylan House place stay . take week get email response drop book mine , even request make week ago , 2 day international travel . unprofessional suggest go elsewhere professionalism responsiveness important . do not get leave cold - go elsewhere ! 
 Jun 10 2006 	 totally remodel 	 first stay Dylan Hotel 1978 family - own . year , probably book dozen time several geographic advantage . importantly , Devonshire Terrace quiet street one sleep soundly without loud disturbance . laundromat , pub , small food shop one end block ; bustle mini - commercial area variety restaurant , drug , store , doctor , drycleaner end . Paddington Station / Tube Heathrow Express 10 - 12 minute walk , Hyde Park 5 - 6 minute away . hotel get pretty run - down Griffiths sell 80 's , current owner totally renovate essentially new facility rename Dylan House Hotel . 's chance stay totally new hotel mature , quiet neighborhood . aware complete renovation , stay elsewhere June 2006 ; receive tour upgrade manager , Tony , 's time start booking . 
 Sep 24 2009 	 nicht zu empfehlen 
