excellent 	 clean , friendly , cheap staff hand whenever want . smallish comfortable room good facility . excellent gym , breakfast area , room tv 's etc . good situation really interesting bit NYC . helpful friendly staff could not seem enough make stay success . american mostly europeans seem residence do not hear complaint either . Manager Concierges particularly helpful 
 View value 	 book hotel price , location , fact ' ve always good l luck Hampton Inns . never expect fantastic view . room 15th floor perfect view Empire State Building Chrysler building . People need understand thing Manhattan hotel . room often small , bathroom small , lobby almost non - existent . true Hampton Inn well . clean , staff pleasant professional , affordable great location great bonus wonderful view ( least north side ) . honestly say not check breakfast . Saturday a.m . feel weather husband went get soup cracker . Sunday plan brunch . sorry can not speak . husband seem indicate quality Hampton Inns - fancy , adequate . even bus load people cram tiny entrance get check return walk , get right elevator room . ' m really sure possible , staff seem make thing work out . when not feel well , husband go leave sleep . stay nice hotel staff seem ignore & quot ; disturb & quot ; sign either barge right knock every 20 min . happen hotel . able rest morning husband take fresh air little soup , able find housekeeper bed make , new towel hang , trash emptied time return . I not give 5 not 5 - star hotel . however , one good value hotel ever stay . would recommend anyone come visit nyc.only one suggestion - find spot vending machine besides cellar space . : ) 
 Oct 13 2009 	 Liars ! stay ! 	 arrive 11 2 young boy store bag hotel since time check . never anyone mention might problem . go day return around 6 tell room would give ride Hampton Inn La Guardia Airport . else could ? go . arrive go explain story tell Hampton Inn Soho send people night fully book room . 's 10 pm 2 small child . call back Soho tell driver make mistake , suppose take we JFK Doubletree . amazing part ? sit lobby listen tell woman phone complain exact story . ask LaGuardia problem tell overbooke turn people away . way go back Soho hotel second night call Sheraton find room immediately . good review , must luck check time give room . book hotel 9 - 10 month advance family trip . never stay recommend anyone . book , make sure not mind take chance might room . 
 Oct 12 2009 	 unbelievably bad 	 book two room - get VM way airport one room available - & quot ; maintenance issue & quot ; . Coincidence Pres Obama town city book gill ? rollaway bed King bed house elderly parent - less 6 & quot ; rollaway bed .... fire code violation ? apology offer respond hotel survey . would not recommend anyone 
 Oct 11 2009 	 Convenient Location 	 walking distance low Manhattan site ( Soho , Greenwich Village , Little Italy , Chinatown , Ground Zero , Battery Park , ferry Liberty , Ellis & amp ; Staten Island . Room cramp , quite comfortable . breakfast great , nice want quick bite sightseeing . 
 oct 8 2009 	 great boutique hotel trendy Soho 	 husband stay Hampton Inn Soho 3 night labour day weekend . get great deal travel zoo pay $ 85 / night . decor modern great art - photography around room hotel corridor . room clean . downside shower door shower current good enough keep water splashing bathroom floor . hotel offer free ' hot ' breakfast . although item serve either do oven ( i.e process sausage , frozen waffle ) continental option , fresh fruit , coffee tea free . location right edge Soho Tribeca easy walking distance ( block ) Canal Spring st . subway . hotel accomodate allow we leave bag locked room could explore city depart airport . would definitely recommend hotel other would return . 
 oct 8 2009 	 Excellent Service Hospitable Staff 	 stay Hampton Inn four day August reservation recommend hotel anyone . expect hotel room clean staff helpful , free breakfast adequate location perfect . subway within walking distance . staff take great pride work concern receive 10/10 level service provide ..... book , little other ... 
 oct 1 2009 	 Contemporary Hotel Edge SOHO 	 enjoy stay Hampton Inn , new Super Shuttle people JFK not even list Manhattan hotel . get introductory rate $ 129 hotel special trying get people stay . look like lot people special ( stay large tour group France ) . decor nice contemporary like boutique hotel clean line , warm wood accent nice bathroom . negative : view suck ( be look mostly build across street ) , two elevator extremely slow , front service people not really friendly . place crash , can not beat modern touch . flat screen , hotel safe free internet service ( wi - fi , plug cable ) . 's edge SOHO way New Jersey tunnel , block . 1 subway line . not mind walk block two away scene , convenient hotel away tourist scene . 
 Sep 30 2009 	 hotel .. clean friendly good value ... 	 choose hotel usual hotel NY full could pleased find modern comfortable room patner son complimentry breakfast . staff efficient friendly . location close subway , 10mins walk little Italy china town . excellent 3 night money , would recommend . 
 Sep 30 2009 	 Loved NY ` ` home '' 	 stay Hampton Inn Manhattan Soho 19 day August . loved & quot ; home & quot ; . hotel staff friendly room always clean - clean - CLEAN . 's small touch make stay great . breakfast area staff friendly cleaner always smile greet we . enjoy & quot ; special & quot ; way maid fold towel day fan , roll shape . really noticeable different maid sudden 2 day towel almost haphazardly plunk towel rack . 's easy get spoiled perfection , say ordinary fold bad - & quot ; special & quot ; good . we think bathroom sink fabulous . hey , be different sink . room almost everything need stay - bed , big chair , lot storage , desk , safe ( important ) , internet access ( also important ) , etc . could , would live permanently ! : - ) decor nice . could one thing , would want baby fridge hold beverage hope hotel add future . will make easy old ice - in - the - pail trick , less messy less work run get ice , free breakfast main floor really nice . different hot item day along muffin , danish , bread , bagel , fruit , juice , cereal , etc . inside patio seating . would say breakfast quite popular see large crowd people around food counter morning . be great start day be free . : - ) eat first 2 week finally decide & quot ; eat somewhere else & quot ; not good enough think experience place too . oh , occasionally free cookie cupcake come back home front desk . sure be everyday thing since seem spot time snack must come certain time . we have DEFINITELY stay get affordable rate since like take lengthy vacation love - love ny . 4th summer visit . 
 Sep 29 2009 	 adequate room adequate location much service . 	 stay 3 night end September - find room really small , bathroom really good size ( except hot cold reversed shower ) , view 10th floor good . suppose really depend compare room hotel - whether be good . compare Hampton Inns rest country , be extremely small refrigerator microwave . bed soft pillow soft . tv flat panel wall - nice . really good news bed BUGS ! ! ! Kevin front desk friendly call confirm reservation day . not friendly get Friday . tell prepaid room , could not get high floor - even offer pay money . really true , Hilton / Hampton Inn website state make reservation . Kevin also rude call ask could purchase subway ticket - say could not tell phone - would come front desk get answer . twit . someone remind people like we not stay , not job - customer pay salary ! anyway , maid 10th floor excellent - able find we umbrella would not get wet wander around city Sunday morning . room always clean - Thank ! breakfast constantly run food coffee - like employee not train keep coffee go look biscuit see run low . see training opportunity ! - manager ? someone oversee breakfast front desk ... Business Office consist two laptop one printer , small space - one laptop set print printer - ? diet drink drink machine - ? also remember Watts Street HOLLAND tunnel - lot traffic lot noise . 
 Sep 24 2009 	 good choice SoHo ! 	 spend 8 night . room clean , bed really comfortable , breakfast good . would definitely stay ! 
 Sep 22 2009 	 great place 	 Hotels NY notoriously expensive , find one around $ 240 per night mark fantastic location sweet deal . Hampton Inn locate Soho - towards end Soho , near Varick outside Holland Tunnel , 5 minute walk Soho action . Hampton Inn standard good one : friendly service , fast check - in check - out , clean room , comfortable bed , include internet , breakfast plenty choice , gym , etc . room medium - small size , big enough 2 people luggage NYC standard , spacious . bathroom practical functional - clean , course - full tub . one not really need much this . service excellent . arrive late ready need quickly sign go room . request upon check - in meet utmost willingness accomodate hospitality . big thank James excellently help evening sorting issue . like run , West Side Promenade 5 minute jog away 's fantastic . thing hotel not like keep gym cold . 
 Sep 15 2009 	 Perfect Spot ! 	 Fantastic Hotel perfect location we . previously trip NYC stay Times Square Chelsea area town , Soho great change . hotel doorstep great restaurant bar ( Blue Ribbon Sushi must try ! ) . first cabbie trouble find hotel , other issue , worry peak hour traffic people leave city cause cab delay get back hotel couple occasion entrance highway street hotel . 9th hear traffic noise . disappointment breakfast everything ebe serve disposable plastic plate bowl , environmentally friendly . 
 Sep 13 2009 	 Hampton Inn Soho - clean affordable 	 spend 4 night , 2 beginning trip US 2 way back . ( travel onto Las Vegas drive Vegas LA upto San Franciso reture NYC ) clean modern faciltie , room bit small expect New York . king size bed really comfy white bedding good sized shower although bath towel could little bit big . coffee tea room together complimentary breakfast free internet- really good New York staff really helpful . not realise Hampton Inns part Hilton Group claim Hilton loyalty point also . con little way Times Square , around corner hotel subway ( less 2 min walk ) use everyday - evening . walk Little Italy easily hotel ) disappointment we ( advance via web ) book airport shuttle bus cost around $ 50 ( total 2 person luggage ) , yet take age get we hotel 4 drop off centre city , traffic bad take nearly 3 hour we arrive hotel . ( last drop ) . find yellow cab $ 45 fix fee , plus tip would take 45 - 50 min - take yellow cab back airport . please note black limo style cab try entice take cab , regulate way yellow cab hear couple horror story around charge double normal rate become irrate challenge . you will not disappoint hotel . ( want stay Times Square , beleive Hampton also ) . 
 Sep 7 2009 	 nice affordable hotel ! 	 Hampton Inn Soho nice hotel . affordable good location Soho . stay 7 night enjoy stay lot ! size room acceptable ( stay 2 double bed room ) although isn´t lot storage space bag clothing . it´s probably big room compare hotel NYC . shower large clean hairdryer good one i´ve ever use hotel . good thing hotel friendly staff member great location Soho . lot tip help Adam work lobby make stay NYC even well . recommend hotel . 
 Aug 30 2009 	 Perfect Hotel ! 	 cousin stay one night celebration visit city . say enough hotel - IT PERFECT ! arrive around 11:00 morning hold bag could begin sight - see . arrive back hotel late afternoon give wonderful room 10th floor . love walk past front desk get elevator show key - very important 2 young lady - we feel safe ! room perfect - bed comfy , bathroom room clean . coffee room tea hot chocolate lobby area . go get tea one manager pull cookie oven call make sure get some - he even give plate cousin ! GREAT SERVICE ! decor modern sleek - black granite slate lobby . breakfast area clean make feel like middle city . yes room exactly size spacious , however NYC - why would want spend time room ? perfect we enough space get dress makeup etc ( 2 girl 20 's ... ) get cab etc ... walk 1/2 block able get cab less 3 minute . highly suggest hotel anyone want SoHo pay crazy amount money . Hampton Inn SoHo classy , trendy hotel perfect place relax busy day busy night ! wait stay guest town ! : ) 
 Aug 24 2009 	 close everything will want .. ! 	 stay week recently ... close subway , shop , Bars , rstaurant , yet far enough away noisy centre ... quite bit solid , non move traffic Watts street ... hey .. quite night & amp ; Air con & amp ; tv room great ... great thing buffet breakfast ... day free coffee & amp ; tea .. do not forget gym basement ... lovely & amp ; chill ... ice machine every 4th floor .. & amp ; fantastic Terrace 19th floor ... nice place chill ... bring beer ... do not bar hotel ... major setback ... right next shop .. etc ... great meal Lupes corner ... great value mexican .. lovely .. plus there s kens Pub one block ... always good beer & amp ; good food 
 Aug 23 2009 	 HIGHLY RECOMMEND 	 Excellent experience , great staff , clean , affordable NYC standard nicely locate . well run hotel city hotel . definately stay come back city . 
 Aug 21 2009 	 Great Soho location 	 typical NYC hotel - everything little cramp location fantastic Soho . minute great restaurant shop . staff nice helpful . 
 Aug 20 2009 	 great hotel trip NYC 	 book Hampton Inn Soho 14 night love stay . book directly hotel request city view . get room , face Watts St . query reception tell upper floor class ' city view ' regardless direction face ! ask could moved tell possible . quite disappointed read review traveller book discount website actually get view think book ! make lengthy booking , would nice hotel recognise request . however , affect overall opinion hotel . staff helpful friendly make we feel welcome five year old . staff lovely daughter make huge fuss everytime see . unlike review , room quiet , opposite lift think might issue fine . although large european group include party student stay , fortunate enough floor judge nosie level breakfast ! room large enough three us room look much small floor plan . room clean daily always spotless . the business centre comprise 2 computer - quite challenging get access always use other - usually look Facebook ! large group , give try access permenant queue . would recommend take laptop notebook require regular access avoid frustration disappointment wire access room . the reception staff helpful computer occupy would look information print we . the location superb ; away hustle noise midtown subway convinient get uptown . subway less 5 minute walk away even August heatwave . load restaurant north spring street hotel provide range take menus fancy quiet night . Suzies Chinese Bleecker St great deliver room ! free breakfast huge bonus range fine we . 2 week not get bored choice . we would definately stay hotel location superb staff helpful friendly . hope rate stay favourable hotel compare well hotel Manhattan . 
 Aug 20 2009 	 real gem expensive city 	 stay begin end trip New York total 6 night . allocate hotel initially Priceline like look stay end trip also . room adequate quite new bedding , choice soft hard pillow , flat screen TV 's recently renovate bathroom fantastic water pressure . a good breakfast usual pastry , bagel etc different hot item day comfortable sitting room outside garden terrace . hotel even offer we breakfast arrive 8:30am drop bag check later day . almost every day return offer small treat ( cookie , cup - cake , freshly squeeze lemonade etc ) front desk warm welcome staff . little touch make real difference . hotel close subway ( , C , e line Canal Street ) delicious little family - run mexican restaurant across road . gripe 19 floor 2 elevator could time take long time elevator , walk stairs 8th 9th floor . this hotel surpass expectation great price would definitely stay future visit New York . 
 Aug 19 2009 	 great hotel ! 	 book hotel priceline pleasantly surprised find hotel tuck away border SoHo tribeca . staff friendly willing make stay comfortable . arrive early morning ask could store luggage , problem ! check easy . room comfortable contemporary . bathroom nice , great shower everything expect hotel room . great view Empire State Building , Chrysler Building hotel room . try get hotel room form floor 9 upwards . quiet area nice restaurant bar nearby , stay open quite late . lupe nice little mexican restaurant ... subway plentiful ! , C , e , 1 , close 6th Watts Varick St Watts . Cab Port Authority around $ 10 ( different depend traffic ) . SoHo eclectic mix folk shop . West Broadway will find lot bar restaurant choose . Washington Square Park 10 minute walk north , China town minute away . Holland Tunnel ease access NJ , Turnpike etc ... breakfast nice , bagel , toast cereal etc ... enough fill gut lunch . stay twice happy stay . 
 Aug 14 2009 	 modern clean noisy ; business traveller . 	 Hampton Inn nicely situate edge Soho - within pleasant walking distance NYU / Washington Square Park , West Village LES . close many subway also Holland Tunnel ( offer quick , easy cab / car access New Jersey ) , be certainly decent location . ' ve read review say cab driver could not find hotel ; problem cabbie able drop outside door , problem . the room upper floor request , clean , well present , comfortable bed , blackout blind air - conditioning : complaint . however , neighbour simply awful : two group people opposite decide party hallway night , keep awake ( even earplug ) .because early meeting , resent fact 2am disturb music conversation hallway contact reception request ask noisemaker quieten . despite two phonecall reception , solve problem , spend night awake whilst opposite partied . ' m guessing - forgive snobbishness - cheap hotel , attract certain clientele : one 's town party . , would not use hotel - certainly business stay . the next morning make complaint reception tell nothing could : apology , offer part - refund , even offer add point Hilton account discomfort experience . business user , good service , certainly sort response hope . Suffice say sha not make another reservation , shame : be nice hotel , otherwise . 
 Aug 12 2009 	 good Kept Secret New York ! 	 stay Hampton Inn July 25 , 2009 , night . let say excellent choice sleep New York . hotel rather far Times Square Midtown , however , C , E Canal Street Subway station one block away , well # 1 line 's Canal Street Station . line provide easy quick access see Times Square Midtown . trendy neighborhood tribeca 2 block south , SoHo offer restaurant , artist gallery , quirky little shop . hotel locate Watts St. , main feeder road Holland Tunnel ; often lot traffic . room rather small , comfortable . give two separate king bed room price room 2 bed . might Hilton hhonor member , either way appreciate extra step service ! ! floor ( 19 ) 10 room , deck 19th Floor open guest . one room great view midtown , well Empire State Building ( 14th Floor , hotel one tall building SoHo ) . staff always ready assist way , even store luggage day departure time leave . make feel good , know lug luggage New York sightseeing ! breakfast pretty good , although care egg much . whenever travel , strongly recommend book Hilton Family Hotel , include Hampton Inns . consistent regard service , cleanliness , room amenity . may pay high rate Days Inns , Red Roof Inns , Choice Hotels , truly worth . 
 Aug 12 2009 	 Beautiful Hotel Great Staff Amazing Location '' 	 sister enjoy stay hotel much . check 3PM however flight fly 7am time get hotel subway 930AM . Tiana work front desk helpful . say unfortunately room available time would take bag we go grab breakfast . arrive breakfast around 1130am room still ready jump hotel laptops free internet hung lobby hour . Tiana could see tired flight work hard get room ready . request room two bed unable offer we . see disappoint Tiana call manager right away get we king room free charge . get room spotless modern . start quick nap knock door not answer door open staff realize someone room close door leave . 10 Minutes later happen , get answer staff member give letter appreciation Oreos snack . thanked go back shortly maintenance door , point tired try sleep end go . regardless knock door stay great . room clean minus blood spot one pillow take care . room small claiming , perfect size 1 2 people . bathroom spacious . room free hi speed internet flat screen tv . 20 minute ( MAX ) walk subway . desk staff helpful direction tell sister good place we visit . would stay hotel instant . 
 Jul 25 2009 	 Teeny Weeny Room good location . 	 pro : Location , location , location . multiple subway line within 5 - min . walk . SoHo shopping day , lot neat little neighbourhood restaurant north Spring St. come alive evening . Outstanding Staff . everyone extremely helpful welcoming . free breakfast internet . cost sure add hotel . Clean pleasantly decorate reasonably price . really good value money . con : small hotel room ever stay . two we want get around bed time , one we climb . could hear everything . noise hallway , elevator ding , slam door conversation next room . noise really travel . pro heavily outweigh con would hesitate stay . really outrank 4.5 * stay 2 day prior every way except space . 
 Jul 23 2009 	 Great Location / Great Price 	 recently spend 3 night Hotel . relatively new . decent size room bathroom . love location . Soho shop dining within 2 - 4 block . conveniently locate south Village , north tribeca minute walk Little Italy Chinatown . 1 block subway ( Spring Street ) , 4 stop theatre district . good breakfast . still wait liquor license bar close otherwise would recommend hotel . 
 Jul 14 2009 	 new favorite place stay city ! ! ! 	 ' ve NYC many time stay several different hotel , say ' ve find place stay . Hampton Inn Soho really clean , lovely breakfast dining room courtyard . staff extremely helpful courteous location great . # 1 subway block away ( provide easy access midtown , times square and/or upper west side ) , nearby shop outstanding . many european boutique browse , several art gallery lot great place eat . room Hampton Inn Soho somewhat small ( be NYC ! ! ! ) extremely clean bathroom contemporary spacious . room king bed really comfortable lovely european - style linen . flat screen tv well , many channel in - room movie . complimentary breakfast ample staff even prepared & quot ; go & quot ; breakfast bag folk want breakfast not time sit . business center two computer lobby . hotel get liquor license , traveler able come back day tour enjoy glass wine . , combine reasonable price , be like ? 
 Jul 8 2009 	 Great Location 	 stay hotel Friday July 3rd . got great rate Travelzoo . stay 12th floor King bed . room small , clean . look exactly like picture post . hear street noise even 12th floor . could also hear people hall ice machine . stay hotel NY money great deal . nice location 2 block subway . great breakfast plenty food morning . breakfast go bag , disappointed would like take snack later morning . 
 Jul 4 2009 	 Great Location Soho 	 stay 2 friend hotel SoHo girl ' weekend NYC . location perfect we since everything want downtown . never make past 23rd Street . could walk village Chelsea easily location . ( walker ) room small room Manhattan small side . not need space fun trip NYC since . room clean bathroom decent size full tub need soak foot long day walk . free breakfast lot offer coffee surprisingly good . would stay . 
 Jun 23 2009 	 rather awesome ! ! infact well wart constiation ! 	 american television fond commericial break , seem every five minute be force watch middle - aged dude yell virtue late wart cream constipation aid , smile sit odd blatent embaressment product . stay New York recall one commerical inparticular ; realtor basic premise fact provide array service rival could match shiny - toothe lady say line & quot ; not company & quot ; . well find say alot stay Hampton Inn Manhattan Soho , particular regard complimentary breakfast . offer wide selection pastry , fruit , juice , coffee cereal . wonderful start day , also good way intereacte staff guest . room large , clean modern , although little noisy , much outside noise room , guess hotel work 's get 's get paper wall . big deal worth note be type grumpy fool get annoy easily . staff helpful knowledgable local area . hotel two computer lobby guest use great keeping contact home . also gym low floor although idea be like , get enough exercise walk around Manhattan Island ! desire add calorie body rather remove trendy hotel bar next lobby would cool hangout evening . however , time stay still await alcohol license like juice well call booking make sure will not dry . 's big deal though be middle New York 's trendy area . although hotel locate rather bland street be block Soho , TriBeCa notably late place , Greenwich Village . worth check range stylish restuarant , boutique shop friendly atmosphere . travel afield red blue line subway station within 5 minute walk . advice though ; come back hotel local train stop station , catch express will walk alot ( believe ! ) . get excellent rate hotel , certainly cheap area freakin ' steal consider quality hotel . 's new place ( well refurbish rebrande one anyway ) offer awesome deal get map . long continue not know would certainly still stay . overall offer perfect base explore New York . 
 Jun 18 2009 	 Great Hotel - Great Non Touristy Location ! 	 stay hotel 10 night May 09 . hotel bit hard find taxi driver , not problem . direct area get busy peak time , hotel literally round corner Holland Tunnell . effect we . stay 2 bed city view room 11th floor . problem noise . room lovely , bathroom good size . bed super comfy lot lot storage space ! breakfast good , plenty choice range cereal , fruit , toast , bagel , pastry 2 different hot option every day . definitely stay next year , love close hotel Soho Little Italy . great people dom't want Times Sq doorstep ! 
 Jun 15 2009 	 enjoy Night Hampton Inn SoHo 	 stay Hampton Inn SoHo Saturday night June , 2009 . take subway hotel heavy traffic area not problem we , although take we minute find hotel . arrive 4:00 . room pre - assign we not clean yet ( hotel full weekend ) , staff friendly apologetic work hard find alternate room ready . end room 5th floor face Watts St . two double bed , desk , closet pretty much fill room , Manhattan not surprise . room bathroom small clean comfortable , furnishing amenity step average Hampton Inn . could hear street noise arrive , notice although window close , not latch . latch window , traffic noise barely audible . curtain fine job darkening room , allow we sleep soundly almost 10:00 Sunday morning . the front desk staff shift helpful friendly , consistently provide recommendation place eat within budget exceed expectation . anything ask , restaurant recommendation fork 3 , promptly provide staff . hotel well neighborhood expect , couple block Spring St SoHo ( shopping area lot store can not afford shop ) . even feel moderately safe walk back subway 3:00 morning . the breakfast pretty standard Hampton Inn . arrive end 10:00 thing run , staff still work hard keep thing stock area clean . overall happy Hampton Inn SoHo would recommend . 
 Jun 14 2009 	 great hotel SoHo 	 stay hotel 9 day . room 2 queen bed 15th floor , view Empire State Building , great ! room big enough 4 we . nice comfortable bed . the bathroom always clean . could ask free toothbrush anything forget home ! breakfast great : orange juice , coffee , muffin , bagel , cereal , fresh fruit , yogourt , omelette ... staff always friendly . location great , love SoHo . many subway entry nearby hotel . notice room end odd number situate back hotel , view Empire State . 
 Jun 10 2009 	 Great Stay 	 hotel good price . stay 7 day . room clean breakfest rich fresh fruit bread . staff friendly helpfull interent hotel . hotel close public transfer ( NY line : red 1,2,3 ) , three street away find Canal street dine cheap fast food restaurant . 
 may 28 2009 	 Hampton Inns Soho ` ` place stay big apple '' 	 come way Belfast , Ireland , New York , make welcome friendly efficient staff . matter ask trouble assist . buffet breakfast morning hot beverage time day great welcome long day town . great location , right next Canal St , great shopping , bus subway corner . two stop away Financial District . could want . great deal hotel . issue , four us room bit small . book two room , price suit well 4 sharing . would definitely go back highly recommend . breakfast real bonus start day want early . 
 May 19 2009 	 Great Soho location nice room limit service 	 stay weekend May 2009 . aware Soho layout , be great spot . near many restaurant , shopping , subway . easy find 6th Ave Canal . room new nice , normal NYC small . shower room like , may . service staff friendly , WAY understaffed . could not keep . however overall stay nice look good location nice bed head back city . 
 May 19 2009 	 great hotel - super value 	 recently stay hotel friend please say pleasantly suprise . arrival greet pleasant helpful girl onreception stay come realise staff nice friendly could enough help . get great breakfast eveery morning complimentary tea coffee throughout day . location also excellent , close subway bus stop . would hace hesitation recommend hotel certainly stay opportunity return new york arise . 
 May 5 2009 	 know NYC location great . be newbie tourist stay somewhere else . 	 great location night - locate near lot hot spot - certainly tourist unfamiliar city since 's central location . room comfortable . free breakfast typical Hampton Inn breakfast . fast check - in . service thin knowledgeable area . two separate stay ask recommendation alternate resto breakfast people ask could not make one suggestion . free wifi always plus ! 
