Charming 	 wonderful stay Inn Opera ! locate across City Hall nice walk Union Square . decor charming quaint , yet update classy . service excellent . 
 Charming lovely ! 	 charming lovely hotel , minor glitch . first , room prove rather noisy : awaken nearly every morning neighbor shower ! could not believe loud sound water pipe ! ! ! ! ! real problem , though inattentive concierge , spend time sound like personal call look see people wait thing could help . 
 LOVE Inn Opera ! 	 recently spend night perfectly situate Inn Opera San Francisco . small hotel right across street stage door gorgeous San Francisco Opera . short walk wonderful restaurant shop , great location stay San Francisco . rent car time , determined figure driving , right Civic Center make easy get around . tiny lobby , big hearted staff , love guy park car take care we , delightful concierge print huge list vintage shop woman make tiny room big people complain ... look next trip , catch music , vitality , joy Inn Opera . fun ... two old , somewhat handicapped seasoned traveler . 
 great stay 	 staff friendly accomadating . hotel bit worn clean charming . room bit small , adequit . location outstanding San Francisco performance Hays Valley reason . 
 Nov 11 2008 	 Great Staff excellent continental breakfast 	 staff helpfull moment arrive advise we get . door open desk hallways always cheerfully greet help . dining room provide convenient continental breakfast serve helpful excellent staff . dinner excellent . old appreciated ability split salad main course . facility remind we clean , old european hotel stay . hotel well locate use Muni transportation system . enjoy opera next door take advantage & quot ; CITY PASS & quot ; see sight many attraction San Francisco . Gordon & amp ; Helen , Vancouver , BC , Canada 
 Nov 10 2008 	 Charming hotel great operagoer 	 love stay Inn Opera visit San Francisco opera . Opera House right across street , make ideal location , staff always gracious helpful . room small , nicely furnish include fridge microwave . find location convenient restaurant attraction . negative live record music downstairs restaurant , make hard fall asleep . will probably ask room high floor next time . 
 oct 22 2008 	 love 	 Three we share full week 1 - bedroom & quot ; Symphony & quot ; unit , book timeshare company ( Shell resort well regular hotel ) , really happy whole experience . old - fashioned elevator operate among hotel 's 7 floor ; quiet , darkwood french restaurant offer fine ( expensive ) dinner , late - night drink , free & quot ; Continental & quot ; breakfast make we feel quite pampered . the room contain semi - kitchen consist microwave , refrigerator sink . bathroom large , living room bedroom modest ( cramp ) .The good part hotel , really , personal service . room make every day -- standard hotel , timeshare -- desk staff greet we pleasantly name day help we bizarre question . the opera ballet across street , entire area ( Hayes Street ) become upscale , great restaurant shop . would certainly stay Inn Opera . 
 Oct 11 2008 	 Staff wonderful ; Location bad 	 Inn near Civic Center part city . place go 30 - 40 minute bus ride . take bus tour , always first pick morning last drop . 11 hour tour we last 13 hour . tour Tower Tours , Supersighting Tours Grayline . drop we last . hand , get know staff well size Inn . staff wonderful would go extra mile . one night , want room service restaurant close kitchen early ( 8:30 pm ) . front desk staff intervene get restaurant serve we room service . would stay staff great service would plan lot taxi service . 
 Oct 6 2008 	 Scary Scary Neighborhood ! 	 room okay staff helpful friendly . however , woman travel alone inconvenience male friend walk hotel every night BART station 3 block away . also ... free breakfast horrible make feel like leave tip ! 
 Oct 3 2008 	 Inn Opera Great 	 Inn Opera wonderful hotel . small family feeling . room comfortable . staff extremely friendly helpful . excellent breakfast include . location ' well activity Civic Center , performance Opera House ( across street , Davies Hall Herbst Theater . Valet parking available . stay hotel many time always look forward return . 
 Oct 3 2008 	 Excellent Customer Service 	 Keon Stewart rest Inn staff gracious extremely helpful . will back . 
 Sep 24 2008 	 Great Boutique Hotel 	 take time homework boutique hotel . ' ve stay several Inn Opera great hotel find special rate hotel website . want surround crowd tourist , hotel . away hustle bustle Union Square Wharf area accessible cable car ground transportation . noisy hotel get feel local surround area . staff friendly room , although small big chain hotel , clean comfortable . complimentary continental breakfast fine complimentary cookie await back city excursion ! be also wonderful place eat ( vegetarian meat eater ) Max 's block hotel ( recommendation Michael front desk ) . would definately stay hotel . away busy landmark , allow we truly see city explore surround neighborhood . 
 Sep 19 2008 	 superb service - welcoming 	 well run comfortable hotel right next opera house . classical music - relate decor theme , clean comfy room , good warmth staff - front desk , housekeep breakfast room . really feel stay good friend spoil we silly . 
 Sep 11 2008 	 Amazing Boutique 	 great boutique hotel great location plan see SF Ballet , Symphony Opera . staff absolutely amazing . small , time chat spend time assist special request large hotel . room great , breakfast enough save buck morning overall wonderful experience . return . 
 Sep 10 2008 	 First Trip SAN FRAN 	 first time San Francisco husband really enjoy . husband stay Inn Opera business , return visit he . I little hesitant stay past review , husband nothing good thing say . the room cozy , eat restaurant , delicous ! try book site Hotwire unable find low rate mention past reveiw . plus ' e garunteed hotel want , go straight website book . we happy stay hope return one day . the staff great ! minor T.V . issue staff take care five minute . 
 Jun 6 2008 	 cute historic boutique hotel 	 get amazing deal hotel book Hotwire . $ 52 per night plus tax , come $ 66.46 . terrific bargain 3.5 star hotel SF . location hotel ideal , need , close Van Ness , major thoroughfare bus line get need go . room nice , small . really complaint would rate 3 star hotel , 3.5 . two people share room , quarter may kind cramp . however , look charming unique place stay , happy Inn Opera . especially get great price Hotwire - 's Civic Center / Hayes Valley neighborhood familiar hotwire work . 
 Mar 15 2008 	 excellent place start 	 look luxory accomadation , big suite magnificient view place . look nice comfertable place friendly staff kick visit great city right place . hotel 3 block famous F street car line , make get around breeze . also nearby ballet Asian Art museum must see . far breakfast go , be exactly pay . be nay bad continantal breakfast anywhere else , plenty place around want something . staff could not helpful friendly , hotel decor nice . would definitly saty . one little tip , & quot ; citypass & quot ; good investment , reason 7 day muni pass . 
 Feb 14 2008 	 great little hotel 	 husband stay part honeymoon ( 5 night ) . love little hotel ! yes , room bit small bathroom small - definitely enough room two we . european feel , absolutely love . staff friendly accommodating . one favorite thing fresh baked cookie put every afternoon . also turn bed , put lamp leave chocolate pillow . complimentary breakfast pretty good , never see anything not fresh spoil . although , previous poster state , little annoying seem expect tip breakfast service , especially since be 99 % self - serve ! tip $ 1 we morning eat . eat breakfast restaurant last morning , cost we $ 30 ! one evening eat restaurant food delicious - good french food ' ve . would recommend eat budget allow ( little price , worth ! ) . concierge ( John ) extremely helpful friendly , . location isgood , 2 block subway short distance several bus stop . already plan another trip San Fran would hesitate stay . 
 Jan 18 2008 	 Quaint hotel quite quirk 	 husband & amp ; return last Saturday celebrate 30th wedding anniversary Inn @ Opera . give 2 bath deluxe room 7th floor ... room nice & amp ; spacious ..... 2nd night find none baseboard heater work ! report & amp ; bring 2 portable heaters room ( make we believe known problem ) . think will make this . wrong . iron clothe electricity & quot ; tripped & quot ; room since apparently system obviously overload . we leave dark & amp ; cold . try make & amp ; report next day . come nothing & amp ; basically leave we portable heater . make long story short tolerate five NIGHTS & amp ; offer move we similar room resident leave since say will take correct problem . the move good ( 6th floor ) time personally feed up . while 6th floor , hear resident room vacate day & amp ; right we ! obviously not fix anything , say , seem problem pre - exist & amp ; not fix . nightly rate charge one tolerate this . like one viewer say 's & quot ; tip & quot ; bill folder & quot ; complimentary breakfast & quot ; present alacrity day . great annoyance I . additionally , breakfast boring ( mostly produce box & amp ; packet ) & amp ; cling - wrap consecutive day .The bread STALE ... even see mildew bread & amp ; CUT banana also recycle ( one could see browned edge ) .Our new rental car dent & amp ; badly scratch & quot ; valet parking & quot ; & amp ; pretend knowledge damage ... complete report rental car company .... luckily full coverage car . internet locate lobby area ( totally private ) non - existent ... forget connection room . the staff friendly not compensate aggravation go through . do not think will stay . 
 Dec 31 2007 	 First Choice 	 week , cut one day short family . first , pay internet service , never do ever ! book trip six month advance one good room place , room wonderful ( get suite go stay , room small ) . staff wounderful , food Ovation good price , SF woundrful food go enjoy . location fine not wander far Tenderloin , block away . need go somewhere else eat , realy want experience SF . may hot , air room , SF seldom need prepaerd . many great place stay SF would recommend one . 
 Aug 24 2007 	 wonderful place 	 inn part RCI get RCI . locate civic center section San Francisco little way . two day , get use way ( almost 1/2 mile cable car Bart , 2 block bus ) . hotel include breakfast fantastic . always fresh chocholate chip cookie desk fresh apple bowl . place clean friendly . concierge helpful rent we car stay one day . place pick we morning drive we rental place . fresh towel bed make every day . even brough bottle water room night . great RCI experience . 
