Great 	 friend stay Comfort Inn November week . find reception people helpful friendly . food Brendan 's good , not forget use key room card get money off - we do - and not ask ! ! ! hotel may bit date , clean . fantasic location . subway , Macy 's Empire State Building within 5 minute . whole love stay . bit paint would help brighten . noisy night dustbin collect New Yorkers like use car horn ! ! ! 
 Sep 26 2009 	 ideal location - around corner Empire State Building 	 believe hotel class bit budget choice , honest not really need spend lot money 5 * hotel stay New York , be time sightseeing eat etc . room little small , clean comfortable food nice , though not much choice . however , plenty lovely place eat close - fact , restaurant directly opposite hotel entrance serve excellent food . location hotel excellent - be literally around corner Empire State Building , Macys 5th Avenue , 's 10 - minute walk Times Square . whether decide stay hotel another Manhattan , would well worth purchase New York Pass ( go www.newyorkpass.com full detail ) . long use many offer possible , 's money well - spend . include free entry Madame Tussaud 's , museum ( MUCH ) discount sightseeing tour , unmissable not New York . would also worth buy weekly bus ticket , purchase underground / subway self - service machine , save lot money . try use yellow taxi be go use one - black one well expensive . taxi charge transfer to / from airport - time travel $ 45 . be go Statue Liberty want walk top ( inside course ! ) , pre - book day advance . want visit island however , get ticket day . 
 Sep 13 2009 	 bumpy start 2nd room fine- great location price 	 bad start , arrive late , find bathroom ' inadequate ' ( filthy ) . eventually , make start clean ( suddenly realise honeymoon not actually clean ) , change room first night . get back second day , have give room 12th floor overlook 35th Street ( much quieter room back look aircon unit ) .Despite slight hiccup start , would stay agin price location good . 
 Aug 29 2009 	 great location nice hotel 	 stay 2 night 23/24 august . arrive early sail Queen Mary & amp ; staff happy store luggage check 3.they provide we map , & amp ; marked Hotel could find ! location great . empire state building & amp ; Macy 's 1 street away & amp ; Times Square 10 min walk away . there load restaurant & amp ; deli be close by . Unusually New York , hotel offer complimentary breakfast . offer cereal , doughnut , muffin , boil egg , bagel & amp ; toast hot drink & amp ; juice . this self service , & amp ; yes , another reviewer mention , paper plate & amp ; plastic cutlery - hey - 's free , & amp ; be fresh not complain . there also complimentary coffee machine reception , & amp ; free internet access , although always busy . we use wifi room easily use laptop . our room top floor ( 12 ) & amp ; large , clean & amp ; comfortable . it efficient air con - absolute must August 30C & amp ; 86 % humidity . ice dispenser several floor & amp ; vend machine . next door great deli serve cold drink & amp ; great burger & amp ; sandwhiche . not try & quot ; Brendans & quot ; house restaurant , menu quite pricey , even 15 % guest discount compare place eat . I recommend 2 Chipotle mexican grill & quot ; 34th street parallel Hotel . mexican fast food - try Burrito Bowl - yummy & amp ; $ 8.we evening flight home & amp ; , store luggage we . all , would recommend hotel sightseeing & amp ; shop . 
 Aug 25 2009 	 great location get around average hotel accommodation 	 hotel situate around coner Empire State building Macey 's plenty restaurant near . well positioned get around Manhattan . hotel little dated room clean sizeable price pay bathroom . decor need update . room book last minute end smoking room ( ' m non - smoker ) linger smell tobacco may cloud judgment ( sorry pun ! ) .The hotel ok traveller budget . 
 Aug 20 2009 	 good choice 	 family walk 2 easy block Amtrak Penn Station hotel , check 6th floor room . hotel convenient Macy 's Empire State Bldg subway , little Times Square . bedbug night construction noise , reviewer mention . room clean comfy . trip couple time raise threshold bathroom doorway floor . wash basin drain little slowly . get tv channel could not ' figure use remote correctly . courteous staff helpfully store many bag checkout , hail taxi . return daughter 's I - Pod carelessly leave room . check , however desk clerk would refund $ 1 per night use room safe , although sign - in agreement promise would . please note room keycard , promise guest discount eat hotel restaurant ( & quot ; Brendan 's & quot ; ) show waitree , key -- not notice offer write check . 
 Aug 19 2009 	 New York Brill ! ! ! ! ! ! ! ! ! hotel ? ? ? ? ? ? 	 book dream holiday Virgin hol 's . Boston , New York Washington Silver Wedding Annversary . could not wait get new york hotel . let ! arrive reception must receptionist review time we . greeting ask we credit card , tell we room number . big greeting ' have nice day ' . staff well go bar not expect good welcome chat barman like pull tooth talk . 8th floor dark small uneven floor , corridor . room dark , brown tan could not see window quite depressing really . a / c old loud bed clean lovely need walk around new york . breakfast quite surprise never see anything like plastic knife , fork spoon , paper plate paper cup . God help butter hard break 3 knife try spread bagel . hotel fine washing , shower sleep spend day . one warning get ticket red bus hotel , advertise get ticket pay commission ( happy receptionist serve we never tell we til pay ) still get ticket bus company travel , recommend brillant guide great fun also get ticket empire state ellis island bus ticket save queue . New York fantastic would go stay somewhere else 
 Aug 7 2009 	 start great end badly ! ! ! 	 overall experience Comfort Inn fine , last day . I leave luggage locked room downstair 8 hour , return pod , jewelery . disclaimer say leave luggage risk , leave luggage numerous time hotel / hostel . the reason angry contact Hotel one willing help . 
 Aug 2 2009 	 great location - hotel ok 	 husband spend 4 night hotel . location fantastic hotel clean . look - perfect spot . however - aware room picture see website necessarly representative room may get . stay room 409 . deficiency room uncalled . maintenance issue . light switch entry way croocke . bathroom , cold water tap break need press turn get water . ( can not believe chambermaid report . ) shelf place sink actually face brush tooth place put stuff . curb shower curtain rod . ceiling bathroom damage paint peel . mold surround bathtub . one pole place towel . room face another building - understand - however window dirty add darkness room ! overall employee pleasant . specially find Ms. Gulbye nice , pleasant helpful . however - stay deal another lady name tag ( slim , black always work day shift ) obviously whish anywhere else ! polite . Impatient friendly . tell disturb . encounter pure stranger street helpful . work industry . all say - hotel fine long need good clean place sleep great location . 
 Jul 15 2009 	 great location - great service ! 	 stay Comfort Inn Manhattan March 2009 group 30 teenage Foreign Exchange Students . hotel quiet safe location jan easy walk ( 20 minute ) Times Square . staff wonderful accomodate WHATEVER throw . 2 elevator although bit small slow , never wait long . also stair right across elevator could always use real hurry . room rate good clean fairly large . nice restaurant / bar attach hotel number irish bar within stone throw hotel . old hotel gem ! email Hotel Manager yesterday check availability March 2010 tell something ! althought entire staff great , 2 people deserve major kudo . Tony Manager Brian work front desk . Tony go beyond help we response always & quot ; sure , ! & quot ; Brian help one chaperone BIG TIME well . leave hotel en route DC bus , chaperone realize leave wallet small cafe next door . call hotel , Brian run next door find proceed overnight DC receive next day . honest man ! look forward stay CI MAnhattan would recommend anyone look clean place stay save money ny . 
 Jul 10 2009 	 great location good room - satisfy 	 comfort inn great midtown location right next empire state building . hotel reception staff friendly helpful . room spacious comfortable ( queen bed - go king ) . clean . free breakfast basic well nothing . overall happy . unfortunately staff could not accomodate early checkin request arrive NYC 7 am wait till 1230 check . 
 Jul 8 2009 	 great value money 	 stay part large group think great value $ 200 night rate charge . positive side , room reasonably clean quiet service friendly efficient . also , locate street subway station . in term complaint , big dissappointment room window , due fact 's exterior cover thick film grime face brick wall , provide little , , natural light . feel though cave . think colour scheme ( gold wall black door , furniture & amp ; detail ) contribute dark , dingey atmosphere . bathroom , bright modern tiny sink less would expect room two double bed . photo room , lobby , restaurant internet give impression much bright roomy space real life . also , electronic key lose magneticness constantly get habit ask front desk re - scan everytime come . huge deal , annoying , especially already someone front desk help . finally , think block hotel bit grimey run . anyway , compare rate hotels area modern bright lobby Comfort Inn actually expensive . course not know hotel would superior room Comfort Inn , hard imagine , least , comparable . overall , conclude likely much well value Manhattan hotel . 
 Jul 8 2009 	 Adventures Big Apple 	 small friendly hotel , date yes history making ? ? ? ? [ check stain glass window reception / bar area ] room 12th floor request , clean roomy add bonus magnificent view Empire State ; bathroom adequate plenty hot water daily abundance fresh towel , soap , shampoo etc . the staff encounter helpful lady work reception night lovely , always available advice chat even book we line journey home bless ! ! ! ! location hotel ace , within walk distance many attraction afield walk anyway see New York foot order miss anything ! ! [ take comfortable shoe ] ! ! ! ! ! ! ! ! ! breakfast bonus keep we go mid afternoon Brendans Bar serve delicious food - the lamb chop gorgeous staff friendly bunch too . on whole , look hotel good location , be clean , friendly not cost mega buck one . New York first trip & quot ; States & quot ; plan visit elsewhere good old u . 
 Jul 6 2009 	 great location friendly staff decor bit tired . 	 Reviews site useful realistic . hotel ina handy location visit tourist attraction . every staff member friendly keen help advise . room spacious city , especially compare european hotel . room decor little sad tired eg break floor tile bathroom . however not spend much time hotel much see . New York fantastic city , feel completely safe time . open top tourist bus great value , 3 day ticket use get everywhere . Food Brendan 's tasty good price 15 % . 2 irish bar across road also good , especially ' ve hectic day . 
 Jul 6 2009 	 great location quiet room awesome bed ! ! 	 love place - 's fancy 's SUPER clean , location great ( W. 32nd , AKA korean way - lot place street open noodle , etc . 24/7 ) , bed memory foam mattress divine come home beat pavement sun sun every day , not hear PEEP street noise - partial thank in - room AC unit run night . room safe also plus . room huge , generally expect NY since not plan in - room gymnastic not find problem . drawback ? wall little thin inconsiderate neighbor slam door first night ( always carry earplug thing really loud ... ) . also free breakfast feeding frenzy - good quick pick hit street , might well grab bite & amp ; head room like . elevator little slow not bother we . last time NY stay Affinia $ 250 night , get MUCH well rest , MUCH well value . PLEASED stay ! 
 Jul 3 2009 	 great position hotel 	 return 5 night stay , hotel perfect position . right Empire State Building , end block Mac'ys . Times square 10 min walk away . room 807 refurbish look window could see Empire State building . Room clean every day clean towell leave . large closet plenty storage space . breakfast good , bagel , toast cereal , fruit , waffle . never wait table usually get 8.30 - 9.00 . loverly korean restaurant opposite hotel reasonable . buy New York City Tours 3 day bus ticket cost £ 48 , include entry Emprie State building ferry ride Statue Libery . night tour also stop Brooklyn able get take picture Brooklyn bridge New York Skyline . would definately stay hotel . 
 Jul 1 2009 	 Value Money Great Location Beware difference room 	 literally get back ny . stay 3 night Comfort Inn . location brilliant . could not choose well . reception clean welcoming , staff helpful chatty . beware Spanish , middle aged female receptionist . friendly helpful witness arguing guest one occasion . desk staff really friendly helpful . steer clear will fine . : ) difference room . unlucky enough give one side room one window light ask change immediatley front room back room . window make big difference room . ask change . first spanish lady say , room , possible . lie one guy swap we hour later room front hotel . difference amazing . room clean welcoming . little old decor aircon noisy relly truly price room good deal . much well stay hostel . shower room fantastic despite read review prior trip thught bathroom clean adequate small . with coffee cafe next door Brendans restaurant side short food caffine . do try coffee machine reception ! yukinternet free reception , long que . two main lift adequate slow . breakfast luxe . ok . Bread / toast / bagel / donut / cereal muffin . good enough although repetative . plastic cutlery , plate cup interesting . take margerine . unless fancy defrost butter light problem ! good idea take jam , peanut butter , marmite etc . jazz breakfast . Macy 's Broadway forty meter away . empire State building right behind hotel . the window second room open without problem aircon work . find noise street bad . construction go build next door not hear anything there . the hotel old , character consider price happy . be right opposite Hilton cost ton more . do not actually see maid room clean bed fresh . plenty towel bathroom . the safe work well big enough document , ipod , camara etc . easy catch taxi 's front hotel front macy's . big cheap Old Navy store side Macy 's . value money . area feel safe . in general , bargain price - beware receptionist mention ! 
 Jun 22 2009 	 great location ideal money complain ! 	 staff ok , lady receptionist 's helpful opposed male little grumpy side . breakie abundant , eat much like good service . room large , could do double glazing keep noise , anyhow that s ny loud full life . location ideal , everything want within 30 min walk . ideal place budget , do not expect Waldorf get pay . 
 Jun 18 2009 	 could not get well location 	 stay part Virgin package four day . room typical city centre one exception ... great top bottom view Empire State Building hotel window.500 yard Empire State Macy 's , 7 block Times Square theatre . this ideally locate hotel heart city . breakfast pretty good also . would recommend . 
 Jun 2 2009 	 great location great hotel 	 husband twin holiday Virgin go New York Las Vegas . arrival hotel greet staff not friendly really quite grumpy . room good view Empire State building building work go outside continue thoughout night . ask move room staff not seem care want help . also cold tap room not work toilet get block . go breakfast find use plastic knife fork paper plate plastic cup drink water juice . overall location hotel great hotel great . look place sleep use base , however disruption night mean not even get good night sleep ! 
 Jun 2 2009 	 Location Location Location 	 read bad review surprize Hotel good price pay . Virgin Holidays 4 night include flight transfer £ 600 per person , bargain . hotel central . good staff reception busy efficient . free Internet . room Clean ok look room first , gather good . plenty clean towel hot water old hotel plenty character . breakfast ok Orange Juice coffee toast plentiful . buy jar marmelade take . much seat use bar area sit window .. great . overall good experience four Saga lout ! eat time , get centre get much cheap food much well . wine £ 30 bottle average . little Italy great people watch . avoid loop bus $ 44 stay public bus great frequent . even go Harlem get bus meal get back bus complete circle . everyone chatty bus advice plentyful . accept loose change bus fare $ 2 ever go change bus long within 2 hour . super break . want museum go Frick mouth drop open experience 
 May 27 2009 	 ideal place stay 	 stay husband young son last week . little wary read certain review pleasantly surprised arrival . receptionist deal we arrival friendly helpful - fact , staff encounter stay . greet whenever walk past reception wish good day staff pass corridor lift . room slightly date decor - wise clean , comfortable good size . bathroom surprisingly decent size . room walk - in closet , flat screen tv , fridge microwave . the include breakfast good start day - buffet selection cereal , toast , fruit , bagel , waffle , donut , muffin , juice , tea coffee - adjoin restaurant breakfast serve lovely . tea coffee also available time , free charge , reception area . also guest computer printer too . the hotel well locate explore city . empire State Building around corner , Macys across road end street . Times Square 10 minute walk away ( maybe less ! ) subway station end street . top Rock quite close , 10 - 15 minute foot . not first time New York first time would stay hotel would certainly stay next time ! 
 May 22 2009 	 much well expect 	 read review set little concered . arrival greet ( that s call ) staff hardly speak unless ! ! room , stay 6th floor 609 lovely , clean , nice size , comfy queen size bed , View empire state building . flat screen tv , nice size bathroom , safe ( pay $ 1.09 per day ) pretty good . try breakfast , room service connect restaurant . location fantastic , right Macy 's empire state building . subway station corner handy . wicked pizza place corner ( try pepperoni roll , nice ) .The really bad thing say not hotel , behind hotel building , bang drilling hour night . not let put though would stay location cleanliness . 
 May 18 2009 	 great location comfy stay 	 friend decide spend week New Years hotel please . room basic expect due budget title hotel . everything need though . staff helpful first time New York receptionist get map spend next 30 - 45min show we go nice head show we good way time have . we breakfast include deal resturant next door . buffet offer everything could think tea , coffee , juice , bagel , toast , ceral lot ! ! ! hotel prime location short walk main sight . would definatly think stay due friendly staff price . 
 May 14 2009 	 excellent value ! 	 excellent choice comfort convenience reasonable cost . room small clean recently remodel , seem . staff friendly helpful . room streetside noisy , new york noisy place . 
 May 10 2009 	 ideal base holiday . 	 partner visit hotel twin centre holiday December ' 08 Virgin Holidays ( twin Las Vegas ) .The hotel ideal location explore Manhattan , central , turn leave you ve get Macy 's end street turn leave 5th Avenue Empire State Building ! hotel small tired first time New York do not know expect know unless pay top dollar norm . fairness base holiday . eat breakfast somewhere else though ! eat breakfast hotel restaurant eat paper plate plastic knife fork ! yet day place serve delicious food drink great service .. could not work one ! staff hotel friendly helpfull . one hotel sit coach wait drop hotel think ' ooh hope that s mine ' ! highly recommend full helicopter trip ! Highlight whole holiday ! 
 may 8 2009 	 could want ... shop nearby 	 first trip big apple could not choose well place stay sightseeing shopping , macy one way 5th ave , staff friendly polite breakfast bonus muddle unorganise allthe room large ( choose twin ) warm homely consider -6 outside snow do not much view who s look one much outside anywaycoffee tea tap recetption area welcome , also internet access.all pleasent stayreccomende 
 May 1 2009 	 great hotel kind staff great location ! ! 	 stay four day hotel realy nice expirience . suprise near Times Square . staff realy kind . even breakfast price , tipically hotel NYC . also suprise quite room . I would definietly recommend hotel probably come back one day hotel . LOVE NYC ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Apr 23 2009 	 execllent value 	 stay 3 time total , girlie trip , part honeymoon trip . cuppel trip , every thing walk distance , easy get around , great base , get from.would like tea coffee make facility would earth sight see shopping day , also set first thing morning , go bug eyed breakfast , say , would go back , location , location , location 
 Apr 3 2009 	 cheapcomfortablecentralcleancome stay . 	 read review hotel wonder earth let , even pull hotel rather dubious reception greet desk staff friendly way put niggle doubt rest , lady behind desk give mummy map lot useful info remind we breakfast complimentary .rooms good size ( NYC standard ) clean need , point must question doubt thomas complain room , exactly look ? surely bedroom NYC base explore city , know city attract people book room stay day relax , surely wonderful city would suit far well & quot ; get away unwind & quot ; . location spot , empire state building right , macys leave , subway hop , skip jump away ........ could need ? other & quot ; diss & quot ; breakfast mother happy , oatmeal , toast , bagel , cereal , bun , donut , juice , hot drink - a lovely choice do not set morning sure go expand waistline artery like one many diner close . book hotel worried review please put worry aside , mean waldorf astoria usual standard hotel pay awfully lot , reasonable rate stay , ( spend penny shop ) : - ) tip : transfer expensive - book super shuttle , hotel - jfk 2 people 38 $ . hotel give number . 
 Mar 28 2009 	 great location tour group 	 stay hotel school group 30 kid would highly recommend central location , close Herald Square , Times Square , Penn Station , Madison Square Gardens , subway access & amp ; plenty shopping student ! be budget traveler not need surround luxury survive holiday , would rather get street experience city , place stay . like quaint old - fashioned spiral staircase & amp ; outside mason brick exterior ; sure beat modern - day boxy look concrete building . there bit construction / renovation noise deal early every day not really affect visit . disappointment breakfast buffet , feature mostly starchy ' white food ' like bread , muffin , toaster waffle , baked ( boil ) bagel , boil egg 2 type cereal . fruit whole orange apple . become tedious week find hunt variety fruit & amp ; cereal breakfast . refrigerator room keep supply snack . we chaperone dinner pub / restaurant downstairs one night thoroughly enjoy meal . place sure hop St Patrick 's Day ! 
 Mar 18 2009 	 Perfect location 	 stay hotel twice 2 year , late Feb 2009 . location hotel fantastic . locate W35th St , near Herald Sq close many attraction nyc.time sq- 10 min walkempire state- 5 min walkMadison Sq Garden- 10 min walkMacys- 2 min walkHerald Sq- 2 min walkthe hotel undergo renovation , luckily enough staying room recently renovate . newly refurbish room , 603 , nice , clean , modern , bed nice comfy ( essential day explore NYC ! ) room safe , flat screen tv , microwave , fridge free wireless internet access . anyone visit hotel , recommend visit Playwrights irish pub across road . owner staff friendly , sell good pub grub . downside hotel room get hot , radiator appear part NYC heating system way turn , air con unit room however , able get room comfortable temperature . would recommend hotel anyone , nice hotel fantastic location . 
 Mar 17 2009 	 Decent value money great friendly staff 	 husband stay birthday 4 night . find staff friendly arrive 1.00pm give key room easy efficently . lift small find never wait long couple school party book time we ( yeah lucky we ! ! ! ) .We quite happy room first glance look excatly website . ask smoking room give we problem , agree review , even smoker smell quite disgusting , can not really complain smoke smell . bad point room heating . unlike review find room quite cold never heat seem come 3 morning make horrandas noise . the breakfast prob everyone one tast husband friendly work never ask tip ( read review ask ) . always fill empty . I can not say actual saw bed bug read review never actual big bite sort itchy rase put cold weather cahnge sheet . know would not like say . I really like stay find great value money would reccomede 
 Mar 12 2009 	 Fantastic Hotel ! - everything could want trip NYC 	 stay 5 night 10 people could not ask well . Smack bang middle city - gateway everything . empire State Building literally around corner subway entrance end street take destination . recommend get 7 day Metro Card - $ 25 limitless subway bus ride - well worth . Breakfast delicious - Bagels , cereal , waffle , toast , donut , muffin , tea , coffee , juice much ! internet printer available reception handy check flight online etc . .Staff helpful , help book lot trips- would advise everything least seek advice lot tout company sell fake ticket give misguided info sell product . bar staff Brendans , bar attach hotel brilliant - drink reasonable Cosmopolitans really nice . look free round drink custom . also bar food die - must try . 3 room two double bed . bed comortable want take home . good size room bathroom great closet space . room spotless - fully hoover , towel change everything change daily . newly re - furbished room well do . room still done complete soon . go soon 4th Floor already do may want request room floor . street hotel plenty amenity , three irish bar , fast food joint , Cocktail Lounge call Catwalk various Souvenir shop . recommend Digital Express dead opposite hotel owner Charles George helpful offer discount . 10 we receive way $ 100 discount us souvenirs memorabilia could hope . warn anyone ( hotel ) tour Guide Company call Grayline . Hop , Hop bus around city . offer we package hop , hop bus 2 day fab , also express pass Empire State boat tour , get see Statue Liberty Ellis Island . please AWARE New York Water Taxi ( small yellow boat ) , REPEAT stop island sail around . way get island go battery park use liberty cruise - official company pay $ 12.00 ticket cheap . also Empire State part worth although queue jump , get early enough queue anyway . pay $ 73 use bus , pay extra express Empire State pass need shell another $ 12.00 another Statue Liberty Ticket . apart amazing time - good city world opinion Hotel certainly big part experience . 
 Mar 11 2009 	 Bedbug alarm ! ! ! 	 ok hotel - nice location - first night find bedbug bed ! ! ! ! ! scooped bug take reception . guy seem surprised give new room . not sleep well . , back Norway , wonder little bugger take trip back home .... 
 Feb 25 2009 	 decent room .. nice staff stay next visit 	 really put visit hotel reading review arrive comfort inn find staff friendly room cosy clean although view window wall , city compact one do not really expect view.the breakfast brendon be not fanastic do not worry like eat . location fantastic macys empire state one end subway .... evening meal brendon lovely also o'rileys street mean burger ..... do not worry bout hotel FINE x 
 Feb 20 2009 	 fabulous location clean comfortable exactly want 	 sister stay 6 night , quite worried read review sight . say go expect clean , comfortable hotel fabulous location ... nothing spectacular , be will get . we arrive check minimum fuss say find receptionist pleasant enough take 5 min . room 1107 , 11th floor overlook road , however view Empire State Building ! ! ! ! book double x double room , however room 1 x double bed single ... 2 us problem . pleasantly surprise size consider thing would read . large walk closet decent size bathroom . load room storage suitcase etc , 4 case we ! ! ! decorate quite tastefully carpet perfectly clean . also nice clean towel everyday , everything ' expect hotel , disappointed . one issue toilet stop flush , rang reception send maintenance man within short time fix . the Hot water need run quite sometime run hot , get knack fine . the Breakfast complimentary honestly think alright really . hot tea coffee , fruit juice , bagel , muffin , doughnut , toast , egg , fruit , cereal , waffle … . enough set , ... ' free go somewhere else … ' pay extra ! ! ! ! Brendan ' bar , also breakfast menu additional cost . restaurant lovely night , eat one night lovely steak , place look totally different night … worth visit tired ' bother much . the Lifts ' enormous mean , big enough fit quite people we 2 suitcase . true time wait , especially breakfast time … ' big deal , never wait long 5 min . find staff fine , even maid chatty lift , ask we visit give we insider tip . however ' type people need staff top face time , satisfied . location definitely sell point hotel , 5min walk Macy ' Empire State Building , 10 min Times Square … Subway also outside ( buy day ticket $ 7 , well worth ) also find coupon one free leaflet $ 5 fix price taxi return airport , rang book turn time charge ' pay arrive , standard fare $ 45 plus toll , around $ 60 tip . New Yorkers big tip , prepare . 
 Feb 13 2009 	 great Stay NYC 	 husband return 5 night stay Comfort Inn . room 1009 wonderful view esb . room spacious clean wonderful comfy bed spotless bathroom , albeit little small adequate . the problem room look build site start 7.00am morning fault hotel anyway . the breakfast hotel lovely , offer cereal , toast , waffle , bagel cake etc well juice tea , coffee . staff breakfast great , clear re - fill constantly . annoyed see one person apart drop even dollar tip jar , even though pressure ( unlike pay dine NYC ) guy deserve tip ! ! staff hotel friendly courteous always available help . elevator although express quick always run . brendan bar great night cap pour mean screw Driver ! ! outside hotel leave within minute walk Subway Macy 's , 10 minute Times Square , right minute walk 5th Avenue shop esb ! ! location hotel perfect . all great time hotel NYC , leave review hotel , happy answer question may . 
 Feb 9 2009 	 fantastic value hotel great location 	 little nervous hotel reading review describe grubby - much well expect . ok , 's Hilton , want comfy bed clean room , clean bathroom hot shower , fantastic location , great . bed v comfy , could see Empire State Building room , never prob heating , flatscreen tv , wireless access , bathroom need update clean good shower , never problem noise . Macy 's two minute walk away one side , Fifth Avenue end . could walk Times Square 10 minute , subway two minute away , many diner shop . brilliant . buy hop hop ticket not rate much - tour guide great - lot 's easy find everything . course , hotel need little updating , long 's clean look nice , 's matter . ' ve read complaint lift problem . would really recommend hotel budget want somewhere nice central . 
 Jan 25 2009 	 Perfect location 	 return first visit New York celebrate wedding anniversary . room 11th Floor much large expect , previously warn hotel room New York small . although large bay window another large window side room feel dark due window dressing . sadly , not much view expect much view busy city centre . the bathroom small serve 's purpose . complimentary toiletry worth , teeny - weeny bottle ! plus side abundance fluffly white towel - much need . there two three quarter bed room , high ground bit tight squeeze two ! room also pleasantly decorate . the Reception staff friendly helpful . electricity go one morning , restore quickly efficiently . the good thing hotel 's location . empire State Building around corner leave Macy 's end block right . couple Irish Pubs road lovely micro brewery / pub base Empire State Building . we manage navigate pretty well foot , street / avenue grid easy get mind around know . well Empire State Bulding Macy 's , Times Square , 5th Avenue Grand Central Station within walk distance . we buy hop - on , hop - off two day bus ticket see sight get bearing . downtown Tour Brooklyn Loop less uptown tour foot . hop Downtown Tour Ground Zero walk Battery Park catch Free Staten Island Ferry see Statue Liberty . great view River ferry swap ferry come straight back . overall , like food eat , stick chain like Planet Hollywood TGI Fridays find food greasy serve cold . would go little main street diner next time , lot lot choose from . highlight trip Empire State Building , view amazing , Statue Liberty , Macy 's . Tiffany 's , Central Park snow buzzing atmosphere Times Square . as Comfort Inn , Manhattan would choose stay budget tight . feel ok , ok - quite three star , certainly one star site suggest . common area look grubby , lift tiny Reception . tea coffee available room Reception courtsey room available travel home later day . important point everything forgive 's fantastic location . 
