amazing 	 look website . look odd - not go . , like , think look amazing re - mortgage house , sell family silver - whatever take - visit ! ! think bad review people not get ? take Partner overnight birthday . hotel stunning . wonderfully eclectic mix style . gold tooth gnome seat next giant chess set foyer - need say ! ! staff wonderful make day absolutely perfect . Booked ' romatic package ' room look amazing arrival champagne rise petal . do not eat dinner hotel cocktail Asia de Cuba midnight pack still find we table 5 3 minute somehow . fabulous vibe really relaxed atmosphere somewhere busy . thank staff make day special . 
 fabulous ! 	 beautiful , hip trendy hotel , lovely room ( studio room champagne , rise petal , candle amazing view ) bar fantastic . Asia de Cuba wonderful food service perfect , although seem little keen move ' ve finish eat , even still drink wine . pricey worth money spend ! 
 Overpriced 	 Crowdy hotel , nice people , good restaurant Asia de Cuba nice lounge bar small room expensive quality 
 Sep 3 2009 	 experience peaceful design West end ... afford ! 	 keep delightful impression stay St Martins Lane Hotel around Easter 2007.brilliant location West end , quiet spite lively neighbourhood , extremely helpful friendly staff , lovely design without & quot ; much & quot ; , chic young , excellent service ( include large & quot ; welcome & quot ; fruit basket room ) , good ( queen size ) bed ' ve experience hotel far . the room bit small expect , tiny either . even though pretty expensive , be definitely worth stay hotel least ! 
 Aug 21 2009 	 great location . quiet . comfortable . genious interior design . 	 nice hotel , 2 minute walk Trafalgar Square - - spite noisy neibourghood - quiet . minimalistic design make hotel boring - visa versa - cosy feel home . stay Standard Queen , possibility see room type . equally nice . room large , - need dancing pool room trip . enough space stuff . bed comfortable large enough . staff friendly . service excellent . restaurant - Asia di Cuba - one well fashionable place London . food delicious ! 
 Aug 20 2009 	 eh ... glamour stop get elevator 	 decide go London weekend trip , time location supreme importance , regard , think would difficult find fault St. Martin . 's supremely center pretty much everything one would want see , especially time constraint - map . generally like emblematic morgans/ Stark style ( bar randomly jar uncomfortable eye - brow raiser ) , seem like really fun concept - hotel facade change colour whim guest . first impression fantastic - lobby fabulously clubby without tacky , clientele young/ young heart/ date someone young , staff helpful . behind we elated vision understate , quirky elegance come headed elevator . first crack armour begin show ... literally ... elevator look beat - scratched , small fairly ordinary hair metal band blaring speaker ... complete contrast decor behind door . thinking & quot ; get , 's elevator & quot ; , will disagree - elevator usually pretty solid indicator old hotel much attention detail pay management - see bad oman . hallway not much well aesthetically , serve purpose : time get room expect little metal cot would received loudest & quot ; Hallelujah ! ! ! & quot ; we . reality not dire , room , save special touch ( large window + great bathroom/ shower + actual light changer bed ) borderline ordinary sub - par . illustrate : tv room tiny black box poor reception - not even flat screen ! design focus hotel , strange outdated transgression - Motel 6 well equipment . furniture one point , undoubtedly , flawless , lose freshness scuff , beat begin cross bad state ikea furniture descend endure move . everything feel like overstay welcome two year need replace desperately - style distance , close look , Potemkin 's village . one great place would definitely go back intercontinental bar across street - great bar tender turn flawless negroni take great delight craft . go night impress time . 
 Aug 17 2009 	 bit mixed bag ... 	 good : Asia de Cuba delicious wonderful , staff friendly sweet . hotel location fabulous , easy walk distance Soho , Trafalger Square , even South Bank . lobby room stunningly beautiful , chic design - saavy . the bad : bed unbearably horrible - could feel spring mattress poking . unable sleep . air conditioning ( call ) would cool reasonable temperature - even maximum & quot ; cold & quot ; set humid tepid room . overall : overpriced . chic mean uncomfortable . 
 Aug 16 2009 	 room really need bit attention 	 amongst thing , stain carpet , desk sticky substance ( suspect cola drink ) , aircon barely work , one showerhead work , side unit bathroom straight would make racket tip time something put it . despite , staff continue superb ( second visit ) location excellent . back , hopefully housekeeping maintenance would walk room sort minor issue . 
 Aug 12 2009 	 Luxury Location 	 hotel perfect family . contact leave USA request possible need King bed room two double teenage girl room . reply quick say would accomadate we possible . upon arrival staff go way make we comfortable meet need . upgrade room request extra charge . since 8:00 store luggage supply we breakfast idea map room ready . room comfortable large compare european standard . bed , comfortable . beautiful private courtyard connect room . modern hotel bright color interesting furniture . wish lighting room bit bright . daughter room seem fine . hotel must soundproof hear anything hallway downstairs popular restaurant bar . throughout entire stay hotel staff go way help direction , map , idea , ticket & amp ; never open door . mention location ? Charing Cross tube next block . Leicester Square 1 block direction . 17 year old get picture take member new Harry Potter movie promote release . Tafalgar Square Piccadilly Circus within walking distance . great restaurant bar within easy walk distance . would careful China district seem quite safe food good . 
 Aug 7 2009 	 good location tiny room ! 	 stay two night last weekend . pay £ 180.00 per night without breakfast . room tiny ikea style furnish ! good shower bathtub . good location central . not worth price pay imho . 
 Aug 7 2009 	 worth upgrading 	 stay one night want see show get home afterwards . get deal website book & quot ; loft suite & quot ; far big room stay hotel , although technically neither loft ( 3rd floor ) suite ( one room ) . cost £ 337 , lot , though , even discount . room gorgeous , big comfy bed , big bathroom separate bath shower , two wall full length window . plenty amenity , include bath robe , slipper , umbrella borrow , everything also sale , include cactus ! shower , not great water pressure , disappointment . eat room service menu , ok , expensive . light sleeper , take eyeshade , combination big window , gap around curtain pure white room mean get light morning . 
 Aug 5 2009 	 terrible ! 	 enter room look shock consume boyfriend face . return 3 week holiday US staying hotel like Encore Wynn SLS Beverly Hills , hotel DISGRACE ! room size matchbox LITERALLY ! insult hotel make people stay 250 pound night ! room would appropriate student hostel .. tell reception happy room tell full lie .. one care enough help we . never hear anything else .. could not even fit luggage room ! ! ! rate 4 star sure trip advisor 5 star .. rate 4 star like 3 star . we spend stay try trip attempt move furniture make space walk around room without jump hop get bathroom . RIDICULOUS ! ! upon return back home receive feedback email hotel . write stinking review still hear back . somehow decide stay hotel make sure get suite .. price rather stay somewhere else ! travel london every year never experience anything bad . location amazing .. pity hotel ! 
 Aug 4 2009 	 overrate 	 always want stay hotel , air sophistication unique . time , trip London , choose stay St. Martins Lane special treat . waste money . lobby great original . unfortunately , stop right . room extremely tiny . one would thought money ( pay GBP 250 per night ) room would decent - sized . , small cramp . literally squeeze past bed forget luggage do extra shopping . nice touch room , adjustable colourful lighting , Korres toiletry . compensate disappointingly tiny room . one great thing hotel location . minute away west end , Oxford Street , Knightsbridge etc . , well - value hotel neighbourhood too . I would say , skip staying hotel go restaurant bar wish get taste ambiance . personally , stay . 
 Aug 3 2009 	 Excellent hotel great staff ... 	 back weekend stay St. Martin 's Lane hotel . great stay stylish hotel . staff great , friendly helpful . we garden room . huge outside space , nice small terrace plant , table chair . room great layout separate wc , large walk - in shower sink . use i - pod docking station nice decent amount channel flat screen tv . dvd player also room - free borrow disc available . great location many attraction within walk distance hotel - theatre , Leicerster Square , Trafalgar Sq , Covent Garden , Soho , Oxford St , National Gallery , National Portrait Gallery ..... Leicester Square tube 3 minute walk away . 
 Jul 30 2009 	 Bring earplug 	 stay birthday weekend last year , combine trip ENO . nice , clean room , pricey room service . go well private function hotel turn music . room directly din . present reception greet clueless mannequin staff not really care sleep disturb . racket continue 2 am , disturbed workman dismantle function , talk , shout slam van door ... window . staff finally move we 6th floor 4 am weekend ruin private function evidently important rest . decline management 's offer stay half price , complimentary champagne . would not go anywhere near place . summary , not give stuff . abysmal customer service . 
 Jul 29 2009 	 Fun hotel great location friendly staff 	 get fantastic rate 160 pound night hotel hotel 's website . moment step cab , service flawless . concierge helpful knowledgeable . lobby room modern , start show little wear tear . room small , totally adequate give price location . find bathroom well design , clean , contemporary . housekeeping magician , never see , presence obvious daily cleaning turndown service . Asia de Cuba locate inside hotel good , good New York Miami location . drink hotel lounge great , think tacky charge nuts olive , usually complimentary hotel bar . modern , funky hotel part Morgans hotel chain , own Delano Miami . chain prides & quot ; party & quot ; hotel , mean loud music evening club type atmosphere weekend line people door try get , party , stay somewhere else . also , hotel sign , glass facade . location near perfect , easy walk Leicester square tube stop walk distance theatre great restaurant . overall , great stay would definitely go back . 
 Jul 27 2009 	 Hotel ideal location sight London ! 	 amazing hotel ! walk spacious lobby get good feeling . front desk reception staff nice helpful . book standard room happy . room spotless comfortable . towel big plush , know hotel everything right ! location hotel perfect . block two underground ( subway ) get everywhere London . also right west end London theatre around area . & quot ; Sister Act - Musical , excellent ! Heathrow Airport take Piccadilly underground line get Leicester ( pronouce less ter ) square stop . hotel couple block away . convenient ? definitely return St. Martin 's Lane Hotel . P.S . Alex , one hotel 's concierge excellent . professional provide great information stay London ! 
 Jul 20 2009 	 excellent hotel great location 	 outside difficult tell build hotel , step inside really wow factor like modern minimalistic look . reception bright funky furniture , staff really pleasant constantly ask ( annoying way ) could assist we anything . our room small intending spend long , upgrade intend much get shower , change sleep . everything white except bit silver one pink plant - colour room . husband wake say feel 's wake asylum ! ! ! ! know 's like wake asylum not know . bathroom good size nice fixture fitting , good quality toiletry . we not eat drink hotel understand food good although defiantly 5 * price . would stay .... personally really style rather bad hotel . 
 Jul 15 2009 	 stay Plasterboard palace . 	 convert , 1960's/70 's ugly look office block , hence limited picture hotel . not undertstand 5 star rating . bedroom call ' Trendy ' look like kitte Ikea awkwardly design . reception feel hotel feel seedy . would much rather spend money establish hotel . plaster board wall need slap paint . cocktail dreadfully expensive , high price pay London . bed small comfortable . 
 Jul 13 2009 	 far well expect 	 book superior queen room two night priceline , come less $ 400 night include fee taxis . location fabulous . centrally locate easy access tube , despite center would imagine fairly touristy area ( theatre district ) , noisy unpleasantly crowd stay there . first , room superbly design , perhaps huge square footage , lay way feel spacious ( bathroom , objective measure , huge ) airy clean without cold antiseptic . entire wall floor ceiling window look St Martins Lane . wonderful . the linen , bed white ( way hide stain indicate hotel intent demonstrating cleanliness ) extremely comfortable . service professional , helpful . though & quot ; trendy & quot ; Morgans hotel , attitude . nice . Buffet breakfast 15 pound cheap well worth be big eater great selection pastry , fruit , meat , etc . room service food surprisingly exceptional . really , really satisfied . a couple minus , glitch window blind one lamp not work . one day , elevator order hour lot guest need leave take city , go business meeting check . little improvement need maintenance area , great value money . would definitely return ! 
 Jul 13 2009 	 luxurious comfortable accommodation great location . 	 return weekend break SML husband , must say enjoy time hotel number reason , experience traveller may find & quot ; style content & quot ; tad pretentious . room , garden room , immaculate check , although surprised find provide numerous item use , include cigarette , clothing , indulgent selection nibble mini - bar , kettle . give layout content room , expect find tea coffee make facility hide minamalist unit somewhere , ! may smoke , may drink champagne , may wear dressing gown , may make coffee room . arrogance decision annoy intensely , first visit around sight London local shop purchase kettle coffee . think arrogant assume guest order room service bedtime , wake , upon arrival time . guest able purchase kettle , thank heaven numerous coffee house nearby . however , aside , hotel fault quality room . mention reviewer , find bed , luxurious linen comfortable , appreciate visit housekeeping refresh linen towel twice daily . absence , room tidy pleasure return . small garden area true amazingly peaceful , give noise associate nearby Trafalgar Square , location perfect , Covent Garden , Leciester Square , embankment small distance away foot . additionally , member staff encounter we stay courteous polite , especially explain additional £ 300 add bill case & quot ; incidentals & quot ; . overall , interesting comfortable experience , would not return , like cuppa morning much .... fact much need ' intimate kit ' ipod dock ! ! 
 Jul 13 2009 	 Excellent location service worth money ? 	 St Martins Lane hotel great location , couple minute Trafalgar Square close tube etc . stay one night couple party London attend could not bother get train home late . deluxe king room book part special offer Travelzoo mean half regular room rate . felt get bargain consider reputation hotel think , although not think would stay full price ( almost £ 300 night ) . room ok little small , fifth floor mean nice quiet . hd ready tv terrible signal even though go watch tv pretty appalling hotel standard . say though rest room well equip bathroom nice spacious although lack bath excellent shower . korre product nice luxury tough candle bathroom . warn though everything hotel room pretty much chargeable ! understand case doubt anyone would happen take throw bed , certainly know would bill £ 210 . helpfully ( ? ) though extensive list item charge accidentally go home ... visit Light Bar evening perghap highlight , excellent cocktail attentive service , worth visit . the staff also deserve sopecial mention , nothing helpful throughout stay . however little annoyed arrived check 3 pm room ready nad instruct go coffee come back bit . think room sreally ought ready time state consider full price hotel £ 14 hour ! tell enjoyable stay , would stay ? maybe , price right think would well deal even one get time . seem get much well rate US hotel well offer . 
 Jul 10 2009 	 Uncomfortable Beds / Small Rooms 	 's trendy look hotel staff great , not expect good night 's sleep bed awful room tiny . be like stay Ibis hotel , be pay experience . 
 Jul 6 2009 	 feel tad bit do ... 	 stay many different hotel London price range well not impressed . thing start poorly arrive long overnight flight disappointed room not ready exhausted . ok deal breaker really annoying want fresh evening . give latest allow checkout would probably 1 ; 00 pm ish not think room clean hour ? ? ? obviously . Asia de Cuba restaurant really quite good eat lunch dinner . service really attentive particularly dinner service exceptional . food flavorful suggestion dish cocktail always well think . room service fare quite dull level hotel think able order menu ask simply grill cheese tomato sandwich . really challenge ? hotel room large ( book loft king room ) chair comfortable ? bathroom well appoint luxurious . hear guest comment small room glad spend space feel sterile unwelcoming . even design aesthetic W hip without uncomfortable . bartender good throughout ... know trade ... somehow whole vibe except Asia de Cuba seem day go ... like Studio 54 late 90 's - bloom go rise . 
 Jun 29 2009 	 great choice get right price 	 stay St Martins Lane 2 night early June London Twenty20 World Cup . decide deserve treat something bit nice end get hotel Priceline $ 160 per night half price hotel offering . location brilliant good ' ve ever stay London . two minute walk Leicester Square tube , around corner Trafalgar Square National Portrait Gallery . lot restaurant pub choose nearby . the hotel quite funky although bit bizarre place ! room adequate size - bed comfortable flat screen tv , dvd player ipod dock well . hotel offer free dvd service - choose dvd send complimentary popcorn ! really good bathroom - lovely - contemporary roomy power shower well ' ve ever . top mark ! check - in speedy efficient . ' m sure would pay rack rate ( around £ 260 per room ) get deal really good choice . 
 Jun 16 2009 	 nice weekend getaway probably good season 	 good time , maybe be get stick London extra day great snowstorm ' 09 ? St. Martins Lane great quick London weekend getaway . central location , nice ... nice outdated Schrager boutique hotel thing be get bit old ... still sexy place stay weekend rendezvous . room could big , ask upgrade ( well , season least ... ) bathroom fun , prepare privacy . shower nice , bath product yummy . bed crap , mood light fluffy white sheet pillow make . ipod player not work well , bring . view Trafager Square nice ... , ask good room high floor view get . nice ask ! 
 Jun 9 2009 	 Ooooh trendy ! 	 ' ve stay hotel couple time must agree early comment London 's good keep secret . friend live Central London never see hear - lack name identification front obviously contribute . however , come visit , blow away hotel 's ( mine association ! ) coolness . hotel uber - trendy . though decor seem bit harsh time ( lot angle , somewhat avant - garde furniture lighting / wall saturate white ) retain welcome classy atmosphere . ' ve stay room type basic room bit small , good value / space ratio seem garden room ( basically small 4x4 foot & quot ; garden & quot ; tree , table chair ) . however , still expensive similar sized room London . high room , loft suite ( think ) delightful , rather expensive side - chic want make impression ! ( ahem ) staff courteous , room clean , food excellent . gripe would ) price ( extras seem tad pricey ) b ) bouncer door bar get bit bolshie will not let forget room key . happen little embarrassing head back room get key 'd let in . however , gripe aside , must admit love hotel . 's classy , trendy , yet obnoxious ( bar bouncer except ! ) stay near future ! 
 Jun 8 2009 	 St Martins Lane Best keep Secret 	 St Martins Lane Hotel one well keep secret , bear Londoner think know London well arrive car take 2 trip round block find St Martins discret number 45 etch glass low level , external signage look much like office block , suspect . inside foyer describe modern qerky . upstairs corridor silent brave use unpaterned light colour carpet public area offer nice contrast usual . room white without picture full height window fill external wall . clear pricing policy everything room make clear prone take item nail consequence allow nice range loose bit . overall nice experience , noise give central position . Critism , could lift lighting level bath room English always look service kettle tea makingh facility small complementary bottle water . 
 may 18 2009 	 nice hotel - excellent location 	 get back long weekend London . want stay someplace near site since 2 1/2 day sightsee . hotel excellent location . Trafalgar Square close Leicester Square , Piccadilly Circus Convent Garden . able walk site include Westminster Abbey Buckingham Palace , easily accessible 2 Underground tube stop . use tube bit travel site easy follow . hotel trendy look clean . bathroom nice . restaurant good , expensive side . hotel bar get crowded weekend night , go room , not hear thing . hotel small business center free internet access guest , like much . cost we $ 300 / night . definitely recommend give location . 
 May 6 2009 	 Cool Hotel Great Location 	 SML funky design hotel heart Covent Garden . 's location excellent 2 tube station nearby thing within walking distance . overall design modern note lobby lift well light feature bedroom . stay Deluxe King Room bright , clean spacious . one criticism curtain barely block light bring eyemask want sleep late ! bathroom marble large seperate WC Shower . great space lay cosmetic ! good lighting option bright candle light . bar average well . much atmosphere , uncomfortable chair close 10.30pm bank holiday Sunday night ! ? ? ok hotel bar go . restaurant otherhand fantastic . delicious food incredibly friendly attentive staff . door reception staff also helpful . would go ? definitely . 
 Apr 29 2009 	 rate 	 hotel part chain stay 3 hotel one would hope level service continuity would prevail ... sadly , feel impose staff stay .. room poor standard , price , like airline every opportunity seek extract money ( carefull mini bar toiletry price ) overall totally overprice , London hotel do not care ..... 
 Apr 23 2009 	 stylish modern comfortable hotel right heart London ! 	 hotel impress moment arrive outside . greet doorman open door taxi bring bag helpful direct we front desk . staff chatty friendly ! room comfortable , bright , clean spacious lot gadget include iPod speaker mood light ; ) ( fact pretty much thing fault room cheap toilet paper lol ! ) hotel bar pricey certainly love fabulous artwork wall : ) dramatic . food restaurant ( Asia de Cuba ) real mix style work well especially fish fan ! totally recommend , yum ! round really wonderful stay definitely visit . location perfect right Leicester Square ! 
 Apr 5 2009 	 great design excellent location ! 	 stay St Martins three night third week March year . know would expensive , . know would cringe saw bill , . wonderful place , yes say worth money . location five min walk National Gallery Natonal Portrait gallery . love art great place . 1/2 hour walk walk British Museum . Soho bar , great food late night people watch blast , block away . tell 's hayday 5 year ago , design beautiful , room clean sleek . special place stay . 
 Apr 2 2009 	 Great Hotel - Shame bed ! 	 stay St. Martin 's Lane hotel Saturday night end March ... want stay somewhere funky somewhere cool St. Martin 's Lane deliver . bar downstairs , hotel music , concierge duty ( Victor ) general ambiance hotel cool . one thing must note people look & quot ; romantic getaway & quot ; ( view good bad ) wish travel St. Martin 's Lane - hotel bed somewhat ..... hmmmm .... noisy . bed make metal ... metal joint rub rattle like 9.5 Richter scale ( boasting bedroom skill honestly ; ) ) one thing ' find note review stairwell next lift seldom utilise staff offer sanctuary & quot ; romantics & quot ; wish little quietness bed little naughtiness ; ) though , would highly recommend hotel ! TeamSSSM 
 Mar 25 2009 	 overate 	 worth £ 247 ( inclusive taxis ) terribly big room . automatically put room smoking Floor ( apparently group booking although put room reek smoke beyond . go straight meeting arrival change go film premiere time mess around change room . smell bad light scented candle keep travel less luxurious hotel destination ( not expect use ) . never find turn airconditione room bit cold . door bathroom ( innner door loo ) . also call first name automatically may trendy though overly familiar ( staff generally nice obviously train use first name ) . room service breakfast ridiculously expensive £ 25 ( find lot place go Covent Garden like Patisserie Valerie Bedford Street ) . go top Portrait Gallery nearby great afternoon tea stunning view . 
 Mar 25 2009 	 ideal scene - stealer trend - setter - beware heavy price Light Bar ! 	 recently return stay St. Martin 's Lane , meet musician friend repeat guest hotel . book room via Expedia thrilled hotel staff offer upgrade queen bed room pay large King bed room housekeeping put extra roll - out bed friend free extra charge . staff front desk friendly fast check - in room well - equip nice indeed . dental care kit shaving kit free , excellent Agua Spa product bathroom . unlike sister hotel , Sanderson Soho , Agua Spa St. Martin 's Lane . hotel guest use gym next door free . one disappointment room coffee machine kettle . even Travel Lodge budget hotel free tea coffee room , would expect 5 star hotel ! go starbuck across road instead , drink room 's mini bar cost two buy together Starbucks . not bother order anything room service unless load money spend not care pay extra £ 3.75 & quot ; tray charge & quot ; plus 15 % & quot ; gratuity charge & quot ; . hot chocolate order room cost almost £ 10 ! plate doughnut £ 28 ! Light Bar downstairs serious scene - stealer London trend - setter , pack business people fashion medium type . drink price far light ! shocking room service price , £ 12 gin tonic ridiculous beware service charge per DRINK even order bar ! worth unless be load . bungalow 8 club downstair member go somebody famous ( not member , know ! ) not impressed . two main room , be small chic lounge nightclub . hotel guest go 10 pm , be empty midnight . not pack , think ought relax rule . paparazzi hang around outside , be unusual , celebrity still go stay hotel . fun partying room cheap drink buy local store bar Bungalow 8 ! be go stay , take advice - 's socialising party friend ! not expect get sleep 3 am , music downstairs easily hear be low floor . location hotel perfect . walk distance Leicester Square Covent Garden tube station , lot nice cafe restaurant area , . 
 Mar 25 2009 	 Cool place ! ! ! 	 2 night business . stylish cool place , excellent restaurant bar . helpful interested staff right center . perfect place cool day London . exceeds expectation compare Morgans Group hotel . 
 Mar 17 2009 	 Best Hotel ever stayed ! 	 ok . much say St. Martin 's Lane . first , location BEST London . nice , never use Tube . right street , literally , Westminster , must see . walk Tower London St. Paul 's Cathedral approx . 20 - 25 min . staff fabulous ! arrive 2 hour check time overnight flight Chicago , front desk immediatley check , give room early , within 10 minute , room . operator assist making call provide information need dial . concierge go beyond duty chat help plan excursion . , staff sincere , poliete , super helpful . truly professional ! room fantastic ! style funky - hip - modern , love . bed comfortable , linen perfect , room nothing short awesome ! bathroom well clean hotel bathroom ever see ! shower provide plenty hot water , well stock spacious ! hotel bar young , vibrant hip . admit spend quality time Saturday night ! music great , drink flow , everyone great spirit ! can not say enough place ! great , London favorite city far , plan return within next two month ! 
