love 	 really love hospitality great experience stay Taj ! 
 beyond business 	 stay comfortable staff curteous attentive professionalism around 
 Quiet comfortable 	 11th floor room city view quiet . 7 8 meter room green carpet , slightly stiff pillow . 42 & quot ; flat - screen tv , dvd player available . amenity include fax / phone , mini - fridge , white marble desk , amoir , fresh fruit , safe , white marble bath ( shower ) , build - in AC electrical adaptor , personal wake - up call . great service . 
 Oct 8 2009 	 another great Taj property 	 stay day sight - see Delhi . ' ve come expect Taj chain , hotel great . room large comfortable ; mine include nice view capital . bed soft . bathroom large , separate tub walk - in shower . couple fantastic restaurant inside hotel , include chinese placer sushi place . service impeccable , people available help need . good , huge , deep pool back hotel . perfect swimming lounging ... 
 Oct 7 2009 	 Great Charm 	 great hotel good service , delighted interior room well outdoor . nice food varitie good . hotel like TAJ . costly . 
 Sep 24 2009 	 quiet comfort outstanding service . 	 stay hotel several time vary number night , use base short trip Delhi . service friendly without familiar - feel ' family ' hotel . spite size busy - ness hotel , staff quickly learn name routinely address name doorman . similarly , staff various restaurant cafe quickly learn like dislike . my room comfortable , always spotless view New Delhi fantastic . calm , friendly always professional atmosphere provide welcome escape pressure Delhi monsoon season . main India restaurant , Varq , worth visit right . ' fine dining ' restaurant , present traditional indian food modern twist , staff happy advise selection work well together discuss dish hot , mild etc frankly honestly . potentially stressful situation quickly resolve : laptop fail interface wifi - technician come room sort ot problem within minute , car booking overlook ( alot car , ' m surprised one slip net ) , problem , car available 24 hour day , still arrive airport plenty time flight minimum fuss . person usually deal someone else 's crisis , genuinely refreshing stay here . I ' m try work soon get back ... 
 Sep 24 2009 	 one good hotel stay 	 one good hotel ever stay . moment arrive , staff make we feel welcome important , even though stay expensive suite . give great room pool view , would recommend request . room good size come small couch coffee table relax . bathroom large , stand - up shower cubicle separate bath shower . plenty towel great toiletry . the bed comfortable great selection English - language channel television , well dvd player complimentary dvd rental service . we use pool day stay , receive complimentary chill mineral water sunbathing . also possible order drink waiter service , also give complimentary fruit kebab . one good thing hotel bar restaurant . first night go first Ricks bar , martinis . staff helpful booked table chinese restaurant we , also give we complimentary cocktail try ! food House Ming good chinese food ever taste … it simply incredible , order food also give complimentary dish try beautiful . on final evening order room service , disappoint . husband order curry lovely come complimentary poppadom , finish return complimentary indian dessert . we really enjoy Delhi , would return stay hotel ! 
 Sep 20 2009 	 first choice New Delhi 	 definitely first choice New Delhi , bit pricey , perfect service , comfortable clean room , good varity food breakfast , spacious gym , affordable internet access , good location . beware tout 3 - wheeler outside hotel always ( ! ) tell Khan market close , hand even though never take service lot fun . 
 Sep 11 2009 	 great service . professional accommodating . Refreshing indian hotel . 	 flexible management . 9 group . call Friday 3 pm look place stay night . season discount room . warning : luxury tax India dictate tax apply publish room rate , rate actually pay . anyway , manager give whole group late check follow day could fresh shower plane 16 hour . room service good . great selection variety food available . decent price consider 5 - star hotel . not particularly like meal . plenty food . dining restaurant good . food quality good . , price would expect 5 - star hotel . room well equip . bathroom nice . bed super comfortable . indian style mattress . order short tour Delhi . car excellent driver professional . tour operator good would use . another misunderstanding car charge . pay extra 500 r go mileage limit - even though never explain tour 3 hour instead 4 . 
 Aug 5 2009 	 money pocket 	 average experience ... traffic locality ... 
 Jul 29 2009 	 5 Star Service 	 Location : Taj Mahal Hotel situate one good locality New Delhi . close diplomatic centre Delhi . Khan Market good place shop Near . also 3 4 , five star hotel give plenty option dine wine . close city center conought place . location : 5 starhotel : Hotel suppose one good , 4 - 5 Restaurants , real multi cuisine option . Varq , ( Restaurant ) specialty Chef Hemant Oberoi signature restaurant . also hotel everything 5 star hotel gym , pool , Jiva Spa ..... . lobby simply amazing . hotel armada luxury car . infrastrucutre hotel though little old upto mark . would need go anywhere find anything , will get everything hotel . room : standard room stay actually pretty descent spacious . 350 sqft precise . room subtle elegant lot functionality . even custom design bed choice Cushions , linen etc provide hotel . bath fairly ok . standard room equip fax machine , great utility business traveler . great satisfying experience . service : would like talk , make feel Head state , check procedure really fast , fact first take directly room procedure complete . excellent staff , really helpful smile make feel warm comfortable . room dining treat , set table utmost delightful manner . small problem face stay evening turn service do . complain do minute , hotel even take pain find error happen 5 day later front office manager call residence apologize promise happening . show sheer dedication commitment staff member . excellent business service available hotel . concierge efficient quick . would give hotel big * * * * * excellent service quality . truly Best Taj property . Taj live upto reputation , TAJ MAHAL truly luxurious experience . 
 Jul 20 2009 	 Service par excellence 	 travel Delhi business quite often . place always stay Taj Mahal Delhi . room beautiful & amp ; luxurious . feel hotel great service level . guy near lift remember name & amp ; floor . greet every time big smile . bar really good . club floor really exciting . drawback hotel food . swimming pool area really nice & amp ; peaceful . 
 Jul 16 2009 	 go prove shangrila delhi safe bet delhi 	 start light teh room work ... that s ok happen react quickly move 5 minute .... fun begin order dinner send warm white wine ... yup .... could udnerstand complain ... figure send wrong wine although fair chill ! ! ! less say FARCE security check well say since Taj property try one time maybe ..... though go show shangrila safe bet term consistent service 
 Jul 14 2009 	 utterly amazing . Beats 5 Star htoel I ve stay 	 goodness , firstly regret discover joy TripAdvisor recently . so feel compel write rather tardy review stay Taj Mann Singh March 2008.my goodness , nothing short absolute pleasure . do not think would assertion say experience epitomize stay hotel about . staff polite , friendly , attentive , nothing much they . the hotel superb pool , room , ground . Mmmm PS like Paneer , try house restaurant ! HEAVEN ! sublime . Cant wait March next year . Taj Mann Singh come ! ! ! 
 Jul 13 2009 	 Fantastic hotel - service room facility excellent 	 stay business July thoroughly impressed . room , service , restaurant , gym bar world class . though price high , find good deal lucky enough able stay anyway , would recommend give go . I frequent visitor Delhi stay many 5 * hotel across city beleive one must one good moment . 
 Jun 22 2009 	 oh god be not hotel like Australia ? 	 company put Taj delhi . boy open eye suppose 5 star australia.what hotel , amazing , ever smile staff , awesome room , view . posh lobby , amazing food choose 3 restaurant bar hotel . comp upgrade , comp bottle wine , free hotel limowill def return , could afford something like TAJ 
 Jun 11 2009 	 good 	 wonderful experience stay TAJ Delhi . feel like heaven ... 
 Jun 9 2009 	 nice relax holz 	 food nice room spacious wld recomend hotel 
 Jun 9 2009 	 one New Delhi 's large conference venue 	 LocationNestled six acre lush green exclusive Diplomatic Enclave city , Taj Palace Hotel one top - of - the - line category near Gurgaon mere 10 minute drive airport . RestaurantFrom casual , all - day eatery formal , fine dining , guest look forward wide selection delectable dish refreshing drink onsite restaurant . 
 Jun 6 2009 	 palacial property 	 always Taj stand expectation palacial property New delhi . quite centrally locate national capital . hotel busy 24 hrs check in check out happen day long , sit around lobby lounge kill time well , do not work . get nice bar also . 
 Jun 3 2009 	 Beautiful 	 stay Taj Mahal Hotel 2d/1n like Taj property , one simply luxurious . hospitality awesome , food - expect Delhi . view bite disappointing side - 'd pool side view . room luxurious huge bathtub accessory one expect five star . rate bite high side , Taj property give value money . hotel well locate close proximity key business hub recommend business leisure purpose . 
 Jun 3 2009 	 Fine Food Comfortable room 	 good part hotel wide food selection - one good joint eat City . great Chinese , japanese indian selection . room basic cosy . pool set around garden . service good class 
 Jun 2 2009 	 worth price 	 use dine frequently coffee shop taj restaurant , be care join loyalty program decide book room stay one one night forget tension true reputation let down.had wonderful time Ricks bar amazing place chill drink mate 
 Jun 2 2009 	 good 	 absolute must stay delhi . everything exceptionally brilliant . wasabi renowned restaurants.room lovely client service good 
 May 31 2009 	 outdated overpriced tasteless 	 hotel practically locate , close Conaught Circle , facility direct vicinity . my room upgrade mini - suite , mean series small connected room inside hotel , window look hallway ( directly outside ) .apart 2 flatscreen tv 's , see luxury , room bit outdate uncomfortable chair one find . the gym 2 modern treadmill 2 cross trainer , staff present , maybe smell bad leave 10 minute . bar empty look like one place 6 staff come help , one remember bring order ( must experience ) .finally , breakfast area resemble youth hostel ( ) flatscreen morning news hindi . great want quit breakfast . overall , point , hotel score poorly , despite price INR 9000 per night . 
 may 29 2009 	 great hotel stay .. good service . value money ! ! 	 visit Delhi long time back stay Taj hotel . experience hotel good . complete value money . 
 may 27 2009 	 experience like King 	 hi name sandeep frm delhi hav live delhi since bear hav good experience many hotel taj special hav purchase mobile coupen prize 3 night 4 day living & quot ; Taj Mahal Hotel & quot ; . whole life hav never see hotel like place , gardne , area lot thing live & quot ; Taj Mahal Hotel & quot ; 3 night 4 day whole family house lock day staff nice smart dressup smile . day hav knowledge make beauty also food exellent delicious . staff taj treat we like king . Overall & quot ; Taj Mahal Hotel & quot ; exiperience realy nice suggest people pls u come delhi u must saw & quot ; Taj Mahal Hotel & quot ; . thank 
 May 25 2009 	 grossly overprice - Taj service 	 find Taj excellent service , hotel grossly price . food great , pub Ricks excellent we middle aged people . half price , would recommend strongly . hopefully commonwealth game introduce new supply hotel room reduce rent hotel . 
 May 18 2009 	 Memoriable Taj 	 Memoriable Experience . room clean . stay one Club Rooms . service remarkable Taj really memoriable experience . 
 may 16 2009 	 Really ROYAL 	 herritage build simultaneous proximity cultural legacy epicentre rule political power centre make unique . everytime drive road , thousand boot rock offer presidential salute Republic Day , TAJ make feel something royal proud . Pardon childish excitement TAJ mansingh different TAJ Aguada , Goa GATEWAY series TAJ group offer middle class family like we . the natural greenery overlook swimming pool lawn soothe first glance . still parrot pigeon wake comfort designer bed . silence around allow catch yourself . there may different type room , mine corporate discount clearly good value money far witness . the room naturally excellent decor ambiance . buffet breakfast interesting really healthy - say pamper . cheese array surely require close look . the dinner MING indulge trust true ethnic chinese . word superflous - need try . 
 May 12 2009 	 Perfect Business Hotel 	 hotel centrally locate every facility may require business trip . service hospitality Taj Group beyond comparison . 
 may 11 2009 	 Great Hotel ! 	 view 13 year old . we use Taj Mahal New Delhi base travel . stay 4 time night time . good place chill nice deep pool . room okay , tv ' fairly price broadband internet . breakfast buffet awesome ! service great people friendly . jet Privelage number = [ -- ] 
 May 10 2009 	 great business hotel 	 Taj old favorite mine although room getting little date compare Oberoi new property . hotel good F & amp ; b outlet include new Wasabi . 
 May 10 2009 	 Royale Treatment 	 superbly locate HEART Delhi , every aspect Taj Mahal Delhi treat sense . Got night honestly much time look around enjoy hotel . bell boy 's smile right hostess ' introduction various feature room provide -- -- quite royale ! breakfast buffet restaurant quite lavish spread .... feast morning Masala Dosas ( Delhi ? ? ? Strane right ! choose go do not come disappointed ) room think little small many hotel havse stay must also admit top - dollar paying list ....... 
 May 7 2009 	 Royale Palace 	 Taj Mahal Hotel epitome luxury . place beautiful , much see every inch luxury hotel . fountain , painting , art , brand designer retail outlet . room well appoint staff service excellent food dining experience like . wow get to get ! ! ! touch one staff realise able breakfast pack fruit etc trip ! ! ! call service see need customer . I also remember offer dvd watch room complimentary add breathtaking experience ! ! ! 
 May 4 2009 	 Great Service 	 great hotel . classic one . find room not original , quite costly , service , amenity , ground , location , excellent . pay lot , might find well value money elsewhere , safe place , anytime stay delhi hotel , choice one , class hotel 
 Apr 29 2009 	 service extraa ordinaire 	 moment u enter taj mahal hotel til time u leave u do not lift finger evrythe u .. cud chew ur food n give u wud .. u kind like hotel staff fall u place .. new japanese restaurant wasabi fantastic ... worth visit .. 
 Apr 27 2009 	 Taj grand hotel Delhi 	 great hotel . classic . find room original , quite pricey , service , amenity , ground , location , excellent . pay lot , might find well value money elsewhere , safe bet . 
 Apr 27 2009 	 pleasing place 	 comfort stay . good food service . strught line fine furnishing hotel . 
 Apr 27 2009 	 Club Rooms Superb 	 stay Taj Mahal last year visit Delhi conference . good rate go club room opt stay instead regular room . difference huge ! club room newly renovate much well design aesthetic regular room . furniture furnishing chic modern , glass wall bathroom motorize shutter privacy sharing room . small touch like Molton Brown toiletry also make stay pleasure . all round service good always , restaurant high quality . worth pay little stay 5 star hotel ... 
 Apr 26 2009 	 Decent Taj experience 	 mini version Bombay Taj 's difficult pull ... seem little bit date ... room nice although Taj service strong everywhere else ... whereas Mumbai Taj Mahal competitor , plenty Delhi , Imperial cut undoubtedly 
 Apr 25 2009 	 good hotel ' ve ever stay 	 amazing ! beautiful , staff outstanding , food good India , room beautiful , pool spa lovely - staff hepful ........ expensive well worth every penny ..... stay tthe Taj Mubai be not hapf good one . stay many hotel around globe certainly well yet ...... can not wait go back ! 
 Apr 23 2009 	 well luxurious hotel . 	 's well decorate luxory hotel Taj hospitality . 
 Apr 22 2009 	 World class hotel 	 spend 4 night ( total ) hotel . first 3 night prior Golden Triangle trip last tour finish . without shadow doubt good hotel ever stay in . the security tight friendly reassuring - always smile . also include secuirty large monkey , lead , handler . use chase small monkey hotel ground - amusing watch . we Club room service fantastic . bulter attentive , friendly nothing much trouble . comment snack large tub deliver room free charge . also get complimentary transfer airport , seamless hassle free - espically arrival Dehli airport . complimentary bottle wine snack also provide . the Varq restaurant world , indian cuisine fine . breakfast fantastice - recomend Dosa Masala tasty . the pool area clean shortage bed . attendant come round water , cold towel etc regular basis . like afraid challenge anyone wear inappropriate swimwear . young guy go pool cut be promptly tell swimming short - contiune politeness show stay . on return last night , remember - even guy call lift . we welcome we back . whole experience start finish perfect would problem recommend hotel anyone . ever good fortune visit Delhi , definate choice hotel . 
 Apr 21 2009 	 outstanding property 	 Excellent service great property . business friendly 
 Apr 20 2009 	 Professional Friendly 	 ' ve stay Taj Mansingh several time , travel business . like Taj business hotel , great service , excellent room , overall professional great business travel . 
 Apr 20 2009 	 Arbitration Mayfield 	 experience awesome . truly world class hotel excellent business facility . 
 Apr 18 2009 	 BEST HOTEL EVER STAYED 	 get room book AMEX Platinum Travel Service . land Delhi late night take taxi hotel . security tight entrance area baggage scan . check smooth friendly , upgrade club room . extremely tired , fly nonstop Newark . offer tea welcome drink , gladly accept . minute later gentleman appear huge tray goody , include tea , hot milk , hot water , cookie cake . bit surprised overwhelmed . room extremely clean tastefully decorate . bathroom nice , . shower fall asleep . continental breakfast include AMEX plan , find access full breakfast buffet include indian western spread high quality . stay hotel 12 day impress withe overall quality service . room turn twice day use tea / coffee stuff promptly clean replace . also complimentary lunch customer service manager famous House Ming restaurant . general , attention give sometimes overwhelming , never felt ignore . quibble internet facility business centre quite expensive , INR 500 / hr . particularly gall hard get internet access local market without local ID . usd 260 / day feel hotel extremely good value money , even consider fact off - season rate . 
 Apr 18 2009 	 Fabulous Luxury Hotel heart City 	 Taj Mahal Hotel Mansingh Road close Connaught Place , heart Delhi city . 5 star property excellent room , amentitie , gym , pool , spa restaurant . I stay couple occasion everytime check wow . occasion , upgrade normal room club room , comprise 40 & quot ; LCD , personal dvd player Bose home theatre internet server . its decent hotel business traveller , however tourist may find cost prohibtive , advise check ongoing offer website decide book . 
 Apr 17 2009 	 excellant conviniant location 	 hotel beautiful closely easily accessable attraction buisness place heart delhi 
 Apr 13 2009 	 Forget look like place best service ! 	 stay 2 night return overnight stay switch Imperial ( mistake ) . arrive disappointed exterior hotel renovate go room even disappoint - gloomy , tiny bathroom separate shower . take hour ( change next stay Imperial ) get cosmetic . say spend almost week India stay hotel , Imperial Amarvilas Oberoi Agra , service hotel street ahead anywhere else every level . spa fabulous - treatment good anywhere world . 1.5hr Abayanga massage actually 2 hour time & quot ; extras & quot ; like steam bath , exfoliation etc factor - normally thing mean actual massage 1hr . quick 30 min foot massage also add free neck shoulder massage therapist see strain neck stiff .... end result 50min treatment . room always keep perfect , every amenity use refill ( unusual day ) moulton brown toiletry lovely . indian restaurant Varq far good quality food anywhere .... cocktail amazing . service fantastic security guy call lift remember name floor guy coffee shop merrily chat we day make good cappucino ( little joke ) . appearance really deceve , make great hotel detail service hotel really . 
 Apr 13 2009 	 charming elegant hotel business pleasure 	 nice property great location , excellent restaurant , nice ground helpful staff . beautiful pool , block Khan Market ( try Aniohi Fabindia clothing gift ) near thing . safe neighborhood jog excellent security . Taj Club Level elegant great service nice club area . chinese restaurant particulalry good . 
 Mar 8 2009 	 service every detail 	 never seem service eye detail . 's excellent hotel , room good spacious well equip . restaurant bar offer wide joice quick service . pool garden excellent well keep . surity good . staff take personal service attention guest higest level . could not feel welcome appreciate , moment come till leave door check . oasis hectic Delhi . surely return . 
 Feb 18 2009 	 Impeccable Service - Safe 	 Delhi 10 time past 3 year always try stay Taj . write another review early stay , think write another one let folk know safety precaution hotel put place since tragic incident Mumbai . car stop / search even enter hotel drive - around . packages.suitcase etc put metal detector , ( person ) walk metal detector ... precaution put place NYC 9/11 ( work NY time ) . sadly , hear number tour group cancel trip Delhi . think 's important tell folk precaution hotel like Taj place now . on top safe / secure feeling - feel & quot ; home & quot ; Taj . many staff member remember name . service impeccable ! food impeccable ! stay , try Sunday Brunch - amazing selection ! ! ! ! ! ! ! ! ! 
 Feb 7 2009 	 great housekeeping service 	 highly embarasse mix - up check - in , downgrade Taj Club Deluxe room . great experience Resident Manager fortunately swift discuss detail next morning . what really make stay comfortable one phantastic service provide housekeeping . attendant must see use Molton Brown ammenitie . swiftly next day , hotel ammenitie change Molton Brown ( typically provide Taj Club room . wonderful , personalised service . obviously think go ! room nicely present , good size sofa relax . use internet service working desk certainly good size appropriate lighting . I like good sized bathroom separate shower bathroom quite like stand bathtub shower . it look like breakfast buffet somewhat improve since last stay . Service Taj - like friendly . I one interesting experience go read newspaper poolside . attendant insist sign liability waiver form ... guess direction India move ! hazardous activity read paper close pool , guess . 
 Feb 2 2009 	 wonderful Customer Service 	 hotel comfort would expect 5 - star , incredible customer service care receive make one good place ever stay ! make feel special , almost though stay family home , rather hotel . thank much Taresh , Lakshay , Albert Bharat take good care we make we feel home . 
 Jan 29 2009 	 Excellent service ! 	 lovely hotel attentive staff . service excellent . room nice comfortable nothing special /different . spa need upgrade staff helpful . Varq restaurant incredible miss . suppose return hotel end trip decide try Imperial Hotel instead . nice room sevice nowhere near good . 
 Jan 26 2009 	 good deep pocket 	 place exceptionally good service ! know name , matter hotel . room keep absolutely spotless real noise / pollution unique New Delhi . however expensive , charge everything ! wine list price control , restaurant price within complex . I not love stay - ok , feel rip bit regardless great service . 
 Jan 17 2009 	 Best Service World 	 Best Service WorldHaving good fortune stay many truly great hotel world , service receive Taj Mahal Delhi certainly good , well anything experience elsewhwere . it start arrive front door must 20 people security , help luggage ( take , put detecter next thing know room . book Taj Club airport pickup ( highly recommend especially first visit Delhi ) soon exit car meet escort room quick seamless check - in . just enter lobby notice large number people greet day , address name . something else impress I — there always duty manager watch everything . fact come Delhi stay Trump International Chicago anyone management hide sight . now example superlative service . previous trip India , merchant Jaipur cheat we . year , try resolve problem Amex avail . Amex explain serve mediator customer merchant merchant refuse , luck . explain concierge make business help get money back . first , make repeat call merchant become frustrated refuse talk concierge . Taj contact hotel whose guide take we store — the Aman - i - kha begin call . merchant still acquiesce , tell write strong letter Taj chain , Oberoi chain Jaipur tourist office explain unless receive money back , hotel etc . blacklist merchant . get money back . another example : leave hotel return day later want leave suitcase paper bag hold 2 doll . store suitcase problem . solve bag issue , leave reception return , promptly deliver room — they ' know say no . this clincher . last day ( stay total 6 night 4 occasion ) celebrate birthday . get order coffee . minute later coffee arrive procession other carry bouquet flower , beautiful extravagant birthday cake bottle French champagne ( enjoy dinner night . ) everyone hotel know birthday ' walk lobby , visit club even talk phone without wish happy birthday — I exaggerate . in conclusion ' imagine well service — last year stay Imperial Shangri - la really comparison . ' pleasure heartily recommend thr Taj Mahal Delhi 
 Dec 25 2008 	 great service great experience 	 five night December 2008 . security tight follow incident Mumbai , staff everything possible make pleasant experience . perhaps much - really need someone press elevator button ? generous late check - out , good laundry service , helpful front desk staff . room nice agree previous poster - could use renovation , particularly bathroom . Breakfast positively BEST hotel breakfast ' ve ever - spectacular option every day . Rick 's Bar lobby really nice , spa . 
 Dec 22 2008 	 Excellent ! 	 Taj first hotel two week tour Rajastan certainly live expectation . we collect airport friendliest driver ever , give fresh cold towel two ice cold bottle water ... service do not drop throughout stay . great pool , great restaurant , great staff , room bathroom bite small size money . go club floor , excellent club lounge complementary drink canape evening . club lounge manager excellent ! perfect start indian adventure ... 
 Dec 14 2008 	 Loved stay 	 event Taj Mahal hotel April . stay hotel 2 night . amazing experience . long day event , hotel room delight . food restaurant real treat . never experience incredible service . lovely difficult we leave place . overall would say probably good hotel ever stay business specially boss extremely fussy ! think person find convenient mmost place . besides banquent hall event hold great place 
 Dec 14 2008 	 love suite 	 taj , new delhi 31st may 2008 girlfriend ..... like escape family friend couple day . I amaze see suite , book persident suite ambience place amazing , love bed interior ...... place romantic.me girlfriend great time . 
 Dec 12 2008 	 truly exceptional service 	 stay Taj Mahal New Delhi two separate night business trip . set hotel apart staff take care guest : everyone , bellboy security guard spa check - in personnel , always happy help satisfy wish . experience traveler , pleasantly surprised sincerity staff ` attitude . say , say generally find amount attention guest receive Taj excessive – would probably prefer less attention persona . hotel ` facility appropriate 5 star deluxe hotel exceptional . Lobby gracefully decorate mughal style ( marble fountain , water basin , carpet , etc ) , check - in take place table , rather counter , i.e . one seat procedure . unusually , check - in finish room , find convenient , one immediately ask question room , etc . overall , check - in staff courteous efficient . during first stay place ordinary king room . spacious clean , equipment slightly date , immaculately keep . second stay , receive upgrade Taj Club ( pleasant surprise ) level room ` fit modern ( LCD tv , etc ) , décor even opulent . room quiet view – positive impression overall . guest stay Taj Club room access lounge 8th floor . lounge elegant , cosy sofas corner . courteous attentive personnel serve wine ( quite good India ) snack evening . breakfast live expectation – certainly expect deluxe 5 - star hotel . highlight make - to - order omelet warm buffet vegetable meat chicken dish change every day . otherwise nothing write home , still perfectly acceptable ( european taste ) .hotel good gym two cros - trainer ( LifeFitness ) , five six tread - mill ( LifeFitness Technogym ) quite weight machine ( mostly Technogym ) . use gym extensively find perfectly adequate crowded all . other facility ( use ) include spa outdoor swimming pool several restaurant ( include indian one ) .hotel location good ( close India gate ) , find little benefit since India one take taxi time anyway . overall , Taj Mahal excellent hotel business traveler well - off tourist find price - quality relation much well , e.g. , Hyatt Regency ( also stay trip ) . rate similar ( EUR 370 ) , Taj Mahal infinitely exclusive superior almost every aspect . would definitely stay , someone else foot bill . 
 Nov 11 2008 	 exceptional service building need update 	 be whirlwhind 3 week business trip take we India , Seoul Japan thankfully company put we wonderful property . hotel snob travel pleasure ton research property , activity , facility restaurant , different . homework place . thing look room , gym food . unfortunately , night leave early next morning go real Taj Mahal . impression . hotel beautiful , one good chain . guess would like Ritz Carlton , indian version . check , whisk room complete process , coffee , juice tea deliver along cookie , chocolate cake . nice welcome . detail point bear mention , help give glimpse hotel whole . entire presentation deliver large silver tray , coffee pot white linen tea cozy milk coffee , steam , separate tea cozy . right speak volume . think far . room nice , top floor good size , stuff feel bit cramp ; desk , loveseat , coffee table , armoire , chest luggage 2 double bed . call wake call , ask would like coffee bring time , suitable time would . skip since head gym anyways . , another nice touch . gym great . equipment brand new , tv 's treadmill cardio equipment , cool , well whole host machine free weight . work every day back home good hotel gym . also Morimoto restaurant place call Varq , serve modern indian cuisine , would like try . ok , thing place , great 4/5 star hotel , build old . need modernize . not prevent stay , undergo complete remodel apparently , think complete , spectacular . email would like info 
 Nov 4 2008 	 fabulous hotel unmatched staff 	 generally one high end hotel . tend leave feel nickel dim ( US high end hotel charge get online , park , breakfast ? ) vacation feel like money could well spend experience din . Taj Mahal Delhi exception . wife stay twice , look forward . hotel nice – . great restaurant , nice oasis pool , even good gift shop . really set guy apart staff . well train . politeness interest stay ' train – genuine . always feel like view employee , ambassador city country – genuinely want sure enjoy visit . cheap sure , afford , money well spend . 
 Sep 14 2008 	 nice hotel 	 staying business nice : - good breakfast lot restaurant hotel- friendly personnel- nice big roomduring stay , one shirt dammage accidentely laundry service , get full reimbursement hotel credit card . one negative point wirless connection did'nt work properly laptop . personnel give extra WiFI card , still ok . annoying need check business mail impossible . , please aware ! 
