excellent 	 say read review hotel regard location , nearly cancel booking . please not . hotel clean , modern pleasure stay . location problem whatsoever transport link superb . bus stop locate right outside hotel regular 24hr service either drop nearby Kilburn tube station Oxford Street . would not hesitate recommend hotel would definitely stay whilst visit London . 
 great hotel decent pub attach ! 	 guilty pleasure staying hotel London time time , even though live London . 's great way see city 's nice wait every ! crown great place stay . price reasonable London , room clean comfortable pub attach great - even good live music . food pub good - not try King Sitric look bit expensive seem less atmosphere . cricklewood lovely part town good bus link town not far Wembley . capital connect ( ex - Thameslink ) station 5 minute walk away train St Pancras , Farringdon etc . be busy neighbourhood hotel ( main street certainly safe walk around ) dozen shop , restaurant fast food place . said not noise outside hotel night . the thing less happy noise corridor group arrive late night ( hotel 's fault ) bed not big comfortable ' ve sleep . minor criticism would certainly recommend Crown Moran . 
 Sep 7 2009 	 high standard hotel .. 	 find hotel easily arrive Friday evening ( 4th September 2009 ) weekend London . hotel 4 star gem dubious part city . main rotate door work arrive use glass side door problem . entrance foyer quite impressive light spacious . receptionist not warm welcoming - may well end long shift ( maybe London folk ) , long journey , be expect arrival . hotel attach bar call Crown find pleasant bar staff friendly . park side street signing car park next Crown pub look like NCP car park ( sign state £ 2 per hour ) indication 's part hotel property . ask say receptionist could suggest good place park locally inform we ( condescend manner ) hotel car park . simply tell we would need buzz would raise barrier . say however , find checking , car park cost addtional £ 10 per night ! ( we £ 20 car park charge ) - fair play manager checked deduct £ 10 since not inform . room fabulous - clean extremely comfortable . bathrom bit problematic basin tap run hot water ( cold water clean tooth ) . report check . shower bit odd - strange contraption ok work device operate . hotel fabulous swimming pool use Saturday evening . one guest use pool . unfortunately jacuzzi heavy lid . sauna room dark cold ( switch ) . want sauna need ask reception make way low floor pool . also fitness suite not go . area London ( Willesden Green / kilburn outsirt ) seem kind ghetto load late night cafe full muslim man socialise . not intimidate , fact find enjoyable experience stroll high street take cultural diversity . get central London easy - walk 15 minute Kilburn tube ( could get bus taxi ) get Jubilee line Picadilly Circus ( 15minutes ) . get taxi back Soho early hour Sunday Morning cost we £ 20.breakfast hotel delicious . range continental , full - english , fruit salad , cereal , toast . space comfortable light . overall , great hotel would definitely stay . importantly we gay couple find hotel gay friendly . 
 Sep 3 2009 	 Nice hotel - shame location 	 hotel quite surprise give generally seedy down - at - heel nature surround area . reasonably sized room - although generous - nice comfy bed quiet . pool gym lovely much underused guest . we stay hotel family wedding three us bed breakfast tarrif . eat hotel one evening drink bar total bill two night come £ 300 think quite good value . as mention surround area pretty grotty ' m sure whether have happy venture night lone female . parking space available hotel 's underground car - park pay , unless eat restaurant . also signage around hotel appalling - many sign bear relation actual location facility often take fire - escape dead - end . 
 Aug 21 2009 	 no1 choice North London A++ 	 moment arrive nothing much troublethe room excellent hotel foyer stunning would recommend hotel anyone want stay north london also underground car parking hotelkilburn tube 10 15 minute walk tube center london approx 15 minshighly recommend stop 
 Aug 19 2009 	 Cricklewood hotel 	 arrive London City Airport Russia via Copenhagen , pick rental car drive hotel convenient first visit next morning . Lovely Hotel , enjoy mix old new architecture . staff pleasant helpful , room comfortable . dinner restaurent bit overprice great expect . breakfast good . bar use large empty probably use another tired explore . pool look invite shame run time . find location convenient would consider use next visit London transport link good one avoid congestion charge . parking free dine hotel 
 Aug 18 2009 	 worry ... try ! 	 although 10 - 15 minute walk tube , good bus service . line close one day ok bus city . Ii fix fare £ 2 , great value go way . area around hotel quite lively day , plenty shop essential . cafe bar , not try look ok . hotel room good size . party 2 adult 8 year old plenty space . bathroom bath / shower , would prefer bath walk - in , enough space . room clean , although smell smoke previous occupier . restaurant nice , breakfast good staff excellent . would like try restaurant dinner already book table city ... next time . snack adjoining pub ( get parking ! ) , fine staff superb . the reception staff friendly efficient . able give advice info get city hotel . swimming pool nice , great change room . towel , haidryer shower gel / shampoo , provide . Jacuzzi [ still ] work [ ] small issue nice swimming experience . Gym look good not time try ... never mind ! good hotel reasonable price . 
 Aug 9 2009 	 absolutely fabulous bit Diva ( smile ) 	 clean , trendy , super cute hotel . write review hotel room . stay 2 wks refer hotel . room update , spacious ( not expect London ) super clean nice bathroom . bed large plush . sleep like baby . location cricklewood area remind Manhattan step hotel , find ATM every block , little grocery shop get fresh fruit , spirit , snack etc , plenty inexpensive place meal . not feel touristy . fall like one local love . bus stop directly front hotel take tube straight oxford street class everyday . internet room free wi - fi lobby . lobby fabulous plenty comfy seat . cute bar restaurant downstair entire staff super helpful , friendly patient . plenty picture add three hope help . happy travel . 
 Jul 29 2009 	 good 	 quest value money continue London one gem do not mind 30 minute tube ride Oxford Street . my friend think bonker stay Kilburn shopping associate trip happen central London . Due Tripadvisor review price expedia give go . lobby nice receptionist arrival professional say overly friendly . true visit reception 4 night stay . definate room improvement opinion . do not get wrong efficient terribly friendly . room well decorate fresh clean roomy . Plenty tv channel night . Bathroom feel new modern clean . bed linen nice issue pillow like though . there three bar . next retaurant not visit resident bar / pub lobby similar style / decor one access front hotel . absolutely love lovely old feel fresh . staff friendly although usually mention one girl name Monica friendly efficient . we stay last night , Thursday , live Music . fantastic band great vibe lovely mix people . breakfast buffet good . fault selection quality . eat restaurant last night . good value money , never set world fire would eat give chicken caesar miss . wife order Risotto bring wrong one . restaurant manager good ( enough service much ) sincere apology take bill . how s service folk ! Risotto appear good . only side order Chicken caesar . salad fine chicken come form whole piece bone plonk top salad . chicken come pan salad cook hot chicken . Hmmmm . never caesar quite like it . all nice experience definately back even work . recommendation reception visit Monica bar get tip friedliness . do not mean top & quot ; nice day , miss already & quot ; rubbish sincere smile . would result tip miss . 
 Jul 27 2009 	 Excellent Wembley ... pay 	 Hotel easy find staight M1 , park end drive round round chap behind reception desk tell we dump outside adjoining pub . room excellent ... day return Wembley night club attach nearby full flow - glad tired . breakfast chaos word . would stay would think ...... 
 Jul 17 2009 	 lovely hotel back ! 	 stay hotel go concert Wembley Stadium , not within walking distance take 15mins taxi . hotel staff helpful , hotel smart , clean room large spacious . book room via onlone website therefore pay £ 89 bargain , room worth ! order room service expensive ( always ! ) lovely deliver quickly . breakfast buffet style hadeverything want . book stay ! 
 Jul 17 2009 	 great Hotel 	 stay weekemd July 11th oasis concert . hotel great , comfortable , quiet . breakfast excellent eat hotel burger addjoine crown pub ( excellent ) tube 15min walk away 20 min centre town . bus leave straight outside hotel 40 min oxford circus good value £ 2.00 
 Jul 13 2009 	 warm shower would full 5/5 ! 	 travel two teenage daughter really happy take leap faith choose hotel bit normal & quot ; Bayswater - Earls Court & quot ; triangle . room - bed , linen , etc - absolutely perfect - dare say - good scandinavian standard level . breakfast - good good selection . second day capacity seem 's limit though since various article run stuff time refill occasionally happen hotel . also book hick - up ' m still try understand 's blame , hotels.com Crown Moran hotel - cause we 30 - 40 min waiting arrival time night quite acceptable . especially since room booked pay for . in conclusion - one wish : would please something shower ? ! ice cold time .... 
 Jul 10 2009 	 good hotel great location 	 recently stay hotel find establishment high quality . little issue shower morning temperature would randomly fluctuate hot cold every min ... room clean independant air con , space move ... Breakfast include , close train jubilee line ( do not take bus town , take advise 15mins ) quiet room busy carpark ... lap block couple time leave rather dodgy positionplanning go back 
 Jul 10 2009 	 Great Stay 	 take 15 year old daughter London , prior go , decide would stay London , 5 day want feel rush . research different hotel , one fairly consistent review seem favorable since hotel tell good category , depend word mouth . hotel nice hotel , give daughter , want something safe feel safe . come back central London fairly late , aroud 11 pm , time feel safe walk street , fairly well lit . bus stop front hotel , nice run 24/7 , although frequently night . room nice , clean , twin bed double bed , serve we fine . tv channel go watch tv . staff friendly , accomodating . buffet good , fill , get we breakfast lunch . swimming pool use , nice gym , use want maximize time city . one draw back room light / AC would work put room card special slot / card holder enter room . either one we want step use free internet lobby , take card , electrical device , ( light , bathroom light , AC , etc ) , would stop work . one would left dark . big deal , unless one us bathroom / shower one want back . check , ask two room card , extra fee involve . go , decide buy hairdryer , look drawer first . lucke find one somebody kind enough leave behind . far transportation , get oystercard , spend money take train Paddington station , airport . two , one expensive , stop , cheap , stop like 4 time . take cheap one comfortable , mind stop . love subway system , time miss car . great time far hotel go , would stay . plan go different country time think make back London Crown Moran 's great city hotel go back . 
 Jul 3 2009 	 one visit ! 	 3 we go trip London see Take Wembley . trawl internet nice hotel London & quot ; reasonable & quot ; price come across Crown Moran . excellent hotel - clean , friendly , luxurious . brilliant amenity - swim pool , gym , bar ... room ( sleep 3 ) spacious , immaculate , everything need except booked room 3 item glass , mug , towel etc provide 2 . do not ruin stay however ! ! ! request iron deliver room extra charge . downside leave room 9 am , put & quot ; please service room & quot ; sign door return 4 pm room still do . breakfast great , serve continental good old fry - set us day ! bus stop outside hotel provide bus direct Oxford Circus Victoria well Brent Cross Shopping Centre opposite side . take bus hotel Victoria cost £ 2 per person ( hit awful traffic way though ! ) go Wembley book taxi hotel cost £ 15 direct bus / tube nearby . Cricklewood Broadway offer range shop place eat pleasant . GREAT value money ( real bargain ! ) already book next trip back minus take : - ( 
 May 28 2009 	 beautiful hotel great food great value excellent location 	 right beside tube station easily accessible airport . great bus service , bus stop right outside door , easy get everywhere hotel . room spacious , clean everything , include complementary tea / coffee tray , sattelite tv etc . room serivce great ! stay hotel love . love design feature hotel ie reception area . great live entertainment . breakfast absolutely brilliant , love mini muffin ! ! would recommend highly ! 
 May 21 2009 	 Comfortable enjoyable stay w/ minor shortcoming 	 nice hotel comfortable stay . breakfast cover excellent . find sluggish day surprise much food available right start . wi - fi free lobby , room pay use wire internet connection . couple outlet second floor section lobby case spend long amount time internet . staff helpful friendly pointing upon check - in right check - out good way get Zone 1 / Central London . the room cosy feel little bit date . bedding television room not seem match rest hotel design . one wall tile washroom loose could rip . washroom overall though clean part functional . find get tub / shower bit steep definitely need hold something make sure not fall over . location generally good , although take bus walk near tube station . not mind much give opportunity ride double - decker bus . Kilburn Park station , be 10 - 15 min . bus ride , Kilburn Station , 's min 3 - 4 stop . would definitely consider go back upon future trip London . 
 May 3 2009 	 wonderful experience 	 really pleaseant experience , big clean room , spacious bathroom . use swimming pool sauna , long day walk around london real nice . breakfast splendid , choose irish breakfast buffet , everything perfect . bus stop front hotel ten minute front kilburn metro . 20 minute city center . real good experience . 
 Apr 17 2009 	 pleasant stay 	 hotel excellent value . hotel beautiful , clean . staff friendly helpful , one . child enjoy pool , though jacuzzi operation . the neighborhood , cricklewood well situate grocery , nice pub attach hotel , number kebab chicken burger place nearby . neighborhood not good casual dining , though Hampstead West Hampstead nearby . take 45 minute get Oxford Street . the annoyance , though offer fantastic breakfast , charge hot chocolate , child seem fair since eat less buffet begin chocolate not much expensive coffee . whole charge not make sense . 
 Apr 9 2009 	 unpleasant every way ! 	 firstly , simply understand high mark hotel get reviewer . find stay hotel horrendous experience ! every aspect fall far short expectation . book hotel company two seperate night , 29th 31st March meeting near early next morning . first stay bearable although room small fairly basic - double no - smoker book . decide go swim , dismay discover jacuzzi break need inform 45 minute advance need sauna - not mention check - in surely would simple enough ! no - one around honest disgraceful staff duty case accident pool . tile around pool slippy could easily fall . however , 2nd night service fall apart ! specifically book non - smoking double knowing would check late , someone call hotel inform route . arrive 10 pm allocate room . get discover ' smoking ' room - could smell stale air get lift particular floor . return Reception tell non - smoking double booked get blank stare fromt female receptionist tell non - smoking room go ! suffer fairly heavy cold evident tell girl simply could sleep room stank cigarette smoke get shrug ! fellow guest check allocate room disabled people ( able - bodied ) offer change . option open take . room horrific sleep small single bed not do since childhood ! bed uncomfortable hardly sleep good bit whole experience get hotel first thing morning knowing would never come back ! due comment write form room , call Duty Manager day offer free night 's stay - still receive confirmation week later . way , would use . would need pay hundred pound stay . much nice hotel much well area close - GO ! ! ! 
 Mar 18 2009 	 excellent service food 	 spend 4 day London 2 young child find hotel great value excellent service , great space , child friendly good food . ideal tour london enjoy quiet relax night away . Hotel Taxi service great well worth reserve collect drop party airport especially child unsure train / tube service . lovely buffet selection breakfast well great choice cook breakfast . staff efficient polite give excellent service . 
 Mar 13 2009 	 great option near M1 motorway . 	 stay Crown Moran give we fast & amp ; easy journey onto M1 . find easily , problem parking lift take we directly reception . room clean , modern & amp ; well lay , date tv miss . cricklewood culinary centre London & amp ; eat Crown . enter find warm & amp ; comfortable . husband delight see Landlord draft even happy barman manage pull bit head . food fabulous , find bit stoggy & amp ; come straight freezer . burger good option , tasty . staff pleasant would happy go back . we comfortable night & amp ; room noisy . breakfast next day plentiful & amp ; good hot food cook order . bill reasonable eat hotel parking free . M1 within minute & amp ; way . 
 Feb 25 2009 	 Nice hotel ... bad location 	 loveee breakfast , room , bar build itself . it little far subway arrive sooo late London , remember name airport ( small one ) way go hotel taxi.200 lbs ride . : 
 Jan 6 2009 	 Lovely London hotel 	 hotel ok . room spacious clean , bathroom indeed 4stars . offer nice indoor swimming pool plenty relax area good selection background music . stay hotel enjoy modern facility traditional pub . location bit far close tube station ( 1.5 km ) area safe 's 24h bus service ( n.189 ) front entrance , connect hotel tube oxford circus . would definitely stay . 
 Dec 12 2008 	 Scarey location 	 review hotel fabulous , pub , restaurant , etc . several travel guide various travel website give hotel 4.5 well 5 , book hotel . stay hotel leave would agree , quite disappointment . hotel web site state short cab ride airport - ride fifty pound , mention desk tell know construction would take place . hear answer give several time week . location horrible , woman feel safe walking outside hotel . ask tube front desk say block leave , neglect mention 2 mile area shady good . later find bus rest stay take bus tube . stay London many time look forward show son ( 14 ) great time , include go evening , first night travel night try back hotel 9 pm . taxi ride expensive area make we look forward take bus . move hotel anywhere else London would fine , beware location . 
 Dec 8 2008 	 Aware : Irons Parking 	 love hotel , stay first anniversary , early December , ' 08.everythe perfect two set backs.1 . hotel 10 iron whole hotel . call reception go find . four star hotel 10 iron ... hmmm . offer send clothe press complimentary going take half hour hour . guy reception desk could not locate free iron apologise ask anything else could . reply ' yeah , could someone go argo buy iron ' reply ' sure , will 10 minute ' . unfortunately husband delay long enough could not wait arrive ... 's good know be willing go extra mile.2 . parkingit cost £ 20 park car hotel overnight £ 2 per hour accord sign . park less hour go night return park residential area limit parking available 10 pm till 9 am . check hotel not pay anything . either forgot charge we start charge hour not want encourage parking hotel limit parking space available . oh car parking ground go escape stair enter hotel ... find bit weird . but whole great experience . breakfast fill staff attentive ask everything ok need anything . not dine get use leisure facility ( review seem great ) due time constraint definitely book another stay hotel near future truly experience everything offer . 
 Nov 20 2008 	 Excellent Value London 	 recently travel Ireland London NFL Match Wembley Stadium . party consist 2 adult 2 child . Crown Moran Hotel convenient location , ready access public transport service ( tube bus ) . personally find hotel staff extremely helpful , courteous efficient , right initial contact hotel . arrange cost effective transportation we journey Luton Airport hotel . the hotel staff reception bar restaurant commend . stay comfortable twin adjoining room , excellent value money importantly tasteful absolutely spotless . bathroom modern spotless . food food service high standard , irish Breakfast ( include rate ) top quality . unfortunately not get use excellent look leisure amenity . all Crown Moran Hotel hide jewel North London , add significantly enjoyment trip . if look extraordinary service , comfort facility ordinary ( ie affordable price ) suggest look ..... certainly will not .... definitely use hotel , London . highly highly recommend .... 
 Oct 31 2008 	 Fantastic ! top class hotel 	 stay hotel day well impressed . decor hotel amazing room spacious . swim pool almost like private pool . ate restaraunt two night food excellent . reccomend hotel highly enough . breakfast fantastic , full irish breakfast well choice cereal , juice etc . staff extremely friendly helpful . hotel also great location get london city bus stop right outside door kilburn tube station 4 bus stop away . would definitely stay hotel recommend anyone . 
 Aug 23 2008 	 Perfect . fault ! 	 look hundred London hotel pick price reasonable picture website look great . cricklewood 7 minute Central London tube . 's bus stop right outside hotel go near tube stop Kilburn 2 - 3 min walk take 20 min . fly stansted half hour outside city centre lot help receptionist , hotel send car we slightly dearer bus / train , 4 we travel handy . check quick . arrive 8 am let we check one room time ready . room beautiful , clean nicely decorate . head Madame Toussauds , highly reccommend , queus long well worth . first night stay wedding hotel , stay ground floor could not hear noise , impressed . get breakfast room follow morning , could not fault either , everything freshly cook pipe hot . swimming area lovely , many hotel London pool one will pay lot extra . will definatly stay whenever visit London would reccommend anyone stay . several bar premise , interested night club not go city centre not know hard would long would take get back hotel afterwards . ' m sure reception would help contact tho . 
 Jul 21 2008 	 great hotel Cricklewood London 	 stay July 2008 really enjoyable stay . interior hotel amazing , bedroom quite large lovely bathroom bed really comfy . eat King Sitric first evening lovely meal . several option breakfast time , full Irish highly recommend . hotel right next door tube station get several bus right outside hotel take Kilburn station 5 min 's 20 minute trip Bond Street . bar adjoining hotel pretty lively good fun weekend . would stay . 
 Jul 21 2008 	 Favourite hotel london date 	 bit nervous go hotel location- usually stay west london- review persuade we give try ' m glad do . we fabulous room- spacious lovely- ( executive room big double worth extra money ) ' m light sleeper ask quiet room possible put side hotel- surprised although not far main road -the noise come room window nice view side street . sleep well hotel 's real rarity I . the thing not fabulous pillow soft- still get great night 's sleep . the decor good- thing look new fact banket brand spank new not bother me- everything spotlessly clean . the staff wonderful helpfulThe breakfast absolutely great perfectly cooked- go fairly late not busy could not fault thing . my room service dinner steak not great - but imagine snack would fine . the pool lovely clean seldom use feel like private pool . shower pressure fab- although one night -around 1 am could get warm water bathroom tap- amusing rather problem- know contact house keeping have straight away would already brush tooth get bottled water - fine . wake morning normal . we fridge room - not problem . time eat every night . the walk tube 10mins -but be Bond Street 7 min right centre everything - bad knee like - bus right outside door hotel take Kilburn tube station- buy travel card use bus well - I can not say enough good thing hotel . Loved -love it . one thing coud nice tapas menu- big sitting area restaurant bar -as crown pub little bit rough taste- nothing put stay hotel again . what bonus get park £ 10 night well . if extra would put price find would rather thing are- make hote affordable luxury . there lovely little bakery bagel shop opposite hotel great lunch one day £ 6 2 people - sandwich pizza slice wiht tea- good London ? manage walk back tube one day problem concern . load cheap food place nearby- great sheesha cafe like apple tobacco 5 min hotel towards tube . 
 Jul 15 2008 	 Tranquil outside city center 	 good business class hotell beautiful clean room , nice gym , nice swimmingpool average restaurant . good feature full steak dinner service hotel restaurant . nice place cool busy city life . take 5 min bus Kilburn Subway St. 20 - 30 min city centre - Oyster Card across street hotel . area around hotell isn´t many exit thing exept Hallal shop , McDonalds newspaper agent . need travel north car location perfect , since avoid traffic city centre . 
 Jun 30 2008 	 Excellent hotel 	 girlfriend spend 3 night recently . excellent hotel round . bed comfortable , staff friendly food quality . 
 Jun 14 2008 	 would definately recommend Crown Moran 	 stay Crown Moran visit London Foo Fighters concert Wembley Stadium . hotel excellent location anyone go Wembley Kilburn couple stop away . kilburn tube station straight 10 min walk hotel not want walk bus stop right outside hotel drop station . 's 30minute journey centre London . one reviewer mention feel unsafe walk ethnic community bit worry go honestly say not feel threatened . hotel beautiful . area spotlessly clean modern . Breakfast include much would get anywhere - mixture hot continetal breakfast . adjoining pub real bonus cater mixed age group . there also mention one review staff unhelpful unfriendly - not find case . maybe ' e undergone customer service training since . 
 Mar 15 2008 	 Fabulous Wedding Venue Great Service Food 	 recently get marry Crown Moran begin end praise hotel staff highly enough . although cricklewood not first place would think get we d London , Crown Moran breath fresh air area perfectly situate transport link across city . bar , Reception banquette staff courteous helpful offset nothing appear much trouble . menu planning chef outstanding - especially give decide create menu scratch stick usual wedding meal option . simply listen like dislike design tailor make menu delicious perfect . the feedback guest excellent would give hotel 10 10 everything except view London ! 
 Mar 6 2008 	 stay next London visit 	 hotel nice . clean modern room , smart friendly staff expieriance speak English well despite review , cool pool hot tub tasty cook breakfast price . its location little outside city may get little annoying central location be not sight see occasion be not big issue we . there underground car park pay , can not sure standard guest sign price on . the pub attach hotel serve food although do not eat couple quiet Sunday afternoon pint read free Sunday paper availiable . next time visit north central London first hotel try doubt pleased . 
 Dec 14 2007 	 nice noisy 	 hotel nice , relation price / quality good . first , hotel 30 minute bus London center , although bus stop really near hotel entrance . make take 1 hour day go center . arrive hotel , take good feeling reception , kindless staff depend person attend . kind , all . the room clean bed big enough , bed clothe old be require level 4 star hotel . bad thing we , depend room be allocate , really noisy room , bar , music loud sing song bed . music turn 2 am , wake early , would serious problem . complain hotel second night , could not offer we solution last night , move we presidential suite , night price double room . ok hotel manager . bathroom clean spacious . before go , read neighborhood safe , be say much , 's true street full inmigrant people , make feel little unsafe . as conclusion , think hotel good , go back London search another place stay . 
 Nov 30 2007 	 WONDERFUL 	 would stay hotel heartbeat.i stay 2 night adventure london ... although little far away downtown area - 10 minute walk tube 20 minute tube get downtown.the pool beautiful .. spiral staircase . great customer service.room service fast.my room excellent ... bed comfortable.personal heat AC controls.tv sound play speaker bathroom.the breakfast morning include part buffet .. part hot breakfast.it ok ... personally think food london different use ... sooo can not expect much.the thing not like maid come check day ask come back half hour check ( check time 12 ) ... like not understand still try come clean.overall ... give hotel 5 * ! ! ! 
 Nov 22 2007 	 Great Hotel 	 stay hotel one night , room spacious clean . eat hotel evening mean overnight parking free ! ! ! 10 min walk near tube fancy , hop bus right outside drive right past tube entrance . pleasant stay would recommend . 
 Sep 16 2007 	 could not fault hotel 	 come back 5 day stay Crown Moran , absolutely delight everything hotel . check busy time , treat well staff professional friendly . thrilled size room , ask twin , get huge room King Size bed single bed , heaven sleep , really comfortable bed , bathroom absolutely spotless room , be not noise room , corridor , street noise ( back ) .The breakfast lovely , either full irish continental , staff serve we friendly professional way , ' ve read report poster staff unfriendly incompetent , do not find all . the area hotel locate work class be deny , that s problem , be not bring silver spoon mouth , do not expect people run around ! ask direction shop everyone happy help , find community around hotel really nice friendly ordinary people . as say , bus pass hotel take Kilburn Tube station , tube central london minute , find easy navigate , problem take tube London without slight hitch . the Crown Bar attach hotel really nice good atmosphere , bar food hotel really good reasonably price , do not dinner Hotel Restaurant , can not comment that . there plenty fast food outlet street load little shop fruit gorgeous little bakery across road use buy little treat , kettle room add bonus love , great cuppa Central London day . I ' ve read report say people feel unsafe area , ' m really puzzle ? ... do not know people come , never feel unsafe , even take night bus home hour , work class area ordinary earth people , do not two head ! love stay Crown Moran , definitely go back Christmas , think fantastic value , Central London minute tube , really could not ask . 
 Sep 9 2007 	 Crown Moran Cricklewood London 	 bear raise 15 minute Cricklewood know area well , realise book Crown Moran site central exactly scenic area . live US want close family reading review , decide book Crown Moran . the room modern clean . bathroom modern shower powerful instantly hot . room noisy consider hotel locate , noise adjoining room corridor . the common area modern well lay underground parking ( free whilst barrier working ticket could issue ) . overall hotel average term decor amenity certainly aesthetically pleasing lot room stay within centre London . the problem hotel staff . particularly friendly , seem experienced , seem prefer guest steer well clear . public phone lobby take emergency call , ask use reception phone make local call . would allow suggest public phone not work walk street payphone . ask tube map give one without word smile acknowledgement . want ask pool opening time , ignore actually shout & quot ; excuse & quot ; lobby desk . stay fine . breakfast ok include rate ( £ 85 ) , room fine bathroom nice spacious . hotel need staff one least look though not hate help . 
