Wonderful 	 stay Le Meridien Shanghai part China trip . cold feeling little miserable arrive . soon enter room , forget cold ! room 36th ( ? ) floor view wonderful . although room large , feel spacious . furnish modern contemporary . husband like rain shower . location hotel ideal sightseeing . thing internet include , think could without . ( internet previous China hotel think use much . miss access . ) think return China year two , child . would love stay Le Meridien . 
 Great Great Location 	 hotel great location be holiday / leisure trip . right Nanjing Lu surround shop , restaurant cafe right literally & quot ; doorstep & quot ; , one enjoy bustle city life . breakfast offer hotel not dissapoint us - happy selection provide , room well appoint . convenient well locate cater well family travel young child . I also sister disable travel we . find hotel convenient , due location . able move freely without obtacle able wander around vicinity without difficulty . family wonderful vacation glad choose hotel . fact , month return home , family talk impending return another stay hotel . 
 oct 22 2009 	 Modern Glassy 	 decor have expect . modern mirror galore , along hallway elevator . get lobby , take elevator street entrance . inside elevator , could hear chirp bird , relaxe calm annoy guest ? lobby level , take another elevator room room key identification , elevator would take floor . elevator door make resemble futuristic chamber entrance , almost could'nt help muttering & quot ; beam & quot ; . room ( twin ) clean . location hotel good short cab ride almost anywhere subway station minute walk away . be close People 's Square sunny morning blue sky , make wonderful stroll around ther Shanghai Museum . the staff try good impress get cab show right elevator room . breakfast lobby level usual fair . food chinese restaurant good . last word , homey type hotel , glitzy dizzying , perhaps reflection modern Shanghai 
 Oct 10 2009 	 beautiful hotel good location 	 fortunate enough & quot ; free weekend night & quot ; earn Starwood Preferred Guest promotion early summer 2009 . give plan Shanghai trip long actual date , book free night le Meridien without hesitation . sure would full price hotel . second stay hotel ( last one April 2008 ) .Everything expect Meridien tier SPG . complaint are:1 ) perhaps hotel need minor renovation noticed floor corner bathroom minor stains.2 ) & quot ; buy 1 get 1 free & quot ; coupon attach bottled water bar top hotel . however , true & quot ; buy 1 get 1 free & quot ; . free beverage must non - alcaholic waitress hard time explain coupon work ... sure deal still watch take advantage coupon . 
 Sep 30 2009 	 beautiful room great food unfortunately mediocre service 	 stay 2 year ago decide treat luxury hotel . not disappointed . hotel amazing , stun inside . room far good hotel room ' ve ever . many feature , able watch enormous swivel tv anywhere room ( include bathroom ) wonderful view city . really well decorate , incredibly comfortable ' basic ' room . so much go doorstep hotel , hotel bar top lovely . food first rate , different every day varied day . unfortunately really lack character , due service . staff make quite aware young many guest , can not remember single piece good face face service . would definitely stay , however real lack 5 * ( even 3 * ) service mean place atmosphere . walk luxury hotel , every member staff greet smile make feel welcome , rather force nod , bad , wry look ' what ? ' . ' m still give top mark not deal breaker consider 's pro . perhaps change 2 year , imagine still high rank ( # 1 2 year ago , ~ # 3 ) must mean not need . shame , almost perfect . 
 Sep 30 2009 	 Luxury Heart Shanghai 	 stay three night recent trip Shanghai think beautiful hotel top bottom . staff attentive helpful . location ideal start pedestrian East Nanjing Rd . near Remjin Park , Shanghai Museum Bund . People 's Square Metro close need get part city . lovely pool though gym need upgrading . breakfast buffet delicious much choose . think dinner bite pricey many inexpensive option close . bar worth drink view alone . 
 Sep 27 2009 	 amazing 	 nice room beautiful set heart sanghai , two looby samll one ground level huge 15th floor , fair price , nice outlest nice place want visit shangai 
 Sep 22 2009 	 Epic Fail many levels- amazing other . 	 ok go ... struggle day review- please excuse rant rave . I want qualify follow let know stay Le Meridien second week honeymoon September 2009 , week Beijing . rave wife China year choice honeymoon easy decision exciting one . live China 2003 - 2004 english teacher , also live work London , Paris , Sydney , Chile , tour every continent except Africa . professional musician well know band somewhat use polarise nature travel touring- often good service hostel whilst bad 5 6 star hotel . for honeymoon , decide would play & quot ; famous musician & quot ; card travel relatively anonymous honeymooners- would pay 5 star hotel expect great service . save month could good everything . stay Hilton Wangfujing Beijing , spoil we beyond belief , perhaps expectation slightly distort standard service recieve . however make excuse follow below . we book limousine pick hotel time helpful , although driver speak English certainly friendly enough , conversational Mandarin traveller like , problem airport transfer . we arrive hotel bellboy swarm we like fly ; useful bunch flight drive airport . approach check desk , could see whisper turn chatter , course listen comment long hair eyebrow ring- surely see Australian . immediately become clear front desk check & quot ; personalised & quot ; check service tout Meridien 's service guide . desk girl welcome we , business , immediately feel place . welcome drink , although wife soak , endure musty environ Hongqiao airport subsequent afternoon traffic jam . check girl slap door card table tell we nice day- word elevator positioning , noone take bag , quick rundown location- nothing attempt upsell we big room . check ? bet . we find way upstairs realise give smoking room view book . phone immediately ask change correct room , settle . tell someone would sent immediately . fifteen minute wait hallway bag , go downstair sort small issue , 4 5 american business guest suit treat scotch rock check ! executive club guest service promise we receive ! would stoke glass water .. new room key handed . smoking room , floor level , view size book pay Expedia . clear booking spec pass hotel Expedia , phone downstair ask even book honeymoon guests- poor english speaker tell we & quot ; check call back & quot ; . call never come . at time make feel place . paranoid insecurity , experience China , upmarket hotel good service real current busy executive . behind back audible - chatter , disintereste concierge , manager , staff constant disappointment begin swell first 3 4 day , force call manager downstair wih large list complaint . at risk sound like miserable sod let know like hotel : location perfect . right top Nanjing Lu , China 's shopping mecca , view side build incredible , hotel smack bang centre Shanghai geographically . room , little small , beautifully present , room service great appliance , toiletry appointment luxurious modern . we access Executive Floor , include breakfast morning , afternoon drink snack , open bar night 5.30 8.00 pm , complimentary high speed PC 's broadband . everything room incredible ; view , service , food , free alcohol . always feel welcome floor treat professionally . fact pay privelege , dare say would check second day- food really world class lounge- selection French , asian , western traditional buffet food . the spread large afternoon & quot ; cocktail & quot ; need not eat anywhere else stay- use spead dinner almost every night- food different every time- example one night : mini hamburger , selection world - class import cheese , bread pestos , chinese dumpling , parma ham , meat selection , fruit , prawn , calamari , soup , steamed vege , shanghai style noodle , chicken skewer , rice , spring roll etc etc ... literlly 20 25 meal choose , buffet style , unlimited beer bottle , can soft drink , wine , juice top shelf alcohol help . breakfast wide - reach keep we full afternoon . the downside discover & quot ; Bali Belly & quot ; cause breakfast coffee Club lounge- still unsure whether water use & quot ; milk & quot ; problem , 5th day drink eat nothing coffee breakfast , get sick almost instantly- explain previous 5 day sore stomachs fun bathroom . shame enjoy morning coffee . , food drink 5 star standard . now back unfortunate part : whenever ask anything , tell not need . never ask anything one would expect hotel help . instance : ask around 2.30 pm Saturday concierge could book we taxi 6.30 pm show ticket book miss show Beijing week due busy peak hour period . concierge stare blankly we ask diamond encrust toothbrush , tell we & quot ; not need ; always taxis & quot ; . know untrue peak hour , however avoid argument thank go downstairs ask bellboy , see book many taxi whilst wait line , could help we , give attitude refusal despite job description exactly request . oh well .. imagine complete lack surprise 6.55 stand line downstair 45 minute 10 guest front we wait taxi forthcoming ! ! need pick ticket 7 pm location least 25 minute away , ask bellboy could get we next taxi impress way thing look consider ask help hour early . suddenly English diminish palmed card hotel address , said & quot ; want . & quot ; hmmm ... fact English skill staff part poor , sudden lack empathy astounding . wealthy italian guest stroll several , let us say & quot ; high class & quot ; lady tow , instantly usher next taxi . guest front we wait even long we unimpressed . we give treatment phone concierge bring menu restaurant downstairs hotel . go entertain important business client record label wish make right choice first visit Shanghai . 10 minute later get call front desk tell we & quot ; go resturant see menus & quot ; , do not time , even moreso waste 10 minute wait menu never come . attitude surprising although uncommon- wife everything could stop raise hell downstairs , course relent . honeymoon determine make special time . this typical service get concierge staff general . arrive taxis , 3 4 staff member would swarm we per arrival hand tip , sarcastic smile smuttering ridicule Mandarin back turn , yet arrive behind supposedly wealthy guest suit , even single person open door we . please not get wrong , know open taxi door snob , however wish highlight extremely polarise nature service . service even average would spend thousand hotel . on another occasion , door guy pass name place intend travel taxi driver usual service- imagine disappointment drop semi - rural setting mile location , street well vaguely similar street name tell . Mandarin speaker , problem take care quick enough extra buck taxi big deal- solo lady traveller Mandarin language skill experienced trip end hicksville thing could end ugly . bellboy act security , term use loosely : whenever step hotel , due location harrasse everyone beggar pimp hooker contraband dealer , yet late one night reture short junkfood mission , accost drunk pimp little touchy like despite continue denial service , thing get little heated consider take argument another level , security guy hotel appear shadow usual lap around block sort pr exercise make feel safe . whilst fear physical safety clearly tear guy new one , security guy drop eye march quickly past we sight- definitely help calm situation , despite obvious issue- sure purpose , aforementione pr exercise . in 789 Bar top 3 floor , amazing view , book private table night several week ago even arrive China- arrive , book record- throw table directly immediately front DJ booth privtae romantic planned wife . drink come terrible : black russian make barely coke taste terrible . inform staff attractive lady poach hotel look alone . unfortunately cocktail almost undrinkable . order several coktail menu , every one barely drinkable- every time order point menu staff idea drink ask for- even signature & quot ; 789 Shooter & quot ; ! ! ! order last drink call , tip well , pay cash finish drink bar close , ask leave bar girl tip week 's wage , & quot ; housekeeping need come clean & quot ; . wow . standard drink service improve several days- settle bottle vodka local liquor outlet , ipod cocktail room next night . view bar amazing though . eventually phone concierge voice issue , find could get room service pay . explain feel like honeymoon service poor . manager tell we system honeymoon guest Expedia 's faultand Manager would make call , however phone concierge within hour arrival Day one clarify & quot ; honeymooner & quot ; issue never reply . within five minute bottle red wine arrive , another 10 minute bottle champagne , welcome letter ask we enjoy honeymoon . consider stay 5 day , letter date today , compunde fact gesture 5 day late , actual issue ignored- throw alcohol problem instead tend problem- never hear manager , champagne arrive staff member obviously cut not tip . not say anything notice look , wife ask see agree . even attempt shut we seem failure . love China- people , local , food , history culture- live , teach China 's child , do business many amazing moment here- misread say- problem hotel , confirm western staff , Meridien cut corner , many business China , order maintain profit- clearly , hire standard high , many menial job give local whose education vision 5 star ethos well par . resentment local staff thankless position glaringly obvious ; part understandable consider job consist witness supplement we westerners live cash - up exorbonant lifestlye nose ; people blame poor service , position know feel well . however , hotel Le Meridien ensure standard continue suffer result- know China place cheap labour- whether name Nike Quiksilver- obvious disrespect local culture , lack understanding , lead management assume one kind labour force available China- real traveller know- untrue ; Meridien need hire cream crop 5 star hotel Asia do- right Le Royal Meridien Shanghai big , beautiful modern building potential world class- location name building attest that- service attitude place nowhere near pricetag . unfortunately hotel much like well pay escort- tall beautiful expensive grand- time plastic , shallow , lack class , character devoid personality . 's point build magnificent palace look amazing offer much , fill poor staff ? look nice view , good location fantastic executive lounge , go it- not expect anyone care make feel welcome . ifyou look romantic welcoming stay trimming 15 minute fame , forget place . never stay Le Meridien 's hotel chain ever , service poor . ask anything ordinary- ; want standard service pay good money for- stay many cheap hotel Shanghai , confidently say Astor House Hotel , JIA Hilton Shanghai make Le Royal Meridien look like McDonald 's carpark . obviously fail attempt subtle , end couple suggestion ; business man lady intend leave hotel business , not need 5 star service Le Meridien promise , happy executive club privilege ( fantastic ) like faceless guest fuss , hotel may scrape . . respect family , girlfriend wife travel with- choose somewhere else . we nightmare guest , anal , overly sensitive smug ; young yuppie scorn one bad experience . real expectation serve well intend carefree holiday dream : taxi 's everywhere , romantic dinner drink , welcome smile day hear occasional & quot ; good morning & quot ; & quot ; hello Mr Mrs C .. & quot ; consistent disappointment many level across many employee several night ignored- hotel can not even send couple menu wait earshot talk smack , not exactly 5 star service , ? choose hotel base TA review , make sure really research hard choose hotel . read many review month , tell someone picky look something wrong place- young newlywed couple prepare make good situation matter bad ; pay ig dollar really try hard let poor service get we , treat every day new - still blast honeymooner do- several time day find saying & quot ; can not believe happen ... & quot ; wait Ashton Kutcher jump time . shame really . time , service barely scrape through . look elsewhere . 
 Sep 22 2009 	 choice hotel Shanghai ... IMPRESSED ! 	 leave LRM Shanghai today must say friend extraordinary time ! stay Royal Club level room Executive Royal Club Lounge access 6 night . every morning , breakfast ( make order egg , bacon , sausage , potato , pastry , dim sum , sushi , congee , fruit , cereal ... ) club lounge surf web use free wifi whenever possible , glass wine snack ( bread , cheese , sushi , dim sum , sandwich , fruit , carpaccio ... ) happy hour . purchase royal club level room , believe upgrade 450 rmb per night . be totally worth since get room high level , free wifi , breakfast , drink alcohol food . also opt breakfast Le Bistrot lobby area get wide selection wifi get bit busy . room come king 2 twin since 3 us 3 6 night , add rollaway bed 245 rmb per night . housekeeping turndown service great never rush whenever get back room , always make amenity towel always top - unless course turn & quot ; Disturb & quot ; light . rollaway bed make room little cramp complaint otherwise . decor extremely modern opinion , quite opulent marble bath floor tub , separate toilet room frost frameless glass door . bath tub area rain shower come ceiling ! bath product L'Occitane . bed comfortable fall asleep soon get soft duvet / comforter ! hotel staff incredible - always smile , always go way speak English push elevator button even ride escorting wherever be head . concierge speak perfect English always know recommend restaurant . prior arrive Shanghai , email concierge desk make recommendation reservation restaurant , bar , lounge club . cab Shanghai not speak English usually recognize English name place make sure ask concierge door / bell staff write chinese address . address card give hotel chinese name address return trip - show card driver know take . remember almost everything China negotiate . post price hotel car service hotel Pudong Airport normally 600 rmb , negotiate shopping trip airport 400 rmb ! driver wait we shopped ! cab airport non - rush hour traffic around 150 rmb end 7 piece luggage 7 day shopping want take hotel car - clean nice black Audi . arrive airport today , LRM Shanghai representative meet we drop location escort we push luggage appropriate counter assist check - in process . speak good English . , LRM Shanghai make 1st Shanghai experience deliver every expectation 5 star hotel - definitely back ! 
 Sep 21 2009 	 recommend 	 Excellent hotel perfect location . we nice Club Room Club Lounge really perfect . view Pudong sunset breathtaking , enjoy good free buffet . great breakfast , superb overall experience 
 Sep 20 2009 	 terrible attitude service 	 hope good stay visit Le Meridien give many positive recommendation . never hotel arrogant personnel service . ceo major corporation , use high service level attention detail . pleased stay Sofitel Shanghai . never go back Le Meridien . disappoint , Le Meridien several city good , personnel know service hotel , also speak vey poor English . 
 Sep 19 2009 	 Excellent Hotel Location 	 recently stay , twice . everything hotel wonderful -- room , bathroom , service , check - in location . elevator issue . yes , take one lobby one room . be quick , be reasonably high , view great . love place . 
 Sep 19 2009 	 great hotel spoil checkin 	 highlight trip far hotel , upon arrival king bed available even though pay upper floor 43 plus allocate 24th floor . despite request sort refuse . offer happy hour drink aware drink order drink . 66th floor bar offer city view even though Bund view vacant .Despite negative would stay 
 Sep 17 2009 	 Perfect choice first trip Shanghai 	 pick hotel review TA also find cheap deal cx Holidays September . not disappoint - hotel modern well design , room not particularly big comfortable , not problem service ( query deal competently politely ) . confusion bar opening time , not accomodate would encounter hotel ) not really major issue we . breakfast buffet great , load choice local cuisine available . Location also could well . for we , great choice location good round facility . 
 Sep 9 2009 	 great hotel convenient location 	 stay hotel 2 night August room number 2714 . location hotel can not beat middle busy area clean Shanghai subway station step away . particular room corner room provide window side room great view go street level . unfortunately , view Shanghai World Financial Center block build next hotel , still plenty look otherwise . room incredible ton amenity . big closet area leave first walk perfect oversized bag . bed comfortable definitely soft bed sleep China . begin long trip find bed hotel uncomfortably firm must appeal chinese people . bathroom big spacious , however provide privacy completely enclose transparent glass . stay spouse problem , stay friend might provide privacy issue . tv internet work fine far could tell , not really concerned stay Shanghai 2 night want see much could see . prepared pay hefty fee internet access also prepare block social networking site ( facebook , youtube , etc . ) China use firewall make sure ' access sight . ' use pool , still go see look like anyways . would time hotel , definitely would use pool nice big indoor pool great view outside . lobby enormous many restaurant choose . eat breakfast hotel restaurant last morning find good , expensive . however , nice american breakfast experience traditional chinese breakfast . overall , would definitely give hotel high rating excellent location room high quality . 
 Aug 27 2009 	 Good hotel service 	 stay hotel second week August 6 night . reason pick hotel were:1 . location 2 . review TAIn term location , us ideal . could walk hotel many shop , resturant etc aroundd nice place be . the hotel modern , love aspect , room nice bund view cherry top . however , service poor , actually poor ! ! ! stay many hotel around Asia service worst . staff lack manner really not seem interested anything . would stay , yes price reasonable preference would try different hotel . would recommend hotel friend - yes really like room hotel , include pool . would stress point service . if hotel service big part hotel experience would recommend hotel . 
 Aug 26 2009 	 Good Modern Hotel 	 stay business trip Shanghai pleasantly surprised hotel modern interior prefer . chance explore hotel comment room service . room nicely do well equip though small side . bathroom open room design fine travel alone . room comfortable modern time . please service hotel . ask bellboy bring luggage get local sim card . within 15 minute deliver room even instal phone . impressed . location also great , right middle city . everything need walk away . enjoy . 
 Aug 23 2009 	 like curate egg ...... good part . 	 rate enable we use Royal Club Lounge , 44th floor , breath - taking view Shanghai . lounge dedicated check desk provide excellent breakfast well soft drink , snack , tea coffee day . appetiser complimentary alcoholic drink available 5.30 7.30 pm . food drink excellent quality range , serve attentive , willing staff . free wireless internet Lounge also great bonus . use ' Club ' lounge Renaissance , Accor St Regis hotel , hesitation say Meridien 's Royal Club well come accross . unfortunately , remainder experience less favourable . luggage deliver security staff pose ( somewhat ineptly ) bell hop another ' bell hop ' follow around check . difficult know ? presumably face ( colour ) not fit Royal Meridien 's ' profile ' . concierge also mixed bunch : one extremely helpful wife enquire trip , another give impression favour , ask assistance . corridor floor room damp musty smell , report recieve response . the wrong rate apply bill checkout result overcharge excess rmb 2000 . big deal , despite provide proof correct rate booking , ( inexcusably ) take nearly 20 min resolve . Overall Royal Meridien big , brash , rather impersonal , hotel , like curate egg , good part . 's deficiency highlight exceptional service recieve stay St Regis Beijing ( trip ) . Royal Meridien 's location decide factor choose hotel Shanghai , despite attraction Royal Club , be likely make different choice next time time round . 
 Aug 20 2009 	 Review travel professional 	 great location , next main shopping street . room bit small well equip modern . negative point Concierge . ask sightseeing information give we brochure local sightseeing operator ask we research . 
 Aug 9 2009 	 new favorite Shanghai 	 Stayed night business - highly impressed service amenity although slightly disappointed business center mainly nickle & amp ; dim everything ( surprised charge oxygen provide use service ) ... , complaint ... hotel lovely . 
 Aug 6 2009 	 great hotel perfect view 	 ' city first time stay hotel . without doubt , superb hotel . hotel locate next high street town easily get major scenic spot entertain area . view outside room stunning , thank great location . overview whole Nanjing Street standing room . also enjoyable drink bar 66th floor . ' matter drink , nice enjoy chic cool bar ( great view also ) . quite lot elevator ' well make sure getting lose … try chinese restaurant point french food Shanghai trip . service good food fair price . look hotel great location outstanding value , Le Meridien Shanghai go . 
 Jul 26 2009 	 great value . great location . great service . 	 select hotel since rate # 1 1500 hotel Shanghai could not argue price ( 130 quid per night three ) . buffet breakfast excellent ( buffet dinner - tue Fri BBQ dinner beer drink 22 quid ) . would call loss leader . half price kid . hotel meticulously clean , staff helpful speak good English lucky learn word ' hello ' Bahrain Shanghai . 's Chinese . hotel organise train ticket etc necessary avoid take hour day buy ticket wrong place wrong time wrong day . well locate - next People 's Park good subway Shanghai South train station , centre town Longyang Station ( Maglev Pu Dong airport ) . maglev outstanding gig . surreal barrel along 430 km/h . wierdest bit stop accelerate 430 km/h actually feel like driver slam brake . be fast still accelerate . eat heart Clarkson . only moan price internet access business centre . 5 yuan minute . Err , be nearly 50p minute . thirty quid hour . sure ? Hotel actually convert office block apparently manner lift change require depend floor room . take getting use to . view top floor bar outstanding . arrive early window seat . 
 Jul 26 2009 	 Superb Hotel 	 moment arrive hotel find service high standard . we originally book club room , peak season quite deal , well worth investigate travel . upgrade Imperial Suite 59th floor . lovely bathroom overlook business district main bedroom seperate living room overlook Peoples square . the lift system bit confusing probably critisism hotel . the hotel ideally locate want shop walk around area . unfortunately one day temperature reach 41.c red alert issue . hotel nice cool oasis get back . one reason visit Shanghai Eclipse Sun . unfortunately start rain still stunning outside watch everything go dark 9.45am . there good choice restaurant include italian , chinese , french Buffet style . want Buffet arrive early book . overall lovely trip use Shanghai base also visit xian Terracotta warrier also Hangzhou . I would certainly highly recommend hotel . 
 Jul 18 2009 	 Ideal Location 	 hotel 's ideal location make must anyone short time . much sightseeing shop within walk distance exhausted walking . clearly good Meridien hotel stay . structure hotel large sometimes difficult navigating . concierge desk mark still sure use concierge luggage assistance personnel information . extremely helpful though . unusual feature hotel give card taxi 's identification take taxi hotel . great case leave something taxi complaint . 
