Nov 	 Valentine 's Day 	 love city trip ! hotel great , guess celebrity room stay ? 
 Sep 1 2009 	 wonderful place stay 	 stay 3 night fantastic peaceful staff be helpful would recommend place anytime 
 Aug 13 2009 	 hip funky fabulous 	 room small , location , service amenity make . definitely great beat path hotel . city conference hold usual generic hotel . walk across Union Square Park . 
 Aug 2 2009 	 friendly staff great location 	 stay two night really nice experience . staff friendly helpfull , room nice location super ! complimentary wine hour also nice get chat lot nice guest . 
 Jul 27 2009 	 trendy hotel room bit underwhelme nice staff . 	 stay Kimpton Hematology meeting late 2008 . Kimpton brand interesting first stay hotel . arrive late Sun night large rental car hungry colleague . check breeze chocolate chip cookie calm hungry stomach . lobby cute smallish elevator bite slow . arrive room funkily decorate overlook street . bit & quot ; old guy & quot ; smell . dissappeare run AC . hotel sort interesting seem like take old building funkie . example average light fixture paint shade . bathroom fixture work well bit old . room bit dark . ipod dock nice touch . aveda product roomate enjoy lot . hotel staff nice slick print server get document need print do . one thing enjoy & quot ; happy hour & quot ; red wine serve bunch we hang lobby . pretty limited seating though . the location good . next Chinatown gate near shopping & quot ; Ugg & quot ; & quot ; Banana Republic & quot ; etc . quiet safe . nearby 7 eleven reasonably close starbuck . high end breakfast place corner look good overpriced . couple block Union Square Macy 's Victoria 's secret . overall decent hotel . much cheap say Westin opinion not get much . happy travel . 
 Jul 23 2009 	 stay whenever ! 	 love Triton helpful friendly staff ; cute , clean quiet room , central location . able walk City . not vacation time help make trip great . 
 Jul 21 2009 	 exceptional service 	 although room expect give photo website , would definitely stay purely base exceptionally friendly hotel staff . nothing difficult really feel like stay friend rather hotel ! hotel uniquely decorate , despite stay queen deluxe , decor room pretty standard . nice touch borrow hair straightener / curler free ! wine 5 pm cookie 3 pm also special . perfectly locate . 
 Jul 16 2009 	 funky fun hotel fantastic location ! 	 want stay hotel year finally get chance two - night stay 11 - year - old son San Francisco 11th 12th July . love decor place ... 's run - of - the - mill hotel ! cartoonish wallpaper , metallic fabric furniture , Michael Jackson video flatscreen , rubber ducky fountain ... know be something different soon pull up . we pay $ 143 night additional $ 38 charge per day parking . stay nearly every major city world never pay much parking . feel price room fair compare San Francisco hotel similar quality . our room ( 208 ) second floor , corner room directly across southernmost Chinatown gate Starbucks . great view ! complaint room , corner low floor , loud Saturday night . awaken numerous time loud , party people ( well midnight ) traffic . Sunday night well ... hear people turn AC unit white noise . not ask move room second night really not want move one night - potential guest aware want get sleep . other stay outstanding ! room comfortable impress old hotel redone serve modern need . Great flatscreen watch movie , comfortable bed , interesting art decor , nice sink area lovely amenity . honor bar exorbitantly expensive ! ! know hotel charge crazy amount in - room snack $ 3.50 Snickers bar $ 6 bottle water stupid . hotel easy walk Chinatown ( literally right across street ) , Union Square , Financial District , Embarcadero / Market Street area . bus stop right outside hotel Muni short walk away . they fantastic little french bistro next door good croissant ' ve outside France . love complete selection french - language magazine sale get chance practice french waiter ! good coffee - little hesitant stay son think funky hotel would full youngish people try look hip pick ... also plenty old people , family , musician , regular folk stay . feel comfortable stay son ! certainly stay come San Francisco - 's good value city . the staff great - always greet son name 
 Jul 13 2009 	 hide gem 	 hotel good location , block Union Square . morning get Tea Coffee 5 pm get wine ( white red ) .The room size good hotel city . 
 Jul 11 2009 	 stay hotel ! 	 hotel could perfect base week San Francisco . staff friendly helpful - answer query email arrive let we check hour early room ready expect drop luggage check later ; decor funky ; hotel clean well equip . good bit ? water feature front complete rubber duck - genius ! 
 Jun 30 2009 	 Nice hotel great location 	 really enjoy stay Triton book impressed Kimpton hotel stay last year Washington . staff meet friendly helpful hotel great central location . room ' small expect read review , clean comfortable , although additional shelf space bathroom would helpful . we use fitness room time stay well equipped , other say , coffee available reception nice addition , however , ' get back time wine evening . irish Pub right behind hotel ( less 2 minute walk ) use time get snack basic pub food quite good 
 Jun 26 2009 	 Location ( chinatown gate ) Friendly Staff - Perfect Spot 	 location , directly chinatown gate , right make hotel one easy find city . quick walk hotel 30 bus take skip chinatown mob get part city . arrive Thursday late afternoon , check nice front desk attendant . able give we recommendation Thai food nearby , osha . take suggestion find place describe - frill great food fast service . room assign two door Kathy Griffin suite be big fan List , pretty enchant every time walk door . ' m terribly light sleeper never awaken noise room face courtyard . utterly silent every night - thank , Hotel Triton . bed comfortable bathroom clean small perfectly sufficient . also pretty fast internet connection via free Kimpton reward wifi . coffee service morning free amenity hard find lately . moreover , coffee tasty strong soy milk addition milk cream . would sell coffee service alone . absolutely complaint . perfect hotel young couple East coast , like husband . everyone work hotel beyond helpful : clean person floor , valet door , front desk attendant , wine hour host . 
 Jun 23 2009 	 Fun hotel - great location 	 husband stay Triton Memorial Day weekend . normally San Francisco stay in - law , work do place get hotel instead . decide Kimpton Hotel due great experience past , Hotel Triton exception . we reserve Queen room upgrade one Organic room check . room small expect central city location . closet good size wardrobe storage well . bathroom small serviceable , nice shower plenty shelf storage product . view ( room look small inside courtyard building ) blind allow plenty natural light get still give lot privacy . room also source book organic material go well guest book sign previous occupant fun read . the staff beyond friendly helpful , like Kimpton Hotels evening complementary wine hour 5 - 6 pm guest gather lobby relaxed couch drink wine . fun way get know fellow traveler well relax hard day sight seeing . this hotel fun , funky , comfortable great location Union Square area right across China Town gate . lot see area well easy access BART , bus , cable car . 
 Jun 20 2009 	 wonderful location nice hotel 	 take 4 - day weekend getaway San Francisco April 2009 . various web search budget - style hotel ( ' m typically budget traveler , even stay hostel around world ) , find Hotel Triton incredible sale . ~ $ 100 / night , figure could not go wrong consider truly great location central s.f.i not wrong . Triton fulfill major requirement look hotel : proximity public transit to / from airport ( block walk Montgomery St. BART Station even close cable car certainly many bus line ) , price , wireless internet ( be even free ) . 's central location major bonus . hotel small - ish boutique hotel right across street Gates Chinatown , within walk distance North Beach , Financial District , Tenderloin , etc . bit haul electric trolley Muni Castro - go Castro twice . time spend sightsee central area city , happy hour North Beach ( Vesuvio absolute must ) .Yes , room small window look onto alley - though not spend much time room . visit San Francisco explore wonderful city , inside hotel room . fact , staff let bring bike rent room safety . afternoon wine reception nice ( free ) , though wine , course , good quality ( read : free ) .One complaint - 2nd day , maid replace bath towel . one towel 2 leave . end world , rent bike need shower do ride day ( ride hill make guy sweaty ) , use last towel shower evening use one next morning . all - in - all , solo traveler / explorer , would absolutely stay Triton Hotel , give price . 
 Jun 17 2009 	 Fun 	 adorable ! loved chic decor glamorous -- yet cozy comfort -- feel luxurious , hotel - supply animal - print robe follow hot shower quick forage honor bar ( have try day ! ) . , room not big right daughter . view room ( tiny window face interior ) , funky zebra - striped headboard , vibrant red wall whimsical print upon wall keep quite content indoor . room exceptionally clean , staff accessible wine reception nice touch . ( although , come , tarot card reading nominal $ 5 ? would fun . ) good , terrific location invite easily visit Chinatown right , Union Square leave , cable car access around much . $ 100 rate receive , never stay well San Francisco hotel . 
 Jun 4 2009 	 Understated fuss - free ... gem 	 exerience Triton unreservedly good one . staff extremely friendly helpful without horribly pushy / over - familiar . take advantage free tea coffee morning ( real bonus anyone find Starbucks coffee weak unpleasant ) always busy partake evening wine taste . room back hotel high floor , mean not disturb noise . sure , wee bit basic - look , not SF sit hotel room . the hotel perfectly situate serious shopping ( high - end , 's thing ) - 's close enough dump first haul day go round two ! Cafe de la Presse next door good hearty breakfast , 's tip can not take big meal first thing - would often trot Westfield Centre Market Street buy yogurt Bristol Farms store basement , Peets coffee accompany . 's plenty seating 's good place plan day ahead . tip : muni pass fantastic value . buy Dick Dale fan booth near cable car turnaround Market Street . go Sausalito ferry . gorgeous place . the de Young Museum Golden Gate Park cracker ( would saw ) well sfmoma.the Triton definitely worth consider think trip City . 
 May 28 2009 	 Unique hotel downtown 	 first time stay Kimpton warn room tend small , not surprised . locate old building account size room . queen bed room clean comfortable . bathroom clean plenty towel . staff helpful recommend restaurant reserve cab airport . location great . 10 minute walk Mascone Convention Center . room quiet street noise . 
 May 4 2009 	 great location ` ` shabby chic '' take new meaning 	 can not ask well location Triton - right across Chinatown Gate ! bad could not see room , look ugly airwell festoon pigeon net . window air conditioning unit block view - bad thing - also mean airwell noisy night long - like park next idle truck . furnish hip ( ish ) , frankly beat death . underside desk beat splinter wood hang beneath . desk odd wind chime device apparently need ( ) battery work . tub old gross , run water bath , oily filmy substance rise top water . bath ! & quot ; business center & quot ; one computer cramp lobby ! love Kimpton Hotels , one list permanently ; not care cost room may . also , day staff friendly - check - in conclude bored , & quot ; need explain hotel amenity ? & quot ; far , far friendly greeting ' ve receive kimpton around country . night staff courteous helpful . 
 Apr 30 2009 	 great place . 	 first time San Francisco could not stay anywhere well . great location , two block Union Square , across street Chinatown , twenty minute walk Wharf area . safe , spotlessly clean , friendly helpful staff . room one Zen Dens , fun colourful comfortable quirky , like rest hotel . love it- even hot tea morning free , complimentary wine evening nice touch . 
 Apr 19 2009 	 clean tiny room good service location 	 room small run - down bit , everything clean . location good front desk staff helpful . get good price room would definitely recommend price available . 
 Apr 14 2009 	 Funky Boho - Fun 	 stay consult San Francisco . fun , great young crowd . super convenient location . room kinda beat , place not polish Union Square hotel , right next Cafe de la Presse lot fun people watch . 
 Apr 11 2009 	 Quirky cool hotel 	 find online trip SF . want stay somewhere different meet friend later week . convenient location everything downtown , right gate Chinatown even friend stay , help decision . it little pricey get amenity . wine party pretty neat get mingle guest . staff helpful also good recommend local restaurant . 
 Apr 5 2009 	 terrific hotel ideal location fantastic friendly helpful staff 	 primary reason usually choose Kimpton hotel staff consistently nice , helpful willing accommodate need . Triton staff different . I stay Mar . 27 - 28 pay extra $ 10 / night King room upgrade . get Room 608 -- overlook gate Chinatown -- fabulous view Coit Tower distance . yes , room small - wear earplug City noise everywhere ( be hotel 's fault ) .Unlike Clift Hotel - young , helpful staff attitude - not try hip , cool - real helpful . they give earplug , scout WSJ , offer get glass wine know would miss complimentary happy hour . always say & quot ; hi ! & quot ; enter lobby - feel like belong there . the location ideal - walk distance many SF attraction - cable car access one need public transit for . do favor - stay hotel . add immensely enjoyment SF trip . 
 Mar 28 2009 	 Love place ! ! 	 wife come little New Years getaway find hotel wonderful every aspect . location great . staff accomodate . can not go wrong stay Triton . 
 Mar 24 2009 	 want ! 	 Super comfy bed , amazingly convenient location , nice little touch keep old San Francisco hotel feel old commonplace ! clean , though bit tired look really hard , everything work bedding could not well . book Expedia 3 hour arrival get great deal ; everything need . something fresh fun , expensive , comfortable convenient . true room small , bathroom tiny , cheap room people spend lot time hotel anyway . perfect Paddy 's Day getaway ; convenient downtown neighborhood safe , fun environment . great young crowd . 
 Mar 20 2009 	 good hotel fantastic location 	 return 5 night stay Triton really enjoy stay . the staff hotel friendly room perfectly adequate short stay . stay long 5 day would probably stay elsewhere room bathroom small . day really matter . the bed comfortable 7th floor fairly quiet . mention already bathroom tiny sink outside . however , shower good fairly powerful . the hotel offer nice touch free coffee morning , fresh cookie 3 pm nice free wine reception 5 pm . nice additional touch . location perfect . right next China Town Gate , minute Union Square Market Street . I recommend hotel short stay right heart San Francisco . staff great room comfortable . I would stay Triton rate would right . pay £ 65 per night offer excellent value money would reluctant spend much . 
 Mar 9 2009 	 great location helpful staff bit quirky 	 many time , stay hotel mean stick old boring formulaic hotel . Triton really refreshing find ! ! locate right opposite chinatown gate , ideally locate shopping tourist attraction . brightly cloure lobby great place wait people , free coffee morning winetaste 5 - 6pm . room decorate differently , artistic touch , interesting artwork find corridor . downside room quite small , unique touch certainly make . restaurant hotel , great cafe breakfast next door , also provide room service also good quiet drink evening . staff really friendly , help we find number good place eat evening closeby always cheerful . definitely stay return San Francisco ! 
 Feb 19 2009 	 great location price ! 	 upon checkin get upgrade minimum fee request offer wine ( usual 5 - 6 pm service ) . : ) like ! stay @ Kimpton Group hotel aside & quot ; Happy Hour & quot ; service also like free internet use InTouch member . the location fantastic ! husband able go anywhere downtown foot . bad thing & quot ; working & quot ; umbrella ! soggy 2 day umbrella handle one & quot ; smart & quot ; guy decide glue handle course work ! 
 Jan 25 2009 	 good location San Francisco 	 stay Triton week Christmas amazing holiday San Francisco . hotel location perfect . 5 minute walk Union Square , Macy 's 2 minute walk shop love like H & amp ; , Banana Republic 's even Starbucks across street . staff helpful recommend anything . would definitley recommend open top bus tour first time San Francisco . room small cosy great tv lot channel shower good also . stay Christmas different one Australia still lovely . gym nice , open 24 hour . also fresh baked cookie reception every evening delicious ! whole family love Triton can not wait stay ! 
 Jan 16 2009 	 good . 	 hotel could cool , cool idea , run . paint peel , smell bad , small . many option San Francisco use one . try something else . 
 Jan 11 2009 	 another nice stay Triton 	 ' ve stay Triton 10 year . always nice , comfortable stay . location outstanding , right gate Chinatown , close Union Square Bart stop . room small comfortable nice bathroom . lobby funky staff helpful . Cafe de la Presse next door nice breakfast menu . enjoy complimentary wine / beer cookie . nice price . excellent value . 
 Nov 12 2008 	 favorite hotel world ! 	 stay Triton approximately 20 time past five year city business , time , hate leave property . entire staff , valet manager cordial , knowledgeable , accommodate . proximity Union Square Chinatown definite plus . love ever change decor , room vibrant , cozy comfortable . be lucky enough get one celebrity - theme suite , be real treat . decision stay length time no - brainer . 
 Oct 25 2008 	 great value great location tiny room 	 husband stay Hotel Triton three night part trip coast California . choose hotel affordability great location , disappoint . our check - in fast easy , helpful staff give we map direction fabulous location San Francisco . lobby small cute , enjoy afternoon wine cookie . also tarot card reader available use service . our room tiny , expect price location . tv nice , bed extremely comfortable . bathroom small adequate . everything clean comfortable . not spend much time room much San Francisco , time spend fine . we also love Starbucks across street gate Chinatown hotel 's doorstep . location hotel absolutely can not beat . able walk everything want see , pier Chinatown , Ghiradelli Square . would definitely recommend hotel , long not plan spending lot time room . 
 Oct 23 2008 	 one good hotel world 	 often stay Triton hotel San Francisco business trip . the location could not well : chinatown doorstep , many nice restaurant close good shop . the staff extremely nice helpful room comfy funky ! love decoration . I wish hotel could like Triton . really look forward go back . 
 Sep 23 2008 	 Fantastic Location 	 stay Hotel Triton 3 night baby location absolutely perfect . right heart shopping district , short walk Muni , GOMA , downtown area . also great french restaurant wine bar either side hotel . it be important note & quot ; suite & quot ; separate living / bedroom area - one room . feel price room expensive one room ( book advance fare hotel website high $ 200 's - unlike $ 50 lucky people pay Priceline ! ) . decor Wyland celebrity suite definitely taste , room clean comfortable . for location alone would stay Hotel Triton book standard room travel without child . 
 Sep 13 2008 	 Fab fun hotel - free cookie ! 	 get hotel bargainous rate $ 50 per night via Priceline lovely stay . really cool , fun hotel . free cookies afternoon free wine evening big plus . decide extend stay stay business hotel afterwards , Triton full . seem bit bland one ! 
 Aug 29 2008 	 love much ' m go ! 	 love stay Triton . request quiet room away elevator get . staff really helpful . room clean . bed comfortable . love much already send friend go stay next trip ( next week ) .The location great . feel safe come ' home ' night . 's walkable distance lot really great shop public transport . 
 Aug 14 2008 	 enjoy stay 	 third stay Hotel Triton last 6 year . , review ' detailed . sum , Triton perfect location explore city . ' adjacent Chinatown , short block square shopping , close source transportation easily get elsewhere city . room small comfortable adequate . bed fantastic ! noise issue , request inside room . view bland ( face interior " courtyard " ) ' never hear sound outside . , staff friendly helpful — which always norm Kimpton property . one interaction , however , mind - blowingly rude . go downstairs evening wine hour . staff typically pour beverage ( , fact , make point prevent customer abuse goody ) , approach bar wait staff member . chat friend nearby look few three time look away time . another staff member outside assist another customer run bar moment see . apologize post . could care less post approach , rudeness blatantly ignore top . behavior well usual standard Kimpton staff . 
 Jul 13 2008 	 nice small 	 nice boutique - type hotel across street Chinatown entry . hotel tastefully decorate . room small adequate trip . park $ 38.00 / day ! hotel allow pet . $ 80 , prefer stay Nob HIll Motor Inn central free parking ! 
 Jul 5 2008 	 good night SFO 	 Sick boring hotel motel , stay large fancy hotel Union Square last time visit San Francisco although enjoy ambience , always want give unique boutique Hotel Triton try . time , via Expedia , good decision ! teenage daughter stay small double room 7th floor view street . love bright , fun , tasteful decor , zany bed head furniture , light fixture , exhilarate bathroom good powerful shower . everything spotlessly clean , two double bed luxurious pillow comfortable hotel bed ' ve experience hotel . bathrobe also nice touch although not buy one , sorely tempt ! like able open window fresh outside air well access air conditioner , appreciate obviously environmentally - friendly policy ( recycling , & quot ; green & quot ; product , re - use towel willing , etc . ) hotel follow . even welcome pet ! drive night spend entire day walk foot city prior check , Triton provide comfort fun atmosphere crave . true bliss ! crazy - bright decor furniture lobby complimentary wine late afternoon good coffee morning , bustle cafe next door starbuck across street , entrance Chinatown step away , helpful staff reception hour make stay memorable . the hotel also good location , within walk distance many highlight , close public transportation . usually object high cost valet parking city choose leave car Union Square underground parking garage walk hotel , time make right decision , leave car Hotel Triton valet staff . couple dollar ( plus tip deserve ! ) , car whisk away , privilege available ( available Union Square less expensive 24 - hour rate ) , even let we park outside hotel street little long could walk Museum Modern Art area 's really hard find parking . really appreciate concern assistance . my daughter also love Triton rubber duck float fountain entrance . nice touch ! enjoy sip coffee lobby morning , watch people discover duck amusement walk . good photo opportunity ! highly recommend Hotel Triton , stay again . tip : cafe next door great chocolate croissant , main street Chinatown endless eating opportunity . 
 Jun 9 2008 	 Triton top 	 already like Kimpton property small , unique boutique approach hotel . every time step room one major chain feel like little soul disappear . hence , will take interesting personality bland uniformity even former mean occasional surprise . a surprise hand Triton recently stay go dandy car & quot ; trap & quot ; break door offsite garage Triton use valet . Triton staff backflip deal situation real rare delight . vacation not miss beat find we cab ( pay ) , compe meal valet charge . imagine could charge expense back garage , even eat , exchange , get customer life . and one willing write 1st TripAdvisor review ever . even without incident - turn - delight , stay Triton terrific . fun room , killer lobby , entertain staff , nifty SF locale , fair price . plus , love Kimpton 's real deal sustainable business practice . 
 Jun 4 2008 	 Fabulous Hotel -Great Location Staff Rooms ! 	 Hotel Triton San Francisco one Kimpton hotel -- stay one Kimpton hotel , be never dull experience . Hotel Triton lovely ! room unique decorate flair style . wine hour awesome . staff amazing -- be friendly helpful . love hotel ! would recommend stay be vacation business -- location within walk distance Financial District Union Square . be fabulous ! 
 Jun 2 2008 	 Awesome Hotel 	 hotel absolutely wonderful ! love different look hotel . unique look nice change stare white wall cheesy painting , like every hotel , get boring . 's excellent location 's block major muni station . employee incredibly helpful super nice . offer complimentary wine beer hour 5 pm , something not see hotel . restaurant next door ( Cafe de la Presse ) Triton 's room service 's extremely tasty ! would highly recommend stay hotel . ' m definitely go stay Triton whenever travel San Francisco . 
 May 27 2008 	 nice different experience 	 spend 4 day Triton Hotel enjoy stay much . the hotel many unusual feature compare hotel stay & quot ; wine hour & quot ; decor . if anything complain would garbage truck every night hour night . I fault hotel sure little control matter . hotel staff wonderful . we receive help Tim , Anthony , Melissa Tommy pleasant . 
 may 21 2008 	 good hotel stay ever ! 	 name price priceline.com receive Hotel Triton one option . logo look vaguely familiar decide go gut instinct book stay . turn one BEST hotel stay ' ve ever . celebrity suit fun kitchy : ) , service everyone staff superb ! concierge desk recommend great restaurant place visit , help lose city , mention everyone extremely personable friendly . complimentary delicious cookie & quot ; cocktail hour & quot ; day make day LOT bright well . location great central location everything want San Francisco . will not stay anywhere else return city . 
 may 3 2008 	 tack rama 	 write Hotel . come update need . husband want try somethong new quirky friend 26th birthday ( usually stay mark hopkin ) choose Hotel Triton , walk know GREAT location , kimpton we ve stay Hotel Monaco Seattle many time ... get two & quot ; Celebrity Suites & quot ; think $ 359 per night . view room online , request King Triton suite Hagen Daz suite .... get hotel 11 pm check , husband one memmber party . guy really nice tell we eat drink nearby , lobby cute rubber ducky ion fountain . three us hotel worker go room ( room come later ) get King Triton suite ( supposedly best room ) REEKS like smoke .... someone put plastic wrap smoke detector ... bring we air freshener open window ( look weird wooden scary platform room ) anywayz room beyond tacky ( stay adult theme motel .... really well ) mirror everywhere , bright red light tub room ( also tub small one person jacuzzi like size you d bathroom home ) . also walk meet person , start nitoce whole hotel obviously former crack motel try hard make pretty ... sag floor , peel wallpaper paint .... dirt weird spot ... weird staircase ... like 1145 friend park front hotel get .... walk back . employee sight , finally husband search one , check ... hagen daz suite .... go check ... MUCH well ROOM kinf tritin suite ..... much new much care put ( still uneven paint etc ) cute fully stock ( free ) freezer .... bed rattle tho every time move even bit .... definitely nice room though .... realize pillow need foam ... take elevator hell ( randomly go unrequested floor stop ) ask ..... & quot ; sorry give away & quot ; tell . that s far ..... later .... 
 Apr 12 2008 	 Fun 	 love place - fun - room funky pet friendly place . get upgrade king size bed room great view . clean staff absolutely great ! helpful . complimentary evening wine beer social time - meet great people watch fortune teller magic . right next door Irish Pub call Irish Bank - great ! meet flavorful local people wonderful time ! 
 Apr 7 2008 	 mixed experience Triton 	 stay Triton 4 night , really great thing hotel also make bit less great . first , stay , make sure ask quiet room away garbage truck . first night awaken 3 am horrendous noise . garbage collection last 30 minute , hard get back sleep afterwards . speak front desk , wonder noise , immediately move another room , overlook Bush St much quieter ( noise problem night ) . concede garbage collection noise major ongoing problem hotel . the room move small first one , generally fine . ' Zen Den ' , one small category room , really spare space , not huge problem . want yoga room anything , 's space ! small bathroom not even bath tub - something not tell check in . nice touch room : iPod player . fantastic able hear music hotel room . huge flat screen tv - not ever use . picture take wall , clump plaster miss wall - not repair , look pretty crappy ! hey also claim ' internet access tv ' . mine not work , technical support - front desk admit not know work , ' most guest laptop ' . whole , staff helpful , respond promptly query . be quite variety people desk , be often different people - make bit anonymous . overall , hotel seem unable make mind whether try ' rock n roll cool ' ' new age zen hipness ' . loud music pump outside front door street elevator ; bright garish colour , party time wine lobby 6 pm , versus organic cotton sheet , free tarot reading lobby ... bit mixed term Hotel 's identity be . but whole 's fine : location excellent - opposite Chinatown gate , near Union Square , short walk public transport attraction . next door outstanding Cafe de la Press - eat dinner twice , breakfast every day . really good food , reasonably price , excellent atmosphere , good people - watching . would stay Triton ? probably , boutique hotel prefer , many people find exciting pretty hip place stay . 
