okay 	 Liked hotel eventhough funny area . 24 hr auto shop across street , stable Central Park Horse street high rise building construction one side . look like 's middle nowhere fact close everything . felt safe enough go smoke night . big room clean staff friendly recommande excellent restaurant dinner . 
 Jun 22 2009 	 bad 	 search high low good affordable hotel rat infest ! ! ! ! western bad . basically travelodge . clean small sized room . nice power shower . safe . 10 - 15 minute walk time square Maceys . breakfast consist cereal , doughnut bagel . the hotel opposite 24hr mechanic noisy therefore ideally want room back hotel rather front otherwise ear plugs job fine . they build skyscareprs either side hotel never hear peep do not worry u get noise central ! ! ! really isnt . the area look great week never experience prob occassion walk back 2 - 3am . overall great hotel price 
 Jun 21 2009 	 Decent hotel affordable rate 	 hotel good value money . locate slightly away time square Broadway , buzzing area NYC . otherwise , hotel good amenity , helpful staff . 
 may 9 2009 	 good enough ! 	 's Best western know NYC price range offer postage stamp - sized room , work fine . hesitation read review , staff terrific , room fine , complimentary breakfast huge convenience , satisfied . especially staff . one Americans , Europeans make majority guest . breakfast typical BW continental style . remember room small ( typical NYC ) could stand update free WiFi breakfast relatively central location ? be good go ! 
 Apr 17 2009 	 spend Extra $ stay somewhere else 	 husband take Super Shuttle airport one last get drop . watch everyone go nice look hotel drive not - very - nice look part time voila , Best Western . help staff nice , however get floor , entire floor smell like smoke . open door room almost bed touch four wall . not think luggage would even fit room we . place would good young traveler really try save money , married couple try nice stay NYC place . not stay night instead go Courtyard Marriott . twice price , still good deal Manhattan MUCH comfortable . 
 Mar 27 2009 	 bit beat track good value 	 ahve admit walk Penn station bit long 15 min area not look good overall room basic serve purpose want somewhere get head certainly job . breakfast okay free . would possibly stay New York . 
 Feb 17 2009 	 could not beat price location 	 rave . midtown Manhattan price great . fact , good wary get see room . small , sure , could not see much difference Holiday Inn Express room . breakfast basic , fill include price . WiFi room work well , important travel . fact quibble ask could find plug adapter laptop . would forget mine . guy desk tell go way 48th 8th Ave , find one two block away 8th Ave 37th & amp ; 38th . I recommend everyone meet trip . 
 Jan 29 2009 	 great value ! 	 think great hotel money .... via Priceline . room small clean always pretty quiet . little way walk Times Square , right near firestation be bad plus always taxi option . 
 Jan 21 2009 	 Economical Nice Location 	 stay 4 day pleasant . walk everyday Times Square Broadway , 10 - 15 min . room small clean , bedskirt rip . continental Breakfast pretty good . hotel really good people NYC sightseeing spend time outside room . hotel security service charge $ 1 per bag hold . 
 Jan 4 2009 	 bad western 	 , obviously stay two star hotel , ' expect amenity Ritz Carton , place total dump . start ? first get King size bed , actually two bed put side side make look like king . ' bad . room small . room armoire hanger could hang clothe closet . ' open armoire way room small hit bed . hotel ' location pretty crappy ' 15 minute walk close subway station . ' nothing around hotel , neighborhood bit shady . ( next gentleman ' club ) room fairly clean minus several pubic hair see comforter , counter bathroom . gross ! ! ! thing bug major tv network work tv . go complain hotel , say nothing could construction go next door . try 2 time talk manager get sort compensation , manager duty . call hotel speak manager say get low rate Priceline ( $ 107 taxis ) ' compensate anymore . offer give discount next time stay , explain manager thank , never stay . rate 1 star hotel . recommend ! ! 
 Dec 3 2008 	 nice -you get pay location bad feature 	 clean , functional room . good short stay room much . location bad ( not feel unsafe , appealling ) , desolate area construction train noise sun come . need clean , cheap place sleep , not mind & quot ; ugly & quot ; location get cheap price , may worth try . book Hotwire not sure hotel would get pay . ' ve do well price NYC . 
 Nov 1 2008 	 Bed bug 	 pretty positive bring home bed bug hotel . start infest apartment around time get home vacation . make life nightmare . 
 Sep 16 2008 	 good hotle 	 stay hotel 5 night . room ok , small . depen seek . seek place sleep great hotel . room always clean , fresh towell , fresh sheet etc etc . Breakfast ok , complain . not expect much 's goodthe neighbourhood unsafe , really walk 2 - 3 , prob . 10min walk times square subway . fact work next hotel noise early never notice tired whole day walk around city : ) want luxe book Hilton Plaza also pay prize . this good 's prize ( compare other ) hotel hard work people . great tourist 
 Sep 10 2008 	 thief room 	 check foolishly mention have Mexico City . get room room safe lock close . call front desk report say would take care evening next day . hid passports clothe go dinner . get back passport go . key card type renew upon check . 
 Sep 3 2008 	 first time New York 	 not need room Ritz , hotel serve purpose . stay 5 night return night sleep plan next day . room clean small side , breakfast good selection walk downtown average distance . make way around play , US open tennis David Letterman Show . would love return Manhattan would problem stay location . 
 Aug 27 2008 	 convenient tourist stay NYC 	 book room 4 people . two adult two teenager . the hotel well locate good price compare hotel NYC . staff kind work hard . breakfast good . only drawback : lift slow room large bed comfortable . 10 minute reach subway . recommendation use taxi night , be cheap : 7us $ time square hotel 's safe . by small window , see river . Wifi free hotel safety box . 
 Aug 24 2008 	 great hotel ; great location 	 stay Best Western Convention Center Hotel New York City August 15 - 22 , 2008 . visit New York City almost every summer week , bit scared get hotel Priceline . hotel quite nice . bed comfortable , room not small . good part stay free breakfast free hi - speed internet . internet available terminal lobby , borrow ethernet cable use laptop room . breakfast available 7 10 am , consist various cereal , bagel , toast , danish , muffin , apple banana , orange juice , apple juice coffee . simple , need get go morning . the location hotel bit downside . take almost half hour walk one Broadway show one evening many people around . hotel locate southwest Times Square 38th street 10th Avenue . neighbourhood not unsafe , would avoid walk near Port Authority . lot homeless people around night . feel bit far many thing . problem walk , not stay . not mind good walk ( walk everywhere , hotel Guggenheim upper 80 's , southern tip Manhattan Island ) , hotel not bad . there many centrally locate hotel , not mind walk , affordable alternative . 
 Aug 6 2008 	 MIRROR FELL TOP HUSBAND PUT BILL ! 	 husband going take shower retire evening . rubber bath mat towel type mat bathroom . set towel we provide , extra towel . look bottom tub , faint gray oval bottom tub . assume mean non - slip surface look , especially since mat provide . turn water , start get shower . foot slip fall heavily floor , take shower curtain ring . fall force mirror fall wall sink , break edge sink , land top . ( mirror attach wall two small flat clip . ) small piece mirror cut chest , leg , hand , near ear . small cut , nothing major , always pack band - aids safe side . luckily badly hurt , especially talk 61 year old man fall manner . call front desk tell happen . gentleman come try clean shard mirror , small piece unable get broom . call front desk room ask could move another room since bathroom floor ' safe walk without shoe , tell room available evening . man come help we get we new shower curtain bring ceiling tile put floor along extra towel . ' find shower curtain ring , bring piece string use put shower curtain . clean blood wash cloth tell put trash , . next morning go front desk ask speak manager . tell would Monday morning . phone number take give card hotel information . ask man desk please let housekeeping know floor really need carefully mop since still tiny piece mirror floor . do . new shower curtain ring put ; mirror replace . give towel type bath mat . on Sunday morning go front desk check tell $ 130 charge mirror $ 10 charge curtain ring add bill since break . go entire account , young woman remove charge , tell might put back bill Monday . reiterate wanted manager call we . daughter notice note sit front desk highlight statement break mirror , fall mirror fall wall break top husband .. entire ordeal leave we extremely disappointed Best Western Hotels . begin , event never occur . either provide guest bath mat sort , tub non - slip surface . also mount mirror strong type anchor system use . unfortunate event like occur , bill guest damage occur fault . upset happen begin , bill we mirror shower curtain ring make matter hundred time bad . husband want take shower safely . certainly much ask hotel . the manager yet call we , week since happen . tell best western people say sorry . also ask repeatedly call we . charge add back bill , owner make adjustment charge compensate we . can not imagine would happen broken hip fall . 
 Jul 27 2008 	 mislead Best Western - Parking almost mile away 	 place absolutely horrible ! read review , think would take chance usually like best western brand enjoy earn point stay . however , would recommend place . reviewer state , hotel isolated area Manhattan . 's 2 block Lincoln Tunnel exit , would not recommend walk to / from hotel night . parking bad part . leave key Central Parking , official parking Best western hotel , walk 2 schlep ( 2x regular city block ) , plus another 2.5 block get hotel . sidewalk use get hotel block , construction , pothole ( know - strange sidewalk hole ! ) . 's long walk , hotel staff ' forgot ' mention . instead , say , & quot ; oh be far away all . & quot ; be . also , nearest subway station far parking lot , station next NYPD police station -- imagine riftraft hang near release . would highly , highly recommend stay another hotel , even 's pricier , inconvenience lack service hotel worth ' low ' price . oh - parking additional $ 30 way , include hotel rate / stay . hotel staff not even know near cab , name phone number could call cab ... totally useless staff . 
 Jul 20 2008 	 stay desperate 	 Star Game play New York every hotel room take , seem accord travel agent . book hotel . people desk nice helpful . problem room . essentially 12 foot 12 foot .. exaggeration . bed , desk , lamp , chair closet crowd little tiny . area . hotel locate across 24/7 car repair shop fix New York cab night long tire machine relate machinese bang night long . Amtrak train track run alonside hotel train go hear noise well , addition New York 's Finest Fireman race fire blaring siren go . firehouse block away . not go Broadway entertainment . get live concert night long .. fully guarantee . 
 Jul 17 2008 	 hate hotel 	 last time use Priceline . $ 179 night , do not think much expect clean place . dirty run hotel EXTREMELY cramp room wear everything . bad location , middle block building various stage construction , train , truck etc . run night noisy mechanic place right opposite entrance . restaurant shop nearby one walk couple block even find taxi , cruise past hotel . circumstance would recommend stay . 
 Jul 9 2008 	 good value cheerful staff isolate location 	 Best Western Convention Centre Hotel ( BWCCH ) great value pay less $ 200 / night . book BWCCH Priceline bid ( pay ) $ 150 / night . may sure try even low bid , other pay less . yes , review , quite sad get reply Priceline get BWCCH . live Manhattan visit number time , idea BWCCH even exist . really middle , except block Jarvits Convention Centre . be fast 12 minute walk , C & amp ; e subway line , enter 40th street 8th avenue . never feel unsafe walk back 1 a.m. morning , area quite deserted . I stay Room 1104 ( top floor , 2 double bed ) . room actually quite bit big Manhattan hotel room ' ve stay ( particular minature - sized 30 - 30 Hotel ) . bathroom nice , clean modern . bed mattress comfortable . notice get bites arm stay - sure bed bug something else come contact stay Manhattan . the free breakfast okay . consist : cereal , milk , juice , muffin , apple , banana , doughnut bagel . spectacular ; rather , trick late lunch . think coffee make hotel room taste well free breakfast coffee . the location hotel main reason rate experience 4 5 . desert isolate , make walk back hotel lonely depressing . prepare walk stay pay lot taxi . hotel room fine , clean staff friendly . clean staff even leave ' thank - you ' note leave small tip bed . clean staff great job . yes , right price right time year ( winter super hot summer month ) would stay . 
 Jul 9 2008 	 good hotel short stay not mind walk 	 husband stay 4th July weekend . front desk staff helpful friendly upon check - in . location convenient unless use convention center . room reasonable size New York City hotel . bathroom small , nice clean . love bed - memory foam mattress extremely comfortable . noise train shop across street bother we , probably helped always take white noise machine us hotel . neighborhood industrial , unsafe . review say neighborhood dangerous , feel way . definitely smell horse barn next door , long not hang outside hotel go way . future visit , would prefer stay elsewhere , mostly location . 
 Jul 5 2008 	 exceed expectation bit like ` ` boutique '' hotel 	 not happy first get hotel Priceline . web review horrible neighborhood full car repair shop . character ! however , pleasantly surprised would definitely stay . Javits Center , one - half block walk . horse - draw carriage prepare front like horse heaven . hotel new , clean , staff incredibly friendly helpful . bed exceptionally comfortable fourth floor room elevator quiet ever NYC . include breakfast great continental style , lot choice include fresh croissant , fruit , cereal , juice , doughnut etc . room coffeemaker , safe iron ironing board . quick easy walk Macy 's , Penn Station , Madison Square Garden area . hotel fill european traveler , last day finally meet family Kentucky . also love small boutique feel best western offer . down small room ( share friend , two twin push together like king ) view . will back ! 
 Jun 18 2008 	 average 	 good points:1 ) somewhat close Penn Station , enter city.2 ) relatively clean , nowhere near pristine . expect price . bad points:1 ) claim give queen sized bed , fact , take queen sized headboard put two twin bed together . alone pretty unacceptable , approach front desk , unhelpful say queen bed like . serious ? ? 2 ) nothing interest within 5 block place . expect price.3 ) continental breakfast pretty lousy . , expect price . other points:1 ) hotel kind beat trail , major construction do next hotel . not terribly well - light , never really feel unsafe walk back hotel 3 am . say , female alone , would exercise little bit caution.2 ) one elevator entire hotel . 's small hotel go little leave walk 10 flight stairs.3 ) could get room $ 100 / night ( taxis include ) , would probably recommend hotel . however , not really know 's feasible price point . advertise roughly $ 220 / night plus taxis , outrageous . would stay 20 hotel city one ~ $ 260 / night . summary : not think would stay , bed situation . 's pretty sleazy advertise queen bed let guest find mash two twin bed together . would rather spend money stay somewhere nice area . 
 May 19 2008 	 would stay ! bad neighborhood 	 continental breakfast worth go . although minor bit would not stay . tourist look great place stay , stay . dangerous tourist . convention , great location , rather stay Travel Inn street . much well service quality . I specifically call make sure guest name reservation , operator confirm . however , update hotel system . therefore , guest arrive early great problem check front desk employee could understand explain . end , guest pretend , able check . make weary ID definitely girl name , still let check . stranger . glad though , otherwise since operator make mistake might homeless . since operator not correctly update reservation , important package deliver hotel refuse cause great deal stress business . complaint noise level , not report much hotel . train right outside window every time train go ( early hour morning throughout day ) loud could not sleep . love location although surrounding dangerous smelly ( due horse ) , close convention center . strip club right next door make nervous outside alone 24 hour auto shop make lot noise . overall due miscommunication surround neighborhood , would stay . 
 May 18 2008 	 basic clean 	 BW Convention Center basic hotel block away Broadway Macy 's . industrial area , couple block 9th avenue reasonable restaurant . book room hotwire . least expensive hotel could find midtown private bath . drive hotel direct park lot 3 block away & quot ; discount & quot ; rate $ 30 night . hotel place crash night . somewhere would want relax . right across street 24 hour garage . room face street bit noisy . would ask room side next time . room clean small basic furnishing . feel hotel secure area safe walk around despite industrial feel area . budget fine . 
 Apr 18 2008 	 Nice hotel ! 	 get hotel Hotwire , actually select ourselves . pay 179 dollar + taxis three person ( one week´s stay ) . must good price Manhattan . Stayed 11 : th floor . rather small clean neat . Tempura mattresse comfortable nice safe money ticket . bathroom good . the breakfast well expect . fresh fruit , boil egg cereal lot sweet like donut muffin ( people breakfast ! ? ) staff didn´t great morning evening , exept cleaningladie . little bit rude think . there protestor week stay . we think neighborhood safe . we please stay wonderful week New York ! 
 Mar 29 2008 	 terrible experience hotel never . 	 book hotel hotels.com family vacation . pay 220.00 / night two night , plus 100 additional person . room small , space luggage .. put luggage top chair . train path close hotel , night , would wake time pass train noise . price $ 300.00 condition NYC , much price . our terrible experience come day check . first , mistake remember wrong check date . think check date 28 actually 27.We come back hotel around 8:00pm , room lock . come front desk tell already pass check time , would charge full day rate day let we leave immediately . talk site manager mistake make , charge full day rate , room night . manager tell room sell , get room . think person book room check yet , move time , actually cause financial lose hotel , ask discount / half day charge stay night . get refuse , . ask speak senior manager , on - site manager talk senior manager phone , tell senior manager angry yelling , price increase 299.00 375.00 due ask talk senior manager . ridicule ! total charge 428.65 include tax late check even room night ! try talk site manager matter 10:00PM , drive find new hotel us night , get room Super 8 around 1:30 , night mere us New York trip . find lot negative review hotel back home , regret read review booking . advise traveler read review , negative review reason verify check date carefully . good Western Convention Center Hotel get extra $ 428.65 vacation ( good profit room , total charge $ 800.00 penalty new book single day motel level room ) , lose business forever include relative & amp ; friend . wish nice trip ! 
 Mar 27 2008 	 nice 	 really concerned read recent review hotel , find nice , relatively inexpensive place spend weekend . see protestor . find staff friendly helpful , request room change ( first room right next elevator ) extra linen quickly meet . think location great . walk everywhere , never feel unsafe . large event convention center might account foot traffic area , building across street occupy hour . room clean comfortable , great mattress . small average , not feel cramp , plenty room thing ourselves . there quite bit construction next door week , bother we , room side build close site . could sometimes hear noise auto shop across street , 5th floor enough keep we awake . overall , pleased stay , would recommend hotel other . 
 Mar 15 2008 	 nice hotel- protestor problem 	 look hotel becuase price right time . Sor pro : room nice comfortable , room queen size bed small- tight fit . room clean bathroom also clean- smell problem cleanliness . room stock well everyday clean lady nice do not know much english . continestial breakfast good price per night also well range . con : arrive hotel location middle industrial buildings- shopping area , restuarant , attraction good walk away 15 min walking . scary walk night- would recommend it- take taxi can- luck even find taxi go thru street since usual pick place . would walk main street . also may make uneasy group protestor outside scream bug walk hotel ( worker compensation thing ) - I m rights- get annoying ... door man helpfull assist constantly say ignore . front desk attendent friendly would expect- really do not go thier way customer except young lady always nice helpful . overall stay bad , however potential- price good place stay comfortable room black minor thing walk distance everyday .. ! 
 Mar 5 2008 	 Excellent value 	 pay $ 115 include taxis night week . room clean furnishing new . basic small room worth price . free breakfast ( not eat though ) , free newspaper , coffee maker room , room safe . the drawback hotel 8 block subway . woman might feel comfortable walk alone night neighborhood . not much activity night nearby business shut . appear ongoing labor dispute hotel ( sign outside ) , maybe reason cheap rate . quality service fine ( front desk housekeeping ) .I would definitely stay . 
 Feb 20 2008 	 satisfied experience 	 get two room priceline not actually select hotel . wary expect since read review . however , hotel exactly 3 - star hotel : clean room ( book single also double room ) , continental breakfast ( toast , bagel , small muffin , juice / tea , donut 10 am ) , competent polite staff ( speak English , Spanish , Mandarin Chinese apparently ) , basic room amenity ( small shampoo , lotion , soap , wet wipe ) . previous review talk worker protest , apparently protester weekend weekday evening . neighborhood border Hell 's Kitchen Chelsea . 6 block two close subway station $ 5- $ 6 cab ride Times Square Central Park . would not recommend female walk around neighborhood alone , be fine daytime . 
 Feb 6 2008 	 enjoy stay 	 get back long weekend stay . greet protester ! nice doorman help we luggage keep away . protester consist 2 maybe 3 ex employee unhappy treatment management hotel , say shame u stay , get money back that s , walk leave alone go weekend ! inside hotel pretty basic , clean . room fairley average clean coffee machine , telephone , hairdryer , iron / ironing board safe . fresh towel daily room clean make fresh . staff helpfull , help we book trip , recommend eat see , even take time point place maps circle show we get . would stay again . great location 5 - 10min walk times square idealy locate see sight new york . 
 Jan 16 2008 	 Depends 	 location : ok summer - 15 minute walk anywhere decent . winter , be freeze snow , seem million mile away . area also quite grotty . room : tiny modern clean . stay night , problem . service : good . wake call two hour late - thank god plane delay ! ! ! would stay : probably - summer cheap . without doubt well hotel price pay . 
 Dec 16 2007 	 Shame ! ! ! ! 	 let start say live NY several year , husband decide return visit . book stay priceline end hotel . arrive greet sole male protestor , insult could get door . thick skin will not problem . usually find one two protestor would front everyday . yell & quot ; shame ! & quot ; walk door . giant inflatable rat outside . take picture front like . oh well . hotel , be comfortable , clean , quiet . one big hotel room find New York price . yeah , be little bit walk time sqaure , 's safe neighborhood . really take 10 minute walk nearest subway . recomend place comfortable low - key . think people write negative review use high - class hotel . two star hotel- be not bad ! 
 Nov 20 2007 	 never BW Convention Center 	 can not believe pay $ 300 night dump . room unlike standard motel room get across Country $ 60 / night , crazy NYC pay nose paper - thin sheet , wireless connection , -hear this- non - working telephone room . complain front desk guy clearly hospitality management experience tell rudely follow instruction phone ( like can not read ) . call let know phone working , say : & quot ; sorry , speak manager tomorrow & quot ; hang I . the next day contact front desk say would send someone look shortly . well , not see anyone check hour later . short : never , least $ 300 . 
 Nov 15 2007 	 good 	 spouse book hotel online last minute . price seem good - but mistake . first , hotel middle nowhere . thing block auto repair truck . oh , people tent front hotel . first think sort bad joke , everytime would come heckled harass yelled people . hotel employee not seem care , elevator keep break . hotel seem dirty top everything else . one thing thing go wrong , short trip still bad taste mouth . not . 
 Nov 13 2007 	 hospitable friendly 	 trip New York stay good western convention center , staff helpful friendly . worth good hotel worth price would recommend hotel anyone , accommodate hint city restaurant tour . I would stay , also close jacob javits center convention goer short walk times square empire state building .brian iowa 
 Nov 13 2007 	 well bad 	 first , good thing . staff friendly low key . love internet access . place indeed new , bit small . bed firm , bathroom , clean . bed will not kill continental breakfast like food . ready neighborhood , fact , visit New York every 2 - 3 year 30 year , understand industrial neighborhood , tourist budget . plenty parking street . problem take bus subway entire stay , good walk one block convention center . the surrounding drab put mildly . term & quot ; Industrial & quot ; sugar - coat fact # 1 , nearby restaurant walk 9th ave , # 2 , bag trash waiting pick street . sadly , taxi driver able locate hotel fast tell look giant inflatable rat ( product labor dispute ) front building . since hotel sign tiniest ' ve ever see Best western , rat make great landmark . night , lobby light provide good illumination W 38th street . inside lobby , flight stair right front prompt negotiate luggage registration desk , without notice elevator right . speak elevator , hotel 's elevator break stay , make suddenly glad place sixth floor . seem company greedily cram many room possible small frame hotel . room small . not expect big lobby anonymity . not . tiny breakfast area mean elbow way continental breakfast . complain internet access . wi - fi reliable fast . November , cool / heating system clean efficient , warm room almost instantly . hotel price range , bed sheet , pillow ( 2 ) cover rough . bed firm , bit small , seem like full instead queen size bed . diminutive bathroom clean , mold spot tub 's caulk two room see . 1st room toilet sit strangely low person size ( 5 ' 4 & quot ; ) , fact , knee high rear end . second room normal toilet . good room 8th floor , look westward , since big problem noise . hotel locate right train track , awaken 7:00 inside north - face room construction sound noise giant rat inflate . large construction site next lilliputian hotel . when complain , staff promptly find another room one floor . second room quieter face south , able sleep bit . in short , be small - frame business traveler need close Javitz , need 7:00 get work , good value . be tourist , stay Pod . be woman plan night , not great choice . 
 Oct 30 2007 	 quite unusual experience 	 hotel oasis quite nice . however , close Times Square , walk scary , especially night . nothing else around least two long city block except taxi repair shop , package shipping bus storage . everything else tear . would want wife stay . also , ex - hotel worker protest week . big inflatable rat approach we almost every time enter leave hotel -- least cordial . 
 Oct 29 2007 	 not stay 	 place suck ! giant rat front people scream everytime go . know New York place cheap pay $ 265.00 other pay like $ 80.00 . get screw big time . place close anything ! hell thinking build . staff seem uncomfortable whole thing . be thi fault ! ever stay agian close . area ok 's eight block anything ! scary industrial . good luck stay good luck people work . 
 Oct 24 2007 	 would stay 	 hotel okay price husband would stay . walk iffy scare weary surrounding even hotel . get protest apparently owner mistreat staff . wish find somewhere book . never stay outskirt manhatan . another thing like check , outside door 3 asian man came say room number like wha't sgoe turn change light bulbs husband upset know many time go people 's room maintenance . ' m sure happen place well way happnened leave many thing imagination . well price ok never stay ... 
 Oct 23 2007 	 fence 	 first con ... location not great -- not really close site see pretty uninspire ( taxi garage , horse buggy lot construction area ) room positively tiny yet seem cost lot money . be also close Lincoln Tunnel , 's lot traffic rush hour . positive side though , room fairly modern clean , location quiet staff , part , friendly , informative helpful . be look place stay , overly concerned ambience , probably will not mind stay . 
 Oct 15 2007 	 Giant Inflatable Rat say ! 	 arrive , hotel staff fire protest outside giant inflatable rat . scene uncomfortable cancel reservation . staff impatient not understand would not want stay . accomodate least . hotel good location , close anything , directly across street auto garage next horse stable central park . needless say , not stay horrible condition not recommend anyone . 
 Oct 8 2007 	 good value 	 busy holiday weekend NYC make reservation relatively late , hotel reasonable rate particular weekend . room bit small , certainly adequate , clean . everything good working order front desk staff absolutely wonderful accommodate helpful . problem hotel although street pretty . repair garage taxis trucking business train go time . restaurant short distance away park big garage block away reasonably price go garage hotel recommend . would go back hotel staff great ! 
 Oct 7 2007 	 clean comfortable convenient 	 great experience . take red eye flight friendly desk clerk arrange early check . room spotless . small room usual ny european standard . location great uptown downtown bus one block away . Walk Times Square Empire State building . great italian deli 9th ave . hotel staff print boarding pass computer . Desk staff hear teach french word time large group France , hear decide work learn foreign language . young people impress . for traveler desolate block 7 5 pm construction noise might problem . ask room 10th 11 floor quieter . walk home midnight problem , block nothing 24 hour taxi repair two huge construction site . 60 yo woman use urban living . 
 Oct 1 2007 	 far well expect ! 	 full anxiety award hotel via Priceline read unflattering review . minute husband arrive however greatly relieve . hotel clean , room size fine ( Manhattan ) , staff friendly . hotel little main thoroughfare , easy 10 - 15 minute walk subway pretty quiet . taxi garage across street never problem , anything mechanic work late night make we little extra safe . easy hail cab close hotel . bid 150.00 night probably could get room cheap . city expensive great room nice price . 
 Sep 6 2007 	 happy 	 simple hotel , lot complain location , wife trouble , enjoyable 4 night stay jet SF . Penn station 5 - 10 min walk away make adequate location wise . room clean , staff helpful . recommend . 
 Aug 2 2007 	 Warning dooon doo itt ! ! ! ! 	 hotel bad experience go NYthe hotel terriblethe location terribleis sooo far downtown one complainalmost avery guest opinionsand plus around ery scary night full homeless seriously dont stay hotelyour go to regret like usis warningdont listen good review totally LIES ! ! 
 Jul 25 2007 	 Great Location 4 Business Javits 	 ' stay business Convention Center really like ' short 1 - 2 minute walk street . surround area look bad , stay week four year row never problem . Convention Center really ' much around area . hotel room okay small size . ' stay trade show rate high , NY guess ' go . 
 Jul 18 2007 	 bad 	 Hotel clean , staff helpful kind . location big problem . pretty long , walk subway Times Square . neighborhood good , would not really say bad . not recommend first timer . not noise problem night backside building . room pretty small . book throught Priceline price right . 
