five 	 please , book , let warn , 15 dollar resort fee / day facility never use , valet tip , 12 dollar interne , plus tax , add ! arrive Wednesday night two night , check , leave luggage room , go , wait 15 minute car come valet , hardly anyone work time , one person front desk pretty much time wednesday , guess cut staff due economy . back hotel 1am , could not find slipper room suppose , call front desk say check , , look everywhere could not find . call housekeeping , take 20 minute slipper arrive . time almost 2am . know five star hotel decide bring show cap , step shower , start look show cap , relieved see nice little box say shower cap Spa Trump print box tray . reach , lid tear show cap inside , be empty ! use previous guest ! stay two / three star hotel , never see . , 20 minute shower cap arrive , wow never hard time take shower . next morning , wake arround 10 , want use stovetop . start long journey get item kitchen . call get transfer housekeeping , 5 minute hold time , finally pick phone , tell need couple item , lady say & quot ; pleasure & quot ; hung , wait 40 minute , one ever come , think lady not even bother help , call back wait forever , always music re back music , one ever pick housekeeping , call operator talk front desk matter . one pick . call operator tell one pick place , operator simply say & quot ; one pick , busy , need ? & quot ; , excuse , five star ? not ask need rude way , ask , & quot ; pass request , get ? & quot ; well least pass deliver another 30 minute . not start cook almost 12 . five star not poor service , housekeeping make wonder room clean properly , never see doorman open door we . sure we tight schedule , not 15 minute , 30 minute spend waiting service arrive much soon . stay neither recommand anyone know . really 3.5 star hotel max . 
 would rate 5 - star hotel 4 - star - maybe 	 get back trip Las Vegas . I look forward leasure stay hotel Death Valley trip . well , hotel nice , BUT:1 . get shower water run slow , shower head comparable motel shower . hard wash soap . 2 . bathroom glass door heave 1/2 inch space end door floor . open door hit toe close nail , let tell , hurt , lot ! ! ! simple piece rubber plastic button door would done trick . ( next day , husband problem3 . minor thing , would expect 5 - star hotel - toilet paper holder break , toilet paper top toilet time.4 . resort fee : sign paper check , say $ 15 / day , not say also $ 1.80 tax top . big deal , stay couple day get nice surprise checkout , head would help.5 . food : want order in - room service sandwich soup ( sick whole stay , could get room ) . calculate , price chicken noodle soup would $ 9 + $ 5 ( service charge ) + 18 % ( tax , gratitude ) .... husband get downstair take restaurant avoid ridiculous fee , menu restaurant completely different in - room menu . on hand . staff helpful , clean service nice clean room good . the bed towel nice fresh . room clean . kitchenette room also nice feature . we city view , yes Santa Fe train come time time load whistle , big problem , view room nice , actually city view , mountain view , beautiful . would stay - maybe , admit 4 star hotel . 
 Outstanding Place Stay 	 stay Trump hotel Las Vegas 5 night blow away quality hotel . know go resort fee everybody book hotel know find o.k service get outstanding . room well see world . staff friendly professional . definitely stay . property . 
 Nov 16 2009 	 complaint .... 	 husband check Trump Las Vegas Friday , November 13th stay 2 night . tell great stay non - smoking , casino hotel . first impression great . hotel clean well appoint . over - the - top tacky trump like expect . reasonably understate elegant . love wind stinky crowd casino find front desk check . check quickly pleasantly surprised great room ! upgrade strip view , $ 20 per day totally worth . 47th floor great view strip . room kichenette , like kitchenette may think . subzero refridge sleekly build wall . nice amenity . end take cab Vons get food drink room $ 30 cab ride . across street ( directly ) Fashion Show mall , great ! ABC store sell food drink . & quot ; want go market , go . save much food room use room service . mention , housekeeper dish ! okay , bathroom ... awesome . bath tub huge double jacuzzi . television mirror , cool feature . room nicely appoint bed comfortable . room large standard hotel room , eventually resident people purchase . design . homelike less hotel room like . picky person work hospitality industry year . know look know expect . property great staff attentive . night dinner little gambling dancing walk ... nice return quiet , clean casino free hotel . love fact not million lookey - lous milling , smoking head . love location entire stay . 
 Nov 16 2009 	 five - star look value three - star service 	 unlike Madonna , fellow 1980s icon Donald Trump hard time reinvent . indeed , Trump Tower Las Vegas look feel guilde , brasse - up monolith two decade ago . however , idea get hotel suite like $ 70 would unimaginable . Trump Tower one hybrid condo - hotel ( never know actually own unit stay ) , indeed offer five - star caliber room mid - week pre - holiday rate low price . that say , service ordinary good . simple request room item turn attempt call housekeeping seemingly eternal abyss hotel phone system . housekeeping finally reach , result fine . staff ably turn sofabe ( one suite ) comfortable bed . apparently , hotel product Trump project go wrong way . without casino , hotel fend luxury hotel Las Vegas loose luxury customer fast . result cut rate much possible cut service minimally ( invisibly ) possible . the toiletry item unit 's spa - like bathroom consist soap skin cream . hotel guest know way around five - star variety also know bathroom separate oversized jacuzzi wide - screen color tv recess behind wall - sized mirror would also bit vanity . sure enough , eventual call housekeeping uncover goody sugar face scrub , exotic variety lotion , shower bath gel spa - quality bath salt . $ 5 tip maid might ensure item would restocked follow day without another request . the hotel lunch restaurant wonderfully design pool level , well place palm tree make area seem like summer oasis right Nevada mountain . soup salad pricey $ 15 apiece , well do filling . lobby - level restaurant simply price use mid - week resident early November . manage nearly $ 30 breakfast buffet would well reward exquisite selection friendly service setting might well posh design magazine . room service high standard , . good deal walk wallgreen get breakfast item use kitchenette . the $ 15 resort fee bit underhanded hotel 's beach . extra fare come fair warning stage book hotel . wish person check not recite , straight face , $ 15 fee include two whole bottle drink water addition valet parking . even bottle & quot ; Trump & quot ; label worth $ 7.50.a tip : depend allege shuttle service nearby Treasure Island Hotel Casino . NOBODY seem know schedule even process get one . 
 Nov 15 2009 	 Great Hotel - Best Deal Luxury Hotel 	 want stay new hotel find great deal Trump . little concerned strip , within 5 minute walk basically stand bottom strip Wynn . hotel fabulous , elegant luxurious . room large sit area kitchenette , tv bathroom mirror plus , jetted tub .. bed one comforable bed ' ve ever sleep . everything look brand new . fussy cleanliness - room spotless . ( first room muddy footprint tub front desk quick send bellboy key new room floor . would recommend ask room face strip , 's quieter nice view . ) negative bellboy arrive feel little lost . this hotel suit party crowd , 's business non - party crowd casino . loved fact could head home loud night peaceful hotel crowd , smoke etc . Ceaser 's Palace 5 minute $ 7 cab fare . great shopping across street Fashion Show Mall . trump good value could find 5 star hotel ... however think 's 4.5 ... still fantastic . 
 Nov 11 2009 	 Fabulous 	 Perfect ! ! ! stay one night wish week . 52nd floor even though city side still magnificent view . side block strip valet parking . main plus casino totally non - smoking . also bathroom dream come true , whirlpool tub , large walkin shower aTv mirror . 
 Nov 9 2009 	 good 	 stay couple week back . hotel nice bad . 1 bed per suite ( wtf ) people kid do not want sleep couch ? big deal . travel mother vacation ask hotel 2 double say do not sofa say fine . go room wonderfully furnish even kitchenette utensil fridge LOVE ! microwave ! coffee maker ! ! excellent ! ! anyhow complaint sofa since get priceline even cheap ! fave still venetian ! btw casino hotel find refreshing noisey . pretty close wynn like 
 Nov 3 2009 	 LUXURIOUS 	 TRUMP HOTEL , Vegas ( casino , thank goodness ) .at check - in , clerk suggest upgrade room . photo book show different room . conference get great rate ( $ 90 night + usual Valet / Spa / Pool fee $ 15.00 day ) . upgrade start $ 50.00 night additional , go $ 30.00 mull . offer $ 25.00 get two room suite . request personally see difference room . clerk show room . studio room one major flaw . bathroom door usual , solid wood metal door . partially frost , see - through glass door . guest come visit & amp ; someone sit bathroom ... much visible . make simple decision upgrade one bedroom suite . even one bedroom suite ( 2 room ) , main bathroom area ( bedroom ) , door toilet semi - frosted glass . unless bath mat roll floor , door open , glass clang 2 person Jacuzzi 2 person shower . also bathroom separate shower kitchen / dining area . fortunately , solid wooden door there . for privacy , slide wooden door separate bath area bedroom . large bathroom 10 foot wide 20 ft long . main bathroom large table lamp , large wall mirror , light magnifying mirror comfortable chair . room could double study room ! opposite wall slightly two sink , 12 & quot ; plasma tv build into / behind mirror . handy remote control provide . watch adjust shower water temperature . blue color cold red color indicator hot water . set , take least 30 second change temperature water come floor . ( 30th floor , 16th floor , tell engineer ) . fortunately , enough space shower head wall duck hot stream water . 's little consolation face cover soap ! also , automatic cut - off switch shower head temperature go 108 ? /42 ? recommend plumber . if car , suggest go WalMart purchase high wattage light bulb Trump chain provide tiny 14 watt fluorescent bulb lamp = 55 watt incandescent . need strain eye . buy two package four Reveal incandescent 100 watt bulb ( $ 4.63 w / tax ) reading / study use one . also turn light leave room ; although electricity lighting get run money Vegas . replace fluorescent bulbs end stay leave Reveal full spectrum bulb maid along tip . enter suite kitchen two light switch wall . one not seem anything . however , control outlet nothing plug . outlet switch controls lamp table near dining table chair . note : bed soft , use firm bed . complain maid come remove 4 in/10.16 cm thick padding mattress . make firm . , allergy down / feather pillow , request synthetic fill pillow . if be large person , sure request extra long towel -- everyday -- , maid will not leave always . , want room clean certain time request concierge desk near front desk . click wall light button & quot ; Disturb & quot ; appear outside entrance way door ( two separate suite ) . show , never check back see change status . either find ( hard ) call operator get service . the suite come full refrigerator / freezer , glass - top stove & amp ; oven , microwave electric dishwasher . glass , plate , silverwear , pot pan . be stay awhile eat , will need buy dish clean liquid , detergent tab sponge WalMart . close 4505 West Charleston Blvd , ( 702 ) 258 - 4540 . .99¢ store around . maid supply dish towel . wash utensil use . internet cost $ 14.95 per 24 hour . possibly due gold window , find hard make speedy wireless connection , although cell phone tower 1/4 mile away north side building . cell phone call would often drop . two carrier get . local call hotel 's landline free . I note one comment mention loud train whistle night . true fresh air ventilation system build horizontal frame window . otherwise , quiet . living room 47 & quot ; /119 cm LCD High Definition TV . remote controls drive nut ( except bathroom one , simple ) . everyone speak say take least 15 minute figure . print instruction use . bedroom 32 & quot ; /81 cm HD tv two large closet come two fancy robe . person short , well close right hand door closet closing left hand door latch high , tall person reach . way around tape piece paper latch will not click shut . not smart place put latch . all parking retrieval car valet . typical tip $ 2 -- $ 3.00 say . , well $ 130.00 night stay . 
 Nov 3 2009 	 great room . poor service . 	 stay Trump great rate size room offer . pleased room cleanliness . thoroughly enjoy huge jet spa tub big shower inside master bedroom ( stay 1 bedroom hotel ) . also convenient another shower bathroom locate living area . bedroom seperate living area kitchen amazing ! location hotel far spot plan go - XS Encore ( right across street , walk distance ) Lavo Palazzo ( $ 6 cab ride ) . Fashion Mall right across way convenient run grab make forget pack . course casino hotel lot quiet . would say great place stay family since room big gambling drinking go hotel . bad part stay Trump service . try call 3 time morning check place hold time anytime anyone answer , would put hold - like not know transfer . end go downstair check . also , try call Valet come downstairs car bring ready right got , one pick Valet either . big room service need attention staff , stay . group get since really stay sleep room play outside hotel , look place stay want stay within hotel entire time entertainment amenity , place , go somewhere else ! overall , would say 's good bang buck budget want comfortable clean room . also , would add additional $ 16 charge fitness center pool BS . not even use amenity still pay ! 
 Nov 2 2009 	 extra $ 15 per night no - no . 	 resident Las Vegas , horrify find family visit U.K. charge extra $ 15 per night gym pool . since become extra ? , option . read review page see other happy either . result go back home tell other go Trump , spread word . room lovely , many other city . far concerend , Trump hotel give Las Vegas black eye . 
 Nov 2 2009 	 Peaceful Off - Strip Experience Good Service 	 horrid experience Venetian , come like arrive heaven ! first thing strike peace quiet . good point come place not attach casino . first , know hotel focus make stay pleasant , since income not bolster casino . also , caliber clientèle different . less drunk people , crowd push , second hand smoke , stale alcohol smell , yell . people want peaceful , relax experience . front desk agent pleasant attentive . get strip view room 52nd floor , jaw droppingly awesome . room sleek elegant , understated touch luxury . bed comfortable . love in - room kitchen cookware dining utensil provide . Jacuzzi tub wonderful . also , discover radio break , new one promptly bring professional attendant house - keeping . reason 's 5 star : be little far strip ( must take taxi ) , not really floor food get DJT . feel place not quite reach apex , since open economic slump not enough customer base yet make truly rock . experience indication , will not way long ! 
 Oct 31 2009 	 excellent hotel 	 stay 2 night business . ask quiet room give amazing room end hall view north strip ( Wynn Encore , Palazzo ) . room massive clean , nicely decorate appoint : sit area , kitchenette . bathroom oversized jetted tub tv mount mirror ( first ' ve see ) . staff courteous friendly , service prompt . excellent choice business traveler anyone want avoid gaming property smoke ( entire hotel smoke free ) . would hard pressed find another hotel North America quality reasonable rate . problem service , concierge , valet . problem noise either . short 3 minute walk strip . highly recommend . ( many complain resort fee , actually fairly reasonable , since include valet parking use facility , something major chain starwood charge ) 
 Oct 30 2009 	 Five Star Wannabee 	 place get bleed money , show cleanliness service . five star impeccable service . not expect Trump . bellman take bag taxi , doorman hold door enter hotel arrival time thereafter . place beautiful room huge , great bed amenity huge bathroom jaccuzi tub , room dirty window toilet paper step might expect find airport elementary school . eat Sunday breakfast buffet . 27 buck person . joke . must trying make money . Trump non - smoking , huge bonus , great bargain strip . would recommend , especially bargain minded folk look great deal . expect five star experience use . aware place noisy , . even 42nd floor , freeway train noise loud . bring ear plug . 
 Oct 29 2009 	 wonderful spacious 	 room spacious , clean well keep . staff helpful always courteous . room service deliver quickly . sofa bed comfortable would complaint otherwise top notch place . there $ 15 charge per day add bill parking / fitness center use regardless use . 
 Oct 29 2009 	 resort fee 	 well appoint hotel comfort one would expect high end apartment hotel . bathroom particularly nice . spectacular view high floor . big drawback even five star appointment , hotel lack five star feel . lobby sparse almost warehouse like . casino building , ther one ( overprice ) restaurant . besides , one welcome arrive , scan area receptionist . security guard curt point almost rude let pass lobby elevator . be hotel really bargain ? take account pay $ 5 small bottle water , $ $ internet , unusually high price room service $ 15 resort fee ... may well one one nice hotel strip action . 
 Oct 28 2009 	 Resort Fee 	 stay Trump Hotel 4 night basic room . hotel fine would say 5 star . book hotel try Priceline.com . pay $ 65.00 + tax + resoet fee .. resort fee . know hotel add change . play game . 1 . newspaper morning -- call front desk . 2 small bottle water call front desk . Valet parking = = sorry tip . tell guy hotel charge free service ask tip manager . last -- - free local call . 8 year old son play make free local call . someone answer line say sorry wrong number . make aabout 100 call . resort fee local call . hotel go nickel dime customer pay game . 
 Oct 28 2009 	 disappoint 	 although ' m fan Donald , gold plate decor , pleasantly surprised luxury comfort room 50th floor . thank read everyone 's review , mention train noise problem , nice woman front desk move we another room . problem noise . the door , lobby pool service top notch , appreciate security . wife get facial spa rave , give complimentary pass facility . nice shower steam . the resort fee include wi - fi . take advantage shoe shine include fee . 
 Oct 26 2009 	 Nice hotel know getting 	 stay four night stay . expect real five - star hotel , . usually stay Marriott Ramada , likely feel like five - star hotel . real five - star hotel , doorman would never let open door - doorman sometimes man door . live , folk may issue . bathroom top notch - nice shower , huge tub , privacy door toilet , hot water issue . talk , seem boiler problem ( , five - star hotel would stand ) . problem fix minute let water run , could upset flexible . first arrive , low room ( 18th floor ) , read review , ask high room read train noise . victor , front desk manager , accomidate relocate we 53rd floor city view side . , barely hear train - view incredible . we get late first night try hotel restaurant $ 29 per person prix - fix menu try . food actually really good . one night want eat Paris ' Mon Ami Gabi visit concierge . Vicki helpful reservation pull string get we time want . concierge come across snooty , Vicki top notch . use gym couple time . everything need get well rounded workout . free weight , machine dumbell . treadmill , elliptical machine , bike TV 's build . trainer help equipment question . also visit pool . think nice . music play DJ try make fun atmosphere . wife seem think waitresses bit snobby . order drink ( sangria ) , refreshing . would order , waitress pay attention we . also would brought beer , allow outside drink . location strip far , wear awhile . 5 minute walk strip , another 10 action really start . close casino Wynn Treasure Island - bet NCAA NFL game Saturday Sunday morning 9 10am , bit drag long Friday Saturday night . often use mall across street mean get Strip . mall ( call Fashion Show ) typical mall usual suspect , high - end . real five - star hotel would stand less stellar location - would shuttle constantly take Strip . the real nagging matter daily fee internet usage . real five - star hotel would charge internet access . already know daily & quot ; resort fee , & quot ; issue . guess charge separately commission structure booking agency afford discount expense . if go back Vegas , would stay ? probably . think would rather Strip . disappoint choice ? . fun enjoy hotel , would rather middle action . visitor may like kind place , though , right person ask , would recommend . 
 Oct 26 2009 	 Trump Tower Poor Service house keep elevator guard 	 room absolutely stunning , customer service need lot improvement . elevator guard rude scope around lobby something eat . one approach we ask , & quot ; ? & quot ; first thing come mouth … needless say , not eat stay . another occasion , poor service occur way late night along strip … guard stop we approach elevator , " room key ? " um & quot ; hi . help ? & quot ; would well question ask . house keep not take trash refill condiment day . , stay comfortable . 
 Oct 24 2009 	 fabulous five star hotel ! 	 friend find Trump Towers Las Vegas wonderfully clean , beautiful hotel . room fantastic , service incredible . location great , five minute walk strip , staff could not helpful . dessert order room service delicious , staff help we rent private car , also nice . downfall find : ridiculous $ 15 day resort fee ( not include price room ? ) fact pay wireless internet . everything else hotel lovely . keep mind small bar , casino club , be something be come Vegas , might like stay somewhere else . want relax atmosphere come back hotel night , might perfect hotel ! : ) 
 Oct 23 2009 	 mostly nice place san one negative surprise 	 think nice hotel spectacular room , certainly not miss smokey casino . gym good equipment , pool nice excellent lounge recliner etc .. really tick told & quot ; mandatory & quot ; $ 15.00 charge valet parking gym , applicable guest regardless whether drive interest work . hide surprise sort thing leave bad taste one 's mouth reek attempt get high price use decietful practice . mandatory charge , part price hotel . 
 oct 22 2009 	 one night experience 5 star place like destination 	 first time vegas need extra night hotel meet rest group another . want try 5 star hotel see worth destination . get great deal $ 75 night priceline . read resort fee way cheap other ( planet hollywood charge hotel fee want use pool charge additional $ 25 . ) turn onto hotels street see fence property & quot ; casino & quot ; may build . road behind bit scary would not suggest anyone walk night . valet parking annoying not like give control car anyone , plus mean take everything can not access car want . service : valet attendant rather nice , expect tip . front desk horrible . fake politeness irritated . dress properly interesting see change attitude find book priceline . find rude . help give direction information hotel . rush get next person inline , one person . pool attendant ignore maybe appear young . fun pool nice couple meet neither party new towel drop . concierge attendant genuinely polite , even print direction well buy near hotel ask need anymore assistance . common area : hotel appear small compare other vicinity . online intrigue & quot ; gold & quot ; hotel discover mandalay mirage gold reflect window well . lobby nice , see hotel Hawaii nice decor . pool decent . love music play speaker , cater young crowd , landscaping block strip . feel like las vegas like . pool nicely heat warn deep area 4 ft . need aqua therapy could do . offer water bench side pool . room : studio face city strip . first , room size amazing ! room actually quite late not hear train 18th floor . love mountain view morning give idea traffic like . could see circus circus , stratosphere . appreciate dual entry way keep hallway noise bay . closet european style average . contemporary . personally love color scheme , home . provide coffee table book tic tac toe wooden game . easy check room via tv . two water bottle equal one average water bottle . flat screen tv appear cheap . bed seem rush . could see sheet pop bed frame . oh mention giant blood stain one pillow case ! ! ! ! ! one lamp not work properly would not turn wiggle cord . agree other , bed comfortable ! bad back grateful woke ache . stereo works ipod bring along = ) stove , microwave convection . sub zero fridge good size . note Target , albertson , good buy , store far away , near flamingo maryland street . bathroom : bathroom nice . tub huge ! 5 ' 2 & quot ; almost drown put much water keep slip . three jet mode . tub person . shower good pressure , seat bench . hard try shave leg . noticeable lime residue shower head . complimentary shampoo , conditioner , facial soap , lotion excellent . toilet paper hard cheap . provide vanity mirror 10X view lighting really appreciate . hair dryer provide great power not take long dry hair . cord tv mirror visible ruin illusion magical tv . fall shower glass . clear could watch tv let hot water relax muscle travel . total come roughly $ 100 night besides rudeness stain , would say would worth especially since smoke free hotel . pay anymore well sure kid diaper make cost ( great kid amenity , baby warmer , free diaper , etc ) .PS . self - parking free almost every casino invest renting car save money . parent always travel vegas driving save foot say save $ 200 tip taxi fee . check newspaper event deal strip . lot great free thing vegas . 
 Oct 21 2009 	 Meh ... 	 ' ve read recent review , agree much ' ve read . perception Trump largely depend whether want casino hotel , quickly want able reach Strip . like hotel non - smoking . book Trump Priceline . think pay $ 142 / night , include taxis . arrive , learn mandatory $ 15 / night & quot ; resort & quot ; fee tag . Priceline would let cancel base ; release initial apparently mention possibility resort fee . live learn ! event , add resort fee , price outstanding . the front desk ' upgrade ' we room view Strip . room 51st floor . impression hotel largely unoccupied stay , feel hotel must lose money try conserve bit . note another recent poster , concierge lacking . call inquire free roulette crap lesson ( venetian 11 crap , follow 12 roulette ) . concierge say would call we back ; never do . the room lovely . happy bed ; sleep partner feel soft . option queen bed room - room king bed pull sofa . nicely - decorate room ton storage space , two large closet ( two nice fluffy robe ) in - drawer safe , iron board w iron , lint brush , extra blanket , coffee maker ( caf coffee - near coffee shop 10 minute walk ) , blender , microwave , fridge , range , kitchen sink , wine opener , utensil , dish , etc . would great place make lunch / breakfast , could find grocery store Las Vegas . : ) ice available every floor . bathroom nice . Shampoo , conditioner , lotion , 2 bar soap , shower cap provide . shower gel , sewing kit . need sewing kit , housekeeping take 45 minute bring room . shower lovely large . toilet room . 2 sink vanity , lot storage . ample towel . peek business center . charge internet service - 15 minute increment . charge print document , except boarding pass . pool area lovely . enjoy large double - lounge sofa chair . pool close 6p , however . wonder whether part & quot ; conservation & quot ; effort reduce cost . reviewer note issue location hotel - 5 minute Strip . 5 minute long walk high heel . : ) yes , cross street cut Nordstrom Fashion Mall figure way Treasure Island , certainly convenient location . want quiet , might enjoy hotel . we , convenient . also , one we want rest sleep , go back room - option remain downstair game . walk alone middle night past empty lot feel secure . moreover , sidewalk entire walk Strip - times must walk road . we use room service , restaurant , bar , can not comment . might enjoy hotel look lovely non - smoking hotel without casino , okay service , short heavily - traffic walk strip . we , not fit . 
 Oct 21 2009 	 Read stay ! 	 husband travel twice year Vega usually stay Wynn , Encore , Palazzo Venetian . time decide try Trump . hotel clean , modern price right hotel 's location poor . first pro : CleanNice roomsfood decentbeautiful bathroomscon : LocationResort FeeTrain NOISE start 3:30ami read review regard train noise make reservation inform agent concern assure would reserve quiet room we . get quiet room afraid know regular room like . 3:30am , 4:30 , 5:30 , 6:30 ( get point ) Sunday , Monday Tuesday morning LOUD train noise sound like next door . 36 floor face Wynn hotel qualify quiet room . go front desk complain nice lady explain could not anything else already quiet room . go mention know problem work city see could get train stop blow horn pass literally side hotel . know accommodate lower price $ 89 make reservation . give rate $ 139 Saturday $ 89 day add dumb fee tack well stay strip $ 129 - $ 140 per night . tag $ 15 resort fee use pool , spa two 4 oz water provide nightly . tax resort fee room rate ( two different line item bill ) worth it . one last thing consider . hotel strip huge deal walk far . however , night street must walk get hotel , dark sidewalk pave wear sneaker trouble . importantly , safe street . cab , car , shuttle fly especially night since lighting exist easily get hit car . one night walk back hotel see couple nearly get hit shuttle . scary one even see shuttle come . drive like maniacs street . 
