location 	 fiancé spend day New York Thanksgiving . pre - booked hotel profit & quot ; book early - save money & quot ; -program . room 4th floor ; sadly , staff forgot request sparkle wine room , not arrive ; not big problem , hotel offer complimentary wine 5 - 8 pm every night ( even piano music friday ) . room good , though bathroom bite small , clean nicely do . bit problem shower sense water spill side , nearly impossible take shower without splash bathroom floor . also not problem , shower morning walk NYC day , not care much wet floor clean day anyway . reason rate hotel & quot ; good & quot ; & quot ; excellent & quot ; heating not work . already rather cold outside ask front desk could turn heating , reply , heating would turn automatically temperature drop 55 Fahrenheit . not . get little electrical oven , though , warm enough . would expect heating work rather expensive hotel . Rick 's Café second floor really like extended living room , wonderfully comfortable chair sofas . breakfast enjoy glass wine every evening . love interior decoration hotel - also quiet , despite right edge Times Sqaure . Thanksgiving Parade could really walk 20 metre hotel right middle . , would recommend hotel ; would return , though might get big room next time . 
 Perfect 	 friendly , comfortable , spotless , load extra touch . could one ask ? location ? right Times Square , great eating place , fifty yard Old Town Hall ( see Garrison Keillor Saturday night ) , around corner ABC , Starbucks , drugstore , two three block main Broadway theater , mid - way Empire State Building Rockefeller Plaza . thank contributor point way . hotel help make fabulous trip . 
 Wonderful Hotel 	 ' m write review hotel , use free wifi - greatly appreciated ! charming hotel second away Times Square - 's know quiet room . be within easy walk distance almost everything could want see , 's shortage fabulous place eat drink right day night , right outside door . the staff nice friendly , go way make sure be enjoy stay . room comfortable clean , even basic room bathtub plenty closet space . little touch , free bottled water room wine reception evening really make place stand . would stay sure ! 
 Oct 28 2009 	 Fantastic ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 want small boutique hotel Midtown read review Casablanca decide one . travel teenage daughter feel would advantage small hotel personal . exceptionally please Casablanca . room 5th floor fortunately we back hotel experience much noise . downfall view inner courtyard airconditione unit , small price pay bit respite madness city . room immaculate feel good size city hotel room . member staff friendly , helpful courteous nothing much trouble . although initially seem bit pricey , take consideration continental buffet breakfast , constant flow tea / coffee 24/7 , complimentary cheese wine evening free internet service actually worth every penny . location excellent couple hundred yard Time Sq . a warm , friendly welcoming hotel . return NYC future head Casablanca . 
 Oct 27 2009 	 Service even well location 	 look small quiet centrally locate hotel good price , place . find service outstanding- staff incredibly helpful car arrange we Newark also get wife 's birthday cake room arrival . nice enough keep put take fridge we ! include free perk ( breakfast , internet , gym ) lot high price hotel not include , place even gem . room not huge , be NYC , not spend lot time room anyhow ! Rick 's cafe make great area chill relax extra minute 
 oct 27 2009 	 not look - Casablanca well worth ! 	 stay Casablanca September first thought come head arrive relax calm - take room 5th floor not view nice modern double lcd tv , seat area modern bathroom . not massive room believe typical NYC , think actual hotel look even well photo website . book ' long stay rewarding package ' website , mean good rate also bottle Prosecco arrival $ 125 credit towards meal Montenapo restaurant far hotel . really good meal , nice food nice surrounding , pay bottle wine $ 125 pay food ! first night meal Tony 's italian restaurant next hotel really enjoy food , careful much order portion massive ! regard noise , not problem , everything really quiet comfortable . rick bar 1st floor great relax place go free breakfast snack throughout day . nothing like busy day NYC go back 5 pm cheese biscuit , glass Prosecco popcorn relax put dinner later ! one thing really seperate Casablanca hotel service brilliant . everybody friendly , hard work , welcome happy help . problem inroom safe one day sort within minute . room keep pristine clean time could fault service . particular , Rafainha ( sure spelling ) absolute star , friendly face Ricks bar Cheese Wine reception , always smile pleasant everyone go round later hand extra towel later day - really credit hotel . consider hotel Sofitel Marriott Marquis settle Casablanca really happy choice . Casablanca cheap hotel , take consideration location , right Times square , short walking distance 5th Avenue , Empire State etc , free Wifi , free computer / printer use , free snack throughout day , free Cheese Wine free safe room , think 's one good deal ! 
 Oct 23 2009 	 Loved ! 	 daughter stay 4 night . minor problem room attend courteously . room give excellent , quiet , great view , well worth decent night sleep . staff exceptional , feel comfortable time . breakfast Ricks cafe great bonus tea / coffee available demand . daughter 's first visit NY 21st birthday hotel acknowledge well , thank make great trip . 
 Oct 19 2009 	 over - rate deserve top rank research 	 research TA , talk hotel several time travel wife NYC two night . stay Thurs 10/15 Fri 10/16 service hotel , good , hotel location question mark . big objection ridiculous level noise come street night . grant , know stay right Times Square , room hotel daylight ( view face street ) go put guest sad position . catch one early morning ( 5:30 ) traffic , garbage truck noise , sadly ( we ) one complete night construction street . outside activity hotel 's fault , fact TA review speak soundproof room absolute joke . prepare noisy night be street side . be , be likely dark room , even room street side quite dark dreary . open blind not option , unless want office worker company across street see every move make . , ' m experience traveler , use complain ... shy ask correction state opinion not feel like ' m get value . Casablanca , plenty nice , service - orient people , hotel locate might want quiet relaxation . would recommend anyone stay stay away room street side . 
 Oct 18 2009 	 Fantastic Small Hotel Excellent Location 	 stay Casablanca Hotel early October business conference . small hotel relatively quiet street one block Times Square . room relatively large area quiet . staff friendly accommodate . amenity great breakfast wine cheese evening really set hotel apart competitor ! room clean functional include decent cable tv package ( spend much time watch tv ) . free wireless access huge bonus . highly recommend business pleasure ! 
 Oct 14 2009 	 rate price 	 Tripadvisor 's rating , stay hotel two night . could wait leave ! ask housekeeping come clean two huge spider webs bed . room filthy . vacuum . white socks brown walk around room . time stay , reasonably price . price outrageous run hotel . breakfast nice wine afternoon nice touch , price find much nice boutique hotel nice location . 
 oct 9 2009 	 Amazing Hotel - Returning soon 	 can not say enough great thing hotel . amazing location great price . staff attentive every need request . room hotel update great decor clean . make new reservation prior leave . hotel stay spend time NYC ! 
 oct 9 2009 	 ditto ! 	 's say . Casablanca charming hotel great attention detail ambience . Rick 's Cafe provide comfortable variety food beverage . the staff attentive professional . pleasant atmosphere abound guest make feel welcome time day . consistency set apart hotels credit staff . really group effort . thank make stay positive experience . 
 Oct 8 2009 	 great boutique hotel great location ! 	 stay Casablanca Hotel choose due great review Trip Advisor . location fantastic , room clean complimentary breakfast wonderful . also enjoy complimentary wine / cheese night much need walk around city day . room small adequate clean . would definitely recommend hotel well stay ! 
 Oct 6 2009 	 Fabulous Hotel Experience 	 cozy , clean boutique hotel madness Times Square . lovely touch free continental breakfast free cookie , coffee anytime day . the Wine & amp ; Cheese every evening especially lovely touch . the staff extremely helpful seem genuinly interested making stay happy one . Thankyou Casablanca Hotel make husband birthday 1st trip New York one remember right reason ! ! 
 Sep 24 2009 	 love hotel ! ! ! 	 room decor lovely , clean , bed / bed comfortable . staff friendly helpful beginning . day arrival , call ask need help arrange transportation hotel question . upon arrival , friendly informative accomodate numerous inquiry throughout stay . complimentary breakfast good quality , enjoy atmosphere Rick 's Cafe . also open courtyard , Rick 's Cafe , 3 4 table . location , Times Square , convenient . agree others air conditioning unit little loud , disturbing . 5th floor hear outside noise . wireless internet work well . robe slipper complimentary cookie sample ( room ) nice touch . never make nightly wine cheese social , attest fact Rick 's Cafe provide complimentary fruit juice even 1am . ' ve stay three nice hotel NYC , ' ve experience Casablanca , will never stay anywhere else ! 
 Sep 23 2009 	 great location feel like home 	 husband lovely time Hotel - staff make feel special , room comfortable , wonderful ammenitie ... location perfect ! ! recomend hotel everyone , come back soon . great ! ! 
 Sep 23 2009 	 Excellent hotel - fantastic staff location 	 return week impress . hotel location ideal Broadway theatre , find within walking distance many area interest Manhatten , subway wide line access close 42nd St / Times Sq . include breakfast ( great selection fresh bagel / bun , cereal , fruit , freshly squeeze OJ etc ) evening wine & amp ; cheese big plus factor - especially relaxed friendly atmosphere genuine warmth attention staff . 's 24 hour access coffee cookie , free internet access include terminal lounge / cafe . can not really comment noise in - window air - con drown nocturnal roadwork whilst stay ! guess 's reflection relaxed feel stay Casablanca , pleasantly exhaust sightseeing enjoy , even 1 am pneumatic drill not really bother we ...... clear away last night though ! preferentially stay small & quot ; boutique & quot ; hotel hesitation recommend Casablanca . would definitely stay . hotel deserve 's high TA ranking . 
 Sep 20 2009 	 treasure Manhattan 	 visit NYC 50 + year business leisure finally find NYC home away home . could believe website present true picture property . moment enter lobby positive feeling . staff professional helpful . every ammenity excellent . rick cafe treasure . breakfast buffet evening reception excellent . even pleasure friday evening piano program . look forward next visit already recommend Casablanca family friend . 
 Sep 19 2009 	 another amazing stay .. 	 beautiful hotel . second time staying time uuas even well first ... possibly uuas long ... possibly reason . anniversary uuas special far make staf uuere helpful make arrangement partner surprise . happen read honey ...... please uue go back ? ? : ) 
 Sep 19 2009 	 little boutique hotel perfect ! ! ! 	 ever New York City , definitely stay again . we choose stay mini suite fantastic . friend tend wake little early , could relax sit room without disturb . suite great , toiletry fantastic , location right Time Square , really could get well location experience Downtown Manhattan . even though much happen outside Time Square , moment step inside hotel noise street leave behind . really little gem hotel . the breakfast nice wine & amp ; cheese evening nice touch . staff friendly helpful . would agree review say air - conditioning loud certainly not interrupt sleep . unless light sleeper not difficult put with . if fortunate come back New York City , even consider stay anywhere else . 
 Sep 19 2009 	 must stay go NYC 	 hotel excellent ! second stay two year concerned thing hotel would seem good second time round , . friendliness yet professionalism staff amazing , especially Samuel always seem duty help guest whole 9 night stay . attention detail can not fault want comfortable quiet refuge perfect location Times Square , ( ideal subway link want explore within easy walk distance Midtown sight NYC quick stay ) . love hotel NYC want come back . 
 Sep 18 2009 	 Faultless ... 	 interior staff ( every single one ) cleanliness room , find Casablanca delight . atmosphere cosy , room gorgeous reception staff helpful we , provide we city map detail need go . week later return NYC stay Tudor United Nations - expensive nowhere near good far staff concern . wonderful hotel , would recommend anyone . also , literally 30 second Times Square . perfect . 
 Sep 16 2009 	 Super Place ( Mid ) Town 	 together wife 2 young son 21 stay nearly week hotel step away Times Square . would expect lot noise room silent nice ( large NY standard ) . staff friendly helpful whole place feel like stay friend centre town . hotel small ( 30 room ) give extra dimension . breakfast super ( include ) lounge drink snack throughout day . stay many different hotel part world , would always go back Casablanca true star close everything . 
 Sep 16 2009 	 ideal location New York sightseeing 	 wife enjoy perfect 5 night stay Casablance first week Sept 09 . location ideal literally step Times square although hotel seem well soundproof would never know . find breakfast buffet great need evening 's complimentary wine together cheese biscuit suit we ideally . bar find advantage . room require , immaculately clean little small . stakk come contact genuinely helpful friendly . shall definitely return next trip . highly recommend . 
 Sep 12 2009 	 good location first class staff 	 agree previous reviewer . 's good value mid - town hotel , lack blandness uniformity get big chain . Positives- Excellent , friendly staff throughout . - Clean rooms- Breakfast generous good quality . - all - day refreshment evening reception great - not put idea & quot ; reception & quot ; stand make small - talk stranger , grab drink something eat sit without need mingle . , say , friendly place , ambience cafe good encourage people civil guest . - internet computer cafe , sit drink , printer stock work first time ( printer home time ) . - non - feather pillow quilt , request . negative - sound silly , book hotel less Times Square ought expect bit noise light .... ..... wooden blind not quite fit window fully , disturb first night flash light Times Square come room . also , find air conditioning bit noisy . - confuse safe case fire . staircase aware middle building , corridor lead . seem fire door end corridor , 2.30am notice open , obviously close night anticipate would . maybe one close instance fire , would rather closed night keep smoke . bit oddly , first room , seem battery power carbon monoxide detector wall , indeed flash light disturb - concerned would need thing ? mystery . wire - in smoke detector , look like fire - suppressor / sprinkler system . overall feel safe . anyone information , would interested - admit shocked tripadvisor review mention fire safety . - Old fashioned tv poor reception - maybe not go New York watch tv , day think expect well quality tv screen reception . .... move another room , big ( yippee ) bed position mean not get bother light . kind hotel busy . notice , however , first room , crack bathroom floor - look may replace toilet tile crack process . major issue , cleaning seem good , something hopefully deal eventually . overall great hotel , would happily stay , recommend other . real character , friendly ambience speak good customer care . 
 Sep 11 2009 	 great night stay ! 	 employee awesome respectful . eat Tony 's next door . eat twice stay . 
 Sep 8 2009 	 Great Location really 3 star hotel 	 spend 3 night partner July ' 09 . location fantastic , literally 20 pace middle time square ! room pretty basic small 's get Manhattan guess ! buffet breakfast thing average orange juice refill little offer . put anything fridge automatically recognise weight shift charge room , 30 incorrect item room bill also . decent 3 star hotel , great location staff helpful friendly long people know get not mind price would recommend . 
 Sep 7 2009 	 can not wait go back ! 	 husband stay Casablanca one year anniversary trip love every minute . room nice size spacious bathroom closet . soon walk door hotel , middle busy New York . step back hotel relax peaceful . nice breakfast include stay refreshment always available . first class hotel can not say anything negative . can not wait go back ! 
 Sep 6 2009 	 faboulous fantastic position right ! 	 return USA trip include 4 night Casablanca .. find book hotel purely report TA . disappoint .. hotel really nice small friendly hotel fantastic staff , always go way friendly helpful . standard room fairly small spotlessly clean , since do not intend spend much time fine . room back , really quiet .. early report suggest noisy inefficient Air con .. fine , actually tired day walk around noisy system would not make difference . really nice , dinner use towel renew second time day , also bin empty room tidy , nice touch . breakfast really nice , bagel ( especially oaty one ) well eat yummy . also pastry , muffin , bread , boil egg nice spread topping go , fresh nicely top .. coffeee , juice etc .. 5 - 8 cheese wine time .. Lemonade , popcorn bit piece make real treat . coffee , biscuit lemonade available 24 hour .. small touch make Hotel special .. peaceful spot step away Times Sq . eat Tonis next door first night .. food good , order one main meal advise TA .. enough feed least 5 , shame waste much .. do not eat , try Brooklyn diner side .. nice thin crust Pizza , convenient .. thank everybody Casa make stay special . 
 Aug 30 2009 	 Better could hope ! 	 travel New York 5 night anniversary getaway August 2009 . attempt give wife surprise trip past year , something always change plan . time work ! not know go pass boarding pass Halifax Airport . travel extensively always homework book . find Casablance Hotel websearch . check website see great review . location clincher . literally feet away Time Square New Year 's Crystal Ball . hotel close action , quiet . room & quot ; standard & quot ; . small adequate . full bath , shower instead bathtub . , sufficient since little time spend room . not want seem like substandard room , small one would normally get . amenetie , cleanliness layout well average . the front desk staff exceptionally helpful . room staff friendly . staff run breakfast area extremely friendly always keep food well stock catering need . breakfast buffet consist typical continental fare . everything fresh . 5 pm 8 pm addition wine cheese . believe purchase one meal day New York . not want spend money , Casablaca offering enough . mention great mexican restaurant locate directly behind Casablanca , Villa Pancho , delicious ! , location hotel excellent . subway entrance one block south . access corner New York . also heart Broadway area . block north south access multitude show . Diamond District block away , Radio City Music Hall , Rockafeller Center Macy 's . normally travel Carribean , next trip definately back New York , Casablanca two kid ( 10 13 ) exterience beautiful city . thank great experience Casablanca ! 
 Aug 30 2009 	 great hotel especially kid 	 husband two kid visit Casablanca hotel weekend great experience . Rick 's cafe add much value stay , especially travel young kid . hotel couple block Broadway show great matinee go back hotel wine ( adult ) lemonade kid relaxed go dinner . mini suite good size amenity fantastic . reason give hotel five star room noisy night furniture little outdated . aside , definitely stay ! 
 Aug 30 2009 	 ideal location comfortable friendly 	 travel New York Aug 09 teenage daughter five night . hotel ideally situate we Times Square could walk many attraction quickly access subway other . room comfortable big enough two we . air conditioning effective - perhaps little noisy minute not really notice . room back hotel 6th floor - view , could hear street noise . computer internet access cafe always seem use , glad bring notebook computer make use hotel 's free wifi connection daughter could keep touch friend home . eat italian restaurant beside hotel enjoy meal although portion huge . seem common practice diner take leftover home doggy bag - great local really practical hotel guest . go be really , really hungry ! make good use Rick 's Cafe . English need regular mug tea day keep go daughter particularly like popcorn pink lemonade available evening . hotel staff efficient friendly feel secure well look time . 
 Aug 29 2009 	 Location comfort value 	 wife stay Casablanca 4 night May 2009 . great choice , recommend friend back home Australia . location fabulous - literally 3 door Times Square - yet hotel oasis quiet , calm comfort . Staff attentive seem genuinely eager please . ' Moroccan ' decor Hollywood New York , public area guest room clean , comfortable well maintain . we Casablanca two separate stay different room occasion . ' standard ' room reasonably size good bed , large wardrobe spacious bathroom . air conditioner old , work . breakfast include - cold buffet variety good inclusion hard boil egg make substantial start day . despite location , hotel quiet neighbourhood safe - bustle excitement New York step away . 's easy walk Broadway theatre . restaurant , location care ? like NY hotel , not cheap - thought provide excellent value . thoroughly enjoy stay , would definitely stay highly recommend hotel anyone comfortable either budget luxury alternative . 
 Aug 27 2009 	 Best Hotel stay New York ! 	 stay Belvedere Dream hotel previous stay New York Casablanca Hotel far exceed either hotel . the location terrific - close play ( hear noise trouble sleep ) breakfast great , nice selection friendly service nice outdoor courtyard eat well nice lounge internet . the wine cheese terrific compliment new york schedule ... day sightseeing , relax glass wine cheese fruit prior go play.10 10 definitely back ! 
 Aug 26 2009 	 could ask ? ? 	 great hotel right centre city yet peaceful go back . staff helpful informative breakfast evening snack real bonus . excellent base explore New York - subway across street Time Square round corner . 
 Aug 26 2009 	 great location ! 	 literally 2 step time Square ... well ok 4 step ! get point ! location can not beat . small cosy place , excellent service staff , big smile whenever go Rick 's Cafe breakfast snack . Rick 's cafe nice ! mini suite , really nice , reason give 4 rating instead 5 air conditioning really noisy , much natural light room . 
 Aug 24 2009 	 Fabulous Hotel Great Location Friendly Staff . 	 hello , ' ve recently come back 4 night stay New York stay Casablanca Hotel first time . everything read Hotel true , perfect location , great food throughout day friendly staff make stay well . we book mini suite husband two child age 13 & amp ; 11 . daughter one double bed , son lounge area comfy sofa bed & amp ; tv . room french door shut also tv . everything need room free wifi , hairdryer , iron , iron board , free safe , toiletry , dress gown complimentary slipper . pc main hotel lounge anyone use . food serve excellent breakfast , drink & amp ; pastry day cheese wine evening . John Peter make stay . help book Helicopter flight local advice sort transport back airport . despite close hustle bustle Times Sq room quiet . would recommend hotel anyone , stay be travel New York . 
 Aug 22 2009 	 Little Jewel 	 great staff - friendly , courteous , knowledgeable ! great location ( 200 foot NASDAQ sign Times Square ) . include continental breakfast keep anyone happy . include wine cheese bar snack afternoon / early evening thing relax day explore prepare night entertainment . room reasonably size . bed comfortable . bath nice - except good space lie content shaving kit . room look 43rd Street . , bit noisy ... able sleep well . would return moment already recommend friend travel agent . 
 Aug 22 2009 	 Times square doorstep ! ! ! 	 Casablanca hotel friendly hotel . complaint management team make sure good sorting problem . comfort number one priority . rick 's cafe second floor offer range food refreshment 24/7 make differnece free complimentary breakfast , save lot money . many resturant stone throw away dinner . room spacious great air conditioning . hotel clean times square doorstep . central . definitely retune casablanca near future . 
 Aug 22 2009 	 Perfect getaway ! 	 hotel step Times Square enter front door would not know . room quiet calm . staff extremely pleasant helpful .. even umbrella we borrow one day . Rick 's Cafe delightful . coffee tea 24 hour day . breakfast perfect . also like wine cheese reception . husband wonderful time go back . 
 Aug 15 2009 	 within sight Times Square 	 Superb hotel . lovely lounge marvellous refreshment seve early evening . superb breakfast- good fruit salad ' ve ever taste . friendliest helpful staff- could not get taxi airport due rain- manager arrange limo take Queens take we onto JFK taxi fare- brilliant . complaint could one window blind minisuite ( well worth little extra standard room ) break fix 5 day problem view thick curtain also provide . location outstanding- far well anticipate probably one good location tourist New York , couple staff , real gem New York hotel- friendly super - efficient ( apart one niggle set blind ) make , we good hotel New York . can not wait return . brilliant time attend ' Stonewall 40 ' hotel without question make stay one good city holiday experience . partner go nearby fitness club provide complimentary sevice hotel really rate . 
 Aug 12 2009 	 make anniversary special 	 everything state tripadvisor Casablanca 100 % true . husband celebrate 12th anniversary make weekend special . especially love complimentary wine cheese reception everyday 5 - 8 . mind , NY , cheap glass wine $ 10 . highlight live music Friday , pianist , namely James Newman . also font information NY jazz scene give we great advice jazz club well . interesting fellow talk ! pretty high expectation Casablanca expectation exceed ! thank everything ! 
 Aug 12 2009 	 Great Staff Beautiful Hotel ; Sadly Noisy sleep though 	 recently stay hotel . staff incredible - , helpful request . room nice art - deco look . Social Hour Breakfast great - good selection wonderful staff serve terrific room . complaint even though 6th floor , street noise evening incredibly loud . room window A / c mean could not shut window eliminate street noise . truck make delivery night seem , make hard sleep . way eliminate delivery noise night , hotel would perfect : ) hotel close Times Square . 
 Aug 9 2009 	 ideally locate great service 	 Excellent location 100 metre Times Square . convenience tour activity theatre great . staff oblige happy assist happy hour cafe provide enjoyable end day , every day . John 
 Aug 7 2009 	 Perfect Hotel 	 Perfect Hotel every way . calm , large room , excellent staff , excellent location . 
 Aug 5 2009 	 amazing hotel 	 stay Casablanca one week middle July wife daughter ( age 2 ) , mainly rating tripadvisor . disappoint ( even extremely high expectation ) . amazing week , staff excellent , friendly helpful . ' ve world 4 5 star hotel never see hotel staff professional friendly , genuinly happy job customer / guest . room king bed also get crib daughter . bed comfortable bathroom nice ( bit small ) . location hotel excellent anyone want explore Manhattan . 30 meter Times Square . actually not use taxi week , walk around ( Central Park etc . ) use subway necessary ( often ) .The style hotel nice , daughter love tiger statue Rick 's Cafe great . amazing come Times Square , thousand people bustle around hotel , everything quitet calm . I would really recommend hotel anyone want great stay New York . 
 Aug 4 2009 	 gin joint world ... come one ! 	 stay Casablanca 18th-24th July ' recognise description give previous visitor - smells room staff , without exception , delightful helpful ! first contact hotel could happy ; pre - pay thus save 25 % . fantastic deal come NYC get marry book King suite premium room 2 double bed child . we arrive Casablanca late afternoon 18th July give personalise welcome front desk staff . unpacked headed Times Square – close yet far ! Casablanca really truly oasis calm other say … we feel every time come back sightseeing , believe , make 7 day New York pass take – see everything ! great come back Casablanca every day , chill room ( 502 – suite 607 - premium ) , enjoy couple drink snack Rick ' Café heading evening . staff helpful , confirm dinner booking , recommend restaurant special thank John GM lend son belt day wedding realise ' forget even make extra hole belt ' quite fit ! room well - equip , immaculately clean room staff almost invisible efficiency . ' stay 50 yds Times Square ' go noise – really nothing compare hotel ' stay . Casablanca individual Rick ' Café bonus level service set hotel many other . 
 Aug 3 2009 	 will not stay anywhere else - not miss fanatastic Hidden Gem Fantastic Location 	 hotel truely hide gem . 100 step Times Square , right around corner ABC studio convenient subway stop . hotel staff genuinely helpful nice even provide umbrella use . room 410 back hotel quite roomy quiet . king size bed , two night stand , cafe table two chair , closet , dresser airmoire large tv foot bed . room actually large mine home . sheet soft pillow right . usually difficulty sleep hotel , . bathroom small side , tad large home . window air conditioner total control . provide plush robe use complimentary slipper . breakfast remind London . Rick 's Cafe Lounge welcome respite time day night . croissant , bread , bagel , large variety cereal , fresh cut whole fruit , hard boil egg , scone , muffin , fresh juice , coffee [ decaf , regular flavor ] addition Latte / Cappucino machine available day . nightly fresh cut cheese , cracker , fruit wine great way start evening . will not stay anywhere else . true gem heart Mid - town Manhattan . 
