wonderful 	 spend Thanksgiving week Summer Bay Resort Las Vegas wonderful time . exchange week Trading Places International . check - in Sunday breeze please one - bedroom first - floor condo . accomodation newly renovate decorate quite comfortable . king - size bed , two wall mount plasma TV 's , huge tub shower , appliance utensil one could need . location Strip convenient everything early morning run along strip , nightly stroll . transportation week , notice non - stop shuttle resort without transportation . pool hot tub jacuzzi right outside door clean , practically vacant every time use , enjoyable . employee encounter pleasant helpful . negative experience even comment wireless internet become unavailable mid - week , rest week . construction issue minimal disruptive least way . look quiet comfortable place stay , still within easy access Strip , Summer Bay Resort would high list place consider . 
 Jul 1 2009 	 nice place stay 	 staff friendly . 's security & amp ; staff member travel property 24 hour . pool open 24 hour . love . 2 bedroom condo nicely decorate . master bedroom huge . guest bedroom also nice size . both walk closet . third couple fly couple day & amp ; plenty space . couch bed comfortable & amp ; even closet hallway keep thing . large screen t.v . bedrooms & amp ; livingroom . would change master bath would door instead archway . two couple need closed bathroom . plenty close Strip . 
 Jun 24 2009 	 great place stay . 	 stay location June 12 - 19 , 2009 great time . clean neat property . issue weekend ( saturday & amp ; Sunday ) pool build full walk another pool far away unit . 2 bedroom unit large flat panel tv 's every room . fairly quiet since blocksaway main strip , take shuttle Harrahs right action . 
 Jun 23 2009 	 love 	 place really nice Clean , like balcony 's .. people fast check we .. problem take forever bring something need . ! time leave door never even knock door .. ocverall like place shower wonderful ... 
 Jun 9 2009 	 could not ask anything well 	 Summer Bay Resorts beautiful place . feel like stay 5 - star resort . one bedroom huge , ground well take care , staff helpful shuttle great ! pool spa area nice , several tiki hut table two large b - b - q grill ajoined . outdoor b - b - q 23 people meet we Vegas wonderful time . people stay one end strip , comment beautiful place stay . walk strip , nice come back relax Summer Bay resort . thank everything ! 
 May 29 2009 	 shuttle much appreciated cost effective guest 	 stay resort 2 week May 1 - 15th , 2009 . owner another resort Las vegas choose try resort friend stay close . disappointed . construction do unit close noise usually rent . go lovely complete , end year believe . shuttle make stay enjoyable would cost we lot use transit length time . shuttle time , like timeshare shutte hear . renovate unit one need pleasant stay Vegas . pool small well use . room back side , face pool , believe could noisy face pool open 24 hour day far . property large small cart pick deliver strip grocery shopping . approach timeshare sale people . staff friendly bit stress right construction unhappy customer . believe go great place stay future even moment complaint . free internet also appreciate . 10 minute walk strip problem healthy , far heart problem probem relate walk . het day would far people wait shuttle . 
 May 28 2009 	 strip Nice place 	 stay Easter great time . still construction place go awesome shuttle come time strip . Easter egg hunt kid . timeshare stay hotel guest . use apartment large accomodation . great family 
 May 26 2009 	 place awesome ! ! 	 arrive last night place amazing ! sort worried read previous review , since resort almost do renovate ( administrative building not do yet ) room seem do amazing ! 's quiet staff super friendly helpful . 
 May 25 2009 	 Resort Nice beware liability auto 's 	 husband stay week May 10th . resort nice location great . 's heart strip area . one block strip like 4 normal block . amenity home . remind Las Vegas . however : one day BMW park day early evening decide go . enter vehicle , side mirror driver side totally crack . two thing : 1 . early day notice man throw baseball small son ... can not say . 2 . major construction go . look like stone hit . report security photo take one young security female also say witness man baseball . check meet manager state feel responsible mirror , would take superior . recieve letter today say responsible us report insurance company . make we feel like somewhere else try pull fraud stuff . mind , purchase give payment really like resort . sign say park risk major construction go . feel car safe could park somewhere else matter . upset make feel like try put blame true . go fix car reguardless , however happen property principle . could buy timeshare offer we choose like resort , go get blame something like . end beware park car responsible damage even though alot construction go . take matter high people invest money place treat like . know devious folk . 
 May 24 2009 	 Incredible ... love love love 	 say bit worried summer bay read review . however , resort almost finish never hear see construction go . condo absolutely beautiful , elegant comfortable . stay back bldg # 18 , take advantage 24hour transportation ( golf cart ) fro front , touch button building immediately . ( do not forget tip ) shuttle system great , walk strip time be not bad walk . also hotel like Harrahs Rio send shuttle summer bay , plenty option . shuttle stop 12 am , see late show partying , expect get cab , usually $ 10 tip . every 4 bldgs pool , never crowd . fact use night 1 6 night another couple . huge pool , indoor outdoor hot tub . stainless steel grill right outside pool tiki hut table , cute give nice tropical feel . blast , ' m sad . stay Summer Bay , pleased . P.S . golf cart guy awesome - tip well deserve . front desk mostly helpful except one staff , watch Wilma , come rude phone everyday speak . one thing bad day , bad week . blast , ever go back vegas , ; definitely stay . 
 may 16 2009 	 awsome 	 get back week . great place litttle scare first pull place awsome check easy arrive 8 - 30am room ready great . room nice . pool open 24hrs lot shuttle strip.only short walk strip . would stay 
 May 7 2009 	 AWESOME ! ! stay ! ! 	 huge unit , laundry room , full kitchen , large living room , dining area , 2 big bdrm , walk closet , adjoining bathroom , clean . king size bed , 3 50 & quot ; flat screen tv , internet hookup , patio ... step pool , close parking ... quiet ... notice construction . see one Plumber van box outside building . I stay Bldg 11 great ! ! 
 Mar 16 2009 	 LOVED place 	 ' ve read many past review , little worried book , exceed every possible expectation . room BEAUTIFUL ! understand still renovation go ( build next renovate ) , renovation wake we impede enjoyment . walk apartment amazed nice look . 2 - bedroom unit wife , baby good friend wife . bedroom feature comfortable King - size bed 42 - inch flatscreen tv , live area feature pull - out couch ( never pull , thus comment comfort ) comfy chair sit watch even big flatscreen tv . dvd player stereo system iPod docking place ( not iPod , ' m sure be call , iPod , know mean ) . porch nice little table chair sit enjoy first lunch . dining area nice glass table chandelier 6 chair , kitchen well stock utensil , bowl , mix bowl , blender , dishwasher , microwave , gas oven , full - sized fridge / freezer . even dish detergent dishwasher well small Palmolive whatever want wash hand . laundry room feature full - sized washer dryer even little sample pack laundry detergent fabric soften sheet ( refill mid - week upon request ) . wireless internet work without hitch would go far say reliable home service , sadly . make ample use pool spa -- pool heat whirlpool toasty -- feel like happy lobster drink beer whirlpool . staff friendly , maintenance worker see we get car , ask need anything , tell we please tell someone something go wrong , could fix , & quot ; not know tell we , & quot ; say . location - wise amazing . infant son stroller , still take 10 - 15 minute walk strip ( Harrah 's , Bill 's , Bally 's close ) shuttle leave hourly strip well be walk mood . rent car could easily get Grand Canyon , shopping , etc . , not & quot ; must & quot ; car . shuttle Fremont Street well grocery store ( Von 's ) . be strip somewhere shuttle not go , cab cost we $ 11 Luxor , $ 9 Bally 's . guess previous reviewer bad time , must & quot ; OLD & quot ; Summer Bay . maybe go way address previous problem , would truly pick nit order find negative thing say stay . would return heartbeat . 
 Mar 7 2009 	 Great Place . special place 	 place almost do complete renovation . tell room completely renovate . 2 bedroom , 2 bath unit fantastic . completely new . one 50 & quot ; plasma tv living room . bedroom King bed 42 & quot ; plasma tv . master bedroom walk closet , separate room commode , large 2 person bath tub shower . it full sized kitchen granite counter top , full sized fridge , oven , microwave utensil table service 4 . also full sized washer dryer , iron ironing board . like walk full sized completely furnish , brand new apartment . gas fireplace stereo system ipod doc . drive , almost parking cover like apartment unit have . the negative construction building next we , bother wife like sleep . may ask sure get renovate room . new unit way well picture . this soon become one premier property Vegas . 2 block Strip far enough get away , close enough near all . we back . 
 Feb 16 2009 	 Awesome ... good room ever 	 return Valentine 's Day ... little concerned reading review room excellent . first , temporary check desk scared think adventure 2 bedroom room outstanding . check , Steve take we room , carry bag stair ( elevator ) open door . worth least $ 5 . stay Bldg 17 , Room 308 view Wynn , Harrah ' , Stratosphere , Hilton . room come 3 Plasma tv 's ( 50 & quot ; 42 & quot ; bedroom ) , marble counter , fireplace , giant soak tub , nice kitchen , nice furniture comfortable bed . travel lot would compare Marriott / Hyatt Hotel close Ritz . get car , use resort van , walk , hail taxi . walk hail taxis couple day , find resort van take place schedule list make prior arrangement ( ' forget tip ) . wish would take well use , give taxi run $ 8- $ 15 per ride , depend head ? would defiantly stay . draw back , Jacuzzi fritz use giant tub , actually turn well plan ? yes , construction go , manageable work normal work hour . speak staff , still plan complete November 09 . 
 Jan 12 2009 	 depend room assign 	 timeshare open complete . trade 2 timeshare 2 two bedroom unit . give unit old section . parking real problem we build 9 construction vehicle storage unit house parking stall . wind blow , piled garbage start fly even fly balcony . quite large piece hit car also . old unit RCI standard far concerned . floor dirty white sock black . carpet bad shape furniture well worn . fireplace work wasno response call maintenance . unit mean accomodate 6 people , however eneough utensil even 4 people . tub shower stain look dirty countertop well wear stain also . look new unit beautiful experience okay not want spend anytime . not go fotos web sight get exchange . flat screen unit break old tv . 3 6 tv 2 unit work . must tell make 3 separate phone call hand make sure would new unit . time tell unit new refurbish . lucky enough get new unit , love . us backhoe move around bedroom window sunup . would never stay sure room complete old unit give 1 star hotel room . let stress construction beyond imagination point dangerous start blow around . large dumpster overflow whole week ( Jan 2 - 9 ) . planning stay , make sure back building working get yet . 
 Jan 9 2009 	 great new year 	 six people travel Vegas bring 2009 . upon arrive Summer Bay desert club notice renovation still complete new property . check fast temporary front office , staff friendly . walk two bedroom suite greet spacious living room good size fully equip kitchen . keep mind travel stay old summer bay resort less year early . thing start look familiar : sofas , cabinet kitchen furniture . realize room equip old stuff put thing quickly get . party would probably spend little time room . pool jacuzzi heated let say amazing long night dance club . friend 4 girl 3 guy find walk far . 10 min strip . cab average $ 7 transportation great . staff friendly , helpful need . highly recommend anyone staying even go Vegas eat BAUTISTA 'S Hole wall italian restaurant . behind Flamingo walk distance summer bay . great italian food ! overall great week Vegas would stay ! 
 Jan 9 2009 	 room great getaway strip .... try get away . 	 get reservation summerbay timeshare exchange ( elsewhere ) able stay New Years Eve . needless say strip ( entire ride vegas back ) hectic time -- hey , that s Vegas . quite nervous room , lot review hit miss , breathe huge sigh relief enter room first thing see lovely glass dining table high - back chair , new , dark - wood cabinet , plush couch , oh yeah , huge plasma flat - screen tv ( think might boyfriend see ) . bed also large comfortable -- California King , think . also identical tv bedroom . fit bedroom , walk sideway get bed flatscreen wall , bedroom could bit spacious , really not complain . ( time though , feel tv almost big space since end close , apparently call TV & quot ; big & quot ; blasphemy accord BF ) . bathroom also nice large , tub could probably fit 3 average sized people comfortably ( guess 's type stuff go vegas ! ) , shower one over - head & quot ; rain & quot ; type , quite nice well . water get hot , water power good well . Closet nicely do , hanger ( not removable ) . stay week lot thing need hang , bring . also , vacuum room iron . might also available request , not need ask . room also Wi - Fi . free stayed , think per diem feature eventually . location great could leave strip strategically get strip without get ensnare strip traffic . however , without car fun walk . road close New Years walk Wynn heel -- relatively short walk -- 15 -- fun . day drive Harrah 's garage enter strip . take shuttle , make sure pay close attention time , not go hotel often , certain time day . WALK hotel Harrahs look particularly long -- probably would 10 minute . look particularly safe either -- least night . the hotel still grow pain , water least 5 hour morning new year eve -- mean sink , shower , toilet ! fortunately fix time get home . irritating , hopefully one - off thing . I definitely enjoy stay , boyfriend finish final hectic last couple month mostly content chill room watch movie comfortable space , go time -- trip strip pretty brief . however , really try enjoy vegas - ness vegas , may good place since absolutely action hotel , trek strip bit arduous unless make day spend lot time strip hang . tradeoff -- probably will not get room strip hotel amenity price . couple thing irk though bathtub jet -- huge tub , exciting really worth use unless enjoy plain bubble bath . also , receive maid service . stay week one come -- think even time share , stay week , get one maintenance . huge deal , still . * * future reference , stay build 7 , extent pick room / building , seem one renovated one . number quite odd though , right next building 18 , can not say building newly renovate old . 
 Jan 6 2009 	 great ( get newely refurbish unit ) 	 first thing first , huge renovation project go moment experiance traveller different . give old unit new location ( Desert club ) great accomodation bad . there however small problem . room ready check time tell would tell , wait hour still one see us enquire desk tell indeed ready . first night arrive toilet would flush maintanece completly remove toilet fit te greese ring ( nice way spend ur first night vegas ) Location okay 10 minute strip involve walk fairly un - friendly look street , find good way go througth imperial palace car park anbd casino floor . pool nice heat Sep even vegas cold use . problem shuttle service hotel put supermarket 45 minute walk away . place avalible run one day . shuttle service strip Freedmont nice touch help transport do not car remember book well advance ( 24hr ) sneek peek newely refurbish unit beautiful leather arm chair , gas fire , beautiful kitchen etc . althought stay great would deffintly come future gurantee one new unit . 
 Dec 31 2008 	 outstanding vacation ! 	 family enjoy week 's stay Summer Bay Resort Las Vegas Christmas week 2008 . stay 2 bedroom 2 bath condo newly renovate . condo spacious , tastefully decorate overlooked pool hot tub . gas fireplace push button operate timer beautiful welcome cold day outdoors . room spotlessly clean resort staff change sheet towel midweek . Summer Bay locate 2 long block Las Vegas strip ( 1/2 mile ) easy walk . Summer Bay also free shuttle casino along Strip regular schedule . use several occasion find convenient time . resort staff friendly , helpful easily access . family really enjoy space ammenitie Summer Bay Resort Las Vegas . return property next visit Las Vegas ! ! 
 Dec 24 2008 	 New Summer Bay improve 	 stay old Summer Bay love close vicintiy behind Imperial Palace - easy walk strip . prefer apartment syle unit oppose hotel room . recently move across Koval Lane still renovation ( three five pool open ) heat pool , jaccuzi , landscape wonderful . furnishing new toprate . two bedroom unit three plasma tv . eat time strip never use full kitchen except put drink fridge . walk Ellis Island casino breakfast Tuscany casino ( strip ) good deal . dirty sight walk strip beer bottle litter could take free shuttle resort various location strip avoid view . be also nice avoid walk smoke - fill casino get room . room could use radio / cd player . overall nice quiet stay spacious accomodation know back . 
 Nov 29 2008 	 would not return 	 main concern distance strip . although & quot ; & quot ; 10 min walk Imperial Palace , not pleasant one . Koval Lane busy road . street lead strip litter garbage - break bottle , paper , etc . ( recycling yet arrive Las Vegas . ) creepy walk back dark . there shuttle service , not appear keep schedule . wait 15 min ( past schedule time ) shuttle show take we Ballys strip , give . guess could always get cab ... pay buck strip . the accommodation fine , great bargain , opinion . club house finish yet . hopefully also convenience store nearby future . feel Summer Bay Desert Club isolated location . would return . 
 Nov 10 2008 	 disappoint 	 get tell would call we room ready take handicap person never call . check person rude . hot water 3 day tell room switch . toilet plug . BBQ grill DVD player radio say . trash can sight . furnishing nice . no patio furniture request . sheet flat & quot ; stayon bed . the appliance new . bath tub roman tub use hot water hot water tank 30 gallon . resort rate triple gold I m sure . transportation always late seem one care problem . 
 Nov 2 2008 	 terrific staff location 	 entire staff Summer Bay could not helpful cheerful . one friend break foot . security staff carry 3rd floor , reservation staff change we first floor room . 3rd floor room refurbish gorgeous entrance one bathroom living area . 1st floor one not refurbish , adequate certainly help friend . shuttle bus great ; concierge print boarding pass flight home ; Ellis Island Restaurant recommendation top . ground still build not 12 pool yet , one nice hot tub . thank make stay pleasant . 
 Oct 31 2008 	 scoop Summer Bay 	 scoop Summer BayFirst , read review DiverDiver Oct 28 . hear numerous complant construction noise , take several trip around resort find little . room face Koval Ln lot street traffic noise . willing trade const noise mgr real hepful trading room . little soundproofing , well none , room . & quot ; Gold Crown time share & quot ; unit . 100 % remodel expensive furnishing . comparable high end time share ( Westin , Marriott ) room large 2 BR three hi def plasma tv . nice . unit Diver stay & quot ; rental ' unit . wi - fi ethernet bring LAN cable plug phone . work well 5 star ! 's plenty security , resort gate officer , maint , maid nice helpful . 2 nice pool several come . 11 pool chair guest lie towel cement . lot shuttle bus take . 's miss strong middle upper mgmt . thing still chaotic big move front desk staff mgmt little stress complaint . lot little detail miss , not get room til late day not get phone call ready soap dish shower . put soap , shampoo , toiletry etc ... shower flloor . lot senior , expect ground floor unit , guest wheel chair 2nd flr ! . ADA unit see railing room const . GREEN friendly par Vegas . pilot lite fireplace run 24/7 noisy . mgr would not turn . recycling , mgr say leave lite incoming guest ( mine ) etc . will give 4 star furnishing think next month , expect lot little issue noise much help . 
