amazing 	 stay hotel head Paris Eurostar honeymoon ! will honest - bit budget cheap 4 * hotel could find within walking distance St Pancras - expect much . staff friendly check , hotel clean well present . bed HUGE comfortable indeed , really amazing thing view ! ! ! 14th floor direct view London Eye . way hotel organise mean pretty much room brilliant view London , book special room upgrade . excellent value money - wonderful start wonderful holiday ! 
 Oct 6 2009 	 wow 	 stop 1 night way back hol would liked stay long . room high standard London hotel , £ 109 1 night - bargain . room really nice modern decor layout . bed comfy . Kettle associate equipment appreciate . Bathroom modern great huge bath tub ( well shower . room good size . overall brill definately go back . downside noise road , bar man say late make we couple cocktail want . though bar still open , think could not bothered - want money ? . however , determined cocktail next day worth wait ( recommend lollipop , yum yum . great location , great room exellent value . 
 Oct 5 2009 	 Perfect Location 	 hotel 's location excellent . 's minute away St. Pancras station access London Underground Eurostar service Paris Brussels . 's perfect traveler arrive continental Europe train 's need take taxi . reach important sight within minute tube . also many restaurant cafés near hotel . for London hotel room big comfortable also loud face busy Euston Road . would recommend ask quieter room side building . room good condition except mattress already worn . thing miss room second seat . the quality buffet breakfast good . choice also good woul not pay 15 £ buffet not include room rate . the staff friendly helpful problem check - in check - out . 
 oct 4 2009 	 Convenient 	 stay 3 night weekend standard double room . arrive 12 noon Saturday tell room would ready 2 pm official check - in time . explain situation guy check - in promptly find we room 10 minute really good start . room adequate , nothing luxurious good clean enough . good thing hotel location . everyone already mention proximity St Pancras & amp ; king cross station hotel also within walk distance Euston station bus terminal . Stayed Hilton Euston last year definitely prefer Novotel . 
 Sep 22 2009 	 Excellent Location Great Staff 	 3 night Novotel St Pancras impress . location less 5 minute walk King Cross station connect Eurostar France destination . service front desk staff excellent . query bus tube destination explain detail without concern ... professional staff . the room high standard coffee / tea facility , clean new furnishing comfortable bed . there course internet room charge ... go downstairs could connect FREE British Museum next door WIFI laptop . find hotel easily Piccadilly Line tube ... would stay sure ... 
 Sep 22 2009 	 central adequate 	 Novotel St Pancras block away station Eurostar come . , central . room ware large clean although hotel situate directly Euston Road , incoming sound traffic . neighbourhood many restaurant , pub place breakfast , not go expensive breakfast hotel offer . charge 15 Ponds good breakfast third price dozen place less 10 minute walk . arrival pity although specifically ask twin room two bed , get room one bed . go reception , tell room also sofa - bed . well , sofa 1 meter fifty centimeter long unless small child , way sleep . fact blacket pillow & quot ; sofa bed & quot ; giveaway primary function sofa not bed , couch . tell receptionist would't accept room want room book . try convince we argument large room top floor , not work , sigh follow not professional finally give give we twin . another negative thing keep add breakfast online bill display television . every day go explain not use breakfast hotel mention reason would taken acount , repeat step every day bid frustrating time - consume . rest hotel alright short stay . swim pool , lot London city hotel , even four star one , not one . trouble reception mix - up billing breakfast not occur , would rate review four star instead three . think hotel worth money London visit . 
 Sep 22 2009 	 issue 	 hotel fine spending time , however close tourist spot . located couple block away St. Pancra / king Cross station . room fine clean ; although show wear - crack tile bathroom chip furniture nothing would put one off . Booked expedia.ca $ 157 Cdn / night - bad thing consider . 
 Sep 21 2009 	 really nice hotel clean close station could ask ? 	 get hotel discount rate £ 298 three night booking.com , still quite expensive that s pay four star hotel central London . room huge nice flat screen tv , huge bed , iron , safe etc . staff friendly room clean every day . bad thing say : hate bathroom door- make frosted glass mean anybody room could see toiletthe road outside busy night good open window 's air conditioning fan be not really problem . 
 Sep 20 2009 	 good room great location great breakfast 	 stay Novotel St Pancras father February . land Heathrow quite early morning , despite arrive hotel around 9.30am , room ready . felt great shower rest fly way Adelaide ! unfortunately Qantas manage lose dad 's luggage , staff hotel helpful . keep contact airline , organise delivery , upon return room day , suitcase room . really go beyond help we ! one good thing hotel location . Heathrow Connect take we Paddington , catch underground king Cross St Pancras . hotel basically block away station . 's heap underground line run , get almost anywhere London , also Eurostar Gatwick Express . 's close Euston Station Euston Road 's myriad bus choose . be keen walker go along Euston Road Tottenham Court Road Oxford St . would say 's 20 - 30 minute ' walk could take public transport . also quite easy walk British Museum well . the room medium - sized comfortable . hotel obviously renovate recently , bathroom slick shiny . want stay hotel , make sure get breakfast include , 's fantastic . hotel breakfast , 's Novotel St Pancras breakfast . ' ve never try buffet breakfast variety food . even probiotic yoghurt ! couple computer lobby pay use - unlike Novotel hotel , iMacs free internet . British Library across street sign use wireless internet free , wi - fi device . 
 Sep 20 2009 	 Awesome location be come rail station leave . .. kinda pricey 	 1.5 day London Paris european vacation . location awesome 's convenient rail station Tube ( Tube location like hub line go anywhere city . hotel nice , nice huge fancy lobby busy bar scene , 16 plus floor room neat view city . room clean , great size , Modern rennovated design flat screen look high end . honestly though place pretty darn expensive . splurge since not know expect could not find anything else decent near train station . feel like location key bang city day half . 
 Sep 12 2009 	 disabled stay hotel 	 phone hotel prior stay ask facility disabled assured shower accessible roll roll facility not say shower chair provide handgrip large warn sisn advise floor tile slippery wet able use shower stay .Due lack room beside bed side possible get wheelchair beside bed enable get way get foot bed crawl end .this room one hotel accessible room intend disabled traveller apart large room suitable . a letter manager point problem suggestion overcome problem minimal expense even get acknowledgement . 
 Sep 6 2009 	 nothing special 	 hotel conveniently place , especially take Eurostar . it clean somehow remind airport departure launge . much character . also , staff indifferent say least . this hotel ok manage get good deal not expect anything ordinary . 
 Sep 5 2009 	 Clean Hotel indifferent service 	 stay 2 night Aug 16 - 18 . bid Priceline around US $ 110 decent price . hotel location also near St Pancras Eurostar station bring we Paris extremely convenient . tube station Eurostar station . arrive 8 am morning . not offer early check - in even though fly 13 hour London . service counter also alittle cold guess staff wait change shift . hotel room big nice view Eurostar Station London suburb . major attraction tube stop away would not recommend primary base . catch 0655 train Paris hence work favor . check brisk indifferent affair . overall room nice service indifferent ... room improvement . 
 Sep 1 2009 	 terrific place stay ! 	 love hotel , excellent location , three big train station close could Tube everywhere problem . hotel bar great , staff could not accommodate . breakfast 15 pound , pricey we oldie , Pret Manger right across street good ( healthy ) breakfast choice . not forget Mabels Tavern , also across street Mablethorpe Road little , nice quiet ... smokefree ! ... pub excellent ale ! 
 Aug 18 2009 	 Fab Hotel ! 	 moment black cab pull Novotel , porter outside door carry bag lobby . staff professional demeanor super friendly time . easy swipe card access room , small - medium size . flat screen television , control room temperature mini bar – unfortunately ' work . inform staff arrange repair / replace . luckily ice room level 9 . hotel locate great position – close St Pancras International Kings Cross Tube . would definitely stay . 
 Aug 15 2009 	 Great Hotel 	 stay hotel catch Eurostar . Great Location Friendly Staff clean . would recommend . 
 Aug 14 2009 	 great location ok hotel 	 one large , chain hotel . 's nothing particularly bad good . agree opinion follow : - need eat ( breakfast seem expensive ) neighbourood easily good breakfast 6 - 8 gbp , instead 15 gbp.- room call ' superior ' quite small , perhaps take ' executive ' feel difference space . finally , reception staff indeed really well train cooperative . beginning try ' convince ' book two room since check - in 2 p.m . pay two room . yet , manage ' convince ' check carefully finally abandon silly idea . the reality two reservation : first weekend another one consecutive mon - tue staying business . course , not take note , understand intricacy remind Sun evening would probably clean room Mon morning allow stay room . at end stay , fill customer ' ( dis ) satisfaction ' questionnaire describe great surprise , get letter apology week so . I not discourage anyone stay general ok hotel . 
 Aug 10 2009 	 Standard 	 expect standard service equipment hotel £ 100 . room large ibis , similar Holiday Inn . 2 twin room 4 people , one room free bottled water one . ask front room could free water say . bottled water ? think case even standard service UK , rate hotel & quot ; bad & quot ; . well hotel London . 
 Aug 6 2009 	 weekend break 	 can not fault hotel , get bargain break weekend £ 99 per night include breakfast plus free upgrade room get . ideal location travel train euston , less 5 minute walk . nice bar area . 5 minute walk St Pancras underground go sight seeing , good hotel area . stay 
 Aug 5 2009 	 deserve five star ! 	 family 11 stay 6 room , 4 night . hotel perfect every way : convenient location train bus , friendly , informative efficient hotel staff , comfortable , pleasant , spotlessly clean , quiet room good facility , super shower , nice view , good air condition , laundry room - clean service , good internett possibility , well function lift , exceedingly tasteful furnish layout thoughout whole hotel - pleasant atmosphere everywhere . 
 Aug 3 2009 	 friendly staff 	 hotel great staff friendly detach . wrong information taxi fare .Just treatment would expect 4 star hotel . teach staff friendly ! 
 Jul 31 2009 	 great location - need eat hotel 	 stay week husband . hotel brilliant location - right king cross Euston Stations . plenty bus line pass right front hotel be keen Tube . Buy Oyster card - be worth weight gold ! right next door British Library ( definitely worth look be ! ) need eat hotel , especially breakfast close GBP15.00 , around corner get egg , bean , bacon , toast tea / coffee GBP3.95 . prettiest breakfast , enough fill day . many place eat across road hotel , around corner , within block : Pret Manger , Starbucks , Pizza Express , Euston Flyer O'Neill 's directly opposite , Rocket ( pub ) corner , Bella 2 Chalton Road Mabel 's tavern within small block ( 2 min walk ) . also Chalton Road deli , laundromat mini mart ( Nisa Local ) , well handful restaurant / cafe . staff pretty friendly helpful , would another language english mother tongue ( illustrate call Housekeeping ask bucket husband soak swollen foot , bring plastic bag ! ) not alarm view bill tv see ' ve charge breakfast not eat hotel - charge everyone breakfast everyday , take 's time pay bill . little backwards , guess work themthe room good size ( executive room ) , bed really comfy view pretty good ( 12th floor ) . could whole lot bad stay . 
 Jul 29 2009 	 convenient location decent hotel 	 stay eight year old use Tesco deal voucher . pay £ 155 per room use voucher normally would cost £ 99 not complain convenient spot arrive St Pancras , five minute walk . easy check , room 6th floor view British Library . everything need room problem . breakfast card leave staff bring one within 15 minute ask . spotlessly clean good housekeeping . friend stay executive room receive excellent customer service . staff even phone soon arrive ( large , equip room ) see everything okay . thing not like breakfast . morning quite cold , thing miss ask , coffee bitter hot chocolate instant make water ! would recommend would stay . 
 Jul 27 2009 	 nice hotel decent location okay staff 	 hotel priceline good price . room nice , clean everything need . location good , heart downtown , close ( 15 min walk ) . heart city well we heart ( Trafalgar Square , Soho , Leicester ) extremely crowd crazy . right next St. Pancras station , make extremely convenient anywhere city . staff , however , not seem many good recommendation regard restaurant area , , would expect hotel staff . do not eat restaurant , way overprice London food already pricey enough . 
 Jul 27 2009 	 good surprise . 	 ' ve stay Novotel 's bit shoddy downmarket . Novotel St Pancras pleasant surprise . 's prime location king Cross / St Pancras Euston station . Euston Road not nice area ( although be get well ) hotel stand apart hotels area . room spacious London . good amenity : ironing board , trouser press , safe , mini bar , flatscreen tv ipod docking facility , air con . downside room queen bed soft like sink middle . decent gym fifth floor good view St Pancras station . do not breakfast club sandwich afternoon great . pleasant modern bar / restaurant area . if need hotel area ( train connection ) novotel good bet . 
 Jul 25 2009 	 usual great hotel 's happen evening buffet ? 	 ' ve stay hotel numerous time business logical choice day away short break . twin room always , spotlessly clean . breakfast brilliant always staff can not enough help - provide soya milk upon request . big disappointment though evening buffet not avilalbe either two night stay , despite advertized foyer tell check still available . didi not fancy menu ( poor choice veggie ) eat Pizza express opposite - good incidentally reasonably price little noisy . all yes , continue use particular Novotel overall be good . disappointed facility evening meal though buffet exceptionally good . restaruant almost empty stay probably speak volume . 
 Jul 21 2009 	 Excellent hotel great location 	 really good hotel good location London . excellent service staff hotel nice bar restaurant . room top floor great view London . room clean comfortable . locate right beside St. Pancras station plenty pub , cafe restaurant nearby . bit pricey though . 
 Jul 20 2009 	 beautiful spacious room : great bar / restaurant staff 	 book quite far advance on - line get really good rate hotel . impressed quality room . spotlessly clean every day large . staff fantastic particularly bar restaurant . remember we stay helpful . gym clean quite well fit . great location anyone use Eurostar St Pancras international train station . 
 Jul 17 2009 	 Novotel get thumb ! 	 arrive hotel greet warm , friendly - even enthusiastic welcome . work book we twin room , lovely . exceptionally clean , roomy even rather plush . bathroom modern - perhaps slightly modern ! - not keen see door , could live ! bed comfy consider close proximately Euston Road , outside noise minimum . the room equip flat screen tv , safe , hair - dryer , trouser press plenty storage , obviously not need short stay . due oversleep sadly could not make full use wonderful buffet breakfast hotel offer . manage grab muffin fruit though , seem shame waste money spend pay breakfast . my slight concern , maybe health safety freak side , fire escape route ( stairs ) not clear second floor . usually always take stair order orientate evacuation route , however could find way look like area seem bound . anything could improve hotel would say clear information regard evacuation , mention viable alternative lift , we keen ! , extremely tired , perhaps effect ability get lose - rather huge hotel ! Novotel usually fall bracket ' budget hotel ' hotel definitely far superior ' budget hotel ' Euston / king Cross area . unfortunately reflect price , honesty work not pay accommodation would consider cheap alternative . however want stay hotel high standard not want fork absolutely ridiculous amount money , Novotel St. Pancras probably good bet ! hotel close Euston Kings Cross ( St. Pancras / Eurostar ) station , therefore public transport link easily assess . also good range restaurant , cafe , bar pub local vicinity small theatre ( Shaw Theatre ) directly next door . I almost certainly stay hotel future - inform work prefer choice . 
 Jul 6 2009 	 miss mark number way 	 hotel conveneint euston king cross / st pancra . get room breakfast £ 99 think pretty good . book queen bed room . get give two single smell tobacco even though say non smoking . ask move - eventually get room 4th floor look onto euston road . would recommend ride lift top get godd view london skyline.bland room corridor decoration . tv station pretty good choice . eat restaurant dinner . food seem overprice - eat think quality go . try get dessert nobody would serve give quarter hour . main issue road noise - even 4th floor siren alarm easily hear , seem go night disruptive . breakfast pretty good though coffee bitter sliced bread , toast - peculiar.mentioned road noise booking . advise ask quieter room round back next time . would suggest need good night 's sleep . 
 Jul 5 2009 	 good stay 	 really enjoy stay Novotel St Pancras . ' good Novetel ' ever stay far . its location really convenient , especially ' take Eurostar ! ' within minute away walk King ' cross - St Pancras , Euston station . get easily around London there . plus plenty place grab something eat nearby -Tesco , Prêt à manger , starbuck ton pub … .The hotel modern bright . get panoramic elevator ! view London great , especially night . reception staff extremely helpful pleasant . room comfy clean , bathroom spotless ! shower curtain , water spill bit ' take shower . plenty big towel provide , need bring your . the bar lobby alright , efficient service nice drink - although bit pricy . breakfast also expensive -£16 . definitely would go back ! 
 Jun 22 2009 	 excellent location Eurostar 	 stay one night en route Paris , 5 min walk St Pancras . reception friendly courteous upgrade we executive room . lovely room fantastic panoramic view city , coffee maker iron etc . robe . bed comfortable room quiet high floor . breakfast sublime , everything could wish .. catch train would stayed graze day ! agree website price quite steep compare local hotel , one good quality worth extra . downside stay lack good restaurant area ( however nothing hotel ) .We get good deal thro Yeego , rather wary , concern unfounded . would recommend would return travel Eurostar . 
 Jun 16 2009 	 WOOP woop ! ! ! 	 brilliant location Hotel . would say five star 4 . room service call 7 am dad . breakfast 10 minute . get great deal price travel via website go elsewhere get quality money . minute walk St. Pancras 5 minute Euston perfect location . brilliant gym service great tv .I might blind though go celebrate wonderful win BURNLEY FOOTBALL CLUB . make tv well watch Elliot score highlight ! good . 
 Jun 13 2009 	 nice hotel get good price 	 need stay part London business , tough time find suitable hotel area fairly short notice - several other looked already book solid . hear good thing Novotel NYC , decide give one shot , even though little want pay . end happy choice would stay Novotel again . the room handsome , comfortable , large . American not sure expect in - room espresso machine ( think coffee would strong ) actually quite good . also appreciate mini - fridge ( well ok , mini - bar , lot room whatever want stash ) , other point bathroom definitely get point aesthetic . nice big desk work high speed internet , alas , free wifi . service great . check ask room view hunt around see available give room 14th floor overlook Euston St. view London Eye , St. Paul 's , Big Ben . restaurant bar staff attentive pleasant . generally avoid eat hotel restaurant , second - to - last day trip wallet steal briefcase meet colleague coffee shop another part town . cash credit card , nowhere else eat night hotel ( luckily , give business credit card charge incidental stay ) say pleasantly surprised - everything good , especially perfectly cook roasted cod , not crazy expensive either . exactly charming part town would stay London family unless need near St. Pancras train station , serve fine business would stay could get good rate . publish rack rate ridiculous - 280 british pound ! - look like discount frequently . 
 Jun 7 2009 	 great disappointment - get cheap well accomodation 	 choose hotel great location travel - situate King 's Cross / St . Pancras Station Euston Station . pay round 150 GBP per night definitely much . yes , room acceptable size , nice LCD tv quite good choice breakfast buffet . but number thing work : - warm water turn day- one three elevator work ( 5 minute wait elevator ... ) - cable internet work ( wireless available , internet via tv work theory , practically usable ) - standard tv channel could display acceptable qualityservice poor four star hotel : - long queue seated breakfast buffet , simply staff- room available official check time 2 pm - impression even try find available room- want preauthorize 600 GBP credit card , though company guarantee bookingSo , would say : novotel good value money . get good budget hotel room GBP 50 - 60 London . get well quality hotel price Novotel charge ... 
 May 29 2009 	 Hotel nice view 	 love hotel . perfect location ( close St Pancras King 's Cross ) , clean , nice staff , restaurant offer wide breakfast menu view - amazing ! 
 May 27 2009 	 good hotel great location 	 3rd time ' ve stay hotel probably always pick one visit London . great location , 5 minute walk Euston Station 2 minute walk St Pancras ( Eurostar terminal ) . staff restaurant bar friendly helpful service excellent . ample self service breakfast keep & quot ; stock - up & quot ; day ! yes 's modern chain hotel little character excellent place stay city many dreadful hotel ! ! 
 May 21 2009 	 fall really lucky one superb stay 	 5 minute walk Euston Station 2 minute St Pancras Eurostar . take punt Expedia superb room 15th floor brilliant view ; make sure ask room face city . staff nice , pleasant helpful big breakfast keep we go way Paris . 
 May 6 2009 	 nice location 	 stay 3 night complain . brekfast buffet great staff helpful friendly . location nice want walk London City go tube . 
 may 5 2009 	 fit king 	 welcome attentive staff , large well place room , quiet relax 
 Apr 12 2009 	 lovely room great location superb breakfast good gym . probably favourite hotel . 	 stay Novotel St Pancras around twice month , base stay central London shopping trip . love hotel . room stylish nicely sized , bathroom gorgeous ( love glass sink ! ) . bed extremely comfy , despite Euston Road fairly noisy , rarely stop good night 's sleep . temperature / air con system excellent easy use . staff always friendly efficient . normally pay around £ 255 flexible rate two night ( room ) via hotel 's website , though sort price available several week advance . past month book advanced purchase rate two night include breakfast two , around £ 230 . feel pay stay hotel well worth it . the breakfast buffet superb , LOADS choice - English cook breakfast , lot cereal , cold meat , fruit , yoghurt , juice , pastry , bread , roll . restaurant area stylish modern . not try restaurant , normally go one restaurant nearby Brunswick centre . the gym quite well equip , far hotel gym go , immaculately keep . the hotel situate convenient area - five minute ' walk Euston Kings Cross station . five minute ' walk hotel Bloomsbury , find license , restaurant , lovely Brunswick centre , Waitrose , clothing store several restaurant . out hotel stay , think favourite . would recommend anyone . 
 Apr 10 2009 	 noisy room good location 	 make simple , good also bad point place : + location - easy access tube rail station . fancy walking , take 15 - 20 min walk Oxford Street , + cleanliness - good , + Coffee tea make facility ok , good selection tea shortbread biscuit , - noisy - hear traffic outside go night long , also could hear people next door talk ( ! ) , - bed not comfortable , soft get hurt back , - Bathroom minute ( prove tricky open door somebody inside ) , - Breakfast overprice really 's plenty cafe vicinity building , - tv not work properly , press button remote wait approx 2 - 3 minute work . 
 Apr 6 2009 	 good value money close transport 	 good breakfast choiceclean , big amenitiesin busy Euston close undergroundonly bad thing coffee ... 
 Apr 6 2009 	 nice room great view ! 	 get hotel good price novotel website . nice modern like many Novotels . good size room London . spend day working room , nice view london 11th floor . stay next time go London . 
 Apr 5 2009 	 great stay 	 stay one night family . get hotel early normal checkin time one room ready could take luggage refresh go city . hotel short walk euston stay walk st pancras euston square difficulty . room large , breakfast amazing ! lot selection could not fault location . everything stay great . even manage check lugage luggage room next day hassle . great . 
 Mar 16 2009 	 Perfect location Eurostar 	 overnight quick access Eurostar terminal St Pancras . locate busy Euston Road , 3 minute ' walk rail terminal . also right next door British Library . hotel either new renovate modern stylish . room normal size ( mean extra large London standard price category ) modern pleasing design . really like bright street level restaurant breakfast . check - in fast efficient . irritation cost internet access room & quot ; blowing & quot ; noise airconditione - common issue hotel like . purpose , hotel absolutely perfect . circumstance , will not hesitate go back . 
 Mar 4 2009 	 typical overpriced chain hotel noisy 	 's little get excited regard hotel . be another entry long list bland , faceless chain hotel support business traveller 's existence . and , honest , 's bit tatty . room quite small ( suitcase table inside wardrobe ! ) , bathroom moderate amount rust mildew around place , bed particularly comfortable ( indeed , human shape clearly , year , embed mattress ) .The big complaint hotel noise . window great job keep street noise , say internal noise . could hear bathroom plumbing noise several neighbouring room throughout night . door slam late night early morning echo along corridor . need sounder sleeper order get six hour night . internet access expensive , slow , keep break . breakfast uninspire rather limited selection hotel class . coffee , frankly , disgusting . not think instant coffee , not taste far off . would go back ? doubt , really nothing grab . want something cheap , area , be Premier Inn across street . can not imagine have much bad ! 
 Mar 2 2009 	 Perfect location Eurostar ride 	 taking eurostar need overnight stay - place fit bill . easily within walk distance even roller suitcase . plus easily get hotel airport use underground . great breakfast . certainly price reflect location london - pay . however cheque around go . price pay travel company less advertised arrive . several online travel company well rate per night well . definately good hotel business stay need . 
 Feb 28 2009 	 beware room size 	 visit novotel st pancra since early 2006 . use 3 room type , standard , superior executive reclassify either superior executive , problem room change , may book superior room get big spacious room 14th floor view accross London could end shoe box 2nd floor overlook bin ! ! ! hotel handy king cross euston train station bus pass front hotel day night easy movement around London . number 91 run past hotel take trafalger square 15 min . Breakfast overprice £ 15 per head would recommend pay unless alread include roomprice . well breakfast accross road premer inn £ 8.Room price vary geatly different website , good price seem novotel.com . average looking pay £ 100 per night superior room say early beware room size . 
 Feb 5 2009 	 ok way overprice get . 	 return 3 night stay hotel . normal room consist muchthe stuff hotel calibere.its clean comfortable , bit thebasic side.its handy st pancra 300 yard euston 300 yard way.walk room ( pre book ) cost £ 250.The internet cost 12.99 24 hour , outragous , consider price room , 1 hour £ 7.99.beware : go bar sit order drink discretionary 10 % service charge add anything resturant cafe . I request remove checking , way subsidise wage staff lot hotel london . ( practice soon outlaw ) .they happy , remove . LEGALLY OBLIGED pay charge . good thing , tip waiter , deem fit know get tip . I think gereral hotel ok , way overpriced lot well less london . 
 Feb 3 2009 	 Standard Big Hotel 	 Novotel hotel absolutely fine good location especially be travel train Euston , king Cross St Pancras . my room clean two single bed . plenty tv channel ( sport ! ) .Shower clean powerful . gym freezing well look sauna steam room also good condition . Buffet breakfast fine mass catering effort . absolutely nothing wrong hotel . be big rather impersonal exactly need do . finally - get lift top floor great view ! 
 Jan 21 2009 	 Perfect Eurostar getaway 	 get great deal early January deal directly Accor website ( parent company ) . 's perfect hotel be Eurostar first thing morning . , couple minute stroll away . be big , impersonal clean poor toiletry bathroom . shower cap ! mend kit ! hair conditioner ! body lotion ! need one two luxurious touch bring standard , 's case get pay . not bother breakfast - St Pancras offer sort interesting option , include delicious porridge traditional british baker . 
