great 	 rare thing - large hotel personal touch . register impose lobby , someone let slip birthday . two hour later , wine , chocolate card arrive room . can not buy sort pr . have arrive three hour ahead check - in time , accommodate without fuss ; 's underestimating value flexibility weary traveller . concierge travel / tour rep . equally helpful . hotel great location 42nd Street , many sight within comfortable walking distance . be go far afield NY state , Grand Central Terminal right . room large clean bed comfortable . bathroom surprisingly small ( even english guest ! ) , wife bemoan lack decently light magnifiable mirror contact lense , make - up etc . also , seem one place eat hotel around 1200 room . small quibble . overall , terrific . 
 Nice Thanksgiving New York 	 stay Grand Hyatt six night Thanksgiving week . overall nice hotel , minor glitch way diminish wonderful week New York . upon check - in , front desk agent inform upgrade & quot ; Lexington Suite & quot ; . nice big room overlook Lexington Ave . , Chrysler Building right next we . beautiful view room 1926 ! bed absolutely wonderful ; comfortable luxuriously soft . normally trouble fall asleep strange city ( especially New York horn honking 24/7 ) , problem bed . nice flat screen tv swivel could either turn face bedroom face tv area . great touch . nice feature in - room safe , iron ironing board . bathroom amenity also unique plentiful . follow minor problem notice stay : wall thin ( not hotel day ? ) . next door neighbor ( room 1925 ) bunch loud guy bang around yell hour day & amp ; night . make matter bad , smoke storm room . room non - smoking smell permeate hallway sometimes even come room . Nasty . plenty hot water take forever come [ hot ] faucet . let water run several minute come hot . guess travel long way . long day sightseeing walk , back hurt , decide take & quot ; sit bath & quot ; relieve ache muscle realize tub stopper not close . try try not work . use washcloth plug drain ( not work well ! ) . not bother report maintenance since not plan take bath . oh , wireless internet $ 9.95 24 hour . use connection fast & amp ; easy ( Mobile Hot Spot ) . not bother eat restaurant use room service hotel . comment quality see price stay away . nine dollar coffee ( one person ) ? thirty - Four dollar french Toast ? really , ridiculous , even New York . restaurant price , & quot ; jack - up & quot ; price room service . favor grab breakfast ( meal ) Grand Central Station . right next door will not even go outside access . take corridor low lobby level make right . take directly . be also starbuck corridor actually less expensive & quot ; coffee cart & quot ; lobby hotel . favorite place call & quot ; Hot Crusty & quot ; . able buy 2 large coffee , bottle OJ , bottle milk wonderful croissant total 8 dollar change . honestly , not know would ever pay extravagant hotel price . still shock ! be another money - save tip : come airport , go online book Super Shuttle . yes , share van make several stop , lot less expensive ( easy ) taxi . ride La Guardia $ 13.00 plus tip ( 16.49 ) . also use go back airport . save buck book round trip . overall great hotel , little bit away major noise crowd Times Square . would return , especially know get around pricey add - ons . 
 nice hotel 	 location hotel great look upper midtown new york city , also easily connect elsewhere via grand central station . cheap hotel stay grand building . staff credit hotel really helpful , polite friendly . room adequate size quiet good view side . I would however agree reveiw say business focus . conference business guest seem get slightly preferential treatment whilst house . 
 fantastic location 	 proximity Grand Central Station Newark airport shuttle stop make hotel convenient location . front desk busy , help quickly check early not issue . initially put extremely small room , notice much large room , call request change , deny . speak different front desk agent person , give slightly spacious room . furnishing average public area seem clean well - maintain . overall excellent business choice NYC . 
 Nov 14 2009 	 pretty good overall great location 	 stay 4 night scathing review , pleasantly surprised . check fast , room good . refurb tasteful stylish . bathroom small enough space wall shelf put thing . good location , connect Grand Central close Bryant Park . wall paper thin hear nice . two morning people next door fairly loud music lot cough like room . provide kettle tea bag / coffee basic happen world , yet case honest seem cheap . pay fairly high rate hotel ' Grand ' Hyatt even tea bag . bad part though strong smoky smell . room definitely smoke room previously spoil experience totally . 
 Nov 14 2009 	 ordinary Grand Hyatt Extraordinary New York ! ! ! 	 stay 6 day Mum Dad . 3 people twin standard room . Mum Dad leave canadian holiday 3 day , cabin fever not problem . got good rate ~us $ 180 / night , trawl hotel website find mismatch Hyatt website . use Hyatt Best Rate guarantee get rate US $ 180 / night . ridiculously cheap ny . also consider Marriott Times Sq , Hyatt membership potential point earn get one line . want hotel luxury clean comfortable , plus comfortable Hyatt brand . check easy . check - queue , try automatic machine checkout - easy use . room small - expect ny . view window Chrysler Building ( close ) . two double bed - much room move around 3 people room . flat screen tv , desk area executive chair , small armchair . one small wardrobe behind entry door . one good thing ability open window - Mum 's asthmatic need fresh air . bed comfortable . Dad step glass shard ( already room , visible eye ) carpet . ask housekeeping twice attend . in - room minibar - go corridor ice machine / drink dispenser . hotel big - do not wait long elevator . bathroom small . basin , toilet , shower bath shower curtain . much room store toiletry . little dark - could light . water hot , pressure good . toiletry good . do not try restaurant see small mouse run along floor restaurant first night . could not bring eat hotel . many alternative food close hotel - delis , sandwich shop & quot ; Pret & quot ; etc could walk 5 min Times Square meal . hotel right next Grand Central Terminal ( train station ) - could not hear train noise . hotel location good base walk / train many NY attraction . all , room good price , hotel top spot . expect Grand Hyatt brand product , particularly one New York . hotel room far , standard Shanghai , Singapore even Melbourne . look little tired , rodent sighting worry . 
 Nov 12 2009 	 Loved every minute ny . Great Location 	 great location , fantastic staff awesome room . love hotel much would definitely stay ! staff hotel amazing particular bar staff . friendly helpful make stay much enjoyable . Grand Hyatt perfectly locate see everything short walk Central Park , even shorter walk awesome shopping particualr H & amp ; road also really lovely restaurant nearby . think great value money would recommend anyone . New York awesome place sure love matter stay however want centrally locate base great value money really stay . stay sure : ) . TIP : make sure go Hotel Gansevoort roof top bar - amazing crab pizza delicious ! 
 Nov 12 2009 	 great location good value 	 can not beat location midtown . room nicely remodel . fan stall shower room , however , size bathroom adequate furnishing room nice . happy free coffee water coupon receive upon checkin give lack coffee make ability room . service accomodate give early morning check - in room overall quite sound proof . give 4 block conference , great choice . plus , bus Newark block away , breeze . 
 Nov 11 2009 	 great priceline hit ! 	 like use Priceline good deal NYC . stay Grand Hyatt past , know Priceline customer get & quot ; prime & quot ; room . 150 dollar night , get room 2 double , clean acceptable , experience far well room ( much high rate ) , well locate property get little worn around edge .. bed great , everything work . even though room opposite elevator ( remember priceline win ) .. quiet . good hotel fabulous location . 
 Nov 5 2009 	 nice ! 	 husband decide try Priceline attempt find affordable deal NYC Halloween weekend . successful finding deal , Grand Hyatt less ! hotel absolutely superb - grand , true 's name . love situated station central market right beneath . room nice , well keep , well decorate . glance breakfast menu enough make anybody 's jaw drop ground , situation remedie quick walk direction afforable eatery . although try budget traveller , part , hotel convince we simply book whenever go NYC . 's comfortable , clean , well - locate hotel , level quiet luxury pleasantly surprising . 
 Nov 2 2009 	 repeat visit card ...... 	 return New York , stay Grand Hyatt great time have . arrive early evening Monday 26th October greet friendly check clerk . even delightful fact upgrade King suite , 18th floor , spacious clean comfortable . agree reviewer location superb Grand C terminal must add everyone 's itinerary . range dining option underground brilliant , give fact hotel food expensive . tip : shuttle bus Newark airport locate 41st street ( 2min walk across road ) $ 15 per person . 
 Nov 1 2009 	 great location good hotel 	 hotel great location make easy get times square etc ........ , travel two child age 10 12 find room good size we . room clean look ok . not eat hotel really expensive - especially room service . overall good hotel great location . 
 Oct 29 2009 	 Nice Hotel 	 select hotel part package trip New York , Thomas Cook . sure exact price pay accomodation . it really fantastic location , especially work subway system . the hotel situate Grand Central station Chrysler building . the Empire State Building 10 minute walk around corner . Time square 15 minute slow walk , plenty see way though . I New York two daughter age 16 21 although initially worried walk night need worry plenty people around . the hotel room good size bed comfortable , 28th floor disturb traffic noise . I agree previous comment room tired ( yellow paint work ) bathroom small size clean enough , not look carefully corner door frame ( grout could little cleaning . ) meal hotel expensive breakfast follow previous advice go Central Station food court ( either eat take back room . ) kettle room despite e - mail hotel hand ask should / could bring travel kettle recieve reply they . however hotel lobby drink station use morning , price expensive . there book desk reception area buy ticket bus sight seeing tour . helpful like idea get credit card street buy ticket vendor . I would buy theatre ticket though buy 3 pm night performance , ticket booth Time square 50 % . ( unfortunately already buy ticket shrek last minute go . brilliant show could got cheap wait line ticket booth . ) however , think ticket show Wicked difficult get hold , advice would book last minute couple week go avoid disappointment . all staff Hotel meet helpful polite , say not really contact apart check out . we late return flight hotel mind luggage $ 2 per case check 11am , also helpful . I would stay Grand Hyatt would take travel kettle teabag next time . 
 Oct 26 2009 	 excellent location mediocre hotel 	 recently stay Grand Hyatt attend conference . ' ve stay several Hyatts worldwide , first disappoint . on positive side , location hotel hard beat . appreciate easy access subway , many major attraction , excellent food court Grand Central station . bed extremely comfortable great mattress excellent quality linen . generally , find hotel shabby Hyatt . public area dark , room long overdue update , bathroom dingy . experience staff positive , take day chase house keep front desk staff finally get non - functioning safe room replace . usually , ' m willing pay premium Hyatt hotel ' m confident ' m get quality product . hotel meet expectation brand , ' ve stay much less expensive hotel Manhattan far exceed standard hotel . 
 Oct 19 2009 	 fantastic location 	 stay Grand Hyatt week Oct. 12 , 2009 . Beautiful Hotel , friendly staff , comfortable bed , excellent location . location make trip much easy getaround see sight . Loved Grand Central Terminal connected thatwe could go food court anytime get reasonably price meal , try junior'srestaurant get great cheesecake sandwich . would stay Grand Hyattagain . 
 Oct 18 2009 	 valentine 	 hotel beautiful . staff helpful . right beside Grand C Station . compliant bar staff nice wait 20- 40 min serve even bar people ? would never happen happen we else world ? tell u order u wait till lounge person carry ur drink u ? wierd/ 
 Oct 17 2009 	 like 	 Stayed June 2008 . large double room walk - in closet . space really appreciate shopping . bathroom kind small bother nice clean anyway important . location great also always midtown NYC . great deal Priceline . 
 Oct 17 2009 	 superb location Hyatt Flagship hotel ... 	 stay 4 night Hyatt Points . good hotel central location , Grand central Station . lobby massive impressive everything bit outdated . hotel need massive renovation could Hyatt Flagship Hotel . stay Long Island day later Hyatt Regency much well ! room ok , small bathroom always hyatt , bed good . diamond member access Grand club could get free breakfast , snack dedicated concierge : excellent . overrall get good rate good comfortable place stay NYC likely stay lot room ! room okay , Bathroom small 
 Oct 17 2009 	 good location - shame let down 	 Grand Hayatt great location . public area impressive ( like fountain lobby ) . staff mix . ulysse bar excellent . simone breafast greeter rude surly . room dark . though either enough bulb use low energy one . food expensive . tea / coffe make facility room either order room service $ 9 wait coffe eshop open lobby 6 am ( close somewhere 2 pm 4 pm much help day walk city either ) .The hotel seem gear corporate business fat expense account pay . would choose go . 
 Oct 14 2009 	 average hotel perfect location poor value 	 stay 5 night hotel conjunction attend conference NYC , somewhat disappointed value . price around 320 usd per night , especially room standard live price . room small , dark , bathroom disappoint standard . guest room could definately need som refurbishment . ask whether nice stay checkout state somewhat disappointed , without hesitation woman fronk desk without hesitation credit extra point freqent guest account , find good gesture . bad though , staff overall friendly helpful , especially concierge desk , everyone speak seem enourmous amount information share guest . furthermore , not get wrong - hotel still quite ok , seem like average 3 * hotel rather would normally regard hotel Hyatt brand , price line standard . what definately good thing hotel location . block 5th avenue shop everywhere around , hotel perfect location visitor NYC . actually , location might enough stay next time go NYC , especially hotel would rent room slightly cheap price . 
 Oct 13 2009 	 bit price well worth ! ! 	 stay 3 night June . fab time think staff helpful , polite could anything we . bell man front door excellent problem hail cab . location super could fault . every thing 's door step although expensive hotel , worth treat ! 
 Oct 13 2009 	 entirely Grand Hyatt ... maybe moderately ok one . 	 one amazing thing regal NYC hotel lobby - admittedly Grand Hyatt beautiful ornate lobby . however , polish glamour soon wear experience front lobby staff . as unable use kiosk , make way front desk assist human . receive flash hatred experience american youth travel Communist USSR early 1980 . instead assist we , front desk agent go back keyboard , clack away knit eyebrow tell we almost point death bother measly request check hotel room . about five minute later , second front desk staff member arrive , reassure we indeed front desk , check . give room assignment , confirm Hyatt Gold Passport Platinum status , direct elevator . soon , way room 1971.as part Hyatt Gold Passport Platinum status , ' m suppose get good room available within category book . fellow traveler , sincerely apologize . base state room , would surely suggest room scary . room 1971 feature lovely crack closet door , mold ( crown mold ) around door bathroom , toilet wedge shower sink require strength acrobatic skill Cirque Du Soleil use . additionally , dislike adjoining room - one , two adjoining room - one side room . nonetheless , king - sized bed comfortable , desk area along side tv useful complete work partner 's laptop . room also functional A / C Heater , noise level ( face 42nd Street ) almost inaudible window close . our interaction hotel staff cordial knitted brow friend , show we customer service indeed life support hotel . call inquire correct method use obtain free internet , response & quot ; be Platinum , know . & quot ; yes , hotel . FYI , access T - Mobile hotspot , enter room number , apparently automatically remove room charge . bell staff courteous , unlike many NYC hotel , tout friend 's town car expect tip help bag hail cab . tip appreciate , genuinely seem helpful staff outside hotel . direction help get navigation straight truly appreciate . , honestly , save grace service hotel - otherwise would terrible experience . with hotel fight keep business economy , abusive service room cleanliness issue win repeat customer . would cost much someone fix crack , kill mold , coach front desk people smile ? Hyatt Grand Central NYC repeat customer . 
 oct 9 2009 	 unclean slow service worth price 	 excited stay great location , impressed hotel . many area hotel clean , include room , service exceptionally slow . one occasion take hour deliver extra towel request room . would recommend hotel , especially price . 
 oct 9 2009 	 nice hotel center mid - town NYC 	 stay Grand Hyatt Grand Central Station wedding July 2009 . hotel beautiful nicely locate . fortunate book hotel early save $ 100 per night . room nice size , although change room first night initially put we room right 42nd Street , extremely noisy night . second room large quiet , nice bathroom walk - in closet . bed comfortable , good pillow , always important ! thing need mention be hope cozy , quaint hotel city , place . massive number people go hotel . hotel large accommodate extensive number guest . problem noise within hotel though . overall , good experience Grand Hyatt . 
 Oct 8 2009 	 Average Hotel ... great location 	 lobby beautiful extravagent room fairly small ordinary . arrive 30 minute early allow check early . also , coffee room . want great location though place stay . 
 oct 8 2009 	 Great Location 	 stay Grand Hyatt ny May girl trip , book hotel priceline enjoy stay , two double bed think could slighly large . believe two full bed . room rather small , super clean nicely decorate . be NY reason spend time room anyway . lobby ws gorgeous . pretty busy area , come relax place . seek busy NYC experience - place ! ! locate right Grand Central Station , walk distance many great touristy attraction . 
 oct 8 2009 	 great business perfect location 	 need place near Grand Central . Priceline get we $ 195 / night quote price hotel $ 550 . Midtown - East business , perfect . 
 oct 8 2009 	 Fantastic Hotel Ideal Location Spotlessly clean large room 	 next door grand central station across street Chrysler building perfect location . walk north 5th ave take Central Park walk south 5th ave take Stattan Island Ferry port could central . hotel great lovely big room , 2 queen bed , 32 & quot ; plasma , bathroom big enough bath , spotlessly clean maid everyday , quiet room ajoine overlook chrysler building , although building really close together . room number 24 - 24 . good street market outside hotel Sunday . hotel expensive coffee food plenty diner starbuck around grand central station . Advise get Hop Hop double decker guide tour bus , get $ 86 3 day include ferry ride Liberty Island Empire State building ( ) top rock observatory . observatory open 8 am go early avoid queue . great view make sure 's clear day go ? tour available not 3 day . impossible walk . Century 21 Loehmann 's designer shop half price . expensive taxi , airport want $ 70 Newark international 20 mile away use public transport . go onto New Jersey Transit ( trip planner ) website put Itinery find quick way cheap $ 11.25 pp 20 minute train two subway stop could'nt easy . hope brilliant time 's magical city feel safe police every corner . 
 Oct 5 2009 	 Service not live star 	 check - in , assign room queen - size bed , clerk tell could not change room 2 double have book & quot ; 3rd party & quot ; ( use Priceline ) . seriously ? make change people book directly not use travel agent travel website ? not even ask expensive room free breakfast -- room 2 bed could sleep comfortably 2 small child . suppose warning use Priceline be travel kid , also , would think well 4 - star hotel . 
 Oct 5 2009 	 Great Location ! 	 well location Grand Central NYC ? ! hotel lobby impressive room huge . bed sup comfy ( great jet lag ) .Really enjoy stay ! 
 oct 2 2009 	 disappointing 	 stay grand hyatt september husband daughter celebrate 21st whilst . book one room we dissapointe size room price pay . would quite small 2 us 3 horrendous . tea / coffee make facility room - stay europe first hotel without facility . room 3 everything gear 2 people ie 2 glass hardly shampoo , soap etc . mention hotel book daughter 21st would think hotel could make effort maybe could put extra glass room ! ! ! ! ! plus hotel location . 
 Sep 30 2009 	 be simply clean . great location ... dismal service . unclean hotel could much well 	 arrive Friday afternoon medical conference . rate , four people room ( two teen two adult ) $ 499 / not . astronomical rate would budge . since hotel seminar hold , really not choice . never attend conference hotel . check smooth . usher room 1602 . directly across bank elevator . turn , room huge elevator noise serious problem . the room poor condition . bedskirt bed near door huge liquid stain sort . disgusting . every single lampshade hole bent crooked like brawl take place point . the carpeting ancient . ancient point pull away wall cobwebs dust food settle crack . happy bring slipper . kind hotel make cringe everytime look nook cranny . behind tv set ? thick dust crumb . most unfortunate fact room connect room side reed - thin door . forget get decent night 's sleep neighbor like watch television . keep 3 am Saturday night neighbor 's television . the Grand Hyatt tout e - Concierge service . link website . however , send two different request E - Concierge arrive request completely ignore . first request dinner reservation . ignore . second request extra towel room .... option E - Concierge offer . request also ignore . phone housekeeping extra towel . every single day . promise coffee machine fridge room . phone housekeeping well . maid refuse stock coffee maker coffee cup first day . forget get glass room . drink hand bathroom tap brushing tooth . if would like 2 wine glass deliver room charge $ 6.We know advance , thank TripAdvisor , room service charge astronomical , stock juice water bagel shop Grand Central Terminal . one morning , order breakfast . one ham cheese omelette $ 24 , toast juice coffee . omelette dry dust cold . $ 24 omelette . astounding . one small box Fruit Loops $ 10 toast juice . 6 mini pancake kid menu perhaps good value . would strongly advise people order kid menu avoid absolutely gouge laughable price . make sure order pitcher ice water . 's thing free hotel . all complaint aside , thing really bother filthy condition glass lobby . several revolving glass door couple regular glass door every single one literally cover slime . matter time day night , lobby thick finger goo faceprints palmprint hundred people go day night . be absolutely disgusting . one employee , armed bottle Windex paper towel could solve problem clean door hour . hotel not seem care germ cleanliness . try see hotel simply care . want get gouge .... stay . 
 Sep 30 2009 	 Brilliant hotel / location - would use . 	 can not think well location New York hotel . within easy walking distance Times Square mid town . hotel adjoin Grand central terminal everywhere accessible via underground train system - reasonable price . right next door Chrysler building - beautiful ! not eat hotel though - bit pricey . however , plenty choice nearby - 2 decent irish bar / restaurant nearby ; Annie O'Briens & amp ; Patrick Conways - good food atmosphere . New York amazing - can not wait go ! 
 Sep 30 2009 	 Grand Hyatt perfect location 	 Entrance 42nd street , right next Grand Central Station perfect location get around site . within easy walk distance . grand , opulent reception area ( large 1 night part cordone wedding reception ! ! ) . room good size mum ( 60 ) & amp ; ( 38 ) . take full allowance 2 case large hand luggage & amp ; still plenty room spare . opposite Chryslar Building add bonus . Hotel kindly provide we complimentary breakfast token day stay . ( save we around $ 350- $ 400 ) .very busy bar ! : ) 
 Sep 29 2009 	 Location location location 	 stay Grand Hyatt early August . main reason choose hotel amazing location . Times Sq , Broadway , beat heart City never sleep , within walking distance . Gran Central Station connect hotel via passage , not even need leave premise get train station . room 25th floor quite big , clean quiet give fridge soon ask one . bathroom ok , would expect state.of.the.art shower . disappoint non availability shower cap . get one Duane Reade front hotel . btw , couple Duane Reade store nearby , one stay open 24/7 ! not go breakfast option consider plenty place choose nearby . appreciate Starbucks stall Hotel lobby , even pricey ( one tall hot milk cost $ 4 , starbuck outside one $ less ) take advantage fitness centre locate top floor . pc fax service printer main lobby , prove useful . check quick staff helpful , pay leave luggage.i absolutely love magnificent lobby 's awesome fountain sight Crysler building night reflect hotel 's facade . 
 Sep 28 2009 	 could not ask . 	 spend one night medical procedure do need Manhattan early . ( New Yorker live suburb ) .First - get amazing price Priceline - 120 night ( unheard manhattan , much less 4 star hotel ) . Checkin fast , help along many self - check - in machine , somewhat surprising give check exactly check - in time , place huge . go counter though need request refrigerator late checkout . do without problem , without additional charge . ' ve stay hotel ' Priceline rate room ' less pleasant room , .. room clean , comfortable well - maintain , small standard city , perfectly good size midtown Manhattan . plus far elevator vending machine , highish floor . throughout , ( admittedly brief ) stay , staff friendly , helpful , accommodate , nearly everything right . the gym amazing hotel gym . equipment new , least well maintain , lot . hot cold filter water machine gym , dry towel cold / damp towel workout . access three gym day day life none nice one . I would not minded in - room coffee ( luxury ' ve grown use ) , middle NYC walk 6 second direction find someplace get coffee not big problem . door slam kind loudly ( not great light sleeper ) , aside two thing - completely satisfied . 
 Sep 25 2009 	 excellent 	 hotel ' location excellent . also reasonably priced look good deal ( two we end pay $ 70 night ! ) staff kind . highly recommend . 
 Sep 25 2009 	 Good Location - Good Hotel NYC low standard 	 want really midtown Manhattan , hotel perfect . 8 min Times Sq . , 3 min Fifth Bryant , close main subway station . the hotel quite good Manhattan generally low standard . 's new hotel town , show age , well tended . book website standard double queen room get good deal book 4 night offer . check - in ask high floor room give thirtieth one face main street ( 42nd ) . room ok , seem clean comfy even smoke forbid , smell terribly cigarette complain . really sorry upset immediately upgrade we little suite . nice customer care . internet free room lobby free pc workstation dedicate flight check - in boarding pass printing . would recommend . 
 Sep 20 2009 	 bit bed bug ! 	 overall , fantastic hotel room location . , receive bed bug bite back August 3 night stay . room 29th floor wake morning 10 bite back . know risk travel NY problem summer . hope hotel issue resolve really beautiful hotel nicely appoint room bug issue . 
 Sep 17 2009 	 go way downhill one year 	 not bad place 2008 . not think ' ve clean since , however . certainly not do maintenance . first room check smell horrible - smoke know else . credit , move another room , another & quot ; non - smoking floor . & quot ; get elevator new floor ( 26th ) , hit wave smoke . room not odor , thankfully , disgusting carpet , even disgusting black mold stain right next tv stand . nice . think will look elsewhere next time . Hyatt clearly try ride recession milk property worth , not seem much opinion . 
 Sep 17 2009 	 Awesome ! 	 stay Hyatt five night July . hotel right beside Grand Station excellent selection grocery good ATM access . room face inside hotel not suffer noise other describe find room good standard . room modern bright . lobby n large expanse water font . staff excellent extremely helpful . 
