great 	 staff willing help anything , great maid service , clean room , perfect location . 
 Thanksgiving Week Stay -- Excellent Hotel Families 	 stay last week travel visit family . look inexpensive place stay would accomodate two young child . would prefer stay central location like Union Square could not find anything close $ 100 / night . place fit bill term price accomodation ( pullout bed living area ) . happy place . allow check two hour early . crib request already set ( nice clean pack ' n play ) . space clean neat show age place . drawback noise . stay second floor North Point side . sleep pullout bed one night street noise fairly bothersome . ok bedroom . great time impress great accomodation reasonable price . would pick place overprice Fisherman 's Wharf hotel . 
 Dec 2 2008 	 Great Place 	 stay primarily two small child ( 3 year 4 month ) wife specifically want kitchenette . one available SF.We stay suite 300 ( corner room ) . mother - in - law stay we well . room separate bedroom kitchenette living area couch fold bed . everything great , staff plesant helpful . location great ( cable car line Fisherman 's Warf ) . drawback : ' m deep sleeper cable car outside not bother . mother - in - law different story - 's deep sleeper . however , room right next street may play role . elevator small doable . nice thing : bedroom LCD flat screen tv bagillion channel ! ! ! go SF watch tv certainly go beyond . parking ! parking SF problem . decide use enclose parking hotel sure know cost $ 20 day ( plus tax ) , limited ( well reserve ) , must leave car key front desk use . never problem we . however , big car , get parking spot bit problem . rememebr SF compact get parking spot really luxery ! plus enclose ! - great ! Hotel really work we stay SF , would definetly consider stay . 
 Nov 30 2008 	 perfect family vacation 	 kitchen save family lot money eat every meal . seperate bedroom great put kid nap . room nothing fancy clean . good location tourist . cable car right front door . staff friendly . 
 Nov 29 2008 	 great staff great facility 	 2 adult daughter stay time share owner ( location ) long weekend getaway . location great , 15 minute walk warf , 1 block Ghiradelli square , extremely noisy . reviewer post trolly start early , around 6:00am stop late . ok we , noise bus people go night long . 2nd floor ( call 1st floor ) corner room terrible . kitchen extremely lacking could even get wine opener work . take staff could not get work either . one small saucepot cooking pot pan entire place . unit wear , tell staff will undergo remodel spring 2009 . noise room , especially room we , also extreme bother throughout night . family stay we kid run jump tv late night , early ( 4:00am ) morning . could hear everything . 3 night get sleep night . also A / C unit , want cool open window , make even loud outside noise . the staff , however , extremely friendly helpful . be nice outdoor patio roof . overall , would stay can not & quot ; sleep & quot ; . 
 Nov 2 2008 	 great alternative small hotel room ! 	 Suites Fisherman 's Wharf great alternative small hotel room . location great , convenient Wharf area local transportation . also one block famous Buena Vista Café famous Irish Coffees . suite clean staff extremely friendly helpful . definitely stay would highly recommend friend . 
 Oct 8 2008 	 Love Placee 	 stay location find staff care need . would recommend place friend . clean 
 Oct 7 2008 	 Love ! 	 husband delight hotel . locate wonderful area City ! many great restaurant nearby many within walking distance . convenient Fisherman 's Wharf pier . pleased staff , suit spacious clean . wonderful rooftop patio drink enjoy beautiful view bay part city . definitely stay ! oh , way , fully equip kitchen suite , take food drink . remember bring snack soda vend machine hotel . 
 Sep 30 2008 	 Loved Suites @ Fishermans Wharf 	 really enjoy stay San Francisco . large , clean room nice balcony view . staff friendly helpful . 
 Sep 23 2008 	 great stay 	 really enjoy stay ! great location , conveniently locate Fisherman 's Wharf method transportation . one bedroom suite stay comfortable spacious . staff friendly helpful , give we direction advice place want go day . room clean , bed comfortable although could hear cable car , not bother we really notice noise room . perfect place stay visit city , kitchen facility allow we breakfast room morning sightsee day . leave , learn hotel completely update next year . , feel place lot charm would definitely stay ! 
 Aug 18 2008 	 great place stay 	 great place stay . really apprehensive read previous review expect bad - hence first ever review , other put ! family - 2 adult 3 young kid stay one bedroom suite . yes , hear tram living area ( kid sleep everything sofa bed ) bedroom quiet . decor within suite date hey , important thing clean safe . the location fantastic walking distance Starbucks , supermarket great restaurant Fisherman 's Wharf . 
 Aug 3 2008 	 enjoy stay Suites Fishermans Wharf 	 husband spend 6 day Suites Fishermans Wharf . really love location since put near lot area eat explore . plenty space one bedroom suite . nice size living area separate Kitchen area . hear Cable Cars Hyde street do not mind . add SF experience . could hear people move around suite adjacent we problem we either . a / c need . open window patio door room cool . end july weather cool breezy . nice break Texas Heat Wave escape Austin . staff friendly try push time share talk us arrival harass we . decor little date seem par Condo / Timeshare Suites stay . definitely stay recommend friend / family . 
 Jul 31 2008 	 large room 	 great location , large room , friendly staff . other say , cable car loud Hyde St. facing room . however , stay room enjoy city . 
 Jul 19 2008 	 Great Family - Friendly Lodging 	 come back wonderful week 's stay Suites Fisherman 's Wharf . not understand otherguest 's gripe . maybe expect much . it be european style propertywith small lobby elevator . third floor suitewhich overlook bay . bedroom good sizefor we ceiling fan tv . daughter ' stayedcomfy sleeper sofa also tv . kitchen fully equip utilize daily forbreakfast lunch . fine small bathrromthat pocket door . the Hyde Street location convenient public transportation . if be look clean , convenient , reasonably -price San Francisco lodging , place can not beat ! 
 Jun 17 2008 	 Location Awesome Service Great 	 book thru interval . great trip . great location . everything right service fantastic . room good . enjoy ! 
 Feb 27 2008 	 scoop 	 hotel great location wharf activity connect public transport . desk folks helpful staff meet . 4 floor , Europe , main floor # one . european small elevator available . Suites corner North Point Hyde . busy , noisy street . 3 2 br suite . Hyde Street . Hyde Street cable car start around 6 am end , least last night 2/24 , 12:30 . truly sound like much noise ride car . slide glass door small balcony & quot ; living room & quot ; large window one BR make impossible cover fierce sound clank wheel machinery climb Hyde , bell , etc . room number 04 , 05 , floor probably least street noisy . must insulation floor . tv voice easily hear room . this place own Shell Vacations Club seem forget put maintainence schedule . surprised see hole drapery , fade bed cover , uncomfortable mattress , sofa look thrift shop . stay Shell Club facility , know tad past fix stage . long thing remain way , unfixable , caution stay may pay less nearby place like Holiday Inn , H Inn Express , Marriott . my photo unavailable due unfortunate event digital video still camera steal check luggage nwairline flight . 
 Feb 1 2008 	 Love location 	 great location ! spacious , stay one bedroom also kitchen . great family . 
 Nov 13 2007 	 terrible experience 	 spend night three sister . stay suite kitchenette . room smell old entire building . defintely worth money . also , accuse steal iron hotel . iron , sister . appal receive letter state charge miss iron . speak General Manager , ask check cleaning personnel . response totally trust employee trust . God , spend $ 352.52 suite , REALLY think would need take filthy iron dive ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? tell associate , employee , firend , family everyone else go SFO AVOID hotel ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Sep 15 2007 	 great place stay 	 husband stay Friday Monday . great location Hyde street min away Fisherman 's Wharf trolley car line . another review talk noise trolley car , husband problem . staff helpful suite spacious bed comfortable . beautiful area walk Fisherman 's wharf , Little Italy etc . would definitely stay would recommend anyone think stay ! 
 Aug 29 2007 	 great location large unit 	 first , be owner Shell Vacations Club , own resort . quite pleased accomodation , locate right near Fisherman 's Wharf . cable car stop outside , several bus stop , plenty activity ( shop , restaurant , Ghiradelli Square , etc ) within block . unit suit , mean separate bedroom , living room ( pullout ) , bath , full kitchen . really appreciate amount space get . unit tastefully decorate , thing slightly outdated ( dishwasher little hard figure ) . staff friendly , include Shell Vacations Club concierge pushy & quot ; presentation & quot ; ( & quot ; update & quot ; current owner ) . ' ve ever stay timeshare place , probably know staff pushy - . , nice stay . would definitely return . 
 Aug 28 2007 	 great place ! AWESOME location ! ! ! huge suite ! ! ! 	 stay Suites Fisherman 's Wharf 7 night Aug 11 - 18 , 2007 . 1 bedroom deluxe suite fabulous ! ! ! staff front desk friendly accommodating . check - in easy helpful bus line direction various place city . our room spacious . separate bedroom queen size bed , large living room pull queen size sofa bed , table & amp ; chair 2 people small kitchen area . perfect feel extremely comfortable week . you take good bad . good : location place AWESOME ! ! ! ! . cable car go right front hotel city bus line # 31 also go front hotel . bad : location noisy . cable car run 1 am , sleep ear plug get good night 's sleep , really small price pay great location clean , wonderfully large fully equip suite San Francisco . maid service everyday . overall , would not hesitate stay would highly recommend anyone . 
 Aug 6 2007 	 hope do not like a / c ! 	 place total dump . $ 300 night good room place .... air conditioning . course a / c whole place except room . call front desk hot room , front desk person rude hostile say , oh well be break , open window ! next day ask air conditioning whole place room , another unpleasant front desk snobby person say know architect design building way . obviously not truth , obviously one care . 4th July great view firework wharf . view good room place terrible ! large building directly across road . yes , see Alcatraz , long go balcony look right , kinda see . decor non - existent . room service service company near hotel , hotel . overall , nothing reccommend place except location . 's expensive dive would well stay holiday inn fisherman 's wharf . oh ya , lots street noise , 's impossible sleep window open , be like try difficult , hot ! 
 Nov 28 2006 	 Superb location 	 wife spend 4 night October would certainly return . # 1 attraction location . local might disagree , want & quot ; touristy & quot ; area . within walk distance wharf , ferry departure , Ghiardelli square Hyde St. cable car line city bus transportation . outside fringe family budget mind accommodation near numerous restaurant bar / pub . ( Gary Danko 's restaurant across street - reservation well advance , expensive well worth ) . room / apartment kitchen separate bedroom certainly adequate . spacious balcony overlook street . noisy reviewer state find bedroom quiet night . staff efficient helpful especially restaurant advice hold luggage we since arrive well check - in time . continue holiday wine country departure day major car rental within easy walk . 
 May 26 2006 	 thing consider stay 	 family 3 spend 7 night one bedroom corner apartment ( sofa bed ) 3rd floor balcony look Alcatraz . sound great know , however , read comment other think rooftop balcony great place hang - wrong 3rd floor . could hear everything - even chair move . annoying try sleep night people . location property great see San Francisco great apartment vs. hotel room . convenience store block away sodas snack . never make Safeway 4 block away . yes , trolley system run Hyde Street stop hotel entrance - beware , trolley start early morning sound like sworm bee come hill sleeping . bus line run front property add noise well . one sleep much first part week . one day actually warm San Francisco find air - conditioning screen window sleep night difficult . , well small hotel room we . small complaint hotel . trouble t.v . remote living room week ask twice light bulb burn lamp living room never get one . ask stay checkout time mention 2 thing get impression not really care not know ask . minor thing . visit San Francisco ' m sure would stay Suites . say , great living room , kitchen , bed bath vs. small room 2 bed - noise would steer away . way , visit sure purchase 3 - 5 7 day trolley pass . one trolley ride $ 5 get 7 day pass $ 24 good saving . hope help . 
 Feb 11 2006 	 could well 	 Suites Wharf good location especially move around town . hill trolley take Union Square . location ' beat . I one bedroom Suite second floor overlook neighbor ' home paint . strong odor something . complain front desk odor suggest could spray aerosol spray cover smell . asthma ' take option . manager come room try explain hotel tendency odor unpleasant . went figure would air room however home next Suites paint . odor land issue . hotel doctor nice . expensive nice . I ask room change tell hotel full call back midnight talk night manager . call request room change give option room directly next one one across hall . take room across hall ' odor . niece go day come back mid - afternoon odor room . call desk thing could say odor hotel . staff hotel helpful odor . last day find hotel painting room 3rd floor odor may time . the issue hotel concierge time assist plan day trip . strange hour day ( 9am-11am ) night ( 6pm-8pm ) . kicker call hotel room 3 day check ask want welcome kit . welcome kit nothing special material pick visitor center . Don ' use room service . food ' worth . find great restaurant wharf surround area . also plan eat early go grocery store get snack drink . vend machine hotel . San Francisco seem close early winter spring summer . ' take suggestion nail salon book . nicer cheap one Beach St . one suggest Point Center ( stripe mall ) size walk closet shabby . highly recommend trip Alcatraz night . tour organize interactive day trip less people island explore little . highly recommend Muni pass . ' $ 5 one way trolley $ 1.50 bus one way . pass well worth cost . also ' get bus student arrive school worker go work ( hard get need ) . go school . 
 Nov 23 2005 	 great Find San Francisco 	 real trouble find review property prior visit , not quite sure expect . we delight stay would recommend anyone want hotel room fantastic location . the 1 bedroom suite spacious full kitchen facility - dishwasher , microwave , fridge / freezer & amp ; cooktop ( oven ) . allow we cook meal , great two small child . Safeway Trader Joes 4 block away walk . also laundry downstair . unlike last reviewer , find bed extremely comfortable . bedroom face common area light night , bedroom venetian blind roman blind pitch black close . ask room back - mean view , lovely quiet . rooftop patio great view , especially night . kid love dinner get dark . the staff always helpful plumbing problem , fix within 5 minute . this hotel great location , couple block hill Hyde cable car turaround . also cable car stop outside door . easy walk Fishermans Wharf etc . , even two small child . it not cheap $ 189 per night ( Expedia , cheap booking direct ) , plus $ 10 rollaway - nothing cheap San Francisco ! feel really good value would definitely stay . 
 Sep 13 2005 	 Old musty noisy 	 hotel look like old , convert apartment building . parking tight charge $ 20 per day . leave key front desk . air stale smell like mold / mildew . open outside window face street bus stop . bedroom window face common interior hall , light night . the bed hard uncomfortable . bathroom uncomfortable , shelf toilet prevent sit comfortably . it clean , staff curteous strict . I would stay . 
 Jul 7 2005 	 good location 	 good option stay San Francisco touristic area . hide Street take cable car hotel front door . also close everything area . view top building wonderful table chair apreciate view pic nic . room well equip everything need enjoy stay San Francisco . block Hotel Boudin bakery , Safeway Supermarket , electrical car equip GPS tour . 
