location 	 hotel almost everything would want semi - budget boutique hotel - fantastic location , great room reasonable cost . thing miss - computer internet access ( though free wifi ) , decent breakast , minor quibble . water pressure not great noisy - not stay be light sleeper ! staff not especially friendly aside , price , be great place day san fran . 
 Aug 28 2009 	 LOVED ; boyfriend think ok 	 since booked hotel along trip coast know exactly expect . . walk hotel first level set stair elevator . already read crazy elevator excite . gate elevator little confusing use , think add uniqueness place . second floor check area cool furniture awesome painting . guy behind desk happy pull map show we exactly get touristy place want see . we stay crazy crazy Ermanski room . room request problem hold we . pick one figure go stay hotel half experience crazy paint room , go one crazy one . thing note room : sink actual room bathroom think cool light area can not use mirror well . other mention AC think would fine since high 60 's SF issue open window face face room , could see could hear loud clear . ask fan room happy give we , small ' help much . would suggest ask least 2 fan ’ room . tv leave bed ' mind boyfriend think strange . complaint comfort bed . shower great product supply fantastic . not issue noise keep window shut room also locate far stair . would recommend hotel friend look experience typical hotel stay ! 
 Aug 27 2009 	 Overpriced arty hotel 	 return stay Des Arts . attacted review Lonely Planet think would nice comfortabel hotel end 3 week trip . not . price pay ( 160 ) much . unfriendly uninteressed employee apparently not pay greet morning one enter hotel . bed hard . day walk street SF bed hard fo tired muscle . airco fan . open window let noise . attract bij art wall end need good night sleep put light , not see painting anymore . 
 Jun 25 2009 	 fun san fran hotel great location 	 stay Hotel des Arts friend vacation San Francisco . place welcome change chain hotel . decor room , hall , reception area , etc . set unique tone stay city . feel less & quot ; touristy & quot ; place . location within easy walk distance great shopping , restaurant , bar , include cool little irish bar next door . the room clean comfortable . cool summer air allow restful night window open . street noise bother , maybe ask interior room . review complain noise , not really issue it . free WiFi plus . 
 Jun 24 2009 	 Funky Fresh Great Location ! 	 can not beat cool vibe incredible location hotel ! pleasure stay suite friend , room paint different artist . create twice ogle group . even though room not paint person , jive really well make hip , relax live space stay . hotel , be within walking distance almost everything city . trot North Beach , Wharf , China Town , mall area , financial district plenty restaurant stay . 's even quaint Irish Pub right next door , be look something really convenient , look ! add bonus - breakfast ! free food coffee go long way be travel budget ! check Hotel Des Arts check funky fresh stay convenient lot San Francisco hot spot ! 
 Jun 23 2009 	 San Francisco ! 	 recently stay paint suite friend , lovely . decor make room stand , location great , almost european - yet still San Francisco - feel . perfect hotel be look something bit funky adventurous . 
 Jun 22 2009 	 cool clean perfect spot 	 not understand mixed review ' m guess 's expectation . travel often work pleasure . work usually 4 - star american chain , pleasure try stay somewhere fun convenience , get full - range place . this one unique place ' ve ever stay . room cover floor ceiling mural artist well enough know ' ve hear outside hotel . young graffiti inspire selection may taste conservative pallet . however , be open - minded will least consider interesting fun - even not want take every room home you . this sort place would find left bank Paris . funky corridor accordion elevator . cozy modern lobby . victorian detail mixed soho . however , everything see spotlessly clean . staff friendly seem work together like family . plus good ammenitie : simple adequate free breakfast ( oj , bagel , muffin , cereal , coffee ) , flatscreen tv 's , free wifi . all fun high - value great location experience . NYC gal give 2 thumb . 
 Jun 21 2009 	 good price 	 price pay amazing - 70 per night , paint room ( Damon Soule ) , downtown San Fran . yes , old building , love historical building choose live , little crack old sink , etc , do not bother . love clawfoot bathtub well - keep make run Lush bath bomb . bad part party hold without inform we . tired day run around town want come back hotel nap R & amp ; r time meeting friend night town , step , large scale party go . dj , drink , etc .. really awful ( trance , ew ) music blaring reception area ( right room ) , people try open door thinking could view art , scream drunk fall door , music loud feel like right next head .. pretty awful say least ! , ' m party , would awesome staff let we know would happen could plan around ! maybe rest morning explore city party , rest join party . clearly upset come room ask staff much long would go , get blank & quot ; Idunno & quot ; desk girl . downside wifi work nobody seem know would fix . spend money internet cafe everytime need look something up / all , good value . location steller . room neat . staff however , communicate , hotel party ok guest ! would still stay , would make sure find event hand ! 
 Jun 10 2009 	 Hotel des Arts hotel THWARTS … 	 2006 , New York Times travel writer endorse Hotel des Arts " unassume little hotel great location . " hotel ' website even promise " convenience comfort . " location indeed convenient , short stay anything comfortable . Website fail mention hotel air condition . room hot closed window loud open window . matter fact , rear window something straight Hitchcock : privacy whatsoever window open . the light source entire room overhead fixture . unbelievably , room neither bedside lamp desk lamp ; bad , lavatory niche light whatsoever . after one noisy uncomfortable night , leave Hotel des Arts never return . matter fact , recommend hotel traveler . Hotel des Arts hotel THWARTS … privacy , comfort , . 
 Jun 3 2009 	 expect 	 stay Hotel des Arts San Francisco first time May , 2009 . excite friend really like artist paint room . however , excitement quickly turn disappointment discover little art really wall room give . room probably art one wall . one nosy hotel ever stay . not even guest noisy specifically . bathroom locate right hallway room . could hear everything go . housekeeping morning noisy bath tub stable everytime stand rock . ' m sure loud bothersome guest hear . employee friendly enough except one girl evening not seem know go give we wrong direction one point . bed one uncomfortable bed ever sleep . sleep friends air mattress one night trip comfortable hotel bed . never feel comfortable room . really awkward sink room bed . location thing go hotel . ' m sure price . hotel like hostel two star rating . would recommend hotel anyone . probably find well deal area . 
 may 27 2009 	 not miss neat hotel 	 friend mine recommend Hotel des Arts great place stay real San Francisco experience , book room recent stay . right . hotel walk distance Chinatown also Union Square . room paint wall , well hotel art display San Francisco 's fine local artist . really neat concept hotel . hotel clean staff really helpful direction suggestion ( typical tourist trap suggestion get conceirge desk ) .A great alternative chain hotel cost Hotel des Arts , really not let know special city like San Francisco . 
 may 25 2009 	 quirky room 	 stay hotel 3 night trip around California . 's good budget hotel , room different wall display art . room basic small side , clean modern , good size shower . love bagel breakfast , table thebreakfast room eat tray . be next door China town main shopping district , location make everything . 
 May 19 2009 	 way well expect 	 come Bay Breakers book deluxe queen ahead time base price location . expect loud . expect SF version NYC 's Carlton Arms , stay couple time . place much nice - clean , friendly , much professional . hear noise hallway room . shower room ( 302 ) awesome . room also get hot , even though hit 90 outside . cost , place definitely exceed expectation . go expect Marriott , will disappoint - bed comfortable , shower great , art interesting , tv , microwave , refrigerator room work , free coffee , doughnut , juice morning , people friendly accomodating . beat location . block MUNI BART . block Chinatown . couple block Union Square . plenty restaurant nearby . highly recommend , long understand old building quirk expect airport Hilton . 
 Apr 13 2009 	 live Mainstream Lifestyle ! 	 decide stay Hotel Des Arts due art 's normal hotel . arrival excited see old style elevator exciting first time one .... ( trip go well ) .. lol . staff friendly address 1st floor go new floor go Monday tell front desk go well breakfast . room clean , bed cozy . shower also nice well , may short someone 5 ' 7 & quot ; awesome . door room close bang bit alarm 6 am survive . wonder hot room would summer room air conditioner . believe room . something look . overall really impressed would stay heart beat ... plus blow away close hotel everything . right next Chinatown lead Little Italy , well Union square Montgomery Bart . : ) 
 Apr 1 2009 	 Funky different 	 stay paint room . one look like Unibomber 's hideout . like . private bathroom narrow , water pressure fantastic . cheap city great location . right gate Chinatown within block Union Square . travel old - timey elevator cool . be look something unusual , stay , look luxuary , place . 
 Feb 27 2009 	 rip unless not care comfort 	 hotel look great website , not fool . basically 's hostel masquerade hotel . sure get room , bed pillow rock hard , bathroom small one person stand , sink bedroom nowhere put toiletry light mirror ( lady , put makeup challenge ) . light three bare lightbulbs ceiling bright like three spotlight . grant , Hotel des Arts great area . would rather pay 50 buck get decent bed area , pay price Holiday Inn would way comfortable . 
 Jan 31 2009 	 Returning Visitor 	 stay two occasion January 2009 ; initially four night return SF week later one night . also stay approximately 18 month ago know get . feel Hotel Des Arts SF offer fantastic value money 's central SF location . like love art work corridor mural wall - add touch originality - though vary experience , depend room in . our first room ( 307 think ) massive mural cabin one wall , look fantastic . however desk corner room decorate lot cluttered item ( record , book , knick knack etc ) give cabin feel . cute look , reality situation impossible keep clean dust sensitive hyper allergic wife not enjoy room intend . second room ( 202 ? ) much simple hence much clean comfortable we . Overall Hotel Des Arts restrict confine old building base room quite cosey lot space . however SF city want spend much time hotel room never big issue we . breakfast provide adequate good supply bagel , toast , cofffee , juice etc . staff mix bunch range friendly / open rushing help baggage get lift , bored look disinterest really make lot effort help unless ask . real complaint us mattresse bed comfortable could ( feel like futon style mattress ) . stay Best Western Monterey leave SF whilst obvious charm Hotel Des Arts , rejoice comfort bed comparison . would still hesitate recommend hotel friend great value money hotel central SF clearly lot charm . 
 Nov 11 2008 	 Hotel Des Arts San Francisco 	 husband travel SF British Columbia friend run Nike Women 's Marathon . choose stay hotel des art stay Hotel Mark Twain . choose HDA base decent review trip advisor good rate get expedia . get SF Thursday Oct 16 fine luggage not . cab ride sans luggage cost we 40 US Mark Twain walk HDA . ( take BART back airport easy quite fast cost $ 5 ! ) airline eventually find luggage deliver hotel late evening . front desk staff problem accept we keep lock go . first impression hotel unique artsy . tonne art plaster wall room paint unique theme local artist . much certain type art definitely unique interesting consider art . overall old boutique hotel paint . room tiny , appear norm SF . room sink mirror , bathroom . 2 share bathroom per floor one shower . never meet anyone go bathroom , certainly evidence people , catch drift . major problem share bathroom sink wash hand business . think absolutely disgusting accustomed share bathroom go option cleanliness reason . ( hand sanitizer girl bestfriend ) record get room bathroom , right beside share bathroom hear people pee right . kind creepy . guess know get situation . another thing lobby second floor rickety old elevator ( pull metal gate across type ) narrow , windy stair take . People mobility claustrophobia issue might like . well noisy street room , sleep window open option . however , issue unique HDA location ! far location think beat . step door right gate Chinatown , interesting place tour around . friend stay Mark Twain much sketcher location ( border tenderloin area ) . feel completely safe area . alot homeless people SF find much area stay . active not mind hoof around get lot place . walk Fisherman 's Wharf , North Beach area , Lombard St , South Market . get cable car couple block ( powell hyde good one take ) . cable car $ 5 / ride really crowded , yes , something probably do . overall , Pros Hotel Des Arts - hotel location fabulous -great food nearby ( chinatown , north beach , pub , thai ... ) -great shopping ( dept store , chinatown , small shop around union square ) -the price right - bagel , toast , coffee , OJ complimentary - staff friendly enough - clean staff good - art provide unique atmospherecon Hotel Des Arts - noisy street ( expect ) -share bathroom ( sink ! ) take getting use to - carpet pretty yucky dirty - art ? ? ( depend taste ) -mobility hardnot miss - alcatraz - lombard street - chinatown - shopping everywhere - italian feasting ( northbeach ) -walke hill get good view - golden gate park - take BART Berkeley chocolate factory - food good everywhere mention gohope help ! 
 Oct 31 2008 	 nice place 	 old hotel redone individual artist . old hotel . room bathroom small basic . shower curtain smell little moldy seem difficult air bathroom . artist 's unique design room make hotel fun unique experience , location ok -- step door not walk one SF 's neighborhood burst personality . be near financial district close Chinatown , short walk Union Square Powell Street . also serve continental breakfast kind awkward little room . 
 Oct 16 2008 	 look ! 	 husband look hotel great location affordable . spot way well expect perfect we . since city much go , go spend lot time hotel , not waste money thing not need . leave morning return bed . yes , room small , get noisy around 9 am , choose share bathroom door . however , never see anyone else use bathroom entire stay , awake 9 am ( noise issue ) , breakfast need morning ( Odwalla OJ , toast bagel , coffee ) . staff disintereste , care ? not come chit chat anyone front desk . hotel also sandwich two great restaurant / cafe , across Chinatown arch , step away Union Square , Bart ( get airport ) , 7 - 11 late - night ' whatever ' . would definitely stay would suggest anyone . save soooo much money stay able focus fun stuff - rent bike , ferry trip , tour , amazing food , great wine . 
 Oct 8 2008 	 absolutely fantastic art 	 must admit little nervous booked find mixed review hotel , think pretty good overall . staff front desk seem flip extremely helpful completely disintereste room great . love art wall hall foyer feel smug room ( think art pick room well far ! ! ) . hotel however , pretty noisy . sure unlucky seem lot noise room ( street noise ) - almost like boarding school - could hear every conversation ! 
 Sep 24 2008 	 's San Francisco ! 	 need admit - LOVE San Francisco - maybe opinion not 100 % objective . but love San Francisco reason , definitely wan na stay place . standard room not spacious , clean - true whole hotel . 's big tv room artwork wall ( closet case ) amazing . be like live art - gallery . , be luxurious place - atmosphere great 's san fran . the staff 's ok - nothing special , not staff anyway . located half block away China Town Gate be midst everything . else ask ? , happy get great value money . stay ! 
 Sep 15 2008 	 Unique - OK hotel 	 husband go San Francisco Valentine 's - first time city . want stay unique hotel downtown come across Hotel Des Arts . find hotel online intrigue 's uniqueness . think idea artist paint room cool . book Deluxe Queen - recommend like share public floor bathroom . room stay pretty neat - artist creative . however , room bathroom TINY bathroom look like 1800 . tub bit old sink look old . bed not comfortable , hey , not come San Francisco spend time hotel . if come back , probably spend little bit money stay nice place . hotel ok . 
 Sep 15 2008 	 miserable room 	 Disclaimer : use stay three - star hotel . 's since stay two - star hotel like this . I not get decent night 's sleep entire four night . miserable never stay again . the bad mattress . hard uneven , hill , valley , spring everywhere . there desk lamp . hard time see work area room light behind ( body cast shadow work front . ) desk attach wall , way fix this . there vanity light bathroom . old sink two separate faucet , make warm water impossible get . make shaving extremely frustrating . there also vanity counter bathroom ... even shelf , place set toiletry . hot water faucet shut turn quickly . toilet would flush properly . , would run night jiggle handle 50 time . giant glob dry toothpaste wall check . still check out . there bed - side lamp , switch turn room light bed . bed also nice , sharp corner , 's surprise cut foot badly bed trying find dark . the art wall nice , theory . room giant , scary Madonna ( pop star ) head bed Louis Vuitton logo everywhere else . would not call & quot ; art & quot ; much & quot ; generic gay - theme copyright infringment & quot ; .I would recommend hotel anyone , unless seriously update place replace mattress , add lamp , completely gutte re - doing bathroom . 
 Sep 4 2008 	 Stuffy Small Overpriced 	 picture web site think go funky , boutique hotel . turn like funky youth hostel . room furnish stain , office carpeting , desk , mini refrigerator queen platform bed low ground . get feel stay someone ' dorm room . mural wall theme room funky small space make feel uncomfortable chaotic . bathroom minuscule room stuffy hot – air conditioning ceiling fan . hear absolutely everything go room – especially leave window open air , directly face someone else ' window . location good – right front chinatown . however , many hotel choose area . 175 buck night hotel extremely disappointing . really put we bad mood trip . 225 night move Fairmont street gorgeous room face bay . switch good 50 buck ' ever spend . 
 Aug 27 2008 	 great San Fran experience 	 far unique hotel ' ve ever stay . paint room funky provide perfect San Francisco experience , location excellent , price right . downside bathroom extremely small room get kind stuffy . since hotel not AC , might good place stay unexpected summer heat wave . 
 Aug 26 2008 	 Noisy cool artwork 	 stay one night hotel hope good night sleep go camp teh northern californian coast . , first artwork impressive , especially room -- simply patch different color , imagine 15 minute . room small , smell badly . hair shower . decide open window ( otherwise seal AC ) , internal window frame fall inside room . , able close back well enough . point realize bad . realize around 4 morning awful noise start ( noise actually -- like someone shoot shortgun ear -- collect smth like 10 - 20 grabage urn ) . guy truck lazy leave truck move bin , push around truck . hour later come another truck bring beer cask nearby pub . door thin . , one bad night hotel ever . luckily , nice sleep tent next night . breakfast null . , expect smth nice ( hotel recommend Lonely Planet ) , dissappointe . maybe likely find room face pub back street garabage bin . positive side location : conveniently close Union sq etc . 
 Aug 25 2008 	 stamp : approve 	 friend come visit stay . great value . build old price right atmosphere great . art line hallway well lobby . real art , hotel art . girl check joke three painting currently lobby representation front desk staff . style frill , be check Hyatt . 's good location , near Union Square . remind NY style hotel . 
 Aug 25 2008 	 Excellent Location near Union Square 	 husband recently return three - night stay Hotel Des Arts . location great ! 's three block away Montgomery BART station block muni line bus . many cafe , restaurant , bar GREAT shopping price range nearby -- 's two block gate Chinatown ! 's also short walk SFMOMA . a+ location ! hotel cool - numerous painting line hallway floor - many sale -- well lobby . enjoyed walk around check art . staff helpful accommodate map , bus line restaurant recommendation . always available buzz street well . room , cost $ 360 three night , private bathroom . love style mural wall [ DeRosa room ] . simple clean small . since not plan spend lot time , fine . side , face back building get exhaust nearby restaurant wake we couple occasion . hotel also not type temperature control air ceiling fan sleep window open . ideal since window not screen bug fly come room . I would recommend hotel young traveler couple . 's place would suggest old difficulty stairs narrow steep - elevator small . , price - part city -- really can not beat complain much . 
 Aug 11 2008 	 please stop spray paint night ! 	 art funkiness , hotel terrific - wonder good review website - comment concept art , imagine people not stay ! staff friendly enough , big problem noise fume paint night ! yes , seriously , listen spray shake every 30 second reception wall repaint paint fume come door good way treat customer 2 am 6 am . could also hear people speak next door hallway ; something unwrapped night 4 am ( large quantity plastic ? ? ? ) coffee organise 6 am . sleep easy come -but sake terrific paint room cleanliness , maybe worth . stay , get breakfast early orange juice , coffee , bagel space available . except bagel tend run . position avery good - close Chinatown California St cable car union square shop . 
 Aug 7 2008 	 Funky San Fran 	 San Francisco hotel $ $ .. one decent price , everyone . narrow stair & amp ; small old style elevator .... much breakfast either .... , good stuff : cool artwork ... different room floor 's theme . convienent Chinatown Art Academy across street . overall ... bad price . 
 Jul 25 2008 	 favorite 	 great location small elavator difficult manage stroller . room clean small . love late night party occur room two . 
 Jul 24 2008 	 so - so experience 	 location good , border Chinatown , walk distance Embarquadero , noisy dumpster empty 4 alley , agreeable bar next door , Irish Bank . first assign Unabomber Cabin room , kind funky first -- realize place put stuff . agreeable staff move we another room , quite small . try get one closet ; otherwise 's place stuff . staff nice friendly ; pass minimal breakfast go around block great bagel place . pay $ 169 night , $ 199 Sat night , think lot get ; would probably liked pay less . 
 Jul 13 2008 	 Funky noisy 	 Hotel Des Artes great location art funky . however , parking expensive tell ask ( tell would $ 15 $ 25 day ) room , rear hotel noisy ( bar open late glass bin empty 4 am ) can not open window noise fan end bake hot ! art room damage bit disappointing . ice machine nightmare might take hand carefully . breakfast pack tiny room . finally , housekeeping ! try clean room 8 am , luckily lock door not knock first still bed . second , try come back 8.30am 9 am end get let . would not take answer . lie we ! think give experience location great room overprice . 
 Jun 17 2008 	 great central hotel 	 book San Francisco website get great deal $ 60 night . first stay room without bathroom . paint great love . bed comfortable room clean . toilet shower nearby basic clean . we travel bit come back stay hotel . time book room bathroom . ' ve got say small paint nicely original room shower room lovely modern . unfortunately back onto large St. Patrick 's day party started 6 am manage get sleep . really like breakfast basic , bagel , cream cheese , yoghurt , muffin , fruit juice tea coffee always fresh . location hotel great , right next china town good transport link . 
 Jun 11 2008 	 Cool Idea 	 first let say staff friendly helpful ... hotel one good idea / bad idea . art really cool , room many way . a / C , somewhat normal San Francisco , although circulation room bad smell . type air cool system bathroom , leave door open night . problem could hear everyone hotel use restroom every hour night . yes , wake hear someone urinating . first thought husband , either room , gross ! 3 4 morning garbage truck come pick glass recycling courtyard room . mold tiny shower sink two facet , one hot one cold , mean warm water ... like stay delapidate dorm room . want sleep San Francisco , suggest go somewhere else . ... say staff thankfully fight we break reservation , think know issue . 
 Jun 2 2008 	 ok 	 Hotel des art first stay round world trip little return trip SF . cenral convenient noisy location . room bit small clean love decor ( choose favour artist ) . breakfast simple ok . staff quite unfriendly . hotel incredibly noisy , irish bar close celebrate St Patricks day , weekend . room look rather dirty alley , urban casualty use bed / toilet . large industrial bin also empty night early hour morning . also come strange rash night . sure cause . ok one night . 
 May 29 2008 	 Funky budget heart city ! 	 husband want spend week San Francisco without totally blow budget - look Hotel Des Artes webpage book $ 300 week explorer package . great deal ! place remind extremely well - keep hostel ( share bathroom hall - problem line wait ever . ) art room unique ( employee let go room look art unoccupied , ! ) positive experience . give bagel , coffee , tea juice morning , plus . if look turn - down service , not bother . want something extremely reasonable great part great city , would highly recomme ! 
 May 28 2008 	 love ! 	 be modern day artsy person , like travel hate feel cozy hate smell typical hotel place .... feel like room . bed comfty cozy . bathroom excellently clean ! absolutely love hotel compare hotel stay SF ... nice , CLEAN , ARTSY , SIMPLE ... 
 May 16 2008 	 Funky alternative chain hotel 	 hotel definately character . old - fashioned lift unique art , 's refreshing break old chain hotel room find anywhere world . staff friendly helpful . breakfast simple , enough . hotel excellent location . 's block Chinatown , ton shopping , excellent restaurant . neighborhood safe night . family people like travel luxury probably would not enjoy hotel , be great adventurous laidback traveler . can not beat price . 
 May 9 2008 	 great choice 	 think Hotel des Arts great value money fantastic , central location . would definitely recommend . think room clean good size , private bathroom television . my complaint sole ( old fashioned ) lift die half way visit . 
 May 2 2008 	 sleep 	 first , disturb art wall . ok , know website original art every room , take chance . unfortunately , lose gamble . nothing restful peaceful art & quot ; suite . & quot ; trouble find light switch . next really tiny , old bathroom counter space . bad construction go night across narrow alley . NIGHT LONG . old building thin wall single pane window , not think room hotel would protect noise , not bother complain . unless be insomniac , minimalist , disturbing - art lover , stay away ! ! ! 
 Apr 7 2008 	 Scabies 	 friend stay suite ( room 310 $ 180 / night ) horrify dirty condition room , include foul smell . well , get bad since stay diagnose scabie ! woman hotel speak afterwards phone would note ' ve problem , manager owner might contact time complaint since be hire one right . would never recommend hotel anyone . 
 Mar 31 2008 	 Citchy cool ... 	 let start say look high class hotel place . say , room adequate quite cool . boutique hotel property ; room paint / decorate local pop artist . suite 300 convert standard room hostel type room ( suite BR ) two room suite . 2 queen bed clean comfortable , fold couch / bed bit lumpy sleep well enough . real downer water pressure shower snuff ( last time stay . ) hotel location also big selling point near shopping area , china town literally 35 pace Irish Bank , favorite Irish Pub SF . look different hotel experience great SF price , good choice ' expect Ritz . staff accommodate helpful . 
 Mar 17 2008 	 unique experience 	 old property show accommodation , i.e . claw - foot bathtub old style sink etc . absolute comfort new amenity care try standard holiday inn whatever . seek truly unique experience probably visually stimulate hotel visually stimulate town place ! travel far wide Hotel Des Artes certainly one memorable fun hotel ever stay . economical middle downtown catty - corner chinatown many must see spot , literally second away metro bus stop get around town . room uniquely adorn different artist wall fill late contemporary , cut edge art different medium . staff wonderful ! stay 6 day can not wait go back ! 
 Feb 20 2008 	 excellent choice ! ! 	 first look review hotel exact website , find good , bad . since artist , think would cool stay Hotel art main focus . let tell ... hotel exceed expectation . staff extremely welcome courteous . room immaculate , maid service awesome , breakfast morning exactly one would need fuel head town . especially bagel ! ! ! locate heart downtown , across China Town gate , block Union Square , everything need minute walk away . really could not ask seeing , travel , last place want hang hotel . doubt , hear anything negative hotel , take , place perfect adventurous traveler . artwork pretty cool . bad check day art opening . will definitely , doubt mind , stay ! thank read . 
 Jan 13 2008 	 Funky also trouble 	 know could issue could not find hotel . undergo change one not change name des Artes yet . walk Bush Street see small paper sign door . ah door , not really walk lobby entrance tiny elevator even tiny stairway . since elevator not work , drag bag two flight wide enough suitcase . the selling point hotel individual room decorate different artist . Mine either not do artist graduate paint number school . heck , reasonably clean cheap San Francisco standard . want place shower sleep . sleep 2 sound like ceiling go crash . jolt awake thinking might earthquake . noise continue banging crashing could not stand walk lobby hall . young gal know immediately wrong . one artist decide good time decorate room drag apparently throw furniture around . dash stair finally silence . they nice continental breakfast orange juice , coffee lot bagel . figure thing look up . the next night peaceful . will admit enjoy huge old tub could stretch . however , short person one kind back leg difficulty would able get since step tall side . 's shower option . all seem well reach onto closet shelf get shirt since room not dresser . , luckily ' m tall reach shirt , see something . something hypodermic guess leave one staff cleaning room prior day dropping use . not night shirt would pushed back . I take lobby show manager ask stick . not . say San Francisco thing happen , not really seem bother . real apology concern might stick . offer comp night . guess one thing . leave SF morning glad not find needle hand . I write reply pretty much put mind , never go , find receipt today . know , lack care still bother . hope clean act room . stay , watch be put hand . 
 Jan 8 2008 	 good couple night 	 reading review , decide price location outweigh noise factor . partly true . not really prepare loud empty 18 dumpster 8 trashcan every morning 3:50am would . ceiling fan anything , get air circulation require open window . art fun almost , almost , make extreme tininess room . as another guest say , & quot ; be great place , people idea run hotel . & quot ; could not put well . staff blasé not seem particularly concerned guest . say , great rate location . stay couple night rather week , negative would seem minor . 
 Jan 8 2008 	 could much well 	 pleasure last year visit cousin LA.Of course , decide spend 3 day San Francisco . unfortunately , book hotel without trip Advisor . L'Hotel des Arts quite expensive ... location perfect 's . hope go back SF book hotel Tripadvisor ... 
