great 	 lovely hotel , good view 59th street bridge particularly top floor bar . 10 minute walk central park much time square . great bar restuarant local area . amazingly large room central new york . two double bed room , space around edge ! can not wait go back ! 
 worth price - even discount ! 	 get $ 168 rate two night right thanksgiving give review think worth ( could ' ve save $ 50 day similar east side hotel ) - wrong . first dead area beyond York Avenue , right water thing nearby Mobile station . feel desert pull . come international flight lot luggage - one help lug stair . front desk professional nice - upgrade King bed . inside room , like decor bathroom ( nice bath product ) start notice glitch . heat 50 plus degree outside - way open window turn A / c hate use , need nap heat would ' ve keep awake . hotel directory service ( not know gym restaurant etc . ) tired go long walk store look minibar price see would cost drink water sleep .... could find price list anywhere even look inside minibar -- hot room ? ? ! ! nonrefrigerate drink - 's point ? basic cable even HBO ? several channel freeze ... regular rate $ 200 night , spring well cable . bad housekeeping . slam door almost half hour straight morning - 10 room floor housekeeper keep walk room let door SLAM loud noise . finally ask close door gently jetlagge - night try sleep . rude say - well , check room . say yes , door not need slam ! slam door call front desk complain . half hour later doze finally , room phone rang . HOUSEKEEPING ! ask wanted room service . response REASON disturb sign door keep bother housekeeping -- - disturb mean not call EITHER ! guest need something , course ask . badly manage place general feeling lack care room amenity . free wifi even lobby - walk Starbucks check email . pleasant experience front desk staff . 
 good price / poor location 	 stay partner 4 night hotel choose primarily sale price $ 190 per night . take consideration hotel generally provide discount early 5 day check - in date . also hope moderate pricing hotel service , . Wi - Fi internet cost $ 15 per day , local call also charge . location hotel little bit poor . hard get centrally locate site foot . try first day , decide take taxi . average taxi ride Times Squire cost $ 10 - 12 . like room design , furniture tired , tired thing heater work well . stuff reception helpful good looking ) . 
 Oct 4 2009 	 second time - stil fabolous 	 husband organise ' long weekend ' trip NYC friend UK . recommend Bentley Hotel upper east side , stay love . happy say love experience . yes , middle city get anywhere fairly quick . stay worth money friendly helpful staff , AWESOME bed comfy warm welcoming back front desk . like Bentley , feel like small hotel event hotel 190 room . stay , start save already next trip ny . 
 Sep 26 2009 	 Faux chic ... need improvement 	 five hour red eye Los Angeles relieve unwind hotel lobby . first glance , hotel come across chic soon lose luster . starter deluxe upgrade falsely advertise feature pull bed place two double bed . hotel nice enough upgrade we large room however delay deliver luggage . five hour several phone call front desk ask come back lobby identify bag . at good room pleasant comfortable hotel definitely lack amenity . ice bucket vend machine . Coffee limit apparently run quick front desk insist coffee nearby gas station good ! free WIFI slow connection speed available overly price . AC loud necessary stuffy room . break replace . fail cool room offer circulate unit . bathroom small cramp bizarre feature half glass closure create mess water floor . the front desk staff seem inexperienced concierge non - existent , apparently break time ask help . overall location great although walk shop transportation could inconvenient . 
 Sep 16 2009 	 unprofessional attitude 	 hotel people nice write review . however , every day make room , charge item mini bar even touch ! ! ! tell girl hotel front , claim charge bill even aware . attitude unprofessional say word sorry apology . use mini bar charge wrong item , would little bit understandable . completely mistake charge mini bar , attitude like & quot ; position make decision matter & quot ; . would call fraud . stay hotel ! ! ! Sam ( cessnacitationx @ gmail.com ) 
 Sep 13 2009 	 great service - clean room - great price 	 NY shopper , stay Bentley Hotel , NY several time , last time finally make mind would stay anywhere else , Bentley . small situation , maid misplace small shopping bag Sephora . management folk desk , include General Manager , go beyond take care issue . grateful . many good Hotels , probably 5 star , stay . Bentley feel special , care need , upgrade well room available , manager call throughout stay check satisfied . great Hotel , would definitely recommend friend colleague always stay Bentley , NY . 
 Sep 12 2009 	 nice close .... 	 lovely hotel , clean modern . staff nice . ice machine ice bucket room - either call front desk one bring room get bag front desk . odd thing say hotel feel bit demand ask ice bucket bring room go option , lol . the location lovely right river fantstic view close close ` touristy ` thing still walkable . another tip - parking pay hotel chcke - lot cheap pay car park company . 
 Sep 10 2009 	 Nice surprise . would definitely stay 	 book place use credit card point , expect bit dive - great hotel . nice room would definitely consider stay . also relatively quiet , expecially consider 's location bridge entry / exit . stay infant plenty room travel cot etc . slight downside staff seem little slow . 4 deep queue check 20 - 30 minute wait someon come collect bag . 
 Sep 8 2009 	 Fantastic Bedrooms 	 stay Bentley 7 night , staff room great . room great size , bed really comfortable , incredibly clean , 7 good night sleep . staff really helpful . great location . couple good bar sushi restaurant less 10 minute walk away . negative , bother rooftop bar , dreary atmosphere bad cocktail New York , not let put hotel . 
 Aug 31 2009 	 Excellent value 	 live three block Bentley , choose apt . underwwent repair . pleasantly suprise , upon late check , tell upgrade jr . suite . wonderful- modern , spacious , superb East River view . plasma tv , radio IPod dock , bathrobe , slipper , iron board , umbrella extremely confortable bed modern , tasful decor . even hot Aug. spell A / c fine . might find location bit far east , residential neighborhood , bus right outside York Avenue take across town 57th St , one city 's major artery convenient connection bus subway . the restaurant convenient breakfast Starbuck 's block away well several restaurant . restaurant would complaint date . however , close two day stay renovation . ' ve mean take walk see turn . curious becaue could incredible place beautiful view around , great place glass wine . minor minor complaint light trendy hallway bit low . 
 Aug 28 2009 	 good option Upper East Side 	 pleasantly surprised hotel , especially read review site . room nicely decorate overall great stay . satellite tv work room , ' m glad woke cold one morning stay awhile . thing kinda bug : AC loud , be almost way keep bathroom floor dry take shower shower wall setup elevator indeed slow . , neighborhood quiet , low end upper east side , nice walk subway station ( prefer walk / take train NYC , see many interesting thing ) . tell old building remodel , not bother much . plus , get killer nightly rate exact opposite side Manhattan 4th July firework . be look stay upper east side area , would recommend hotel . 
 Aug 23 2009 	 perfect place 	 long delay washington new york due flight thunderstorm one o'clock pm call Bentley hotel Manhattan . friendly professional , clean always money well spend . I consider hotel must everyone want quite place far away lexington ave confortable.45 $ JFK yello cabit good back new york groove.and bentley perfect place . bad REALLY bad U pay internet roomwhen around street theres free LAN ! ! ! ! ! bad BAD pay 7 $ one LITRE STILL WATER . 
 Aug 15 2009 	 nice hotel good price 	 11 year old granddaughter return 2 night stay Bentley Hotel pleasantly surprise . book reservation computer get inexpensive rate night . would already book room Cancellation Period read som review concern . check , Jennifer greet we desk incredibly nice helpful . ask Upgrade immediately give one lovely corner Junior Suite 18th floor . room clean , nicely furnish lovely view . air conditioning rather noisy , drown street noise . other mention shower unmovable glass door extend half way problem floor get wet . evening go upstairs restaurant top floor delicious snack nice view . not expect stay hotel 2 night , check morning . later day , learn would need stay NYC another night call hotel see could acccommodate we another night . connected & quot ; reservation line & quot ; inform price room substantially high . explain due family member Hospital Special Surgery offer 10 % discount . still substantially high right , return check , upgrade & quot ; Deluxe Suite & quot ; 2 room nice . hotel quiet , clean well maintain comfortable bed . employee polite friendly offer we information sightseeing . we , location excellent would recommend hotel future need area . 
 Aug 12 2009 	 great deal price pay ! ! ! ! 	 overall , Bentley Hotel great considering pay ! break pro con . the pro : - automatically upgrade we two double bed sleep comfortably room pretty spacious , plenty space luggages- great service- Location ok , still quite walk away subway station quite central , feel pretty safe walk area night- clean bedsheet towels- come safe room ( least room ) con : - lacked alot ammenitie , troublesome water coffee maker go nearest convenience store buy water- prepare bring ear plugs light sleeper ... could hear car honk constantly night ! - shower weird ! ! glass covering cover half show water splatter everywhere . make puddle everytime ! - free internet wifi access price quite hefty- free local long distance call ( exorbant pricing ! ) 's good buy long distance call card cellphoneI would definitely consider stay Bentley find great deal ! though lack amenity little frustrating . overall , enjoy stay ! 
 Aug 5 2009 	 wonderful 	 love hotel , location great , staff friendly helpful , price high Manhattan , repeat next time go NYC 
 Aug 5 2009 	 money well spend 	 fantastic hotel . really good area . staff really friendly helpful . arrived upgrade lovely . good view room . room clean comfortable . value money . 
 Aug 3 2009 	 Pleasant Surprise 	 book hotel part package not look review booking , almost change hotel . not glad take chance . staff extremely friendy obliging . possible negative comment long walk get major shopping area neighbourhood well worth . coffee maker room , bed comfortable room big comparison last hotel stay NYC . great little diner short walk away early morning breakfast . my advise , stay well worth ! 
 Aug 1 2009 	 good hotel - watch wih credit / debit card detail ! 	 begin begin : two day hotel take card detail , try use card city refuse . rang card service tell we refusal account virtually empty . ask we whether recognize 2 amount charge card previous day : $ US 753.26 $ US 762.22 . tell , say would cancel card immediately , issue new one , investigate think fraudulent transaction . only tell front desk situation morning departure become clear hotel charge two amount card without prior reference we . agree actually owe hotel stay $ US 612.22 . manager speak say would deduct $ US 30 total cost phone call card service center UK . explain ' contact card service Monday , ' staff weekend . ask we phone Monday e - mail detail . we phone Monday , discover charge currently appear pende $ US 762.22 , $ US 612.22 , $ US 612 , 22 ( ! ) $ US 582 ! ! also tell charge still pende , ' tell we place money take ! leave we $ US 182.13 account , card cancel , begin travel 35 minute place phone call ! hotel levy stagger $ US 2,568.66 account bill become payable checkout , amount final $ US 582.we e - mail detail manager , say think entitle compensation considerable inconvenience anxiety cause , would give end week respond suggestion post story web . end week , receive reply hotel . late bank statement show amount money take correct , fund lock pende return account . however , receive new card post address belize , way access money transfer different account ( happen – everybody would ) still function card attach it . so cautionary tale ! Hotel Bentley fine respect ; choose stay , careful get credit / debit card detail ! 
 Jul 24 2009 	 Incredible Hotel Experience ! ! 	 hotel absolutely amazing . recommend stay friend mine call book directly hotel . person assist we book reservation extremely knowledgeable give we great overview hotel amenity . right away choose book ! moment arrive pleasantly surprised hotel 's ambience - great music , candlelit lobby , friendly welcoming staff . next good surprise room , expect great ! upgrade suite upper floor - great amenity , spectacular view city , huge bed , everything clean great , chic design . well , upon arrival , find room bottle wine welcome card general manager ! sweet ! business card definitely come back . stay hotel definetly make trip NYC much well , great location , close lot shopping , trendy restaurant bar , good yet - walk distance Central Park . love ! ! 
 Jul 24 2009 	 quite expect webinfo review would stay 	 surprised upon arrive see gas station near foot hotel . internet $ 15 day . close subway station 10 - 15 min . walk . top 1/2 hotel view East River due adjacent building . room clean free odor , etc . design furniture pleasantly decent . Room ( Standard ) small 2 adult , though . staff friendly pleasant . 
 Jul 19 2009 	 WOW WOW WOW - Trendy Hotel Fab Staff 	 Hotel poor review , opposite experience . upon arrival upgrade suite , find get married day & amp ; receive champagne reception staff , congratulation & amp ; freebies manager & amp ; beautiful bouquet fresh flower day wedding . suite extremely clean & amp ; spacious , comfortable bed , lack storage though . also , lift ( 3x ) take little arrive . staff amazing , could enough we , wed party 10 ! ! bellboy great , store dress day wedding & amp ; generally laugh us day wedding ( long story ... try keep & amp ; h2b apart ) . rooftop amazing view Manhattan ... location spot - on , Hotel locate residential district quiet , ignore horn go day long throughout NYC . block big name street . there diner & quot ; Ritz Cafe & quot ; 1 block away , frequent daily breakfast . taxi' / cab easy come . Tour 's purchase Concierge . Loved , GREAT HOTEL ! ! 
 Jul 5 2009 	 lovely hotel desk staff friendly 	 thought hotrl great clean affordable okay location walk distance goof food drink bloomingdale . couple block away 5th avenune nice walk . 
 Jul 4 2009 	 nice average hotel 	 review read accurate . front desk woman friendly . door man nice front desk employee . one feature hotel marble counter , notice chip . love view room really make stay . room nice . air took become cool ok . shower faulty . half glass door shower open make whole floor wet ! ! cool . size room good not mind two bed . charge everything . minibar outrageous , coffee maker , damage hairdryer . need well care hotel ! would call luxury four star hotel . location ok not mind walk . good location look stay city . short walk central park , near movie theater , recommend rodney dangerfield comedy club street . nice breakfast diner across street well . take subway across city way go . try attempt walk hotel Guggenheim museum , far ! ! husband great time city would say . 
 Jul 1 2009 	 Great Hotel Bargain price ! 	 boyfriend spend week Bentley Hotel start June manage get bargain £ 71 per night . on Southern Tip Upper East Side , Bentley locate safe lovely neighbourhood ' position right river make fantastic view . nearest subway station 10 minute walk away bus stop ( take across town ) right outside hotel . we request room high floor ( peaceful night ' sleep ) advance arrive , get high floor upgrade suite ! suite spotless , everything need ( exception extra hangar wardrobe ! ) staff could not enough we everyone front desk maintenance guy friendly . all , Bentley everything need perfect trip NYC . 
 Jun 30 2009 	 good NYC value way 	 Booked Hotline , get good 4 - day rate , pleased comfort . lot servic , bit way ( 5 block subway station ) bad neighborhood walk . 
 Jun 18 2009 	 Wonderful Hotel 	 stay NYC BEA expo Javits must say love hotel much . would stay . 
 Jun 17 2009 	 Loved Hotel ! ! : ) 	 second stay even well first . room clean available early check . room service great , reasonable price New York . front desk helpful friendly . definally stay . 
 Jun 14 2009 	 want modern light clean hotel near centre town - not stay 	 Bentley dark , gloomy , unkempt , facility . I throw well furniture hotel . bathroom good , bed clean , oh dear , rest room hotel awful . arrive tiresome journey room eas available , ask could get cup coffee , shocked find hotel could not provide . merely tell go next door fill station convenience store ! restaurant appalling , dirty , shabby furniture , poor food , buy drink bar , staff ask tip ( yes literally ask ) .worst , 's far centre town unless like walk hour , taxi always require ( taxi driver even hear hotel use street map find ) . could not wait get place . 
 Jun 10 2009 	 Fantastic -- highly recommend 	 simple , elegant , clean , fantastic value . excellent service , comfortable bed , lovely linen , beautiful view Queensboro Bridge . 
 Jun 4 2009 	 good option NYC - would stay 	 pro : beautiful room , great view , comfortable bed ( double fit two friend comfortably ) , good access , clean everything , convenient restaurant ( try Luscious Thai , 1 block 1st ave - amazing ! ) , starbuck , short walk subway , shopping Roosevelt Island Tram ( GREAT evening view Manhattan ) . cab convenient 's right beside cab refuelling station . con : inexperienced front desk staff , many service / amenity hotel side ( ie bar fridge not actual fridge , vend machine ice ) , walk hotel shopping subway would long bad weather . walk distance : UN , subway , Central Park , 5th avenue shop , Roosevelt Island Tram . Columbia Presbyterian hospital , Museum Mile . our stay bit atypical get wheelchair accessible room ( ) - huge ! paranoia part travel companion , worried hotel would like , pleased find beautiful , clean , fashionable room standard full / double bed ( special & quot ; NYC size & quot ; ) standard hotel room amenity . find front desk staff cheery friendly , bit inexperienced . key cancel one evening late night could not get room - simply swipe credit card wrong need . seem bit overreaction . hotel renovate recently TA reader understand many old review may pertain hotel pre - reno pre - rebranding . mod boutique look bright white sheet give we feel clean comfortable , . reviewer complain location noise obviously never live city - subway , shopping , food sight within 4 block walk ( small block ) . noise - well , think have trouble find anything quiet NYC ! fear noise FDR expressway next door , noise actually cab intersection instead . friend use earplug sleep , not , we comfortable . 
 Jun 4 2009 	 suprisingly wonderful 	 read review noise highway complaint find nothing complain . stay ADA room , find one minor issue closet bar high ( traditional height ) . noise - two thing consider - one busy city - noise relate - yes go taxi 's honking , siren like 's issue bring earplug - FDR , noise not come - not even hear stand outside hotel . Location - 's within walk distance subway major bus route walk everywhere - UN , Central Park , Metropolitan Museum , take Rosevelt Island Tram - location perfectly convenient sense not leave hotel door find 5th Ave middle traffic Grand Central , wonderful we . enjoy restaurant side town end day would walk back hotel . wonderful Thai restaurant 3 block hotel would eaten night . room , clean , well keep daily , whole not huge channel selection TV 's be NYC ? service adequate , recommend pizza place we order one night whole friendly helpful . only suggestion would wireless access affordable option procure additional fridge - would appreciate able store less available dietary option emergency purpose . 
 may 31 2009 	 Scoring ` ` B- '' Bentley 	 need upper east side location close Hunter College graduation .... also rendezvous out - of - towner wander Brooklyn Bentley get nod Fitzpatrick , Lombardy , Kimberly , Affinia . tell property actually convert office tower WORLD - HOTELS brand sweet spot view East River Roosevelt Island $ 200 per nite . Most TA comment # 165 rank spot - on ..... somewhat well room size , subway access , overall refinement , likely trade - off choice . example , drive car off - street parking less small ransome priority ...... $ 20 per nite tarriff , albeit valet garage actually private operation opposite end block , well anywhere NYC . rooftop bar - restaurant bohemian minimalist , lack usual trendy accoutrement .... six cocktail two beer $ 58 , reasonable tarriff take . northeast corner room great floor - to - ceiling window irregular soffet wall offset prevalent narrow walk space somba - swivel clearance around furniture bed . check - in uneventful quick enough , arrive relatively late Wednesday nite two day stay , appear shortage line problem desk . NOTE Management : one clerk 197 room obviously good practice . we score & quot ; B- & quot ; Bentley primarily base tainted substandard bathroom notable annoyance . 35 square foot bathroom disaster every front : ventilation whatsoever point wooden door swell can not closed ..... even open room mist like sauna ; pedestal sink tiny small soap dish constantly fall basin ; half - curtain glass shower indeed keep HALF water , HALF water floor ; toilet bowl protrude front doorway , always pleasant site enter room . note Management : install exhast fan shower drywall ceiling come ; change swing bathroom door hide view ; buy shower curtain . the rest annoyance correctible include : horrible tv reception ; ridiculously slow elevator ; problematic room keycard -- sole maintenance guy run hotel let people room leave we wait forever get ; last least , noisey unrefined guest yell hallway make prank call . yes NYC folk tend let hang , expect well manner midnite Thursday upper east side visitor . bottom - line : not park car target specific spot upper east side , well choice comparable dollar , especially come luggage -- Lexington Ave subway 6 block walk .... TIP : use 61st St really cool household furnishing store . otherwise couple night consider Affina Kimberly ..... extend stay , many vacation rental property area well value . 
 May 17 2009 	 mixed experience 	 contrary previous review , staff friendly helpful . room clean little noise outside . bed comfortable . side , Hotel way . go crosstown lot , crosstown bus slow walking . negative air conditioner , extremely loud ; however , turn , room become unbearably stuffy . internet , $ 15 , outrageously price fitness center , deal go nearby club $ 10 . hotel practically East River , still restaurant store within block . 
 may 14 2009 	 concierge location lack .... 	 nice clean hotel , location lacking . close hwy far remove everything . David , concierge , rude helpful . call get suggestion dinner bark say busy . sorry bother . not like job go work somewhere else . 
 may 11 2009 	 Nice Place Great Value 	 NYC one night see Van Morrison MSG . not feel like like break bank hotel , bentley inexpensive choice . room clean pretty stylish sort faux modern - asian way , bed incredibly comfy . hotel slightly way , certainly still reasonably close enough many attraction . complaint would tv seem work properly , want watch tv be New York anyway ! 
 May 10 2009 	 clean pleasant quality hotel . 	 good hotel ! clean room , pleasant helpful staff , comfortable room , great bed . shower terrific water pressure . two cross - town bus stop right hotel . would stay . 
 May 3 2009 	 Nice Hotel 	 send Bentley room Wellington unavailable . much nice place room superb . good stay NYC . 
 Apr 29 2009 	 great Spot complaint post obviously stay NYC 	 hubby stay Bentley three night . get upgrade suite get room top floor restaurant . room clean bathroom ( although could use good dusting corner ) . bathroom stock shampoo , lotion etc also good work hair dryer supply . lot hot water water pressure bit poor ( high though ) . tv plasma / lcd channel great reception , big deal we . order movie one night 12 buck . restaurant wonderful view menu not appeal we not eat . front desk crew great we include call we right check make sure happy room . parking 20 buck night remarkable parking onsite NYC ! . thrilled . issue . hotel safe part NYC walk night little worry . hotel five block close subway ( 59th Lexington ) bit walk NYC ! . walk Rockerfeller Center take less 30 minute . one restaurant mention Espresso 's Caffe 1135 1st Avenue www.expressoscaffe.com . must go . one block hotel Francesca staff serve amazing pasta bread . price amazing portion size overwhelming . eat two night bring back hotel pack plate , cutlery , parm cheese etc . spoil we rotten first visit future trip NYC . ( Francesca read , keep fight cancer plan see next year ! ) make sure get garlic bread ... full loaf amazing crusty italian bread moist middle . Yummy . all Bentley wonderful would stay . pay 138 CDN night lucke sure . stay hotel Manhattan pay get much less . 
 Apr 23 2009 	 good hotel keep eye front desk clerk 	 get back ny - go game new Yankee Stadium stay overnight Bentley 62nd Street . really , pretty ok hotel , four star relatively clean comfortable reasonably price NYC hotel . european feel - moderately dingy old school charming sort way . location ok - little beat path . decent neighborhood ( Upper East Side nice , else say ? ) hotel fair walk away nearest subway . complaint clerks desk young little condescending , good way . one point get elevator lobby yellow cone front elevator door say & quot ; wet floor . & quot ; get push button floor wait stand wait nothing happen . awhile gave step back lobby terrifically professional clerk behind front desk laugh one call we service elevator . ha , ha , laugh Chuckles . could tell , ? oh would require hint customer service . top get notification morning credit card - one use hotel ( time use NY ) cancel replace & quot ; compromise & quot ; & quot ; fraudulent activity . & quot ; Gee , wonder happen ? anyway would recommend hotel , keep eye child behind desk . whatever , unless happen humiliation , not get service elevator . 
 Apr 8 2009 	 try luxury hotel - fail miserably ! 	 travel lot work ( mainly east coast ) experience nice hotel , hotel come close & quot ; nice & quot ; hotel . hotel room small ( expect new york ) , however , suite - still small much furniture make hard walk room . door bedroom could closed , however , handle miss inside , door closed , way open . sofa bed large hole outside sofa - visible , place old run down . I call ask increase heat maintenance come want know - wait show . call ask set code safe , quite time hold tell maintenance would instruction , wait long time show , ready give , notice put instruction door without knock let we know . order room service twice , & quot ; dinner & quot ; chicken , come veggie potato bland worth charge , another time order appetizer - reheat likely frozen food , hand make . room service breakfast , continental buffet . hard get taxi , 10 - 15 dollar time get town ( Time Square area ) . all - in - all great hotel would stay . 
 Mar 26 2009 	 Nice Place 	 stay Bentley handful time business also combine day leisure . really like location business meeting . love walk one block several great place eat row . bar upstairs beautiful view great place hang . room boutique like modern . visit NY see Broadway show , recomend Times Square great location Upper East Side . People give Bentley mixed review positive experience would recommend . 
 Mar 18 2009 	 Good Hotel - Good Location 	 stay Bentley . good , clean hotel . room nice wall thin ! nice neighbourhood . supermarket , shop within short walking distance . bus stop accros road . street noise level night bad West Side . will back . 
 Mar 18 2009 	 good value 	 shear luck , hotel Moderne original reservation suffer water damage night . call inquire parking lot claim try notify even though zero miss call . event , upgrade one hotel , thus leave we junior suite Bentley . location great , midtown east right FDR . walk distance shopping , movie theater restaurant . room quite nice , although tight & quot ; suite & quot ; title . comfortable bed , great view , big flatscreen , tiny closet upscale , spa - like bathroom . first time ' ve ever shower door curtain . scary first bad overall . look rate stay would say quite reasonable city . rooftop restaurant outdoor area . construction outdoor area ' m sure would beautiful place hang couple drink . 
 Mar 12 2009 	 Great Place ! 	 great ! Husband stay 6 day , room big great we . thing coundnt order movie , problem . top floor great restaurant , VIEW wonderful . service great , friendly helpful . would stay . 
 Mar 10 2009 	 pretty ok stay 	 partner stay Bentley Hotel Valentine 's . seem like walk forever get hotel form train . get hotel , pretty ok . room nice view good time . problem stay heat generate room . terrible . place heat knob high could go freezing butt , stay wrap cover night . , would say ok stay . 
 Mar 4 2009 	 clean ans spacious 	 stay hotel bentley , feb 14 - 21 first time N , nice clean hotel , good view , towel change daily , bit , reflect pay per night , easy walk distance central park , enjoy hop on / off tour bus , distance , be not problem , staff always polite , problem room , one heater , hot , turn easily enough , great time bentley , would stay , look tripadvisor , advice , go , review mixed , happy stay , 
 Mar 4 2009 	 surprisingly good boutique hotel- Upper East Side 	 stay Bentley , E. 62nd York , last weekend . little undiscovered gem reasonable rate . maybe 's location , perfect we . nice room , linen , view . serene environment , simple modern look , pleasant desk door staff . complaint charge extra internet ... otherwise , great place stay , either work pleasure . 
