small 	 read negative review website , decide upgrade arrive hotel . upgrade standard double en - suite executive double en - suite cost we £ 15 night , well worth money . explain standard room small , room little bed . upgrading get small , rather nicely furnish bedroom , high double bed ( wooden carving India style ) , room underneath stack suitcase . tv , big indian wardrobe , desk . big window face Trebovir Road . bathroom small , nice tile wall nice equipment , clean ( ! ) . first morning breakfast room full , decide breakfast local cafe instead , next two morning eat hotel . breakfast good plenty : roll , bread toast , croissant , muesli , fruit , cheese , coffee , tea , juice , milk ...... service also good . room ready arrive leave luggage foyer , return , luggage hade place room . next morning discover electric kettle clean ( probably early guest warm milk something ) point , kettle change immediately . some reviewer complain room size . quite agree , everything hotel tiny . web side photo almost real size photo ! tine reception , tiny room , narrow staircase , be plan spend much time hotel , serve need . location convenient : 1 min Earls Court underground station .. 
 Jul 28 2009 	 Courtesy value money 	 friend recommend Mayflower Hotel we , time ago , high expectation . fortunately disappointed . hotel close Earl 's Court station , therefore easy travel Heathrow airport , 15 minute London 's West end . hotel look great inside , lovely architectural detail , use beautiful fabric make wonderful atmosphere . room comfortable , clean , staff friendly , helpful . would highly recommend hotel , look forward return visit next year . 
 Jul 23 2009 	 Pleasant surprise convenient location ! 	 stay pleasantly surprised . recieve newly renovate room low level modern , clean quiet . the one thing remember staff go trip post divorce little arrive . show room desk girl come room ask need anything want talk minute . seem genuinely interested helping . honestly sweet unexpected . my stay week close earl court tube station walk distance nice pub thing . nice charming neighbourhood feel safe . I really like room bed soft bathroom really great ! walk open stone slate shower , bowl swan neck sink clean . pleasant surprise glad choose . 
 Jul 20 2009 	 Excellent 	 four friend travel around Europe London last stop . hotel book last minute actual hotel suppose misplace booking find really impressed level service receive since time step hotel till time check . member staff really pleasant helpful . wonderful stay come back mayflower . room enough space clean . breakfast excellent . love lounge area really relax small garden back hotel really nice dinner . ' agree people say room small experience room small european country . 
 Jul 12 2009 	 absolutely cramp 	 place nothing special .. especially price ! stay hotel Paris , Berlin Rome nicer one less half price . tv room desk chair ... tv take desk space , chair close bed literally could not pull far enough sit ! place real disappointment . 
 Jun 18 2009 	 amazing 2 night WONDERFUL hotel 	 arrive mayflow little apprehenisve read recent review . walk leave Earls Court tube station , leave , 1 minute road mayflower , first star location- central easy get . arrive lovely reception area greet friendly helpful receptionist , second star . ask take payment room , want see room first allow swipe credit card pay check room , third star . lead outside hotel stair basement room tell upgrade luxury suite , fourth star . wow . huge four poster bed , beautiful furniture bed , kitchen , dining table , huge tv , walk closet massive bathroom giant shower . happy girl , fifth star . everything clean high standard , problem remote die , be not really interested watch tv anyway . could do towel , careful shower ... flood easily door , wetroom . fantastic 5star 2 day getaway London fact pay standard double room make even well . back ! 
 Jun 15 2009 	 average - nothing special 	 arrival hotel look lovely , reception & amp ; lounge modern . lift small ! stay room 34 , & quot ; compact & quot ; , air condition open window close noisy - train ! ! ! ! . bathroom lovely . go breakfast find breakfast room nice modern , ask traditional breakfast want continental , choose scramble egg , mushroom , tomato , sausage toast price - £ 7.50 ! ! ! ! ! ! tell halal sausage - please forgive London would least like choice ie : british sausage , vegetarian sausage halal ! ! ! ! end choose scramble egg , mushroom & amp ; toast - £ 3.99 stay would skip breakfast pop McDonalds round corner - would cheap ! ! ! ! whole hotel clean thing could change - air con would make pleasant . 
 Jun 9 2009 	 small room 's London go 	 Earl 's Court , main traveler ' district , not expect meet many Londoners . nice place , friendly cooperative . clean . room unbelievably tiny two camp cot sized bed . honeymoon . would come London honeymoon anyway ? good value money . 
 Apr 22 2009 	 safe bet mid - range London hotel 	 book 7 twin room two night accommodate half stag party weekend . age attendee range mid - thirte late forty , keen end hotel resemble scrofulous fleapit previously displeasure endure business trip London . first impression good ; friendly enough staff , small smart reception area . room well - appoint , little compact side ( even London ) . good man ask one well room ( purely sake groom , course ) , perfectly happy . small safe , decent tv tea / coffee tray , decor clean modern . selection see , every room individual styling , complaint party . bathroom treat - quality fitting & amp ; fixture big walk - in tile shower good pressure unwavere constant temperature . bed comfortable fluffy duvet , 2nd - floor room not get much street noise ( would notice , arrive back 4.30am ) . 24 - hour night porterage , happy hold bag check - although not seem massively concerned security , see several bag sit unattended small lounge adjoining reception . Breakfast seem divide opinion . friend 's poach egg look tasty , although report suggest standard consistent . continental breakfast include , anything cook la carte . personally , would put standard breakfast fairly low list priority choose reasonably - price London hotel - Earls Court Road 30 second ' stroll away , surely find something eat ? dedicated curmudgeon could probably find something moan , purpose Mayflower deliver expect . 
 Apr 17 2009 	 never ! 	 let us start positive ; location almost perfect - less minute Earl 's Court tube station , external appearance good , room size ( deluxe ) acceptable bathroom good size function ( thank god ) facility . now negative , whilst London stay hotel room period stay standard expectation room e.g . cleanliness , facility etc . first seem good , advise check ( pleasant receptionist ) upgrade standard double deluxe double . however , first thing surprised request full payment advance something use Hotels hotel stay provide service make payment departure ( soon discover service hotel pay front ) .So bag duly drop , spend rest day explore London ... wonderful evening , get back hotel first shocker - make pillow , hair bed ! ! ! ! swiftly follow realisation telephone room order contact reception , 3rd floor mood go back reception . go complain morning point nugget information duty manager : bed issue , telephone , tv advertise , dirty towel room , stain bathroom floor , dirty / dust general - meet lack interest lack action staff . also point card state facility provide meet room provide point think let see would make interested . everything appear interested miss trouser press random handyman turn shortly install - not think take board sarcasm voice say room.this discover reason take payment full check - strongly think check move hotel second night , would obviously want refund - go happen ' policy ' hotel cancellation 48 hour advance - would bit difficult already check not see shocking state room ! ! ! offer we move room standard room - happen see box room call hotel room . in summary - go mayflow wish money take dirty room , dirty towel , dirty pillow hair ( someone else ) bed management / supervisory staff interested least anything say . attitude grateful let complain anything . 
 Mar 1 2009 	 Good 	 stay one apartment pleasently surprised . apartment right next Earls Court tube station opposite Earls Court . decor modern , clean kitchenette good . downside quite walk main hotel - 5 - 10 min . check , walk apartment ; not wear heel like ! 
 Feb 21 2009 	 Noisy Room - Unprofessional Reception Staff 	 not go least - not accept room . 33 ! arrive hotel Friday evening tell could profit upgrade & quot ; executive suite & quot ; price . strangely enough girlfriend pay room ( . 33 ) advance credit card . soon know ... Saturday morning ( 7.30am ) awake disturb continuous loud humming noise last 15min - enough fully awake ! complain reception staff tell we would check problem . say first time ever someone complain noise . Sunday Morning wake 04.45am noise . regularity noise finally guess must warm water pump instal directly bathroom . every time hotel guest take shower noise make sleep impossible . complain reception staff give we finally another room third night . however ask appropriate refund able sleep ( one might think undisturbed sleep would one main purpose hotel room ) staff show absolutely comprehension tell we hotel manager Faisaal Saloojee could decide refund , back Monday ( course long schedule departure ) ... write request refund deny follow argument ( extract ) Frank Davis , Customer Services : & quot ; every room hotel water pump ... unfortunately control hum noise ... unfortunately , first complaint noise general try locate source noise avail ... guest might light sleeper ... unfortunately , unable honour request refund refund guest 's stay must make guest 's stay & quot ; ( nice one , huh ? ) & quot ; fully use accomodation supply without attempt cancel booking . occasion would able offer refund & quot ; .no comment ... 
 Jan 21 2009 	 never 	 arrival tell record confirm booking , take age sort due go company Christmas party stress . room tiny even one night . bathroom clean much noise night windows double glaze . arrive breakfast 8.30 next day tell run . rude staff would help . Hope representative London hotel , travel extensively say hotel India Eastern Europe grade far superior . 
 Nov 14 2008 	 Disgusting place 	 book single room 4 night . room top floor . small hotel room ' ve ever see , small EastHotel room . it impossible put bag anywhere . constantly noise railway . November , room extremely hot even window open . instead duvet , dirty blanket . wall paper thin . I cancel book sleepless night pay 2 extra night due book condition . in end pay £ 10 stay Hilton . single room 4 time big [ -- ] hotel offer . 
 Oct 31 2008 	 Small Rooms Dirty Noisy Rude Staff 	 visit London funeral , unfortunately travel sleepless arrive realise Hotel recostruction , especially front area . inform travel agent never inform therefore not inform specific detail . taht make difference noise not problem face stay Mayflower Hotel & amp ; appartment , see below . my room face front constructor could even see inside room . also not room prepay booking . ask single room double bed , room bed small midget ( offence midget addorable ) could happily sleap , suffer claustrophobia room ideal give panic attack . bathroom dirty mould dirty several corner . so kindly ask move another big quiter room , say not available room except another midget room & quot ; basement & quot ; . also reffere elevator could fit one normal person suitcase barely could fit it . dead tired emotionally exhausted Iand hope find peace rest quiet room , move room suprise similar one , time room next train rail next breakfast area . ( also breakfast include cost another 10 pound night laught . food church give homeless gourmet compare hotel serve breakfast . know mother one organise ! ! ! ) alternative stay one night inform duty manager reception ( way condolence situation - funeral- rude person ever face life ) , cheke next morning stay one night instead two . I fly attendant nine year believe even recall number hotel stay . this lifetime exprerience must admit one bad . closure must inform reader hopefully owner hotel , review prepaid amount second night never refund suppose since intention leave hotel not choice . thank 
 Oct 27 2008 	 great stay Mayfloowe 10/10 	 really sweet well furnish ' bijoux ' hotel , next door earl court tube easily accessible lot top attraction . room really nicely decorate , small everything good standard ( get free upgrad standard executive room though ) lounge breakfast room really nice , inclusive continental good , lot choice . friendly service , good value money would really really recomme , 
 Oct 21 2008 	 Small Room 	 stay Mayflower Hotel offer good rate meeting planner someone else pay stay . arrival give room top floor overlook rail track extremely warm / hot . room also extremely small . go reception ask receive different room face away track . equally small . small place 21inch roller bag bed open , store bag close upright position . build - in desk bed close could move chair back sit . stand front desk move chair sideways till behind , sit reverse get . bathroom equally small . water hot pressure shower low . I unplug something get free outlet laptop . hotel elevator also small slow . one person one roller bag fit once . free WiFi offer lobby receive signal room . Continental Breakfast include cold cereal , whole fruit bowl , roll bread , slice cheese , tomatoe cucumber along juice coffee tea . full cooked order breakfast offer additional charge not try . hotel staff nice , hotel clean , location convenient room small . 
 Oct 20 2008 	 not believe Internet Page 	 book mayflow Apartment alternative stay five night small hotel room . take Hotel street & quot ; cave & quot ; Warwick Road surly staff member , thankfully , deal . room , ( " apartment " ) one small window access 3 locked door cramp hot . noisy fan form ventilation . double bed squeeze alcove large amount space take & quot ; cupboard & quot ; housing hot water cylinder . pot pan provide stove top ? ? bathroom least , clean modern . location couple door away entrance Earls Court tube station bonus . a disappointing welcome London would recommend traveller request detail apartment confirm booking . 
 Sep 30 2008 	 Great Hotel 	 stay hotel husband four night sightsee London . book Mayflower read review Telegraph say good value money . find excellent every respect . we friendly welcome receptionist tell upgrade executive room extra cost . room quite spacious nice bathroom include good size corner shower . could work safe work without quibble receptionist send porter show we . room spotlessly clean bed comfortable . self service buffet continental breakfast plentiful excellent . the proximity Earls Court tube station make mayflow good choice explore London definitely stay . 
 Sep 20 2008 	 Disappointing 	 book stay Mayflower George Michael 's final concert . make reservation tell book luxury suite , look website impressed hotel offer quality . on arrival , little early , tell room yet available . issue London . however , finally check find main hotel associate apartment block Warwick Road . thing start go wrong . apartment sparcely furnish ( kitchen area use ) bedroom room either side bed get , chair break bad way shut incredible noise Warwick Road either lounge bedroom area . needless say stay , thankfully one night , much disturb . the website desribe good fitting within bathroom walk american type shower . turn overhead appliance end small bath ! furthermore , luxury bathsheet 2 small towel bath mat . do draw wonder picture website trully representative reality ( case anyway ) . believe lucky enough get room book hotel , thing much well . sadly enjoy stay despite confirm Luxury Suite book twice prior check in . we email hotel respond quickly . small refund promptly offer , compensate difference price apartment luxury suite . however , look luxury make sure Warwick Road request stay main hotel . 
 Aug 19 2008 	 great hotel great location ... 	 stay first visit UK 2003 . time hotel seem go upgrade . stay double room find small adequate . decor modern comfortable . bathroom beautifully do modern . location stone throw Earls Court tube station . would stay . safe area room comfortable . 
 Aug 12 2008 	 Mayflower Magnificent 	 Mayflower Hotel Apartments London magnificent . I book family 5 , 2 adult 3 child apartment via another website . surprise get arrive . reception absolutely gorgeous breath say husband must mistake could not stay price quote . well way right although free use hotel facility apartment across street . another terrific surprise . penthouse live 's good . family overjoyed . place immaculate keep way excellent maid service whole week . we London whole tourist experience th mayflow excellent base . situate 1 street away Earl 's Court tube station easy access London 's top attraction . feel like evening everything neighbourhood . we would not consider stay anywhere else . 
 Jul 27 2008 	 please consider carefully stay 	 choose hotel stay night vital exam Earls Court . read reviews Trip Advisor contact hotel directly make booking specifically identify need quiet room preparation exam . confirm double room single occupancy . on arrival late evening , informed fact book room , ' apartment ' . apartment find basement flat , away hotel , adjacent Earls Court Station . constant noise train . room clean . phone room present increase difficulty due poor mobile reception basement room . around midnight occupant adjacent flat come thin wall mean noise flat keep awake 4.30 . addition train adjacent occupant , around 1 be people ring doorbell sound flat . lack room phone mean could communicate hotel reception . the disturb aspect response hotel management instead apology mislead booking , say could do refund money have check 1 am . explain nowhere stay , 1 am , street around Earls Court , exam mark end surgical training morning absolute bad situation . however even slight empathy . upset attitude management , feel good justification . anything else , would make urge anyone think stay , reconsider 
 Jul 11 2008 	 mouse 	 think hotel pretty decent 3 budget traveler 99GBP / night - breakfast inc . ; except mice room . believe , mouse everywhere London old building like Mayflower , critter run around surprise . especially like convenient location almost every business could think ........ restaurant , 7/11 , fish & amp ; chip , photo studio ( need 2 photo purchase underground pass ) , travel agency , even couple mini casino , etc & amp ; etc . hotel clerk friendly helpful . unfortunately , waitperson serve breakfast could not speak English . international exchange student one come far Mongolia ! 
 Jul 1 2008 	 REAL Mayflower Hotel ! ' believe web site 	 hole room web site Mayflower Hotel ( -- ) ? certainly ' find . imagine try get bed arrive large suitcase - thank God travel light . oh , chair fun try get . alternative offer equally small basement room ( hmmm , surprise , also web site ) window mostly face wall ie light . ask refund see miserable room – call Police recording ' quality service ' Nokia N95 . certainly never forget place . to see video room : ( -- ) 
 Jun 29 2008 	 scary small 	 may typical hotel style London ( usually stay high - end hotel ) surprised scared time . probably mention first trip London . greet 3 quiet , somber middle - eastern gentleman complete turban . obvious interrupted conversation sort check . needless say uncomfortable say least . check attempt take luggage room . Operatiave word & quot ; attempt & quot ; . elevator ( lift ) size vertical coffin ( 2 ) . yup - 's . see travel throughout UK 2 week , luggage , take 2 trip lift 2nd coffin - large closet bed - yea , room . mattress 3 inch thick , minimal closet space ( biggie , may ) . will spare rest detail , imagine . room clean , admit . bath , also , clean . , breakfast ( complimentary ) serve basement level . really not bad . upon leave hotel , ask front desk call we cab . large Mercedes pull , ( aparently private hire car ) man speak break English ( perhaps nephew owner ? ) get car start put luggage trunk . follow ( , green ! ) , get car tell take we Charring Cross train station . long ride life ( 4 mile ! ) . actually catch driver glare via rear - view window . stupidly ( not hind - sight 20/20 ? ) & quot ; glare & quot ; right back . 's wonder ' m alive . mind , ' m last one consider biased prejudice , true test amongst extreme culture . not type trave not bother , feel free stay - place clean - make uncomfortable . 
 Jun 18 2008 	 pleasant surprise 	 book one night hotel fairly last minute . arrival Earls Court tube sation realise stay another hotel area couple year ago dreafully , sense foreboding make way mayflow . street give clue good hotel . location central easy get around tube system , also plenty fair - good eat place easy walk distance . hotel reception clean modernan receptio staff welcome . room first floor front hotel small balcony . lift remarkably small , 4 person upstairs maze small corridor , extra signage would helpful . double room small everything need . it beautifully clean , well decorate furnish exceptionaly comfortable . bathrom right size walk efficient shower . overall impressed would hesitate stay mayflow . 
 Jun 14 2008 	 Great Location ! 	 location fantastic ! ! ! ! husband , 2 daughter ( age 19 & amp ; 24 ) stay mayflow 9 day June . extremely difficult find room London would hold 4 adult resonable price . husband travel England know hotel room notoriously small compare US little concerned amount space would . room main hotel , basement hall breakfast room . room fairly quiet much large expect . 2 double bed plenty closet space . desk 2 chair room still sufficient room move around . bath unusually large double sink . anoyance bathroom exhaust fan poor 2 people take shower room become humid muggy . room stand fan supply help problem . front hotel since basement windows street level . frosted nobody could see mean could see check weather leave room . spend little time room big deal . front hotel also mean not annoyance hear underground reviewer mention . also computer take advantage wireless internet . trouble get connect communicate people back home . the complimentary breakfast become little boring 4th day fill one less meal buy . cereal , yoguart , fruit , cheese , crossaint , roll , toast , juice , coffee tea . could order extra ( egg , etc ) extra fee . the good thing mayflow proximity Earl 's Court Underground station ! ! ! litteraly around corner ! end street Earl 's Court Road couple grocery store good place buy snack many eat place include Subway cute tavern . great pizza place call Snappy Pizza , pizza really good . can not really call price bargin ( nothing London bargin currency exchange ) experience mayflow hotel good would stay . 
 Apr 29 2008 	 Scam -- beware ! ! 	 book night hotel use property website . check - in , ask pay night advance , seem weird ( hotel bill check - out ) . pay , tell assign studio property next door , hotel full . tell studio spacious luxurious regular room ( ? ) . hotel employee show we way , build street front hotel . soon open door building could see disaster : build old , well maintain poor light . show studio , TERRIBLE -- furniture old , carpet dirty smelly , bed oddly position split level , etc , etc , etc . know go able sleep go back reception ask another room , preferably hotel . tell room one ' ve see one available . decide leave ask refund try luck go another hotel shock , tell could give we refund ( money jut pay 10 minute ago ) offer we room . unbelievable . argue one ungraceful employee reception desk say go back next day discuss manager authorize give we refund . could believe happen London , feel part SCAM . nutshell , leave hotel spend night another one . still wait 135 pound refund . lesson : & quot ; even dare get CLOSE HOTEL . 
 Apr 20 2008 	 lovely hotel great location . 	 arrive Mayflower Hotel freeze cold December morning ( two hour early official check time ) warmly greet helpful reception staff . even though arrive early expect , room already ready able key could drop bag head day . room lovely , although fairly small , everything need plenty storage hang space . bathroom , , although small clean tidy shower lovely ! radiator obviously leave prior arrival consequently , room lovely warm - just need ! little tip though - turn radiator go bed - we wake early hour like oven ! dining room lovely too- really modern contemporary ; food simple enough fill even though arrive towards end breakfast , plenty leave ! overall , staff friendly helpful , location perfect , ( literally 2min walk Earls Court Station ) room lovely ! would definitely return would recommend friend family ! 
 Apr 6 2008 	 Small still perfect ! 	 hotel location perfect - literally around corner Earl 's Court tube station Earl 's court exhibition hall . really handy Piccadilly line Heathrow , easy get town centre . the staff friendly welcoming . room quite small , though not matter barely ! however , room clean bed change daily , clean . newspaper leave room day , lovely toiletry bathroom . would stay problem . 
 Mar 30 2008 	 Pokey Bedrooms 	 spend night Mayflower - get move problem sister hotel . hotel look nice outside receiption ok room small dark room , outside wardrobe , put anything . bed hard uncomfortable room particularly warm . bathroom tiny sitting loo almost impossible knock toilet roll floor ( bruise elbow ) close wall . say , clean room . impression stay 4 * hotel ask newspaper follow morning look amazement tell Daily Mail room - want , happen , Mail appear next morning anyway ! ! breakfast room joke . cram table chair difficult get cereal / bread / fruit beverage offer . seem spend time queue edge around table - leasurely breakfast glad leave ! feel well 4 * hotel area make return visit . 
 Mar 23 2008 	 good hotel good couple . 	 read review expect small surprised bed push wall make tough person sleep side ( ie . ) get without disturb . make challenging wardrobe set right foot bed . bed rock hard , sore back . duvet weigh tonne make thin blanket . 4th floor look back yep , noise train stop construction would go night . wall paper thin get hear kind activity go adjoining room . there free wi - fi however signal weak . often hold laptop towards middle room get signal . television two remote explanation switch . take get figure picture pink . the bathroom small laughably tiny sink shower pretty good . the service good , people work reception friendly helpful . the breakfast cut 9:30 not get chance try thank location many great restaurant pub area . plus tube right great . if be one person stay totally recommend . two , would try get large room possible otherwise be go hard time . 
