close 	 Room finish terrible look DIY standard . Shower curtain mark , window full condensation bottom loo brown . noisy room front onto main road . would not go back unless last resort ( would pay go elsewhere travel office away . 
 Sep 15 2009 	 price right get .... 	 stay 3 night ... room 413 ..... compare room size hotel ' ve stay London ok . room nice tidy perhaps 4th floor noisy anticipate read review . airconditioner room may good choice summer . furnish also need revamp management want avoid future rating going south 
 Sep 15 2009 	 Dreadful - Replace mattress . v poor customer service . 	 stay 9 Sept meeting early next morning ( early enough prevent get train west country ) , PA book ( single ) room . normally problem Travelodge ( though prefer Premier Inn ) stay many around country - budget hotel well average 3 * honest . anyway , arrive check room ( 604 - think ) unpacked , lay bed god , bad mattress - thin wire / spring evident noisy slump middle . go reception allocate another room ( 601 ? ) - problem - though bad . go reception , allocate 608 time - guess ? yep . back reception fourth time give 611 . finally one seem okay ( relation ot other ) take room . say room like other offer tiny - 2 foot wide single bed 5 foot long ? dorm . okay travelodge say , stay many budget hotel never see room small , especially cost £ 105 . back 611 . try get sleep - poor night - matttress slump mddle ( though much other ) toss turn night - get 1 hour time . Result - one tired irritable guest . Breakfast do not help - , limited expectation budget hotel bad . cold , anaemic , watery scramble egg , cold overcooked bacon , overcook thus rubbery sausage . get idea . if Premier Inn , would not problem gettign refund guarranteed good night sleep , case start website - help . every time submit complaint website go lose commentary ( however remember copy press submit second time ) . , be not machine net function run fine . try phone . follow option end someone , explain situation , said & quot ; booking , can not help you . & quot ; ask complaint telephone get & quot ; sorry sir Barcelona do not & quot ; . eventually use contact phone press office communication director 's office get phone complaint - boy ever like make hard . must admit speak Press Office , phrase Barcelona Fawlty Towers come . complaint person tell story , pay net , would refuse pay room . tell would investigate . oh joy , email arrive late manager Marylebone say yes ws problem mattress one room other . . apology , offer refund compensation - pathetic . say , use Travelodge other lot . never complain always good / acceptable ( want budget hotel eh ? ) stay never compain . follow disaster , especially attrocious customer service experience , givie preference Premier Inn Travelodge low list . yes , sometimes thing go wrong . treat compaine customer correctly keep get praise hwo handle . bodge alienate customer get bad pr . 
 Sep 11 2009 	 Great Wembley Ideal London 	 stay u2 concert , turn right Marylebone station ( nice quiet ) 's 100 yds away . stayed 2nd floor overlook main street not hear traffic ( sleep light ) . arrive 11.30 pay £ 10 extra early room , reception say come back 12.30pm . walk 15 minute Regents Park , eat picnic return drop stuff . although 's station , be quiet part London , yet slow 10 min walk Tussauds . not eat comment . staff contact nice friendly . room fine , bed comfy flat screen telly wall ( be travelodge , people , ritz ) . station good sport bar , & amp ; food place , burger king , paul ( french patisserie ) cornish pasty stall . also couple coffee bar . 's Bakerloo line , connection great . char Cross ( Trafalgar Sq ) Embankment ( Tate Modern , London Eye ) Piccadilly Circus Wembley Central . chiltern railway run train Wembley Marylebone stop , within half hour concert finish back hotel ( ' m get old ) . not really want recommend place , may book next time want stay . , great base explore London 
 Sep 11 2009 	 great location clean room 	 would go back Travelodge . be right beside train tube station connection need shopping night London . clean room good size . bed comfortable . breakfast bit dodgy eat well station . 
 Sep 11 2009 	 SLEEPLESS LONDON 	 decide stay london night going see england v croatia decide stay travelogde marylebone . the location excellent right next marylebone tube station 2 stop oxford circus . we arrive 2.45 pm greet reception wes give key room 3rd floor . the room smell fresh clean fault could complain room untill night time ... light sleeper like get wink sleep , right ne tube hve coming go taxi rank right outside room stage night think rally excursion hear night boy racer loud exhaust fast could go apart fault hotel side clean good location . we pay breakfast £ 5.00 acs book online get discount , would say eat breakfast english brekky nice pay lot place eat 5 min away . 
 Sep 6 2009 	 great location transport West End 	 girlfriend stay 3 night June . room ok , clean big enough . location excellent , Marylebone railway station right opposite hotel . bus stop get bus West end minute walk away . the breakfast good , plenty choice . could cook breakfast cereal want . the bad thing would say hotel lack iron ! first time experience Travelodge hotel . would advise guest take travel iron . apart good hotel . would definately stay . 
 Sep 1 2009 	 pleasant hotel easy access City 	 stay 5 night Travelodge find pleasant .When arrive receptionist thorough helpful , pre book £ 53 night plus £ 6 pppn breakfast evening meal , bed comfortable bath toilet basin . 4th floor right next lift hotel full hear noise night , except outside traffic .The location great tube 100yards Bakerloo line 10 minute walk away .Our first night hot aircon ask staff give we sheet use instead duvet . breakfast good eat cereal english breakfast toast muffin .The evening meal poor worth buy .Our experiencse menu limit half available bring manager attention give we 5 night refund £ 60 use Weatherspoons Baker Street 10minute walk away , ruin stay outcome like .Overall would recommend Travelodge shall return use . 
 Sep 1 2009 	 Great Value money ! great location ! great breakfest ! 	 girlfriend really like hotel . great location ( half minute walk tube ) , 2 minute walk tesco,5 minute walk baker street . clean room lcd.nice breakfest ( eat ) .great value money pay . 
 Aug 31 2009 	 Great Location poor poor management 	 particular Travelodge first rate location - outside Marylebone Station right around corner # 453 # 2 Marylebone bus stop . area busy seem safe we . problem get Piccadilly Circus Tube Station ( take Tube Heathrow ) Marylebone bus - # 453 . great little & amp ; store station snack sandwich . cornish pasty little booth station great inexpensive . forget find place park car . not see parking place . bad news . stay 5 night . first 2 night bed probably 10 year old . hard lumpy . housekeep idea actually 2 people stay room twin bed leave towel 1 person even complain . cup spoon . miss tv control . tea coffee 1 person . also must severe soap shortage Travelodge chain . get one bar small bar hotel soap ever see . annoying . plan ask extra towel soap every day . manager get pay number soap bar give . usual Travelodge internet access cost fortune , decent 1 GBP per 20 minute machine lobby . we get move another room well bed street last three night . towel problem follow we new room fourth floor . street noise could problem first couple floor super sensitive . window block lot noise wall paper thin else quiet neighbor . the folk reception always polite ready help . problem . cleanliness acceptable . deem food price restaurant high good value . food look good plenty even late morning one time go area . I would recommend hotel base wonderful location . housekeeping poorly train manage would hard recommend otherwise . 
 Aug 2 2009 	 avoid low floor tube closeby . bad money 	 party 2 adult 3 teenager , 3 room 3 night . staff pretty friendly , quite helpful , language barrier several staff , English first language . bit struggle communicate time ... one room give ( 108 ) noisy night , right opposite tube also directly delivery bay , noisy 5 am ; actually phone day request top floor room , guy say would put request .... yet , put first floor , tell could top floor , ' the top floor full .. , ' ( yet tell would fine top floor , phone day early . ) annoy we bit . - especially end room right delivery bay . seem lack communication , person say ' could ' top floor , could understand we fully , make proper note ... stay , try ensure put high floor ... request high floor , make sure double check morning afternoon due check in . on third day , stuff avaliable breakfast , keep wait toast , sausage , plate , knife , milk , cup ; stuff ' do ' cool time stuff come . breakfast , be good value , eat muich like , sausage , bacon , egg , toast , cereal , yoghurt fruit muffin ; drink much juice tea coffee like . also , child 16 eat free , make sure mention pay breakfast ... 4 big breakfast include drink , £ 15 total , 2 adult 3 teenager worth money . eat 10 am , not eat til tea time ! come meal first night , ( bar , ) item menu available ... several travelodge , need get supply order . 2 room ( 112 108 think ; ) safety catch missing window , could open fully . need fix .. , soon check ( especially child / teenager , ) check safety catch , could mean difference life death . window one , ask moved room one ... overly happy thing , overly unhappy staff nice give we anything need . overall , stay average ; dreadful , brilliant .. must emphasise though , none fault staff , nice , clean staff efficient thorough . basically money , be worth ... brilliant . handy tube rail though . I probably would likely reccommend Covent Garden one one , close tube west end ( Leicester square Oxford street etc , ) room well , less noisy , get floor want , everyone understand we , food always available could find fault ... would say actually recommend Marylebone one ... several other much well .. however , be not AWFUL money ' ok . ' ... place available , would stay , would likely look room Covent Garden one . even king cross Royal Scot one really nice well supply food friendly atmospheric bar , be 15 minute walk tube ... fault one .... good thing Marylebone one 2 minute walk tube railway station ... staff friendly . 's ok , would first choice . 
 Jul 21 2009 	 comfortable stay 	 stay one night single room . room clean comfortable . bathroom large bath great soak . want 1 night stay London price £ 30 Sunday night good value . it situate right next Marylebone Station yet relatively quiet location . access central london easy via tube . the side kettle room mention reception immediately rectify . if look clean comfortable hotel London reasonable price would recommend hotel . 
 Jul 6 2009 	 hot noisy check without stay 	 1 positive . good location tube station . many negative . nearest car park £ 40 5 hour -24 hour . air conditioning - far hot noisy , check without even stay not worth stay rubbish night sleep drive home . bathroom date need rip . stay , would not want even use . think review must dream .... 
 Jun 21 2009 	 lot good point one bad one ! 	 good location , large clean room , small bathroom bath , shower , toilet sink want . bed comfy hotel right next Marylebone station . breakfast plentiful , cereal , bread , muffin , pastry , tea , coffee , juice hot english choice like scramble egg , sausage bacon etc . however get cheap breakfast station cafe two minute walk past station call Egg Bacon . WARNED , ask three time iron do not one invest £ 10 travel iron take one . overall enjoyable stay good location . 453 bus go station Oxford Circus , Trafalgar Square handy bus do not want use tube . 
 Jun 20 2009 	 Roomy comfy 	 locate next Marylebone Rail / Tube Station , 10mins walk Baker Street Station , get anywhere easy . book room early get 49 pound night , believe rate go even low 9 pound book really really early , like 5mth ? ! nice cafe round corner ( opp . Marylebone Station ) serve good breakfast 4 quid . prefer bus ? hop bus service 453 also area bring straight Oxford Circus / Piccadilly Circus 15 - 20min , depend traffic condition . Marylebone Station also take rail ( 45min ride ) Bicester village designer brand sell knock - off price - great location fashionista ! , would definitely choose hotel return London ! 
 may 26 2009 	 unwelcoming uninvite cold - will not go back 	 building conveniently close station , welcome poor . receptionist prefer write book rather acknowledge stand wait . room cold central heating summer ! matter English summer unpredictable evening cold . sleep well - bed comfortable . room grubby corner , window runner filthy , overall room cleaniness ok . bathroom basin plug break unable stay . light mirror hidden switch never find . toiletry one small bar soap . breakfast plentiful buffet , good selection , pleasant bright surrounding . , welcome . ignore two suited employee enter . first sign civility waitress approach , ask breakfast voucher - without hint smile let alone & quot ; Good morning & quot ; . lesson customer care need . 
 May 8 2009 	 Jesus ... get pay .. ! ! 	 first good point . good central location , near West end sight cheap . book month advance manage get 3 double room £ 30.00 per room . now bad ... check time unflexible 3 pm . turn 2.40pm tell could check pay £ 10 supplement per room . provide facility store luggage . drink bar railway station check 3.05pm . the room shabby , crack tile bathroom , peel paint wallpaper bedroom etc . overnight road noise unbelievable . slept roof hotel central Athens hear less noise . hotel city centre exist without double glazing ( even window size shape window frame sit ! ) beyond I . another two plus point . bed large comfy breakfast would extremely good value £ 7.50 per head , hot buffet hot . instead pile plate luke - warm sausage , bacon scramble egg attentive ( credit 's due ) take kitchen micro - waved . if book advance be use rough place . get quote anything £ 60.00 room look elsewhere . numerous budget hotel offer well value money place .. 
 Apr 23 2009 	 Excellent hotel fantastic location . 	 stay 11 night July couple year ago absolutely love . location lovely : proximity tube station , safety area , license street awesome food place inside Marylebone station . staff great , help direction anything else need . breakfast good , minus fellow countryman act like jerk towards staff . good thing not . overall , would recommend stay possible . 
 Apr 13 2009 	 Ideal overnight stay 	 good location clean . comfortable room looked recently do . nothing complain , great value . 
 Apr 5 2009 	 surprised negative review - think great ! 	 stay hotel recently please nearly everything . location starter ideal - opposite marylebone station good range food available . simply Food & amp ; really useful . get good welcome reception . really suprise see negative review - small problem regard plumbing bathroom complaint all . the bed look new fresh feeling room . hear lot traffic night reason complain - go London expect silent ! problem regard cleanliness room throughout hotel . would fully recommend hotel . 
 Mar 24 2009 	 Fine City Break 	 hotel final throe refurbish moment , new carpet lay hallway . complete refurbishment - new bed , new tv newly paint room - bathroom original suite new tap . shower work well though plenty hot water . the hotel well locate problem street noise . marylebone station right across road & amp ; use snacks breakfast . leave luggage facility hotel Marylebone station , . go either Paddington Euston station . long look hotel leave morning come night sleep , suit fine . 
 Mar 14 2009 	 poor overprice . 	 £ 92 absolutely tiny room dismal uncomfortable . the shower cubicle small could hardly move . the sink small could not fill kettle tap . when ask shampoo satchet tell extra cost . the whole hotel feel dingy seedy . it perhaps well sleep park bench even would questionable summer . 
 Feb 9 2009 	 run basic shabby ! 	 expect Travelodge property maintain acceptable standard ... one certainly ! ! wooden shelf , bath side toilet tank make dark mahogany wood warp really badly . paint flake wall . the excuse lack towel , pillow toilet roll ' save environment ' . not economise price , limit basic ? park difficult find be take car . good public transport - near Marylbone station taxi rank . on whole : average . 
 Feb 1 2009 	 never 	 go Dec 2008 , hotel old Ramada hotel Travelodge buy put name , first room mouldy smell , move third floor , lamp shade wallights corridor & quot ; fist & quot ; indentation walls.second room heating shower head keep fall mouldy smelt , stay else go . must hotel never shower morning feel everything dirty , compalin give free breakfast . this serve man see clean lobby , cold taste funny . the staff apologetic state say going refurbe 2009 start low floor first , need stay ask refurb do first otherwise give wide berth . 
 Jan 21 2009 	 Substandard 	 use hotel night 's stay could catch train early next day . we use Travelodge chain quite frequently usually good value money . occasion disappoint . weather freeze outside windows single glaze lot condensation . also noisy near station , even 5th floor . lot mould bathroom blind like look shower . look tatty need replace . the bed comfortable though linen fresh clean one bathtowel we . tv nice modern . since key - card function throughout hotel , every time go ask member staff let we back . pleasant make unnecessary work . expect rectify New Year . one two lift order . the breakfast special . food hot enough toaster not pop properly bread catch fire not take . rather dangerous thought . it convenient Marylebone Station unless major make - over , would consider stay . 
 Jan 14 2009 	 great value money 	 read review arrive think hotel go awful , much relief turn brilliant value money . twin room 4th floor , ( book early pay £ 43 night B & amp ; b ) . room decent size clean . bed clean . yes , need redecorate . bathroom clean , however tap , tarnished , couple chip bath , tired need refurbish , everything work repeat , everything clean . 
 Jan 5 2009 	 Tatty Run 	 book Travelodge base good experience travelodge sadly hotel tatty quite run . not think decorate 20 year room clean . good thing hotel staff . 
 Jan 4 2009 	 £ 19 per room per night good . 	 book Travlelodge want somewhere central London ( Xmas sale ) time Christmas New Year , want pay high price . I travel Swansea 8.30am arrive Paddington 11.45am . room cheap , book early check , able drop luggage 12 midday hit sale straight away ! ! oh yes , see Xmas light see sight etc ! arrive Travelodge Son check problem . staff friendly Card - key machine break , remain two night stay , take room member staff time want go . however , never problem , always someone available . allocate decent sized twin room , clean spacious . window bathroom old aluminium double glaze look shabby , hide behind big curtain . however , allow traffic noise , wake around 6 am morning . ( light sleeper , son hear nothing ) bathroom small clean , although grout stain black around bath . shower good . the room lovely warm , large radiator turn full . ( could control temperature radiator , day December full lovely ! ) load tea coffee etc room , replenish room clean . the breakfast eat want hot cold buffet affair really good . breakfast room little small , get table trouble . breakfast cost £ 7.50 , child sixteen eat free , great news , even well news son , nearly fifteen 5'10 ! state previous review , location really convenient . kind trip leave hotel morning , get back late , little time spend room anyway . all , although would happy pay £ 90 per person per night place , decent , clean room , good bed good shower , conveniently locate central London £ 19 per room . staff friendly professional . price , good value . 
 Dec 27 2008 	 slightly run - down dirt cheap 	 handily locate 100yds Marylebone Station . room tiny , would inadvertantly book single - room swing cat , adequate . turn away hotel have arrive 1.30 checkin 3.00 ( normally will allow check - in early , maybe room not available ) .The shower seem bit grotty ( dirty grout crack tile ) job . I ' m complain , £ 9 night - have book direct , take advantage one Travelodge 's regular & quot ; book 3 month advance & quot ; promotion . 
 Dec 15 2008 	 ok £ 29 per night 	 need bed night near Marylebone station go event O2 , £ 29 bargain . the double room decent size , although layout make good use ( lot unused space , yet need use mirror sit overly large chair no - one could get past ! ) . room wear - break lightshade , crack tile , clean enough , decent area . for £ 29 not think will get well Central London ! however would not pay £ 80 . 
 Dec 13 2008 	 Worst Travelodge stay 	 ok partly time year mean pay £ 90 single room breakfast include excuse shortcoming . room far generous size compare usual travelodge room . serious need care , shabby , need good clean good paint . furniture look like reject room seem clean . bathroom also need lot attention shower work properly need deep clean , fitting need repair well . place really disappointment seriously damage confidence Travelodge brand . balance think mark 2 place little generous . 
 Dec 12 2008 	 good bed London £ 29 	 Travelodge definitely one well hotel chain . situated 30 second walk Marylebone tube station , easy find . Marks Spencers inside station handy although tad pricy hey 's London . the staff friendly throughout attentative . the room first floor impress £ 29 night ! bed suprisingly comfy , bathroom see well day ' m complain . clean smell nice , plenty space hang clothe dump shopping . one small problem wall quite thin loud neighbour ( always seem happen ! ) will bear sleep . all impressed would not hesitate go back , nothing fancy good comfy clean bed nice hot shower ! 
 Nov 24 2008 	 really scruffy 	 Standard Travelodge , room good size location good look like need refurbishing year ago . entrance lobby carpet stain , pass stair past order lift notice paint kick door . wall mark paper damage . radiator cover break . room carpet stain , paint damage , sealant around bath crack broken , wooden surround around light washbasin hang loose . hotel price central London outrageous week £ 92 location not seem bad step inside find dump . 
 Oct 17 2008 	 great hotel clean good location 	 stay hotel long weekend . nice tpo usual travelodge standard . staff friendly helpful . room decent size get table big mirror lcd tv freeview . bathroom little bit small doesent cause problem . bed comfy linen good condition . one thing watch tho stay 1 night want fresh towel cleaner do not change even floor like state ask new towel reception give problem . great location 2 min walk marylebone train station easy get tube want . also go night easy enough get night bus back hotel drop baker street 5 minute round corner . would recomend hotel friend would say do not go expect 5 * luxury travelodge basic that s get . overall £ 100 2 night central london bargin ! 
 Oct 8 2008 	 good place jolly 	 stay one night gig London . ( Jimmy Barnes ) . right beside train / tube station handy & amp ; be pretty cheap . £ 40 double / twin . Bathroom could tile replace 's clean & amp ; comfortable . good spot away lad . 
 Sep 8 2008 	 great location frill hotel . 	 reception staff helpful check in . twin room 5th floor . shabby bathroom decor room clean bed comfortable . hotel locate next Marylebone train / tube station well place public transport . not eat hotel unable comment food . not good room travelodge visit around country £ 49 per night central London good frill option . Perfect want place sleep ! would happy stay location good . 
 Aug 31 2008 	 good location 	 good size bedroom bathroom small ! lot restaurant / cafe nearby step away Marylebone railway & amp ; tube station ( Bakerloo line ) .Book be tight budget get discount rate ( around £ 59 ) . £ 59 , lot well clean comparison hotel / B & amp ; b price . 
 Aug 3 2008 	 Serves purpose 	 read review , come conclusion either wrong hotel get lucky . I stay travelodge regularly business purpose quite happy frill approach . try like EasyHotel basic travelodge one step up . the location handy next door Marylebone Station . I allocate single room top floor noise minimal , room little hot fan door onto balcony open reasonable amount permit air through . the room small ( ' ve see small ! ) enough need - remind many room see place like Netherlands Austria . the bathroom fine except shower pressure bit hit miss - eventually work room next door also take shower vastly reduce pressure . in term cleanliness , could not fault it . the breakfast fine , issue there . I think point must remember Travelodge brand pay low price premium location , would defeat object increase facility increase cost . People always complain always mention website book . 
 Jul 26 2008 	 awful - spend money elsewhere 	 stay recently work stay Travel Lodges good value money . awful ! not tired would checked go somewhere else . the room small could hardly get dress without bump bed table . shower room bedroom filthy - like room not clean month . Mould shower , hair tray - yuk ! not want put foot floor touch anything . staff reception train deal sort thing - feel sorry obviously not know respond except say ' other people like ' . 
 Jul 23 2008 	 soooo bad ! ! ! 	 good thing hotel location . spend bit & amp ; not stay . thought could not go wrong Travelodge ..... boy wrong . enter hotel , brown patch ceiling & amp ; hand rail swinge wind . reception sort hatch grubby bench . feel sorry staff , know bad . go room , ask see another desk hang wall , bathroom mouldy , curtain . give three card different room . .... small , shabby & amp ; dirty . ever , not lift sheet mattress , mattress bed frame , yuk . end settle room , lose live . look well , hole size football bathroom ceiling , lot thick black mould around ... lovely . nice piece someone else chew gum next bin top . many thank travelodge.xxxx 
 Jul 13 2008 	 hot hot hot 	 room twin look Marylebone underground station . excellent location ( especially Lords Cricket Ground ) excellent value , breakfast nice woth £ 7.50 however bed room far hot make difficult sleep spoilt stay shame . 
 Jun 24 2008 	 good location fair price . 	 single room small clean well decorate . good location right station near Baker Street . would recommend . 
 Jun 23 2008 	 small small small 	 's say will say , single room small ! close suitcase make enough room open door get . bathroom wet room shower . mine fill whole bathroom water drain away time . the room scruffy , plus point nice tv . guess location convenient , not pay full price , be really worth . 
 Jun 5 2008 	 Agree Reviews ! 	 always difficult review hotel experience often focus particular accommodation room stay in . we give first floor room look directly towards Marylebone station . good view ! ... warm day ( 18 deg C ) , room bake . window restrictor safety , restrict air movement . Fan provide , sick ! naturally , air conditioning . window open negative effect noise - late night reveller , emergency service siren , early more rush bin man . good night rest . the en - suite similar shower shower everything , making & quot ; wet & quot ; room ! ! bedroom tired , indeed close refusal stay . stay hotel food - good place nearby towards Oxford Street . the location hotel good , seriously let poor condition . recommend refurbed . 
 Jun 1 2008 	 bone little gem shame skin ... 	 actually stay hotel 4 year ago Ramada Jarvis , know location excellent , first stay positive . book room £ 49 per night ( half term room cheap ) London steal . staff really helpful say location spot , room definitely go hill since last trip . room give half hearted rebranding , still old desk , lift still Ramada logo , bathroom cry refurb . room get scruffy , whole hotel would benefit complete facelift . if refurb take place , would defintiely regular guest . loaction fab , staff attentive , breakkie cheap . smartene , will not go back . 
 May 28 2008 	 good location tired 	 stay three time April 2008 location ( 2 minute ' walk Marylebone station ) price ( book early get £ 19 / night deal ) . Travelodge use Thistle hotel 's actually get character , unlike ' modern ' Travelodges . , like travelodge , not seem maintain shape form . my first two stay room face train station , rather busy road next station . room single glazing , noisy . third final stay request quiet room ( advance , apparently ) duly find face side street double glazing . bit quieter . the stay fine money say room tired worn - bathroom minute ( even UK standard ) third stay integral sink plug stick down . I not use ' bar ' & amp ; Marylebone station open 10 11 pm sell alcohol well usual food . 
 May 27 2008 	 good location great get good rate . 	 get twin room , stay bank holiday monday , 26th May , book well advance travelodge website . got room £ 29.excellent value rate , would not want pay £ 50 per night hotel standard . be basically Ramada Jarvis hotel buy travelodge , refurbish . the room end shelf life , bathroom , windows etc damp , extensively cover mould . bed etc clean , hotel directly opposite Marylebone station , good rail tube connection . would stay could get cheapo rate , want something special london break , go elsewhere ! 
 May 21 2008 	 Good Value 	 typical Travelodge & amp ; manage book saver rate extremely good value consider location . it right next marylebone station well good tube & amp ; bus route . the area pleasant & amp ; solo female qualm return night . the member staff reception polite pleasant time . not use bar restauarant can not comment . the single room tiny , fine couple night . shower room also small adequate . aware noise either street guest sleep well hotel within easy walk distance Baker St , Madam Tussauds & amp ; Regents Park . the carpet & amp ; soft furnishing little worn , place clean . 
 Apr 8 2008 	 describe 	 Travelodges London generally much low standard town city around UK one dreadful . advertise Bar Cafe really available - serve drink food . rather embarrassed member staff offer send pizza , result ( ) expensive Travelodge advertise equivalent , ( b ) dreadful would probably derive nutritional benefit eat box come in . I also seriously concerned maintenance London Travelodges . get stick lift one February , think one - off . spend half hour stuck bathroom place door handle broke , begin sense something pattern . end Manager break door free I . bad try contact Customer Services people 5 week one ever respond . for pound much well , safe experience elsewhere . be certainly future ! 
 Mar 13 2008 	 Travel Lodge Marylebone 	 wife regularly stay hotel ideally place work London . however hotel need serious refurbishment . room sorry state , especially bathroom . decide change another Travelodge nearby compare . Paul Quest 
 Jan 14 2008 	 Best Customer Service ever 	 true reading review , not know expect Travelodge Marylebone . upon check staff great helpful , room look old English Breakfast Buffet good £ 7.50per person . I stay many travelodge Marylebone Customer service good mile . Steven Benoit 
 Jan 6 2008 	 overall good experience 	 read review site quite unsure stay hotel contemplate cancel reservation . true say criticism justify . room shabby need decoration . room noisy due busy road outside . facility , Travelodge hotel , limited . however , also many good factor . able book room £ 19 one offer run Travelodge ( bargain anywhere , let alone London ) . location excellent - literally opposite Marylebone station . check staff friendly efficient . room though basic clean . want luxury accommodation not stay - get chequebook . want good value base night two central London may hotel . 
