slide 	 hotel way . go several year start great value find . time pass standard slip . dirty towel , disintereste staff , staff reception ... sense Service 
 Jul 23 2009 	 look 	 glad stumble upon Trip Advisor user review , especially experience couple disaster choice London hotel past . although hotel location may appear rather way , case . two bus route serve hotel 's location great service , get wherever wish go . Fulham Broadway Earls Court Underground station reach easily , although Fulham Broadway barely ten minute walk . purchase London Visitor Oyster Card leave Canada , find alleviate worry take wrong bus , miss stop fail understand fare system , allow one easily return hotel point London . throughout six night stay find front desk staff friendly helpful , apologize profusely able offer we early access room ( arrive Heathrow 06:30 hrs ) due fully book Wimbledon Tennis week . room large average London hotel room , well equip . bed comfortable , thankfully , air conditioning work well virtually silently . bath room spotless spacious , one good shower ' ve experience London hotel . although room overlook main road , disturb road noise , sound - proofing adequate . all - in - all would hard fault hotel , except one small point ..... breakfast ! although price reduce 10 8.5 GBP , remain rather expensive one simply desire freshly brew coffee couple slice toast . understand charge cooked breakfast , perhaps consideration give include continental breakfast room rate . okay , maybe one niggle , card operate room lock include regular maintenance schedule . experience problem , time time , get lock open , noticed , guest room also maid attempt help gain access room . nothing 100 % perfect , would rate Jurys Inn Chelsea 9 point possible 10 , would certainly return next visit London . 
 Jul 21 2009 	 would stay 	 walk death march hotel Fulham Broadway station carry 50 pound case , give husband evil eye choose hotel . ask receptionist could find market reply nearest one 15 minute away , frustation grow husband 's knee cap danger . go upstairs see room across one , two elevator , turn around walk back reception demand new room . 30 minute , get new room view concrete wall window , trodden .. collapse exhausted jet lag ... sure would hate next two day . surprisingly , two day later attitude completely change grow appreciate location hotel , find really enjoy stay enough come back ! change mind ? 's quiet street easily reach C3 Bus . hotel clean staff friendly , esp . bar staff . learn stop market Earls Court take ten minute bus trip hotel lack market not matter since could plan around .. other mention , leave card slot electricity work , two card one we could run get ice , etc , take bus Earls Court get dinner option , fine overall bus come frequently Earls Court hub allow we go variety venue easily . , go Kensington see shifty character , actually glad get back quiet Chelsea night . do not ! enjoy stay first day ! arrive London via airport , go National Express Counter ( train ticket counter ) airport , get oyster card . reloadable card tourist use subway bus easily transfer tube bus use card- make sure put least 7 pound ( come load ten ) . ( look internet info ) .SO get oyster card , take tube Earls Court , exit street look straight across road bus sign C3 bus ( download bus map web ) , take bus toward Harbour- front bus says- ten minute , bus pass Jurys - you will see right ( bus go underneath overpass Jurys appear bus pop side ) -press stop button hop walk 1/2 block back hotel . easy ! not walk Fulham Broadway carry 50 lbs like ! intimdate use bus- not be . , , plenty room lugguage ! ( take cab FBway 7 pound accord hotel , use bus easier cheap ) . 
 Jul 18 2009 	 convenient need 	 recent 3 night stay hotel due want close friend live Chelsea . actually find convenient get C3 bus Earls Court Tube anywhere . travel City every day fuss bother . hotel clean bed comfortable . breakfast buffet want full buffet every day . buffet price reduce reasonable amount imo . aware room wall thin . one night occupant next door wake 2.30am . think arrive excited weekend away . 20 minute excessively loud conversation ( i.e . could hear every word ) bang wall see instant silence . hotel hold responsible inconsiderate guest adequate sound proof mandatory even 3 * hotel . would also like chain similar door , although know special door lock . once new train line run , would convenient hotel fussy traveller . would stay . oh local pub brilliant ! 
 Jul 12 2009 	 nice hotel way 	 stay thought would give we access Tube Wimbledon . hotel difficult get near Tube good 20 minute away heavy suitcase , fun . bus route taxi still feel constrain . room good budget hotel , could not recommend . 
 Jul 7 2009 	 great frill hotel 	 Jurys Inn Chelsea great hotel family . decide go step super high price London gamble pay . family room assign fantastic size , comfortable ( 2 adult , 2 child ) clean . check staff great helpful local knowledge recommendation . help we suss transport find great local place eat . indeed little isolated C3 bus Earls court station return easy bus stop across road Jurys Inn . Imperial Wharf little dead still great little park kid Wharfside Pub nice place eat . weekend heap family around kid make new friend easily . breakfast recommend . find whole thing depress food well cafeteria fare . Jury 's could alot well restaurant . however , head Earls Court station , across road bakery eatery get yummy breakfast much cheap . staff commitment well ( except restaurant ) easy see professional , helpful request quickly respond . Jurys Inn value money prepare add little bit travel time schedule . 's smidge outside South Kensington . difference price two location worth travel time opinion . would recommend hotel family , business traveller budget football fan ( chelsea fullham close ) . romantic weekend weekend getaway want spend money rather hotel - Jury 's Inn well worth stay . 
 Jun 27 2009 	 great hotel weekend break London 	 stay Jurys Chelsea 3 night last weekend thoroughly would recommend hotel . the welcome check reception extremely efficient , friendly professional ( arrive early 11 am ) give local map direction get . room 4th floor excellent . nice bright room , spotlessly clean good size . breakfast include rate could not fault anything continental cooked selection , fresh coffee juice everything replenish regularly attentive staff hand request . also use hotel bar get back night Central London nice kick back chill . location wise 15 minute walk Fulham Broadway tube station- prefer , bus also run frequently underground travel ticket use . foot locate bar restaurant Fulham Kings Road Eel Brook Common park lovely route station - when new station open think convenient would also get Fulham evening ... look plan development imperial wharf would say area go come location near future . will definitely use Jurys Chelsea general London visit visit Stamford Bridge next season - it convenient Chelsea ! 
 Jun 15 2009 	 Good Value 	 husband stay Jurys Inn 3 night early June . Gatwick , opt take easybus Fulham Broadway since close tube stop hotel . 4 GBP roundtrip per person , easyBus turn great deal get Gatwick . the Jurys Inn Chelsea good value price pay . 15 - minute walk Fulham Broadway . although short walk , still convenient due number restaurant area well grocery store interested packing picnic . also , able take tube everywhere . stay London day , ' recommend get oyster card . must leave 3 GBP deposit , return card , get back deposit well remain balance ( ) .The service hotel quite good . arrive around 10 am even though check - in afternoon , give room immediately . a / c first room break reporting problem , able put we another room within minute . room decent size ( compare american standard ) clean . unfortunately , hotel offer complimentary WIFI . cost bit high internet access – 10 GBP 24 hour 5 GBP 1 hour . computer lobby without laptop . believe cost 1 GBP 20 minute . if comfortable leave valuable room , hotel offer guest use safety deposit box lobby . convenient , especially laptop wish carry around day . if purchase breakfast check - in , 8 gbp . otherwise , 10 GBP . skip breakfast get well deal one nearby restaurant . overall , enjoy stay Jurys Inn . bit far major London attraction , reflect price ( know advance ) . say , look budget - friendly , comfortable , basic accommodation , good choice otherwise expensive city . 
 Jun 9 2009 	 great value bit way end 2009 : new tube stop . 	 exception location , would strongly recommend Jury 's Inn Chelsea . room hotel generally clean pleasant enough ; nothing fancy fine . nice breakfast buffet 10 euro want eat morning . staff helpful also . downside hotel locate 10 - 15 minute walk near metro stop Fulham Broadway . late night hassle walk back , bit disconcerting , last stretch really nothing nobody around ( upside 's quiet location ) . new metro stop build nearby -- supposedly late 2009 -- hotel real gem . rate may well go 80 pound per night pay . 
 May 31 2009 	 Best Hotel Chelsea FC - C3 391 Buses perfect Customer Service exceptional 	 return two night stay Jury 's Inn Chelsea take pub Fulham Road FA Cup final fiance 's birthday surprise Sloane Square along evening dog Wimbledon Greyhound Derby Night . ! must say Customer Service hotel superb , room though basic spotless room lovely view . we stay high star Chelsea Copthorne / Millenium Hotels recommend Jury 's Inn preference without shadow doubt . the C3 bus run every 5 min Earls Court 391 Fulham Broadway start return bang outside hotel . take away hectic tube travel away matchday 100 % stay hotel again . the staff reception desk fantastic store case check fiance 's birthday cake . bar staff excellent drink reasonable part London . breakfast good fantastic selection everyone , notice quite child , Chelsea Everton fan tuck happily ! ' room rate ' fantastic give location service . we truly hope ' this remain ' Chelsea Harbour Station open Imperial Wharf River development complete become desirable area indeed . the walk sunshine Chelsea 's ground 15 20 min one happy ! excellent hotel people deserve commend Jury 's Inn company . lovely stay wish thank staff eye Chelsea 's NO1 hotel . 
 May 29 2009 	 Excellent hotel 	 problem bathroom fixture immediately resolve duty manager . the location convenient have wish fault obviously not vigilant enough booking . turn fine though . restaurant good although high profile enough hotel . Imperial Wharf really good restaurant , mainly Young be visit twice . excellent food staff . 
 May 29 2009 	 clean 	 clean , tidy & amp ; well present hotel . not much contact staff little positive . polite , helpful & amp ; friendly . we two room 5th floor reasonable size . bed comfortable & amp ; tea & amp ; coffee make facility room . ( biscuit though ) . tv flat screen & amp ; choice channel little limited however not watch tv not really matter . bathroom functional little basic , well bathroom Jurys hotel . fan not powerful leave bathroom steam take shower . we not pre - book breakfast cost we £ 10 per person . dining room bright & amp ; spacious could help cereal , fruit , yoghurt , traditional english breakfast toast , tea , coffee & amp ; fruit juice . the near tube station Fulham Broadway take 10 - 15 minute foot . also regular bus service approx 100 yard away . not much outside hotel , be situate quiet location clearly process large regeneration project . small railway station approx 200yards away complete late 2009 improve link tube station . all , pleasant hotel quiet location . point would make take little get town . long be prepared hotel good choice . 
 may 22 2009 	 good hotel location would stay 	 first time London , find room excellent , staff extremely helpful especally & quot ; Magdealena & quot ; counter . location next C-3 bus line take we right tube back . bad mark & quot ; Innfusion Restaurant & quot ; , dinner service poor dinner fair large greek salad size dinner salad 3 time cost use black olive . excellent Pub street call Lots Sreet Pub , great food . would definitely stay . 
 may 12 2009 	 good value money 	 husband stay Jury 's Inn Chelsea five night celebrate birthday return yesterday . little alarmed comment regard hotel , particularly service . find staff meet helpful professional . stay hotel England , France , Spain Italy . staff european hotel typically show customer room , give tour facility . , however , respond request information / assistance , usually cheerfully , almost always politely . case Jury 's Inn well . meet wonderful Gary , describe , staff also polite accommodate . able check soon arrive , although 11:00 . pleasant surprise ; not expect permit check state time , whether fly cross - atlantic day . the hotel quite far main tourist area city . purchase Travelcard bus tube , take place . bus stop almost front hotel take Fulham Broadway tube stop , another one take way Earl 's Court station , connect two line . also walk Fulham Broadway least half time , find take we ten twelve minute . staff desk happy provide area map Fulham , since standard guidebook map show Central London . our room twin double bed , bathroom ( fairly good size , average fitting , one small shelf ) scrupulously clean well - maintain . large three - star standard , plenty room move around . chest , drawer small one desk . also two shelf , also small , closet area . decide live suitcase , not really mind . safe room , get safe - deposit box desk . charge service unless box key lose . our room front street . street noise roundabout , enough bother ( ' m light sleeper ) . almost noise 10:00 , not start extremely early morning . air conditioner / heater work well , high fan set work kind & quot ; white noise & quot ; well . having book British Airways , full breakfast part rate . food not gourmet , adequate fairly wide selection , include hot porridge , fry scramble egg , ham , bacon , sausage , bread ( toaster 's hot make ) , fruit , pastry , juice , hot beverage . all , hotel suit need perfectly . likely want go town , even Fulham Road restaurant ( Nando 's mall major fun good food low price ) shopping day , would seriouly suggest buy Travelcard . cost well worth ; think save we perhaps twenty thirty pound . all , Jury 's Inn deliver advertise , respond graciously request help / service . bonus we many nationality guest . many Britons choose stay well . add experience , far be concerned . glad choose . 
 May 6 2009 	 good inexpensive option 	 party 5 ( include child ) spend 4 night hotel , two adjacent room door , convenient . one room disable people , rather large , especially bathroom . room face rear building , view nice , may want ask front room . the bed comfortable , room desk , hairdryer , tv , phone , pricey internet ( 10 pound per day ) electric tea kettle , tea instant coffee . bathroom refillable soap container ( tiny sample ) . towel linen fine . room fairly clean , depth cleaning , perfectly acceptable . front desk staff efficient , came quickly complain not unlocked door room ask . party breakfast hotel , buffet reasonable , nothing fancy , enough get go ( juice , coffee , egg , bean , banger , blood sausage , fruit , cereal , bread , butter ) . bit expensive get ( 10pounds per person ) . also bar / restaurant something basic dinner . nothing fancy either , reasonable . want dinner nearby , recommend Memories India River , 2 minute away , building river , call Imperial Wharf . dinner three time indian restaurant , food good , service . hotel modern , basic , reasonably comfortable , come attractive rate ( pay 79punds per night per room , breakfast include , London pretty good , believe ) . area hustle bustle London , be unpleasant either . want lot pub / restaurant near hotel look elsewhere , be really nothing around , yet . travel child , , good option . recommend morning walk along Thames , 1 minute away , really beautiful . hear be build tube station , meantime bus 391 c3 take Fulham Broadway Earl 's Court ( respectively ) catch tube . 's short ride take # 391 ( 5 min ) , 10 - 15min C3 . overall good find London , especially family , reasonable price . 
 May 4 2009 	 ( least ) front room nothing light sleeper 	 stay Jurys Inn Chelsea three night end April 2009 . do not know go area , apparently hotel fully book . room get first # 102 . : room equip physically handicap people . spacy . even though ' view ' yard behind hotel , quite distinct sound street ( will get back later ) . pay internet access cash ( one review ) obviously expect u use wireless lan ( name ' tsunami ' u need know ) : u get username password - useless also available wired network , since u press ' purchase ' login screen get www - access charge room bill . room tv 6 channel – get see Chelsea - Barcelonas 0:0 though . I two problem room:1st - every get hear strong electrical noise , like high - power current transformer . seem like origin ( turn ) air condition . problem gettin sleep ( be not unusual ) also awake noise 5.30 ( unusual ) .2nd - toilet work 1 time decide flush . recognize mention 5.30 go reception report . promise get fix maintenance . return Tower London evening , receptionist tell , everything work fine . do not . give # 127 . spacious definitly sufficent ( double room ) . toilet work ; - ) - window front ( right side hotel main entrance ) write could already hear traffic well backside . although road front ( go picture leave side photo provide ) officially dead - end street pass - through barrier end . bus taxis drive along . lot – especially ( feel ) night . start 10.30 pm Wednesday und Thursday night like ' taxi rush hour ' . u know Londons black cab , know , exactly silent . plus many motorbike – bypass barrier without efford . I sleep well night . due long day walk London ( even get sunburn ! ) beer Inns bistro watch Manchester United – Arsenal 1:0 ( Sky Sports Bar ) . disadvantage get lukewarm water shower next morning ( around 8.45 ) * brrr * .So end would not recommend Jurys Inn Chelsea friend , friend ear job . difficult get night good sleep influence alcohol . kind deaf : u find clean room respectable size ( mind London ) friendly , sometimes bit grumpy personal ( polite exactly friendly ) . PS : u decide go – read review write azogal March 22 . contain useful information area public transport around , help much . ( do not believe , u read ' tube nearby ' review - 20 - 25 minute walk u do not hurry - take bus ) . 
 Apr 18 2009 	 good value 3 star hotel 	 meeting friend Australia usual round London sightseeing , UK tour end hotel book stay well . the hotel everything would expect hotel chain represent good value money . staff encounter friendly efficient . unfortunately restaurant closed evening stayed find excellent Thai restaurant Imperial Wharf . we like park away hotel rate reasonable part London acceptable . long couple day sightseeing think catch tube walk back hotel not appeal black cab preferred form transport pricey . overall good experience Imperial Wharf impressive finish fully occupy . 
 Apr 18 2009 	 Great Hotel / Great Service / Good Location 	 recently stay Jurys Inn Chelsea last week . really enjoy stay hotel . Gary hotel reception desk great . always smile face suggest great place go suggest good transportation route take answer silly question : - ) look nice , clean hotel resemble american hotel ( Holiday Inn , Crown Plaza etc ) . new clean . issue water air conditioning . hotel room slightly small size big deal . offer internet service room pay . also , really nice ice machine floor offer - ice , ice water ice cold water . one thing really like , within walking distance ( 5 minute ) beautiful view River Thames . nice photo ! close underground ( subway ) two bus practically stop right across street hotel . walk Fulham Broadway underground station bite tricky figure route 20 min walk . good route bus , stop right across street , Earls Court underground go anywhere . would suggest Oyster card like metro card . purchase weekly , monthly think day pass . , would suggest purchase zone 1 zone 2 . cover touristy area ride bus train want . also build overground train station set complete end year five minute walk hotel . nice . area hotel locate quiet ' much traffic . industrial business nearby hotel mainly surround house flat ( apartment ) . appear re - building area industrial area residential area . ' m city girl New York problem stay hotel . look quiet area ( much traffic congestion ) would like see sign life will enjoy here . they serve hot breakfast every morning prepare traditional english breakfast . serve scramble egg , sunny side egg , blood pudding , un - flavor porridge , cereal , un - sweeten sliced fruit , hash brown , bacon & amp ; sausage ( beware - look taste American bacon & amp ; sausage ) typical beverage coffee , tea , orange juice etc . favorite , scone - tasty : - ) overall , good hotel stay . little bit way worth friendly people , nearby sight , safety comfortable stay . would recommend hotel anyone . 
 Apr 14 2009 	 hotel meet 's 3 star status 	 room basic . book family room four , comfortable double bed , comfortable sofa bed uncomfortable camp bed . take floor space . although book four people , enough towel , tea / coffee facility storage space 2 people . phone call duty manager help , tell available family could help we upgrade even though prepared pay extra . the two good thing hotel friendly helpful Gary Magdelena . 
 Apr 12 2009 	 great hotel beautiful area 	 husband stay Jurys Inn Chelsea March 21st 28th happy hotel consider affordable . issue checkin day arrive . rude gentleman front desk interested check we . arrive around 11:30am , state , & quot ; checkin 3 pm , wait there . & quot ; not smile we even welcome we hotel , simply walk sneer face . kind catch we guard consider nice review . see times week , not much friendly we anyone deal front desk could tell . however , leave front desk , nice girl took check we 20 minute could not friendly . everyone else come across hotel also friendly , really feel nice come back end long day sightseeing day start day breakfast area . breakfast package British Airways booking make , wonderful every morning . food fresh include juice , fresh bread , egg , sausage , oatmeal , fruit , yogurt , etc . everything could want . bar area also great . stop twice get drink late night dessert always happy . room simple , clean always quiet . get room near elevator , worry we first , never issue noise . thing would suggest hotel get soft , fluffy pillow . ous flat , soft supportive . always exhausted sight - see end day though , not much bother , definitely comfortable . bed comforter definitely warm comfy despite pillow think . bathroom regualr shower / tub combo always plenty hot water great water pressure well . buy internet access time room since lap top we , always fast reliable- bit overpriced . get deal room though , not mind spend extra internet ( 10 pound 24 hour 5 pound hour ) . however , day age , be little steep . also wonderful time restaurant around corner river front . indian restaurant especially nice recommend we one front desk guy first night . eat twice complaint . price not high . find eat Chelsea much affordable less crowded eat central London . nice dinner near te hotel restaurant perfect couple . get Fulham Broadway Tube stop piece cake every morning . buy 7 day travel card hop bus come every 10 - 15 minute go . 's 5 minute ride tube station great grocery store , drugstore , casual restaurant locate station need supply stay . area aound hotel spotlessly clean neighborhood beautiful . would definitely stay visit London . price , place can not beat . hope not become overcrowded overly expensive train station nearby complete . though , be great place stay . be ' away ' -yet always close everything London offer . part , staff make feel welcome , alwas happy help . operation manager reputable company state , say , great staff , service restaurant anfd bar housekeeping . perfect balance . good job Jurys Inn Chelsea ! 
 Mar 22 2009 	 Basic Comfortable Hotel 	 stay free March 2009 part British Air ' London Free promotion . year ago stay Royal National part promotion much nice hotel Royal National . hotel fairly new room fairly large equip coffee / tea service . room basic , clean comfortable bed shower hot water good pressure . room ’ safe internet access 10 pound 24 hour . pay cash since hotel ' exchange rate put credit card bad rate London . continental breakfast include hot cold cereal assortment fruit bread . my main complaint staff ' able answer question . ' know exactly water taxi operate ( apparently approximately 2 hour morning another 2 hour late afternoon ) info bus info nearby restaurant . morning check , one person work front desk line get fairly long . as everyone mention , Fulham Broadway tube station quite hike close tube station suppose open later year . meantime , take 391 bus Fulham Broadway station ( take 391 Richmond get Fulham Town Hall stop tube station … to return hotel take 391 Sands end get Chelsea Harbor stop right hotel ' front door ) . save transfer tube well take C3 bus Earl ' Court Station ( C3 Clapham Junction get Earl ' Court Station … on return take C3 Chelsea Harbor get Imperial Way stop leave hotel ' front door ) . catch C3 391 bus stop see lobby look straight front door . fare 2 pound . time bus run promptly morning need go airport wait 15 minute take taxi Earl ' Court Station cost 9 pound , include tip . there several restaurant near Fulham Broadway tube station include nice ( inexpensive , fast , good food , friendly , family - own ) vietnamese restaurant call near Fulham Town Hall bus stop . also pharmacy Sainsbury ' Market Fulham Broadway tube station . & amp ; market near Jury ' inn close Thai , indian , chinese restaurant Imperial Wharf development never open far could tell . eat Waterside Imperial Wharf development food good , service absolutely terrible . open restaurant nearby , would left . Imperial Wharf development look far fully occupy probably negative effect & amp ; market restaurant . 
 Mar 20 2009 	 great find great price ! 	 stay hotel attend friend wed London . great room 6th floor , & quot ; Laura Ashley & quot ; floor . consider small price could not believe large corner room view onto Imperial Wharf development . comfortable large double bed , sofa , 2 chair , large LCD tv plently room move . Sparse functional & amp ; clean en suite facility .Fantastic value round . staff friendly & amp ; helpful , especially chamber maids front desk . location minute walk king Road Fulham open overground station wharf even easy get . nice waterfront bar & amp ; restaurant Marks & amp ; Spencer Foodhall yard away . recommend friend travel London budget . 
 Mar 7 2009 	 nice room badly locate 	 find check quick polite . two suggestion check order breakfast stay charge 8 ? pre book 10 walk . next suggestion decline offer pay currency credit card take bill ? likely loose win , case . say service know exactly much pay , add % Reuters rate exchange 1.48 add VISA . Room clean think spacious compare little tourist class cabin city center . bathroom clean nice load hot water . splash floor stay drain outside tub . restaurant much jump joy understaffe poor bloke serve also bar another room , wait part order might forget two Indian Nan bread piece . order side charge 6 ? little late arrive piece bread ! try thank good Friday Fulham Broadway tube station instead ( place choose station ) . also find restaurant Imperial Wharf complex 2 min walk reception . please observe Marks Spencer Food ( mention another review ) store close . the breakfast comes pre order 8 ? satisfied although limited variety , hotel chain segment . hot cold dish nice bread sort include english muffin . location call travel card want avoid long ( day sightseeing walk London ) walk hotel . helpful reception guide bus go Fulham Broadway fun double decker bus go Earls Court tube station . one Earls Court 15 minute fun . one Fulham Broadway 5 minute ( traffic permitting ) . great fun bus go New Kings Road way Piccadilly Circus enjoy ride lot get along route tempting store . reception know bus . 
