great 	 stay hotel twice last month stay Shaftesbury hotel area year . spend business travel stay big top hotel outside London year little spoilt . find decent hotel decent price London hard work company hit right note fair mix cheap room ( London ) smart , fashionable , modern , clean room . hotel great location close Paddington Lancaster Gate tube handy bright light west end park . money relinquish think large spacious room , little tight side travel alone normally spend much time room problem . room modern , well kitte ( tea , coffee , complimentary biscuit , iron great business traveller ) . good television set clean stylish bed free broadband ( quick ) . service ok far bad reflect price ( book via Shaftesbury group website great price £ 75 deluxe double ) . breakfast fantastic money ( acid test England sausage bacon good usual ' frozen ' fair ) . number reviewer complain turning room ... check term condition book price guarantee room hotel book ferry another group hotel . 10 0.5 mile vacinity far alike . use hotel chain stay London ( someone use Hiltons Radissons world ) 
 WORSE HOTEL ever ! ! ! not stay ! 	 HORRIBLE HOTEL ever ! ! never ever stay hotel . book 2 room hotel early Nov 2009 , get confirmation . 15 hour plane , energy anything else ! get hotel first check - in , say room we ! worse thing happen US : - get STOLEN right inside reception area hotel : bag 700 usd cash , one laptop , one digital - camera inside bag . bag put beside 2 laddie group , 2 man deal check - in problem . the camera hotel record everything , not know reason could find ! ! report case police london.- final treatment get hotel send we hotel , still charge we first day hotel never chance stay ? ! 
 Sep 1 2009 	 Value money occasion 	 book via hotel chain 's website , beware -The date keep click back watch , pay enough attention fact hotel keep change back one top list . want Notting Hill hotel , end book one ! notice actually way , want room Notting Hill carnival close enough we great damage do . Location - Fantastic ! short walk Lancaster Gate tube ( far Paddington Station either ) , opposite Hyde Park walk across get Kensington High Street , Palace etc . room - little small side , help dark decor , book deluxe room microwave fridge really handy . decor quality furnishing good quality , fantastic tv , quality bathroom , although water pressure room brilliant . ask see room first check , staff fine that . value - far superior Travelodge / Premier Inn type hotel , occasion , pay alot less get lovely breakfast include . negative - not pay £ 15 quote breakfast not include - load cheap cafe locally . breakfast room bite small hotel full . & quot ; Fitness room & quot ; bit joke - 2 treadmill stifle hot converted basement room ! ! forget go Hyde Park ! would recommend interested excellent location , good room sleep nice breakfast , really like whole hotel bar / gym / ldining experience . 
 Aug 23 2009 	 never ever ! ! ! 	 book weekend away partner London expect stay hotel would not cause we enjoy . wrong could ! ! arrival show room tiny could not swung Gerbil around less alone cat . the bed fit space could not get round , decor drab dreary bathroom small could not turn around it . there hot water evening morning wake light room ddnt work . complainig three time move large room still be not great . want something bit comfort dont stay ! ! ! ! 
 Jul 18 2009 	 good location average hotel 	 hotel great spot near Paddington station spectacular , ' ve stay bad . stay small daughter - first give room right next lift ( 419 - avoid ) unbearably noisy small - ask desk could change desk clerk accommodate ( jaded look like happen 100 time ) . Bathroom update small - anyone average size would seriously unable fit shower . room , include blanket , sheet towel , could overhaul . overall , not think would go back consider price pay ( 105 pound per night ) ' m complain . 
 Jul 10 2009 	 value money hotel london 	 give tiny room basement opposite build main hotel . try find room hotel challenge task ... like maze ! ! need carry huge heavy luggage ... be not pleasant ... narrow corridor hotel . glad know room newly refurbish ... complimentary internet room ( though always problem connection ) . breakfast ... typical english bfast ... make sure get 9.45am weekday ... else be nothing much left eat . hotel staff pleasant .... fact arrogant . something hospitality ! 
 Jul 9 2009 	 would def stay 	 Stayed Paddington Court Rooms 2 night recently say pleasantly surprised go review . give club room say never see big bed life ! Nice 32 & quot ; plasma wall round general good , clean facility . bar look nice quiet pre theatre type drink do not use it . breakfast good ( get seat ) location superb . 3 minute walk Paddington , 5 - 10 Hyde Park . would def stay go back London 
 Jul 1 2009 	 small room decor still need update .. 	 four star hotel bit poor ... room small book superior double dissapointed . keep bang leg bed everytime go near desk room dark dark wood everywhere ... insist make we sleep shoe box please decorate lighly do not feel like suffocating .. sadly somewhere i d stay . 
 Jun 17 2009 	 unfortuneate choice 	 stay February 2005 & quot ; suite & quot ; . room small locate basement . result view , room chilly manage black mould wall . tiny shower stall bathroom light fixture hold place wad toilet paper . complaint fall deaf ear . later promise free stay well room book within year . February 2006 attempt promise honor success . hotel refuse honor promise manager long hotel . compound matter , appear lose proof payment bill credit card . able successfully prove pay charge withdraw without benefit apology hotel . great location amenity , service commitment customer sadly lack . time since review indicate many problem exist . 
 Jun 14 2009 	 bad little hotel 	 book hotel romantic stay January ' 09 . reception staff pleasant give room key . room small ( much big double bed ) well furnish quality furnishing . bathroom also quite small , , , fine . hotel reasonably well locate short distance Paddington Station , plenty small local restaurant nearby . breakfast good . overall , decent hotel price . 
 Jun 11 2009 	 right centre London 	 Right centre London .. walk distance Paddington station well conncete Heathrow airport & amp ; small & amp ; major station London / UK . internation traveller nice place din around & amp ; shopping . but hotel little cozy ( standard room ) & amp ; staff service pretty normal . food quality ok & amp ; enjoy place travel multiple place UK / London 
 Jun 10 2009 	 rather Good actually 	 expect little hell hole book hotel price £ 67 double room include full english breakfast ( hotel website offer well deal usual Lastminute , Expedia website ) .The location ok quite central although walk mile think get near Tube station ( Paddington ) .The exterior appealing think well be 1 night ... receptionist staff foreign extremely hospitable pleasant arrive 6 pm get free upgrade & quot ; club room & quot ; ... twin room book double efficient housekeep quickly make room large double roomthe room ok size London Hotels ... ( remember NY hotel usually even small ! ) room clean , linen clean flat - screen tv work well . complimentary food include apple , orange nice biscuit , tea , coffee , fridge however work promise free 2 bottle water ! bathroom reasonably clean quite spacious . the hotel small restaurant bar not sample gym ( not visit ) .There free high speed internet not use . the full english breakfast buffet also include continental choice course staff friendly helpful . overall pleasant experience super price ... would definitely stay hotel ! 
 Jun 8 2009 	 Quiet Area 	 Beautiful Hotel quiet safe area . hotel spotless clean reception staff helpful . arrive 10 am early check look bag . room big bright huge plasma tv wall . breakfast hotel see sign reception say £ 15 £ 12 book day . get full english breakfast cafe around corner £ 3.50.about 5 - 10 minute walk Paddington tube station . bit confusing make way back hotel 3 different exit station . would recommend nice quiet break wish stay central . 
 Jun 4 2009 	 pleasantly surprised 	 Stayed hotel , arrive early room ready . room pretty small thing London . hotel renovation lucky get renovate room ( single ) , close elevator . look stay room day might small , someone mostly , ok .. close Paddington station walk take 5 - 10 minute . a / c work come right away fix , forget iron / board room bring right . free internet great . careful phone charge ... would stay return . great price ! ! 
 may 27 2009 	 Convenient Location 	 Booked hotel line get special rate - 391 pound five day . room & quot ; tiny & quot ; big people . bed full size although okay comfort wise not fit sheet . plasma television free internet service good feature . bath corner shower difficult we get . room ( 413 ) overlook Devonshire Terrace give we something interesting look . tea coffee making item room utilize several time day . 5 minute walk Paddington bus service underground . lot shop restaurant virtually doorstep . Chelsea Deli especially good delicious latte pastry . 
 May 15 2009 	 bad Hotel 	 stay hotel 3 night room extremely small . two twin bed walk space room bathroom tiny small shower . bathroom could barely fit person without hit wall . customer service reception terrible ask several time fix tv remote control . reception never send anyone fix tv remote control , could not watch tv 3 day . set wake alarm call 6 wake call 30 minute late 6:30am . bring alarm clock good thing . 3rd day hotel , find new bag cookie take luggage hotel staff put cookie table . hotel staff open eat cookie . shocked hotel staff go luggage report unacceptable behavior reception front desk . hotel defensive rude tell staff go luggage take cookie . hotel say nothing could made we upset . least could apologize staff behavior . 
 May 8 2009 	 Close Underground Hyde Park 	 Decent Hotel , close Hyde Park ( short walk ) . room okay , fridge bust cupboard seem need bit fix . elevator worth risk riding . good place sleep busy day though . lounge downstairs nice . 
 Apr 19 2009 	 room like matchbox 	 come back stay Hotel . go complain size room . one & quot ; special rate & quot ; thing find internet . . room one small ever see . there two people already complain room whilst stand waiting desk . staff East European sound like robot . obviously use dealing issue . cheap problem Hotel nothing like picture description internet . stay like nice room . location good food ok disappointed . , misleading . 
 Apr 15 2009 	 Nothing Special 	 arrive room be not ready able leave luggage receptionist . close train station tube station handy . get room , tiny difficult find , upside bed big comfy ! bathroom small . struggle get shower unit shut door , could not imagine Rik Waller stay hotel ....... sorry ! also , loo could see right someone else room , also toilet .. good . overall , nice stay , comfy bed would not able stay long 1 night .. 
 Mar 10 2009 	 Poor overall 	 generally possitive review good price make choose hotel first place . review wrong suggest heed advice . pay extra get deluxe room nothing deluxe give . con follow : star rating : hotel sell 4 star past experience many hotel range 2 5 star . 4 star rate hotel experience reasonably good often provide comfort quality 5 star slightly inferior finish few facility . case however hotel would realistically categorised mediocre 3 star . ground disappoint Shaftesbury live standard would expect 4 star hotel sense term . state room : room basement floor . marginal natural lighting view . something resemble sky light apparently make room habitable . carpet disgrace , mark , worn , stained grubby look . television remote work , except change channel volume control standby function work . room stuffy due poor ventilation window could reach open . crockery complimentary tea mismatch . complimentary soap shower empty . minibar smell like fart ( seriously ) nothing except two lonely bottle water . safe lock could open store valuable . shower adequate water guard water would splash onto toilet toilet floor . staff : exception one receptionist indifferent , would greet enter rather intimate lobby would barely acknowledge upon approach counter . overtly rude fall far short standard would expect call 4 star hotel 's staff . overall condition : hotel fascade style cheaply do already sign detiroration mark walls corridor disgraceful state room allocate . facility : gym glorify home gym machine . lack space window also oppressive . use facility not appear many event . lift basement level mean carry luggage down / up check - in check . could use porter choose . point remain Shaftesbury allocate room 's basement lack sufficient natural light , lift proper ventilation . all tacky , tired , psuedo - stylish , poorly keep , poorly present , poorly attend generally rubbish . the good point location selection television channel . however , sell point area full similarly convenient hotel lower price similar quality . pay extra 4 star not deliver could save bull * * get honest 3 star less money ? 
 Mar 9 2009 	 awfull beware place disgusting 	 stay basement room across main hotel room tiny , bed hard dirty bathroom filthy . do not get much sleep night sort courtyard outside room people use smoke night . check complain staff front desk give we blank expression talk brick wall . 
 Mar 8 2009 	 clean B 	 ' m quite confused many negative review hotel , 's lovely price offer , lot cheap expect . 's lot & quot ; luxury & quot ; standard £ 114 night TravelInn . arrive hotel alone ( meet spouse later ) , check - in busy reception area check within minute , reception staff lovely . annoyed porter show room along many corridor , several flight stair without help either heavy suitcase rucksake - rude ! make room porter show ... single ? Looooong trek back reception ! ! quickly change room problem much apology . Looooong trek room , carry bag ! room quite posh , lovely little shower room , tv welcome arrival complimentary iron board . room small job . complaint room would view window overlook lane yard . take 5 minute walk Paddington , area much safe dodgy King 's Cross would pay pay hotel get terrible 1 * b & amp ; b . book another stay month ! 
 Feb 19 2009 	 cynical rip - off put anyone room give 	 book twin room hotel 2 night via Laterooms quite good price perhaps prepare something wrong room . first saw room think look good - nice decor , clean , plasma tv , great view etc . however change 5 minute realise right next top lift shaft noisy lift . try get different room tell nothing available next day , would quieter night . however lift whole hotel people travel lift every minute 3.30 morning . noise level like right next underground train , understand tear exhaustion lack sleep time . room like really unfit offer guest accommodation . not know many room near lift similarly affect near lift machinery probably bad ( room 419 - avoid like plague ) . find reception staff pleasant deal - feel sorry situation probably arise every day really fault management put room market . really ought health warning attach . fact refuse change room next day make wonder whether deliberate management policy - always one set mug room one night move , put another set etc , way room stay occupation . it really great pity think otherwise fairly good hotel convenient , quiet location restaurant shop , Hyde Park Paddington station nearby , although minor grouch would hot water run first night also fire alarm nearby beep lack new battery probably check . however room give day 2 much well - fall asleep 9.30 pm sheer exhaustion previous night ! 
 Jan 27 2009 	 ' nice area lovely break away ' 	 partner get weekend break 30th birthday 24 - 26 January really look forward . rang hotel set make sure room book breakfast include book internet . everything fine ask could leave case soon get , train 5.30am , reach London way check time 2 pm , really good we . travel spot manage find hotel within minute . problem check staff polite pleasant . use lift third floor find room . clean , modern , picture show website . small place London , time make difference we , want somewhere put head . thing make we laugh floor totally level do not put drink bedside table would soon hit floor . manage level paper haha Shower be not powerful manage , problem water . downside hotel breakfast - nice warm , shame cos plate warm would enjoyable , good selection . location fine close enough tube manage get place . bad thing moment roadwork close hotel . not affect we , want lie , forget seem like quite time yet ! view room be not anything shout - builder builder work ! problem check , treat well . overall would recommend anyone London break , would visit area . review think top wrong - never experience bad feeling . 
 Jan 27 2009 	 average hotel average location 	 land London coldest weekend year be not enough , nothing warm cheer we dreary little hotel heart London . agree , mean exclusive hotel , mean exclusively average either ! first check Room 30 , , truth tell , small hole carve wall , ' ve see bathroom closet large room ! obviously request room change quite firmly , something give give slighly large room across street . air conditioning be not function properly upon entry well couple power plug . clear hotel be not bother maintenance . good be not 2 night shift another hotel . summarise , hotel basic place without great service . 10 min walk paddington underground course quickly get lot place heart london . choice hotel , avoid one ! 
 Jan 21 2009 	 Great Location 	 Stayed 3night . great location . catch train Paddington station find hotel easily short walking distance . you catch Big Bus Tour street away .. also choice place eat nearby . staff friendly always helpful . room small tell expect London . plus room sleep busy sightseeing day . our room everything need great tv . 
 Jan 11 2009 	 horrible experience Theft ! 	 heating first room not work , demand move room twice , give we another room . the staff ( predominantly Eastern European ) not friendly return late Saturday night , enter room discover member staff go thing steal cash personal item . immediately go reception inform police already . 4 room also rummage thing steal laptop etc . alarmingly , tell police happen two month ago member staff do find steal item one spare hotel room . CCTV camera anywhere old stranger walk hotel . stay away value thing want enjoy stay ! 
 Jan 7 2009 	 American Traveler 's Nightmare 	 book hotel part British Airways package deal - think price good location convenient London sightseeing ... specifically intend stay americanized hotel , ... have gladly pay well accommodation . nightmare begin try find hotel via rent car . ( be another issue altogether , maybe , - strongly advise independent american traveler use taxi service anywhere near London ! difficulty find -street parking ; feed meter ; get parking ticket 5 min . past due ; & quot ; Congestion Charge & quot ; drive vehicle within city limit - amount much , much hassle money simple hail cab . try parking block away , drop bag , trouble police- ( upside , wary american traveler , area well patrol officer foot . ) . & quot ; car park & quot ; convenient traveler stay hotel - without luggage - least 4 long city block away area difficult navigate foot . & quot ; car park & quot ; seem design Paddington Station traveler . next , hotel try tell we reservation . short room - large group stay - initially would try turn we away . proffer online reservation confirmation heat negotiation , find we room , alas , find room another & quot ; adventure & quot ; . hotel construction / renovation guest give room wing re - hab ! Painter 's tarps lining hallway , paint , hammer fume - worker inside harass teenage daughter suggestive comment , make lousy stay . elevator bellhop offer help we bag - traverse literal maze find room - become comical getting lose London - get lose hotel , try find way little narrow , wind staircase connect passageway ... picture hotel website deceive . recognize double room front desk - minus harry employee foreigner difficulty communicate English , never see bar picture hotel facade hide tarpaulin scaffold - maybe , look advertise ! room bath tiny - cramp american standard , clean . daughter get severe electric shock use iron provide - ( fray cord ) . hallway amenity american hotel , night staff oblige able get beer ( warm , mind ) 2 am - ( suffer jet - lag ) . lounge offer 1 computer guest use - inadequate , however , line always 3 - 4 deep waiting ( available 2 am , lol ) . also , lounge boast big screen tv . tv room flat screen , mount wall wholly adequate- & quot ; breakfast include & quot ; , american standard . breakfast room find basement - long line - short time frame availability , harry , impolite staff - opt buy muffin coffee local deli / lunch shop walk tube . finally , since travel plan we arrive / depart UK via Heathrow , book hotel first night stay last - unable cancel reservation last night without lose money prepay credit card online - thus suffer return establishment bid farewell London well . case - quaint be not exactly look - need comfort convenience end UK adventure . whether be extend stay London pass sightseeing journey onward , suggest find accommodation . american desire american standard like Holiday Inn Marriott - stick airport hotel ... otherwise , & quot ; Rome ... & quot ; appear non - american traveler rate hotel fly color ! 
 Jan 3 2009 	 hotel 	 room refurbish . get room quite bad , tv not even work . make sure get breakfast include booking . change we different room complain three time . location ideal downtown . Victoria much well location . 
 Dec 12 2008 	 Creepy staff 	 other state room bathroom small suffer design flaw , much problem . room comfortable , clean , everything work small side ( small London standard could lay well really ) .However find majority staff friendly find one two creepy , get distinct impression guy look luggage make personal comment appearance someone else whatever language speak , cause eye way find extremely discomforting . frankly , not expect sort behaviour hotel front staff , find creepy uncomfortable around - pop shop across road buy milk guy outside give funny look too . it be shame relatively low cost convenient , have stay good hop point Heathrow Express Paddington . however ... thank ! 
 Nov 27 2008 	 small comfortable 	 arrive several hour check . friendly staff happy look bag go business meeting . check later , retrieve luggage fuss - do smile . room ( 3rd floor , lift work ) small expect - almost room foot bed wall - everything clean , include en suite , bed comfortable . plenty hot water , tv reception fine , room temperature right buffet style English breakfast ( much wanted ) average good . hotel room central London expensive ( Paddington Court Hotel less 5 minute flat walk Paddington station ) , price represent good value . location great - minute walk Hyde Park & amp ; superb public transport link ( train , tube & amp ; bus ) Paddington - feel like safe area decent restaurant cafe nearby . hotel good , comfortable base short stay London . would stay . 
 Nov 14 2008 	 stay away 	 hotel include different building bit confusing . room build front desk much nice room build across street . may explain reviewer happy room other hate . guest nice building probably idea build across street even exist . I reserve suppose 4 star room suppose greatly discount $ 139 pound per night ( plus additional $ 20 pound tax ) . like many other stay area , early flight Heathrow want close Paddington station . we check , reach room , direct completely different building across street . build musty , room basement , room damp smell , stain wall . small could barely move . space ( stain ! ) iron board , prop wall . $ 70 pound night , probably would stay , definitely 4 star hotel , definitely worth $ 159 pound / night . the elevator take we basement would take we back , drag bag stair , walk back front desk complain room . tell hotel book , refuse room , show another room . one slightly less musty , whole lot well , definitely 4 star . bellhop show we room say every time guest receive room across street , complain . & quot ; every time ! & quot ; say , shake head . we refuse second room well , eventually show room 27 Devonshire Ter , build front desk . perfectly acceptable room , probably 4 star room reserve begin , upset treatment leave . number budget hotel area , pick first one find , Lawrence Hall Hotel , $ 85 pound / night ( include tax breakfast ) . feel youth hostel , room spacious treat well . if be lucky enough get room 27 Devonshire , may well happy room , get room across street , beware . least willing complain , be quite likely negotiate well room . 
 Nov 9 2008 	 Fantastic Location 	 great location - less 5 minute walk Paddington Station Kensington Gardens . close 2 underground station , local pub shop . friendly staff reception . room small side flat screen tv ridiculously large size room ! bathroom compact side clean . issue - bathroom fan work shower hose leak badly - report Reception repair / replace return room . hotel convenient location suit purpose . generally eat ' on go ' Paddington cafe . 
 Oct 29 2008 	 small cosy ! 	 stay hotel son ( 13 ) October year . website review say room small not kid ! first room wee one single bed view tv happy move we . next room view tv room get round chair bottom bed jump get window . apart size room hotel room clean staff nice helpful offer print boarding card we departure . great location Paddington Station feel like quite safe area child night . 
 Oct 28 2008 	 lovely stay 	 reading report quite worried expect , thankfully suprise ! arrival tell upgrade Club room . room quite small big enough time spend . yes , shower bathroom really small , everything spotlessly clean new , towel change every day complimentary toiletry . bed normal double size , clean worn shabby . not much space move around room , care really sleep get change etc . staff friendly polite , breakfast good lot choice leave luggae facility really useful . really negative point absolutely boiling room ! thank good ness air conditioning unit help ! maybe lucky room give ? ? ? area fantastic lot nice pub restarant withe walk distance . great Indian beside Victoria pub fantastic greek restaurant Leinister place - small restaurant huge empty one ! good trip be go soon ! 
 Oct 19 2008 	 facility ? ! ? ! 	 Booked & quot ; Top Secret Hotel & quot ; LastMinute site . would look think have manage work one two hotel look good , think try time . not quite loaction want neither inconvenient , bad . lobby seem okay , although person check seem concerned person pick phone half way check - rude ! tell room one floor . double check ... one floor ? yes , apparently case . explanation ? 's clubroom ... whatever suppose mean . hey , maybe mean 's big enough hire event stuff ? , unfortunately ... pretty small . basement feeling ) not secure , b ) people look street level . also suffer lack light , although big wondow go way remedy . shame catch not secure . not feel happy leave stuff room go get food . not hugely happy sleeping room either matter ! oh well , maybe will stay room evening use facility . mini bar first ... totally empty . look like will go get stuff eat drink . oh well , least browse web first . ... not work either . fine will go , get food , come back watch film . nope ... movie not work either . great ! real gripe room bathroom . small , although less annoying fancy sink / tap combo . ' ve one free stand sink know be form function , one water spout protrude wall almost entirely sink , wet face shave , clean tooth , whatever , pain use end water place . breakfast okay dining room staff friendly enough , although put table tell help buffet , come back table find would subsequently also sit someone else . * sigh * will not go back , probably will not use LastMinute 's Top Secret Hotels either , although hear people good experience . prefer know will bebad sink setup 
 Oct 7 2008 	 comfortable stay Small Hitch 	 .We go London official tour take 5 night stay Paddington Courts suit read review small size room Paddington really nervous fate . the first good thing happen we amazingly early check ( 8:30 ) .The first room get tiny . in fact husband leg dangle bed good 11/2 foot ! sleep bed would sleep floor .. never mind fact sleep floor luggage would place go ! ! luckily AC room be not work request staff change room . a nice fellow hotel take pity us whoa .. get decent sized room complimentry fruit basket boot . after smooth sailing 5 night . breakfast good menu less everyday ! ! comfortable stay 
 Sep 28 2008 	 dissapointment ! ! 	 regret book hotel ! search hour 4 - star hotel , romantic trip two , disappointment ! miss read review hotel , highly recommend future trip . definitely 4 star Hotel ( point view deserve less 3 rather 2 ) . room show tiny , light basement , complain bring we across road ' suites' . unbelievable ! - ' suite ' small average hotel room . ' kitchen ' metal cupboard . mini - bar , two small bottle water . bathroom tiniest ever see . bed 2 foot wall side . iron board room set would room stand behind ! shower small difficult wash keep hit elbow wall . bad part extremely small double bed , husband average build find hardly enough room turn , uncomfortable ! one positive welcome serve fruit plate room arrival . however , funny enough get touch 5 minute , person without speak English , knock door take away ! another ting towel one night , dirty one take away without replacement ! word , everything wrong , solution enjoy romantic trip spend minimal time room . 
 Sep 17 2008 	 small clean tidy comfortable 	 stay Paddington Court Suites , although room small ( barely cat - swinge territory ) clean comfortable . way see London , would not spend much time room anyway . bathroom smell sewerage bit , keep bathroom door closed time , come across time London , be probably old sewerage pipe anything else . door close not notice anything . problem service cost reasonable , location close town . would recommend other , stay next visit . 
 Jul 27 2008 	 small room ! 	 know expect large room central London hotel small room , bed en suite ever stay ! shower small difficult wash keep hit elbow wall . toilet arch way exactly width . bad part extremely small double bed , husband average build find hardly enough room turn , uncomfortable ! could access bed one side nuisance . we travel son daughter twin room slightly well come room standing room . glad stay 3 night . apart problem room clean lovely fluffy towel toiletry staff friendly . we eat comment food . 5mins walk Paddington underground nice quiet area London . 
 May 29 2008 	 good 	 reception guy adorable , helpful , youthe room good , bathroom toowell locatednest time will come ! ! ! ! ! ! ! ! ! ! ! 
 May 28 2008 	 Good Value hotel 	 book Best Western Shaftsbury Paddington 4 night work London total £ 255 good value money . the hotel clean tidy , first room victim ant , not know come . victim heavy rain . the hotel without reservation give we choice room move obviously pick well . although room small side , equip well huge flat screen tv tea / coffee facilite . I would reccommend hotel anyone want stay Bayswater / Lancaster Gate area , planning stay . 
