great 	 overall satisfied , lobby make feel expensive hotel . room perfect , however wall thin , neighbour keep knock wall small noise room . hotel huge , morning breakfast area totally crowd - breakfast selection quite ok . 
 Jul 5 2009 	 everything need 	 return 3 night stay hotel . take 2 minute check , lovely hotel handy Knightsbridge Chelsea 10 - 15 minute walk . Gloucester tube around corner , lovely cafe 's restaurant pub outside hotel . ( decide give breakfast miss reason ) also Tesco 's come handy . hotel room lovely , modern flat screen tv , queen size bed , lovely clean new white fluffy towel good air con , need boiling hot London , ' m happy say . tea coffee facility , iron board , safe plenty space cupboard etc room . I pay £ 99 per night think good deal London . would happy stay . range takeaway food London good get almost anything . would recommend trip Camden Lock 's load market food stall , lively great day . 's restaurant call Cloves near hotel sadly recommend . pay £ 9.95 tiny lamb chop four baby potato , ask one portion veg cost another £ 3.25 ' m big eater first time leave restaurant still hungry ! also stick £ 3.89 service charge bill . 's plenty other probably much well value . 
 Jun 20 2009 	 well ! 	 stay hotel second time . first time July , 2006 seem good . second stay smooth . upgrade superior room book standard room double bad offer room twin bed . complain manager receive upgrade . breakfast excellent , room spacious enough , bathroom renew - look old . also recharge room key almost every day . in end stay locked room ! ! ! take we 15 minute call reception house - keep order someone unlock we ! 
 Jun 10 2009 	 Great Location 	 spend seven day good hotel , excellent location , meter away Underground Piccadilly line . huge room , excellent facility . would recommend anyone , business leisure . 
 Jun 8 2009 	 great location amiable staff - club lounge nice 	 wife stay hotel many airline use crew think must ok . upscale , modern hotel great location also nice quiet . picadilly tube line station step away make convenient line go straight Heathrow Airport . museum , Harrods many reasonably price restaurant within walking distance . upgrade Club Room realize , upgrade allow Club Lounge fine ( loxs , fruit , latte , etc . ) complimentary continental breakfast serve every morning evening wine , cheese , etc . not require big breakfast , continental breakfast serve plenty ( respect well buffet main dining room . ) make mistake buy Buffet every morning ( reduce rate ) would happy offer Club Room . hotel would give we refund . know well next time . 
 Jun 7 2009 	 great location look good deal 	 review base fact get excellent deal hotel - pay less hotel would travel Lodge therefore impress get money . impressive lobby , polite door reception staff , upgrade superior room consist Super King size bed , huge tv small office area desk & amp ; leather chair . location fantastic , right door step Gloucester Rd tube , walk distance lot tourist trap incl Hyde Park , Notting Hill , Knightsbridge etc . Perfect London weekend break . can not fault hotel - oh except one bathrobe 2 person room ? ? ? bit odd 's complaint 's bad ! 
 Jun 3 2009 	 well run good price 	 stay business recently 3 day . know hotel year ago stay regularly , not change muchgood stuff : location excellent , prosperous area right next convenient tube . lot local facility ; cleanliness standard maintenance tip - top ; service efficient friendly enough ; room well size ; good stuff : Decor pretty date transatlantic taste - ok like lot brass orange wood ; in - room facility ( toiletry etc ) pretty stingy class hotel ; internet total rip - off . gouge £ 8 / hr something cost hotel virtually nothing leave nasty taste mouthso overall can not muster average mark . much well hotel sort money , offer modern & quot ; special & quot ; experience . Gloucester bit mediocre anything well - run corporate hotel decent location . well manage , sort decor impersonality appeal get good deal , be well worth look . 
 May 26 2009 	 Great - except air freshener ! ! ! 	 stay 5th floor ( Millennium Club room ) . staff friendly helpful . take advantage Club Room 6th floor one night wine snack every morning limited breakfast . the location great -- Gloucester Road tube station literally across street , easy access Circle , District , Piccadilly line . store restaurant block . my complaint use kind fancy air freshener every time clean room perfume allergy . odor overpower every time walk room ! maintenance come open window -- keep open entire 4 night spend -- fortunately weather great . window open help , eliminate , odor . ( yes , ask maid use air freshener . ) spend little time possible room . so , perfume allergy ASTHMA , would well stay somewhere else ! 
 May 26 2009 	 great hotel keep track credit card charge ! ! ! ! 	 write anything else , first mention stay hotel , know charge whole stay 's worth plus 50GBP per night credit card check . find hard way return home see somehow manage go limit credit card call bank turn hotel carge almost $ 900 ( stay 3 day way , top actually suppose pay hotel ) . understand yes , hotel often put hold credit card incidental , $ 900 ... 3 day ? ! ? ! bad thing - not tell would ! know , would give different card charge go limit ! , dear Susanna ( think name girl registration desk ) , please learn & quot ; need see credit card verification & quot ; = & quot ; need put hold $ 900 credit card & quot ; ! least issue hotel . otherwise , great , everything look like picture website travel site . room clean , furniture , carpet , etc look new , bathroom nice , shower , water temperature water pressure excellent , especially London . housekeeping great , never bother we ( like many hotel bang door morning try come be sleep - even & quot ; disturb & quot ; sign ) , clean well . see people 's review old , crappier room - think Standard Rooms ( stay Superior Room ) . course , going pay less will get less , really recommend pay bit stay Superior Room . not know price difference large think uncertainty whether room nice big downer . overall , think hotel perfect option London , stay several hotel different class / level , favorite one . one tip hotel manager - train staff inform customer extra charge may happen pretty big deal . leave hotel feel great stay , come home deal bank call hotel leave negative feeling . 
 May 26 2009 	 Umm mixed hotel 	 really mixed feeling Hotel . stay Saturday 23rd May 09 . room free Mini Bar entice we . the room clean spacious although little tatty , miss shade spot light , carpet freye around edge bed furniture . must say Lobby beautiful hall . well back Mini bar consist 2 diet coke , 2 coke , 2 sprite 4 bottle water,2 chew gum , 2 can foster , 1 small packet kettle chip , 2 small bottle wine , impressed ! ! also tea coffee facilite joke give enough tea coffee 8 drink provide 4 small tub milk ( enough 2 drink ! ! ) call housekeeping tell standard request bring room never turn . silly thing room book 2 adult yet 1 bathrobe provide towel smell awful ( clean awful ) . stay ok area surround hotel beautiful local pub , return . 
 May 25 2009 	 Peaceful Stay ! 	 deffinately good hotel look forward go staff polite unerstand customer value . also good check site Tripadivisor . Thankyou tripadvisor ! good check reservation Millennium Gloucester , London . right booking check hotel good accomadating . travel India london Paris ( atrocious experince ) . ref check amazing customer service hotel stand upto . call hotel India mother senior citizen also accompany we , want know room shower cubile many hotel do not find difficult get bath tub thi height high age difficult also ( hotel something atleast low tub ! ) like hotel even requirement atleast suggest special room use people special care requirement . ( unlike Paris , concorde la fayaette , straight attend we rude & quot ; & quot ; , please see review also concorde la fayette , sorry say think people do not grow old ! ) book pay club room first reservation book first floor thi deluxe category inqurie book club accept tell we even block club room special requirement book us category soon oblize abd change like first floor layout lack privacy room ok . duty manager Nitin , show we club room always prefer interconnect room family holiday ( even request Concorde La Fayette thankgod atleast ! ) change pay club room . then shift 7th floor hotel . good clean spacious room also give nice chair bathroom mother could atleast get help sit bathe comfortable plastic chair . find kind even mother happy . yes , one thing good 4 * property room 1 2 electric kettle like drink warm water tea immediately get surprise comparision concorde la fayette single kettle 2 room stay ask got & quot ; & quot ; answer ! also go breakfast ask hot water take long get we later attendent would make feel like go get water ! cold rude attitude . 3rd world country atleast believe offer water guest thirsty ! whereas Millennium Gloucester nice comfortable stay . Thankyou Nitin , Donna , David , Valdas entire team Millennium Glousester . even hotel lack little discomfort happy kindness service make one overlook anything ! please keep upto mark mother convey thankyou David ( attente breakfast room ) . make happy make we happy ! well do milliennium gloucester , London . would deffinately recommend , 
 May 24 2009 	 Perfect location visit London ! 	 stay 3 night , May 09 great . mainly choose hotel easy get tube heathrow good review site . were'nt dissapointed . right next door Gloucester road tube - could not easy 2 large suitcase ! book business club room late room . good price central London room decent size ( unlike many ! ! ) price include free mini bar internet acce room - however mini bar basic ( coke , lemonade , water , wine foster ) stock day be not like could go crazy free booze anything ! not tell internet free laptop , use tv . check internet charge bill , query remove instantly fuss . the buffet breakfast good choice service exellent . would recommene book check 's 5 pound cheap morning . imeadiate area tesco metro , bank , boot , pub restaurant , tube close could anywhere central London minute , quiet night though . good hotel . 
 may 22 2009 	 could not well 	 stay 3 - 7 May , 2009 , superior room . take advantage offer & quot ; leisure long & quot ; , get well price breakfast include . hotel less 50 metre away metro bus station restaurant pub around , supermarket well . stuff helpfull polite room photo . hide charge , bad surprise . large , comfortable room , queen bed -we sleep well , clean bathroom . Breakfast serve 6:30 - 10:00 , really rich , everything could ask huge buffet , constantly refresh . well , say something negative , would prefer well view window large window . I would definatelly stay , every time visit London . 
 May 19 2009 	 Excellent hotel great location 	 find Millenium Gloucester excellent , well maintain hotel . also locate 50 yard Gloucester Road tube station . find staff friendly helpful . call concierge several time never fail help . rating see hotel 4 star range . find room small rating access electrical outlet little quirky also , 96 pound night think excellent value . nice restaurant hotel many within short walking distance . also easy walk Victoria Albert , museum , Kensington Hyde Parks . 
 May 17 2009 	 Great Locationbut rude cleaning maid 	 two friend ( two room ) go upto London weekend fri 8th sit 9th may fun weekend out . very nice hotel great location . however saturday morning get loud knock door early 8 am maids.we tell leave . after leave room 10:00am one friend decide stay room feel weather tell we get back maid walk walk shower without even knock ! obviously leave straight away , find rather pushy . then sunday morning maid knock door two seperate time early door . door hanger supply , use hotel past obviously maid knock make sure guest happy enter actually entering.nice hotel , unhappy early wake call 
 May 17 2009 	 ok showing age 	 not disagree generally positive review - good location , reasonable service , friendly staff . hotel show age past good - room ok size - wise , everything bit dog - eare downbeat , reason good value money hotel new . lift not necessary capacity , shabby paintwork , tiny , old - fashioned bathroom date decor , entertainment system not quite work . noise room problem - last stay mar noisy tv leave night . lot corridor noise face street , will know big city . bed , however , extremely comfortable , breakfast , expensive , pretty good hotel buffet standard . 
 may 5 2009 	 good go back honeymoon ! 	 stay Gloucester many occasion past year ( well sister hotel Baileys ) honestly say love , staff pleasant , helpful welcoming , breakfast always superb ( easily pleased partner chef business ) bedroom allocate far spacious clean well relaxing , issue ever give twin bed instead double , quick phone call reception resolve minute later . location brilliant access tube 50 metre away , museum short stroll away , load see surround area , Kensington High St ... harrod ect . also stay hotel relative several occasion well , couple , always please room ect . anyway day available fit bit honeymoon , Millennium Gloucester see end May ... yay ... can not wait : - ) 
 Apr 29 2009 	 good choice . 	 stay hotel November 2001 choose last Xmas . location good , one London 's good neighbourhood 50 metre metro . problem arrive give we room old part hotel- probably another hotel unify . room ok , clean luxurious , aircondition make non - stop light noise . call technician come immediately , tell we problem room old side . change room immediately new one modern , clean , nice view street . price 100 euro per night . recommend hotel , avoid old part . think 's 10 - 20 % hotel room . Aris Alkisti , Athens , Greece 
 Apr 27 2009 	 convenient 	 convenient hotel go Wimbledon Tennis match . subway right across street supermarket number chain restaurant within stone 's throw . club level room lot well basic one . also access lounge snack wine evening , then . well worth extra cash . new section modern room pretty large . bathroom clean big . say old section hotel . make wait arrive check - in time ! 
 Apr 23 2009 	 would go back ! 	 hotel coveniently situate near Gloucester Road tube station . comfortable room modern well equip . love stay would definitely return , lovely reception area bar doorman open door everytime arrive laden shopping bag ! 
 Apr 21 2009 	 Millenium Gloucester great location quiet neighborhood close tube lot good restaurant 	 select hotel part package base review read . disappointed . other say , tube stop stone 's throw enabling get anywhere London . lobby attractive . the room decent size large city , clean . lighting room bit dim . large flat screen tv , pot boiling water tea bag ( coffee - this England , ) . room face courtyard quiet . breakfast good : traditional english breakfast egg , sausage , ham , potato , baked bean , tomatoes mushroom . also assortment cold cereal ( cook oatmeal ) , fresh fruit , yogurt , cottage cheese , pastry bread . food buffet replenish need . service breakfast good . criticism service area , one evening wait ask concierge direction restaurant nearby , occupy flirt young woman stand . pay attention we , leave . neighborhood residential , coffee shop , supermarket ( Waitrose ) , Tesco Express close nearby . hotel walk distance Harrods , Victoria Albert Museum Natural History Museum . many restaurant within area Old Brompton Road walking distance , one tube stop South Kensington . 
 Mar 31 2009 	 comfortable four star hotel convenient location 	 good location across tube station quite bit traffic noise . room face interior courtyard might quieter . handy museum far shop Kensington High Street . plenty restaurant nearby . standard room 4 star . spacious ; ridiculously large piece furniture hold tv mean could not walk past end bed . staff pleasant helpful . get reasonable deal last Minute . 
 Mar 31 2009 	 Great Hotel terrific location 	 arrive early morning room ready . left case go . return upgrade club room . room comfortable , expect 4 * . breakfast excellent , staff courteous , would definitely recommend hotel . knowledgeable conceriege team . wonderful fresh flower everywhere . 
