good 	 good point - cheap ( stay night 20 pound - fantastic central London ) - family room spacious 2 people- restaurant close eg Nanos ( portugese ) , Strada ( Italian ) , Pasta , fast food station etc ) - staff friendly - early check available ( cost ) . hotel even allow early check put good point.-safe area . bad point - Mattress uncomfortable - sink middle . wife back problem every day ( ! ) -pillow thin , hard uncomfortable . end buy couple stay 2 week . - road noise window open load okay window closed - air -conditioning work room ( try 5 room ) . window open key available reception though.-towel not good often ask more.-double room feel claustrophobic ! 
 will not recommend Travelodge . 	 book travelodge convenience Euston Station , catch early train Scotland . know would uncomfortable would save money sleep seat train station . could feel springs mattress sleep pillow thin may aswell one . previously stay Travelodge Kings Cross impression Euston would standard . case recommend hotel anyone . 
 Oct 6 2009 	 good - even low price 	 hotel quite dark dirty . couple extremely rude staff restaurant making bad experience . cook breakfast offer room extremely noisy due traffic . even low price would not tempt back . 
 Sep 28 2009 	 expect well Hotel Giant ! 	 stay Travelodge Euston 1 night September . I arrive train London Euston Location convenient ! price GREAT . book double room £ 29.00.I arrive 13.30 go straight hotel . advise could check 3 pm think litter later normal accept policy ..... leave ( waste hour ) say could check willing pay additional charge ! ! ! really really irritated point blank refused pay ! ! ! understand house keep staff need time turn around bedroom ready new guest understand pay little extra arrival magically make room clean ! assume payment actually upgrade room already service ! understand would clean empty room first know room book . unless bank tired traveller , often luggage , pay upgrade check ! simply early check charge room already service simply disgusting ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! come back 3 check ... major issue say either prompt pleasant . our room modern , bright clean enough ... although maltezer desk clearly hover . the bathroom ( shower ) small adequate seem clean . leave we 1 towel even though room book 2 hand towel either . also sheet toilet roll left mean go ask ! check quick payment take arrival slightly annoyed member staff reception use mobile phone carry see we wait instead stop serve we ! overall major problem price proximity station mean would stay could secure £ 29.00 room rate . I think one UK 's biggest HOTEL CHAINS able better - REGARDLESS BARGAIN room rate ! ! ! ! 
 Sep 28 2009 	 Fantastic 	 hotel right next Euston train tube station far go heavy bag ! like people say Travelodge basic hence reflect price . room excellent , clean ... comfortable bed , tv , coffee\tea room , shower ... light could turn whilst lie bed always favourite mine ! staff nice helpful even ask we feedback stay ... pass positive comment . I can not comment bar area food not sample although room right end ground floor quite walk ... upload picture long corridor ever ... mirror ... that s full length ! lolalmost forgot .... Air Con ! ! ! 
 Sep 25 2009 	 Basic 	 accept room London tend come small be talk budget hotel , however room remind somewhat prison cell . odd shape little space around bed little space ' desk ' wardrobe . also sauna - like , chance opening window way make air con go colder . room spotless , tend high list priority , stay also mar massive crack outside glaze window pretty uncomfortable bed . add poor state double glazing lead rather bad night 's sleep . place job get cheap room rate be stay couple night . 
 Sep 18 2009 	 Excellent Stay ... apart noise 	 stay hotel five night . staff friendly , polite helpful . room spotlessly clean noise guest hotel . geographical location hotel good , handy shop , restaurant transport . impossible get unbroken night sleep noise traffic ( even though room face side road ) . hotel need triple glaze double glaze enough block noise . 
 Sep 1 2009 	 Normal Travelodge 	 Normal Travel lodge expereince : safe , clean etc . nothing exciting . well value get sale / saver rate well ahead , otherwise cost almost much real hotel . 
 Aug 30 2009 	 Best Ever Travelodge experience - ask room back . 	 fantastic Tavelodge . great central location right next Euston station great transport link . room spotlessly clean , warm welcome reception , efficient staff . lucky enough room face away road outside extremely busy . stay remember ask back face room possible get one . 
 Aug 28 2009 	 excellent location 	 stay 3 nite short weekend break , location right across road Euston train & amp ; subway station , great access rest city , walk Soho 15 min well , room quite large London standard always keep clean . bit traffic noise 1st floor face Grafton Street not bad . pay £ 75 per nite great rate central London , come expect Travelodge nothing luxurious will not disappoint , would defo use place 
 Aug 26 2009 	 Excellent hotel 10 10 	 stay 3 midweek nite & amp ; find hotel spot , ground floor 2 different room , face courtyard could hear pin drop , total silence . the room basic job , air conditioning perfect working order , shower great too . we continental breakfast morning £ 5.25 adult & amp ; free kid 15 & amp ; , ample , help many time want . we find staff polite & amp ; friendly , would def stay & amp ; , location ideal . 
 Aug 22 2009 	 London hotel price fantastic ! 	 bit hard find first , taxi driver not know go , hindsight would look map would know not even need taxi London Euston have park car . reception helpful , like five star hotel chic reception area , TRAVELODGE not expect five star standard ! ground floor right end , nice room , would say possibly 4 * accomodation not location lack provision like restaurant etc . room lovely , everything could want really , bathroom also lovely , fantastic power shower wake morning . bed comfy generally really good . bad thing picky could moan idiot get angry bathroom door hole , can not say bother . situate put busy junction , be want somewhere serene relax take scenery hotel not . need somewhere put head day wander round London everything need . sleep really well , complaint . book taxi 's reception Euston literally stonesthrow away , easily jump tube . think even order fast food hungry ... ' m due go London girl night January , would definitely stay . ' ve say review really picky come spend money , really expect lot bad actually cost . 
 Aug 17 2009 	 could much well minor tweak 	 wife stay one night , Saturday 15th August 2009 , u2 gig wembley . location : perfect , almost . great little boozer around one corner , Rocket , stone throw away Euston Square tube make easy reach Wembley gig . ok bit traffic noise ( 3rd Floor ) morning , problem hotel set traffic light awful lot impatient driver feel need beep horn hurry driver even 5 morning . check : know £ 10 charge check 3 pm . walk hotel little 2 pm fully expect give room , surely charge levied want room early , surely 2 pm would fine . chance , tell early could check 14:45 . ' m cheapskate would not pay £ 10 45 minute , way , wander around pub couple pint , luggage might add hey , big surprise , can not leave luggage . can not complain staff attitude , policy , make clear outset . have expect little bit common sense , fact policy enforce letter leave bad taste mouth . room : squeaky clean , decent size London , nice clean shower room . however , big problem window air con . window do not open , fact do not handle . problem think , one night stay , air con unit look almost brand new . wrong , major , major problem make uncomfortable night ' ve ever hotel room . air con could switch matter two maybe three minute switch , mean get night keep turn back . unbearably hot stuffy , resort lie floor bit draught come door lovely cool air condition corridor . way would stayed second night , could not wait get room morning . I ' ve read TA key available open window . not staff mention . do not ask might say ? see window handle assume be not mean open . even tell check - in still would cheese stumble reception wee small hour get key back return . good enough brand new hotel . will return , know , plenty budget accomodation around . Premier Inn around corner , even novotel couple block road good value factor ridiculous charge get room 3pm . I would not want put people stay , , remember ask window key check , ask towel put one double room , pay extra ten quid early check book ' ve forget time arrive . 
 Aug 13 2009 	 great Stay city center 	 Travelodge hotel chain , Travelodge Euston bit modern . situated 30 m Euston Station , 200 m Euston Square station , many option ( line ) travel use underground . even take london bus front Euston street reach Oxford street . room clean neat , also quiet , design carefully budget traveler without eliminate comfort . bed also clean comfort . LCD TV also plus point . the minus point hotel breakfast room ( especially sunday ) open late , around 7.30 - 8.00 . serve great breakfast menu : bread , croissant , cereal , yoghurt , milk , juice coffee . breakfast price pay , absolutely wonderful . some restaurant locate walking distance , Nando 's front Euston station , Burger king etc inside station . in summary , hotel location recommend traveler stay city center . my tips : try purchase wifi access front . check enter room , search public free wifi . get free wifi access ( nearby ) last stay . 
 Aug 10 2009 	 would stay 	 pay extra £ 10 check 12 noon . room ground floor superthick blind right next Euston station , everybody walk past bedroom window . room dark . warm day , air conditioning unit switch every 30 min window would open without go reception key therefore room rather stuffy . however obtain key returning straight away one floor , room cool bit . discover blind break want open window could not lift want . sunlight room 2 day there . the room really really clean , spotless bathroom clean well . couple problems- arrival small amount toilet roll , total 10 sheet . head straight thought would sort get back . go reception , man behind already deliver 4 toilet roll other guest do not . manage find we 10 sheet . morning none leave . head day , come back room clean still toilet roll . do not want go reception do not want look like pooper trouper decide flush tissue instead . pillow flat pancake , read going really think would thin . ask another reception happily oblige . good point , take 2 min check 1 min check . coffee machine main entrance get free coffee tea room . lcd tv ( although badly position wall , do not watch anyway ) room super super clean nice lighting . do not hear noise neighbouring guest ... fantastic location . would stay . wish would provide least one full loo roll . 
 Aug 4 2009 	 really like place ! 	 room clean comfortable . bed really comfortable ! need bare mind busy part London right next station near main road . window double glaze still noisy . sleep fine sensitive noise bring ear plug ! not check till noon good . state room need hair dryer room not one ask reception . save one morning . staff friendly helpful . definitely stay London really enjoy visit perfect spot sight seeing . love ! 
 Jul 20 2009 	 Perfect need ! 	 Stayed Travelodge Euston 3 night London break wife teenage daughter . there load report check staff dis - interested girl check we polite & amp ; helpful . we room low ground floor ( basement basically ) advantage di - advantage . advantage traffic noise many reiewer T.A . complain of . the disadvantage window seal therefore become stuffy , aircon obviously not work properly . the hotel location great . literally across road Euston Station 4 stop Leicester Square tube . also , outside station various eatery / coffee shop etc tip bloke - doric Arch pub station show Ashes large LCD telly slope woman get ready evening ! bar hotel open til around 11 pm quite convenient . if anyone need info , please feel free ask & amp ; glady answer well . 
 Jul 14 2009 	 one well ' budget hotel ' 	 stay number time , business leisure stay . the hotel would expect Travel Lodge , maybe little more . the location 10/10 ( say 5/5 ) hotel literally couple minute walk Euston . I always stay double twin room , although small side everything need ( minus silly toiletry ) short stay . the hotel fairly new , room immaculately clean furnished simple - yet modern style . room defiantly well double glaze consider location , hear little noise outside guest . other check much dealing staff , encounter pleasant friendlythe negative experience early year give wrong room card , end somebody else 's room . thankfully trustworthy people , card wrong person 's hand may pose security risk , guest belonging , include valuable leave scatter around room . I never eat drank hotel rate breakfast service . all , would probably stay hotel future . 
 Jul 9 2009 	 Good Location - 's 	 good location train metro station nearby . service except clean bend room . staff also helpful . request hair dryer soon check - in . 
 Jul 9 2009 	 Good Location Nice Decor Good Service . 	 girlfriend visit Travelodge one night arrive 2:50pm . want charge we £ 10 extra early check , realise time waive charge hand we key . manage get hold hairdryer reception , insist returned leave , however forgot ( leave room ) consequence . the room reasonably size comfortable take double bed easy access side , decor new , also small section desk locate general tea coffee make facility . room main feature 's flat screen tv however locate leave bed flush wall , bit inconvenient . the bathroom nicely fit look clean , however shower quite powerful end flooding bathroom , glass shower cubicle would practical curtain . shower option , bath , shower double standard size . I find staff generally quite rude , however ask abrupt question push way get extra towel extra pillow , not hard , fact not English , expect London ? overall enjoyed stay , thing like clean try gain access room wernt even dressed , checkout time .. lucky locked room ! ! clean basic nice design . 
 Jun 25 2009 	 New Travelodges show do 	 many Travelodges country first time have one build scratch . what huge difference . travelodge look like . the room exactly would want . nice simple , clean , chip furniture , perfectly seal clean grouted bathroom . air con ! air con ? Travelodge ? nice muggy evening something ' ve much expensive place . I understand people concern shower tray update Travelodges ' ve ever shower bath Travelodges . great design really . not seem anywhere near much drainage power bath water build bit . noise - wise problem , Monday night second floor , odd thing light come side blind ( yes blind curtain ) ' dark room ' . interesting external mist window , preserve flat opposite privacy interesting idea . location - wise 's great , right next Euston station minute walk king Cross / St Pancras wherever come underground will get back easily . I spend £ 65 one night leave late book , might able get real bargain booking ahead one place would definitely recommend . to people mention £ 10 fee early late check - in . know 's stupid , ridiculous money - make scheme 's website , know book can not really surprised . if Travelodge upgrade build new hotel like get rid image lot people . 
 Jun 23 2009 	 reasonable price London 	 Rooms functional clean . bed comfortable . hear traffic outside ' ve experience bad London . not hear noise room corridor however room appear occupy . right next Euston Station walk distance king Cross / St Pancras . breakfast good fill gap . vend machine payable internet foyer . 
 Jun 14 2009 	 good value money 	 nice room , convenient visit son University College . complaint would stay . 
 Jun 8 2009 	 good location unhelpful abrupt staff 	 book hotel special promotion pay £ 49 one night partner take show West end . hotel conveniently locate directly opposite Euston tube station make easy get . handful place eat get food right doorstep ( include quick eat like Subway & amp ; ) . hotel nice , basic , nice . arrive hotel approx . 2 pm long day travel , receptionist tell manager room clean ready yet would let we go room . ' m bother thing like usually , room vacant reason ( group 6 7 guest ) could not go respective room . end pay £ 10 charge get room desperately want shower bit lie ( , like ! ) . room fine , bed , cool bed head / lighting combo , cupboard space , small wall mount tv vanity unit . nothing complain , nothing special either . bed incredibly uncomfortable 2 pillow ( low quality kind get long - haul flight ) , request pillow never meet ( never chase either , fair ) . bathroom neat , clean compact . overall hotel great stay - over starting block someone look either comfort quality probably look elsewhere . 
 May 24 2009 	 nice hotel alot road noise 	 Better expect never stay travelodge know would find . great location , although little noisey right across road euston station . the room everything could want , overnight stay clean , expect . I always think traveloge dirty dingy could wrong , price pay bargain would return agree review charge early check 's right check time little early 3 pm late . all good room good price . 
 May 24 2009 	 pleasantly suprise 	 decide try Euston Travelodge close St Pancras International . we want one night stay London catch Eurostar Disneyland Paris . when look hotel prefer stay 4 star hotel price hotel forth price go pay Hilton Metropole book hotel £ 55 family room three adult ( breakfast include ) .We arrive 1 pm tell would pay £ 10 early check want room 3 pm check time , principle would pay , room ready allow guest check straight away ( free ) , cross road Euston station fish chip Harry Ramsdens £ 10.Once aloud check use key card enter corridor ( good security feature ) enter room .After expect worst honestly say pleasently surprised room clean stains carpet lovely crisp white sheet , clean duvet pillow , lcd tv wall , desk chair ( great use laptop ) .kettle tea , coffee , sugar , double bed large sofa bed convert two single , one small clothe hang area ( wardrobe ) clean bathroom , vend machine hotel require place eat drink across road Euston station ( 15 total ) fill pop Marks Spencers take something back room .Because front building , right across road Euston station traffic noise little loud even though window close still enjoy stay price pay bargain . I complaint hotel except check rule change pay guest give consideration , least check time early , 1 pm .We arrive disneyland hotel two hour early allow check right away ! travelodge take note ( without charge extra ) . 
 may 12 2009 	 Average Travelodge 	 stay £ 19.00 promo rate standard Travelodge fare . new build opposite Euston station . staff exactly trip friendly 3 pm check rule rigorously enforce unless want pay £ 10.00 charge . be allocate room 2nd floor face back , probably blessing one face road , noisy . bendy bus trundle pass every often bus station opposite , plus night bus throughout night . double room small usual travelodge room stay 12 square metre . room benefit Air Conditioning , sadly option open window . cleanliness plus point , miss spot bathroom behind toilet bathroom start smell rather musty . could say corridor . major problem light sleeper amongst slam door noise clearly audible adjacent room . night stay , lot scream child room people TV 's full blast . give choice , City Road Travelodge well , although top Travelodge London remain one Southwark . tip : avoid room number end 06 - 12 floor right lift door everyone pass gain access , even slam door . 
 May 7 2009 	 could want price ? 	 stay group eight girl may bank holiday weekend , never london look like not go get find budget hotel read review TA.We two family room one double we work £ 40 Saturday Sunday night ! ! okay ritz pay really delighted would definetly recommend place anyone budget , especially family travel London . easy get tube bus stop right outside door pub restaurant beside hotel . just add sofa bed pull two single bed may clear photo family room bath whilst double room shower 
 Apr 21 2009 	 basic good value please sort noisy neighbour Travelodge ! 	 travel large family group book several room Travelodge , Thursday night , prior travel Eurostar early next morning . although nearest Travelodge St Pancras , still ideally situate Eurostar terminal ( 10 minute walk ) choose Travelodge location stay base traveller ’ review . plenty pub restaurant nearby . having recently refurbish , find room basic clean comfortable , exactly would hope , access main corridor limit guest , feel quite secure . due central London location , expect peace quiet case , night punctuate various siren noise reveller pass , though double glaze window reduce reasonable level . however , we lucky other , people next - door room one group decide host night party , get much sleep . ' breakfast , ' comment . bar basement , tv , ok late night drink . overall , find recently refurbish Travelodge good value £ 55 per room ( pre - booked ) well locate purpose . visit , ' forget bring everything need ( eg soap ) room basic . shame Travelodge staff look take action noisy guest , benefit majority try sleep . 
 Apr 19 2009 	 Excellent - Value Money / Clean / Location ! 	 travel London Euston Travelodge April year . stay 3 night part trip London . if travel London Train , try get Virgin service run Euston Station . hotel right doorstep Euston , king cross hotel less 1 mile away , 5 min taxi . Euston also series bus stop right outside hotel train station , take anywhere London want go . Euston also tube stop take right across city . now onto hotel . outside look like standard Travelodge . quite new building oustide look tidy clean . hotel staff friendly helpful . nothing much trouble , hotel check take moment lift room disabled guest . cafe low ground level serve food / drink . we family room , easily big enough 2 adult 2 child . room nice clean , modern decor flatscreen tv ( although not use much ) . room also air conditioning . room clean every day fresh towel linen . the hotel represent excellent value money , especially deal get book advance . use hotel place park , not tend spend lot time . end , Travelodge room perfect . no - frill hotel , intend use place sleep like , nothing wrong . 
 Apr 13 2009 	 Perfect location . immaculately clean spacious room . 	 room - usual Travelodge - spotless , minimalist , stylish , flatscreen tv wall place watch bed , unfortunately ( tv worktop could swivel watch sofa ) . wonderful ensuite , spotlessly clean , shower bath , give good world . Plenty ice - white fluffy towel . bed extremely comfortable immaculate , smooth , white linen . room spacious , guess 18 ft 12 ft . 's 5 ft ( king size ) bed seven - foot long sofa , hang space , shelf , one chair . air - conditioning unit wall remote control . everything look new , excellent condition . in reception three vend machine sell ice cream , cold drink ( Coke 90p 's extortionate ) snack like pot meal , chocolate bar , crisp , also toothbrush , headache pill shower gel . next two internet terminal . staff helpful machine go wrong . if enjoy bustle city location perfect place stay . our 2nd floor room face bus stop front Euston although mean traffic night double glazing keep noise . however lot police siren hear , though muffle not keep we awake . get anywhere London use many bus stop right outside , Tube Euston Euston Square . 91 bus particularly useful take Oxford Street , Covent Garden Trafalgar Square . Buy Oyster card journey matter far cost £ 1.A huge fry breakfast authentically - shabby Double six cafe ( turn right outside hotel , two minute ' walk ) amaze £ 3.10 . 's well - patronise cabby bus train crew , be full another door away . 66 open 6.30am 10 pm serve substantial plate dinner £ 5.almost opposite Marks Spencer , also get picnic meal eat room . one evening pick hot spit - roast chicken salad Sainsbury Local Tottenham Court Road ( bus 91 ) .there hot drink make facility room staff replenish tea , coffee , sugar milk daily . final morning 6 am wake deep sleep terrify screech fire alarm -- loud make feel shaky nauseous . luckily false alarm staff could switch conduct drill properly . 7 be double - six eating breakfast . we pay £ 100 four night ( different rate night ) two people -- - 's silly money , really , quite unbelievable : £ 12.50 per night ! baffle anyone would want stay anywhere else unless much money not mind waste , unless intend waste city break sitting room . maybe live one day without trouser press gym ? pay stay smelly hostel , cramp B & amp ; b grubby hotel bathroom corridor share great unwashed ? hotel would always first choice stay London future . 
 Apr 12 2009 	 well value Central London 	 Travelodge advantage still new enough go downhill . basic Travelodge new 1 minute walk Euston 1 2 night beat Value 
 Mar 30 2009 	 say tin ! 	 part group friend travel via Eurostar next morning . book 3 family room , could sleep 3 people easily average £ 40 per room . central location represent great value . hotel fairly new still clean fresh , something travelodge sometimes fail . situate right next Euston station handy . the area remain fairly noisy night plenty street noise lead break night sleep . if look budget accomodation Central London really good bet . 
 Mar 17 2009 	 Excellent Value 	 come back weekend London boyfriend fabulous . ok ... well I ve stay many travelodge 's . would rate 7 10 . firstly , location hotel excellent . hotel two minute walk Euston station many bus across road prefer travel bus . enter bathroom room , discover one towel go get another . room small basic , would recommend hotel like big room not like feel claustrophobic . however , manage get special offer travelodge.co.uk , can not really complain ' m student can not really afford ritz ! honest , be really going stay much room many sight see London . would recommend visit London Zoo walk Regent 's Park beautiful surrounding nice experience , especially nice sunny evening . highlight trip meal Vertigo 42 , situate Tower 42 . boyfriend treat early 21st celebration , everything sensational . food , drink , view sit , service , everything magic ! look something London special occasion , Vertigo 42 would perfect place go , recommend , must good ! overall , 3 night stay hotel stress - free would stay cheap book advance . 
 Mar 13 2009 	 fantastic value 	 stay 4 night Sunday really can not find fault hotel espcially £ 19 night , hostel London dorm bed ! ! room modern though fairly small , come kettle , tea coffee refill daily , flat screen tv normal 5 channel , film 4 , cbeebie several radio station , a / c unit also heater individually control room , desk even bottle opener ! bathroom fine shower pretty powerful . thing would say be not much space hang clothe . not go cafe bar buy wifi access find good speed problem . previous review mention noise , room 8 ground floor face grass area away road problem noise apart occasional police siren . area around hotel fine , lot place opposite Euston station breakfast lunch get around London easy lot bus ofcouse underground within easy walk . not many restaurant takeaway immediate area dinner could find take bus West end . single female feel fine walk around area night . St Pancras station 10 minute walk away top Tottenham Court Road 10 minute walk opposite direction . overall much pay fantastic bargain would stay . 
 Mar 10 2009 	 Excellent Location handy transport link 	 one thing highlight fire alarm sound hallway , room . alarm sound twice stay clear enough identify . visitor also confuse whether hotel fire alarm external fire alarm . hard hear heavy sleeper beware . checkout confirm reception staff alarm sound hallway . hotel chain stay alarm sound room well . room fire smoke detector even indicate flash light hotel alarm go . become obvious small amount stayer muster reception . the shower tray slippy unsteady foot beware . safe handle it . the flat screen tv good selection include Film4 CBEEBIES.Location price perfect London bus station across way get around London see sight see use tube network . want use walkit.co.uk see sight foot possible teavelodge quite central . on Euston road traffic light PREZZA restaurant want walk far meal . bus station doric ARCH pub pint . Euston station also shop cash machine etc get room supply inot far away . the hotel basment bar ok bit cafeteria like . breakfast . I find hotel staff pleasant helpful timesif get Travelodge deal location make week stay central london reasonable affordable Joe Average watch penny credit crunch . 
 Mar 6 2009 	 travelodge go pretty happy one 	 thing Travelodge expect / get fairly bog standard , although obviously much well other . term decor / fitting one lovely smart clean - well - new . ' ve stay Kings Cross travelodge would choose new one every time KX bit worn battered look . £ 35 night bargain - central London - next main station tube . not find noisy face Euston station . yes people could see window look , hey , there s blind ! bathroom spotless , shower great - powerful . enough towel two people . Basic tv / remote / kettle / tea / coffee . ask stuff like hairdryer reception be happy give - overly friendly staff issue . vend machine drink lobby working - issue probably bit annoying . do not breakfast know would like - wander Tottenham Court Road greasy spoon instead . pay twice much would still pretty happy particular Travelodge . 
 Feb 22 2009 	 great value money 	 want clean basic accomadation know would day . the room exactly need . spotless room , comfortable bed , flat screen tv basic channel , tea coffee . clean towel . we get room £ 39 happy never pay little stay London . we not use facility not book breakfast . great travel Train . a taxi bus need night town unless like walk . 
 Feb 16 2009 	 Brilliant location 	 Location - could not well arrive train , especially Euston situate across road . also , 5 minute easy walk king Cross / St Pancras . therefore excellent get around outside main tube station well main line plenty bus . well situated , expect traffic noise . Quality - TL offer ' no frill ' stay , not expect luxury . new lodge bed comfy bathroom sparkle . personally like ' white ' decor - see clean - clean . facility - Someone mention air - con / heater - similar problem -arctic temperature room arrival air - con switch ( middle snow ) . Manager fix , maybe look like teethe problem address . room decent size central London everything need - tea / coffee , tv , adequate sized bathroom good ledge bit bob . reception - check fine I . value - one deal , top value . however , pay around £ 100 would look elsewhere , even could leave luggage arrive check - in ! 
 Feb 11 2009 	 Handy Station 	 great location , minute walk away Euston station . really handy tube bus . much immediate area food drink wise - although Doric Arch pub station entrance real ale . hotel room clean , air condition functional . room road side hotel pretty noisy . might wise ask room away road possible . otherwise , get promotional rate room , can not complain . good value money . 
 Feb 2 2009 	 great value 	 stay one night colleague last week , would happily stay . hotel two minute Euston station relatively new Travelodge , decor nice modern , unlike old one chain ! arrive 2.30 allow check ( mean 3 pm ) room quiet side hotel , literally face wall - view window , wall 3 ft away . however , one colleague side face road ask move noisy . I small hole pillow case ( look like cigarette burn ) everything else pristeen . bath mat , floor bathroom get rather wet . one irritation hotel , Travelodges , hairdryer provide always forget get shower . however , problem , ... ! 
 Feb 1 2009 	 Excellent Value money 	 book room Christmas take advantage half price offer great base . nice clean room Tea & amp ; Coffee , towel even soap not mind walk not even need public transport reach sight shopping area . negative occasional noise night siren , City ! 
 Feb 1 2009 	 Travelodge Tops Lot 	 superb hotel , stay many travelodge around London must say one superb.5 min walk king Cross station , 1 minute Euston station . free parking side street - save £ 30 car parking charge . nice looking building , reception great , quick check . stay room 26 ground floor . the room big , spotless , extra comfy bed , 2 mirror , great heating clean bathroom . honestly say one quiet hotel ever stay in . we get £ 35 deal make extra special , hotel great location get around . £ 15 taxi get back go club . stay London week ago pay £ 160 night stay well know 4 * hotel Marble Arch feel like shoe box . well Travelodge knock spot hotel , ok do not fancy bar restuarant great room about . we even book stay Easter weekend £ 35 night can not go wrong . 
 Jan 21 2009 	 Great Travelodge 	 great new travelodge , stay really tatty one . we room 3rd floor , lovely warm quiet . excellent location half mile Camden convenient I . also manage find street parking free weekend . will definitely stop . 
 Jan 5 2009 	 good value 	 spend 2 night Travelodge Euston late December . handy train , bus etc . bit noisy would recommend price . 
