one 	 stay hotel three night Thanksgiving 2009 . stay frequently Marriott brand hotel hotel many familiar positive attribute Marriott also drawback . doubt will return subseqent Las Vegas trip . check : arrive 9 p.m . wait 7 8 minute check sole person registration speak another guest . front desk representative overly friendly rude unfriendly , not feel warm professional welcome provide . seem rather uninterested check we in . Valet Bell Staff : quite exceptional . car bring timely fashion , always professional friendly . Luggage handle well . room : separate glass shower small separate tub . room moderate size usual great Marriott bed bedding / pillow . carpet already look worn room hallway hotel old . coffee maker / tea / coffee etc . bathroom not lot space room . desk small refrigerator safe moderate size tv one chair , also quite worn . housekeeping : good . ' m particular housekeeping issue please . internet : big disappointment . hard wired Internet , free club level room , locate hotel charge $ 1 per minute use computer internet Club Lounge . first Renaissance hotel stay charge internet computer use club lounge . way price . room rate : good special hotel room good value money spend : Restaurant ( Envy ) : Excellant . although not know would return stay hotel would definitely return restaurant . several friend reside Las Vegas recommend restaurant . birthday celebration service incredibly food extraordinary . Club Lounge : moderate good . charge alcohol , different Marriott Renaissance hotel frequent ( often international location ) lounge look bit wear also . always one attendant lounge quite pleasant , tv blare one trip lounge many young child run around play hide n ' seek make noisy atmosphere . ambience : overall , not find hotel plush great ambience . nothing horrible hotel not find service fantastic . front lobby often fill really loud noisy , sometimes obnoxious sport team member , staff nothing control . prefer Marriott Suites , couple block hotel . location : choose prefer stay strip usually visit family business gambling . location fine next convention center . $ 10 taxi ride main part strip use monorail , stop right next door . pool : small pool main level decent small lounge area . 
 Aug 25 2009 	 poor service expensive wifi good amnitie good location 	 bad experience hotel , restroom lamp break arrival , oblige go 3 time ( 2 day ) welcome desk claim ... location good room clean . service expensive , particulary Wifi breakfast , ( 2009 , wifi free ... ) 
 Aug 22 2009 	 elegant non - gambling hotel 	 want get away loud noise bright light Vegas , hotel elegant escape madness . the hotel restaurant , Envy , serve delicious menu reasonable price . room service excellen after - hour choice meal dish pasta easily serve 2 people . server also friendly welcoming . the gym small great self - serve fruit juice bar . the hotel strip complimentary shuttle bus take Convention Center ( across street ) Wynn hotel 8:00pm . also convenient kiosk check - in airline flight home . the negative experienced hotel slow service front desk staff request extra towel send room . note : be Marriott Silver Elite member , receive free cocktail bar . 
 Aug 14 2009 	 Excellent NON Gambling Hotel Option 	 Disclosure , travel agent . Renaissance Las Vegas one hotel Las Vegas gambling premise . preference , other . thus , search hotel gambling on - site , Renaissance you . location : Renaissance locate close Convention Center . proximity , hotel across Wynn Golf Course . thus , use Strip geography purpose , Wynn / Encore , Renaissance approx . ¾ mile due east crow fly . please note , direct access Strip foot . use car , taxi Monorail ( station approximately 100 yard away ) . use Monorail ( convenient cheap ) car ( parking hotel Las Vegas free charge ) . usually park Flamingo walk . Hotel check - in : enter hotel immediate reference would starwood ' " W " line hotel . sleek interior design yet invite i.e . marble , wood modern design . check - in , efficient quick , provide room 8th floor request honor i.e . kg . bed , high floor . please note , NON - smoking hotel . room : room nice well design . modern design , room would perfect business leisure . upon entry hallway requisite bathroom access use " pocket door " access ( nice design save room versus swing door ) . main room quite spacious . large comfortable bed , night table , armoire ( instead closet , w/ iron board ) build - in ' hiding mini - frig ( mini - bar , bottled water ) , nice work desk comfortable office chair , flat - screen tv , nice sit chair ottoman , floor ceiling window efficient A / c unit . see Pictures . bathroom : spacious standard separate shower stall full tub . well design vanity granite frame mirror . make - up mirror small non - lighted , yet unattached i.e . take anywhere bathroom / room . Shower stall nice design include ledge place foot soap . speakman shower head , water pressure excellent . see Pictures . Fitness Area : 2nd level , well average equipment include new cardio - vascular equipment weight area . two large tv ' w/ remote , towel , fresh fruit juice self - serve , open 24 hour . Pool Area : small yet invite , shaded design . pool small , 3 ' depth cooling . hot tub seat 12 comfort . nice outdoor furniture include lounge loveseat set - up . rarely use " pool scene " . look family pool , consider Flamingo Bellagio , " adult scene " consider Bare Mirage . relax , long day , dip pool hot tub night , invite subdued lighting . see PicturesRestaurant : on - site restaurant , Envy EXCELLENT . bill steak house , much . interior , like hotel modern design yet invite . enjoy $ 39 / prix - fixe excellent 3 - course meal . enjoy fine restaurant LV , Envy stand - up excellent food spectacular efficient service . Gnocci appetizer " die " .Bar : nice bar adjacent restaurant . nice place meet dink relax . receive service Envy Steak House well . Sundry Store : small store / snack hotel serve Starbucks Coffee . visit ; however , see guest buy breakfast item run . parking : valet self - service parking adjacent hotel multi - level structure attach hotel . parking easy in / out north strip , maybe 5 minute , south strip , 10 minute . premium outlet downtown , 13 minute . 
 Aug 10 2009 	 Nice hotel clean quiet 	 Nice hotel traveler look stay somewhere clean affordable , nice , Strip . 
 Aug 10 2009 	 Nice hotel good value 	 nice hotel be interested stay Strip want decent , non - smoking , relatively quite hotel . 
 Aug 4 2009 	 Absolute Oasis ! ! ! 	 great place stay Vegas especially not like smoking gambling seem everywhere except hotel ! slot machine , smoke ! great place ! not use pool , look nice . room nice , actually well decorate comfortable . downside fire alarm malfunction go night . repair man come two time fix alarm , finally fix , bit annoying . staff offer move we another room would ridiculous stay one night already late . nice helpful not offer compensation , think sure would . 
 Jul 31 2009 	 Excellent Hotel Minor Problems Challenge 	 first , hotel steal $ 54 Priceline . , quite perfect might appear . basketball tournament town & quot ; player & quot ; run hall & quot ; music & quot ; blare literally night long . be totally non - smoking facility except cigars hall , room , pool . apparently , non - smoking policy well describe & quot ; self enforcing . & quot ; auto approach valet parking check - in back block much often due understaffe . Heaven forbid make mistake sign wireless internet guest room . suppose read & quot ; literature & quot ; ( manager - on - duty 's word ) room know wire connection . internet problem straighten minute real customer service manager Monday weekend staff find quite challenge . good part ( yes good part quite substantial ) . room though slightly small four star standard modern , colorful , spotless . elevator exceptionally convenient staff go 's way speak guest nice . concierge level lounge absolutely superb dessert 8 pm evening fit king . overall give clear 4 5 rating believe good non - casino property ' ve stay Las Vegas . internet problem , occasional & quot ; jam box & quot ; , cigar happen anywhere . seem care big positive . 
 Jul 31 2009 	 great non casino business hotel 	 stay one night business . great strip location - smoke free , casino - major bonus . concierge lounge nice - enjoy drink evening plus quick breakfast work . thoroughly enjoyable - gelt safe entire time - important female solo business traveler . pool small - lovely sit hot evening - would probably unappeale kid . clean , great staff nice room decor . 
 Jul 30 2009 	 find pair man 's underwear pj pant bed ! 	 friend check Thu 07/16/09 double room ( two Queens ) . next day , two friend join we , one go replace sheet one bed one bring home , find pair man 's underwear pijama pant tuck fit sheet flat sheet bed sleep ! unbeknownst , sleep night sheet use man ! obvious housekeeping not change sheet guest . promptly call front desk take almost hour housekeeper arrive clean sheet . 9 pm Fri 07/17/09 . bed make ( one friend 's sheet ) , go speak Manager front desk . tell find bed sleep night keep say & quot ; sheet change , everyhte fine , right ? & quot ; would say & quot ; , sleep dirty bed man sleep previous night , previous week , previous month . & quot ; keep repeat & quot ; change sheet everything fine , right ? & quot ; eventually , said & quot ; check crew & quot ; would taken care room morning manager . next morning , hear anyone , go front desk routine & quot ; everything fine & quot ; take place . morning manager duty say & quot ; look & quot ; would get back . evening go front desk ( third time ) explain whole thing . guess Marriott manager not communicate ? explain happen , get response & quot ; sheet change , everything ok , right ? & quot ; ' m convince Marriott train Managers play idiot . maybe hire idiot . repeat fact find disgusting sheet man do God knows not change end sleep night housekeep two opportunity rectify situation ( first , man leave / before check next morning leave room room service make bed ) THIRD manager finally say & quot ; would like see happen ? & quot ; said & quot ; think not pay night sleep bed someone else use . & quot ; said & quot ; sure , will take charge bill . & quot ; question : not first manager offer take charge first time bring issue ? take explain situation multiple time three manager ( suposedly & quot ; decision maker & quot ; ) right thing . practically tell rectify situation . , not occur not pay sleep sheet ? UNBELIEVEABLE ! , Marriott , Motel 8 . top , ' m germ - phobe ( wipe remote , light switch , door knob check ) . never think Marriott property would fail provide clean sheet . , will always bring . 
 Jul 28 2009 	 nice stay ... would return 	 stay numerous & quot ; strip & quot ; hotel Las Vegas . Renaissance would nice thus far . everything clean , good working order . modern furnishing , etc . drawback could see pool little small hotel 's size . room extremely nice , clean , fully functional , visually appealing . nice view casino , nice night . bed fairly comfortable , slightly stiff . bathroom excellent work condition nice amenity ! would certainly return ! 
 Jul 23 2009 	 good place stay strip 	 ' m Platinum Elite Marriott Rewards Program return trip hotel . first visit occur approximately year prior . positive experience trip , result decide revisit hotel . I book hotel online choose $ 99.00 rate . Las Vegas low point tourism due economy , expect rate little low . weekend rate , check Friday night . I drive hotel need assistance bag . arrive , one valet working , time consume take picture group people head night . another valet present assist , force wait picture taker finish work . expect tell group wait since arrive customer , occur . good mood since drive LA ready check take rest . reception check - in go well inside . give upgrade 15th floor , club floor . bag assistant friendly helpful get settle room . I originally check two day , decide extend stay next week . surprise , front desk say would able extend stay , high rate $ 109.00 . bit confusing since Monday rate exceed weekend rate pay . agree nonetheless . the breakfast could use work . provide food excellent , lack extensive variety ' m use see travel renaissance overseas . also , evening cocktail hour , charge individual drink . det charge , believe drink complimentary individual access Club Floor . I order room service one day late lunch , sandwich soup fry . everything excellent highly recommend room service here . overall , hotel excellent , especially consider value pay room . grant , hotel casino , see plus . allow get away action , control subject casino . continue return hotel visit Vegas future . 
 Jul 8 2009 	 hate de de de place 	 Renaissance oasis calm otherwise brash over - stimulative Las Vegas . Adjacent Convention Center , hotel pleasantly lack casino , make public space invite linger , get quickly humanly possible . one night way town . convention rate great . sure happen calm atmosphere though place fill orthodontist game designer . 
 Jun 29 2009 	 hard imagine well off - strip hotel 	 unassume superb property locate one block strip , around mile Wynn / Encore . crucially , monorail station locate close ( 3 min walk ) hotel . ' ve 10 night , leave tomorrow morning , feel qualified leave review ! interior spacious nicely decorate . staff extremely polite friendly , big plus Vegas . offer olive - shape ( conventionally flavour ! ) chocolate upon check - in room mini - fridge two ( think - hope ) free bottle water , restock daily . normal room king bed . bathroom nice , bath walk - in shower cubicle . nice big LCD TV , clock - radio large desk . iron ironing board also provide . huge window give pretty amazing view . room face towards Stratosphere Hilton , although room must face towards end . ask high floor good view ! realise quite late window mirror , walk around naked front , like do . there be pool , unmanned enclosed hotel , get dark quite early . vegas though , still warm even midnight , might ideal be try get tan . on whole , find one fault hotel , wireless internet . ' m 12th floor , internet terrible . connection weak device frequently cut suffer extreme slowness . probably affect small number room , problem I . the monorail great boost hotel , since make get around vegas lot easy ( although note get monorail station onto strip , need navigate casino , will still need walk ! ) .The Renaissance classy , reasonably price good alternative tacky excess strip . 
 Jun 28 2009 	 Excellent stay 	 Las Vegas Renaissance great strip hotel . stay two night happy staff room . staff friendly professional attend need immediately . room basic king room clean comfortable . decor room hotel modern side , bright contemporary . recommend visit pool , relax . hotel short walk mono rail . overall , happy stay location . 
 Jun 25 2009 	 Glad stay ! 	 boyfriend recently return 4 night stay . check - in quick give wonderful room . stay club level floor breakfast good- bagel / cereal / coffee type breakfast . refrigerator lounge mostly stock unlimited access water soda . room clean . bathroom cool shower separate bathtub fairly large . order room service one night fairly price . request small item throughout stay staff bring quickly . location great want stay strip . monorail short walk away . walk several casino hotel lobby decide glad pick Renaissance crowd . check - in casino apparently take hour . the gym ok . find hard get good spot use free weight other room . 's lot equipment small space . plenty cardio equipment . I use pool two day recommend get early . 's tiny courtyard area lobby , be surround 4 high wall get sun hour . noticed people start get good chair around 10:30 - 11am . recommend want maximize sun time get chair close bathroom . get sun . several wonderful meal town : Gordon Biersch ( brewing company restaurant ) , ah sin ( Paris ) , Border Grill ( Mandalay Bay ) . also see show , Ka ( MGM Grand ) like . rent car one day drive Mt . Charleston ( approx 45 min town , not seem far ) . 
 Jun 15 2009 	 Perfect non - smoking pet hotel Vegas . 	 stay 1 night beginning trip get hotel great deal Priceline . return Vegas end trip one night . hotel full , book directly hotel rather try get Priceline , really want non - smoking hotel . still happy room even pay standard rate . location quieter easy access hotel strip . parking easy free . car , close anywhere strip . Monorail super convenient although expensive really worth one person group . internet free unfortunately . 
 May 19 2009 	 Value Money 	 Strip suitable especially car . Location Paradise Road mean affected traffic jam strip yet able get around rather effectively strip , park either MGM Panet Hollywood . car , problem monorail right across street . classy lobby , lux room bathroom . highly recommended want stay non - casino Hotel . 
 May 18 2009 	 Walk LV Convention Center LV Monorail 	 king bed comfortable . hotel clean organize . hotel lot meeting event / conference , tourism . notice meeting room usually occupy even weekend day . the hotel short walking distance monorail convention center . take monorail Strip casino without get car . love drive park ast casino . would parking valet fee . cab expensive . love buy monorail ticket use many time want within time period . would stay . 
 May 5 2009 	 second time around - say 	 stay last year time . location great little ( half mile ) away fromtthe Strip pokie cigarette ! monrail stop almost door great ride use season ticket - conveneint scenic . the hotel ( suite ) good time bar staff , day 's drive Hoover Dam Grand Canyon Death Valley Junction place , great company hit town .. room fantastric , great view . tip - contact Robert Cole ( Director Rooms ) great deal - twice , thank Robbie . 
 Apr 26 2009 	 go off - strip save little money 	 fact hotel strip mitigate proximity Vegas monorail system . quick walk monorail terminal be way whatever group casino want . convenient right strip , somewhat cheap result . 
 Apr 23 2009 	 clean quiet beautiful ! 	 love hotel ! reason give & quot ; 4 & quot ; pool hot tub close . huge disappointment husband kiddo . - close monorail entrance ( without cross major street ) everyone kind accomodating . even give free drink bar stay . the doorman especially nice helpful . room clean , bathroom spacious , second light sink use keep bathroom light night . love quiet peaceful spending day strip . bed magnificently comfy ! ! ! 
 Apr 20 2009 	 bad strip 	 meeting not want image casino - work . easily accessible monorail station pretty convenient , although get stick Harrah 's monorail station close unexpectedly . taxi back . also , pool redone ws , doubt would used ti anyway since right next meeting room conference . ( hi bossman , sit half - naked hottub , meeting ... ) really , upgrade would mirror window surround pool . the room great - pretty big really nice bathroom . love room separate bath / shower . room service good maid service . steak send medium rare - cook perfection ! thing detract hotel duo prostitute hotel bar one night . Sure 's Vegas , non - casino hotel take away classy image hotel seem try maintain . bar staff know prostitute not seem mind much . would stay happily , come next time fun , will probably stay one casino hotel . 
 Apr 20 2009 	 quiet pleasant non smoking 	 pleasant hotel . nice lunch breakfast . eat dinner . room good size bathroom lovely . Monorail right next door well convention center . the staff friendly especially door man . quiet non smoking nice come back . pool sun except 9- maybe 11 . shady afternoon courtyard . easy cab ride anywhere . incredible dinner new restaurant 102 Rare Hard Rock Hotel ... trendy great food . Nightclub XS Encore fun go early . good people watch . 
 Apr 15 2009 	 Non Casino Hotel Winner 	 get hotel Priceline Easter weekend . mixed feeling shoot Hard Rock ! anyhow $ 59 / night great deal . overwhelming thing hotel incredible service . every single employee deal unbelievably friendly helpful . usually one two great employee make difference whole staff obviously train understand want business . woman Sandwich shop ( slip extra biscotti smile wink , recommend place eat could not decide eat ) front desk , valet , wait staff restaurant . impressive . the room great , 11th floor wonderful view strip , typical Marriott room great bed , lot room , flat screen tv . noise issue , sleep like baby . ' m real fussy bathroom room great bathroom . Loved glass shower , lot counter space stuff . another positive free gym . hotel gym pretty basic , something Jack Lalanne era fitness , average facility new equipment free WEIGHTS ! also fresh fruit really nice plus . they restaurant site call Envy even though look act like high end Vegas restaurant , pretty bland hotel food . get away hotel , get well meal . nice little sandwich shop call Ego decent prepackage salad sandwich . if not car take monorail get around , really nothing worth walk neighborhood get sketchy block two away . 
 Apr 12 2009 	 Pick one Las Vegas convention . 	 stay great last minute weekend rate . Marriott fan , Courtyard , Residence Inn Marriott within walk distance look choice . great hotel stay leisure business . convention center monorail station right adjacent hotel . family end buy one day pass monorail save we big cab ride . hotel would expect Marriott . come complete doorman , free valet service excellent staff . room comfortable feather comforter pillow . complaint hotel could bit sound proof . could constantly siren sound city outside . pool renovation stay , can not comment . 
 Mar 26 2009 	 nice non - casino hotel 	 stayed specifically want casino hotel , really like . Upscale , new - appear room . great view , get room strip view . directly strip , monorail across street , quick , clean , cheap . pay $ 28 72 hour , unlimited - use pass . restaurant good well . fitness center well equip hotel . downside can not really walk strip hotel . either need take cab ( slow expensive ) monorail ( quick cheap . ) 
 Mar 23 2009 	 good off - strip property one issue .... thin wall 	 great property , 2nd stay property , choose go back year stay even though know wall paper thin . hear neighbor conversation even hear watch tv . besides , property great gym , good cardio equipment , good free weight , mat , fresh bottled water , fresh fruit , flat screen tv 's etc . good decor , service good , coffee maker room Starbucks coffee prefer make way downstairs deli / coffee bar serve Starbucks . casino be like walk regular classy hotel vs typical Las Vegas hotel . from parking lot room , 5 - 10 minute vs. strip hotel take anywhere 15 - 20 minute . stay Tropicana , Excalibur , Bellagio , Paris , Renaissance , sure go back stay property . 
 Mar 17 2009 	 Relaxing Escape Strip 	 Quality luxurious hotel away main strip Las Vegas , staff ok , room incredible floor ceiling window overlook Wynn Hotel Golf Course , next monorail station easy get around , next Las Vegas Convention Centre , quiet , amazingly soft linen ever bed ! ! starbuck coffee etc room , lovely spacious really nice bathroom . restaurant nice breakfast , good escape relax chaos Strip ! ! helicopter strip Grand Canyon experience absolute must , fantastic trip . 
 Mar 10 2009 	 great attend trade show convention center 	 stay 3 6 March attend trade show Las Vegas Convention Center . literally 3 minute walk lobby Convention Center . great conducting business , place fun . want party , Las Vegas hotel would trick . it casino show keep tourist . smoking establishment , big plus . solid 25 minute walk Strip -- close Strip hotel Wynn . monorail station 5 minute walk , take strip $ 5 way . only couple time , hear next door neighbor , near window . could hear sound drape open close . Noise must travel thru window . wifi $ 12.95 / day . eat hotel restaurant bar . lcd tv room first generation ( old low quality ) detract room . business , would stay . fun , would stay price really low . smoke great . clothe stink smoke . 
 Feb 22 2009 	 good business hotel 	 overall nice hotel . top like lot property strip lot nice average hotel . use Marriott point happy get platinum upgrade concierge floor . lounge concierge nice . breakfast available Monday Friday . staff say use available 7 day week recently cut back . breakfast nice compare free hotel breakfast . evening reception ( Sunday Friday ) snack soda free alcohol . room nice . bed comfortable nice sheet . bathroom bathtub separate glass enclose shower . room clean comfortable . big problem hotel wall room little sound insulation . fair , problem many Marriotts many hotel brand . voice , television alarm could easily hear next door . alarm next door go 5:30 snooze alarm another half hour . loud enough easily wake time . debatable strip within walking distance . afraid little walk would possible walk north end central strip . really hot , cold late night walk probably would not good idea . monorail station short walk across parking lot . compare city subway expensive . ( $ 5 one way $ 13 per 24 hour ) 24 hour pass good 24 hour time purchase . monorail though quickly get strip . one suppose come every 7 minute . pool ideal Renaissance hotel appear business hotel . pool get little sunlight . also pool area visible main lobby much privacy . want stay strip close convention center good place stay . lot directly within walk distance hotel short monorail ride get everything quickly . 
 Feb 16 2009 	 lot cost cutting compare past 	 stay property numerous time , amenity process cut last 18 month so . there long bottle water cooler fitness center . the food concierge suite get less less time . there long selection . food open period day day out . the business center terribly price . $ 2.50 print page previously work computer ( free ) disabled print boarding pass SOLO ! also charge computer usage ( time charge minute . there get idea . hotel rather isolate use wonderful property ; however , suspect last time stay , well accommodation price without numerous quality cutting take place . 
 Feb 12 2009 	 Good 	 Stayed Renaissance Feb 5th 9th 2009 . use Marriott reward point get upgrade concierge floor . first great place stay strip want little away madness , far . literally 4 - 5 min walk monorail . use time . buy three day pass use quite bit throughout day night . Monorail stay open till like 2 am 3 am . hotel really walk strip , far may less desirable walk sidewalk night . however monorail take anywhere close anywhere strip quickly safely anytime day night . hotel literally right across street monorail right next convention center . room nice modern . bathroom new clean bed comfortable . walk concierge desk hook free / discount pass club bar . gym pretty good , decent amount machine lot free towel , fruit , fruit drink water . downside hotel able access internet free . other would def stay hotel . keep mind cab rush try get show restaurant . leave enough time get almost anywhere strip use monorail . 
 Feb 9 2009 	 nice stay ! ! 	 nice , clean room . staff friendly . nothing complain . definitely stay . 
 Feb 8 2009 	 Fantastic ! 	 hotel fabulous ! everyone nice place immaculate . 's locate right next convention center monorail ... great want head strip . would definitely stay ! 
 Jan 24 2009 	 Nice stay away Strip 	 stay January 2009 3 night . overall nice stay would choose location price right not Strip . PROS : - hotel fairly new modern . upgrade club level room may larger regular room . clean good housekeeping service day.- Staff helpful . ask monorail transportation option , seem knowledgeable give valid information.- location - convenient Las Vegas convention center . 5 minute walk monorail.- Dining restaurant , Envy , nice . food tasty like atmosphere . - free internet service club level room . con : - Location , convenient Convention center Monorail , Strip . not feel stay Strip . really walkable , either . - club lounge closed weekend . use open weekend . maybe something tough economic time . still , disappoint choose cut service good customer . 
 Jan 11 2009 	 Disappointing 	 Modern , clean , comfortable hotel friendly , helpful staff . however disappoint two aspect stay . firstly bedroom wall appear thin constantly disturb noise adjoining room . ask move quieter room , whilst facilitated without question , allocate room noisy first . feel lot think plan go allocation . also disappoint evening meal Envy Steakhouse menu , food atmosphere reflect top end price . would return 
 Jan 6 2009 	 tranquil escape ! 	 find Renaissance welcome break madness Strip . want dip Vegas scene avoid walk past depressing sight people sit slot machine day , stay . monorail outside zooms action pretty fast - plus free bus Wynn every half hour . 
 Dec 15 2008 	 great experience ! 	 stay 1 night December end long weekend Vegas . have stay timeshare night , choose Renaissance final night . not since 2005 , must say , property continue get vote ! Front DeskStaff wonderful . request early check accomadate , recognize immediately Marriott status . service quick efficient . roomswe regular double room 4th floor face strip ( back Wynn ) . little worried -- - 4th floor put we right level monorail , not hear ! room clean bed really comfortable . really appreciate mini - fridge -- never get enough bottled water Vegas nice place chill ! Conciege LoungeWas close rennovation , hotel provide voucher could use cafe , restaurant bar . much appreciate ! RestaurantsHad dinner bar -- - 'd enough strip long weekend . burger one good ' ve ever . number topping add customize burger charge -- - 's nice option without add $ $ $ . DEFINITELY worth upgrade truffle fry ! enjoy dinner much Vegas ! Access Vegasin less 5 minute , monorail head strip -- - part , look monorail stop compare hotel , Rennaisance close close hotel monorail . would make choice time go Vegas ! 
 Dec 14 2008 	 nice place stay 	 nice Hotel - def . worth $ 110.00 night pay thru AAA . bed comfy , relaxed atmosphere , great staff . hotel restaurant excellent lunch , room service superb . stay . 
 Nov 12 2008 	 Excellent Business Alternative 	 stay twice hotel excellent , particularly business traveler . since hotel casino , be easy get . staff friendly accommodating . banquet / catering staff among well use hundred meeting . meet room guestroom great . island sanity near strip . 
