Great 	 hotel location great . stay many hotel City must say one one good . location great even middle Time Square normally like view awesome . restaurant bar 8th floor convenient we eat relax enjoy light . room good size , clean comfortable . would definitely stay ! 
 beautiful 	 good hotel ' ve stay . astonishing view , magnificent decor ... truly amazing ! 
 wonderful hotel wondeful location 	 stay husband two teenage child hotel two night . room clean , service excellent , location could well . really enjoy heart Time Square . 
 Oct 18 2009 	 Best Choice Times Square stay ! 	 hotel everything anyone could possibly need weekend month stay ! location outstanding- right smack middle Times Square walk distance theatre . never dull moment , always something . hotel staff professional , courteous , & amp ; helpful , time know keep distance smother we much info help . room luxurious bed fabulous , great comfortable place unwind busy day city . stay next trip already refer other . 
 Oct 17 2009 	 bad service empathy 	 stay MM Times Square past , okay . hard get cab time due congestion . year terrible service , wrong room arrive late , move noisy room , third move decent room , paper , much empathy assistance issue , top , double billing company credit card several day stay . fix , first call , call back see . back . expensive worthy investment . 
 Oct 17 2009 	 awful ! ! ! 	 far bad customer service , price pay ... expect much nice front desk . accomodating ! willnever stay ... will stay Hilton . 
 Oct 16 2009 	 Great Honeymoon Memorry ! 	 go NYC last summer honeymoon trip . stay Marriott hotel Time Square wall around get train station easily . love & quot ; View & quot ; restaurant hotel , not remember floor number restaurant go come NYC . spin around start 7:00p.m 10p.m . drink fantastic long great , special buffet bar . 
 Oct 14 2009 	 great location 	 great location want Times Square Theater District . room roomy comfortable . hotel huge , concierge helpful . also onsite Starbucks American Express travel office helpful . price not great , expect . 
 Oct 14 2009 	 bad customer service experince ever 	 hotel great location . stop . five night tell would recive time square view room book four month ago . check desk rude even New York standard . obvious give room away arrive late lot discussion among staff we . bad misinformed nothing reply shift leader . check tomorrow reply get stay . large monolith hotel . cavernous atrium bed room corridor open surround 45 floor grill corridor give prison like feel . felt like inmate guest . " concierge floor " . check rudely tell want upgrade would cost $ 65 although tell reservation make . could get upgrade & quot ; full check line see get room & quot ; . check back tomorrow move . follow morning elite member desk guy even ruder , possible , night dismissive reaction . well full tonight . although last night room next night get well check line ' anything . check tomorrow . mention would like unpack live suite case reply & quot ; & quot ; . ask speak manager three time three separate occasion one contact we entire stay . sound proof terrible could guest next door every time use bathroom . ask newspaper delivery , suppose comp never get one entire stay . room bathrobe entire stay although room . Recived turn service two five day . decide take advantage breakfast set elite Marriott member . good mediocre . egg dry banana overripe . toaster handle break . lady front try toast mini bagel could retrieve bagel without use fork fish bagel toaster . give miss two day go . third day go back find huge line guest waiting buffet food . comment guest wait fifteen minute walk . concierge floor reserve frequent guest pay full rate . hate see happen low floor . check greet desk staff say greet . ask stay partner say & quot ; well & quot ; far get come back balance .... interest know stay . stunned cut say nice day . . bell desk unfriendly go store bag great push make tip . travel around world may 30 + trip New York ten year stay various property Plaza , Sheraton , Hilton Novotel . bad front desk experience ever anywhere . staff come contact pleasant security information desk entrance elevator street . stay many Marriotts year sprit Marriott definitely miss hotel . look comment card could find one anywhere . Marriott make absolutely attempt service recovery . price $ 400 + go W hotel right next door 
 Oct 11 2009 	 's detail - love elevator system 	 Marquis heart theater district . travel alone perfect spot . go several Broadway show . could walk back crowd never feel anxious single woman . room comfortable . staff always polite - especially & quot ; maid & quot ; service . greet smile hello matter time day night came go room . detail love elevator system . 's panel select floor assign elevator . wonderful . push shove jockeying position . seem small loved . hate try play & quot ; elevator next game & quot ; rude people cut . 
 oct 9 2009 	 great location comfortable bed weak customer service noisy neighbor 	 party include two mom 8 year old daughter girl ' trip NYC . room definitely small side , great view Times Square . aside , make reservation , tell eligible complimentary upgrade case check ( $ 50 fee per night view ) . also tell Marriott would something nice birthday girl case . unfortunately , end next loud let say frisky party next door wake we several time night 5 6 every morning mean could fall back asleep . daughter ask one occasion neighbor & quot ; screaming & quot ; middle night . report issue front desk , attendant interest help we resolve problem contact neighbor request please quiet . instead , would call security throughout night . wonderful trip love location , less enthused customer service aspect . price internet access ( wire ) also exhorbitant opinion ( nearly $ 20 day taxis ) . hate feel like nickle dim already pay high nightly rate . 
 oct 9 2009 	 FABULOUS ! 	 seriously lovely hotel , come part honeymoon . upgrade room one top floor give bottle champagne box chocolate celebrate wedding . room huge , bed amaze comfortable bed ever stay . location - well can not get well location , right heart time square . even write hotel excite . bar restaurant excellent . fault hotel would recommed anyone anyone stay ! fabulous fabulous fabulous ! 
 Oct 8 2009 	 Manhattan NYC 	 stay Marriott Marquis NYC Times Square August 5 - 12 , 2009 . wonderful time . hotel wonderful , clean & amp ; comfortable . right heart Times Square awesome ! make time Ground Zero & amp ; Broadway show . see Wicked & amp ; breathtaking . trip well worth repeat . 
 Oct 8 2009 	 Big Apple 	 Marriott great hotel great city . value come central location Times Square / Midtown - theatre / restaurant / shopping . everyone friendly hotel restaurant ( view ) amazing ! enjoy stay would always recommend folk . 
 oct 8 2009 	 Great Stay 	 really enjoy stay Marquis . room great bed comfortable . location right Times Square amazing ! 
 Oct 8 2009 	 Perfect location ! 	 would not stay anywhere else Manhattan ... perfectly locate . I travel mother ( 76 ) niece ( 21 ) . four night . my mother stay Marriott many time feel safe there . my niece never NY , perfect location sightseeing . it also centrally locate shopping evening show / play - see three . pricey depend 's go city , 's line other . I always recomme hotel ' m ask . 
 Oct 6 2009 	 girl weekend City 	 Marriott always safe bet , book three week trip still room available . way problem find get mapqu do not take account piece broadway can not drive , use hotel 's direction city . room give - said & quot ; partial view & quot ; nervous look right time square side building that s ever expect . get standard double double four we spacious , area sit . request mini fridge room almost make , do not charge . I ve hear alot complaint elevator think system fast . got room service one night , little expensive burger stale grill cheese two exhaust day shopping , hassle free filling . parking cost we $ 55 per night plus tip valet pick drop , expensive . consider parking somewhere drive I m glad do not three day sore foot want leave . check day , will keep bag free , except baggage valet tip , return 10:45 pick . finish sightseeing return time specify , turn car slip baggage slip ... come time , car valet guy say suppose charge another $ 55 go 24 hour going let slide . tip . overall great experience would return . 
 oct 4 2009 	 Weekend Away 	 Hotel great . service front deck great . ask check 10 a.m. allow . ask high floor give great room Times Square view . go view lounge cocktail spin around pass W hotel say people know see window . see thing would rather see lol . service location hotel fantastic ! ! ! ! ! ! ! ! ! 
 Oct 4 2009 	 great location poor check - in 	 book 2 room Marriott Marquis stay 2 night . Marriott associate , expect usual world famous Marriott friendly helpful associate , however , check - in experience far friendly . front desk agent ignore stand front counter several minute go business computer , several minute look assist . smile whole time check - in process , friendliest associate ' ve encounter stay . our room spacious great view Times Square ( pay ) , however room book locate next room tiny peek Times Square ( not call Times Square view charge we see little bit farth end window ) . bed sheet tattere , 's time replace . still hear constant noise Times Square eventhough hotel advertise guest able sleep soundly . Bellman deliver suitcase corteous , however , bellman pick luggage storage take sweet time write storage note wait we give tip . concierge helpful throughout stay , special thank doorman first floor show we direction , Janet help we find restaurant , Nelson save we last minute van booking airport . we incident airport . notice driver ( Caceres , Rodolfo ) swaying little start drive really slow . reach JFK take luggage , driver drop flat ground . do not know drunk heart attack . get foot walk driver 's side , be see flat ground . call airport security immediately help . dangerous want let hotel know incident make sure driver fine find wrong , could ' ve accident ! 
 oct 2 2009 	 great location often unfriendly service 	 stay Marriott Marquis 4 night . good thing hotel location tourist NYC touristy thing . however choose hotel seek peace quiet 's right Times Square . big convention ongoing stay teenager run across hall past midnight . despite 22 high - speed elevator , often queue . first times high - speed elevator , also feel like be go sick , get use second day so . the good thing room spacious , great view Times Square 22nd floor . be also nice widescreen tv bed pillow super comfortable . however , housekeeping attentive . leave old Room Service menu card previous guest fill , last evening packing checking make sure not leave anything , 3 piece old chew - up gum bed ! , even leave tip everyday housekeeper . bathroom standard , like shower good water pressure complimentary toiletry Bath Body work replenish everyday . we business meeting room set nicely , complimentary glass - bottle water Norway mint tin person . food pretty good particularly remarkable . breakfast Palace Ritz - Carlton day truly spectacular , hotel also three time expensive suppose get pay for . some good point hotel 's two Starbucks outlet , full cafe ground floor kiosk 8th floor lobby level , be sizeable gym plenty treadmill - although since schedule full leisure time spend shop , not actually get use it . the bad thing hotel service . check - in unfriendly without smile . one bellhop particular seem angry ask take luggage store , ask back group not go yet . one bellhop , woman , would not leave unless start dig pocket tip . also dinner view , revolve restaurant 48th floor . good thing novelty revolving restaurant NYC . otherwise , rip seat , food good great , get haughty service male receptionist . still , overall bad hotel would recommend , try go few people - maybe staff would not seem overwork handle hundred guest whole day . 
 Oct 1 2009 	 Awesome location - great hotel 	 ' ve NYC many time stay Marquis recently take brother first trip US . normally would stay downtown SoHo tribeca les.however , hotel great be visit NYC first time need base visit sight . right heart Times Square , really know feel be New York neon light , cab mass people . ( city person amount people not phase - may everyone 's taste esp kid and/or pushchairs . ) 's 3 block subway station take uptown downtown easy get major landmark museum also walk distance 5th Avenue shopping ( be healthy walk Macys ) .The hotel massive - host conference expect see suit well tourist . you can not go wrong Marriott elevator alone worth stay place . staff standard service great especially consider many people stay . double great size ( make sure ask Times Square view - Hudson side ok Sq one & quot ; wow & quot ; ) .It also funky modern 24 hour gym enough equipment suit even hard gym bunny . wait run machine . room service charge line anywhere else - ie not . get hit numerous eatery Manhatten ( bar ) will definitely stay take someone first trip NYC . 
 Sep 25 2009 	 right heart action 	 hotel brilliantly situate right Times Square , within easy walk distance Empire State Building , Rockefella Center , Central Park , Macys subway whole New York ! room huge staff helpful friendly . glass lift amazing ! breakfast hotel expensive room service load place eat round . husband wheelchair hotel easy access . 
 Sep 24 2009 	 apology - 's good ! ! 	 ' ve read review - favourable ; , we , second time two year , be good . love Marriott Marquis , mainly feel sheer space . hotel boast area like eighth floor - reception , restaurant , bar , shop , concierge , theatre booking desk , American Express , desk Starbucks stil plenty space walk round . room spacious staff helpful friendly . situation could well - right midst Times Square . travel world , stay hostel five star hotel Marriott Marquis remain favourite . 
 Sep 23 2009 	 Times Square Location 	 stay Hotel 2 night September . location hotel good feature , Times Square doorstep subway system part NYC 5 min walk . hotel ideal leisure visitor New York visit NYC perfect hotel explore city from . the hotel elevator cool wait couple minute busy time . hotel also starbuck , gift shop Theatre ticket office ( theatre ticket discount booth across road hotel Times Square ) .I would recommend spending bit money hotel due great location - especially 1st visitor leisure visitor limit time NYC.Hotel room spacious clean large enough 2/3 adult - stay one room 3 adult fine space would issue long 2 night . 
 Sep 22 2009 	 Marvellous Marriott Marquis 	 Excellent hotel situate Times Square . amazing view overlook Square Broadway . room spacious , significantly large NY hotel ' ve stay Thirty Thirty Hudson . experience problem whatsoever elevator unlike reviewer . everything would want walk distance hail cab . would definately stay currently first choice compare NY hotel 
 Sep 22 2009 	 Best New Year ever ... ! ! ! 	 go New York NYE 2008/2009 also celebrate 21st Birthday always want spend big apple .. month year plan book go day start brilliant Birthday get free upgrade plane .. hit traffic way hotel airport hit traffic due road shut new year celebration . 5 night 6 day good trip EVER arrival hotel greate serve straight away get room bag take room ... wow interior amazing HUGE ! ! ! room spacious huge window look although view good . never problem ever staff noise perfect location right ontop times square ... would recommend hotel highley come back save special occasion expensive specail treat .. ! ! ! 
 Sep 19 2009 	 go High Floor 	 ' ve stay likely stay business . nice central location right middle Times Square . Marriott Marquis seem like huge hotel , staff accommodate , pleasant , competent . first arrive , desk clerk upgrade large corner room 39th floor excellent view Hudson River Intrepid . unfortunately , fair amount traffic next door ( fault hotel 's ) want good night 's sleep , ask switch different room . hotel accommodate ... not anything comparable high floor , move much quieter room 34th floor - much quieter even though look directly onto Times Square . probably good stick high floor central city location light sleeper . nice big flat screen tv room , well sofas armchair . I not care room service dinner ( nachos cuban sandwich ) . food hot enough service fine ; not like food much . go next time save money . 
 Sep 17 2009 	 right middle everything 	 daughter travel New York London first time two week ago . choose Marriott stay UK know good standard .. disappointed . room 19th floor clean spacious , two double bed , excellent shower bathroom , wide screen . tv . thing would say room bathroom could done new coat paint place . tea drinker , would nice kettle room , coffee maker . ( perhaps could got one ask though . ) fridge would also nice . minor issue . we offer upgrade $ 50 night Times Square view , decline . we eat breakfast twice Atrium restaurant hotel pretty expensive , although food good . day eat across road junior also good much cheap . on last night eat revolving restaurant 47th floor , great experience . ! two Starbucks hotel make use , also ticket agency andanother office book trip . business centre open 24hour could use internet there . I say , come UK , level customer service recieve USA exemplary . People serve shop . restaurant hotel always friendly , polite , helpful , make feel important , something many customer service operative England could learn , well do America ! ! think NY wonderful hope go back next year Xmas shopping . definitely consider return Marriott would thoroughly recommend . 
 Sep 15 2009 	 Marriott Marquis fantabulous hotel ! ! ! 	 3rd time stay Marquis ! ! ! hotel nice , centrally locate heart Times Square 2 kid age 10 & amp ; 13 really enjoy especially elevator . check 4 hour early able check early w/ upgrade 39th floor Times Square view free . room average size work family four . big window w/ view Times Square , ball partial view Hudson River . Slept well rarely ever hear neighbor craziness Times Square ! ! stay 3 night find hotel convenient everything subway , taxi walking distance . drive park car acrosse street $ 35 / day Icon rather $ 65 / day Marriott ! ! also use fitness center nice w/ great view 22nd floor ! ! hotel staff friendly enough . go Starbucks hotel View Restaurants drink one night sunset & amp ; another night dessert buffet $ 17.95 . recommend stay never w/ family child . Times Square fabulous soooo busy & amp ; touristy would love stay Upper Eastside Soho / Greenwich Village next time ! ! ! overall give Marriott Marquis 2 thumb ! ! 
 Sep 13 2009 	 Excellent location ; beutiful NYC hotel 	 hotel right Times Square . everything need minute away ( walk ) room spacious , clean well equip . room large enough family ( 2 adult 2 child ) business hotel room well equip include free safe . view room stunning 42nd floor view Times Square . important : room quiet . thing sometimes coukd vacuum toilet guestroom . sound could not heared . you skip breakfast buffet . be quiet expensive nothing special . be bad though would advise toe go restaurant nearby . plenty . hotel also excellent thatre visit heart theatre district one theatre itself . enjoy stay ! 
 Sep 8 2009 	 view 	 Labor Day weekend celebrate 20th anniversary . tell employee check we , upgrade Times Square view ( use reward point stay , additional charge - normally would extra $ 50 per night ) . room nice , large , sit area couch , chair , ottoman . flat screen tv visible sit area bed ( bathroom ) . bathroom little crowded two people . bed also comfortable . not eat restaurant property , eat Junior 's ( across street ) twice . take back , starbuck one morning , ' m sure would count hotel restaurant . elevator unique punch keypad floor number room , elevator assign . get inside elevator , button push , stop floor . hotel convenient everything , subway stop nearby sight outside walk distance . 
 Sep 1 2009 	 top - level Marriott location 	 Marriott Marquis consider ( Marriott ) top - level hotel . . large , locate right Times Square , crowded , fill conventioneer , ordinary forgettable . nothing horrible happen , be Marriott knock property couple level . definitely compete luxurious ocean resort . guess , say real estate , hotel location , location , location . 
 Aug 31 2009 	 like hotel 	 say ? excellent hotel right centre New York action . arrive transatlantic cruise check 42nd floor directly eye - level New Years Ball Times Square . stay 2 night use HoHo bus see Manhattan . can not believe anyone would complain elevator system hotel . believe phenomenal piece engineering ideal building size . would definitely stay hotel next time New York City . 
 Aug 31 2009 	 Excellent Hotel location location location . ( Time square ) 	 first trip New York City spouse 19 year old daughter . hotel right Times Square close attraction City . upon check treat like royalty professional . room high ( 43rd floor ) look Time Square Broadway . awesome view . room comfortable clean . refrigerator delievere upon request . find STAFF professional attentive need request . downfall business convention type hotel host event atrium seat area interior resturant busy conventioneer business people . 
 Aug 31 2009 	 Great Spot Manhatten 	 love location hotel - stay 1 room 2 queen 2yo 4yo . big toy r we ever see across road . great access broadway musical .. love NYC ... can not wait get back .. 
 Aug 29 2009 	 Great Location ! Great Hotel ! 	 teenage daughter spend night Marriott Marquis mother / daughter weekend . impress cleanliness hotel wonderful , helpful cordial staff . room clean large . partial view Time Square . amazed much happen outside , room relatively quiet . see West Side story conveniently locate across street . location hotel incredible . downside restaurant close 9:00 pm , early Friday night . however , always junior right across street great burger dessert ! definetely stay . 
 Aug 25 2009 	 Location 	 thing hotel go great location - 1/2 block Times Square theatre building . ( 9 5 playing . got tix TKTS booth enjoy great show . ) staff ok , room small grossly overprice , hey , be Manhattan , stay place cheap use cash save see couple Broadway show . 
