surprised 	 really surprise many great review muse , fact really great ! bellboy great , always help we . say snobbish Front Desk house keeping . stay 5 night , one day give towel , one day miss floor mat . find use towel duvet change bed sheet throughout stay . sorry say house keep standard ! please scruntinise bill check , find mini bar item charge bill daily basis consume anything mini bar . acceptable reputable hotel chain ! location hotel great ! one minute away times square , 10 minute away theater walk distance fifth avenue . hotel across road , may cheaper well ! say money pay , well hotel around . 
 comfy bed world 	 partner stay muse hotel late November 09 . keen stay hotel read great review site . hotel lovely , trendy , modern clean fantastic location ! 30 second times square . hotel lobby beautiful , bar always good relax drink two three . the hotel bellboy always friendly eager help question . reception staff hand quite rude time almost snobbish . not let ruin trip though aspect hotel make stay success . bed room unbelievably comfortable , room spotless , good size modern bathroom maid give we fresh towel bed linen everyday . place one room next building site cause disruption evening , pay fair price hotel not mind . overall good stay . 
 Oct 11 2009 	 oooh la la 	 stay one night wish stay ! lobby bar preview modern wonderful room . staff pleasant accommodate . room gorgeous everything could want ( love Ipod dock forget charger ! ) . bathroom spectacular stock AVEDA product . could not love hotel would provide fashion tape hair straightener ! first Kimpton stay surely last ! 
 Oct 10 2009 	 New York Gem ! 	 first , Kimpton hotel ROCK ! think ever bad stay Kimpton particular Kimpton wonderful . really enjoy 40 Park location . first , staff extremely present friendly ( everyone ) , usually stretch hotel . night use one free room accumulate & quot ; Touch Program & quot ; . room spacious New York standard amenity one would want . bed great , free wine hour great , free morning coffee newspaper great far good thing hotel staff . front desk people super friendly bellman 10 star plus ... wish remember name . location can not beat . close everything include Rockefeller Center , Central Park , Times square , Grand Central , 5th Ave . , lot . hotel pet friendly free wi fi ... always add nice touch ! eat good vegetarian restaurant NY ..... & quot ; CANDLE 79 & quot ; . check healthy scrumptious meal . also revisit one favorite brunch spot , & quot ; NORMA 'S & quot ; Le Parker Meridien 119 West 56th . must brunch . serve alcohol brunch go fabulous lobby bar want alcohol drink . go one favorite bar .... & quot ; Morell 's & quot ; next Dean Deluca Rockefeller Center . minor complaint hotel gym , small tad dirty side arrive . back hotel sure ! get ready go new Kimpton Miami next month can not wait ! 
 oct 8 2009 	 highly recommend 	 stay hotel NY Muse far good one ! love decor service great too . very clean central Time Square , subway shopping . my family stay also Australia like alot complaint room face street hear garbage truck street pretty early morning . 
 oct 8 2009 	 Fantastic 	 75 year old mother spend wonderful three night Muse . & quot ; trendy & quot ; hotel , fashionable clientel lobby adjoining restaurant . location Broadway perfect theater , museum , window shopping . hotel beautiful . room large bed comfortable . would recommend request upper floor , 4th floor room still well within range street noise night . everyone work hotel could nicer . welcome , friendly , helpful . definately hope stay . 
 oct 8 2009 	 great Intimate Hotel Heart Times Square 	 stay Muse Hotel 4 day combine work personal trip . say enough good thing Muse . staff friendly professional , food delicious fairly price , room beautiful quite large NYC course must mention famous Kimpton happy hour 5 - 6 every day ! downside cost , dictate time attend ( several large conference town well opening session United Nations visit President Obama . ) would highly recommend stay Muse Hotel go - to hotel NYC . 
 Oct 5 2009 	 good vacation ever mainly Muse Hotel 	 spend almost week NYC Muse Hotel , service accommodation outstanding . service top bottom well ever encounter anywhere . everyone friendly helpful . Dio Jackson make trip easy receive bag FedEx make sure room arrive . leave , personally make sure seal properly return home well . sign upgrade suite possible , arrive identify , concierge say , & quot ; ever special place you . & quot ; understatement . suite 16th floor overlook midtown Manhattan . gorgeous . furniture comfortable , big screen tv living room bedroom . room service couple time morning , meal good . wine reception 5:00 day real treat . meet couple Australia Scotland . end dinner wonderful french restaurant Aussies one night . location Muse 46th could not well . centrally locate heart Manhattan , could easily walk restaurant , Broadway play , Rockefeller Center anywhere else might want go downtown . from begin end , everyone Muse interested serve guest . encounter one problem facility people . already look forward next trip NYC , definitely include Muse Hotel . 
 Oct 4 2009 	 love 	 great Stay ! location great one block time square . bed extremely comfortable . staff friendly helpful . would stay ! ! 
 Sep 29 2009 	 Great Location ! ! ! would recommend hotel everyone . 	 location great . New York celebrate friend birthday . half block Times Square two block 5th Ave . Bubba Gump favorite resturant , walk distance hotel . normally 20 min wait -- be worth ( try hushpuppy ) . thing negative say muse : bed skirt around bed filthy someone 's sock find underneath bed . make second guess clean bed -- everything work fine . wine hour also highlight . would advise Muse Hotel wash everything , include bed skirt comes take care customer . already make plan go early next year . 
 Sep 21 2009 	 amusing sophisticated 	 much research settle Muse Hotel stay NYC . want somewhere special travel NYC birthday . impressed Muse accomadation . incredibly roomy room ( positively spacious NYC standard ! ) bathroom also plenty space two girl load beauty product . bed comfortable linen crisp . consider 's close proximity Times Square relatively quiet . the complimentary cheese wine reception great idea make back hotel 5 6 pm ( manage ! ) complaint sometimes staff unhelpful rude . not always case put slight dampner otherwise excellent stay . 
 Sep 21 2009 	 Brilliant Hotel great location 	 boyfriend spend 3 night begin August 's nice New York hotel ' ve stay far ( ' ve stay Fitzpatricks Helmsley ) . location fantastic central Times Square 5th Ave . right middle hustle bustle buzz around area great . hotel clean staff friendly . would not advise book broadway show reception desk however expensive , instead get cheap Lion King ticket theatre morning show . bed hotel divine - comfortable ! hope go back next summer . 
 Sep 19 2009 	 comfortable bed 	 smart hotel fantastic comfortable bed ever . pillow also perfect , extremely fussy pillow , high recommendation . travel friend comment room . room look onto street ( gorgeous view church ) near Times Square room noisy ( even double glaze window ) . aveda product bathroom . breakfast hotel also excellent . load fresh fruit , egg cook perfectly . 
 Sep 14 2009 	 enjoyable stay great staff room blemish 	 arrival : 8/12/09departure : 8/16/09room # 1207 ( King Deluxe ) rate : US $ 209.00 / nightpurpose trip : pleasure # prior visit property : 1positive : renovation lobby since last visit nice create welcome environment meeting friend attach bar / restaurant . complimentary evening wine hour also nice treat . request room high floor away elevator honor experienced peace quiet stay . room bite small previous stay -- executive king spacious offer room relax . general , property quite clean ( please note issue ) room unpleasant odor . main positive stay staff -- specifically concierge ( believe name Lauren ) . make advance dinner reservation trip want desperately eat Becco see show . try get reservation , luck . brief chat Lauren , phone back within minute let we know able get we exact reservation want ! impressed . kudo ! staff member equally pleasant helpful stay . negative : complaint cosmetic one -- hope not presage dropping standard less attention maintenance . : 1 ) towel stain , 2 ) shower curtain also stain ( see photo ) , 3 ) 3 - 5 marble tile bathroom floor loose move walk , 4 ) vent HVAC unit ( bit noisy ) dusty need clean ( see photo ) , 5 ) grout behind sink faucet around tub cracking / need cleaning ( see photo ) finally 6 ) member Kimpton InTouch loyalty program warn welcome amenity suppose theme hotel / location $ 10 credit towards anything minibar . ( previous visit , nice fruit / cheese plate bottle wine welcome we . ) new welcome amenity rather generic also put onus guest ask hotel staff remove charge account use . 's much welcome amenity work , since go way ask credit account . hope return welcome amenity less generic guest - friendly . 
 Sep 7 2009 	 Room moldy 	 room smell like mold .... could see mold tub ... check saturday agent fail tell follow day would festival would shut street include one front hotel make impossible get taxi anywhere . the deorative pillow bed filthy put floor . would never stay even half price . 
 Sep 7 2009 	 excellent location comfortable hotel 	 stay 3 night . clean hotel , staff courteous . small lobby luxurious , great atmosphere . hallway clean room . stay 12th floor help honk street . flat screen tv full satellite , extremely comfortable duvet pillow . cordless phone , ipod docking station , spacious bathroom . free internet . complaint would Air conditioning unit . two double bed one right beside A / C . would run throughout night , make quite bit noise shoot cold air close bed . would not stop come back ! location AMAZING . Minutes Times Square 5th Ave . 
 Sep 4 2009 	 lovely ! 	 great location , pleasant staff , sweet mascot ! sure join Kimpton frequent traveler program free internet ' raid mini - bar ' coupon check - in . room comfy , wine social nice ( one evening make back 5 6 ) . everyone - front desk housekeeping - friendly helpful . close Times Square bad crowd . can not wait go back ! ! 
 Sep 4 2009 	 Perfect Location free wine- excellent ! 	 Muse Hotel locate Times Square - literally 2 minute walk away quieter street area call Little Brazil . reception Muse interestingly design , modern & amp ; bar amazing wine rack ! evening bar not well lit- suppose create ambience ! ! evening wine reception 5 - 6pm drink red & amp ; white wine free , good wine bar expensive ! room spacious ( Manhattan ! ) nice bathroom , comfy bed & amp ; individual Muse ! not coffee make facility room complimentary tea & amp ; coffee available reception morning . 
 Sep 3 2009 	 expect nice hotel room ; get GREAT HOTEL EXPERIENCE ! 	 check Muse around 1pm Friday afternoon . purpose trip move daughter college dorm , lot luggage we . worried early check would big hassle baggage . cab pull door , warmly greet door man bag take care bell staff . hassle . go lunch return get another pleasant surpise : upgrade suite . friend arrive little upgrade balcony suite . book many hotel room base website picture . sometimes disappointed . time . room exactly picture website ! beautifully decorate , clean fresh , fabulous view city . that evening , decide dinner restaurant NIOS , locate right hotel lobby . make reservation 6 people open Table , end add seventh person reservation last minute . restaurant staff handle change without complaint fuss . order Prix Fixe menu , plenty variety include appetizer , entree , dessert . every course wonderful . complaint , even serious foodie group . even wine ( several bottle ) final bill reasonable ( around $ 500 7 adult ) .when go hotel , sure check lobby bathroom ! 
 Sep 2 2009 	 fantastic hotel location ! 	 stay hotel large family brother 30th birthday . fantastic . location unbelievable . room luxurious . staff fantastic - nothing problem . wine taste hour great . highly recommend ! 
 Sep 2 2009 	 bring CREDIT card 	 bring Credit card ! book Octopus Travel tell term condition rude phone tell common sense ! first experience stay hotel New York first day traumatic one . hotel pay front Octopus travel read term condition never stay New york hotel know need credit card , not , would got one good time know since be not last minute trip . anyway cut long story short , treat really rudely get hotel initially refuse let we stay- spend 3 hour try sort evening sister 18th birthday , totally ruin whole day . send low star substandard hotel night pay cash end go bed upset ! ! ! ! ! ! ! ! furious . staff deal we front desk day incredibly rude customer service skill , personal call arrive make we wait . octopus help leave we high dry deal , phone even put shout night emergency staff- penny think name . tell lie Octopus staff get we leave next day speak staff clarify arrangement tell day team night staff never say ! ! ! ! ! ! next day , set bad , another team staff hotel try help well could . understand not hotel fault initially allowance obvious miss information agent part . anywhooo lovely lady able come compromise front house staff second day great rest stay fabulous ! hotel apologize ruin sister Bday give little card cake . bell boy wonderful throughout friendly . rest stay sorted mishap pleasure would recommend hotel , not use dodgy agent ( Octopus ) ! ! ! ! explain policy properly , coz hotel not budge credit card ! way problem select scoring score would 4 stars- service first day leave sour taste mouth ! ! ! PS spa room service gym little tiny 
 Aug 31 2009 	 Groovy 	 husband spend anniversary / birthday weekend away wonderful time ! excellent location ( though tired Times Square crowd one night ) , outstanding service . nightly wine / sangria reception welcome respite hot day . room spacious remarkably quiet ( 11th floor ) . bed invite cozy , bathroom downright huge . yet another Kimpton hotel disappoint . 
 Aug 30 2009 	 mixed 	 mixed bag emotion write review . will start positive . make reservation ask celebrate special occasion stay tell wife 's 34th birthday . early evening , knock door bring nice plate 2 cupcake bottled water along nice card courtesy Kimpton Muse . nice thoughtful gesture . room nice pretty large bathroom , especially NYC . host wine reception nice . wii big screen tv guest use well . pretty cool . , disturb thing . first , check even acknowledge Kimpton Touch member offer ammenity / welcome kit , etc . go upstairs drop bag room , go downstairs another employee behind desk inquire look confused say not offer Raid Mini - bar card give Kimpton Touch Members ? say . ask . second , maybe disturbing , open honor bar , 1/2 drunken bottle juice . also notice bag peanut & amp ; be miss . concerned charge item , little gross . overall , would probably stay , feel check - in impersonal obviously incomplete . 
 Aug 29 2009 	 Quiet Refuge Heart Times Square 	 pro : everything . location perfect theatre , subway , anywhere might want go city within walking distance , short cab ride subway ride away . even though chaotic center Times Square 1/2 block away , feel secluded hotel . quiet peaceful . bed beyond comfortable high - end linen . room spacious bathroom well equip . entire hotel run efficiently , helpful friendly staff . , exactly one expect Kimpton hotel . hotel group consistently meet exceed expectation Muse exception . wine reception every evening bartender ( ) friendly go way make cocktail way like . long day sightseeing , welcome add benefit stay Muse . con : breakfast pricey bakery / coffee shop corner . hotel restaurant limited & quot ; Restaurant Row & quot ; within walk distance restaurant Hells Kitchen . genuine local feel , check Basilica Hells Kitchen 676 9th Ave ( 46th St & amp ; 47th St ) awesome italian meal ( not turn small , hole wall appearance miss opportunity great experience ) . even though hotel recommend Becco - would skip Lidia Bastiani 's Becco restaurant row - tourist trap deign can not afford sister restaurant Felidia upper east side . food service leave much desire . all , fabulous hotel . 
 Aug 22 2009 	 beautiful upscale hotel 	 husband & amp ; stay 2 night Aug. arrive early ( 12 noon ) & amp ; wait short room ready . time get appetizer hotel restaurant . buffalo mozarella pizza excellent . register we Kimpton Hotel program arrive check go smoothly . request room high floor program signup & amp ; give room 11th floor . room great except cord blind window . windows & amp ; window sill higher normal . blind close , 5 ft . 5 . tall could reach cord reopen . stand chair reach cord . wonderful bed , room nice furnishing & amp ; hotel location block Times Square . also bathroom terrific magnifying mirror work ! one night take suggestion one front desk lady & amp ; see musical & quot ; Rock Ages & quot ; fun evening . would also recommend Virgil 's BBQ restaurant 44th St. breakfast include fry red velvet donut ( look like large hush puppy ) dinner Meson Sevilla - Spanish restaurant recommend hotel 46th St. Restaurant row area . one small negative comment - times service slow - example restaurant regular hour . 
 Aug 21 2009 	 Terrific Hotel Terrific Price 	 husband stay 1 night Muse Hotel , August 13 , 2009 . find hotel , staff , location etc . look . price hotel theater district Muse one reasonable . hotel conveniently locate 46th Street happen street show evening . bed one comfortable hotel bed ever sleep . amenity room top quality . wine taste evening nice touch . hotel staff helpful . positive comment makeI ' m afraid go not want & quot ; gem & quot ; spoil . definitely stay Kimpton hotel future . 
 Aug 20 2009 	 Outstanding Service -- right Times Square 	 staff Muse outstanding ! answer question request small large . bed wonderfully comfortable room spacious . second stay Kimpton , service level beyond compare ! ! can not wait stay ! ! 
 Aug 20 2009 	 WOW 	 hotel . stay return Miami fly home , pick hotel upmarket want good last night New York City . hotel meet expectation room fabulous extremely clean , bed linen comfortable ever sleep . staff attentive location fantastic . worth price . 
 Aug 19 2009 	 lovely hotel attention detail 	 stay six night first week August good stay . look many hotel book , travelzoo offer good , solidify decision . hotel lovely , nice design element , comfortable . room nice , bit small . bed comfortable high quality linen . internet easily access free . like location hotel take we quickly Times Square broadway show see , quiet location nearby great shopping 5th avenue . air conditioning good . room package include breakfast , excellent . freshly prepare many choice include fresh egg juice . still swiss time , we 4:30 morning feel late . grateful coffee / tea station locate near front desk restaurant could enjoy 6:30 morning . impressed consistent high quality staff . kind , interested stay . restaurant quality service also excellent , friendly . evening , offer complimentary happy hour , although attend , everyone seem nice time . son enjoy Wii lobby time , nice touch kid . , negative fitness center pretty small , pretty well equipped , towel water , seem well ventilated . would definitely stay . 
 Aug 18 2009 	 beautiful room little air conditioning break tv remote help management 	 book two room Muse two night sightseeing . request lodge high level floor honor since nothing available place third floor . room beautiful issue air conditioning . friend decide tough since room bearable . initially tell blind block air wait couple hour room cool , request move . around 3:00 a.m. repacke moved room air . steven front desk helpful try get air fix manager duty ( young guy head shave ) unwilling offer assistance except tell we nothing else available . Steven find we another room . disappointed booked room almost month advance move several floor away friend mean teenager separate . check , ask aforementioned manager compensation disrupt first night since get little sleep move . give we measly $ 48 complimentary parking pass find insult consider price pay room . say ask compensation soon perhaps could done something else like give we breakfast . beautiful room , nice location ( except homeless man sleep across street night ) , air condition common problem read many review management need responsive customer complaint . Steven one front desk find helpful much could . hotel could get problem correct would great place stay . invest AIR CONDITIONING WORKS ! change room , stay nice one want pay hundred dollar hotel room little air , repairman room middle night , repack move middle night treat like unreasonable expect hotel compensate inconvenience . 
 Aug 14 2009 	 Poor Poor Customer service ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 mother & amp ; sister law , 2 niece , daughter , stay hotel 1 night . one last summer fun time school ! arrive early room not ready , fine since full day plan . daily activity return 5:00 check take shower get ready Broadway show . two room , daughter , niece , take one room enter hot 82 degree . turn thermostat thinking would cool , get ready leave . return 11:30p.m . tired little one , walk room still hot , call front desk , send someone immediately . man come look maybe 30 second say broke , get fan . time girl asleep bed sweat really bad . tell would not work daughter asthma need air condition fan . leave call front desk explain incident say send fan , August NYC fan go work , tell open window . tell need another room asap kid tired , claim book tell would call back minute . never receive call , girl go slept floor mother law room stay expensive , hot , hotel room work remote control not sleep hot ! ! travel alot never ever see poor customer service U.S. ' m sorry , nothing ! ! ! ! like sleep 82 degree room hotel ! ! ! 
 Aug 10 2009 	 Excellant Hotel 	 hotel near times square metro station also nearby . plenty restaurent etc nearby . hotel room well maintain , would recommend hotel anyone . hotel staff bery helpful . minor point hope hotel management take note coffee / tea make facility room & amp ; make bit inconvinient . over happy hotel . 
 Aug 5 2009 	 one nice place ever stay 	 everything could want hotel - amazing service staff ; new , clean beautiful facility ; quietly tuck away , yet centre Manhattan ; step main subway station ; walk level restaurant attraction ; small personal nice little touch . we stay next time , hesitation recommend everyone age group . 
 Aug 5 2009 	 excellent .... always Kimpton hotel ! 	 arrive pretty dark lobby , expect something artsy Kimpton . welcome room bottle champagne anniversary . room clean big enough two we . hotel barely block Times Square , not keep quiet night sleep . highly recommend hotel travel NYC take sight . 
 Aug 5 2009 	 BEST NYC 	 stay many , come top list . location , location , location ... good bed ever sleep . accomodate staff . wait return . 
 Aug 4 2009 	 FAB stay MUSE 	 stay Muse husband two child ( 21 & amp ; 18 ) , hotel fantastic chic , welcome friendly . two beautiful room link small private lobby , room clean , stylish bed die , wide , soft comfortable . complimentary tea coffee welcome morning complementary wine evening good way wind shopping & amp ; sight see hit nightlife . excellent location Times Square , 5th Avenue , Rockefeller Centre , Empire State Building much . staff helpful super hotel stay would definitely stay . 
 Jul 29 2009 	 Excellent Location comfortable peaceful - will return 	 Excellent location - close Times Square / Subway lot sight sound . however , far enough away provide peaceful relaxing time . definately good world . clean , chic , quiet , attentive staff -- great wine bar / restaurant - simple fantastic . hope return next year another self indulgent solo get away . 
 Jul 23 2009 	 great place stay LOVE bed 	 really like hotel lot . nice place great art great attentive staff . book stay one night , arrive city really early , like 3am really accomodating . love decor place though time bother afraid would break something pay . first time city , location ( person try tourist ) great . really close everything Times square/ Theater District . mention right next Havana Central , great cuban place even movie . can not say enough bed , absolutely amazing , ridiculously large comfortable . every time go anywhere near bed get ! problem place size room . use bathroom sit toilet , scrunch leg close door . room compact timeI put rather large suitcase 's stand get comfy not really walk space . aside one thing , love would definately go ! 
 Jul 18 2009 	 comfortable hotel nicely appoint 	 wife come New York two day / one night stay enjoy short relax getaway NYC leisure / relaxation , also take care get Brazil visa in - person near consulate live PA ( long story short , time mail away passport take care by - mail ) . research hotel within block brazilian consulate building locate Ave Americas 47th Street , appear well value hotel 4 - 5 star rating . Manhattan , usually stay Michelangelo Hotel favorite NYC hotel , particular trip want close Brazil consulate next could early line apply Brazil visa in - person . also , want fork $ time , quick trip . Muse Hotel room tastefully appoint somewhat hip greek moderne style , comfortable nice bathroom good fixture , surprise we pleasantly roomy balcony overlook Manhattan skyline , Times Square light dynamic billbpard visible distance ! lounge bit deck chair balcony evening arrive , pleasant cool breeze blow time . think many room balcony , one desire would ask balcony room booking . sum , would definitely stay Muse Hotel suit location - wise next trip Manhattan , price right ( , recent trip ) . 
 Jul 17 2009 	 reasonable hotel near Times Square 	 visitor Theater District , Muse worth consider . select hotel walk district conference attend . try avoid congested tourist area business people might found tour package crowd lobby street noise distraction , , hotel well expect . generally seek Kimpton property rarely disappoint . Kimpton member get free internet -- definitely incentive . the drawback Muse tough find taxi front peak hour . need one employee duty go cab hunting . 
 Jul 16 2009 	 great high end Hotel Great Location ! 	 high end hotel great location see city . new , comfortable room great staff . vacation two teenager we think great hotel . would definitely stay . 
 Jul 15 2009 	 love ! 	 choose hotel girl 's trip NYC base great review TripAdvisor . wonderful everyone say ! room ready early check - in could not easy . end first full day excited walk room find bottle wine little dessert . long day shopping sight - seeing , would return small surprise along extremely clean room . go Kimpton website trip join InTouch program . be completely free worth look . stay amazing would recommend anyone want small hotel excellent service near Times Square . 
 Jul 9 2009 	 Best Hotel stay ever ! ! 	 wife NYC decide try Muse base review read . could happy ! arrive city early go right Muse drop bag day sightseeing . much surprise room ready 10 am give complimentary upgrade Executive Suite . much appreciate travel two boy . room spotless huge - separate bedroom King bed chaise lounge , sit room chair pull - out couch plasma screen room . bath big master bath home big room ' ve see NYC ! bed comfortable hotel bed ever sleep wife agree . normally trouble sleep anything bed sleep well Muse home . the public area clean nicely decorate contemporary motif ( see photo site ) . contemporary seat lobby multiple plasma screen show artistic video around NYC . especially like public restroom lobby . I ask assistance front desk couple time direction hour museum staff go way find information look . also tell we call ready pull - out couch make - up night . complimentary wine reception evening nice touch . give we chance wind day sightseeing visit guest well staff . even popsicle Wii kid . the location perfect . half block Times Square easy walk distance Rockefeller Center , Central Park subway . prefer take cab , door man would hail one quick whistle arrive promptly ( boy think coolest thing ) . store bag check - in check - out . charge bill check - out mini minibar . wife tell take nothing minibar remove bill question ask . would highly recommend Muse visit Big Apple ( Business Leisure ) definitely stay . 
 Jul 7 2009 	 Muse inspire tell : not stay ... 	 ... place get popular will not able book room ( certainly return give opportunity ! ) high floor - hear fire truck - noise all . free upgrade large room . room ready arrive 10:00 am . super comfortable bed . treat ( chocolate bubbly ) room wife 's birthday . check - in take 2 minute . check take 1 minute . great air - conditioning . elevator quck . cofee morning fantastic . wine reception 5:00 prep evening . free internet access . mini - bar affordable price & amp ; $ 10 coupon . clean , spacious room bathroom ( NYC ) .nightly turndown service . morning newspaper ( Times USA Today ) responsive concierge service . responsive attentive doorman . near everything Times Square . away everything Times Square . Good Hotel Restaurant ( NIOS ) good restaurant near hotel ( Havana Central -Cuban Utsav - Indian ) reluctantly recommend hotel people know hotel popular become soon able stay anymore . absolutely love stay Muse . 
 Jun 27 2009 	 simply good hotel experience 	 book stay 3 night base great price point review trip advisor . location step away hustle bustle time square hotel remain calm oasis soothe relaxation . book executive suite husband , two young child . room massive new york standard . bathroom large room stay manhattan . hotel service orient everyone friendly , accomadate cheerful . restaurant seem like chic hangout local line bar dinner happy accomadate 12 year old . munch one good burger ever able soak little manhattan ambience . stay flawless , staff superior room divine . wait next time . 
