ordinary 	 stay individual room Meliá White House one night . find hotel ordinary . decoration furnish pretentious bit date . the staff reception desk nice chek - in check - out fast . room small , much London standard ; however not even one chair & quot ; table & quot ; room ledge leg , barely 25 cm deep place narrow , poorly - light , aisle - like space ( awkward four - star hotel claim ideal business traveler ; course chair desk room would appear cram ) . tv big bit old . closet look bit shabby . bed comfortable . bathroom up - to - date really tiny ; even shelf toilet bag , small counter around sink . everything clean enough . coffee tea kit ( inside closet , place put ) .There something odd use in - room minibar : note advise customer use minibar cool stuff charge 15 pound . no free internet area hotel . rate 15 pound per 24h . I not breakfast hotel ; would remember price region 20 pound , good breakfast somewhere nearby ( Great Portland St. across street ) .The hotel well locate find plenty well locate hotel London similar cheap rate one does't add special value . in brief , fine 's nothing special . ' ve stay nice hotel London would recommend one get cheap rate . 
 Jun 10 2009 	 outside trendy Londoninside wonderfull place rest ... 	 stay Melia White house 6 wonderfull day night . the Staff kind friendly . the level room comfortable . from breakfast late evening , everything good serve . we will comeback december another great stay London Melia White house hotel ... 
 Jun 8 2009 	 Friendly Helpful Staff 	 stay room 682 , lovely clean , bed slightly hard . problem neighbours room 683 , foreign couple talk really loudly , first night report reception , send porter room , go quiet start 1240hrs . complain 2nd night , much fun 11yr old daughter stay bear mind 2330hrs , smoke well , not . bang really hard adjoining door tell shut ignore ! ! ! rang reception tell satisfied couple next door also tell receptionist smoking , tell non smoking room would send somebody straightaway , true word couple actually shut rest night , probably catch ! ! ! ! first time stay hotel calibre . it certainly cheap hotel make sure read instruction mini bar , luckily charge anything . friendly helpful staff , clean accomodating . 
 Jun 5 2009 	 AWESOME PLACE 	 good hotel ever stay . fantastic sevice , great location good breakfast bar , loverly room , modernise style class .love leave give money wayhay ! 
 Jun 4 2009 	 great value 	 stay Melia White House London night May . arrival , upgrade deluxe room extra 15 pound – mean pay total around 120 pound inclusive tax per night . in view , represent great value . hotel prime location near Great Portland Street station , couple minute ' walk Regent ' Park station ten minute walk Baker Street station . lobby enormous London standard – marble , orchid chandelier – bustle , pleasingly big - city feel . the room decent size London - clean , secure , well appoint typical anonymous four - star hotel style . bathroom small functional . minor concern room pretty warm , even turn thermostat . lastly , bar pricey quite full good atmosphere – bonus point spirit trolley waiting staff wheel around room ! 
 Jun 1 2009 	 Lovely Hotel good location 	 book night special rate Expedia . attend Royal National Orthopaedic Hopsital , choose hotel 2 minute walk away . book executive room Level . include use level check - in , dining room , lounge , complimentary drink evening . although midday , room ready . large , massive bed classic style furniture . bathroom small , pleasantly finish , black marble gold . overlook building site back ( not part London ) , experience little noise , even though choose open window rather use air - conditioning night . eat breakfast hotel , level Dining Room . almost empty , comfortable . service efficient relax . cook food little cold , minor complaint , choice good . we check left case secure storage later day . pleasant stay , excellent value ( cheap chain hotel Victoria ) . hotel large , service ambience good would love return able take advantage special deal future . 
 May 30 2009 	 like sauna .............. ! ! ! 	 stay hotel Bank Holiday weekend ( end May ) 3 night . first impression good . hotel clean staff helpful . breakfast good ........ queue . eat Place restaurant food good service . room clean bed comfy . problem noise , despite roadwork outside . gripe hot ! ! ! ! do not know problem air conditioning time quite unbearable ............................... apply communal area , include restaurant , lobby , bar corridor bedroom floor . bedroom fine word advice ... need use air - con want comfortable . 
 May 30 2009 	 level executive doubleroom .... totally satisfy ! 	 come back three night stay Melia White House , husband , satisfied hotel . we pick hotel review regard clean good breakfast . hotelroom sleep , size not important we . the hotel close Great Portland Underground station , 11 minute tube Liverpool Street Station . take 10 minute walk either Baker Streeet Euston Station , Underground Lines pass . hotel north Leicester Square take 20 minute walk medium pace . surround hotel lot different restaurant pub , Regents Park around corner . dine nice italian restaurant call Sergios , http : //www.sergiosw1.co.uk/ , Great Titchfield Street , 5 minute walk hotel . the lobby enormous . two reception , regular one one we book room & quot ; level & quot ; . fast check - in could relax almost immediately room . room nice , big bed . BIG ... bathroom spacious closet . everything totally clean everything smell fresh . unfortunately poorly isolate , could hear everything outside . room stay ( 897 ) face entrance hotel noice traffic Marylebone Road really loud . bad noice worker repair street outside . drill morning . really early . not hotel fault though . first night , ask another room , face another direction staff efficient give we another room side hotel ( 847 ) quiet hardly trafficnoice . recommend ask room face direction front book room . the level also include breakfast buffet afternoontea cake free spirit snack evening . really nice , level - lounge also nice . one part sofa one part table / chair breakfast . find breakfast buffet good , although get little tired third breakfast . staff nice , little fast get dirty dish , happen several occasion clean table coffeecup juiceglasse getting eat . even breakfast ... ; ) overall must say recommend hotel , answer room & quot ; level & quot ; . prebought room hotels.com pay 40 % price room . buy room full price would not satisfy value price . good hotel , clean helpful , friendly staff . overwhelmingly good . a nice middleclass hotel . 
 may 28 2009 	 relax stay bad breakfast outside noise 	 stay 2 night Level Executive Room . arrive early give spacious room great service . the room good size , nice bathroom lovely bed . hotel lovely hotel relax definitely pay upgrade stay standard room before . room service excellent food hot tasty . location excellent shop tube close . two main negative would lack soundproof hear lot noise car noisy people outside hotel . point breakfast . milk curdle , bean , mushroom egg rubbery inedible . breakfast staff also abrupt nowhere near professional would expect . overall relax stay good bad point . 
 may 27 2009 	 standard room small 	 reviewer indicate standard room small . ok London . not think ok . standard ROOM SIZE CARNIVAL CRUISE LINE REGULAR / SMALLEST ROOM SIZE . want clarify . Hotel 's rating must affect room size - use standardized rating system ! base room size give 3 star . yes pay upgrade ... believe clean staff good job ... carpet old rip place , wall cover kind wallpaper lot stain . furniture old - chair almost fall apart . one upgrade ... guess . we stay 2nd floor smell corridor - people smoke . really nasty smell . breakfast good . concierge good . 
 May 25 2009 	 great hotel not noisy ! 	 stay level executive room stay . room large huge bed tastefully furnish . level room mean breakfast include ( great breakfast good variety food ) well afternoon snack evening drink ( available lounge ) . problem hotel sound proof . stay 8th floor yet could hear bus two street away . sound though window actually open . wall also badly soundproof , could hear people next room well across hall . absolutely good enough four star hotel . point fancy extra can not get basic right ! 
 May 19 2009 	 Excellent hotel good customer service ideal location Euston 	 upgrade Executive Level well worth money extra provide . hotel fantastic , extremely clean efficient , friendly staff good quality breakfast . downside traffic noise not loud enough stop we get sleep . hassle leave bag day leave check fairly quick . perfect location Euston - ten minute walk ( ) . highly recommend . 
 May 18 2009 	 Quiet Hotel middle town 	 spend 4 night fab hotel , even middle town , room soo quiet ( sure book Superior , soundproof room , - worth money ! ) . sleep like Babys . staff attentive , helpful room spacious clean . second night take breakfast outside , Melia quite busy breakfast place , noisy breakfast expensive . highly recommend Restaurant / Café & quot ; Villandry & quot ; , 170 Great Portland St. , 5 min . hotel ! 
 May 17 2009 	 great hotel great location 	 boyfriend stay Melia White House hotel weekend , celebrate birthday . book part package , include ticket comedy club , lastminute.com . total price around £ 200.after reading review decide upgrade superior room lovely . cost we £ 50 extra two night , room brilliant definately worth . massive king size bed , giant plasma beautiful bathroom . website claim room sound - proof could clearly hear people room we . however , think unlucky people . room bracket door stop bang , something wish hotel have . we not bother add breakfast package , £ 21 per day , feel rip , not experience dining hall . location - wise great . opposite Great Portland Street tube 15 minute walk £ 7 taxi St Pancras / king Cross / Euston . check midday , give plenty time lounge leaving offer baggage - hold facility wish go explore more . I would thoroughly recommend hotel doubt shall return . 
 May 17 2009 	 Average Quality Hotel 	 hotel advantageously locate good spot close Metro station . but although expensive hotel , 's service medium . it noisy constuction work neibourhood noisy spanish people . 
 Apr 27 2009 	 good leisure ok business 	 good thing hotel : location ( beautiful Regent Park nearby ) cleanliness . room far small , understand standard London . however , give four star classification price , would think size room could big . room stock shower / bath good coffee . concierge speak English well ( spanish hotel ) . internet include expensive ( 15 pound per 24 hour ) . overall , would recommend hotel business purpose , definitely leisure . would also recommend upgrade standard room . 
 Apr 27 2009 	 good value cramp 	 hear warning bell receptionist say overbooke ... pick phone check room available . ok check late phone ahead warn they . Reckon probably get last room house . double bed ( ? ) narrow short , would fit unusually shape room . lot traffic noise too . other write need pay upgrade would agree . 's good value ( breakfast price joke . use Greek cafe Great Portland Street tube ) good location go executive room 
 Apr 25 2009 	 Fantastic hotel ... .... 	 return weekend Melia White House . Dad London FA Cup Semi - final Wembley ideally locate Metropolitan Line Wembley , walk distance Euston also easy get Oxford St / Covent Garden etcWe book Level Executive room well worth extra money - spacious room , free bar canape exec lounge 6pm-10pm , great breakfast buffet private reception ... ( sign private reception main lobby ask concierge instead queue ! ) problem email request twin room ( Dad ) phone week stay confirm twin room ... get check - in - twin room ! ! ! 11 am 3 pm check - in time state ... luckily enough 1 twin left smoking take ... let whole stay ... otherwise would advise book confidence - wonderful weekend lovely hotel . 
 Apr 19 2009 	 Great HotelGreat Value ! would go . 	 great hotel Center LondonBeautifull Lobi spacious room . great value 
 Apr 15 2009 	 Great Hotel good value money . 	 stay business trip . stay number hotel central london , hotel provide great location , bit hidden gem . great service get repute & quot ; 4 star & quot ; find great value money central london basis would stay nearby raddison hilton . similar service half price.if stay would say tip make sure give plently time breakfast problem sligh queue breakfast . staff quick notice send different resturant . price hotel great see chef cooking omlete breakfast.whether holiday business would recommend hotel anyone . 
 Mar 27 2009 	 Good Central Hotel 	 stay 20th & amp ; 21st March standard double room , slightly cramp , special offer price £ 80.00 central London , could grumble . bed bathroom clean . staff professional friendly . hotel close Euston Station , Regents Park , Grt Portland & amp ; Warren Street Tubes minute walk . stroll around Regents Park sunny Sunday morning early Spring delightful . feel energetic walk Oxford Street , Marylebone High Street 20/30 minute whole & quot ; hub central london & quot ; . would thoroughly recommend privately own italian restaurant within 5 minute walk hotel come across close Great Portland Street ( see website www.conchigliarestaurant.com ) . Sunday 3 course meal approx . £ 15.00 steal ! food excellent staff delightful . must visit . would definately stay hotel recommend anyone . 
