ideal 	 many previous reviewer chronicle , staff , breakfast , afternoon wine cheese make Library Hotel special place worth bit extra cost big - box location . also appreciate central location * * fact , business district , much traffic street night . possible open window still sleep . rooftop bar lovely , busy happy hour . Grand Central around corner ; go uptown , downtown , crosstown ease . definitely return next nyc visit . 
 Nov 9 2009 	 Trendy hotel chic vibe great location 	 cool surprise . lobby deceve indicative vast spaciousness room . room ultra chic , cozy , provide great experience . location hotel perfect , central outstanding dining nightlife . staff cordial knowledgeable . LIBRARY theme unique spin hotel travel industry . two enthousiastic thumb . return recommend other . 
 Nov 4 2009 	 pleasant accommodate staff ever experience - will not stay anywhere else . 	 stayed appropriately name petite room , plenty storage space . NY 2009 marathon upset not sleep well due car continually thump loose manhole outside . complain , Laurence step behind desk charge middle street potential temporary solution . not work , come back , think something else try another method . not work impressed length prepare go help . concierge helpful restaurant play recommendation booking . addition , breakfast good lovely fresh fruit bowl , yummy bagel roll , yoghurt , hard - boil egg , etc . wine cheese evening really help save money expensive city . staff also friendly helpful . 
 Nov 3 2009 	 life billing 	 like many other , homework place book . high expectaiton go glad say Library Hotel exceed expectation . offer we free breakfast morning check ( get early red - eye flight ) , promt helpful response inquiry , perfect place stay . location great hotel well . 
 Nov 3 2009 	 hotel ........ Excellant 	 find hotel tick box - hard find Library hotel one . from start finish staff superb could not fault professionalism way - courteous , friendly . hotel make vistor appreciate - even check day - offer use hotel facility major plus , wait late flight . ambience / atmosphere hotel fanatastic location make great place stay visit New York . 
 Nov 1 2009 	 great service 	 stay Library Hotel 7 night September . would definitely stay 's joy find somewhere break free mould average hotel . staff friendly helpful , especially serve breakfast . lounge bit small purpose however staff prompt offer tray enjoy breakfast 14th floor lounge couple occasion . location excellent - round corner Grand Central Station . room quite small , sufficient stay . thing would change hte soundproof . 's great street noise pretty constant . wife end use earplug , overall , would not prevent we return . 
 Nov 1 2009 	 personalize service make little gem shine ! 	 Library Hotel stand amongst hundred hotel New York City , three distinct factor : location -- whether business pleasure ; comfort -- calm , relax subdued luxury : finally , service -- associate genuinely care quality stay . return fourth stay fine boutique hotel , woul not consider stay anwhere else NYC . case , add value cost stay , little gem hotel stand head aboive competition . 
 Oct 30 2009 	 one NYC 's good value - homey 60 - room literary - theme boutique 	 homey , 60 - room , literary - theme boutique , locate block New York 's famous Public Library , among Midtown East 's corporate skyscraper . be one New York 's good value , mostly perk : upscale bistro ground floor , lively bar penthouse floor , free Wi - Fi , free gym pass , free daily pastry , wine , cheese . pro : -One block Grand Central , access six subway line - thoughtful design base old - fashioned Dewey Decimal System - Upscale bistro ground floor , lively bar penthouse floor - free wi - Fi - free gym pass New York Sports Club , ( four block away ) -free daily pastry , wine , cheesecons : -room near elevator loud - no cot double room availableThe Library locate prewar , Art Deco building block Grand Central , one city ' big transportation hub . read room 2nd floor , free coffee pastry serve 24 hour day , free wine cheese available 5 8 p.m. , rub shoulder trio british guy tight jean converse talk film shoot , twentysomethe american girl Uggs catch e - mail , well - heeled couple tired side 50 poring map New York . ' really mixed bag -- young old , business pleasure , hip nerdy . bar top floor lively night guest nonguest ( think well - heel business type client ) . Madison & amp ; Vine , restaurant wine bar ground level ( owner bar , unaffiliated hotel proper ) , serve delicious upscale bistro fare . service impeccable -- classy pretentious -- remarkable feat city service typically snobby good standoffish worst . Library Hotel defy New York ' smug stereotype , though giggle little staff refer honorific " Ms . call room service extra towel yield good two minute flat request soy milk coffee 2nd floor reading room appear within second . hotel offer turndown service . return room minute away find bed neatly turn , blind closed light . love chocolate staff leave pillow along note next day ' weather ( rainy 43 ° F , brrr ) . room , 1100.004 -- room organize Dewey Decimal System , ' Library Hotel , get ? -- tiny 200 square foot . fair , 200 square foot New York pretty average . though ' see closets luxurious shoebox room , grow fond smart , classy , understate character . maybe 660 - page tome " Mind Works " , Harvard professor Steven Pinker , haunt tv ( room psychology theme ) .For detailed picture room : http : //bit.ly / uz7mjthe hotel calm serene , except penthouse floor ( 14th ) , be Bookmarks , rooftop garden bar three different persona . ' " poetry garden , " greenhouse wraparound terrace , " writer ' den , " work fireplace heat terrace , bar , sleeker , mod feel rest hotel . three room buzzing arrive 10 p.m. Monday night . for detailed picture hotel property : http : //bit.ly/2akdvx 
 Oct 28 2009 	 bit extra make really nice stay . 	 stay couple place trip Library far good one . staff helpful friendly outset . obviously service cheese wine ( really nice ! ) give good feel place particularly like relaxed attitude - saying could invite friend wine cheese welcome use lounge day departure , even check . location excellent room nicely fit . certainly cheap well worth - bit extra make really nice stay . 
 Oct 27 2009 	 welcome great service excellent location 	 first time NYC find staff extremely helpful . warm welcoming atmosphere , definitely stay ' m next NY . strongly recommend . 
 Oct 26 2009 	 lovely hotel 	 great hotel ! mention honeymoon book online arrive upgrade we nice room leave bottle sparkle wine room we . make whole stay special -- staff super friendly make we feel welcome . plus 's free internet free bottled water room free breakfast every morning . even offer let we use 2nd floor lounge check flight not evening . 
 Oct 26 2009 	 gem Hotel centre NewYork 	 spend 5 night hotel could fault anything . staff extremly friendly helpful helped make great holiday . the breakfast also include nice ( continental type breakfast ) wide variety choice available . one really great touch wine cheese evening every night 5 8 include price room . the hotel centrally place close Grand Central Terminal , Chrysler building 5 minute walk Times Square . 
 Oct 24 2009 	 Fabulous 	 lovely little hotel lot character . conveniently locate everything . brilliant time , would recommend . book deluxe room , big enough 2 good sized desk work . roof top bar great restaurant really nice 
 Oct 23 2009 	 comfortable quiet hotel friendly staff great location . 	 theme first catch eye , price reasonable ( consider Midtown Manhattan ) location excellent . from moment arrive , staff friendly , knowlegeable helpful . concierge , bellman , waitstaff housekeeping . even though hotel old , clean well keep . continental breakfast morning wine cheese afternoon nice touch enable light meal ( free ) occasionally . rooftop bar ( choice indoor outdoor seating ) evening pleasant place , get crowded weeknight . otherwise hotel quiet . my original room ( petite ) small name suggest , comfortable clean . ask would not mind move large room last night extra charge due problem ( not say not ask ) . large elegant really nice . next time think will shell little money large room ! stay next time New York highly recommend . not know great place family young child , old child would fine . 
 oct 22 2009 	 Clean Friendly Charming Comfort Senses ! 	 never BIG APPLE , overwhelmed task finding & quot ; nice & quot ; hotel 87 year old mother , 16 year old daughter ( 50 something ) . much search internet , find Library Hotel . delighted find Book Lover 's Deal call hotel directly ask question speak real person . young man speak say recommend hotel relative indicate complimentary continental breakfast , wine cheese reception snack provide throughout day rare offering hotel NYC . unfortunately , rainy cold weather stay , hot tea snack definitely comfort , especially enjoy mom stay hotel daughter take ! Library 's location excellent ... within walk distance Fifth Avenue shop , GCT , NY Public Library . even get watch film make block ! Madison & amp ; Vine restaurant street level provide we tasty meal head Broadway show . staff friendly helpful- offer hail cab us surprise , bottle wine , glass mom 's room upon arrival . tell book reservation , turn 87 ! 
 Oct 20 2009 	 great stay 	 well situated hotel . well treat , love free wine chesse 5 pm availability coffeee pastry day , espeecially leave early flight . cheap get pay . 
 Oct 19 2009 	 friendly clean great location good value 	 pleasantly surprise Hotel , room small absolutely fine need , clean good finish lovely bathroom . staff helpful continental breakfast afternoon wine cheese lovely bonus . location perfect , able walk almost everywhere . 
 Oct 15 2009 	 feel like guest ... 	 third trip New York City , husband 's first . far good hotel ' ve stay . amazing staff remember name , nice feeling greet name stay . feel though guest . southerner , friendly intimate atmosphere hotel impressive we . hotel walk distance many sight , beyond walk distance , Grand Central nearby make transportation convenient . request make handle quickly efficiently . staff knowledgeable city attraction , glad make recommendation reservation . ( restaurant recommend we disappointment . ) regret not time relax enjoy hotel . great place come & quot ; home & quot ; end exhaust day ! 
 Oct 14 2009 	 Fabulous ! 	 native New Yorker visit city work pleasure several time year . stay many different hotel , large small . say without doubt , Library Best ! service amazing , truly amazing ! front desk room service wait staff , maintenance staff , wow , wow , wow . say enough . stay five night single complaint . room , although bit small , perfect we . comfy bed , luxurious linen towel , robe toiletry , perfect . quiet ! find midtown , next everything , NYC hotel meet standard ? one & quot ; mini & quot ; criticism- tv watcher , might disappoint . television small . , earth surround wonderful book available Library vacation NYC would care ? also see Broadway musical Next Normal , highly recommend emotionally charge play available TKTS 1/2 price . want ticket advance still able get discount Theatermania.comI love love love NYC Library ! ! 
 Oct 13 2009 	 fantastic ! 	 first time stay Library Hotel NYC . fantastic . clean cozy neat nice . staff friendly professional . great book everywhere love book . quiet full dignity yet night everywhere idsposal . get wonderful sleep breakfast delicious evenning , kind cofee cookie snack . room referigerator snack drink . could say enough good Library Hotel intend stay . 
 Oct 12 2009 	 Broke heart leave 	 enough word tosay much love hotel . booking mention bring boyfriend New York suprise 30th birthday ask chance upgrade . arrival extremely polite friendly staff tell we upgrade petite queen room . front desk staff give we load map info city recommend thing , place , restaraunt etc might like visit . also explain subway work . incredibly helpful ! get room birthday card bottle Presseco wait we celebrate boyfriend bithday , think really nice touch . our room lovely . really clean , nicely decorate fairly spacious NY hotel room . bathroom nice good shower . robe slipper lovely cosy . good bed ever sleep . not amazing city outside probably would not get . breakfast hotel fantastic . not normally breakfast bagel good could not resist really nice take roof terrace . wine cheese evening stroke genius . good wine plenty . location hotel fantastic . easy walk distance Empire State , Times Square Rockerfeller Centre . ' m sure visit New York would amazing stay beautiful hotel make perfect . on day come leave boyfriend feel really sad . receptionist say we ' do not look blue , ' m sure will back soon ' . hope 's right . 
 Oct 5 2009 	 Felt home 	 owner hotel Slowakia , feel european touch : Windows open , air condition switch , breakfast fresh handmade fruit - salad , Wine chee Gorgonzola Camembert ( low fat ) .The room clean , linen change every ( much opinion ) . negative inside wardrobe drawer , dusty hair ... location next Central Station perfect . Times Square walk distance . the room noisy . use ear plugs , offer hotel . 
 Oct 5 2009 	 place stay romantic getaway . 	 high quality , impeccable service little detail do right . Easy & amp ; fun walk Times Square , 5th Avenue park , Rockefeller Center , Empire State , Grand Central ... really nice . creative drink rooftop bar . 
 oct 4 2009 	 would love stay hotel ! 	 Library Hotel fantastic ! location great : within walk distance garment district , great 5th Avenue shopping , wonderful restaurant . staff helpful , give we dinner recommendation make corresponding reservation every night . provide we umbrella rainy day even band - aid blister foot ! everyone come contact friendly . 24 - hour refreshment second floor perfect we . breakfast perfect hot tea snack great get back shop ( normally come late cocktail hour ) . junior suite perfect ! size plenty big step - mother . love small seating area ( pull - out sofa ) . bathroom small great . can not say enough hotel ! would love stay ! 
 Oct 3 2009 	 Perfect location superb room balcony Madison Avenue 	 hotel fantastic location sight NYC . view room ( one balcony ) amazing . although overlook Madison Avenue quiet patio door close ! cheese wine welcome treat full day 's sightseeing . staff helpful courteous . stay wedding anniversary card bottle bubbly make we feel quite special . 
 Sep 28 2009 	 jolly nice hotel 	 partner stay treat last night week long holiday - first night would stayed throughout . whilst stay large room standard exceptional . bed , robe , bathroom - great . great accolade go kind efficient staff . leave laundry overnight delay beyond time leave ; hotel offer waive cost send laundry back UK us apology . walk quarter mile bus airport 10 minute later breathless receptionist wave bus driver set board bus ' parcel Mr Radford ' - beyond call duty would say . 
 Sep 27 2009 	 Excellent Service 	 staff Library Hotel really make extra effort make stay enjoyable . personal recommendation restaurant , travel advice Broadway selection , spot . room always clean ( mention tastefully decorate ) get back roof terrace absolutely charming . lunch restaurant street level quintessential NYC experience , take hubbub air/ noise pollution . Library also short walk taxi ride away sight shop . 
 Sep 27 2009 	 Perfect 10 	 stay 5 night explore NYC first time . stay king suite wonderful roomy . breakfast buffet awesome well enjoy 14th floor outdoor / indoor bar . enough food start day . worker amazing ... especially John , extremely nice helpful . breakfast room nice place unwind 12 hour explore ... even baby grand piano ! would stay next trip NYC ! 
 Sep 23 2009 	 beautiful hotel 	 stay one night , enjoy room thoroughly . view Manhatten 3 side room . nicely appoint bathroom . hotel staff help we find town car get Newark airport ( easy thing luggage ) . helpful . great location , could walk Central Park , Empire State Building , Times Square , Grand Central Station . would certainly stay go back New York . 
 Sep 22 2009 	 great staff wonderful relax atmosphere . 	 find staff helpful friendly . complimentary breakfast late afternoon wine/ cheese reception nice . stay twice absolutely sell value . 
 Sep 22 2009 	 charming staff great location 	 superb trip New York stay Library six night . staff helpful welcome arrange bottle wine anniversary . location wonderful , right Madison Avenue accessible uptown attraction Soho shopping . stay one large room overlook Madison . ' m sure make room noisy other hotel classic view New York streetscape Madison bay window well worth compromise . complimentary breakfast quiet lounge second floor much well huge buffet swanky hotel . this reasonably price hotel amenity ' m sure return . 
 Sep 17 2009 	 great hotel great location ! 	 hotel nice . room bit small well maintain . queen size room good sized maid service prompt . free breakfast more nice relaxing . entire hotel atmoshpere great refuge ctiy . perfect business pleasure single couple . 
 Sep 16 2009 	 perfect NY hotel 	 stay 5 night anniversary holiday , hotel make holiday perfect . moment arrive feel welcome , service warm pleasant never do . friendly concierge good advice local restaurant ( Benjamin 's road wonderful ) travel . room good size , well appoint comfortable bed , nicely understate bathroom . breakfast ok – reasonable choice pastry , although ' enjoy fresh coffee rather machine . restaurant , Madison & amp ; Vine , ground floor good go twice . choice hotel make huge difference holiday ; one make squally weather , grim British Airways flight typical endless wait around airport . ' find hard image stay anywhere else ny . 
 Sep 15 2009 	 handy serious problem business traveller ... 	 great location , nice staff breakfast wine / cheese good . room small ( anything queen can not swing cat ) , clean , newly fit honest room New York small . hotel theme cute extemely well execute . long time since hotel theme make laugh . level 12 ( religion ) African Religions room , replete photo book include voodoo ritual . funny ! ( although notice photo bed , supposedly african tribesman include one photo australian Aboriginal traditional body paint , perhaps decorator sense humour ? ) .The infrastructure , hand dog . hotel wireless , first locate network show 11Mbps .. acceptable . every time connection establish drop automatically 5.5mbps , soon push datum drop immediately 1mpbs less . funny . bemused repeat several day different time exactly result . complain desk give cable plug datum socket wall . dead . send breakfast room use datum socket . dead . in end go computer room pull cable one machine plug . Perfect . I ' m sorry , day age hotel marketing international traveller , well par . it also mislead laundry availability . arrive Saturday night need laundry do Sunday . advertise 7 day laundry service , ask tell service Sunday without special order 50 % surcharge . room service neighbouring restaurant not open Sunday night . 
 Sep 11 2009 	 Loved ! 	 great little hotel - convenient outside hustle bustle Tiems Square . great service comfortable room . breakfast , cookie , chees wine big plus ! 
 Sep 11 2009 	 BEST hotel ' ve stay NYC ! 	 husband NYC several time past year . time , decide stay Library hotel , even though not near friend city . let say -- -this good choice ! staff courteous amazing , hotel room fabulous , everything hotel great . would recommend anyone want boutique hotel experience NYC . 
 Sep 9 2009 	 Perfect location relax hotel 	 location hotel close sight perfect transportation option around NY area . Located Madison Ave find quiet corner , fantastic day . breakfast eat read room good quality would agree luxury bfast . I stay Petit Single think layout room perfect bed wobbly . I would definately recommend hotel anyone travel NY find gem hotel . 
 Sep 8 2009 	 amazing hotel amazing city 	 boyfriend stay Library hotel 3 night July recommend enough . moment check service absolutely impeccable , wine cheese night evening brilliant , lounge comfortable cosy , room beautiful bathroom perfect . roof terrace lovely place enjoy glass prosecco watch sun set location could perfect , really nothing fault place . place stay NY future ' ve already recommend several friend book love place . perfect ! 
 Sep 8 2009 	 Perfect NY Hotel 	 hotel would usually bit beyond mean ( £ 275 night queen cupid package ) book propose partner whilst New York want something bit special . I not dissapointe ( neither half ) .The hotel everything review make . wine cheese lovely touch . take ' Cupid Package ' perfect exactly want . room cover pink rise petal ! also include bottle Rose Champagne , champagne truffle dozen pink rose vase . the staff descrete helpful room ( whilst stlightly small - not NY ) perfect . I would 100 % visit agiain fully recommend hotel . 
 Sep 6 2009 	 tennis fan - a perfect hotel we open patron everyone else 	 great boutique hotel block Grand Central Station , beautiful rooftop terrace , complimentary wine cheese night session , generous continental breakfast day session . lovely accommedation helpful staff . room small side beautifully appoint every amenity . wonderful hotel ! ! ! 
 Sep 5 2009 	 beautiful place come home everyday 	 husband stay hotel 10 day love . staff kind helpful . the room comfortable ( bed comfy ) lot room think New York . stay jnr suite ( Astrology Room ) . breakfast morning fabulous start everyday we nice relaxed way . also great good healthy breakfast head day . turndown service really nice ( lovely come home find bed turn bottle water cute little chocolate ) . find location really convienient everywhere go . use subway alot get metro pass people help . newyorker really friendly helpful . love Library Hotel would love go back . 
 Sep 2 2009 	 stay HOTEL ! 	 stay Library Hotel last week good time . service amazing staff absolutely wonderful . upgrade great . room clean comfy add extra ( cheese wine , breakfast , etc .. ) add delight . location really good , close fifth avenue , time square grand central station . we would definitely go back stay hotel ! 
 Sep 1 2009 	 Fantastic ! 	 stay Library Hotel five night . fantastic . Deluxe Room spacious New York hotel . bed comfortable bathroom spacious . personnel good , exchange towel everyday - necessary . view stunning enjoy lot . breakfast include good value . many table guest table . atmosphere room nice many book great view Madison Avenue . 5 pm 7 pm hotel serve cheese wine , , great value . enjoy delicious wine cheese platter long day city . free internet printing floor well . location great , close everything , include subway . great bar roof ( check , also be stay Library Hotel ) good restaurant ground floor . staff friendly really helpful . many people work , nearly fight be allow open door you . we could definitely recommend Library Hotel . fantastic . 
 Aug 31 2009 	 Excellent 	 ' ve stay different hotel every time ' ve come NYC - Mark , Hotel Elysee , Benjamin , Iroquois , Casablanca , Mariott Midtown Library . would say good one far . perfect staff - great check - in friendly every time ask anything . good include breakfast fruit , bagel , yogurt pastry . location excellent romantic / sightseeing / shopping trip . bring young kid back may opt stay little close Central Park though . Queen Deluxe Room fairly small , can not imagine small petite room . really like theme - Language Floor Romance Languages room , book italian . free internet work well . no complaint - highly recommend . 
 Aug 30 2009 	 vip service - BEST NEW YORK 	 celebrate 30th . anniversary hotel one week stay New York . front desk staff amazing . reasonable price , one good New York service , cleanliness , friendly staff great breakfast . walk distance main sight . highly recommend definitely return beautiful hotel . Gail Richard - San Diego - CA 
 Aug 30 2009 	 Perfect hotel 	 Library Hotel everything good hotel . staff unfailingly courteous , helpful friendly . room beautifully decorate ( air - condition ) , although quite small - ' Petite ' room next time would probably upgrade big one . location great - hotel Madison Avenue , quiet night . breakfast delicious , free coffee tea available 24/7 comfortable sitting room second floor , wine cheese reception every evening , huge selection free dvd borrow , wi - fi wired internet access , lovely rooftop bar . definitely stay Library Hotel - wonderful experience ! 
 Aug 29 2009 	 great Stay ! 	 stay much famous hotel New York past , library good . room good , nice size really good bed good comfortable furniture , although shower little weak . staff outstanding , concierge / reception staff , maid maintenance team , friendly keen ensure good stay . continental style breakfast good cheese wine reception evening nice touch enjoyable . hotel great location , far Empire State Building . fabulous steak house ( Franklin ) road great diner ( Pershing Square ) around corner . rooftop bar lovely , decent cocktail , great service . would highly recommend hotel anyone . previous trip advisor reviewer wrong 
 Aug 28 2009 	 good Kept hotel secret NYC 	 spend year travel NYC try every decent hotel around , Library Hotel become , far , favorite hotel next stay . BEST KEPT secret city . awesome boutique style , fill charm , elegance , personality , simply addictive . not want leave . staff probably friendly professional ' ve see past 10 year . absolutely amazing package price , service , comfort ( despite small size room , care ! ! ) , elegance , originality ... 
 Aug 21 2009 	 Problems AC come back sure ! 	 be look bargain hotel , be wile pay small boutique hotel give amenity could ever need , Library Hotel may . could write couple page praise , will try keep readable . staff friendly exceptionally helpful . complimentary bottled water room joy hot day , continental breakfast wine cheese terrific . replenish throughout lay pick . arrive later morning afternoon , still plenty eat . upgrade Queen deluxe room , happy size , peeked & quot ; petite & quot ; room , look small . glad upgrade . entire hotel clean well maintain . computer public use second floor outdate slow . try look local restaurant , computer not Flash instal , could not see menu would not let we install plug - in . be still run IE 6.0 ! Yuk . computer need update , badly , still nice . printer convenient . still problem air conditioning . every night , room get warm would like , last night , AC quit work completely . apologize , offer we compensation uncomfortable condition , trust , sweat sit still . overall , great experience , AC fail early trip , would find another place stay . will back Christmas ! 
 Aug 14 2009 	 good place ever stay love can not wait come back 	 moment taxi pull surround sensitive staff seem especially able judge care factor require get right ! environment civilised know , room extremely comfortable quiet ambiance read room perfect recover demand day office , sight see shopping . well do 
 Aug 13 2009 	 Poor A / c hot weather 	 walk swelter lobby cool roomnext mornng 2nd floor cafe area overwarm Hotel fix 2nd night slightly betterbut price point mean decent a / cRooms tinyrooftop bar delightnot inclined return 
 Aug 13 2009 	 stay hereit 's definite must ! ! ! 	 wow , hotel cut rest , small prefer large chain hotels.the location beat , walk everywhere . really really worried location pick right hotel hooneymoon sort everything.well pull thank hotel , arrival upgrade lovely welcome note new mr mrs bottle champagne , staff could helpfull , seriously hard please , stuck working class expect alot hooneymoon trip life time guy make extremely pleasant stay would recommene hotel anyone.the breakfast cheese wine evening great , not get hotel . stay will not regret , bit pricey new york whole . enjoy ! ! ! 
 Aug 12 2009 	 oasis calm fast pace city 	 stay Library Hotel 4 night - Friday Tuesday - impressed . staff could friendly helpful - extent confirm dinner reservation , issue bus tour ticket etc . the hotel Midtown district well locate lot major sight . Times Square , 5th Avenue , Empire State , Top Rock , Central Park within easy walk distance 10 - 25 minute . the building small friendly floor / room theme . history Geography Floor selection book accord theme room . name hotel would suggest read theme lot interesting book dip , room & quot ; communal & quot ; area . the breakfast room small 8 table vary size though never problem get space whilst . August peak New York though suspect could problem busy time . breakfast good continental style , wide selection cake / pastry cereal . the room use complimentary wine / cheese every night 5 pm 8 pm . always enough room decent choice design opportunity chill quick snack tipple . there small roof top bar quaint cosy . the bedroom comfortable ( though massive - small converted building ) plenty storage space amenity - include lovely cosy dressing gown . we really enjoy stay would definitely recommend . 
