perfect 	 helpful service staff , clean hotel restaurant , breakfast great lot choose e.g . frest fruit salad , cereal , toast croissant . room good size nice shower room easy use heating , linen change every day room spotless.we find warren street tube good commute city centre , get main attraction , hotel offer lot leaflet computer see be happen London . 
 so - so small convenient 	 firstly , read people post - room small . small . point , one us unpack stuff , lie bed . , good point , shockingly convenient location . within 5 min walk Euston Kings Cross , 30 second two tube station , cover 4 main tube line need city - break , , thank bit internet google - fu , shop arround get good deal . oh , free luggage room ( charge , other say ) mean final day little less hectic . bathroom nice , everything spotlessly clean ! however , negative . firstly , continental breakfast basic , much basic 90 % traveller use . also dine room small , mean wait table eat . secondly , say , room titchy . use available space well , still really workable anything one two night . & quot ; minimalist & quot ; decorate room & quot ; clinical & quot ; . much wardrobe space - stack suitcase corner room radiator , make room look even crampedIn , probably get well shop arround , simply pay convenient location . well less money past London . 
 Apr 28 2008 	 24th April - Horrible hotel 	 go meet friend Sweden one night , book hotel . , although check review ( 100 % favourable ) , decide stay anyway . I ring enquire price , phone see train ticket available book hotel . call back give totally different price . sort , book original quote price rather high second price , go . to get hotel enter via wine bar round corner due refurbishment ( mention booking ) . wine bar look fairly modern clean , totally empty problem . wine bar go find reception - go door smell smell remind early eighty smell dirty waiting room bus station , ever experience , far far pleasant . smell not go away . we get reception pay booking , tell ( could understand receptionist trouble speak english ) can not book photo ID , need either passport driver license , neither not go need . mention booking . little irritated - make reception aware , pass form ask credit card , obviously decide hotel policy want photo ID long relevant . give room card , tell first floor point towards lift . ( could not go stair painter paint doorway ) find room easily enough , well call room . approx 40 cm side double bed walk 50 cm end bed , wardrobe tv table , stool underneath could not pull sit not enough room . room swelter , even though not particularly warm outside , realise AC . however , go stright meet friend , leave window open air room . later return wine bar decide would eat , convenient room , food excellent . drink however , overprice even London , expect . do not expect person reception book would try say not pay round drink serve we work wine bar evening . however , receipt every drink purchase luckily , take half hour arguing sort , * manager * telling check till money not . check till 11 pm , buy drink 11 - 41pm ) point decide go bed , atmosphere evening chill say least . ) room still hot despite window leave open , closed window block noise traffic still heavy , noise either roadwork construction happen somewhere nearby . soon find , do not help . although window look double glaze , certainly make difference noise outside , one bad night sleep due noise heat , ' ve ever have . you imagine next morning , go breakfast wine bar , crowded hectic , quick coffee check , heat seem magnify . advice - not stay unless , receptionist ignorant ( 4 ) speak little english , room poky ( see single room , could mistake coffin small ) hot . fact clean not outweigh stuff , easily find well cheap , next time , will take heed reviews book , even mean walk 10 min . if vicinity though , food attach wine bar second none - make sure get receipt ! 
 Apr 25 2008 	 horrible horrible horrible 	 arrive hotel divert restaurant due work do . initially think look modern bit buzz around lobby . walk door lift smell hit , may ask really could not tell unpleasant . single room like imagine prison cell like , small , lack character dark . when ask air conditioning break whole hotel . window would not shut tight might well sleep middle Euston road noise time unbearable . the redeem feature hotel ........ hmmmm ...... staff pleasant enough especially serve staff restaurant . thank god endure one night £ 82 per night not cheap ... London . MIC around corner much nicer cheap ! sorry ' m honest . 
 Apr 18 2008 	 not stay hotel ! 	 work colleague stay hotel Monday 19th April host meeting London follow day 150 + delegate arrive . honestly say bad hotel possibly ever stay , certainly London . colleague change room three time swipe pass system door work issue everyone door key . first two room colleague give lock work properly could get room third room give ( tell , several time staff , big room hotel ) embarrassing situation another guest ( male ) issue key walking room state undress . also , could use stair need swipe card access stairs swipe system work . if bad enough return hotel 9.30pm meal find road work go opposite hotel tell first arrive . road work do night minimise traffic congestion pneumatic drill use half past midnight road work go 2.30am . hotel double glazing siren go every half hour get 3 hour sleep important work meeting . I appreciate workman job informed hotel book room . also , would consider least could would issue people earplug consider situation ask ear plugs tell hotel ' . staff rude , unhelpful really ' seem bother . room clean small even London standard . hotel central ten minute walk Regent ' Park breakfast ok really would want anyone stay . company pay room process try get refund colleague ' room would want member public pay money stay . breakfast nice ! 
 Mar 17 2008 	 Excellent Value Money ! 	 mix review dubious stay hotel ; however book 1 night stay need use base night . the hotel situate Warren Street ( northern line waterloo ) Euston station . there still renovation go restaurant lobby look really clean modern . I delight double room , pay £ 60.00 ( inc booking fee breakfast ) expect much room really nice , remind modern bedroom en - suit shower room , quite small need swing cat ' problem . both room shower room clean shower gel , shampoo body lotion available , sky tv flat screen , tea coffee , safety deposit box hair dryer . the slightly negative thing say bed double use king bit small noise road , ' suggest take ear plug … totally recommend stay hotel , excellent value money really nice place stay . enjoy ! 
 Feb 24 2008 	 happy - ish stay 	 return weekend spend Euston Square Hotel . say slightly dubious read mixed review , find functional , well locate , friendly hotel . yes , noise Euston Road , middle London unavoidable guess . room small side still adequate , shower powerful issue lack lock bathroom door . as Englishman , expect good full English morning , bit dissapointe continental style breakfast - however , coffee hot , orange juice cold pastry ok . staff friendly , arrive early though could not check we happy we leave bag . ditto checkout - leave 11 am , happy store bag rest day . hotel say tin . rough edge would happy stay . 
 Dec 15 2007 	 nice value money hotel 	 Nice hotel locate short walk Euston station . staff helpful friendly booking take couple min . room decent size London hotel bed extremely comfortable . en suite modern clean . tv , tea coffee facility , along hairdryer useful safe ( free use ! ) . plenty wardrobe apace short stay . however , 2 downside hotel , ( 1 ) nearby road create alot traffic noise light sleeper enjoy stay hear unless ear plug ( 2 ) . breakfast buffet toast , cereal danish pastry . pay extra english Breakfast ! apart find hotel great location use tube problem hotel . good value money compare London Hotels . would stay use earplug next time . 
 Nov 26 2007 	 adequate 	 renovation take place hotel ( new carpet stair ) room clean tidy , certainly small hotel bedroom ' ve ever stay . breakfast acceptable main complaint , wake middle night fire alert evacuate hotel nearly hour stand around outside freezing condition , explanation apology offer hotel staff stage . certainly would return . 
 Nov 20 2007 	 avoid hotel especially female disabled ! 	 one bad hotel ever stay ! website give away - proper picture hotel room hotel general , boy wish have listen alarm bell . reception staff less helpful personal hygene leave lot desire . arrive disabled room , tell lot big room upper floor , find room dark , cold , noisy small . investigation lead discover plug sink , mirror bedroom use hairdryer provide ( mirror dimly light bathroom . ) complain , tell plugs sink due health saftety reason , non bedroom mirror . also find , bang ankle edge bed time , certainly not enought space wheelchair user get around room easily . interesting , consider disabled roomWhen overcame problem , discover ( joy ? ! ) try sleep . blind not keep light , double glazing not even muffle noise traffic , strange irritating clicking noise continue night interval 10 minute ( can not sleep , else count click / sheep ? ) save grace reasonable continental breakfast . thank lucky star use hotel place lie head , ready big event take part follow day . 
 Nov 6 2007 	 avoid rank break hotel cost 	 book Euston Square Hotel . first , phone not work tv not audible . say would pass phone along maintenance . tv could not turn avoid disturb neighbour . demand change room . next room absolutely filthy carpet hallway disgusting . request 4:00 wakeup call never follow : course manager around comp hotel stay sort thing . place give London bad reputation wife desire never return . avoid . 
 Aug 24 2007 	 avoid like plague 	 London hotel proverbially bad value . however one take biscuit . overprice , poky , corridor cover cheap dirty old carpet look downright sleazy . room tiny ( take two week bruise collect collide bed everytime cross room - ' m clumsy , room - disappear ) storage atrociously lack - one tiny wardrobe , chest . even chair sit . intolerably hot summer , low quality electric fan provide adequate provide ventilation . bathroom nice , caveat shower cubicle really suitable anyone size zero . plus point : room clean ( well ) daily , breakfast provide good , coffee . good wireless internet . whole , feel place suffer badly desire pack people maximum . room small , place dire need overhaul . location good - walk distance Tottenham Court Road tube station ( Euston Square ) right next door . excellent indian restaurant Drummond Street NW1 minute walk away . 
 Jul 31 2007 	 Business Hotel Prices Business Hotel Service ! 	 hotel locate North Gower Street , approximately 30 yard entrance Euston Square underground station . within walking distance Euston mainline railway station well . the outside hotel , corridor inside show lack care attention . decor look tired , strange sweaty smell hallway . the single room book EXTREMELY small , measure six foot across , approximately twelve foot long . minibar , room service . decor room pleasant appeared decorate recently . the bathroom really shower room , also incredibly small , pleasantly decorate . my big problem hotel fact market suitable business traveller , none faciltie necessary . wireless internet , room service , minibar , laundry service . fact thing aim business traveller price ! short , hotel room pleasant , remainder hotel look tired date . accomodation overprice , unsuitable business traveller . would suitable leisure traveller , time conscious , plenty cheap hotel market leisure traveller . I would return hotel . 
 Jul 30 2007 	 Decent Enough hotel 	 stay one night Euston Square Hotel . ' single executive ' room £ 84 include breakfast , bad consider London book day hand . book hotel via [ -- ] , noticed room may cost book directly hotel website . payment room take check . check quick hassle . the hotel old look building . staircase look could lick paint entrance area little shabby look room comfortable , modern look clean . the room safe , tea / coffee make facility , fan , heating tv internet access ( additional cost ) strangely hotel information give room , give breakfast time . worryingly , fire escape notice room . ' m surprised not legal requirement ! Breakfast serve FAB bar area ( dodgy name bar still .... ) . food nice bit limited choice ; cereal , ham , cheese , fruit salad , coffee juice . good feature hotel location . Euston Square underground station , 2 minute walk Euston main line station main road .... also downside get quite noisy , prepared hear station announcement etc late night early morning ! sum , ideal hotel one two night reasonable cost good location . never go win award job . 
