Crowne 	 Amazing hotel . posh pricey wonderful place brilliant view times square . 
 great short break 	 hotel ideal position visit major shopping centre , view get soon go reception door Times Square . we arrive Thursday 5.45pm trouble book queue , book break use point upgrade onto conceige room , corner room view central park distance Times square also include free breakfast save time money use conceige lounge day . the bed extremely comfortable surrounding pleasant . staff efficient parcel deliver hotel arrive keep safe . I would hesitate recommend hotel visit Crowne Plaza would hotel choice . 
 great place 	 nothing complain . great location , friendly staff . nice clean modern room . fantastic 
 fabulous staff great hotel location 	 trip surprise husband birthday , come mixed group set couple , two family child . we arrive soggy Saturday half term , greet large check queue , diminshe swiftly efficient friendly staff .Although room not ready not deter we experience action 1st ever visit NY . go walk arrive back 3.00pm queue check horrific everybody want collect thi key etc . queue dissapate , whilst wait speak lady name Vicky husband priority point , able use surprise , soon see name recognise call make 2 month early ! ! ! ! great service skill , impress even , remember bday treat , good thing ever happen upgrade we King size room overlook Times square . WOWThe hotel comfortable poeple already express view internet charge , drink food , agree , ny .. visit deli etc splash out . all staff always courteuous , helpfull excel area , request room extra pillow etc , meet expectation . I problem return home card use twice bill , apoligetic swiftly refund , thing happen everybody human . to finalise love location hotel simply brilliant , thank Leo always smile nothing much trouble , Teresa sort payment Vicky thank .. asset crowne plaza . 
 Nov 6 2009 	 terrible STAFF service ! ! ! 	 hotel fully dependant location . rudest staff ' ve ever pleasure serve . ' ve wait hour bottle water call three time ! ! charge credit card service complimentary , also nice ! would recommend location , . 
 Nov 4 2009 	 Awesome city . 	 hotel nice . good service . bartender help nearest non stop alcohol bar : hotel room great view Hudson river - hope . Nice Lobby Bar ... good - Clean Nice . 
 Nov 2 2009 	 mess - though ideal location 	 arrive hotel approx 21:00 Saturday night - busy lot family check , especially UK first weekend school holiday . we immediately tell room request ( pre - pay ) available night - high - level twin - double room would moved follow day . give standard double room 16th floor . one single rollaway put room insufficient - two kid us - request another shoehorn room - additional pillow provide despite request . provide complimentary breakfast coupon way apology , follow day , initially tell move another room 16th floor - match reserve . protest moved 41st floor . room fine view Hudson River . however , luggage , tell deliver new room go missing . take 4 phone call locate luggage - total hour delay . the hotel location good - right Times Square ( like kind thing ) - good restaurant buzzy bar . however , seem can not handle volume guest complete lack organisation really let . also ... $ 32 per person buffet breakfast ! ! ! ! ! one note ; check ( negotiation ) give $ 83 credit credit card room downgrade first night . 
 Nov 1 2009 	 something 's right 	 check room 5 minute later realize leave cellphone night table . call put touch nasty woman work security . ask check room . call back tell phone nowhere find . one week several phone call later luck recover phone . something fishy ! ! ! 
 Oct 28 2009 	 Outstanding ... well expect 	 Crowne Plaza Manhattan absolutely good choice could make . outstanding staff people work gracious welcome hotel staff ever encounter . time , arrive Bellman , Front desk staff concierge team . room exceptionally beautiful many extra comfort . would recommend want see " city " , could find well place stay . person make we feel important guest hotel . could enough we . great experience would stay repeatedly . 
 Oct 28 2009 	 great location great room 	 1st New York experience not dissapointe . negative would reception staff , maybe busy . also concierge area always queue , could not even get question . anyway would recommend . 
 Oct 24 2009 	 sure need stay Times Square ? 	 first let say hotel perfectly acceptable price pay . this hotel extremely big central hotel right times square . when plan trip NY think want stay right time square . it might great idea everyone fact . would much well stay block times square quieter neighborhood . all restaurant Times Square huge industrial factory wait hour get table . much well less busy area around corner great family run place . in case take taxi anywhere want go , stay right Times Square inconvenience benefit . stay nice neighborhood visit Times Square day would much well choice we . this hotel huge industrial hotel ( example , must always wait line able speak someone front desk matter time .. annoy already ... ) plus side , staid executive floor room well appoint ( although wc stop overflow , maintenance bring plunger within reasonable delay ) .The executive floor lounge really nice . could lite breakfast snack , people could get room take computer go watch tv . really nice lounge . note : show swimming pool photo ; microscopic fill people come every day lap ( room hotel guest pool ) . health club ok equipment room window . in - hotel dining outrageously expensive . go across street ( rather take taxi another neighborhood will pay half price well service food ) . 
 Oct 24 2009 	 love New York 	 great time shopping , hotel beautiful , service great ! ! 
 Oct 24 2009 	 Great Location - Poor Hotel 	 stay establishment September , new Crowne Plaza brand stay worldwide hotel platinum priority member . unfortuately one not meet standard Crowne Plaza similar budget hotel charge top dollar . the plus point location perfect , right bang middle Times Square everything go - sad part hotel , management staff let big style . staff rude could not careless attitude deal customer . must add staff work tip ( bellman , waiter etc ) main perfect nothing trouble . approcahe front desk almost feel though impose social gathering staff always deep conversation never try call front desk never answer put hold . our room Conceirge Class different normal room elsewhere , god know standard room like . multiple issue room check , toilet full top water , yet run water room . evident room never use long time funny odor - move maintenace man good get thing fix eventually . management tell hotel multi million dollar renovation programme do recently little evidence - bed bed uncomfortable . we use restaurant price quality , yes expect pay hotel , quality compromise . location great plenty eat house around choose from . would return hotel , chance - 's simply scratch premium charge . plan business trip hotel tourist not bother go elsewhere would advice . on check let concern know tell helpful want become one good hotel Manhattan - would say lot work ahead long way travel dream become reality ! ! 
 Oct 21 2009 	 Crowne Plaza worth money 	 book two concierge floor room request month advance room together . call week stay make sure request together four child . room together , seperate floor . much begging , put we 42nd floor king handicap double . fight get free internet key concierge room . still act like we favor . staff rude , hotel subpar 
 Oct 21 2009 	 * * stay ! do not listen bad review ! * * 	 honest person say stay Crown Plaza Hotel time Square ! could fault one bit ! stay get marry NY family member stay we . family could fault hotel either . stay 7 night , 40th floor . noise corner room face Times Square . clean room , clean sheet , clean bathroom . lift take long get . staff hotel excellent give great customer service . food seem alittle overprice do not eat hotel fab would stay ! thank Crowne Plaza make wedding special ! 
 Oct 20 2009 	 Perfect 	 right location , right level comfort , stunning view access private lounge away hustle bustle . good stay staff excellent informative . 
 Oct 18 2009 	 pleasantly surprised . Great Location Hotel . 	 stay 1 night Columbus Day weekend . surprised hotel overall appearance . good look nice lobby spacious room . use priority reward point great room 41st floor . walk could not believe contemporary nice room . location awesome . walk everywhere . really like late night activity Broadway Street . would definitely stay . 
 Oct 18 2009 	 new favorite hotel NYC ! 	 return 3 night stay ... place awesome ! choose Crowne Plaza trip mainly due 's location . number previous trip NYC ( w/ w/ kid tow ) ' ve cover stereotypical sight - see stuff ' Big Apple . ' trip theater , shopping , dining , cocktail , basically walk around enjoy city . -- -- seriously ask well location hotel . understand hotel undergone renovation five hotel nice , contemporary look feel . staff encounter stay ( everyone bell hop front desk bar ) really friendly helpful need something . nobody work act rude appear attitude whatsoever -- be almost actually * get * without hotel guest job may exist ( maybe thethe management something w/ ? ? ) . room good size -- clean plus comfortable bed nice flat screen HDTV . check ( hour early ) room ready end switch room request one away elevator , somehow end right next elevator . issue attitude , though -- switch immediately . bell hop bring luggage ask need anything else -- say tweo pillow three send almost immediately . a couple misc . note ( base previous review ) : ~I believe hotel quite full stay , however muliple ( ! ! ) time walk front desk notice small line time . ~As nice hotel , ' & quot ; uppity & quot ; / & quot ; snobbish & quot ; feel . feel price reasonable , , consider prime location.~This hotel truly heart action : theater district ; Times Square ; shopping ; resturant ; subway ; block Rockerfeller Center / NBC Radio City Music Hall . also right next Hershey store across & amp ; store . : ) ~One thing w/ Times Square yes , crowded people constantly try give brochure want go tour show , politely ignore not interste . 
 Oct 15 2009 	 Perfect location perfect holiday ! 	 mum stay lot hotel stay hotel arrive home yesterday . hotel perfect location , walk everywhere need go . sight see bus pick outside great . within walking distance .... 5th Avenue , Rockefeller Centre , Times Square , Magnolia Bakery ( Check , esp SATC fan ! ) , Central Park load load , be basically close everywhere ! hotel modern clean staff helpful friendly . already plan go back New York definately stay hotel . 
 Oct 13 2009 	 Great Hotel - Fab location can not ask 	 stay 3 night Crowne Plaza Times Square , 1 night ( last night Barclay Hotel ) Barclay cost lot stay last night special treat , wish stay Crowne Plaza whole time Barclay expensive tired comparrison mile away anywhere , staff rude , dissapointe , change room well , bathroom old thing room break iron board . stop Crowne Plaza modern stay friendly staff great location . Barclay Hotel be not recomende unless want nice reception area that s that s nice . 
 Oct 12 2009 	 Nice Surprise 	 pleasantly surprised quality hotel , customer service . also , location wonderful . much well expect New York City hotel . 
 Oct 11 2009 	 Great Hotel could get well position 	 stay honymoon great position nad would go back . price wise find teh New Yorker well Value monay .. 
 Oct 11 2009 	 avoid like plague especially want King non - smoking ... 	 partner travel New York several time month business get away go . tell stay Crown Plaza Time Square excite never stay hotel . arrive around 7:00 pm get give room key go upstairs . finally reach room discover two bed instead king . specifically ask king non - smoking . partner call front desk see could change . tell not non - smoking king could get we smoke king . put hold eventually hung wait . call back ask manager try get we smoking king say " oh sorry long those . " fall . say could change room next day say forget . beat decide order dinner . food take hour get we . steak salad . pretty good way expensive . partner order beer $ 9.00 . think ridiculous . advice avoid eat – go Ruby Foo's . so bed situation bad . partner could not fit comfortably full size bed . feel like twin bed like naughty camping trip . maid service good . maid friendly fast . room spacious room entertainment great . would not stay would advise anyone like stay . 
 Oct 11 2009 	 wow ! great hotel / room ! 	 bellman , check - in staff , room everything great . room overlook Times Square 18th floor . lovely room good amenity . every employee friendly speak . definitely stay . great location . 
 Oct 10 2009 	 perfect spot one night visit NYC ! 	 absolutely perfect place maximize quick overnight NYC ! park car arrival not see til left ! - right Times Square ! 
 Oct 10 2009 	 Great Hotel 	 stay hotel two night take cruise , great location , great hotel . we ask high floor give 43rd floor ! ! hotel door entrance times square main car entrance side street , go level ( Hershey ' shop hotel ) small hotel lobby , side . the staff good room modern clean . the location excellent . stay opportunity . 
 oct 9 2009 	 great location 	 really like hotel & amp ; plan stay next visit Manhattan . breakfast buffet include rate full buffet desire item . service concierge wait staff front desk / concierge excellent . room newly renovate great bed corner king make room . 
 oct 9 2009 	 exactly need theatre weekend . 	 nice hotel . good location secure Broadway show ticket TKTS booth . not eat breakfast restaurant , be pricey . head block half Hotel Edison . great breakfast $ 7.95 . 
 Oct 8 2009 	 could ask anything 	 go sister law hotel conference work . pleasure . clean everyone friendly . problem coffee maker ( operater error ) maintenance man come show we work . room large enough 3 people share without bump . view right times square could not actually see ball step outside . great location , walk distance theater well Rockefellar Center Empire State Building . go back New Year . 
 Oct 8 2009 	 Birthday New York 	 great hotel center action . clean quiet great bed need 2 week europe hard mattress . 
 Oct 8 2009 	 can not beat location 	 first time NYC family want good central manhattan location . can not beat crown plaza exactly . great location nice room - although bit cramp 4 . mainly desk close bed can not sit anyone walk . complain . clean . quick elevator even though 49 story . not use restaurant hotel much explore nearby - broadway show , plenty restaurant , etc . subway also close . also helpful concierge although usually line . 
 Oct 8 2009 	 Crowne Plaza ts average hotel price pay 	 stay recently daughter mother double room overlookng ts . location great . view great . hotel clean . room size average . bathroom nice size water regulator break . could not get hot water first night . call front desk send someone half hour later . say set specific spot run 10 minute get hot water . daughter take cold shower mother trouble bath next morning . learn trick , hot water . price hotel not think learn trick get hot water . compensate though free breakfast morning check - out . appreciate gesture breakfast mediocre . good item Rice Krispies fresh blueberry strawberry . would pay $ 26 - 32 list rice breakfast buffett would ben upset since free not lose anything . waiter not much serve . think need give one cup coffee juice . not come around fill cup initial serve . parking expensive use Icon parking garage 3 block 49th street save $ 90 51 hour stay . night security check room key enter escaltor . also difficult get front desk night , phone would ring ring . 
 Oct 5 2009 	 Great Location 	 return Crowne Plaza excellent hotel . go Sept. 30th - Oct. 4th , 2009 . staying give true feeling Times Square . bed comfortable , big room king size bed ( rm . 3502 ) , wonderful staff , great view . leave curtain open bright light , be part NY . hotel locate right beside Hersey 's Choc . across street & amp ; choc . lover . good part trip thant hotel win ticket Late Show David Letterman tape attend tell affair co worker , think joke Today Show . awesome trip great hotel . expensive everything else ny . well worth money want action Times Sqaure . charge extra use gym internet . 
 Oct 3 2009 	 make first NYC trip perfect ! 	 can not recommend Crowne Plaza ts highly enough ! we Brits 4 * star standard least ! probably good 's amazing Times Square / Broadway location , lucky enough get high floor room overlook Times Sqre top . staff happy accommodate request least try well find , friendly polite . everything arrival , lobby impressive efficient . never eat drink hotel can not comment , many thing outside place fit 4 day trip ! every floor great ice machine problem fridge room find . great tea / coffee machine tho easy use , make change ! room really modern obviously recently renovate right size , great bathroom , fab little safe , king bed possibly comfy bed ' ve ever sleep ! : ) central many top sight within walking distance ( not forget comfiest trainer NYC ! ) warning - Across street & amp ; ms store next door Reeces /Hersheys- test power ! ! back NY next year finger xxd 100 % stay CPTS , do not think could beat ! make first NYC trip really special ! 
 Sep 29 2009 	 Awesome - means go 	 able book 6 night Priority Club point . get corner room 35th floor overlook north west city . ' m platinum , everything comp 'd ( internet access 19.95 / day free , fitness room , 46th floor , etc ) . room great , complaint shower low water pressure almost hot water . call Disturb come . leave we message fail call back someone come back . checkout manager implored check make stay well . assure problem warm water low water pressure , could live . never try hotel bar always full evening ( be cheap ) . be right middle everything , 2 block n subway 49th bring 42nd Times Square get anywhere . next time go back city , will stay , point run : ) 
 Sep 28 2009 	 Great Hotel 	 get back home today . wife can not say enough Crowne , middle everything . stayed 27 floor face Times Square , people hotel could not helpful . light Times square shine bright . free internet would make perfect . otherwise nice hotel lot attention detail . 
 Sep 27 2009 	 Great Times Square Hotel 	 Booked CP Times Square hotwire - manage get £ 200 night room . stay 2 night ( end NYC / LA celebration trip ! ) want stay really central bit luxury end holiday . hotel great position right broadway block north TKTS booth - could see times square room ( 3205 ) cool ! ! ! get small pedestrian entrance broadway proper garage entrance round back accesible side street cab drop luggage . lobby nice staff helpful . arrive early red eye LA pre - register - chap reception helpful take board request twin room high floor . suggest come back 1 pm ( check normally start 3 pm ) room would probably ready . room lovely - big bed , comfortable nice big clean bathroom . leave little bag goody help sleep ( yes be time square inevitably equal level light noise pollution ! ) curtain clip help block light ear plug etc . , fair really not notice much noise clip curtain light go ! ! concierge also helpful - point we direction great market sunday - think 8th street fab ! Virgils BBQ great food ( meatlover adore ! ) decent meal ESPN bar ... one tip - youi want see wicked can not afford $ 126 ticket go wicked lottery - ask wicked box office ... basically draw front row seat $ 26.50 ! ! ! oh not forget pick coupon - every dollar count ! 
 Sep 25 2009 	 center City 	 great hotel location . great sight see walk around . room simple elegant . bed , comfortable . service fine . not eat anything . 
 Sep 24 2009 	 top list king hill . - new york new york 	 stay 4 night sept US open , busy period get absolute bargain simply - newyork . room spotless , nice big comfy bed , coffee maker , lcd tv , in - room safe . room face Times Square still quiet enough sleep even though 19th Floor . lobby one floor street level bar coffee shop well reception . problem stay . 4th different hotel New York far well yet . 
 Sep 23 2009 	 complaint . 	 struggle find , exactly , people complain hotel .. guess less fussy people ! great location , right middle Times Sq . room great , recently refurbish , bed one comfortable ever sleep . great HD tv good selection channel . yes food drink expensive , go Charley 's bar right next door , day happy hour get beer $ 3 select wine / cocktail $ 5.No problem staff , friendly . do not use health club can not comment , look good . I complaint hotel . reason would stay agin 5th day trip find Times Square complaint pain walk . want use subway , rather use Times Sq station , use 50th 49th St station much near do not necessitate walk Times Sq itself . other , Crowne Plaza get thumb . 
 Sep 21 2009 	 great location pricey 	 Nice hotel great fitness centre although uless priority club memeber pay $ 10 per day use it . hotel expensive especially barapert good hotel stay New York day . 
 Sep 20 2009 	 awesome location 	 hotel awesome location heart Times Square NYC . hotel recently re - do . king room adequate size . bed comfortable . bathroom small . room new carpet drape bed covering furniture appear new . disappoint cleanliness bathroom check . good thing travel Lysol wipe clean toilet seat ..... yuk . problem room . eat restaurant expensive frustrating . breakfast good service terrible . complain manager take 25 % bill compensate inconvenience . parking expensive .... $ 39 day choose stay long pay $ 32 time 2 hour check . would however stay fantastic location even though several thing care . would eat . wonderful well restaurant right outside front door . 
 Sep 20 2009 	 great hotel 	 would recermend hotel anyone , 46th floor back view river , thing walk distance eg , empire state building , top rock , right middle time square , bed r wondeerful , room clean good size , staff nice , would def stayy next time vist New York 
 Sep 16 2009 	 good choice discover NYC 	 group consist 75 people . every single one we please hotel . from moment walk lobby , check take less 2 minute . receive key card room ( one person , room ) give . room amazing ! bed dream , bathroom plain luxury . staff friendly helpful . day stay begin recognize we even make conversation . the location ideal . locate Google map , see mean . right heart city , room leave side corridor view Times Square . subway station minute away , direction . the complaint fact internet access not free . pay order use wi - fi network , use internet function 32 & quot ; tv room . also reason , 7 night key card room cancel ask replace . though everyone helpful . security would come floor open room , minute later would come back slip new card door . I can not comment breakfast , restaurant , gym facility since group not take advantage these . I guarantee pleasant stay ! 
 Sep 10 2009 	 wonderful experience ! 	 Excellent hotel ! clean comfortable . wonderful helpful staff . centrally locate site especially Times Square therater district . great lounge site . New York Health Club include great workout room pool . would definitely stay would recommend highly . possible , stay conciege tower . 
 Sep 10 2009 	 great hotel location 	 stay one night September 8 , 2009 . stay hotel Manhattan impersonal , noisy unkempt , pleasantly surprise jewel middle Times Square . stay 44 floor corner room overlook Broadway . room excellent condition , clean , wonderful bedding , amenity , chaise lounge spa - like bathroom . concierge lounge 46th floor provide snack drink throughout day , nice continental breakfast , cocktail evening . although & quot ; sell & quot ; capacity , front desk service superb clear understanding provide top notch customer service . fact , everyone doorman , security , bar restaurant , concierge lounge consistent meeting exceed customer 's need . hard find nyc.thank great , short , stay ! 
 Sep 8 2009 	 great hotel 	 Excellent hotel great staff . totally live expectation . 
 Sep 7 2009 	 great place great location 	 stay Crowne Plaza weekday go NYC Broadway Show go U.S. Open Tennis next day . great experience hotel . would definitely stay would recommend anyone . hotel locate right Times Square . room view Square , friend corner room , view Hudson river . check - in nice . deal Vanessa front desk ( Priority Club - line ) terrific . arrive 11:00 ask early check - in . unfortunately , room available , Vanessa take cell phone number promise call we soon room free . check bag downstairs ( lobby second floor ) go lunch . Vanessa call we 30 minute say could check . ( valet park car go pretty smoothly . ) lunch walk back hotel check room . room king bed . quite big - hear hotel recently refurbish look new . bed comfortable bathroom fine . room quiet staff friendly ; pretty much would expect Crowne Plaza . we eat breakfast hotel , friend really impress . waiter friendly . plenty good place eat within two minute walk . we get good rate room ( $ 219 + taxis ) contact hotel directly week ahead stay . well internet rate hotel full check . lobby nice spacious , bar plenty lounge seating . we stay number hotel around Times Square good experience ( location , price , room ) . 
 Sep 7 2009 	 great place tourist ! 	 heart NY , hotel great tourist , assume budget . room contemporary , clean comfortable . checkin / checkout take long time staff pretty stale . none less , great comfy sleep ! 
 Sep 6 2009 	 Great Hotel Location 	 recently stay US Open tennis tournament nice stay . check quick - line - room ready 12:30pm - Rooms makeover nice clean , mostly new - comfortable bed . Linen spray nice touch - Negatives newspaper , tv channel terrible tennis able see room , go bar / restaurant not even HBO . regard location lot people TQ walk block easy get around . breakfast excellent , Continential come room oatmeal , hard boil egg , muffin , bread , cereal , cold meat , salmon , 3 type granola , bagel - much well Barclay last year . staff helpful not feel cold large hotel . would definately stay . 
 Sep 3 2009 	 heart apple 	 good location fine room free internet problem luggage 
 Sep 1 2009 	 good place stay 	 arrive hotel give room 33rd floor , ask could change room view Times Square person work lobby gently acceede transfer 40th floor . negative thing time lobby completely full queue either ask something register . well nightime , call answered lobby , not know 4 5 hotel ' ve work 24 hour , especially big . well , want see pool decide go swim tell sign register , even look , not allow inn do . room excellent big decorate good taste . big LCD TV , good air conditioning system astonishing view even Empire State building vould see . bathroom also nice clean . room service also good , fast good quality . good option , especially view location . 
 Aug 31 2009 	 great location nice place ! 	 really enjoy hotel . great location super view Time Square . people nice Sunday great little market go right front hotel . bed cozy , coffee maker pod system pretty cool well . easy find staff nice . restaraunt common area decorate upscale pleasure stay ! 
