check 	 not actually stay night clift ' ve many business meeting Red Room . service always excellent & amp ; love decor ! 
 Jul 21 2009 	 good bad ugly . 	 choose Clift look fun unique 's web site . unique decor hit miss . modern funky , honestly feel like sleep nightclub . bar downstairs popular , unfortunately scene . 20 - 30 's , single , hope score would like place . serious house music play night Fridays Saturdays , credit not noisy room sixth floor . could still hear , not terrible . room- modern decor . lot mirror try make room appear large . bed basically take whole room . bed awesome sleep like baby . big plus . big minus husband take turn walk around room cause navigate around bed bit challenge . another big minus shower drain properly . call front desk within first hour upon check . immediately send someone look . draino job later , work bit well still drain slowly pretty much always inch water tub shower . Service- staff lovely attentive . complaint all . Location- pretty good far daylight concerned . lot stuff right around hotel . walgreen , bagel shop , cute diner , easy walk Union Sq . night , get bit sketchy . lot homeless people particular area , well lot people look party . walk around area night alone . live Boston , also live NYC , definitely little worried 11 pm hit . dining Tips : foodie go many great restaurant visit friend . check Town Hall good Southern inspire cuisine . yummy ! bbq shrimp app AMAZING . want lick plate . Brenda 's awesome little French / Cajun place serve one good breakfast ' ve ever feast . apparently next impossible get weekend brunch , recommend go bfast workday morning . maybe 10 table whole place . really fantastic food . miss try beignet flight ! like donut fill goodness . craving week come ! 
 Jul 16 2009 	 like kid 	 drop two child grandma & amp ; grandpa , headed weekend getaway city . check Clift , promptly take care . studio room excellent . enjoy well decorate lobby , Redwood Room load fun . location hotel great . close Fillmore theatre , Mighty Mighty Bosstones play . walk Hotel throughout Union Square , China town , North Beach , Fisherman 's wharf & amp ; back . love . 
 Jul 15 2009 	 Excellent Staff 	 two old couple book Clift Hotel Friends Family Rate . read review , expect trendy , dark , noisy , small room boutique hotel . find dark , trendy , boutique hotel great location excellent , friendly , helpful staff . room small downtown hotel old building . big complaint unpack clothe . live suitcase five night . bathroom adequate hanger door toiletry couple shelf commode . bed comforter luxurious . bother street hallway noise . gym outstanding . bar scene go lounge Sunday night drink $ $ $ $ . service excellent server friendly . desk staff , door staff , concierge helpful . can not praise enough . 
 Jul 14 2009 	 Fun hotel great bar friendly / attentive staff 	 book last minute stay get great rate . able upgrade upon check quite large room . hotel great location , excellent restaurant can't - be - miss bar . though one trendier hotel SF , staff deal extremely friendly helpful ( unlike trendy hotel ) . downside smallish ( though nicely furnish ) bathroom part & quot ; charm & quot ; vintage property . 
 Jul 9 2009 	 Awesome centrally locate Beautiful People Great Concierge 	 ' m 43 yrs old visit Clift SF NYC July 4th weekend girlfriend . give context preference , typically hang East Village Lower East Side Manhattan , enjoy drink appetizer rather heavy meal make feel fat tired . clift excellent . Clift & quot ; cool & quot ; ( would say trendy ) luxury hotel many good - look people hang . hotel dimly light . review like , bother ( akin Paramount Royalton NYC ) . Clift downtown centrally locate . clift staff suggest rent car entire stay - agree . walk entire city weekend rent car Clift Monday return SFO drive Napa Cliff Hotel Pacific . stay Deluxe King $ 215 per night - excellent rate spacious clean room nice view . elevator fast , room clean , service excellent . stock refrig good Walgreens across street . Uncrowded Starbucks also across street . staff friendly helpful , overbearing . recommend call concierge tell exactly want see - knowledgeable direct good place . not get catch map guide , call concierge . specific . want see something & quot ; funky & quot ; not embarrass say want concierge get . blast . weekend basically walk around everywhere ( Pacific Heights , North Beach , Castro , Mission , Filmore Street , Haight Ashbury etc . ) laugh way , taste cool food many drink - martini Top Mark Hotel double Mojito Sausalito ( ferry ) particularly hilarious . would skip Fisherman 's Wharf ( akin NYC Southstreet seaport China Town ( & quot ; original & quot ; seem every city visit ) , unless sort thing . enjoy Napa ride bit long honestly prefer check city site people . may shallow , winery seem . check Muir Woods like huge tree . if 5 % good time , extremely satisfied . good luck . 
 Jul 7 2009 	 excellent location view amenity 	 Clift combine sweeping view , prime location unique charm make winner . just two block Union Square , property manage meld Old World high - end seclusion modern chic sensibility . Colored - mirror elevator combine stalely redwood - panel lobby decor decadent , yet playful effect . the room spacious bright , grand view city . enormous mirror firm bed make room pleasure . window open allow city 's breeze cool deep , relax sleep . the amenity endless , concierge service extremely well - stock minibar . this hotel person enjoy luxury , enjoy modern twist . 
 Jul 4 2009 	 Alright Hotel 	 overall nice hotel . modern feel inside old world charm heritage building outside . close major shopping theatre . complaint windows wall not much sound . could everything outside hallway room . look nice place stay heart San Fran would recommend hotel . 
 Jul 2 2009 	 beware ... dissappointment 	 reservation 4 night check 6:15 follow first night ' stay . require 2 hour sleep per night hotel . bed extremely uncomfortable , brick platform would improvement . room ' window insulate street noise constant . realize Hotel web photo show bathroom sink . sink take fourth total bathroom sq . footage . hotel ice machine charge internet connection . upon check - out express discontent , clerk inform would $ 50.00 early departure fee . brief discussion fee waive . location hotel accommodate . strongly recommend stay elsewhere . 
 Jul 1 2009 	 fabulously cool serene place enjoy hot town ! 	 Partner stay Clift Gay Pride . also help set host Hospitality Suite organization . lobby first floor area stylish , mood peaceful calming appreciate give hectic schedule . service amazing , fast helpful . partner disabled staff go way every turn meet need . everyone fun friendly ; Eric Shangle make group feel welcome ! location nice walking distance Pride event . even spot celebrity hotel ! LOVED ! 
 Jun 30 2009 	 absolutely fantastic ! 	 knight spend Pride Weekend Clift Hotel . rent several room hospitality suite . find room spacious , tastefully decorate , comfortable . service impeccable . host gather approximately 40 people hospitality suite staff Clift go beyond tend need make party fabulous success ! thank , Clift Hotel , wonderful experience fantastic weekend ! 
 Jun 29 2009 	 good travel experience ' ve long time 	 everyone hotel simply amazing throughout entire weekend meeting need ensure well take care . Eric Shangle contact help we set everything we throughout weekend need anything help we tie loose end even leave hotel Monday . definitely stay Clift go back San Francisco . 
 Jun 25 2009 	 hotel darker ? 	 Clift Hotel announce one special design interior . case . daylight take lobby , bar , restaurant etc ... first floor feel dungeon . look come discover San Francisco couple day . upon arrival first thing notice not form roof arch cab could drop we . rain get poore rain luggage building . greet correctly check -in carry luggage room ourselves . the room small bathroom not worth mention . way small everything date . the good thing make we spend time street Frisco . reason incentive stay inside hotel long require . shame higher price hotel try sell something special . 
 Jun 23 2009 	 completely outstanding experience 	 moment pull front door , clift staff impress fiancee ' ... bellman , smartly dress , take complete care us car make sure know name greet we personally would leave return ... concierge team erica , jenny david get restaurant reservation , make great suggestion even get we unlost drive around ... redwood room bar amazing bar staff make wonderful cocktail ... racous nite , need know kind entertainment want experience ... stay junior king bed suite , roomy enough ( read smallish room ) great value fun view city ... one disappointment , fact wedding san jose meannt could stay sunday nite well instead need check leave wonderful well - locate , old world charm meet new world charm hotel ... back hopefully soon ... thank guy ( girl ) ! ! ! 
 Jun 23 2009 	 luxurious place stay 	 husband celebrate 31 anniversary Clift . location great thing like hotel . lobby bar nice room small comfortable . place sit read light bad . bathroom disappointing . small absolutely vanity area . place put toiletry product try get dress . would stay recommend hotel friend family . disappointing . 
 Jun 22 2009 	 great service ... 	 great time clift .. people friendly helpful .. wall could llittle thick . problem use hotwire book trip checkin use debit card put room . informed would hold $ 150 per day stay . put hold $ 1050 whole time wew . would nice know come get . 
 Jun 16 2009 	 great ! 	 great stay Clift May 2009 . staff gracious helpful . room large private . stay numerous time always fun time ! 
