Great 	 husband two teenager stay Hilton Islington November 20 - 26 . arrive hotel 10:00 a.m. room not ready 1:00 p.m. hotel staff everything possible make we feel comfortable . reserve double room husband twin room kid . son come Swansea stay twin room kid not crowded . room clean plenty room get around . question every day concierge helpful . 
 Jul 29 2009 	 Great Value 	 stay one night . convenient . comfortable . great location explore Islington offer . excellent breakfast plenty choice . superb value money get deal . 
 Jul 19 2009 	 may absolute good choice location good nevertheless . 	 take much advice trip Advisors Members finally book Hilton London Islington . choose high cost eat breakfast daily Hotel suppose lot cafe close would able get breakfast . well absolutely true . eat breakfast small cafe close every day happy . thing Islington near anything else ; well near Angel Tube Station find handy . however want go adinner/ Show take Taxis Show , wait quite long time taxi tocome call . service Hotel excellent : checking - problem ; restaurant staff helpful friendly Concierge Staff particularly Anthony exceptionally helpful . Anthony arrange Dinner / show we taxi service get to / from , also leave , transport Gatwick Airport Dot Dot Express . our experience Hilton islington good . 
 Jul 19 2009 	 close .... far 	 husband , along two sister stay Hilton London Islington first trip London . hotel great location . far enough away & quot ; touristy & quot ; area , be 5 minute walk underground ( Angel line ) . , add another 10 minute ride central London . we , also visit friend live Islington perfect location group . would recommend get oyster card London pass ( check zone buy card site zone 1 - 3 ) stay long 5/7 day . book Executive Suite / Bed & amp ; breakfast package lovely ! bed super comfortable flatscreen tv breakfast/ good - except scramble egg . strange , watery yet ( ? ? ? ) rubbery texture , everything else delicious ( especially variety sausage , bread , fruit ) .The toiletry ( Evelyn & amp ; Crabtree ) replenish daily towel . also coffee / tea maker room bottle water . excellent housekeeping excellent reception . staff accommodate extremely helpful dinner reservation book tour . , top notch service . hotel great neighborhood ton restaurant , pub shop . also fraction cheap going eat / drink shop area . spend day explore Islington remind little bit West Village NYC . mention , underground short walk bus outside take city center . wonderful time London - absolutely LOVED can not wait go back year October ! 
 Jul 15 2009 	 Nice hotel near Tube 	 Location near St. Pancears ? Eurostar stop 2 city block away . one reason hotel choose . hotel almost right across street Euston station . walk distance British Museum British Library , southern Californian less . staff excellent . helpful . give daughter candy check course make happy . room decent size . hotel able put 2 roll - a - way bed room additional charge . Room face interior courtyard nothing see . also noise . room basic , desk , iron etc . nothing special . bathroom also typical clean . hotel give we bottle water biscuit every day . breakfast good typical . make mistake 7am flight LHR . hotel able arrange car service take we reasonable price . 
 Jul 14 2009 	 Excellent value money 	 Booked hotel Londontown.com great weekend rate , include excellent buffet breakfast . first , doubtful book first visit London think maybe look central location , hotel prove perfect choice . center city summer weekend madhouse Islington location far . nice 20 minute walk British Museum want get somewhere fast Angel tube stop 3 minute walk could get anywhere center less 10 minute , even Monday rush hour ! Islington area lively full shop , bar restaurant , relax enough nice respite day city . the hotel nice , convenient , comfortable modern . room great , nice decor , big , extremely comfortable bed , everything look brand new spotlessly clean . 's worth stay Islington , everything center price bracket look straight Man House . also great view City skyline . negative say hotel not minibar room hallway little ugly . brick wall not look appealing . staff absolutely brilliant , nice gentleman check we 3 disastrous Ryanair flight , nice concierge , great breakfast buffet server nice assistant manager help retrieve forget item room safe run late flight back . everybody seem genuinely nice care stay . surely return future trip London ' ve already recomende several friend . 
 Jul 6 2009 	 wonderful 	 spending previous 10 day 3 hotel near king Cross , Hilton fabulous relief . beautiful room - twin - bed big usual . front desk helpful courteous . quiet . enjoy location Islington - 2 min . walk tube station . 
 Jun 19 2009 	 good hotel not let book mini - cab 	 warm welcome Hanna honor desk staff smiley efficient . room service offer good choice though £ 5 tray charge high . room clean quiet bed comfortable . stay 2 separate night service consistent . however ask book mini cab first stay quote front desk £ 12 Euston Road steep . Crescent Cabs driver come find let struggle case . try charge £ 14 ! second stay walk 100 yard main road black cab journey £ 8.20 . hotel great stick black cab 
 Jun 15 2009 	 absolutely ideala great hotel . 	 hotel absolutely great . great location Islington , amongst shop restaurant within 5 minute walk Angel tube . easy drive M40 / A40 lot parking available , reduce rate weekend . ( 60pence per hour ) bed one comfortable slept . room nice , airconditione . breakfast huge , grand buffet , hot cold . staff extremely pleasant , helpful , allow we check early . , really nice , weekend break . 
 May 25 2009 	 sometimes get pay 	 Normally & quot ; get pay & quot ; bargain price central London hotel might send shiver spine experience traveler . get great discount price Hilton , pretty sure be going shaft certainly not . book hotel Londontown.com come rate 65 pound per night , prepay . be astonishing ! even well pound low compare canadian dollar . credit card charge $ 125 CAD per night . Islington little away main centre London hotel block Angel tube station number bus go Upper Street right outside take anywhere might want go . location ultra convenient we arrive St. Pancras International leave Euston . hotel away street not get traffic noise either . be beside business centre maybe be good deal weekend , ' m sure . arrive 7 p.m. check straight away efficiency smile . room basic double ( queen size bed ) roomy bathroom . bright clean , decor mute tone nice lounge chair addition large desk ergonimic chair . bed comfy pillow feel like cloud . order room service first night . designate button phone not work reception take order Room Service call back confirm shortly . deliver promptly say would . buffet breakfast include prepaid rate , another bonus , wide variety choice . 
 may 8 2009 	 par 	 stay theatre visit March 2008 impressed . service check - in cold un - helpful start stay bitter note . Hilton , expect lot well room turn basic , regrettably , unlike travelodge ' ve stay in . room service painfully slow , overprice worth it . check deal sealer . greek gentleman incoherent seemingly could not understand much english language . rude , arrogant , ignorent , snappy could go on . all place really get go half - decent location restaurant Carling Academy etc bed 's pretty comfy . will find mile well London ! 
 may 6 2009 	 another great stay 	 arrive 11.30am check within 10mins include room ready we . the room clean - spacious book Hotel use hilton honours point room - nearby great selection restaurant - breakfast eat place call S / M lol must place day breakfast ( 2 full english - include toast free refill tea coffee £ 14 ) Back hotel staff check we online home flight print boarding card ( charge ) wife stay hotel 5 time - ' ve problem past none time . the hotel less 5min walk Angel tube station - lovely antique shop nearby . all another great stay ' m sure well back furture - great helpful / friendly staff.jj ..... 
 May 4 2009 	 great hotel good location - excellent deal 	 spacious room load storage different seat . large bathroom . book great deal throw breakfast arrival enormous buffet selection hot cold food bacon bagel bran flake everything inbetween ! locate 5 minute Angel tube station near really good shop , posh Islington High Street really nice restaurant pub . if get good deal will definitely stay . 
 Apr 23 2009 	 hilton islington 	 stay Hilton Islington last 2 night month UK close daughter live Islington . show delux room enter strong musty damp smell thought would put bother complain change room . spend one night room feel ill could even face breakfast . speak desk defence move we suite extremely nice greatful . staff help we move speak Housekeeper tell we smell carpet leak bath . find annoying knowing actually put we first place . leave lift smell musty mouldy . on first night dinner restaurant 3 meal order one correct 2 go back kitchen one cold describe menu replace speak manager . waiter not know menu question keep run away check pleasant apologetic normally bar staff . breakfast staff another experience stand around nothing look talk finish ask clear table mention cold tea coffee . actual breakfast buffet nice reception staff extremely helpful restaurant staff hopeless . so summing never stay . 
 Apr 7 2009 	 fantastic service 	 wife stay 3 night April 09 - every member staff nice courteous friendly -could not enough . hotel handy tube good part availabilty bus - seem could go anywhere london directly get bus outside door - great hotel ! ! 
 Mar 29 2009 	 Great Place stay 	 stay one night , four adult , 2rooms . room clean & amp ; comfortable . problem . great location , right heart Islington . def stay . 
 Mar 29 2009 	 fantastic deal central London Hotel 	 London wedding locally . got great deal Expedia . rate £ 67 B & amp ; B ( inc taxis ) standard double wife . room ( 336 ) en suite large central London standard , large bed , flat screen tv . bath shower powerful ( something say many hotel shower ) not know hotel recently decorate decor immaculate . look onto quiet Islington backstreet . breakfast nice buffet high quality produce round . staff courteous friendly . would not hesitate recommend hotel especially get deal 
 Feb 20 2009 	 one good hotel outside central London 	 regular customer Hilton Islington . outside centre London still 15 - 20 minute away tube . area around hotel good bar restaurant relax cosmopolitan area . hotel feel business hotel perfect shot visit . 
 Feb 10 2009 	 great hotel stay 	 book hotel see advert Hilton January Sale could not pleased hotel . I stay many hotel around world hotel well well stay at . location good , Angel tube station 5 min walk road . northern line one stop king cross tube / station central must route major attraction / area see London . the room lovely , clean , decor date big wide - screen telly room . breakfast include deal please buffet style breakfast offer , everything well stock . staff helpful time could not do you . overall would definately stay hotel . 
 Jan 31 2009 	 would stay 	 fiance stay Hilton Dec. 26 - 28 pleased stay . want comfortable travel , also watch budget since be save wedding month . find Hilton $ 90 / night , seem perfect . however , read review , remain cautiously optimistic . not disappoint ! front desk extremely welcome helpful . upon mention hungry , concierge offer locate restaurant map . give we run - down attraction event area . be quite bit activity street : various restaurant pub , Starbuck 's lot shopping . hotel tuck away main road , be loud night . the Angel tube station three block away hotel . station iteself convenient part city . switch line time get major part city , be manageable long be return room lot . the room nice spacious , especially compare hotel cramp european city . bed not comfortable bed ' ve slept , work . I would definitely stay , especially get rate . 
 Jan 26 2009 	 Noisy waterworks aircon - otherwise great ! 	 fantastic location , excellent facility . great price - delighted value money Hilton January sale include good breakfast . lovely staff - everyone helpful lead hassle - free stay . comfortable room free water lovely touch much appreciate . issue noisy aircon neighbours ' plumbing - noisy early morning . consider need back area - price right . 
 Jan 26 2009 	 Nice Surprise 	 ecstatic price $ 75USD accept Priceline Hilton hotel . look tripadvisor read hotel area , read overall good thing . also look rate hotel Hilton.com website astounded see go 100 pound night ; time look $ 150 usd ! stay disappoint since upon arrival find nice , hip area lot bar restaurant nice hotel . staff pleasant efficient , quick check room . room good size bathroom spacious . water pressure good housekeeping great job cleaning room . breakfast hotel , comment . bit peeved internet expensive ( like 15 pound per day ) , . go internet cafe street like 1 pound hour ; fine . get bill eat restaurant ( $ 45 usd ) ; find 2 day later Amsterdam check online purchase bill credit card . call speak manager billing department call back minute later admit ahd error issue credit adjustment . 3 day later post credit card account problem . overall , would defintely stay hotel get priceline rate ; $ 75 usd can not beat ! 
 Jan 19 2009 	 great hotel price 	 ' ve stay hotel twice . be trendy central Upper Street Islington surround nice cafe restaurant . the hotel standard Hilton always say & quot ; nothing special look & quot ; . room decent size modernly decorate . get big lcd screen , desk seat another seat . plus bed comfy . 's 2 minute Angel tube station . I get late deal £ 60 night include cook breakfast buffet . surely hotel deal UK good value moment ? ) People mention hotel nothing special outside , hate tacky vending machine , angry get smoking room . I agree get smoking room ' ve specifically request note not want one 's fine . but be still 5 star . 
 Jan 19 2009 	 hilton islington 	 fantastic stay hotel . staff extremely friendly helpful moment arrive even though pay incredibly cheap rate london hotel allocate brilliant room . breakfast buffet offer good choice well stock cook food freshly prepare . room clean toiletries tea , coffee etc replace daily . stay dozens hotels london hotel far good . 
 Jan 17 2009 	 ok chain hotel 	 hotel good location - short walk Angel Islington almost opposite Islington Green , area full bar , cafés restaurant . fairly smart comfortable modern chain hotel . large comfortable bed ( actually two single make together ) , well - equip plenty nice touch , bath well shower etc . , helpful staff , nice bar area . less impressive feeble thermostatic blower heating ( basic electric heater provide well ) level noise ( tv / voice / plumbing ) adjacent room . shower hose leak , internet access expensive ( £ 15 ) . overall comfortable place stay would not rate top five similar - price hotel central London . 
 Jan 13 2009 	 great experience 	 get room half price pleased price . room pleasant clean , reception staff friendly helpful . return room half evening find smell strongly cigarette smoke despite non - smoking room non - smoking floor . call reception tell hotel fully book would send someone air freshener . snooty verge rude porter ( despite nice ) come room foul smell spray bad smoke . night quiet , despite 1 pair adjoining room bed comfortable large flatscreen tv . unfortunately breakfast absolute mess . half staff snooty , rude unattentive . queue get restaurant 15 - 20mins give glass orange juice sit sun far long . decide go straight cook breakfast everything apart ham , cheese cereal run notice replenished staff . queue another 15 min cook breakfast chef able cope notice food get low quick enough - find surprising element would think chef Hilton could multi - task effectively apparently . chef front house could not cope ask thing time , cook egg quickly still raw - 15 people waiting point . waitress , although understand busy , simply unattentive get ask want tea coffee near finish food . eventually slice bread replenish restaurant could piece toast - item ie . pastry , waffle muffin suppose . ask waiter butter could understand word ' butter ' , basic english work breakfast shift hotel would think . bad breakfast experience hotel ever . hotel ok get good deal ie . £ 60 night . room nice , reception staff helpful breakfast appal - go 7 am forget . 
 Jan 1 2009 	 great discount rate 	 give cheap rate get Hotwire ( 100 usd / night ) , terrific bargain . well bed english hotel , large room , widescreen tv , nice location lively Islington area general comfort normally associate Hilton . negative side high price everything extra , dull unispired building ( bathroom ) un - romantic view first floor room ( face garage ) .For snack , water , soda , etc , shop across street tiny convenience store . the location great hang Islington , less fantastic general London tourism give distance sight . 
 Dec 16 2008 	 enjoyable experience 	 husband , son stay hotel 5 December two night . arrival able leave bag front desk check . unhappy first room allocate ground floor also smell smoke , ask another room , receptionist deal could pleasant give another room right away also say come back not satisifie . move room also mean set another bed son , time reach second room meet housekeeping deliver bed . room bathroom spotless breakfast something everyone . find staff really friendly approachable checking able leave luggage leave airport 6 pm . location perfect travel central London easily accessible bus tube . would heartily recommend . 
 Dec 11 2008 	 mixed feeling hotel .... 	 stay hotel 2 night , preparation flight Heathrow vacation Scotland . check late , thank delay train ( around 8:30pm ) tell give & quot ; smoking & quot ; room . apparently , room available nothing could . book hotel via Hotwire great rate , probably rate pay decide give crappy room . , first time UK maybe thing work little differently US , US would give NON smoking room unless specify otherwise . maybe UK opposite ? ' m sure . hotwire not give opportunity specify choice anyways . regardless , room reek HORRIBLY smoke , make bad , window lock shut can not even air room ! smell absolutely nauseate ! however , say hotel able switch different room next day , much well . definitely inconvenience , though , since pack bag could move another room . really think able switch new room first night .... ' ve stay many hotel complain something really bad , every case ' ve accommodate right away . the location hotel pretty good reviewer note , neighborhood plenty dining & amp ; shopping establishment , Angel tube station nearby . price pay good London , stay lovely family - run guesthouse Edinburgh treat well , place quite contrast . generic hotel hundred room sub - par customer service expect , great . , would suggest stay somewhere else . 
 Dec 4 2008 	 good option 	 get great deal howire ... less £ 50.very comfortable bed . clean bright , spacious room . easy check in / out . in part town , want ? 
 Dec 2 2008 	 fantastic choice 	 Hilton Islington meet grade . a flaw though evident though stay : * nondescript exterior , couple non - descript interior . * horrible , rock hard matresse * expensive internet access * tacky condom / snack vending machine opposite lift floor make place feel like pay - by - the - hour motel . room clean , staff pleasant enough - whole place lack much charm , soulless not even accurate job describing . would avoid , give choice . 
 Nov 12 2008 	 good choice discount rate 	 would really like give one 3 1/2 star . be really nothing exceptional hotel -- aesthetically , be probably slightly average Hilton -- be fine . the room small side ( think limit occupancy 2 per room , be right ! ) , everything reasonable condition . breakfast buffet good -- least want proper english breakfast , choice beyond level little limited ( good fresh squeeze OJ , though ) .as previous reviewer note , be 4 5 minute walk Angel tube line public transport pretty easy ( northern line best tourist , connection work fine ) . neighbor hood seem & quot ; real & quot ; & quot ; yuppified & quot ; plenty nearby restaurant -- could easily dine different restaurant day price level . the hotel seem pop frequently Islington section priceline hotwire , 's good property bid 50 pound . will happy pay price , regular non - opaque rate , hunch could probably get well value elsewhere , unless Islington specific destination London . 
 Nov 8 2008 	 okay . nothing special 	 hotel 5 min walk tube station good road various restaurant bars.the room fine , big tv comfy bed . quite basic - extra touch . do not eat drink due amount choice nearby.the staff okay friendly . ask general direction nearby area everyone ask tell jump taxi walk off.only really stay get bargain hotwire would probably give miss next time . 
 Nov 2 2008 	 Great Hotel 	 love Hilton Islington . stay two night shopping break London . nice area , lot nice restaurant bar shop , gap , fcuk , & amp ; etc . short walk Angel tube station . got early room ready , get ajoine room . bed comfy , quiet night , tea coffee facility room . staff pleasant . would stay Hilton . 
 Oct 31 2008 	 ok short stay 	 stay one night work trip . hotel average well . bed hard , room look bit date ( although nice flat - screen tv ) . would stay fact close hotel office . would stay choice , stay much nice property London price . close need , ok hotel short stay . 
 Oct 28 2008 	 good value London 	 Hilton Islington London . 4 * rate . one Night weekday stay . Hilton HHonors Gold status . a Hotel review base personal subjective opinion . what may acceptable , may , vice versa . location : excellent - right Upper St , adjacent Chapel St. Market Islington . Angel Tube station ( Northern Line ) 4 min walk . area undergone gentrification , somewhat destination dining , reflect authentic London pub / night life . lot great shopping dining option immediate area . Sainsbury 's Marks Spencer food store . everything may need within min . Direct Bus tube access Theatre land / West end shop 10 min away . safety : good 7/10 . although Big City common sense always apply . check : easy good natured . staff mostly european . property : Stakis property manage Hilton , currently undergo upgrade improvement . Lobby Restaurant area . good WiFi - Food coffee ok , overprice London . room : non smoking floor - club room upgrade bad - flat screen tv - Bed hard . internet : BT OpenZone public area ( prepaid coupon sale Concierge ) conclusion : great location base tourist activity . easy get , far enough tourist center well value . consistent budget quality city notorious overprice , sub standard accommodation . stay ? YesUS rating : solid 3.5 Star . value : good $ $ . 7/10 
 Oct 26 2008 	 Great Hotel 	 great hotel close Angel underground station huge selection restaurant bar within walk distance . despite full house find hotel quiet cosy , staff welcome helpful . large room clean nicely furbish . large buffet breakfast seve bright room reception . in general great hotel central location . 
 Oct 19 2008 	 Excellent hotel great neighborhood 	 3 - night stay Hilton Islington Priceline bid $ 80 / night ( $ 98 / night taxis fee include ) . could not happy stay . already familiar part Islington previous visit , happy stay diverse , untouristy neighborhood . Upper Street full bar , cafe restaurant type - pizza Turkish Indian . many lovely georgian terrace garden square explore , well Regent 's Canal charming antique shop Camden Passage . excellent bus route run part London right outside hotel , Angel tube station also short walk away . find easy take tube Heathrow King 's Cross , # 73 bendy bus hotel . the hotel modern well - keep . front - desk service gracious helpful , never seem queue . second floor room not view - face pleasant interior courtyard - quiet peaceful . room 's modern decor somewhat bland , everything highly functional top condition ; room seem recently renovate , carpeting furnishing look spic span . ample closet drawer space belonging . bed pristine white linen supremely comfortable . a / c work great , large flat - panel TV . business traveler would feel comfortable , light great , electrical outlet plentiful , desk excellent work space . the bathroom large spic span bedroom . outstanding water pressure temperature , plentiful towel complimentary toiletry . not try hotel restaurant , many choice right outside door . Breakfast not include Priceline deal , excellent option whether want quick coffee croissant , full cooked breakfast . Tinderbox Cafe excellent espresso drink Ottolenghi , Mediterranean deli / cafe / restaurant , outstanding choice time , day night . my stay Hilton Islington could not pleasant , hope win another Priceline deal hotel next time come London ! 
 Oct 17 2008 	 Standard Hotel - Good Location 	 room Hilton Islington quite large London stnadard . everything good condition decor furnishing drably contemporary . prefer modern design traditional decor , case Hilton Islington two standard unimginative leave impression . also like window could open fresh air - amazed give hotel four floor mostly find window open much high hotel . bed ok certainly find comfortable one many hotel today . service seem uninspired say impersonal . can not say truly unfriendly definitely also outgoing make feel welcome . breakfast dinner hotel since many great place around corner . location prime reason chose hotel . want nice neighbourhood actually frequent local tourist would recommend Islington . far West - end Angel tube station mere 5 minute walk hotel many direct bus also connect directly area London stop even close . restaurant , bar nice little shop plenty Islington within easy walk distance . I might return hotel - give choice area limit Hilton prime location Islington . hotel would probably draw back would also keep come back . 
 Sep 23 2008 	 upset service 	 stay hotel three night . choose conveniently locate Islington close Angel tube station price seem good . the hotel room small clean , although could smell smoke room . room nicely decorate particularly uncharming . staff absolutely unhelpful . arrive , ask call taxi . wait 45 min . mistake . however , tell want go order cap get cap find destination 5 min walk away hotel . the next day , want get something drink night . tell bar close get something machine 3rd floor . get machine , find operate credit card plus PIN , not . go back downstairs reception desk tell go machine 2nd floor . machine snack , nothing drink . end , go bed thirsty upset . bad thing staff seem care , send . 
 Sep 21 2008 	 great ! ! ! 	 say Islington Hilton great hotel ! ! ! ! last stay 2001 sadly time impressed fade decor , lack motivated staff bad breakfast standard .... ocassion return part large party book little worried standard time round .... need worried ! ! ! ! service flawless , staff friendly , helpful professional . room well decorate , high standard , clean , well stock facility good range electronic . room service 24hour , super fast great value . quality . bar staff excellent , professional friendly bar excellent range draught beer . breakfast superb ! ! ! ! ! breakfast staff beat , happy efficient great experience morning ! ! ! ! Buffet fruit , pastry , porridge , cheese , cold meat , juice , smoothie , yoghurt , cereal ..... ; well present , well chill clean . staff attentive pro active keep stock level , clear table generally maintain area . flawless ! ! excellent buffet cook breakfast provide Chef friendly , professional efficient . thought seem proud role friendly person happy cook guest fry egg order . observe cook breakfast meat probe temperature chef see consistent high standard 3 morning eat breakfast . reception concierge extremely friendly professional .... fault ! ! ! ! room service excellent friendly enter room disturb request . card leave ask room clean require later day , let know good time return ! ! great consideration ! ! ! ! negative thing say Islington Hilton do not decent shoeshine facility ..... apart small cloth supply room .... concierge quick offer advice local store 10 metre away could get ! overnight prior departure hotel bill pre- supply review , option express checkout slip envelope want leave fast . we check reception offer arrange taxi train station , take advantage . quality silver mercede private hire taxi arrive within 5 minute driver friendly helpful take we station quick time fare £ 3 price tube ! ! ! overall ... fantastic hotel ! ! ! ! 
 Sep 16 2008 	 great location average hotel 	 hotel great location one good area London . Islington bustle lot bar , restaurant small shop . hotel minute walk Angel tube easy find . room average size London well keep nice bathroom . hotel modern lot hotel London good range facility extremely samll restrauiant bar area . rate good lucky enough get deal . stay good hotel Islington convenient , 
 Sep 1 2008 	 great value 	 stay Hilton Islington one night mid - August 2008 . London standard room perfectly fine , price , good could expect : neutral decor spotlessly clean LCD TV . bathroom fine crabtree & amp ; evelyn toiletry . service good ; staff polite courteous . give HHonours point even though book priceline . the location great - heap restaurant cafe nearby , cinema N1 centre . bus 19 , 38 , 30 take straight west end . Islington station minute walk away . not eat Hilton - considering 's around hotel need to . if be bid Priceline 4 * hotel islington / finsbury region . get room £ 60 per night ( cheap online price £ 100 / n ) . price , incredible value . 
 Sep 1 2008 	 avoid hotel .... cheap reason ! 	 please careful , book hilton.co.uk , check travel website . Hilton UK send price without taxis / VAT . seem like bargain £ 106 , turn £ 130 ! arrive hotel midday , check unhelpful member staff ever . look like shift way long , really discourteous , start question room book . first person , see Hilton , expect welcome hotel . previously book via Hilton website , request non smoke double room . end give disabled person room smoking section . admit though room clean . would complain , due dogdy train , would late wedding . room Bed Breakfast , go Breakfast around 9.30am , host sit we dirty table , clean whilst sit table . wait cutlery crockery , happy . top , request late check , could hit store Oxford Street go home , tell available . little concerned ..... surely know request check .... disappointed . 
 Aug 30 2008 	 Nice Hotel right tube stop 	 nice hotel right subway stop . bit town , London subway system , care ? get good rate via Hilton . Staff able get we ticket Wicked , 8 row back center . great show way . everything else flawless , nice stay . 
 Aug 17 2008 	 efficient convenient 	 clean efficient check - in / check - out helpful staff . room facility would expect , brand - name toiletry , well - launder towel , really nice bathroom , widescreen LCD tv extra channel , etc . thing stop rate 5 extra internet , breakfast etc . expensive ( prohibitively IMHO ) . book Priceline price good London fo quality , not include breakfast . would recommend eat one local cafe / bakery . location fine , convenient need get - stop Northern Line ( near tube Angel around 10 minute walk ) . 
 Aug 3 2008 	 Ideal Location 	 great location usual superb Hilton breakfast . staff friendly helpful . room clean good size . Ideal go Saddlers Wells Business Design Centre . frederick restaurant Camden Passage must . 
