Nov 	 not want check ... 	 perfectly situated , reasonably price comfortable apartment ? ! ? gem . back ! 
 Oct 19 2009 	 else fantastic staff ! 	 clean , modern hotel great location , good design , good food , good bar ; well do . mark hotel other extreemly good level service member staff . attentive yet discreet attention everyone meet right , something hotel seem get right , well do Sofitel ! 
 Oct 16 2009 	 Cute Comfortable Cozy 	 hotel great location . close everything would want downtown ( shopping , eating , sight seeing , etc . ) room average term design new & amp ; extremely clean . wonderful bed . front desk staff extremely nice & amp ; helpful . lobby beautiful chic . gym small adequate ( provide complimentary refreshment , water towel gym ) . CON hotel dry piece chew gum rail one elevator refrigerator : ( 
 oct 12 2009 	 deserve # 1 	 pick hotel solely # 1 Tripadvisor . love everything . hotel perfectly locate begin Magnificent Mile , 2 block . quiet . genuine friendly staff , helpful . bed extremely comfortable , not want leave . room nicely equip super clean , include bathroom . not eat , think cereal banana $ 10 top , escpecially great restaurant area . gym top - notch . really enjoy stay . would go back heartbeat . 
 Oct 12 2009 	 great location friendly staff 	 travel weekend 1yr old spouse , great weekend trip ! location great : close shop , nice casual restaurant , easy access El cab . room great bathroom , bit small , also crib we ! son cry bit go sleep ( naps nighttime ) , leave room neighbor shock child ... wall must keep noise neighboring room minimum ! ! nice hotel bar , ! 
 Oct 11 2009 	 great hotel - even baby 	 stay trendy french hotel 2 night baby tow . intially conerned might family friendly . way . first thing notice first get incredibly friendly every staff member us - from bellman extremely professional customer service orient front desk person - ours name Steve . hotel busy stay Chicago Marathon weekend though lobby buzzing activity , service unhindered . king room 25 th floor - nice city view beautiful marble bathroom super comfy bed . huge room ok could upgrade large one ; want . request crib fridge baby sitting walk . room quiet temperature control perfect . convenience pricey room service supper first night food excellent deliver hot . also 2 breakfast cafe though pricey excellent . croissant crepe real deal wait staff friendly baby . us customer service sell we hotel would recommend . 
 Oct 10 2009 	 fabulous view great bed wonderful bathroom 	 board train Elmhurst ( local suburb ) crazy night old friend little hour Chicago . area outside main train station little ' shady ' soon cab head Sofitel Water Tower . ' ve stay location great getting . five minute Michigan Avenue & amp ; main shopping area . greet warmly door - staff & amp ; reception check we quickly wish we pleasant stay . unlike previous reviewer experience reception good ( maybe ' ve listen feedback ) ? drop case room head straight Bar one nice smell cosmopolitan 's ' ve , even Monkeyboy say smell like perfume taste great . go taste beer notice glass crack . replace apology , easy thing miss nice touch would comp beer maybe ? sit window & amp ; watch coming going include bride various guest dress finery . room great - book online request high room / good view give 28th floor smack bang front John Hancock tower ( visit 2008 -fab view room ! ) room 2810 imagine room end 10 would similar view ? ice available across hall & amp ; directly opposite stair / fire exit . Bathroom lush - great mirror & amp ; magnify mirror great apply make - up . slight grumble lighting shower not guess 's poor planning . 's adequate light main area could bit extra light . bed comfy actually buy one base previous visit sofitel . base slightly soft nevertheless linen clean , white comfortable . be bit noisy even high mainly due siren etc a / c switch interval . however always travel earplug 's issue . not hear any - one outside room point . we eat breakfast bed twice great egg benedict , along toast muffin , Monkeyboy granola , yoghurt fruit . breakfast serve huge pot coffee silver thermos stay hot fresh age . great stay , highly recommend hotel can not wait return visit point . 
 Oct 10 2009 	 great Stay Sofitel 	 spend 3 day weekend Sofitel Chicago Water Tower much enjoy . hotel modern , staff welcome location outstanding . hotel close sight since block Michigan Ave not walk pack street . be also close cta taxi queue right outside front door make convenient get around visit place outside downtown area . like wine & amp ; snack room ( like ) 's market around corner State cute bakery Delaware . the room comfortable good layout enough space 2 people . 16th floor look east real landmark view big view nice matter . amenity provide room great . enjoyed use fluffy robe slipper . disappointment bathtub shallow would consider & quot ; soak tub & quot ; . shower fantastic- great water pressure . appreciate turn service include bottle Evian . do not try restaurant room service since many wonderful place eat Chicago ! great place stay- comfortable , modern stylish . perfect location . would definitely stay . 
 oct 8 2009 	 Outstanding Luxurious ! 	 go visit daughter move Chicago . location great , accomodation service superior . bed wonderful ! would stay without hesitation ! ! treat like royalty . 
 oct 8 2009 	 great hotel - need slight improvement service 	 great location middle everything . short distance restaurant area , Hancock building , shopping , Watertower , Harbour area . very stylish triangle building . minimalistic , yet comfortable interior . one good workout room experience hotel . reception area stair second floor must - see . we Jr. suite , well equip roomy . stylish interior , comfy bed . Liked electrically control curtain / blind . bar obviously popular spot , also Chicagoans . we would rate hotel clear 5 fact service lacking . explain little : bellboy good . receptionist check we great , receptionist check we also good . room maid nice really good job . bar personell also perform really good job make we feel well take care of . what make 4 - hotel instead top score ; mediocre concierge service , slow waiter breakfast grumpy receptionist ( despite good receptionist . anyway , hotel return . 
 Oct 7 2009 	 small room large bathroom good location clean 	 return 3 night Sofitel Water Tower . think Luxury room would better standard booking . discover standard luxury except luxury upper floor . pay around $ 210/ night pay 2 get 1 free deal website . bed comfortable feather bed duvet , however , 4 pillow lumpy synthetic filler . well , especially price point . travertine tile bathroom large high end bath product , robe , slipper , loofa , terry mit , nail buffer , cotton pad , q - tip , shower cap , hairdryer etc ... small room size bathroom include king bed , desk , table one chair , iron board / iron flat screen tv . we 26th floor cell phone work well . go lobby outside full service time use phone . also claim wifi correct since could not find connection . offer complementary access 3 computer printer second floor . however , occupy conference people day . check , tell we & amp ; service not work well hotel working solution . also say e - mail advance next time visit would put we large room . ' sure would really happen since speak someone front desk day arrive see room . even though new A - club member say would need pay upgrade large room . give complementary upgrade upper level member . staff friendly , except Shae concierge make feel like bother question … isn ' job ? … .a smile would nice . Umbrellas door come handy unpredictable weather . get a+ cleanliness . overall , ' m sure would return . 
 Oct 5 2009 	 enjoy stay 	 hotel stylish , staff great , location wonderful , hard time believe hotel number one Chicago . come room decoration , styling , size ' junior suite ' leave lot desire . though bathroom spacious , shower stall hardly big enough 6 ' 1 , 175 lb frame , tub offer little relief . color scheme furniture also seem bit place . feel like episode ' Trading Spaces ' french style luxury hotel . plus furnishing start show wear . maybe get bad room , everything else hotel great . Valet gracious without snooty , front desk staff friendly give impression not wear t - shirt jean check hotel . bar cool look picture , bit puzzled would put ground floor hotel class bar top floor . the Hancock build quick stroll away Miracle Mile , plenty good eating bar area . enjoy Pippen post exploration beer Fiest lunch . think might try something else next trip Chicago , still nice place stay long weekend fun live music America 's last survive grunge rock band . 
 Sep 29 2009 	 relax enjoyable Stay 	 stay 4 night suite ( excellent rate expedia ) . room size layout excellent reservation furniture start show fair amount wear tear ( unusual Sofitel ) . locatiion convenient shopping restaurant area plentiful . Tempo Cafe next door excellent breakfast . service staff hotel first rate . quiet room usual excellent bed . paper door room coffee available , would nice . fitness centre not much . 
 Sep 29 2009 	 ( shrug shoulder ) perfectly okay 	 great location shop Michigan Ave . staff friendly enough . concierge make great recommadation dinner near Briar Street Theatre ( Blue Man Group ) . hotel perfectly ...... okay . awesome bed ......... upgrade room disappointment . 30 floor view high rise condo next . watch hung , rich guy smoke balcony tighty whitie 9 Sunday morning . pay extra money priviledge .... although hotel 's fault could not put clothe . have pay extra money internet access room . price internet , room service continental breakfast , parking ................ 410 $ ...... nice hotel ...... great amount money spend . 
 Sep 23 2009 	 Excellent Location sightseeing Chicago 	 Sofitel Water Tower Hotel Chicago certainly heart city . stay 3 night end August whilst visit friend also . pick hotel result strong positive review Trip Advisor 1 site also . it certainly nice hotel , wow expect disappointed experience . room upgrade arrival result friend chatting concierge checking cost we extra $ 100 total 3 night . end suite consist large bedroom , king bed , flat screen tv wardrobe . sit room lead bedroom double door desk , couch another flat screen tv . bathroom double sink , large shower Jacuzzi bath toilet . room nice quiet would hear lot go outside . bed definitely soft 3 night struggle back use hard bed home ! eat drink hotel stay friend collect we day spend lot time room result . we use gym two occasion , small everything might possibly need ( fresh fruit water available guest ) .my disappointment view , matter floor , see building around , look block flat could see right bedroom dine room etc , hotel fault sure hotel well view after . the staff appear friendly courteous , room service good could fault location . walk distance anywhere might want go centre Chicago . booked room directly hotel website cheap website offer hotel room . travel back Chicago would stay . 
 Sep 18 2009 	 Excellent hotel location 	 extensive internet research ( particularly trip advisor review ) assistance family live near Chicago , not worry - soon sign ecide stay Sofitel Water Tower hotel . disappointed ! extremely well appoint room comfortable bed . concierge staff helpful produce ' direction card ' upon request major Chicago site . location excellent - near enough Magnificent Mile , set back quiet area . ( minor ) complaint would lack tea / coffee make facility room . excellent breakfast available Tempo cafe virtually next hotel 
 Sep 13 2009 	 probably good business choice 	 holiday wear short sneaker feel welcome . feel pretentious business hotel . almost 3 week travel , choose hotel rating end trip style . got great rate look forward stay , room great . 3 week free internet even mediocre hotel , change charge usd 10 need go on - line , forget business trip , pay extra matter need . we book pay room breakfast advance get email confirmation . check , inform registre system . could solve problem spot could suggest we send email . problem eventually solve . feel distrust fact prove system malfunctioning , make fall uneasy . 
 Sep 12 2009 	 staffing issue let place 	 start positive : - good value quality room location , excellent short stay - room well furnish well decorate , great view high floor ( think view lower would probably also half bad ) - everything clean enough , although bath rather odd scratch sink overflow could deep clean , black stain visible bent towards whilst brushing tooth . - soap appear vegetarian ( although way know shampoo shower gel , ' good – vegetarian guest want know kind information ) - clear emergency exit sign , check fire exit find completely clear confidence place safe , smoke detector think fire suppressor ( sprinkler ) room- quiet , noise disturbance room , corridor outsidegood quality flat screen tv able accept HD television , good range channel include HD- Excellent air conditioning – could go cool without become noisy- free rapid internet / printer business centre , good quality machine screen , clean keyboard mouse- allow early check - in , room already open – think great , although obviously luck - highly professional manager sort serious problem arise stay … .so , lot go , pity report negative badly spoil visit … .A minor negative start - kettle , tea coffee – ' posh , find annoying pretentious . wake early like cup coffee dress leave face world ( include go hotel dining room ) - ' poor hotel ( generally well one ) consider common . ' ask , ' bring cafitierre kettle well hotel , give level comprehension friendliness have encounter check - in ' fancy chance ' bother ask . - minifridge can not put water , ' one spring - load thing automatically bill even move one bottle already . Annoying , note " positive " , ac good . - slightly soft bed feather mattress pillow – prefer non - animal bedding product ' option . real problem , reception concierge staff … .- check - in limp ' encounter . struggle fairly simple english surname , ' teach repeat letter speak , take long understand fairly simple surname . " " " e ? " " , Adam " " e ? " " " , .. painful , heaven help people less common surname . suspect French , A / e thing happen native french speaker French awful ' m anti - french . welcome , explanation facility ( ? leave hear fitness centre , ' tell ' aware ) , already walk away get ask question " breakfast include rate " , meet simple " " – " , buy it…….or , nice cafe nearby " , " " . , go , lucky ' question . ' like gush welcome , basic hospitality important absent . - Checking ask direction public transport airport . receptionist inform public transport available , way get airport taxi , cost " fifty buck " , could get one outside . explain prefer travel motor car / automobile ( good reason – ' like ) never big city airport ' access public transport form , train bus ( have arrive Chicago train , first visit , genuine question need answer ) . insist ' possible . said find simply incredible say would go internet machine nearby find route , point go confer colleague return nicely print direction card simple , cheap ( $ 2.25 ) quick ( 1 hour door door ) route hotel ' Hare via metro . " ' learn something " sense ' learn anything would help serve future customer , blank , limp , half - baked , ' give damn attitude ' already encounter there . I want pay cash ( give well exchange rate ) request meet though ' say something bit weird . ' pay cash american hotel , issue , person seem odd . go check okay , transfer another staff member take money . other - engagement , energy , understand transaction courteous friendly ' monosyballic no - eye - contact- get - over - with - as - soon - as - possible affair . tone throughout hotel . say , ' personally hugely excessive friendliness fakeness , staff hotel wrong side line felt ' actually understand pay guest happened pay salary time deal . may new inexperienced lacking confidence deal foreigner , case need training . get bad , although find checking . brother , ' contact cell planning check nearby hotel friend , arrange call could meet dinner – ' see long time . call hotel tell stay – actually wait room call stay , check message ! repeat surname several time ( find not know basic technique repeat letter confirm mutually understand - speak clear south England English , , be though heavily accented English could throw ) . ask would search first name , ' many people name stay . transfer front desk , simply decline search first name , sort " sorry , ' help " limp kind way , remind , tell , half - bake way originally " greet " check - in . thought ' check - in worried . meet next day track hotel via friend get meet , ' miss dinner previous evening one friend ' get see ' leave town morning . return ( collect bag concierge en route airport ) ask concierge could see duty manager ( early evening , ' expect hotel manager necessarily ) . " duty manager ? " say incredulously , ' never hear term need explain . " yes , manager duty " . " oh , appointment ? " " , complaint – need appointment make complaint ? " " " ( point guy near reception ) . appointment indeed ! absolutely second - rate impertinence . manager ' find record stay system , produce receipt explain problem – ' book , unbeknown , surname first name reverse . say sorted check - in . agree , however , ' explain staff decline search first name well second name ask brother . complain , general poor quality reception concierge service receive – one stand nearby literally gawp speak manager , poorly train understand type " audience " exacerbate difficult conversation . professional front desk staff know behave exception manager people front - desk ' clue . manager recover situation fulsome apology , , hope , understanding need sort staffing issue . make courtesy reduction bill make feel apology sincere one retrieve situation ' consider stay chain – explain ' stay accor Sofitel hotel outside US always experience good service past . ' feel actually recommend hotel moment . return Chicago next year would like stay , would want know staff situation sort . currently , staff ' know know name guest , prepared look simple list locate guest someone wish speak ; ' know ' phase someone want pay cash ; ' know part job briefly summarise available facility ; ' know provocative ask customer complaint " appointment " speak manager duty foot away ; ' know metro airport wrong insist taxi . catalogue half - bake , rude ridiculous incident involve several staff , one , think ' total culture change need – high - up person accor would consider closing place week train new staff . would repeat , however , manager professional courteous apologise error , hope suppose . 
 Sep 12 2009 	 Brilliant 	 really surprised hotel . great experience , return ! ! 
 Sep 9 2009 	 Quiet Retreat Heart everything 	 stay 4 night Sofitel , say enough good thing . read lot review lot hotel Chicago make selection , Chicago 8 year , not know quite expect . top tier 4 - star hotel . location superb : 2 block red line , 1 block Mag Mile ( ! ) , walk distance everything . Bus Boystown ( # 36 ) 1/2 block away State Street . greet late arrival friendly accommodate front desk staff happily grant request upper - floor room . lobby hotel dark soothe ; like walk calm retreat . hall guest room also darker tone . never see maid 's cart except last day , check late ; do not know . every staff member polite courteous , concierge . housekeeping excellent . get refrigerator room extra charge . bathroom spotless spacious , nice corner glass shower . extra ample storage space clothe shoe closet dresser -- unusual day ! good , room extremely quiet bed dream , picky thing . special kudo busy concierge nonetheless give knock - out direction everything need ( do not remember name , work Friday 9/5/09 late morning ) . ok , say something negative , ' gym ' size broom closet , low expectation gym hotel , par course . also , shame ' luxury ' hotel charge wireless . come ! 's pain go across street get free , . 
 Sep 8 2009 	 Elegance Style 	 stay several time , usually weekend spouse . place favorite Chicago . well appoint room , impeccable service , fantastic location . new luxury hotel Chicago ( think trump ) far good overall service . room ws high , city view - definite plus get - try breakfast french press coffee - wonderful . close many decent restaurant , Tavern Rush , Carmines name - excellent shopping . everything clean nice ammenitie . bar friendly accomodate , also elegant side - great spot start special night . 
 Sep 1 2009 	 nicely locate well appoint great staff ! 	 lucky enough take 50th birthday treat , whilst would not go far say luxury hotel ' very ' nice . well appoint tastefully decorate staff great , nothing much trouble , extremely polite . birthday lovely chocolate dessert bring room , scrumptious ! stay Superior King Size room 8th floor great view Hancock Tower , much else . within two block main shopping area , Magnificent Mile . easy find way around plenty shop , eat house nearby . not eat hotel can not comment restaurant bar area look really nice . the gym bit let , modern machine actual exercise area far small . would stay ? absolutely ! 
 Sep 1 2009 	 kinda town .. 	 Chicago amazing city- friendly NY , cheap spectacular . sofitel chain pretty impressive Chicago one great . excellent location , funky pretentious lobby , lay back casual vibe . short Ts holiday one question we ask see room key . room great although high floor would well busy weekend book late . the concierge staff extremely professional knowledgable - book we table fashionable local restaurant . we skip food hotel choice dining city amazing . good breakfast Tempo 24hr diner round corner . get early though not want queue . highlight trip include skyscraper walk , science museum Art Institute . also go Wrigleyville- catch game soak great atmosphere try good rib ever Sheffield Bar micro brewery . would never guess Chigago would many great local artisan beer offer . 
 Aug 31 2009 	 could not well 	 sometimes can not find fault hotel , even try . case Sofitel , would never stay . be sleek , modern , sophisticated hotel european touch . spend three day leisure weekend , 29th floor king room look directly Hancock Building , total cost include taxis lug $ 165 night . room average sized , well - appoint , everything work , fabulous view Chicago high - rise jungle , include snippet lake . public area wonderfully decorate . restaurant serve good breakfast , Chicago , reasonable price . staff excellent . wife break ankle several week visit crutch . staff loan we wheelchair helpful assisting . 
 Aug 31 2009 	 Excellent 	 stay 3 night July could satisfied . excellent location short walk Michigan Avenue , trendy design great service . spacious corner room highly recommend . definitely stay . 
 Aug 29 2009 	 convenient location friendly staff bed toooo soft 	 Sofitel conveniently locate couple block michigan avenue . staff polite friendly . suppose 4 star hotel would give 3.5 . not impressed decoration quality furniture . dark . find deal online overall pretty good money . however , sure would come back regular rate . problem bed . use firm mattress home bed way soft back pain . oh , room bit small like l'occitane bathroom product . 
 Aug 29 2009 	 good Choice solid Chicago Hotel 	 Dentist Denver spend great weekend Chicago Water Tower . perfect location , price good $ 177 night . decoration modern , wife rave bathroom service solid . wonderful stay . 
 Aug 29 2009 	 Decent Hotel middle Chicago 	 Great Location Chicago , minute away John Hancock center . we lake view room , even 19th floor hardly see . room clean luxurious spacey . really nice equipment room . for parking use Valet service hotel , 47 $ 24h . need car every hour use 900 North Michigan parking garage 34 $ 24h . 
 Aug 28 2009 	 Awasome Hotel ......... 	 fom moment arrive Thursday checkout day Monday , staff member Sofitel Chicago Tower make we feel special . could not pick well Hotel Chicago Celebrate boyfriend 's birthday . room absolutely incredible ultra modern luxury , spacious , spotless , great amenity , bed comfortable , gym small perfect equipment great vacation workout . special shout entire staff could accommodate . thank much make stay Chicago good would definitely stay . MM 
 Aug 26 2009 	 Great Chicago Hotel 	 stay first time month ago . highly recommend hotel . three thing look hotel travel clean room , comfortable bed , easy access surround attraction . hotel three beautiful bathroom . actually book hotel October visit normal hotel would normally stay Chicago . 
 Aug 26 2009 	 Awesome location awesome hotel 	 stay four night attend conference . hotel great spot - easy walk Michigan Ave shopping Rush St. , busy street . room spacious , well - appoint . staff friendly , fitness center , huge , well - equip clean . ' ve stay number hotel Chicago , one favorite . internet not free , $ 10 24 hour cheap business hotel , work well . 
 Aug 25 2009 	 Fabulous Accomodations 	 stay 3 night Prestige suite advertise rate $ 254.00 per night . suite beautiful spacious flat screen tv bedroom living area . bathroom large . everything immaculately clean . bed soft comfortable pillow could get pillow allergic . problem sleep hotel bed . hotel contemporary complaint couch living area comfortable reading morning paper unwind sightseeing . one meal restaurant - dinner - food excellent . get fix price dinner include dessert , leave theatre without . wait staff tell we defintely stop show would open late could dessert . 's exactly greet we warmly make we feel special imposing come back . use concierge twice , speak housekeeping , use doorman taxis many time . car one day / night Enterprise ( next door hotel ) make convenient . hotel overnight parking expensive wait car need . everyone always friendly accomodating . first stay Sofitel , last . 
 Aug 19 2009 	 excellent usual - one gripe ! 	 retire London cop holiday every 2 year wife , try much style comfort . find book suite Sofitel cheap , especially bear mind use spend $ 40 per night motel room travel kid . however return Sofitel suite hard day sightsee absolute pleasure . bed really like marshmallow . the Water Tower Suite much large New York Suite real thrill . 17 floor glass wall bit eye opener Brit . lounge large 2 couch , desk large 40 & quot ; widescreen Plasma , mini bar , footstool . bathroom wife favourite , separate bath , shower WC , glass doore inside , amenity . rang housekeeping hairdryer new one bring within 10 minute . take advice trip advisor member avoid apparently expensive hotel breakfast instead grab bagel etc nearby . use ' Tempo ' , almost next door , breakfast find ther portion big handle bit waste money average UK appetite . eat hotel last morning wish eat often , especially basket pastry . urge eat early stay , wish . buy ' go Chicago ' card least 5 day , excellent value . use italian restaurant Main St , opposite ' Chilis ' cheap magnificent . my complaint Sofitel , raise qualm list , expect pay Wi Fi even pay $ 300 per night room ! get real ! cost cup coffee could go ING Cafe across road starbuck around corner get free ! 's time premium hotel start realistic , honest left bad taste mouth take $ 300 per night , exclude breakfast , would hook service provider try another $ 7.50 per day . in conclusion room great , location excellent , use Chicago Card , walk tour architecture , visit Frank Lloyd Wiright studio tour will relish time Chicago . know would love return stay Sofitel . regardsphil KING 
 Aug 19 2009 	 good Chicago 	 service really something place ! read review decide stay not regret . overall bit pricy worth it . the restaurant great see Chef celebrety town . Pizano 's right corner great restaurant well . I will back sure ! ! ! ! 
 Aug 18 2009 	 fantastic stay 	 partner stay , people stay condo town wedding . upgrade suite receive strawberry wine , hour check ( compliment hotel ) . ellen , work front desk wonderful , well rest staff 4 night stay . everything hotel first class- almost make want write review , keep hotel : ) 
 Aug 16 2009 	 Excellent excellent excellent ! 	 stay 2 night November , great day . decor stylish throughout , room large , comfortable tastefully decorate . staff helpful location great . would definitely stay . 
 Aug 15 2009 	 Amazing ! ! 	 recently stay @ Sofitel , Chicago Watertower 06 August 2009 1 night . originally book Dana Hotel , hotel end TERRIBLE , check hotel immediately & amp ; move Sofitel . upon arrival , want see room would look like & amp ; Jeffrey Front Desk incredibly polite & amp ; offer show room -- -- Mandy also great @ front desk -- room beautiful , ( # 2816 ) slight view lake -- amazing bed , great room service , L'Occitane en Provence bath amenity , loofah tub ( hot water take couple minute get really hot , not problem ) -- -very quiet room , perfect A / c , etc . concierge ( Justin ) really great -- -super friendly ! location really great ( 5 min . walk MICHIGAN ave . shop , ton restaurant , etc . ) , people work really nice -- -- aware bad expereince Dana & amp ; cared hotel -- -even bartender nice -- -- Jeffrey front desk good , well Justin -- Jeffrey ask everything & amp ; seem concered make sure everything good -- -- lobby really cool & amp ; floral arrangement stun -- really creative & amp ; Avante Garde display ...... Great Hotel & amp ; would def . return upon next visit Chicago , amazing CITY ! ! ! ! ! Safe Travels , Best , Patrick W.NYC15th Aug . 
