perfect 	 part group 4 couple stay hotel would recommend highly . the room good size location could better less 5 min walk oxford street bond st tube station.lot restaurant within walk distance . staff hotel helpfull give we lots recommendation restaurant shop , sightseeing etc . the hotel relaxed atmosphere away hustle bustle . 
 Jun 1 2009 	 Marvellous Millenium ! 	 Booked concet London - concert cancel take trip anyway , book direct hotel online £ 136 inc vat double room . arrive check lunch book nearby restaurant . call early day request early check tell could guarantee would good . arrive 11.30 lady reception remember call explain room ready yet thought would do 15 minute want leave bag would call we . leave bag go drink bar say call 15 minute later give key - bag take we great ! request high rooom nice view book lady reception inform arrive 6th floor view square , impressed make type request internet place not agree good see hotel take note . room lovely big , large bathroom deep bath . view excellent ( although picky thing season high room mean less view cos tree full green could see square - ' m complain beautiful warning : - ) ) lobby clean spacious , hotel short walk away Bond Street Station . get taxi bag heavy hot day cost around £ 4.00.the bed really comfy iron proffesional hairdryer room ( much well silly travel one place ! ) . also clean . the reception staff lovely , along concierge helpful bag give we direction lunch . concierge reception lady speak we way back ask lunch room - lovely touch . eat lunch nearby Le Gavroche special treat , two minute away near american embassy . lunch menu great value special occasion two star michelin restaurant £ 48 6 course , half bottle wine bottle water ( au dourve , amuse bouche , first course , main , dessert , petit fours coffee ) . staff attentive Michel Roux Jnr greet diner sign menu fo we great . admit seem expensive lunch eat 1.00 keep we go till midnight ! can not comment breafast hotel cos special weekend book breakfast Gordon Ramsey 's Maze Grill accross square leave . would say really nice great value unlike lunch - full english egg benedict , juice , toast coffee come £ 36 . expect pay odd lovely however £ 4.00 glass juice find silly . the hotel location great - area not stay even though Oxford Street 5 minute away ( great shopping ! ) find location peaceful really relaxing ! take long walk around London evening find hotel great place start end this . check quick 12.00 check time suit we well . - sorry long review ! could not fault Millenium Mayfair , staff lovely , room great location ideal ! highly recommend ! 
 May 27 2009 	 love 	 book hotel last minute top secret hotel ( 99 % certain would hotel , sure enough ) get great rate room £ 99.we couple day London sight see shopping . shop well place , close Oxford St , quiet area . trip happen fall time Obama London , not realise neighbour American Embassy office , letter push door state protest plan next day square outside hotel would use 's rear door whole afternoon . we room , room first floor , japanese restaurant noisy cabby wait fare talk we , could still hear even though room double glazing . the room comfortable size , bed comfortable , bedroom bathroom clean well maintain . look hotel chain website think place look bit old fashioned need makeover , reality seem much nice fresher , maybe need update site ? 
 May 25 2009 	 Caution ! ! ! ! 	 good thing hotel location , bad everything else . the staff reception unfriendly barely polite . room ' ready almost 3.00 pm , tell wait without smile apology . apparently ' room ready hotel ! room look old stuffy . bathroom small regular wardrobe , bad still come . we ' sleep noise come seem extractor air con unit . hear customer complain , every time call tell guest complain noise ' even exist ! 2.00 ask talk duty manager appallingly rude refusing give we Millennium head office phone number , say ' want anything walk away we . I would stay hotel . Millennium Mayfair Staff ' basic customer service skill lack basic manner . would not recomment hotel anyone ! 
 Apr 15 2009 	 Brilliant ! ! ! 	 boyfriend stay December impressed go bed - bed base break mattress slip rather uncomfortable . get home , write letter complaint explain exactly wrong room number receive prompt reply back offer we complimentary stay full english breakfast . stay April birthday arrive hotel receptionist explain stay complimentary go upgrade room . long story upgrade we basic double junior suite world - sure I d impressed actually pay £ 382.00 night breakfast brilliant . living room , hallway , door bell en suite bedroom superb view park front . - 100 % make birthday impressed point would go back stay ! ! location brilliant london - 10min walk Oxford Street tube breakfast brilliant - everything choose . even have not upgrade would definitely stay - due location . staff bit unhelpfull do not understand say anyway . show get make small complaint ! 
 Apr 11 2009 	 nice pice nice position nice ! 	 attend function town see & quot ; last minute & quot ; deal hotel breakfast throw took arrive early checkin ( 12 noon ) problem room ready go it . very comfortable standard room , well appoint good space wireless keyboard tv internet access etc view grovesnor square US Embassy safe police american man marine style haircut lurk around square full show outside embassy itself . quiet night ( alcohol induce slightly ) great power shoer breakfast dissapoint . full monty helped keep go til reach late afternoon Sunday lunch . Staff restaraunt delight . Checkout smooth although tv bill page clear check reception quickly efficiently . would return sure . 
 Apr 9 2009 	 excellent location moderate cost . 	 Millenium Mayfair perfectly locate quiet Grosvenor Square american Canadian Embassies . Square dedicate American Eagle Squadron , Eisenhower Franklin Roosevelt , nice location U. S. visitor . within fast 10 - minute walk Picadilly , Hyde Park , Bond Sreet , Regent Street , Oxford Street 30 - minute walk Harrod 's . stay five day way Edinburgh , two day way back . room 523 beautiful , big bath sit area , overlook Grosvenor Square . first room bit small , comfortable big bathroom . breakfast adequate , service good . also eat Pine Bar couple evening light supper full day sightseeing food good . staff quite helpful courteous . highly recommend moderately price hotel convenient location . 
 Apr 9 2009 	 RECOMMEND 	 good thing hotel beautiful central location . bad thing hotel staff , arrogant unfriendly . ( except breakfast room staff ) . book standard room suppose 26m2 , like 10m2 . room also tired . first day come back 5 p.m. long day sightseeing find room service . complain issue also size room upgrade call & quot ; Deluxe room & quot ; . person charge rude start , eventually decide give som good customer service . day departure , ask person working & quot ; Concierge & quot ; order taxi get Paddington Station catch Heathrow Express . tell we point take train late get ticket ! would much well use hotel 's limousine service ! course absolute lie plenty ticket leave reach station . , terrible customer service expect 4 star hotel London . I would stay hotel even get upgrade well room . something bad air need something ! 
 Mar 30 2009 	 fab weekend 	 stay , book thru lastminute 's top secret hotel & amp ; positive experience , look deal 40th birthday celebration option . book via lastminute & amp ; get good 2 night deal include breakfast . arrive early , problem staff , room available - complimentary upgrade studio room . reception not confirm breakfast arrangement , full continental , not bother , ask paper & amp ; wakeup call , decline ( complimentary telegraph available morning reception breakfast room . ) staff may British , speak well English I . room clean , spacious & amp ; comfortable , sofa , chair & amp ; coffee table well usual bedroom furniture & amp ; tv . plenty hang space , include padded hangar blouse etc . also tea / coffee facility , minibar & amp ; safe . tv not work start , time come back walk , fix . bed large ( 2 single zip together , think ) , comfortable spotless linen & amp ; fluffy pillow & amp ; duvet . Bathroom HUGE . shower separate cubicle well bath , also shower attachment . shower water pressure great - one good ' ve experience . toiletry , bathrobe & amp ; slipper iwere provide room . big fluffy towel too . room quite warm - air - con control not seem effect ( could time year ? ) open window help . view not much ( sort iner courtyard file aircon box ) , not look windows.2 slight downside room:1 ) toilet flush not efficient might been2 ) tea / coffee tray alcove minibar , no - where plug kettle , whole thing - great design there . breakfast could want , bit pricey @ £ 21 ( mar ' 09 ) , fill we ' til dinner . get inclusive deal , be worth . hotel full , suspect restaurant get quite busy , breakfast service go til 10:30 Saturdays & amp ; 11 Sundays , plenty time . do not use bar occasion , be bit expensive , be celebrate ........ not use hotel restaurant ( apart Breakfast ) , menu look & amp ; sound nice & amp ; not expensive consider area be in . public area etc clean & amp ; staff pass corridor always polite . Checkout mid - day give we time leisurely breakfast . leave bag concierge go day & amp ; happy call we cab back Victoria Station ( take 5 minute , cost £ 7.00 ) .hotel great position right Grosvenor Square , mean 's really quiet , be 10 minute stroll Berkeley Square Green Park tube & amp ; 5 minute Bond Street Tube & amp ; Oxford Street Shops . we go relax celebration weekend see show & amp ; sight - see / tourist stuff , comfortable & amp ; convenient we . Internet & amp ; business facility available , not use . also pay tv , want it . we would buy oyster card , save money be plan use several bus tube day & amp ; mean not queue ticket . also use ' buy - one - get - one - free ' tourist attraction offer rail operator make attraction much cheap . all throughly enjoy stay & amp ; would definitely consider Millennium Mayfair book . 
 Mar 24 2009 	 Mediocre Millennium 	 disappoint Millennium experience would choose stay despite wonderful location . for price pay three night stay expect luxury hotel could relax feel pampered . far luxury experience . feel sort glorify motorway service station , impersonal cold , help aloof unfriendly reception staff , though concierge helpful . our room spacious enough great outlook across Grosvenor Square love room far luxurious . cold electric heater bring bedside lamp continue resist attempt cure 's fault eventually replace day two . there none little bathroom luxurie one would expect establishment charge high tariff : one soap keep move bath sink one bubble bath barely sufficient two people . two tea bag provide tea tray day ( biscuit ) request tea , two tea bag bring room ! ! despite flyer lay pillow announce tempting offer dinner restaurant informed offer end management prepare honour . dine protest . the bar dark stylish resident pianist nice one evening serve undrinkable glass wine pay £ 8 ! service care guest enjoyment certain spirit meanness dim one 's pleasure . 
 Mar 20 2009 	 stay ! ! 	 start ? bad hotel stay anywhere world ! stay two night ago still reel bad . hotel excellent location , stay , look forward stay . first room check number fault ( break shower , strange fluff bottom curtain etc . ) , change room . new ' Superior ' room move far Superior ! ! number minor fault second room , nothing could not live . ... go go bed find ' double bed ' actually two single zip together ( huge gap , really uncomfortable ) . rang front desk ask move double bed ( like booked ) , could get good night 's sleep ( , point we book good hotel ) . meet obstructive duty manager , tell we double bed leave hotel night . understand , suggest would check go Marriott hotel across square . duty manager tell we welcome , would still charge we full rate room Millennium . nearly hour debating , quote imaginary term condition , get tired go back room try sleep . suprise duty manager 's rudeness complete lack regard customer service - ask bed book , look like end much ask ! 
 Feb 18 2009 	 well locate good service reasonable price tobacco smell curtain . 	 room adequate size locate high enough bothered traffic noise . occupy room curtain smell heavily tobacco smoke . although room long designate smoking room clearly occupy smoker past curtain remove clean since become non - smoking . room keep call de - odourise curtain . noise travel high conversation guest room audible sound transferance room door slam high . service hotel excellent . room comfortable old style tv channel choose ( freeview ) . room clean reasonable desk space provide . breakfast plentiful pricey . 
 Feb 4 2009 	 Great Location 	 get great deal overnight stay Millennium Mayfair Londontown.com perfect location London weekend . room quite small absolutely fine we fact room quiet . overlook Grosvenor Square hear traffic . bed comfy although bath bit small bathroom ok . concierge helpful suggest great place breakfast want eat - Richaud 's round corner rear entrance . delightful . hotel bar price bit eye watering suppose London ... would definitely stay . 
 Jan 16 2009 	 Grand Setting ; ... 	 select stay hotel base upon input read Trip Advisor Mayfair location , arrive high expectation . guess three night experience close reviewer hotel . in newly renovate room find deadbolt door would work . fix next morning . trouser hanger closet . two button control heat room ... thermostat . new bathroom big disappointment small lighting extremely poor vanity shelf shower ( bathtub ) place bar soap bottle shampoo . first hotel soap rope make perfect sense . the hotel staff offer change room , international flight want sleep thank offer decline . regardless room one would stay , daily internet fee twenty pound obscene opinion . rate telephone call even upsetting charge twenty pound reconfirm flight call Virgin Atlantic airways ! checkout protest unreasonable telephone charge one young lady identify assistant come across rude demand speak senior management . finally see front office manager appear train deal difficult guest relation issue . the young manager explain charge base upon guideline set parent company phone number assign set hotel . would agree hotel establish telephone number Virgin Atlantic ; , charge twenty pound think nine minute local call simply outrageous . mention three number give hotel call reconfirm flight fail work appear hotel bill , well . I hate sound petty ; , hotel great location – encounter anywhere close five star rating thought would experience . money object , nothing fear stay hotel ; , quality product level service indicative five star hotel ever stay . 
 Jan 15 2009 	 Great Hotel 	 book hotel use lastminute.com , one secret hotel , hence get room £ 100 night . problem check quickly sort give £ 40 worth voucher use bar , buy 4 champagne cocktail . hotel nice well locate . room great decent sized room . would definatly stay get sort price . 
 Jan 13 2009 	 Fantastic Hotel 	 check - in check - out could fault hotel . the staff excellent . friendly professional . nothing much trouble they . the room spotless comfortable bed . the continental breakfast include substantial could English breakfast extra £ 3 - 50.the location hotel ideal get central London . 
 Jan 9 2009 	 Loved Millennium 	 Hotel lovely , concierge brilliant get we reservation lovely restaurant include Gordon Ramseys Maze restaurant ( bar seat ) . staff friendly hotel clean . room face Grosvenor Square whish lovely . definitely stay ! ! thing did'nt like restaurant hotel & quot ; Vista & quot ; find food absolutely tasteless . book hotel book meal restaurant . also get breakfast order room choice lot well go breakfast . 
 Jan 5 2009 	 location great breakfast great room great 	 location conveniently place , five minute Bond street tube absolutely load bus place . also mean shop practically doorstep . could good bad depend view course . mind surprisingly quiet Grosvenor square , totally detach hustle bustle oxford street . peaceful park square breath fresh air negotiate madding crowd around corner ! regard accommodation room distinctly shabby tired feel . sheet never get change whole week toilet seat break . little detail price pay think totally unacceptable issue . breakfast good standard service majority staff excellent . be always one eh ! would definitely recommend hotel expense issue . top tip - buy oyster card ( travel pass tube bus ) main underground ticket office . charge trip third cost ! ! ! plus swipe barrier queue ticket booth machine . even charge card electronic terminal , easy ridiculous . enjoy ! 
 Jan 3 2009 	 good hotel . excellent location 	 room comfortable beware & quot ; optional & quot ; service charge automatically add drink hotel bar . sightseeing want come back late afternoon freshen surprise find room clean even 4.30 pm ! second visit really enjoy hotel last year . however , find reception staff cold unhelpful . will think carefully go backps catch taxi Paddington Heathrow Express train , beware driver lie say service run particular time . 
 Dec 18 2008 	 great almost tranquil location center . tired room . 	 stay night fly holiday Heathrow . standard room view Grosvenor Sq . ( ask reception room view ) hotel great location center mayfair . location make even well fact MAZE GRILL Gordon Ramsey close : ) chargrille angus close always good : ) hotel room quite do not suffer noise . could sleep really well want : ) general area great nicely decorate . bar italian restaurant ( do not try ) overprice room service . breakfast 21 pound . well walk bar . true find good rate hotel around 100 pound make good choice would go quite . however feel 4 star open room . get & quot ; ticks & quot ; bathrobe , slipper , toileterie , tv , phone , interner etc . room TIRED . bathroom slightly yuck . curtain , screen bath . one sink . whole room old furniture incl bed . comfortable though . smell like antique store air . staff eastern europe . would GO , full rate . 
 Dec 12 2008 	 great hotel 	 stay two night classic double December 2008 . absolutely great . immediately , get impression modern hotel classic building . lobby wonderful tasteful christmas decoration . the room spacious , bed large comfortable , ensuite beautiful modern tile good shower . the staff nothing helpful friendly . location great Oxford Street , Bond Street , Regent street , area Mayfair Soho . the breakfast cost arond 20 pound . decide skip breakfast nearby starbuck fiver . plenty restaurant close hotel . I absolutely recommend hotel . 
 Nov 24 2008 	 Great Hotel - highly recommend 	 stay November 2008 work ( train course nearby ) . usually , work mother three small child , would never able afford time money stay hotel like , despite exhausted slightly scruffy ( compare resident ) , staff without exception friendly helpful . even company credit card bounce pre - authorisation ( wrong end date supply ! ) allow check anyway . the room huge , enough room two single bed usual furniture include desk . bathroom wonderful shower , generally nicely decorate . I use room service meal , since spend evening study , food absolutely wonderful . restaurant downstair , food available Pine Bar , find room service prompt polite , friendly helpful . continental breakfast include room rate , although upgrade full english day ( day day basis prefer - upgrade £ 3.50 ) . Continental consist cereal , fruit juice , many different type sweet pastry bread / roll , selection cold meat , houmous , taramasalata , olive , salad , yoghurt , fruit , tea coffee . full English add pancake , scramble egg , bean , sausage , hash brown , bacon , mushroom tomato . tell , impressed breakfast evening meal : - ) either ' ve up standard response previous post , perhaps poster catch bad day . £ 21.50 quite lot breakfast ' m guess breakfast include deal anyway . my room rate special deal negotiate work , idea would available elsewhere . £ 141 per night include unlimited internet access continental breakfast . think superb value money . notice public rate list wall something like £ 350 per room per night , think room would rarely book rate . couple group stay time - one look like business people like tourist , suspect would get lot business way . I see hotel five star hotel . little thing not bother , light ceiling room - two floor lamp desk lamp , one floor lamp not work , room slightly dim evening , although bright enough study use computer . tv reception not crystal clear Channel 5 , although perfectly watchable . however happy stay would hesitation recommend anyone want stay part London business pleasure . 
