pleasant 	 stay hotel Thanksgiving holiday surprise please ! hotel accomodation great . room comfortable king bed & amp ; sleep like baby ! continental breakfast great ! hotel bar great ! will stay hotel ! location ! ws fabulous ! 
 Nice Budget Hotel 	 town Macy 's Parade select hotel base fact good deal could find . selection criterion . look clean , simple room , . husband stay every hotel price range imaginable , trip , try stay cheap , know would never room . room clean small . NYC hotel small , brace . bed comfy bathroom clean . lobby area nice provide complimentary breakfast coffee , juice , bagel , do - nut . location great explore subway around corner one block . complaint AC bang roar night ( even , yes , know , be true ) . let front desk know , polite , nothing fix . strange window unti banging , never hear neighbor street . staff polite , old exactly & quot ; hip & quot ; cool place eat drink . advice . would probably stay , personally fan neighborhood close Times Square , many visitor , location perfect . 
 great value 	 travel NY often business stay many nice hotel ( Palace , Plaza , etc ) , bit worried one . travel mother , want spend lot , review choice TripAdvisor , pick Hotel Times Square . must admit good choice value - minded traveler . relatively quiet block 46th 5th 6th avenue -- close 5th Avenue shopping east theater west . would caution guest avoid room east side hotel next several month , however , big construction project start lot next door . room face 46th street noise minimal ( NY ) . hear nothing wall either . the room small normal ny . room clean bathroom newly remodel plenty shelf space nice enough towel . problem hot water . bed comfortable sheet soft , albeit rather thin . blanket bedspread ok , likely area watch newness redesign start fade . the room always warm , often hot fact , sleep AC low make temp perfect well block street noise . the breakfast room downstairs ' m sure elevator low level . doorman , help luggage get taxi . lobby nice computer guest use . my complaint vend machine not work newspaper available purchase hotel 
 Nov 4 2009 	 horrible : refund even explain son discover terminal disease 	 24 hour , policy state , 20 hour , call cancel reservation , child diagnose terminal disease hour , Friday . reservation Saturday . this answer manager , request refund , doctor 's letter : -- -- -- -- -- -- -Dear Mr. , sorry delay request creditthe no - show charge room leave vacant & amp ; clean hadheld room good faith . sorry -- -- -- -- -- -- -I never go , make every effort possible damage image , not deserve business . ' m frequent traveller cancel reservation , less important excuse , never response like . want give kind people job , know business be throw money . 
 Oct 30 2009 	 top hotel tourist . 	 stay start end trip NYC , New England Canada decide hotel base good TA review . well confirm positive review . hotel need NYC . 's well locate close Times Square , Rockefeller Centre subway . first room back hotel view quiet . room small difficult open suitcase - wifey suitcase two half need floor space average billard table able open . stand suitcase double walk - in - robe ! decor tastefully do pointed wifey know thing . want know many cable channel . tariff reasonable ( NYC ) value money . knew do well rest people stay modest tourist type like business man see - even one try save travel allowance . also much English spoken sound like eastern european language wonder get word hotel . the breakfast include well run . on return NYC stay front hotel much large room good view small park opposite . make sure ask non - smoking room both . my gripe . lift ( elevator ) back make pinging noise every floor lift ( elevator ) feel like german U - Boat ping Royal Navy destroyer . kill pinger ? 
 Oct 29 2009 	 Super stay great location 	 Booked hotel use Tripadvisor due location good review . in city spectacularly rude people hotel miraculously find set friendly , efficient , eager please staff . room good sized clean , breakfast fine start day well . great location , couple minute walk Times Square ( relatively ) quiet street . would hesitate stay . 
 Oct 26 2009 	 third time 's charm ! 	 3rd time stay hotel since 2006 . long Super 8 , pleasantly surprised delighted see extensive renovation new management accomplish . room nice sufficient purpose . staff kind considerate . wish continental breakfast area ( update decor plenty space ) open early 7 , aside , great value ! ! ! ! good bagel : ) gladly tip attendant hard work guy breakfast room , well courteous . definitely book hotel . location plus well . 
 Oct 25 2009 	 bed worth price alone . 	 back weekend stay , begin rave ... BEDS . far comfortable bed pillow ever experience . stay family suite plenty space thing . large , flat screened tv pleasant surprise , teen - ager love I - Pod dock . room decorate prettily soothe sage green , dark wood furniture , love come long day city . bottom - line , brand spank newness room make stay here . second , hotel , clean . room spotless . say loved room ? good . third : location . 46th btw 5 & amp ; 6th , hotel smack middle everything . travel city prime location problem . especially grateful bus go Fifth rainy fall night - stop right 46th hotel time . Believe , love location night . fourth : concern take care immediately : pillow bring minute , etc . the rest quibble deal breaker : elevator miniscule wait . still , small full hotel , could bad . check early avoid long line desk area , small get crowd super fast . breakfast offer appeal . coffee look horribly weak , doughnut sugary sweet , . preference , other seem like . skip . still , thing well - stock , clean , store well . front desk help could cracked smile often . still , look past weak coffee , apathetic front desk people even Barbie - sized elevator heavenly bed pretty family suite . 's big thing matter , hotel cover . 
 Oct 24 2009 	 great hotel location 	 would definitely stay Hotel Times Square . love location . nice room price . room nicely decorate clean . can not beat price . bed comfortable . 
 oct 22 2009 	 place NYC . 	 on - line booking fear unknown quite stressful come spend money day . go place recommendation base prior name location . 's newly renovate . PLEASANTLY SURPRISED ! great place ! book 2 - room family suite 10th floor . perfect location basic need . great time long weekend . saw site walk almost 9 mile total weekend . great time we . staff friendly , continental breakfast sufficient , see glow Time Square step away far enough sleep peacefully night . look haystack hotel . great little place stay . AAA discount , well . discount parking available block away . 
 Oct 21 2009 	 recommend 	 recommend anyone stay hotel , unless want wake middle night find large rat rummage luggage chase round room try escape . the good news though hotel advise employ exterminator service help try control situation . happy hunting , shall back check progress . 
 Oct 16 2009 	 Perfect Hotel ! Book ! 	 Months searching reasonably price Hotel near Times Square settle one . very good Price - Easy Book online even get email reminder trip . we arrive via Carmel Cars ( highly recommended ) [ -- ] book online - $ 57 Newark . arrive 1 pm give Cards room staright away 3rd floor . room KING room Bed massive - room absolutely spotless desk 40 & quot ; Plasma many channel choose - safe extra charge Iron ironing board . bathroom great - Shower Super - also alarm clock bedroom ipod dock.turning leave Hotel 3 minute walk 5th Avenue turn right 5 minute ( ) walk Times Square . safe night walk street round here . breakfast 7.30am - 10 am never completely full get seat problem - Breakfast consist Yoghurts , Doughnuts ( great selection ) cornflake , Frosties , Bran Flakes , Bread & amp ; Bagels ( Toaster ) Jam , Cheese , Butter , Bananas , Apples , Orange Juice , tea , coffee - excellent start day . there free use 2 computer Reception Lounge Printeres available next . also free wi - fi throughout building bring laptop - good book Broadway show via Broadwaybox.xom via internet collect ticket theatre saving upto 50 % - could queue tkts time square will age ! .We check Hotel 12 , clock bag store without problem later afternoon . I search age decent Hotel fussy - get great value money super base stay Heart New York . ! ! Book . 
 Oct 14 2009 	 Happy - good find ! 	 wife & amp ; stay 6 night begin October 7 Happy , especially price $ 200 . excellent TripAdvisor review mostly accurate . however , clarification regard reviewer ' negative comment . first , hotel 1.5 block Times Square . remember east - west block Manhattan much long north - south block . may seem long 1.5 block , technically length . regardless , be easy , enjoyable walk Times Square , point interest Rockefeller Center , Theaters , Diamond District , 5th Avenue shopping , etc . GREAT LOCATION ! second , people really seem hung & quot ; glass door & quot ; bathroom . not worry - 's big deal . door frost texture ( see picture attach review ) . , see silhouette someone bathroom unless person right tight door . be room person , neither feel uncomfortable see person 's silhouette . door actually modern attractive . third , breakfast room adequate size , breakfast good , wonderful feature duplicate NY hotel . reviewer complain breakfast basic room small . well , be scoop : ample supply fresh , high quality banana , apple , cereal , oatmeal , bagel , english muffin , bread / toast , donut , chill yogurt , chill juice , hot coffee , tea . full - time attendant working bun deserve every dollar & quot ; tip bowl & quot ; counter . look like folk appreciate nice attendant wonderful breakfast feature , tip bowl always fairly full . never wait place sit , even though hotel busy . even fairly crowd , table turn quickly one wait minute two . Fourth - sure wait anywhere 1 - 15 minute free internet service lobby busy time , time pick less busy time day walk right one two unoccupied computer . print boarding pass , confirm reservation , read email , etc ease . nice service . plus wireless connection room work flawlessly Ipod Touch . fifth , two elevator actually quite fast . service except one tie housekeeping ( big load certain , short , time day . 12th floor wait 5 minute twice six day . we large , nice room king - size bed ( extra cost book couple month early ) . bed comfortable , flat screen tv great , room quiet clean . interior room ( view ) still think great room . sure minor rough spot hotel , real complaint . note thing less & quot ; perfect & quot ; , would list : front desk staff somewhat inconsistent - nice , efficient professional much less professional ( one guy particular ) . one concierge staff friendly helpful look though torture work guest look information . guest room hallway door automatically close not adjust cushion properly . every door close bang sometimes alarm middle night . overall , minor issue . we return hotel sure highly recommend traveler . hope review photo help . 
 Oct 13 2009 	 Excellent hotel 	 daughter ( 24 ) stay 3 night hotel Oct. 7 , 2009 please . nice lobby , clean room good mattress , bathroom well equip . adequate breakfast . location perfect - centrally noisy ( hard find NYC ) .Can certainly recommend hotel would stay . 
 Oct 12 2009 	 amazing location nice people . 	 location really excelent , even hanven´t New York . 2 minute walk Times Square one minute walk Fifth Avenue . room smal , especially double , good tv , clean bathroom great bed . people hotel nice honest . great stay - return NY will back ! 
 Oct 10 2009 	 convenient good value 	 sister stay one night New York go US Open . hotel convenient subway , take we directly flush Meadows . seem pretty well locate go Broadway sight seeing adventure . one reception clerk check time line . go slowly , primarily one guest problem . clerk seem little fluster , remain professional . room clean newly remodel . loud outside , start 5 am . shower head heavenly . adequate continental breakfast provide . would definitely stay . 
 oct 9 2009 	 great location highly reccommende ! 	 great service whole 2 day . front desk people nice . able buy tour bus ticket hotel helpful patient lady service desk . include basic breakfast bagel , cereal doughnut . two room clean small expect . spot hotel need minor repair touch - up , overall nice clean . location great . two short block Times Square 1 block 5th Ave . think noisy night ( although husband not notice ) , might well room not overlook street . great experience good price find area weekend . would definitely reccommend ! 
 Oct 8 2009 	 's remodel will go back year year ! 	 love hotel ! lobby modern beautiful . room perfect size two we ; update , clean , quite comfortable . staff professional helpful , although problem need attend . enjoy generous continental breakfast newly remodel spacious breakfast area . location , close Times Square , Rockefeller Center , Fifth Avenue , subway , always important we , could not ask convenient spot . 's great value money . travel NYC every fall , definitely go back Hotel Times Square ! 
 Oct 6 2009 	 great stay 	 4th time ' ve stay hotel definitely good visit renovation finally finish . room 9th floor ; room decorate nicely quite large - could accommodate 2 cot addition 2 queen bed . room quiet ( dot 7:00 a.m. morning construction outside begin ) ; bed comfortable ; housekeep great job . breakfast room enlarge organize much well past . breakfast offer basic : bagel , toast , yoghurt , fruit oatmeal , nice extra include price . foyer lobby update lot couch flat screen around , addition 2 computer free internet access . young lady organize ticket , etc . helpful lobby . elevator slow , particularly peak time , big deal . can not beat location hotel receive reasonable rate . definitely continue book hotel future . 
 Sep 29 2009 	 perfect ! ! ! ! 	 spend 4 night say could not happy . twin queen bed room spacious well maintain . House keep service excellent friendly . breakfast downstairs vey good , nice fresh doughnut bagel , butter keep mini fridge [ great touch ] .somebody think customer service . my mild negative room coffee weak need two pack make one good cup please let us china cups saucer instead styrotex . this future base anytime ' m Manhattan . 
 Sep 29 2009 	 Best deal NYC ! 	 absolutely nothing bad say hotel . service great 24/7 . arrive early could not go room let we check take baggage we store come back . front desk concierge always friendly always go way help way could . the lobby hotel update modern . two computer could use guest time lot seating area . fitness room huge breakfast room downstairs - continental breakfast really well do nice inclusion already affordable hotel . compare hotel class / price range , room huge - two double bed , desk w/ chair , flat screen tv perch fair sized chest drawer , arm chair , full sized closet , air condition four piece private bath . read people complain bathroom door frosted glass . go girlfriend test - could not see glass unless lean try ! ! also free local call alarm MP3 / iPod compatibility , nice get ready go hit town ! everything new CLEAN ! ! room do everyday receive full linen change fresh towel . four pillow bed extra blanket closet . the location awesome . 's 5th 6th , little close 6th . take we less 5 minute walk middle Times Square . one block busy part , not find loud ( mind , 10th floor ) . little bar hotel super small , great service , atmosphere , super cheap martini ! definitely worth stop drink two head elsewhere . I would definitely stay hotel recommend anyone listen . disappointed . 
 Sep 28 2009 	 excellent value - great location 	 friend stay 5 day vacation early September . hallway tiny , room spacious NY standard , comfortable , importanly , clean . good ( free ) continental breakfast friendly staff . great location ... easy walk distance Time Square , Rockefeller Center , Grand Central Station major attraction close major subway line . two friend travel limited budget , excellent hotel ... highly recommend . 
 Sep 28 2009 	 nice CLEAN new furniture . good price x location . 	 Perfect location , great price , decent breakfast . room clean , coffee machine , brand new tv , good tv channel , good lamp . 
 Sep 27 2009 	 great location- return 	 stay many NYC hotel different location far well walk door heart & quot ; tourist & quot ; section city . room clean breakfast area lobby , negative room bathroom windown open middle building . would well never open windown see . also , nice bar site , staff unfriendly offer local entertainment food suggestion . breakfast standard cold cereal bagel , nothing not expect . overall , clean update hotel would stay cost . also- stay near subway go directly yankee stadium . 
 Sep 24 2009 	 real gem 	 exhaustive internet search month plan hotel reccommende co - worker 1 week trip ny . great location , room clean , friendly / helpful staff , quiet comfy bed ( quiet comfy sleep miss breakfast every morning ! ) . surprised spacious room read tiny room NY hotel . arrive 1:00 expect store luggage room ready us storage day departure great not wheel luggage around street . nice surprise across street , beautiful park tribute 9/11 victim ( touching ) quiet oasis get away hustle bustle street . happy stumble upon hotel last minute . glad stay right Times Square originally plan . definately would reccomend anyone ! thank make stay enjoyable comfortable ! 
 Sep 17 2009 	 Old Reliable ... 	 like hotel Super 8 . room clean staff helpful . despite fact problem heater cold day January , supply space heater work fine within minute . can not beat price location . would definitely recommend continue stay future . fact , stay Hotel Times Square next month . 
 Sep 17 2009 	 good location 	 stay hotel great location Times Square . free internet pc 's lobby . room quite small give cost sufficient.the problem wass bed lonen appear change move . stay one night can not comment long stays.continental breakfast morning mediocre . overall expensive quality room service . 
 Sep 9 2009 	 Great Place stay ! 	 OMG Let tell visit NY stay Times Hotel — from moment check left-4 day and3 night staff friendly help we way . room clean love room extra space . Texas bit concerned security - no need well . would defiantly recommend Times Hotel make trip ny . 
 Sep 9 2009 	 Nice hotel good location value mediocre breakfast slow elevator 	 stay Labor Day . nice , well - maintain , fairly new hotel good location near Times Square . great value $ 153 night , think , though advertise queen bed small full . main drawback slow elevator mediocre breakfast ( free , be hard complain much ) . room small well decorate maintain - very clean . friendly staff . 
 Sep 8 2009 	 problem usual 	 stay many time year . keep go back since solid hotel NYC - clean room , good service , great location , breakfast fitness room . 
 Sep 7 2009 	 good hotel decent price good location 	 travel 1 Y.O baby , initially get really small room , suitcase , baby stuff everything else , hop around thing get bathroom ... next day ask switch room immediately transfer substantially big room . the room nice clean , service get quick helpful . there 2 elevator one work half time , though not usually seem problem . two computer free internet access lobby , lot privacy 's quick free . the breakfast good , contain fruit ( apple Bananas ) cereal , different kind bun , cheese jam etc , coffee , donut , juice . location great , two minute walk ( one block ) times square close subway . 
 Sep 5 2009 	 great except one minor glitch 	 stay Hotel Times Square one night . arrive early morning , & quot ; check & quot ; 9:00am . give room assignment , put bag storage , obviously room key . return hotel 9 pm night . retrieve bag get key , head room . 3rd floor section service old - fashioned service style elevator , elevator operator . kid think really fun . room small otherwise fine . bed around 10:30 . 10:45pm husband hear someone try enter room . jump bed . throw door lock / latch . look family . apparently give room , complete newly code room key . surprised , suppose . call desk let know family way back . obviously next morning room key long work . momentary panic / surprise think someone break room be , excellent stay great value location . parking rate beat either . 
 Sep 3 2009 	 great location clean 	 service time check time check exceptional . room clean arrive spacious NYC hotel . date flat screen tv nice bathroom . bathroom small people , nice . mind size use small bathroom . odd though door glass , weird stay daughter . hotel offer free continental breakfast , bagel , cereal , juice , coffee . need start day , free NYC really great deal . rate chep . less $ 500 3 nite stay , US Open . location well . short walk Times Square , Rockefeller Center , 5th Avenue shopping . close Grand Central , far Penn Station come city . subway close . small park across street , make nice feeling well . plenty place eat well , taste budget . the good thing Hotel @ Times Square location . nite finished Times Square . feel safe neighborhood . the thing like least view . none . window look fire escape building . , would deterr go back . great stay . 
 Sep 1 2009 	 Clean Quiet Convenient reasonable 	 exhaustive search ( almost border obsessive ! ) , find Apple Core site finally decide Hotel Times Square . third day trip stay , say extremely pleased hotel . think 's tiny bit stretch call boutique hotel , definitely live current reputation pleasant , clean extremely convenient hotel . room 11th floor nice quiet , bed luxuriously comfortable ( comfortable fact ' ve miss free breakfast far ' ve sleep late ! ) , room perfectly clean every day , free wi - fi real bonus . small problem bathtub drain working , within 10 minute fix . efficient . the one downside ( note previous reviewer well ) give plastic styrofoam cup room . also read breakfast serve disposable plate plastic utensil well . andenvironmental standpoint , think 's extremely wasteful hope management seriously look provide real cup , dish , cutlery soon possible . addition , truly try promote boutique hotel , reason cut tacky wasteful disposable . drawback mind otherwise pretty great reasonably price hotel ! 
 Aug 23 2009 	 Location amenity make great value NYC 	 reserve hotel internet , pleasantly surprised arrive . everything look new clean . party stay two room . room slightly large , amenity ( tv , wireless internet , alarm clock IPod dock , desk chair , nice en suite facility ) . ordinary continental breakfast timesaver , location allow we walk theatre district , shopping , restaurant . give discount AARP AAA member . could please , return future . 
 Aug 21 2009 	 Nice Hotel near Times Square 	 husband stay hotel last 2 day trip NYC . stay Ramada Eastside hotel , also part Apple Core chain hotel . want stay hustle bustle Times Square , decide give hotel try , since 'd good experience Ramada . overall , Apple Core hotel pretty much . room renovate offer amenity hotel . write detailed review Ramada Eastside , read want information . there specific thing hotel different Ramada Eastside . staff Ramada Eastside personable , whereas one Hotel little less interested guest . breakfast room hotel pack morning ... lot tourist stay family ... may wait find table place sit eat . also , be loud hotel , location . free wifi lot slow , computer downstairs always occupy . overall , 's busy hotel , amenity would find another Apple Core hotel . 
 Aug 19 2009 	 Location location location ! ! - service standard bit low terrible consierge service 	 travel stay hotel = : 29 / female ; partner : 30 / male ; father 64 / malemy boyfriend take father one many trip NYC . choose particular hotel father health problem walk far distance . NYC , problematic course pedestrian city . promise hotel good hotel stay Dad trip closet hotel everything ( tourist sight ) tourist hear want see . mere couple block Father Duffy Square Times Square , right middle theatre district ( mere block show go see ) .Upon arrival , yes also fellow could speak word english , friendly enough . also provide little & quot ; welcome & quot ; package small thing might need forgotton ( toothbrush , toothpaste , tylenol , etc ) . nice touch . also complimentary continental breakfast serve every morning . fitness centre high speed interent include well boutique main floor . room standard sized ( stay 2 bedroom double bed room ) . incredibly small , overly large . comfortable enough . issue television work arrive require extra pillow , call front desk service . take long time rectify problem get pillow honest , bit put service standard . clean room nice see extra soap , shampoo conditioner ( know party three ) .The consierge look summer student really care much job . ask could get ticket Billy Elliot , tell & quot ; box office & quot ; . duh . know , sell usually consierge help sort thing . hopeless definitely helpful . the Hotel right beside Dress Barn , lady , lot dress shopping ! stay Pride Parade going simply block street , convienient . a negative comment ( besides horrible consierge ) would one two elevator service , wait long time elevator . time take stair ( 6th floor ) .In general , would stay base location . awesome location ! , rate boyfriend find decent rate $ 160 first 3 night $ 180 last two night . bad great location . would stay .... suggest rely consierge anything . 
 Aug 11 2009 	 aware 	 give one price cheap hotel reserve , 159 , , upon check , try charge 200 , , , , show NON english speak man woman printout , , still do not honor rate , charge 3 dollar give online , , get home check card , charge 65 dollar , , call say would call back , 4 hour later , tell charge case watch movie make phone call . like & quot ; know check that . & quot ; say credit 4 5 day , wait see . frustrating , becuase make wonder credit card info . dishonest . never stay . close time square say , , , 6 block , worth stay . never thank check check , never tell hotel amenity . never tell buffet , fitness room , must think mind reader . consegierge , send we wrong way location need . 
 Aug 10 2009 	 good thing location ! easy get everywhere 	 spend 6 day child age 15 13 . book non - smoking suite -- two bedroom . one King bed Queen . yes , bathroom door bit see - thru . HahaWe find hotel great choice . Located Midtown , easy get everywhere NYC , yet actual street ( & quot ; Little Brazil & quot ; ) quite quiet . room small , clean . bed pillow awesome . not plan spend much time room , size not bother we . hotel locate charming , old building , build like rock thick wall . hear noise even though room locate near elevator . the continental breakfast moderate , suitable : cold cereal , toast , bagel , doughnut , coffee , juice , fruit yogurt . definitely good value . 
 Aug 7 2009 	 nice excellent value ! 	 hi ! want contribute good overviews place . read ton review Tripadvisor finally book Hotel Times Sq . stay 10 day begin May 2009 . key thing share great location visitor , clean room friendly staff . would say place luxury , nice clean nothing disturb annoying . pleasant impression place would definitely recommend people come see city stay hotel long . however , admit often one two elevator work , one two pc free internet access lobby work , breakfast everyday . believe crucial money pay . 
 Aug 5 2009 	 ... little bit heaven .... 	 sure nice come home Hotel @ Times Square every night , adventurous , shopping sight seeing day New York ! everything read review pretty accurate , enjoy everything hotel , even bathroom door . may already read , bathroom door pretty see , clear crystal stripe middle . remedy , take hanger closet , take bath towel clip lengthwise hung hook door . Viola ' .... problem fix ! find place stay New York , nothing compare little piece heaven , great location price , Hotel @ Times Square ! ! ! 
 Aug 4 2009 	 excellent value clean CLOSE everything quiet area 	 hotel great . worked family . room huge , clean bright . morning breakfast great way start day . staff excellent . look price hotel , think place dump charging . happy say wrong . place great . 1 - 1/2 block time square . 1/2 block 5th ave shopping . work great wife , 2 kid 7 13 year old . really like could get away mobs crowd times square . right across hotel nice plaza relax , good pizza slice next plaza 45th st . call Little Italy Pizza . get calamari pizza slice , regret . stay 3 night happy hotel central location site , shopping , theater , restaurant subway right around corner . stay nice , large hotel room true five star , price value get , five star stay book . back place stay , hope get popular , raise price room . 
 Aug 1 2009 	 Nice Accommodations Great Location Excellent Value 	 return 4 night Hotel Times Square . wonderful find ! hotel West 46th street 5th 6th Avenues . easy walk Grand Central , Rockefeller Plaza , Times Square Subway / Metro stop . hotel stay include reasonable breakfast ( hot cold cereal , fruit , yogurt , roll , milk , coffee , hot chocolate , juice . breakfast area pleasant , well maintain , goodly amount seating . room king size bed spacious NYC standard . a / c work fine . hotel recently refurbish . front desk staff courteous helpful . daily newspaper include free WiFi access room . computer printer access lobby print boarding pass check email not bring laptop . hotel also cozy bar / lounge serve reasonably price wine , beer , cocktail . restaurant hotel , many , many choose immediate vicinity . pleased choice would stay ( say ) & quot ; New York Minute ! & quot ; 
 Aug 1 2009 	 wonderful NYC theatre district find . 	 wife travel Baltimore NYC time year theatre always lookout good deal hotel theatre district . book Quikbook website phone toll - free number . recently spend three night Hotel Times Square certainly return . recently renovate . decor upbeat . room adequate size , good bed clean . Buffet breakfast include . free phone call room free computer access lobby . seem owner make special effort provide cost - conscious visitor really need good experience . downside concierge service . 
 Jul 27 2009 	 clean pleasant facility reasonable price great location . 	 ' ve stay hotel twice , certainly go back . room clean well maintain , continental breakfast ( include room price ) quite satisfactory offer newly remodel , pleasant breakfast room . staff welcome accommodate . location , couple block Times Square short walk ( even suitcase ! ) Grand Central Station , could not well . literally walk everywhere go -- museum , shopping , Circle Cruise , Central Park , theater , great restaurant . bring car , discount parking available across street . be picky , highly recommend Hotel Times Square . 
 Jul 27 2009 	 good keep Secret NYC 	 Booked property base review read . price great ! price actually drop make online reservation , make call adjust immediately . room new , clean huge big enough . staff friendly , lobby area nice , free computer great ( wait sometimes long ) free breakfast sufficient definately save we money . block TImes Square , step away 5th avenue Rockefeller Center . subway ( BDF ) around corner . live NY 30 year first trip back 15 year . could find well deal online hotel . 165.00 night well keep secret NYC . would highly recommend would stay heartbeat ! 
 Jul 27 2009 	 good keep Secret NYC 	 Booked property base review read . price great ! price actually drop make online reservation , make call adjust immediately . room new , clean huge big enough . staff friendly , lobby area nice , free computer great ( wait sometimes long ) free breakfast sufficient definately save we money . block TImes Square , step away 5th avenue Rockefeller Center . subway ( BDF ) around corner . live NY 30 year first trip back 15 year . could find well deal online hotel . 165.00 night well keep secret NYC . would highly recommend would stay heartbeat ! 
 Jul 27 2009 	 Awesome value ! good service clean room knowledgeable staff 	 great experience . staff friendly , knowledgeable . helpful help we plan outing variety NYC attraction . explain subway alternative route enhance experience . be sure show AAA discount card -- check ! computer / internet use include . computer available lobby WIFI room . breakfast crowd . not wait 10:00.i highly recommend hotel . great value - excellent location . 
 Jul 26 2009 	 pleasant surprise ! 	 book hotel 's resonable price 's location . pleased arrive . hotel look recently renovate location awesome . one block 5th Ave two block Times Square ! serve continental breakfast every morning . staff friendly accomondating . AAA discount even give we discount long term parking . first place book ever return Big Apple ! 
