great 	 third stay London past 12 month continue excellent . Book & quot ; Vista Suite & quot ; get room separate , generously proportion sit area bay window big curve sofa sit read New York Times coffee spectacular view Central Park ( river high enough floor ) . really believe room great value consider size / cost option mid town hotel standard . located couple block park , shop 5th avenue , carnegie hall half block Moma , ideal position long weekend NYC . feel like private apartment . new boutique ( hip ) hotel may eclipse London & quot ; cool factor & quot ; , hotel offer good looking , functional , immaculately clean room ( still smell brand new never smoke ) , quiet . get old want hear thump hotel bar 3:00am London pleasantly peaceful . restaurant food good , especially breakfast selection . gym well equip free WiFi . concierge department helpful doorman remain touch edgy . , go wrong choose London . 
 Oct 8 2009 	 Beautiful Hotel Midtown 	 hotel staff wonderful weekend stay October . room spacious , clean , update hip . concierge service outstanding helpful booking last minute dinner reservation . would also recommend make reservation high tea little bit London NYC . definitely back recommend hotel friend . 
 Oct 6 2009 	 Great hotel 	 room nice . double headed shower - awesome . famous Chef Ramsey restaurant inside also pretty cool 
 Oct 5 2009 	 LONDON SUCKS 	 mess room reservation , give unwanted wake call 3 am , charge minibar item never get ! ! apology .... people front desk rude inconsiderate ! 
 oct 4 2009 	 top place 	 special place , advertise Centurion magazine perk attract new clientele . I treat polite professional manner throughout 5 day spend , Front Desk Manager really go extra mile give two friend travel wonderful experience . lock two end room 2 suite interconnect door . you complain price New York , not really massive difference area . one thing always appeal guest dress little even breakfast , case - classy . the breakfast buffet thing would expect Ramsay restaurant believe . the location pretty dead perfect , block Times Square , not get see foot - traffic pass hotel nice . proximity Central Park shopping 5th Avenue , Hells Kitchen round corner . when go , sudden snowstorm 1st March - never forget experience NY carpet fresh white snow - wish plane ground could stay another day .... shame beautiful memory . take punt go hotel - disappointed . enjoy ! 
 Sep 30 2009 	 stay 	 stay UN General Assembly week least expensive Amex Platinum property could find . impressed room hotel general . great location . staff breakfast great food ok since brkfst include complain . check London make future plan NYC & gt ; 
 Sep 30 2009 	 great room great location . 	 stay daughter 7 night . room huge city standard , beautifully furnish immaculate . staff check friendly helpful staff encounter stay . location could not well everyone else say , walk minute Central Park , Times Square ( though would ' m sure ) 6th 7th Avenues excellent shopaholic . the Gordon Ramsay Restaurant provide superb dining experience last night staff delightful . would recommend London unreservedly . 
 Sep 28 2009 	 Great Hotel ... 	 let start say great time hotel . stay 6 7 time , enjoy time . perhaps good stay . , check time come , rate increase total $ 600 4 night . speak assistant manager say since do not confirmation email , & quot ; nothing & quot ; could ( course know every one reading could & quot ; discount & quot ; rate would want . ) next time print keep confirmation email . overall great hotel would book high price . 
 Sep 28 2009 	 new NYC favourite 	 well , usual disclaimer ; 150 night hotel across globe year , Holiday Inn Express Four Seasons . member every top tier hotel loyalty programme , noise phobic , hygiene obsess damn fussy . I get NYC 5 - 6 time year past 15 year . start Pierre , move Plaza Athenee ten year ago discover Ritz Carlton Central Park . in - between , must do every 5 - Star NYC hotel , include St Regis , Peninsula , Mandarin Oriental Trump . , know talking come NYC hotel . I try book RC , UN Week full , head London , recommend equally fussy traveller . well , wow . try find fault , try pick place apart . read every bad review could look bad thing . ' find single thing wrong . fact , delighted suggest may fine hotel NYC.Ok , ' get clubby Hamptons - Wall Street exclusivity Ritz Peninsula , painful trendiness Soho House Tribeca Grand . ' also different planet pack stack Hilton Sheraton even Parker road . the location perfect . Central Park-5mins . Times Sq / braodway-10min . 5th av-5min . downtown-20min . favourite Deli , Carniege-2mins . the door staff great , concierge full self importance ( find anything else New York City ) , front desk attentive every one come across friendly efficient . I set test arrive ; quick come pick shirt press arrive , fast bring foam pillow , clean bed . well , record time first two spotless last . I 52nd floor face park . ' office block opposite would well view Manhattan - but get Washington Bridge one side Triboro , fair amount park below . the room / suite fantastic . large two RC ' room put together . like contemporary , guy nail . simple , unpretentious functional . great working desk , super large table , lovely rock chair , load storage fantastic bed . seriously great bed . bathroom nice , double shower - but would like bath . all technology work effortlessly love free internet two laptop . most importantly noise . sound upstairs next door , shut door bedroom area , nothing hallway . never sleep silent hotel room middle world ' noisiest city . simply mind - blowing . I even phone manager say great hotel London . feel slight betrayal RC , sorry guy go leave chintzy exclusivity Hampton set , new home New York . you would insane stay anywhere else . 
 Sep 24 2009 	 will back- great value 	 great value NYC luxury hotel . normally stay Mandarin Oriental , find London NYC great value half price . room London much large , two room suite fact really luxury compare hotel room size city . nice separate bedroom sitting room . maze great restaurant plenty within couple block . would stay . 
 Sep 20 2009 	 Best NYC 	 Loved stay London . keep come back hotel . great service , big beautiful room & amp ; bath , wonderful top notch restaurant , chaos Time Square Central Park ... block away , great location ! would definately stay & amp ; bring friend . 2bedroom suite awesome stay another couple child also . really need give London NYC try ... glad ! 
 Sep 16 2009 	 home home NYC 	 stay many top hotel NYC London far away favourite . room huge reception area , living room , bedroom , closet area massive shower room . room abound stylish convenient touch powered drape , dim light , flat screen tv 's , complimentary internet . furniture stylish never expense function . choice two shower effective heating / cooling . cleanliness never concern crisp sheet hint dust anywhere . always positive experience staff find Hotel conveniently locate midtown . gripe around room service minibar price high side even NY hey , order room service NY ! colleague often opt stay W opinion , London different league altogether deliver style substance truly make guest feel welcome . 
 Sep 14 2009 	 great stay London 	 stay London 3 night Labor day weekend celebrate little girl 's birthday . hotel everything expect . stay 32nd floor London Suite . huge compare hotel room residential apartment Manhattan . use live NYC really appreciate size suite . great living area hang kid . able put son 's roll away bed . bedroom great king size bed . good part suite huge bathroom double shower . kid get kick . room super clean modern . one typical stuffy , traditional room like hotel area . really like modern furniture design . everything look new clean key happy stay . since use live NYC , not use much service hotel . can not provide input concierge service , room service etc . location super close many subway . would come back stay recommend hotel friend visit NYC . 
 Sep 14 2009 	 Best . hotel . ever . 	 hotel fantastic . ' ve stay lot hotel safely say favourite . typically room NYC quite tiny . Shoebox tiny . room regular rate room spacious , small foyer , living room , separate bedroom large , spa - like bathroom . room clean , fact living room hardwood floor rather carpeting make huge difference . carpeting gross . hotel quite new therefore inexpensive , relative NYC hotel . chic ... 's boutique hotel high style . location fantastic . 15 minute walk action Broadway . 5 minute walk David Letterman 's studio . absolute no - brainer new default hotel NYC . ' m thrilled find . one complaint , would astronomical price Wolfgang Puck restaurant . husband quick 5 minute breakfast ( bowl berry bread , etc . buffet ) cost we usd $ 60 . next time take 2 minute walk Au Bon Pain . 
 Sep 13 2009 	 amazing hotel amazing location ! 	 stay London NYC 5 night think make absolute good choice accommodation . book expedia get excellent rate fabulous property . accommodation suite bedroom living area huge ! beautiful glass tile bathroom double shower - room single shower bathtub . service excellent - coffee room morning arrive quickly . problem open minibar send someone remedy . front desk concierge staff also helpful . ...... location - could not well ! 2 block Central Park right 6th 7th Ave everything doorstep . walk shopping , restaurant , theatre , Central Park sightseeing , subway stop around we depend want go . would highly recommend hotel ! 
 Sep 8 2009 	 pleasant surprise 	 lucke choose London . room comfortable , clean , nicely appoint modern furnishing . location unbeatable . unexpected gift birthdays special touch . food Gordon Ramsey 's restaurant delectable . thing worth money room - service breakfast — way expensive get . overall , would recommend place friend , family , everyone else . contact one customer service rep , Julie Andrews , stay tell anything need . be great ! 
 Sep 7 2009 	 Excellent upscale play stay city 	 room modern comfortable . concierge helpful . parking negative . 
 Sep 4 2009 	 spacious room extraordinary service Nice decor 	 choose London personal trip August base review state room much large midtown location . husband arrive multitude bag valet quick get bell cart , whisk away next time see everything room . check quick efficient , notice make request high floor honor it . the room spacious hotel price range . high end boutique hotel well furnise tiny room , entry way , sit area could closed frech door , small workspace next window , large king size bed , closet area bath huge well . want note closet area completely open , space we hang item . miss chest shelf put away small item . room one see right elevator , give location , wonder perhaps room might different layout . closet design small issue though , really appreciate space spread almost feel like small apartment rather hotel room . room also large window lot light . furnish shade light blue pleasant boutique yet homey vibe . bed big , well make comfortable linen . the bathroom great shower lot space walk around , though like closet perplexed lack counterspace hook hang towel , bathrobe . flat screen tv sit sleep area well free Wifi make convenient entertainment . service impeccable , friendly without intrusive . clientele seem mostly european . midtown location convenient fifth ave shopping , close park etc . I get sample ware famous Ramsey restaurant , though spend time bar really great cocktail . husband comment feel like London rather New York inside hotel ! use fitness center yoga one day , spacious good high end machine . unfortunately trip cut short abruptly leave hurry . call 10 , let know would come noon check . extremely gracious checkout fact despite fact pack 2 pm , charge extra day . leave item concierge pick small issue able locate ask . however , diligently follow via e - mail , ensure find keep package ready pick up . in , think Hotel desrve extreamely high rating service spaciousneess . like room layout lot . free wifi welcome . feel could think little storage : closet usage bathroom . minor want plusse far outweight minus hotel . I would definitly stay would highly recommend family really appreciate extra space . great value money . friendly efficient service cherry top ! 
 Sep 3 2009 	 exceptional experience stay London 	 suite give we London beautiful , spacious service outstanding . we dine Gordon Ramsey 's restaurant food service excellent willmake point stay London Hotel next visit NYC 
 Aug 31 2009 	 good hotel great location area need improvement 	 hotel really suit Business traveller . brother law travel NYC alot start stay . planning trip NYC wiyth mother never decide splash little . feedback hotel good much deliberation book room ( suite ) .the plus point : GREAT location - locate 54th street - ideally locate good attractionsgreat breakfast - nice selection cater taste . breakfast service also good take place MAZE ( gordon ramsay restaurant ) GREAT ROOMS . clean , spacious new york . need room two bed get . room well equip comfort technically business traveller . bathroom huge also - although need - combine shower . lot storage room . GREAT Concierge staff . JARED Ritchie assist great deal brilliant . helpful . dealing Jared Ritchie . guy helpful nothing much trouble . wan na get club restaurant hard get - guy work wonder . - real deal Conceirge ! bar nice chill drink . certainly get certain standard clientele . the GYM excellent . get late techno gym equipment . spacious well equippednegative points1 . BBC world service TV2 . check great tell front office manager assure go word . do not serve Anna . wise good helpful.3 . breakfast bill arrive early breakfast . - whole breakfast package good.other point : hotel offer complimentary car take 20 block . north south hotel . mean 74th street far 34th street . never get tell checkin process door man tell different story regard far car ( use 1st come 1st serve basis ) could take , get annoy told want go take . like . iuf stay worth note .... part package . look car number plate call GOLD 5 - hotel comp car ... would go back ? - Business . suit family . need two bed room , great hotel . room mention great size stay nice hotel ( * e.g . ROYALTON room small comparison ) suit family opinion . Hilton think would well choice area . service receive give 3 star - otherwise would 5.the important thing mother enjoy stay trip.b luck ! 
 Aug 25 2009 	 Perfect 25th Anniversary Stay 	 return lovely stay Vista suite London . upon enter suite 38th floor , see 2 dozen rose . husband contact concierge arrange delivery quite pleased quality price . living room bedroom view Central Park . room scrupulously clean keep throughout stay . love clean , modern , yet warm , decor . memorable dinner maze Gordon Ramsay , well delightful afternoon tea . London Bar quiet refuge afternoon drink ( delicious mojito ! ) food expensive high quality . rate pay ( $ 339 - 389 per night ) feel receive excellent value . 
 Aug 23 2009 	 great location great room friendly staff . 	 spend weekend New York friend Wisconsin . pick London recommendation friend special summer rate . disappointed . staff attentive friendly - starting greeting doorman . room quite large New York standard - enjoy stay look forward return London . 
 Aug 20 2009 	 Great Hotel 	 New York wedding shopping . hotel ideally locate , walk distance thing want . check - in give lot choice option room , accommodate early check - in happily . room spotless , large , comfortable . throughout stay find staff helpful pleasant . definitely stay next time NYC . 
 Aug 18 2009 	 New York well ! 	 sister stay London past weekend recommendation friend go NYC every 2 month . rave London disappointed . cleanliness love wood floor immaculate comfortor bed . staff make we feel like royalty . thing miss 2 comfy chair front huge window overlook city ( instead leather cover bench ) . love London ! 
 Aug 17 2009 	 Suite Luxury Midtown Manhattan 	 spend two night suite hotel part round world vacation . book American Express Fine Hotels & amp ; resort programme additional amenity include rate . check reasonably efficient tell corner room .... cool think . arrive room clear corner fact corner ! query reception claim corner room .... must see come ! actual room fine planning spend time gaze window request change . the room tastefully decorate nice bay window lounge room couch ( footprint , suggest housekeeping rather design ) cool light fitting . desk ( complimentary internet ) good size although chair comfortable . nice big bed great pillow next room well separate walk robe . bathroom marble / granite although room shower . nice amenity towel also present . I trouble tv bedroom work rectify next day . room certainly show dent scratch even though relatviely new . also odd tea coffee make facility room - almost standard day even hotel less star one . breakfast include serve Gordon Ramsay Restaurant ground floor . nice set Continental Selection little meagre price ( pay ) . little could also choose menu food pretty good . also take advantage include & quot ; amenity & quot ; high tea restaurant . great selection traditional english afternoon tea delight serve tiered tray range tea . the staff restaurant efficient friendly . the location excellent ( 54th 6th 7th ) certainly walk distance many place city . overall comfortable pleasant stay . would certainly wish stay . 
 Aug 15 2009 	 well locate hotel New York 	 love London -- let count way . may well favorite hotel New York . 500 square foot suite wonderful . space spread , room move -- divine . bed fabulous , comfortable end long day . also thoroughly enjoy huge bathroom . enough room two three people shower ! woman traveler late twenty , find hotel perfect combination luxury , comfort cool . go appetizer drink , maze buzz activity . service quick efficient , food outstanding , drink tasty . like hotel always sense life . never see lobby empty , feel crowded . ideal mix action calm . also , location can not beat . ' ve hear London know well - locate hotel New York , see . be minute away theater , Central Park , shopping , fabulous restaurant -- everything could possibly want Midtown five ten minute away ! absolutely love . 
 Aug 13 2009 	 Excellent Customer Service 	 book reservation hotel end find low rate another site . accord good rate guarantee website , would match low rate deduct additional 20 % . call number list unable reach anyone call hotel directly first able anything . finally reach Front Desk Agent name Angel ( aptly name ) personally take upon help get good rate deduction reservation . go lot red tape hotel pleasant helpful . speak management charge authorize discount put . really appreciate effort get a+++ customer service ! 
 Aug 12 2009 	 Native New Yorker - Best Hotel Experience Years 	 return NYC family weekend . hotel came recommend exceed expectation . plenty staff - helpful genuinely care comfort . room large comfortable . love double shower comfy bed . location great - right near subway , restaurant midtown . hope price not go much- can not wait return . 
 Aug 12 2009 	 London NYC disappoint return visit 	 stay London NYC two year ago return weekend . feel room well maintain . love suite much space city hotel room often cramp . fortunate get weekend rate consider true bargain . front desk rest staff polite efficient . ( use concierge service . ) workout room well - equip attractive . love location , walk theater , shopping , Central Park . definitely hotel choice visit New York . 
 Aug 11 2009 	 Great Hotel Great Value 	 stay Feb 2008 . 2 room suite . large clean room . pay $ 300 / night 3 night . great service , great location . stay . 
 Aug 10 2009 	 Wonderful Hotel 	 stay London NYC 4 night brilliant experience . our two bedroom / two bathroom suite spacious well equip . having book ' what hotel.com ' continental breakfast throw four lovely breakfast bar area . staff extremely helpful always greet guest smile comment . we eat maze food service high standard . there great ' buzzy ' atmosphere restaurant . we would definitely stay recommend highly enough . 
 Aug 8 2009 	 like luxury apartment ! 	 husband travel NYC 10th anniversary stay London 7 night . gorgeous room perfect location midtown , convenient part city walk , subway , bus , car . get great deal booking package AAA ( use Travelocity ) . suite like apartment - spacious living room large flat screen tv connect french door large bedroom comfortable bed another mount flat screen . bathroom like spa huge double shower , one side Rainmaker shower head perfect end day trek around city . ( know wash city end day ! ) hotel concierge extremely helpful week . hotel also complementary car give ride location 30th 70th street available . pleasant surprise . ride subway go , pick line near hotel . would stay heartbeat enthusiastically recommend visit city ! 
 Aug 7 2009 	 Fantastic 	 new favorite hotel NY . service outstanding ( rarity NY ) . Room tastefully decorate spacious . highly recommend . 
 Aug 7 2009 	 well good 	 stay London Hotel would rate hotel well ever stay at . the warmth attentiveness staff make feel home . could acccomodate , especially manager Elvi go way make sure everything need ! Everytime walk , every employee smile , ask anything need . the room spotless amd comfort bed well mine home . lastly , location throw anything everything . I extremely fussy , believe , hotel rate Best . this place stay ! 
 Aug 4 2009 	 Fabulous 	 love stay @ London . room beautiful , clean wonderful view . bed linen high quality well comfortable . hotel great location . delicious dinner recommend conceirge . staff could not professional courteous . look forward next visit ! 
 Aug 4 2009 	 absolutely amazing hotel- quirk ! 	 husband stay London NYC 3 night 10th wedding anniversary . lot help book concierge go get . arrive long flight curtly tell receptionist room not ready . disappointing reception suppose really special occasion . help 2 hour clean . come back 2 hour later meet well reception - show around room . room large clean beautifully decorate - really special . evening opt dinner serve we room rather eat restaurant . truly brilliant - fantastic service , food world . next day hotel send bottle complimentary champagne room wish we happy anniversary ! stay thing go wrong - one night get lock bedroom - catch locked shut trap . phone within 2 minute engineer break side . next day shower break - phone someone fix within 3 minute . fantastic service , although breakage shame ! last night eat bar food bit disappointing service slow . brilliant place stay - generally service good - would recommend email time hand book stuff know arrive , especially 's special occasion . room large view fantastic . modern contemporary feel . nice pillow comfy bed ! free Wi - fi room also work well skype home . 
 Aug 1 2009 	 good Hotel NYC ! ! ! 	 stay every hotel New York London NYC far good hotel ! ! ! staff super friendly beyond helpful . room amazing money - extremely large always clean ! 
 Jul 31 2009 	 avoid hotel 	 service truly awful . initially assign room disabled person without notice . ask switch room , give small room 20 floor , smell like mold minibar fill moldy food prior occupant . when demand new room , duty manager show door security guard tell leave hotel unhappy room failure front desk personnel properly respond complaint . contact general manager , receive response . the hotel poorly run well maintain . room dirty . lobby loud crowd , without seating , line guest wait check - in , baggage cart place . elevator smell like marijuana . would describe luxury property . staff management need train adult supervision . I check early . avoid hotel . 
 Jul 30 2009 	 hotel peak year ago 	 really like hotel 's location , large reasonably price suite part staff excellent , room hotel start get wear . mine downright dirty , several unclean surface ( e.g . finger print ) . carpet bit fray hardwood floor scratch scuff . want work computer find tiny desk chair back rather difficult purpose . bar restaurant excellent come room service , portion small price charge . use recommend hotel enthusiastically , feel much ambivalent . 
 Jul 30 2009 	 Amazing ! 	 first visit London NYC friend recommend try could impressed ! moment arrive , courteous staff make we feel right home . room beautiful , large luxurious use stay NYC . let make clear luxurious hotel suite staff could friendlier make feel like nothing ever bother . room service pricey great food . gym one good hotel gym late equipment never busy clean . back . 
 Jul 29 2009 	 simply well 	 upon arrival hotel greet wonderful staff ! door man welcome make feel though family friend . come rotate door whirl beautiful contemporary Lobby . grand stature beautiful expect . website picture not beauty justice . checked greet Elvi , whose smile could melt iceberg . welcome we hotel making feel though important person there . while bag take room sit bar Gordon Ramsay 's Maze . sleek new look really make one feel though truly arrive . Elvi know Gordon Ramsay favorite celeb chef ( Mother tell ) kind enough take tour Gordon Ramsay 's Kitchen . amazing ! although Chef ramsay still really amazing experience . point take dinning area Elvi telling would dine evening . surprise mother plan . really look forward . finish bar drink head back room . beautiful . view fantastic ! decor room modern , although huge fan modern look really beautiful . room 10 min realize something right bathroom . call front desk explain please . immediately Hotel send someone take care issue . assign another room provide & quot ; be sorry & quot ; gift . really pleased dealt . argument excuse , take care make sure stay pleasant one . that evening go Gordon Ramsay 's restaurant fine dinning experience . service impeccable ! wine specialist helpful help we select wine perfect evening . food excellent , decide 7 course meal . course delectable next . Chef Ramsay may real hard head food beyond imagination . thing disappoint meal charge $ 11 bottle water . spend kind money fine restaurant would think water would little reasonable . end meal come around candy tray . kind sweet indulgence . sure take want one , favorite sponge toffee . the Hotel close time square , make easy take nice walk fabulous dinner . also within walk distance central park day time pleasure carriage ride escape nature middle NYC . door man always ready wait need take cab anywhere little far walk . concierge fantastic . want go Caroline 's see comedian play one evening . go online find ticket site say sell . well hotel sure get we seat . pleasurable evening . great location hotel mother able walk back hotel feel safe secure . I can not say enough hotel . definitely back ! ! staff truly amazing would recommend hotel anyone want relax , high class vacation heart NYC . make feel though important person NYC . 
 Jul 27 2009 	 careful 	 many way great hotel . - stay 3 4 time realise , coincidence always extra item slip onto bill , unexpected $ 170 take credit card concierge ' ve check out . I ' m happy pay transparent charge , realise time tough hotel industry , will not tolerate kind petty thieving . 
 Jul 27 2009 	 strive Mediocrity ? 	 absolutely beautiful Hotel ! order Breakfast room wonderful ! breakfast cost $ 120 , hey , 's way top notch hotel NYC , right . come back suite shopping room clean nicely , except , breakfast dish , coffe cup , etc . still right table leave . call front desk suggest put dish , etc . hallway . say ok first call back ask maybe could send someone get . think good idea that . that evening concierge suggest restaurant barge East River . call car service friend recommend take we dinner . car service say contract hotel must go hotel . . cost $ 108 15 minute ride Restaurant . 's fine , except get restaurant , literally trash blow front door place desert . call car back 5 minute leave we tell driver would call hotel pay want come get we take we somewhere else . get cab instead take we great place Little Italy . I relate problem concierge duty return . said & quot ; sorry bad experience & quot ; would & quot ; take care & quot ; . check young lady ask stay say good . explained said & quot ; sorry bad experience & quot ; . pay $ 99 night , would not big deal , price well job small thing . certainly procedure place guest less happy . 
 Jul 27 2009 	 rapacious staff management 	 room nice - particularly spacious nyc hotel . beyond room , hotel not great deal go it . some staff pleasant , reviewer mention , rather self - important - example tell Vittorio front - desk manager could not move chair colleague 's room room hold meeting would make look untidy . of course , New York expensive , 's difference transparent cost bill - fiddling . check bill carefully - wherever possible someone add additional , spurious charge - whether bogus item dry - cleaning bill extra $ 170 un - itemised limo hire . 
 Jul 25 2009 	 convenient location nice Hotel 	 London offer lot pay . stay 4 night Vista Suite partial view Central Park NY skyline . room true suite living room , bedroom , large bathroom shower separate tub . clean , contemporary , invite space . 47th floor never wait elevator . free internet connection , continental breakfast , local phone service , late check ( 4 pm ) include stay . ample breakfast consist many type bread , cheese , fruit , cereal , juice , coffee etc save we money every morning . the location perfect we -- -just block away Central Park , Times Square , Theatres , Shopping , Columbus Circle , et al . , save we money cab fare . a special thank Mannie ( Concierge ) provide we information tidbit every morning smile friendly demeanor . the London 5 star Hotel , expect happy stay . would label nice 4 star Hotel . reason small trivial people might matter : offer assist luggage room upon arrival , waitress breakfast constantly chew gum serve coffee , one Hotel would remember name reason stay , etc . point matter , simply want allow reader know expect case think 5 star service . very happy stay ! 
 Jul 24 2009 	 Excellent stay ! 	 would defifntely recommend hotel anyone visit new york ! room quiet , clean . staff go beyond acommidate need . Jacob front desk amazing ! way well anything times square 
 Jul 23 2009 	 nice hotel 	 nice hotel close shopping area manhaten 
 Jul 19 2009 	 pretty good location . 	 work public relation need large space meeting . reserve penthouse suite almost look like glasshouse . beautiful space decor need update . fabric fade direct sunlight . service decent location good . price , believe nice option city . 
 Jul 18 2009 	 Shame staff ! ! 	 stay two week Christmas shopping trip New York friend . decide going stay somewhere special lot research pick London . hotel lovely . elegant . room spacious seperate living area handy sort shop . complain actual hotel staff leave bad taste . stay five star hotel year people give air grace truly deserve . concierge department horrendous say least . ask two thing occassion disgusted service . first thng ticket broadway show Jersey Boys look interent see ticket available price range $ 100 $ 300 . concierge come back we say could get ticket would $ 450 . understand make money back provide service honestly well order . second thing ask town car Jersey Gardens previously price $ 100 way come backl look $ 300 way . we never make feel welcome hotel . obviously use deal people money issue New York many occassion previously going take fool . personally find hotel pretentious without substance . book 4 night trip New York shortly decide try Palace Hotel update get back ! ! ! ! 
 Jul 13 2009 	 conveniently locate good service general 	 stay 6 day April honeymoon . book internet website 's photo room . great location first time NYC would recommend hotel first - timer . room big comfortable , room ' suite ' , bedroom separate living room double door . furniture slightly wear , ie stain carpet / sofa , generally clean overall . huge bath - tub shower refreshing . food amazing , buffet breakfast incredible choice . afternoon tea also serve definitely worth try , though doubt will much room evening meal . in - hotel restaurant Gordon Ramsay . would thoroughly recommend Maze dinner , tasty food tasty price , wish enough time return sample item menu . Gordon Ramsay Restaurant fine dining behind double door , try taste menu , food clean delicious service much formal , compare jovial crowd outside . still would preferred second night Maze . hotel staff pleasant helpful annoying incident would house - keep service second day , Easter Sunday . new Archbishop town mean house - keep holiday well ? come back shopping afternoon room still unmade . contact housekeeping inform would someone way decide head bar drink . upon return , still sign housekeep another call make reply . still sign time head dinner mention front desk staff way dinner , state would pass message , unfortunately case return 9.30pm . finally , another irate call housekeeping , prove successful . check - out staff kind enough deduct mini - bar charge inconvenience . 
