would 	 stay week jun 2006 ajoine room~ get small room a.c . do not work . offer we 2 room connect child connect room , attempt repair a.c . get work , give we complimentary week use june 2007 stay free . staff great ! accomidation update clean comfortable . pleased time stay . plan 3rd trip vegas try stay . great location strip easy get everywhere . pleased pool friendly service well . 
 Jul 7 2009 	 positively disgusted 	 one bad place ' ve ever stay . front desk incompetent . maintenance , excuse . elevator inoperable 3 day . jet public hot tub work properly ( e coli report anyone ? ) . one excuse another . top floor physically challenge climb 3 flight stair ( hip knee ) . & quot ; resort & quot ; offer assistance even change room . actually , security crew helpful one . room dirty . ( unless consider one trip room result black sol clean . ) shuttle erratic . driver rude . couple good job ... couple . item need repair read review month ago still fix . ' m owner Tahiti Village never treat way . be shock appalled . find odd employee inform & quot ; owner & quot ; sister property - attitude change . everyone treat equally like ignorant . never , ever stay ; will certain tell friend . 5 - star resort . would not consider resort . 
 Jul 2 2009 	 Would'nt stay 	 stay timeshare exchange program not satisfied . first require 100 deposit first arrive ... pleasant surprise assure would get back account day leave . get room foul odor . however room large space , 2 bedroom one bedroom unit couple studio . resort far away strip though , way far walk . although bus service use one day not run late enough week weekend unless car feel like pay taxi not helpful plan stay late night . luckily drove not rely service often . last note , week later still $ 100 hold account . 
 Jun 30 2009 	 nice place .. little far walk anything 	 lindy front desk awesome .. extremely helpfuf . print boarding pass great get anything need . distance anything far walk shuttle go every hour . would need car . nice place stay . clean room , friendly staff . bar site close , want drink might bring enjoy pool side cocktail . other say wall thin extreme amount noise . 
 may 8 2009 	 real nice place stay outside strip ! 	 get back yesterday 5 day vacation parent stay . really like ! mid - thirty first bummed not stay one big hotel strip . realize place mile away , 10 minute drive big deal . lot store real close ... Walgreens , Denny 's , Italian / Pizza restaurant , two food store fast food place . favorite part pool ! pretty big clean , jacuzzi right next . would get early , go breakfast lie pool couple hour head night . get relax work tan . even give 4 pool towel room cool . staff friendly , room small size really use sleep shower . ground clean maintain lined palm tree can not seem get enough ! computer main lobby able print boarding pass flight home convenient . first trip Vegas ( West Coast matter ) get use sleep weird hour time change ( NJ ) care , Vegas ! ! would recommend Club de Soleil would stay , will not regret ! really complaint ! think next time return want stay strip ... think least one time : ) 
 Apr 24 2009 	 great place stay strip 	 family stay April 2009 . 3 boy age 14,11 7 . book one bedroom suite adjoin one bedroom unit mean two bedroom , two bath , kitchen living room . main unit also small washer dryer convenient . happy accomodation . unit well furnish , update clean . full kitchen fully stock dish , plate pot . two king size bed comfortable pull couch well . bath equip jacuzzi tub athough use . hotel locate strip far Orleans hotel . short car ride get strip . find hotel nice retreat traffic strip . hotel offer shuttle service use rental car . supermarket nearby Payless Pizza within walking distance . pool hot tub nice . also gas BBQ 's locate near pool want cook dinner outside . internet service charge $ 50 week . complaint feel hotel charge internet . hotel game room kid enjoy play ping pong . stay build check ( two building locate 1/4 mile . ) security good entrance door keep locked require card key access . room second floor face back building like front building face busy road ( Tropicana Ave ) . plenty parking onsite . maid service request extra towel soap . big deal we rent vacation unit expect maid service . workout room onsite well . overall pleased accomodation would recommend Club de Soleil other . 
 Apr 13 2009 	 look quiet place strip good choice ! 	 time share resort within walk distance Orleans Hotel Casino . albertson Food store & amp ; Walgreens close easy find , well place eat . the front desk welcoming let we check early , print boarding pass trip home free charge . internet extra charge $ 50 week , free shuttle strip activity offer resort great ! unit bite date bed comfortable meet need . we timeshare although stay luxury place , comfortable enjoy time . 
 Apr 12 2009 	 Good Exchange 	 Marriott Vacation Club owner first time exchange lockoff one bedroom Club de Soleil . trepidation base review , pleasantly surprised . although also go phase 1 property check , find need go phase 2 , meet owner , say room property good , check , put we third floor room Phase 1 . check process go smoothly , give we choice room . one bedroom nicely appoint clean . although main room slightly small Marriott villa , amenity need family four . balcony overlook pool nice . 's much ground , be quiet pool , fitness room barbecue . concierage helpful not push timeshare we . couple mile strip , shuttle ( not use ) , simply drive stay free parking lot . would recommend exchange folk want quieter trip , easy access strip gambling , show food . 
 Mar 19 2009 	 wonderful comfortable place stay 	 pro : - clean , quiet & amp ; updated- good sized bedrooms- heated pool & amp ; spa- cute usable balconies- lot towel , soap & amp ; lotions- free shuttle strip & amp ; grocery store- nice workout roomcon : - confusing , 1 lobby 2 locations- internet $ $ $ 
 Mar 2 2009 	 Rotten Location S0 - S0 Time Share 	 Robert Morris great staff member . without shuttle service would & quot ; 1 & quot ; . rotten location , old time share ( want call Vacation Ownership ) . avoid place . Tahiti Village look great ( sister local ) price want extreme far see . resturant Tahiti Joe 's food slightly well terrible service . bar staff good . stay unless choice . 
 Jan 28 2009 	 Amazing Value money 	 look avoid robbery occur hotels strip weekend rate , find great deal Club De Soleil strip . time share facility use season rent room normal hotel . three choice room , take one kitchen jacuzzi tub . place clean , maid service use hotel . welcome call clean additional towel . also , shuttle service run property strip area , use since rent car . facility also heat pool outdoor hot tub everyone use . overall , wonderful place avoid high cost resort hotel close strip . 
 Jan 14 2009 	 enjoyable experience 	 buy 1 - br unit E - bay cheaply . sister fly LV vacation check resort fun wife take vacation FL & quot ; time away & quot ; I . Checkin fast efficient . unit ready time . 1 - br unit old , Phase , section ideal . close possible handicapped parking section . phase side street Tropicana quiet . not use pool tennis court , attractive well - keep . personnel , especially maintenance people , exceptionally helpful . concierge pretty good fairly reliable information . since already owner , ask attend sale presentation . not even mind pay internet access lobby couple time . the unit exceptionally clean , well stock , large BR bath . sleep couch LR , sister kingsize bedroom . enjoy jacuzzi tub , . use fireplace ambience night , although not cold . glass close much heat generate . ground floor nice patio furniture outside . lots palm tree . upholstered furniture need upgrade long . we rental car ( really necessity see anything casino ) tour around many interesting beautiful spot : Lake Mead , Hoover Dam , Mt . Charleston , Valley Fire , etc . shopping need close , valet parking people resort casino show place helpful handicapped person . go several show . break even play card , sister lose badly machine -- typical Vegas experience . check easy nearly instantaneous shortly specify check - out time . would love go back soon . 
 Jan 6 2009 	 would go back ! 	 exchange timeshare Interval International stay Christmas break . part , place nice . unit Club de Soleil clean , comfortable room well - stock kitchen large bathroom double sink . fireplace nice touch time stay . slide glass door lead quaint little veranda table two chair . check - in quick front desk people friendly . keep mind resort slow time year . concierge nice try helpful , however give we incorrect information . negative place lack wireless internet service fact even computer guest use free lobby . pay use computer fee expensive ! get time ! negative lack activity guest , however , understand people go Vegas stay resort . would also like note location busy street failry loud . city mind , look quiet place , definitely quiet . would go back ? sure ! Vegas amazing ! 
 Dec 25 2008 	 nice accomodation clueless staff 	 book two bedroom unit Club de Soleil II Interval International . idea expect , since Vegas standard different standard elsewhere . expect Luxor . the condo clean , spacious well - appoint . smoke smell sanitizer smell -- clean . everything good working order . bed king size comfortable . unit comparable nicer unit Sheraton timeshare condo , like one stay Scottsdale . since go winter , could use outdoor swimming pool , although heat , see crazy people . ground nice , consider small block land resort ( typical Vegas ) . photo website deceive - small property , huge one . find location great . far strip , . perfect . not care noise smoke . parking easy ample , really important travel kid . housekeeping staff accomodate . complaint . front desk staff helpful , would great Las Vegas destination . the front desk staff concierge completely , totally clueless inefficient . night check , four family / couple ahead we . check - in take long time since one guy working desk . since drive two day get , want park collapse bed . wait , overhear maintenance guy make bigoted comment Mexicans . hispanic , offended . not care much bigotry . the resort offer much family . know Las Vegas adult 's town , think five - star resort would something kid . not . guess use everyone go Strip everything . the next morning , wait equally long time concierge desk . woman spend forever another couple . turn , tell straight interested timeshare presentation , seem want get rid soon possible . answer short . tell we could get discount ticket Tahiti condo , two door . go , tell we give we wrong information . , direct Tahiti village resort , finally help we . next day , different woman concierge desk tell us owner 's night cancel ask would . call someone tell special Christmas banquet $ 19.95 instead . next morning , ask yet another woman concierge desk need make reservation banquet . tell we Christmas eve , tell , Christmas , price $ 49.95 . clear operating rumor , fact sheet brochure . frustrated , drive sister - resort ( Tahiti Village ) ask really available owner week . wait extremely long time , three guy ask around finally find nothing available owner , yes , pricey buffet instead . special price owner , not bother . , nothing owner . might mean much people want place stay , family actually like cheezy owner 's event go vacation . the time give useful information front desk night - shift desk clerk suggest go Rio buffet . price tell we way , buffet fabulous . end pay expect , memorable feast . there free internet anywhere resort . charge $ 50 week internet , ridiculous five - star resort , opinion . however , Vegas Vegas . charge everything . even Starbucks charge use internet . overall , would reccomend Club de Soleil quiet , well- furnish , well - appoint condo , expect entertain on - site , give accurate information concierge . would also suggest going directly concierge large property , real knowledge area , fly - by - night time - share tourgiver . would say four star property , satisfactory family . use five - star , Marriott quality , think desk staff lack owner welcome event greatly disappoint you . next time , think go back Scottsdale Sheraton escape snow winter . favorite spot far ( Marriott Palm Springs also great ) . see post . 
 Dec 6 2008 	 Bad experience 	 family spend 2 awfull week 2 star hotel . present 5 star resort awhich definetly . service poor , normally be one reception , nobody know nothig , even leak room maintenance people want we change room midnight , come put towel top carpet soak . exchange property orlando 's Sheraton Vistana Resort , adn difference huge . hotel room small , old furniture , everything look old .. not recommend hotel never come back . 
 Nov 11 2008 	 Honeymoon 	 book resort list eBay absolutely love ! suite newly remodel nice clean . resort offer convenient shuttle strip every hour 9 am 1 am . also offer shuttle nearby grocery store 8 am . concierge service lobby help we plan stay . pool nice although husband enjoy hottub hot outside attempt ! would definitely stay Club de Soleil ! 
 Oct 7 2008 	 nice quiet getaway 	 husband stay Club de Soleil three night end September . got awesome deal Expedia.caThis property time share unit rent . absolutely pressure buy salesperson give welcome package . 2 large property locate 3 mile west Strip W Tropicana . stay studio complete comfortable king bed , comfy pillow , bath jacuzzi tub window actually open ! maid service though be stay 3 night . resort quiet nice pool area . shuttle arrive every hour take Strip . Orleans casino / hotel within walk distance property though . overall complaint . would stay . 
 Sep 30 2008 	 expect ..... 	 Booked Interval International Marriott 's Grand Chateau vacancy Labor Day weekend . Marriott owner 's ( Florida ) go Vegas 5 day . let say right away ................ lock - off room tiny ! ! ! ! ! ! ! ! ! appear picture online hotel website . I write Club de Soleil ( 3 week ago ) regard problem property . wait one week hear type refund would like handle turn huge disappoinment . hear shortly ........ give follow - up review next week . 
 Sep 5 2008 	 great stay ... 	 property nice . wife along another couple stay phase2 property . imprese cleanliness overall accomodation . rent car grocery store Albertsons right street Tropicana Ave . great store open 24/7 . shuttle strip drive plenty free parking Casinos . bad part room ready arrive wait three hour . however staff great job service recovery give we upgrade connect 2 bedroom . whirlpool little high getting . be stiff may small problem , overall great value . 
 Jul 2 2008 	 Good Hotel Choice Location not Important 	 would recommend stay Club de Soleil location important . yes , hourly shuttle couple Strip hotel ( stay Treasure Island New York New York ) , unless be willing pay taxi hotel ( think around $ 10 - 15 ) , shuttle make slave schedule . ' ve stay Strip 's nice walk heart Vegas rush catch ride . the room clean comfortable . bed good kitchenette great . shower awful though . time , water virtually trickle . definitely ensure get room face away Tropicana Avenue 's busy street . also try stay 3rd floor . 
 Jun 4 2008 	 great plan leave early departure day . 	 stay girl weekend first weekend April . 5 girl plenty room . price , well worth stay strip . time nice , clean comfortable . actually preference hotel . property great ... one complaint . check time 10 am ... mean 10 am . 10:01am ... someone actually knock door ask check . nothing like feel rush end vacation . do not see line people wait room 's big deal ? sister property Tahiti Village like , although CDS nice ... check irk . otherwise , great place ! ! 
 may 22 2008 	 average accomadation 	 stay Club de Soleil phase 1 find staff & amp ; accomadation average , two bedroom unit , lite noise upstairs unit yes hotel unit , free shuttle service operate accomadating nice get strip lounge pool . would highly recommend Club de Soleil phase 1 2 . 
 Apr 27 2008 	 Great Place stay Las Vegas 	 spend one week Club de Soleil attend Con Expo Las Vegas year . share 2 B / r condo another couple . Bedrooms King bed whirlpool tub . 2nd B / r separate entrance make great sharing friend . pool open night , never noisy . the staff helpful problem approach timeshare presentation advise interested . ( place not take & quot ; & quot ; answer . ) stay Phase II , Rooms 319 319A look pool area . place clean attractive need additional kitchen accessory available upon request . ( item like pizza pan cutter available , room - ask need something not stock . ) 2 b / r unit Washer Dryer large side . furnish detergent need , not bother try figure transport liquid fly . the resort offer excellent shuttle service two location strip hour well grocery store morning . large grocery store couple block Club de Soleil drive , would handy travel without car . also offer inexpensive side trip . would highly recommend go Red Rock Canyon Valley Fire Park . location beautiful place relax spend time strip . hike trail great . we trade Timeshare Key West Interval would consider go place 3 year next Con Expo Vegas . 
 Mar 21 2008 	 nice place spend week 	 stay club du soleil nice place ! exceptionally clean . beautifully decorate granite counter top , professional quality pot pan , load towel , fireplace . shuttle convenient exactly time week . people polite . 3 complaint though . 1 . check early 2 pm tell room ready would call ready go orleans couple hour come back 4 ( regular check time ) tell room would ready 10 min wait hour lobby finally ask 3rd time let we go room . 2 . wall paper thin lot bang nose blow ..... 3 . daily maid service unless callwe 2 bedroom would stay 
 Feb 28 2008 	 Excellent Place Stay ! 	 trade time share unit . book read negative review think make mistake . place everything want ! excellent room , # 332 corner view Tropicana Avenue mountain . rent 2 bedroom unit kitchen . bathroom include whirlpool tub master bath two sink many drawer storage . bed exceptionally comfortable lot pillow . use washer dryer times well work great ! room exceptionally clean , well stocked kitchen item , towel . the weather little cool decide swim . stick hand pool water warm , could would brought bathing suit . would recommend rent car 's way strip . shuttle great take several time strip take cab back . property within walk distance grocery store . staff really friendly helpful . even print son 's boarding pass ahead time . help lot not check baggage could go directly security . day supply coffee room , also coffee lobby free ! would stay ! 
 Feb 22 2008 	 Good Deal 	 Vegas numerous time time decide travel & quot ; cheapo & quot ; way . able get 3 night free ... ok , nothing free attend time share presentation , 3 night $ 100 dinner gift certificate free . upon arrival Club , begin check - in . travel another couple want room near , separate phase ( two building phase across street ) . arrival make request Consolidated Resorts guess never make hotel . 1.5 hour ( originally we two separate phase ) , finally make connect room Phase 1 ( old phase ) . room well expect . lock friend connect 1 bedroom . nice room / suite . one bedroom full kitchen , small dining table 4 chair , living room pull couch , chair tv , nice big bathroom bedroom . lock unit normal hotel sized bathroom , small kitchenette ( stove oven ) small table two chair eat , believe king size bed ( although length feel like queen ) . noise , never hear anything , , either side . bed comfy , towel plush , room smell clean . pleasant stay . the hotel morning offer complimentary coffee , hot chocolate , tea . free shuttle leave hour start 9 am return back 11:30 week 1:30 weekend . either pick NYNY , TI , Orleans casino . consider room free , mind shuttle service prefer stay strip able come go whenever please instead hotel schedule . would stay , probably ( like close action ) thrifty traveler , time share deal great well worth ! P.S . time share people convince pushy . plan 3 hour ... two go buy . 
 Feb 3 2008 	 Las Vegas Goodtime 	 Excellent location , strip within walk distance necessity food , grocery store etc . outstanding shuttle service , however must take account terrible traffic Las Vegas , still well travel Las Vegas Blvd . 2 bedroom suite vacation dream lifetime , yes usual annoyance expect hotel footstep room etc . overall size , ammenitie , service provide far exceed annoynance . get chance definitely take Red Rock Canyon tour , can not beat price . 
 Jan 9 2008 	 would ok except one FATAL flaw 	 reading review TripAdvisor glad snatch room reasonable rate peak CES tradeshow . plus : away Strip ( could minus depend need ) close enough get 5 min drive , reasonably price wireless internet access , clean room , nice bathroom . minus : fatal flaw : room one share door room next door . horrible job sound insulation . could hear guest next door talk , able understand word . could hear watch tv . could hear laugh use restroom . ' m glad not hear .... know . , room bad sound insulation well . could hear trompe around like move furniture . summary : wall likely make paper mache , give place big thumb . people want room quiet ... much ask ? apparently . 
 Jan 5 2008 	 Club de Soleil December 	 parent timeshare book Club de Soleil family vacation New Year 's Eve . stay two bedroom lock - out unit . resort strip not bother , would not hesitate stay . unit clean staff accommodate . different activity schedule throughout week offer shuttle service nearby Orleans Casino strip . not warm enough swim pool area look nice . condo close several restaurant , grocery drug store . 
 Oct 24 2007 	 need help ! ! ! 	 ' m surprised review positive property .... two different part hotel must get old , run - down room . everything wear date ; cabinet kitchette peeling & amp ; stove pull ( guess work ) . one property Vegas 2 bedroom suite w/ 2 bath . Breakfast consist generic toaster waffle ( could not even put toaster ; staff member ) ice cream topping . also mystery meat sausage ; standard breakfast variety . it be pretty far strip - will well car try make shuttle work . 
 Oct 24 2007 	 nice minor complaint 	 parent timeshare Interval Resorts request property week October 12th . standard suite lock - off room request Club 2 other indicate site staff 24 hour day year young Club 1 . anyhow , arrive 2 p.m. , ahead parent , since name reservation , let we check - in , early . get thrid floor request , early . * * ask third floor susceptible noise . definitely hear people matter quiet try second floor , footstep echo quite bit ! * * negative : location : drive Tropicana nightmare , especially rush hour , seem time Vegas . take we 15 minute get 15 Fwy property . also , people live area drive like maniac . , drive fast , really worried parent pull lot . precarious . place quite way Strip , since kid really problem we . Orleans great , nearby choice . amenity : restaurant on - site , go find food . noise : could hear people we around bedtime cry baby hall middle night , room soundproof mean . busy roadway also make & quot ; noisy & quot ; leave window slide glass door patio open . , quiet place , minor noise patron . my biggest complaint lack place hang towel dry use ! ! two hook back bathroom door ! nowhere dry wet bathing suit , wet bath towel , wet pool towel . revert use clothe dryer , way loud drive nut ! think broken sound horrible ! second big complaint would fact handle inside shower door . heavy wet hand , try open bad - boy next impossible ! really look handle . also , mom mobility issue bed low ground , leap shower / tub almost impossible . even struggle get ( ! ) shower ! also , make sofabe every night . Minor , hotel would likely this . cleanliness : clean FANATIC , place ever , ever , ever clean enough , say , exception surface , place pretty clean . bring Clorox wipe , be bad , see dirt & quot ; stuff & quot ; everything , say pretty clean , need clarify pretty much check room top bottom move : wall place desperate need paint . lot smudge also granite counter , fridge handle , etc . one & quot ; stain & quot ; bother little brown smudge right next toilet paper holder wall . yes , know . , call complain ask get clean . vowed become less neurotic cleaning cross week . , see imagine else lurk . ugh . shower sink seem clean carpet look clean . , room pretty clean , clean enough , know mean . warn , clean freak ! positive : bed comfortable sheet actually stay bed whole time ! extra pool towel , dish , sample detergent , brand new sponge , etc . make great spot . make coffee , egg toast almost every morning even bake cookie last day . clean freak wash everything hand first ! towle nice soft appliance ( toaster , coffeemaker , full - size fridge , microwave , oven , etc . ) good shape , except clothes dryer ! glad partake use pool jacuzzi , although people say pool cold , disagree . not warm , mean , fine . would want room pool quite glad 3 suite away . think 201 215 would range would stay second floor . odd # room face pool / put green Club 2 even face parking lot . , pool virtually always empty , guess depend crowd . this great place not mind drive Strip . venture Hoover Dam , Ethel Chocolates ( rip ) , bowl South Point , NY NY , Fremont Street , etc . great jumping point . highly recommend family couple want save ton money still get amazing place stay . go Vegas 6 time year usually stay Strip , price climb payout wane , would definitely stay save money table ! ! ! 
 Oct 18 2007 	 Great Rooms Mediocre feature 	 arrive Las Vegas around 10 am . check Club not 4 pm . gladly check bag we excellent plus . also able use shuttle great , also . tell we would call we room ready , take explore strip . unfortunately , never receive call suppose room not ready four . upon check , immediately pleased room . stay two bedroom suite . roomy . one side lock - off bedroom , bathroom kitchenette . large side bedroom , bathroom , full kitchen living room , include fireplace balcony . five we , living room pull couch really become third bedroom . room immaculately clean happy . one jetted tub work , not discover nearly last night trip . , room downfall . the hotel pool area ( way cold swim ) , fortunately , also hot tub . area open 24 hour , originally think great . however , turn overrated . pool area literally middle bunch suite . behind right next suite . one night , long day walk strip , decide go enjoy hot tub . would not even mention true , however , 10 minute & quot ; hot tub experience , & quot ; security guard come lobby tell we receive complaint ( multiple ) noise continue , would ask we leave . little conversation four we decide pack . would impossible us quieter . would suggest , patron stay close area sound people move around hot tub would disturb , attach hour privilege pool . the downfall hotel , although be give paper schedule shuttle departure time , not always necessarily accurate . would suggest arrive pick spot 10 minute prior list time . upon exit door Riviera , see shuttle leave , 10 minute early , leave wait another hour return shuttle . discover cab little convenient five we , result $ 10 - $ 15 fare place strip . also , weekday , last shuttle leave 11 pm , be night owl , will also find inconvenient . hotel also offer free trip Fremont Street Wednesdays , want go , make sure schedule spot front desk early . Monday morning , two shuttle completely book . Deuce also run Fremont Street offer 24 hour bus pass $ 5 , catch Riviera tend stuff brim , part , uncomfortable . overall , hotel really nice . staff , mostly , friendly give we welcome packet include free pass nightclub show coupon . never pressure sale pitch ( time share , ) . probably never stay hotel , merely reason prefer hustle bustle strip bite far away strip . close casino Orleans 15 minute walk ( many time ) . nice everyone group stay together ( else book two bedroom suite good price ? ) would recommend family enjoy lay back vacation . 
 Oct 2 2007 	 comfortable 	 husband andi travel friend , 4 us great time . resort comfortable , exceptionally clean , great location ( strip plus - close enough enjoy ) . especially like set two bedroom suite . fireplace great use night . shuttle bus prompt , drive pure professional . get chance , check Red Rock Canyon tour give Norm . sign concierge desk . fabulous , cost trip ( transportation , guide , entrance park ) two dollar . trip absolutely good bargain Vegas . would hesitate stay . 
 Oct 1 2007 	 Great Off - Strip Resort 	 husband stay Club de Soleil 10 day August / September 2007.it actually 2 separate resort - Club 1 Club 2 . stay 2nd floor unit Club 1 . part lovely pool tennis court , main part Club 2 house office staff reception . issue regard unit , compound fact staff onsite assist , keep go Club 2 . would therefore suggest go book request unit Club 2.the large unit extremely spacious excellent facility dishwasher , wash machine dryer , spa bath , full stove oven everything need supply ( include pool towel , washing powder etc ) real negative reception staff helpful , occasion point rudeness . overall however great resort , would definitely stay . 
 Aug 17 2007 	 nice place 	 club nice place stay , service good . good location pool spa need well daily attention . I stay well 5 star resort , one bad . 
 Jul 22 2007 	 bad ` ` will back '' 	 nice short stay De Soleil . stay four day . place quiet , room service . kitchen nice extra . clean ; good staff . will see ya Thanksgiving ! 
 Jul 22 2007 	 Nice Place small 	 return week timeshare ClubDeSoliel Las Vegas . exchange timeshare . nice clean 2 bedroom exchange small . compare Marriott configuration room lack maid service . staff friendly helpful bus service plentiful . surprised size room . strip not casino attach great us child we . rent car see everything else around like Hoover dam Red Rocks not necessary since trip hotel . nice trip good palce we stay . 
