great 	 apart amazing location , hotel charge lot , great experience . everything , mean everything , cost extra . check peasant experience hit large bill 
 good NY hotel experience date 	 spend 2 night mid - Nov , business . hotel conveniently locate , far 5th avenue , close main attraction popular mainstream shop . staff reasonably friendly , helpful professional . hotel ' feel big , nice . like many NY big city hotel , public area salubrious comfortable , unusually also charm character . ' chance visit hotel gym . my room large , well maintain clean , decorate non - offensive slightly bland corporate style . bathroom large , spacious modern , fit good standard . bed comfortable , room well sound insulated . overall , good , functional , business hotel room . however , another reviewer comment , would describe luxury hotel . overall , definitely one good hotel experience NY , usd 400 / night . 
 Nov 3 2009 	 Loved Loved Loved New York Palace Hotel ! 	 highly recommend hotel ... Excellent Location & amp ; Great Service ! could not ask anything . staff friendly accommodate . definitely come back stay New York Palace ! 
 Nov 2 2009 	 PALACIAL 	 stay 5 night last week , standard room massive hotel bang middle everywhere . good location explore touristy thing , right Madison avenue , short walk right central park , ahead broadway etc . breakfast 40 $ think joke ever use phone room , 90USD 8min phone call Switzerland . argh . staff pleasant , though largley unnoticed concierge happy help . want somewhere cool , prob good , would stay downtown area go back Soho something . happy tourist thing perfect . 
 Oct 31 2009 	 amazing location concierge 	 stay three night choose base Tripadvisor review . agree location fantastic concierge incredible - go extra mile , matter want ( eg , not book table dinner , print direction , etc ) . excellent service . courtyard outside really pretty indoor public area plush - sweep staircase , chandelier , etc . high floor although room large , little chintzy - tiny bathroom need update . Loved Molton Brown goody though ! bed huge comfortable . 3rd time NYC will back soon - love ! p.s . two incredible meal Gramercy Tavern Balthazar - one not - so incredible totally overpriced meal Gordon Ramsay London . 
 Oct 29 2009 	 excellent location high calibre business hotel 	 main positive New York Palace location , well many midtown hotel east Lexington ; view Executive Lounge 39th floor , St Patrick 's cathedral Rockefeller Centre , one take breakfast also complimentary snack drink day ( room give access Executive Lounge ) .room decent size , good bathroom ( shower ) , facility excellent . I would compare hotel equivalent quality Regency Park Avenue . Better Barclay Intercontinental , lot well Grand Hyatt . special corporate rate . advertised rate $ 600 + would good value . 
 Oct 24 2009 	 excellent elegant prime location 	 stay New York Palace Hotel weekend conference . excellent hotel every amenity one could require . staff extremely courteous helpful . definitely stay . 
 Oct 23 2009 	 Great Hotel Enjoyeble stay 	 Perfect experience really impressive . can not use word describe . go visit hope feel . 
 Oct 20 2009 	 good hotel NY ! 	 second stay Palace sixth visit NY . would never dream stay another place ! pamp guest every minute concierge fabulous make dinner reservation . go dine Maloney Porcelli ( restaurant next door , highly recommend ) waiter bring we 4 glass champagne , courtesy concierge ! housekeeper polite bring whatever need , anytime . although 39 floor , never wait 3 minute elevator come . staff polite smile time , room impeccable , everything simply perfect . adore Palace ! 
 Oct 17 2009 	 call Palace ? 	 hotel nice nothing special . barely compare Mandarin Oriental . palace great location , 's small service generally good . ' ve run nice rude staff - 's 50/50 . disappoint dining room call GILT . expensive bland . drink overprice . hotel overrate . suite large ( maybe 400 sf ) . separate bedroom , kitchen , dining room living room . great view . spacious bathroom . comfortable bed . nice tv . room fine . downgrade hotel amenity like horrible restaurant , pricey cocktail , mediocre customer service , lack update decor lobby , size lobby ( grand ) . nice courtyard front . easy get taxi . security seem adequate . good stereo system suite . , plush ... luxurious ... WOW factor . be another 5 star hotel lack character . okay night two . try St. Regis Pierre Hotel . 
 Oct 16 2009 	 perfect stay 	 new york palace hotel one perfect hotel ' ve visited.we arrive much early check hour luckily generously offer great room , big , clean , excellent view saint patrick cathedral 19 th floor.slipper wait bed choclate pillow nice treat.the child get qute teddy bear bathing robe become happy.dure whole stay-10 day - we notice whole staff attentive efficient.aplause ! ! ! management succeed keep everybody motivated.the location hotel also great : close attraction , shopping , restaurant , delis , breakfast serve place , subway line / taxi . 
 Oct 15 2009 	 wonderful stay 	 stay New York Palace Madison Avenue October 2 - 6 . wonderful dream like place stay . every need meet every staff member attentive . the room large , 9th floor face St Patricks , room 914 . beautifully furnish , bed comfy big . tv large flat screen visible area room . check swift pleasant need meet . bellman introduce we various area hotel get room show we everything . a stay remember . access Executive Longue worth extra cost . 
 Oct 13 2009 	 great location 	 find . stay weekend location could well . find hotel quite gilded , ie . gold , room sufficently update clean , good size , gym nice , staff friendly . price , great deal would stay . stay Sofitel past NYC room large enough kid . , look around , come across one much research , would stay . 
 Oct 12 2009 	 great hotel ! 	 good stay New York Palace . good location room . excelent service , especially concierge . problem absurd rate charge access internet business center . 
 Oct 12 2009 	 Great Amatuers 	 NY Palace like Las Vegas hotel , pretend luxury sense style . service amongst good New York , room decor lack . architect designer utterly fail soften sterile utilitarian root massive black box building . sense modernism match office building grid interior . instead hotel try hard distract lot mass produce antique - like furniture , drop ceiling frame wall . unlike real luxury property like Peninsula Mandarin , fancy light switch HVAC control fall short . could get room temperature 70 degree . additionally , quality room service food sub - standard . perhaps make sure everyone get food thirty minute forsake quality control . bottom line stay NY Palace great place like ocean cruise . pretend fancy , utilitarian luxury , great service . ultimately , leave cold . 
 Oct 11 2009 	 wonderful experience highly recommend 	 extremely spacious room , beautiful lobby , quiet comfortable . ideal location - walk distance nearly everything - Times Square , St. Patricks Cathedral , high end shopping , Central Park , restaurant . the Palace Hotel excellent choice - there many choice , Palace really seem stand rest . service , clean quiet room , food huge room ( suite Towers ) make incredible stay . nearly comfortable home ! concierge knowledgeable - recommend excellent restaurant . top pick : BLT Steak , Buddkahn ( one good restaurant experience life ) , Balthazar Il Cantorini . we hire car service take we Greenwich/ Soho area shopping boutique store - we able shop throw bag car - no worry parking , traffic , rain , etc . definitely worth . 
 Oct 10 2009 	 perfect .... 	 Hotel can´t say anything bad . location perfect , close Central Park , Times Square shopping till drop ... service also good . use stay 5 star hotel , palace good experience everything . check receptionist find married couple month early , give we 2 free drink dessert hotel , kind he . all together definitly recommend hotel 
 Oct 10 2009 	 fabulous fabulous fabulous 	 say ... make feel like royality . wonderful hotel ever stay life . hotel pure luxury . room amazing . staff amazing . special mention go Gunter conceirge . fabulous . if want magical time New York City , hotel stay . 
 oct 9 2009 	 beautiful palace ... er mean hotel ... land ! 	 New York Palace amazing ! beautiful , top bottom . staff courteous professional , room luxurious , location perfect . say parking rate outrageous , would recommend parking outside city take cab / subway hotel . 
 Oct 8 2009 	 daughter truley think palace ! 	 take seven year old daughter New York four day . fun ! look hotel , see palaceand comment & quot ; really stay palace & quot ; : be decide book ! bautiful hotel , staff helpful . raining , give we umbrella , go show , car take we . think fun want ice see man tuxedo white glove deliver room . room spacious , clean comfortable . robe daughter . 
 Oct 8 2009 	 Location Location Location 	 aside great location , hotel top elegance . service super , doorman go beyond call duty . stay Palace visit american Girl Store street . room fabulous view city . can not say enough hotel . Pricey - yes ! worth - yes ! 
 Oct 7 2009 	 Great Hotel Great Location Great Service ... 	 really great place stay visit NYC . room particularly impressive , especially ' standard ' room , much anyone would want . upgrade Executive Lounge access $ 75 per person per day . lounge get breakfast , lunch drink , not think 's worth unless intend hotel LOT ... didn't . my ' top tip ' would ask room high possible street noise really loud . ny really bad road weather extreme often lie large metal sheet across part road . low floor ( ) noise lorry go night wake regular basis . upper floor street noise , be middle city , else expect . I really big ' value money ' although place expensive worth . 
 oct 4 2009 	 great place start Honeymoon ! 	 come Sweden honeymoon stay executive room 31th floor fantastic , wonderful , absolutely amazing view St. Patricks cathedral Rockefeller Center . stay special offer executive room value really good . Executive Lounge : breakfast nice , continental american breakfast choose . loved muffin : ) . nice access lounge day , especially since could use internet sightseeing tip tell friend family great time . room : big , clean , say , good view ever . always respected privacy . big safe . comfortable bed . minibar pricey , could expect . go one many Duane Reades ( almost every street corner ) get water snack instead . service : good . downside ask restaurant advice one night , say want good Ribs NYC nothing fancy . place fancy , like food . however , concierge nice give we advice everyone different taste . location : good , close Central Park , Times Sqaure Subway . rain however subway could little bit close ; ) wrap , love stay Palace Hotel . top notch five star hotel close enough ! want really nice , clean hotel view good price good location definitely find . 
 oct 2 2009 	 Elegant Hotel feel World Away Hustle 	 book 3 night stay recommendation work collegue disappoint . amazing view bedroom window onto St Patrick 's Cathedral & amp ; Rockerfeller Centre bit like Gotham City ! not shut curtain night could not shut view . room bathroom spotless tastefully decorate & amp ; staff make feel welcome . expensive eat & amp ; drink hotel would expect 5 * ideal spot Rockerfeller Centre 5th Ave generally central . would love go back day ... 
 Sep 26 2009 	 Fantastic 	 first day last service exceptional . staff friendly helpful . room 21st floor fantastic view overlook St Patricks . room spacious , clean well maintain . hotel well situate sight seeing shopping . would certainly consider stay New York Palace next time come New York . 
 Sep 23 2009 	 Honeymoon Heaven ! 	 LOVED hotel ! book three room family 4 night September . room fabulous clean comfortable first time ever want return comfy bed home want take NYP one home ! Lovely Molton Brown toiletry extra touch make stay special . service top notch feel really relaxed unpretentious . great view make never want close curtain near Rockefella Time Square - easily walkable . the food also excellent . I certainly make hotel first consideration list next time return . 
 Sep 22 2009 	 Great Service ! 	 husband 2 daughter husband stay New York Palace labor day weekend . 3 room ready arrive . check quick courteous . room close together beautiful view . stay several time always pleased . go way service hotel provide . home hotel contact we phone letter see leave something one room . turn expensive jean one daughter leave drawer . hotel mail jean . know always wonderful service Palace , truly & amp ; beyond good service ! 
 Sep 11 2009 	 great view great value 	 stay friend get good weekend rate deluxe ( aka standard ) room . unlike five star hotel Manhattan , seem even least expensive least desirable room relatively large good great view . request high floor get room overlook St. Patricks Cathedral , fantastic skyline view . room large nicely decorate , great bed , nice bathroom , attractive furniture , top . location convenient transportation , theater district , Times Square , shopping , etc . check - in efficient ; problem kind room , amenity , staff . although certainly not league 5 - star hotel like Mandarin Oriental Four Seasons , rate far reasonable seem consistent , excellent service . 
 Sep 9 2009 	 AMAZING can not wait stay ! 	 family stay 2 night , reasonably price , could wish stay long ! say anything bad hotel ! location fabulous ! 1 block Saks . far bloomingdale , must go Crumbs Bakery Madison around corner hotel like cupcake ! hotel room great ! wish could sleep bed every day . comfortable ! probably comfortable bed sleep hotel . room HUGE . especially New York City ! stay Sofitel Philadelphia room New York Palace big ! ! request check connect room get . room ready even though check hour early . chocolate pillow lovely touch . Maid service super nice . love touch disturb / maid service , well master light touch switch right beside bed . walk dark get bed ! bathroom great size ! double bed room counter space king room . hotel lobby area huge beautiful , lovely outdoor patio , fun bar night , upscale people everywhere ( none snobby ) -- nice fresh feeling . while even filming scene sex city fun since huge fan . use Valet Parking -- keep 2 night . nothing bad say . car give back way leave . I recommend hotel GREATLY everyone . wish could time stay long . can not wait book next trip NYC , 100 % stay New York Palace ( give price reasonable course ) . 
 Sep 9 2009 	 Classy Hotel Good Location 	 Classy public room , bedroom fine great . fair price accomodation , Cosmo bar $ 26.29 ! ! ! ! ! ! ! attend wedding Gilt restaurant magnificent . 
 Sep 8 2009 	 love 	 back 4 day stay New York Palace . love hotel really could not find fault . staff friendly although standard high not feel like pretentious snooty hotel . room spacious maid service great . use executive lounge lot would highly recommend . breakfast buffet really excellent - good selection lot fresh berry healthy cereal . would definitely recommend hotel would love return . 
 Sep 8 2009 	 great location lovely room concierge level worth extra $ $ 	 stay August 27 - 31 , 2009 husband 's 50th birthday . book concierge rate place 39th floor lounge - convenient . surprise complete breakfast service - buffet style , egg , bacon / sausage , french toast , juice , cereal , fruit , yogurt really good coffee - oppose sparse evening cocktail service . suppose see b'fast expect nut , dry fruit cracker . nice relax long day sightseeing cold beer glass wine champagne though . service lounge personal attentive even crowd . room lovely - 3911 - corner room view east . suppose bathroom par other NYC find awkward small - counter space speak make space guestroom . bed terrific . weekend visit fair bit rain appreciate umbrella closet offer another left hotel . location wonderful - close Rockefeller Center , nearby subway station easy get cab here . we find staff helpful every turn , especially gracious concierge David Eldridge ( ? ) doormen bartender Lucas . disappoint non - rainy day outdoor bar Gilt seem honor hour open 4 pm . would like sit outdoors watch people relax . disappointment lack recognition husband 's birthday . not expect much except ' Happy Birthday ' check mention checkout . would definitely return hotel . 
 Sep 8 2009 	 best ! 	 honor stay beautiful hotel ! first class way . be back 8 day stay @ New York Palace .. can not wait go back . first Class way wonderful staff include Chi ( Angie ) @ check - in desk Joyce L @ concierge desk . pleasant helpful . 
 Sep 5 2009 	 bed BUGS ! horrible PAINFUL bite horrify experience ! 	 wake bite mark bleeding ! complain immediately manager change room . sure bite time . day wear bite become unbearably ITCHY / PAINFUL . ( husband 2 child ) finish stay new room . arrive back Massachusetts terribly painful bite mark swell neck , back , finger eyebrow . manager arrogant opinion , feine disinterest act puzzled . NONSENSE , must aware serious bug problem . stay NY PALACE HOTEL past never ! REALLY SCARY UPSETTING PAINFUL ! ! ! can not sleep upsetting ! 
 Sep 4 2009 	 absolutely Fantastic Hotel 	 stay New York Palace wife 5 night celebrate wife 's 40th birthday . say wow ! ! contact hotel advance tell celebration check upgrade room view cathedral . staff friendly courteous never feel pressure tip concierge / bell hop etc . fact arrive hotel small note not time cash cheque long flight . bell hop not hold hand look anything not feel pressurise although feel little embarrassed not able give anything . make later though ! throughout stay staff fantastic . hotel beautiful room roomy comfortable . chocolate leave pillow maid nice touch can not believe visit room twice day . make bed second turn cover ready fall bed long tiring day . not use mini bar due price load eat place nearby well two starbuck satisfy coffee craving . dining recommend Beacon Restaurant 56th Street highly enough . 10 minute walk hotel . book table advance also advise celebration . arrived greet seat immediately staff wish wife happy birthday give we glass champagne , meal world wife receive dessert chef put candle cake type ' happy birthday ' chocolate letter around plate . whole experience fantastic would first restaurant look return New York . can not wait go back would definitely stay New York Palace . 
 Sep 3 2009 	 Great Hotel 	 view good hotel stay whilst US . location perfect , service worthy Dorchester group . forvalue , New York hotel always high side , eat relatively cheap 1830.our flight back teh UK around 2100 able use shower etc just leave airport . 
 Sep 2 2009 	 Amazing 	 first trip New York 40th birthday , good time ever , hotel amazing room overlook Cathedral , perfect location , right next Rockerfella centre , well worth vsit hotel city , fantastic place . 
 Aug 30 2009 	 Nice Hotel Disturbed Rest 	 stay 2 night couple week ago . lovely hotel , lovely room 37th floor & quot ; old & quot ; wing . for room view cathedral ask $ 37 per night extra , room look towards river great . great location hotel - could want within easy walk distance . we couple minor problem tho:1 book concierge level access . fine day ( great breakfast ! ) decide serve food 14:30 , disappointment . bad lounge shut 20:00 , beverage - make facility room , want coffee get room service . pain.2 bad cleaning staff . first day knock walk right . & quot ; know fix , thought & quot ; , put & quot ; DISTURB & quot ; . next 2 day , walk 6 time DND . obviously take notice all . sadly , hotel obviously value guest privacy . sure would stay lack privacy . 
 Aug 29 2009 	 rude staff ever ! ! ! ! ! ! ! stick hand tip leave right ! ! ! 	 suppose nice hotel , yeah willing tip $ 50 + every time idiot come talk . first arrive door cap guy whatever , take thing trunk limo whistle bell guy take thing stick hand tip . husband take cash barely since arrive long flight .... need change $ 100 's $ 50 be not even say anything snatch $ 50 husband hand go way open door . believe rude front door guy . entire time stay 1 week whenever ask use house car dinner reservation show ticket make excuse give we house car .... & quot ; 's break & quot ; .... & quot ; need reservation & quot ; ... & quot ; lunch , dinner . & quot ; ... wow load crap guy ... random family child come tip guy $ 50 get house car right front we ask say driver break . go back tell guy front say & quot ; ohh not know want driver think want taxi & quot ; never go people money hunger baste . 
 Aug 28 2009 	 wonderful hotel 	 stay Palace 7/31 - 8/3 cousin include teenager . fortunate get great rate stay 3 night get 25 % . room 2 double 17th floor overlook St. Patrick 's Cathedral . beautiful sight opening curtain ever morning . every employee encounter professional courteous . rain day , always umbrella handy lend . lobby courtyard area breathtake . courtyard area particularly lovely place sit read city . room comfortable 4 people , plenty room we plus luggage . bathroom great water pressure amazing , time want leave shower . location could beat , walk distance sight subway station 2 block away Lexington 51st . love nowhere near crowd Times Square . if could get rate every time go ny , Palace would home base . 
 Aug 25 2009 	 Fantastic 	 stay 4 day last week . 3 room class great . room range std . suites tower . room bathroom large nice . kitchen dinnig room come handy . service staff great . wonderful time . location great shoppng siteseee anything want . gilt expensive good . view good . 52nd 54 th floor . stay next time NYC . 
 Aug 25 2009 	 great hotel 	 return stay hotel , great location , concierge extremely helpful although sometimes seem recommend restaurant suit . downfall - quiet expensive eat drink hotel restaurant manage find coffee shop hotel cater dinner , pizza , salad fr really good price - really worth lookoverall hotel fab will not disappoint room ! 
 Aug 23 2009 	 Excellent every way .......... 	 stay New York palace 4 night book via expedia . email prior arrival inform plan propose girlfriend . allocate room approximately half way top overlook cathedral . make trip something remember view incredible day night . room immaculate great k - size bed good quality furniture include large flat screen television . issue T.V work along internet easily resolve helpful staff . hotel situate across road sak 5th avenue perfect shopping far carry bag back . staff friendly hotel decor fault anyway . gult bar ( part hotel ) decorate high standard comfortable everyway altho quite expensive 2 bottle beer couple cocktail pizza £ 70.00.breakfast great find system quite frustrating altho pre - pay breakfast sign day . problem self make clear pay extra . explain depite several way ask basic question . result bill expect incorrect . could easily avoid fully explain include etc full understood pay advanceOverall hotel great would 100 % return . 
 Aug 21 2009 	 Beautiful Hotel Wonderful Location 	 TripAdvisor not give option selecting , stay New York Palace pleasure work meeting . husband agree one nice hotel ' ve ever stay . , summer 2009 ( stay ) , price fantastic ! ! ( $ 200 per night ) anyway , hotel beautiful ! 's extremely clean friendly staff . call ahead request view St. Patrick 's Cathedral , sure enough - check , give fantastic room overlook cathedral ( upgrade charge ) . hotel bring we complimentary fruit plate , also nice touch . sure bring , appreciate . location hotel fantastic ! obviously , St. Patrick 's right door , also couple block Rockefeller Center walk distance Central Park Times Square ( opposite direction ) . be shop , be also near great store . summer , Madison Avenue , right front , shuts street vendor , fun walk . room roomy extremely comfortable King size bed . other complain bathroom small . ok - ' ve large bathroom , nothing complain seriously . be still counterspace . not monsterous bathroom ' ve place . reason stay ... staff hotel friendly helpful . course , expect , doormen ready call cab whenever . concierge find great restaurant choice help get Statue Liberty wherever want go . maids regularly say hello pass , etc . everyone seem genuinely happy guest . lovely patio / bar front wish go . wear one day really would time go - - nap upstairs dinner instead . basically , top line full service 5 star hotel right ( summer 2009 ) charge rate would expect find 3 star ( Manhattan anyway ) . would enjoy stay regardless price , absolutely LOVED staying deal ! ! aside - recommend eat Elio 's - small italian spot Upper East side . take cab get there . as other say - not order room service ! 's WAY expensive , even New York . plenty place eat ( include breakfast ) around hotel . enjoy NYC ! ! ! 
 Aug 21 2009 	 awesome stay 	 get back New York stay New York Palace ' m still blow away awesome simply amazing time . evereythe perfect , location hard beat , service , room size etc . simply well ever experience many stay New York hotel . staff extremely helpfull , support exceptionally friendly . highly recomment Palace plan stay future . thank New York Palace . 
 Aug 20 2009 	 great hotel ! 	 hotel great . excellent service , large room , courteous staff - really enjoy , rate reasonable type hotel . 
 Aug 18 2009 	 excellent location seamless service 	 stay one night head south find hotel right heart Maddison Avenue excellent . upgrade suite arrival pure heaven comfortable luxurious bed could wish . room service courteous efficient ground floor coutyard bar serve truly wicked cocktail . long enough stay .... still , hope back later year . 
 Aug 18 2009 	 amazing stay great hotel 	 read many great review New York Palace decide book find good deal . stay Executive Corner room overlook cathedral . amazing . location also superb . only niggle hot water ( hotel 's fault ) give we breakfast free . pay breakfast 's bit steep great . staff friendly next time afford stay - ! 
 Aug 15 2009 	 almost five star quite 	 Elegance , grandeur , fabulous location -- describe Palace . hotel shop restaurant around , walk Gershwin Theater hotel take eight minute . perfectly locate plan evening . room certainly large New York average , view St Patrick 's Cathedral beautiful . also love quick appetizer drink courtyard . fun see coming going guest enjoy shade big tree light breeze long day . the area find bit lack hotel service . be not receive great service -- . check quick , bellman efficient -- problem ? feel cool impersonal . come Mandarin perfectly combine five - star service warm , welcome smile , little let perfunctory service Palace . also , one point waitress disappear , never return . want second round beverage , wait half hour see neither hide hair , give . aside one quibble , hotel great . beautiful property , exceptionally comfortable bed large room . would tell staff smile warm bit , Palace would perfect . 
 Aug 12 2009 	 guess fine ! 	 stay Palace last week three night - purely back amazing review honest . fine - nothing , nothing less . we book executive room get fantastic view St Patricks 39th floor - right next Exec suite . well worth pay extra $ 30 night exec room get otherwise ludicrously expensive breakfast include nuts crisp evening ( not expect swanky canape ! ) drink . one problem though would appear great upsell deal fairly well know exec room often pack ( especially breakfast ) . mean table dirty , child scream impatiently queue form . end world , real executive look tranquil would much . reception fine - plesant chap check we get show room porter mumble pretty incoherently not really get much sense carry bag open door fine . room fine size tv usual amenity . absolutely nothing special nothing bad either . kind sums place . service fine , housekeep fine 5 star hotel true sense word ? absolutely . turn - down service couple chocolate pillow not really . nice place not exude either quality , charm certain know 5 star hotel would . course , price like real 5 star hotel get pay suppose . request late checkout ( 1 pm ) get problem ( despite mention charge room ) . nice . next time go back New York try find something little less bland , little special . know , can not get would think go back Palace . fine . 
 Aug 11 2009 	 New York 's Finest . 	 Love hotel , will find well rate . extend great welcome make feel immediately relaxed . room comfortable great view St. Pats . hope future excursion Manhattan spend Palace . 's wonderful hotel . 
 Aug 11 2009 	 Great Hotel - love Executive Lounge 	 love Palace ! room 30th floor ( 3009 ) – street noise – partial view ( wall skyline ) . would want 3007 3005 think room would block wall . Executive Lounge access – fabulous ! ! breakfast great ! nice drop fruit cookie snack day wine nut nice dinner . lunch also available nice . hard work staff lounge – , busy lounge . concierge helpful dinner recommendation subway direction . room nice , large comfortable bed . like bedside light temperature control . Lindt truffle night nice : - ) . bathroom nice large soft towel , nice soft bathrobe . hotel good location activity . subway stop close local sometimes walk Grand Central Express instead . 
