would 	 reason stay location . service not great , room so - so amenity average . afford go somewhere else , please . 
 love location room 	 good experience stay hotel , location excellent times square , experience good , would like stay hotel . 
 Great Location Great View 	 stay Millennium Broadway 3 night 22nd November . hotel simple find access 44th 45th street entrance . location could barely well , right next Times Square ( room overlook 30th floor , amazing ! ) close transport link . check quick efficient although need hotel service , appear staff always hand quick helpful . room good , huge bed , large flat screen tv ( room much watch ) good furniture . bathroom character low side bath ( remind 50 horror movie bath , quite charming ) . downside tea coffee make facility although short coffee shop outside hotel ( starbuck every corner ) . good hotel , fantastic location well worth stay . 
 fantastic location quiet safe however room / hotel need update 	 go Macy 's Thanksgiving Parade careful consideration choose hotel due 's location ability book one room family four . location great , step Times Square , yet quiet alley . it also close major attraction include Broadway theater Rockefeller ctr . price reasonable consider fact major holiday ( book Venere.com ) . room small comfortable , tiny , like room NY , 2 bed assume feel much big one bed . big flat screen t.v fairly comfortable ( bit hard ) bed . though clean , carpet stain bathroom need major remodeling fan , old fixture , etc . much housekeeper do . check front desk friendly accommodating , upgrade we premiere room per request , practically room high floor well view . it lobby , character like one review state . coffee room starbuck next door . this perfect hotel someone look clean place good location rest tire day outside . seem favorable family group woman , rightly , since safe ( doorman late hour ) relatively quiet ( ny ! ) . hotel offer concierge service bell man , feel like cater self sufficient tourist like . time use service friendly , helpful , professional . Plaza , crummy little hotel believe Millennium Company decide give face lift deserve price hike accordingly . check Patzzeria Pizza ( incredible ) Margon ( cuban food ) near . 
 great tourist location decent accomodation lack character 	 Millennium serve need well . mainly sightseeing , although event attend Madison Square Garden . locate half block Times Square , hotel also within easy walk distance Rockefeller Center subway . room 34th floor offer view Times Square ball . room comfortable decent size NYC . bathtub need refinish . flat screen television fine -- remote basic without sleep option function expect . bath product restock daily bath robe fan expect premier hotel . not dare open refrigerator fear charge one friend put Coke get elsewhere . I not rude interaction hotel staff . seem somewhat aloof chip shoulder . millennium lobby basically run somewhat narrowly street entrance 44th 45th street . hotel desk , concierge desk , bell desk , restaurant , small seating area . really expect large lobby sit people watch lack . seem lobby passageway lack great character elegance . would stay , location can not beat . 
 good location 	 stay hotel three night attend conference hold nearby hotel . pay conference rate ( $ 269 + taxis per night ) , think reasonable location . room spacious well furnished . 6 - outlet power strip work desk , convenient . king bed comfortable . AC noisy . stain spot carpet housekeeping apparently vacuum room everyday stay . luxury hotel ; tourist hotel opinion . , expect much hotel , would get disappoint . 
 Oct 30 2009 	 Convenient bu dark 	 great location right Times Square . lobby room dark nice . would like coffee available room instead go starbuck next door . 
 Oct 29 2009 	 fantastic every way ! 	 couple problem room originally give . fix time . also issue magnetic strip key , , fix quickly . use concierage service - fantastic ! hotel quiet . location could well . would stay second ! 
 Oct 25 2009 	 Perfect location great staff nice room view 	 hotel convenient- half block away Times Square major subway station , block away theater district block away Rockefeller / Fifth Ave / Empire State Grand Central Station . staff helpful accommodating . although room not ready get 0900 , front desk clerk offer check availability not find anything , give business card tell call 1200 since something would likely open ( instead wait check time 4 pm ) also offer hold luggage go explore NYC . not get check early ( time ) end take tour not get back 6pm . the room clean big expect . nice view- Chrysler building right outside window . bed comfortable . bathroom clean part bath tub little worn down- 's discoloration tile , be . really enjoy stay . would sit along Broadway Avenue alone past midnight , watch crowded Times Square pass worry time distance need travel get back since be literally step away get hotel . oh one last thing , extreme fear elevator second day , terrified go call front desk manager go way 30th floor pick take elevator . nice tell hesitate ask assistance anytime . sound like ridiculous request none staff assist make feel like . accommodate pleasant . 
 Oct 24 2009 	 awesome 	 awesome service ... stylish & amp ; modern room ... amazing view Times Square ... 
 Oct 20 2009 	 disappointing stay - clean stuck smoking room 	 stay Millennium Oct 16 - 18 really unhappy experience . surprised find hotel still smoke room get stick one first night . yell / fight manager get non - smoking room second night . room impressive - sheet stain dirty . bed comfortable not get good sleep . overall , disappointed management hotel quality room . good location , would pay well hotel well service . 
 Oct 20 2009 	 terrific location adequate accommodation 	 stay hotel girlfriend theater weekend . location Millennium Broadway excellent . 39th floor room quiet . noise neighboring room Times Square . room pretty spacious ny . give hotel average rating could tell upgrade room . stain carpet nothing make feel like could walk bare foot . decor heavy red & amp ; brown asian theme seem date ( see picture hotel 's website ) . bed sheet towel standard fare -- thin bit rough . ( maybe ' m getting use Westin 's & quot ; heavenly & quot ; bed ? ) decorative bed pillow rock hard uncomfortable lean pillow sleep comfy . bathroom nice -- marble vanity plenty space two woman put makeup , lotion blow dryer -- good lighting clean tub / shower ( drain stopper pull , though ) . room large flat screen tv , desk leather side chair . , adequate accommodation . nothing special . nothing awful . respectable . compel stay ? come price . class , Millennium Broadway good price location want . hotel staff pleasant , friendly helpful . 
 Oct 20 2009 	 Perfect Anniversary weekend ! 	 celebrate one year marry come NYC celebrate ! hotel perfect . location LITERALLY smack dab middle Times Square , still peaceful energy . everything great ! not amenity ( internet , business center etc . ) not ridiculously expensive , hey NYC ... capitalistic & quot ; head cracker & quot ; . LOL . one . period . I would recommend place ot anyone . subway maybe block away . drain tub stop work send someone IMMEDIATELY fix . service great . room view great . room upgrade free . stay . see . go to spend lot money Times Square lodging , get money 's worth . 
 Oct 19 2009 	 Locks TV not work -- poor customer service 	 make new key we every day -- twice not work security open . employee front desk suspect battery lock dying , one every show replace . tv not work first night , reception poor almost unwatchable additional night . nice location , poor maintenance lack customer service make choose different hotel next time . 
 Oct 12 2009 	 Location Location Location ! 	 stay 2 night , 10 - 2 10 - 4/09 pleased stay . walk 11 block Penn Station - easy walk really . check 6 pm problem use Priceline reservation . everyone friendly concierge answer question ask . great King room overlook part time square - night especially beautiful view ! hotel convenient everything Times Square area especially ! room actually ' big ' NY standard - downside - free internet unless get ' deal ' be fairly pricey . try charge we 4 beer mini - bar fridge room - however drink - couple fall try put bottled water fridge .... call front desk charge take immediately ! would definitely stay Millennium Broadway hotel ! ! ! 
 oct 9 2009 	 Best birthday ever ! ! 	 Hubby take NYC 40th birthday . first time stay . stay different hotel night please nervous hotel would like . ease soon walk lobby . able check store bag could go see site . room ready return afternoon . room 51st floor . amazing view ! ! ! could see ball Times Square Empire State Building name two site visible way . room large , bathroom spacious , two leather chair really comfy , bed really comfy , nice flat panel tv , easy access wifi , get picture . complaint bedspread heavy silky keep slide we . enough deter we stay . order room service morning birthday . surprised come 20 minute perfect . close Times Square quiet way 51st floor . great stay 1 am feel safe walk back hotel close action . can not wait return city definately stay . 
 oct 9 2009 	 NYC trip 	 nice location execellent . room quiet help nice question . would definitely go back 
 Oct 8 2009 	 Awesome hotel .. first time stay will not last 	 recommend Millennium Broadway friend go stay NYC . location fabulous . always great view room . ' ve also stay Premier ; hotel nextdoor nice . return March another lovely stay ! 
 Oct 8 2009 	 Fantastic 	 great location two block Times Square . wonderful clean stylish room . 
 Oct 8 2009 	 wonderful ! 	 great experience Millennium Hotel . location perfect . staff pleasant even upgrade we . room ready arrive get 11:00 a.m. ! room spacious clean . would definitely stay hotel ! 
 Oct 8 2009 	 nice like picture . 	 first , let say first visit New York fantastic ! daughter time live never felt lose unsafe big city . stay Millennium ... ok . location perfect . right heart Times Square , walk practically everywhere go . problem hotel room . be like , go web page , look picture , read review Trip Advisor , etc . room , least , nothing like picture . clean , stain carpet , near size depict photo . not complain guess could bad . expect hotel . would probably recommend one due location , guess warning - not believe everything see web page . 
 oct 2 2009 	 AWESOME ! ! ! would stay 	 nice room , excellent staff , 41st floor - good view . parking across street fee .... New York ! View Times Square direct view.con - coffee room . 
 oct 2 2009 	 Great Hotel - quieter think ! 	 spend 4 day Millennium Broadway - Premier Hotel side . dispite close proximity Times Square , hotel nice quiet . main tower great view Times Square , step hotel 's entrance . the room clean , airy bright . huge window ( floor ceiling ) let alot light see action . bathroom emmaculate , fresh towel bath ammenitie luxurious . bed comfortable love comforter . concierge staff friendly pleasant . I would highly recommend anyone travel NYC business pleasure . access show , restuarant , etc excellent . for drive , 's parking lot one block 10.00 night parking . 
 oct 2 2009 	 Great Hotel Great Location 	 happy hotel . room large NY ( two queen bed small sofa ) , clean modern ( although ihome find virtually every hotel ) . staff attentive helpful . gym spacious well equipped . right middle Times Square/ Theatre District couple block subway station . convienent - walk distance Broadway show , lot Comedy Clubs , Hell 's Kitchen , Central Park quick Subway ride everywhere else . skip overpriced pizzarias chain resturant area walk ' Resturant row ' Hell 's Kitchen much well resturant reasonable price . 
 Sep 27 2009 	 excellent value 	 lovely hotel , room large clean ( niggle want picky coffee stain carpet ) good size bathroom . excellent situation , short walk Times Square close everywhere else . nothing much trouble , store luggage free day departure ( flight evening ) mini bar available , however , unfortunately , tea / coffee make facility room . quiet well control air conditioning , room also well insulated , noise infitrate outside within hotel . would thoroughly recommend hotel would definitely stay . 
 Sep 24 2009 	 Brilliant service lovely room would highly recommend 	 stay September 2009 really enjoy hotel . gorgeous marble lobby greet , staff really friendly efficient . room gorgous , opulent lovely bed . great sized room NYC - big lot UK hotel ! 
 Sep 22 2009 	 beware cost ! ! ! 	 $ 400 camera steal room . locate maid floor instead ask normal question ( like & quot ; last see ? & quot ; & quot ; look like ? & quot ; ask , coldly & quot ; well , put safe ? ! ? ! & quot ; Security promise follow trip year later never contact loss . what shame beautiful hotel could terrible service . one desk , operator , security , room service care least little bit we stay . would think pay we instead way around . additionally , noisy & quot ; nice & quot ; look bathroom fixture cheap fall apart hand . 
 Sep 20 2009 	 absolutely fantastic ! ! 	 stay hotel september 12 - 16 . see mixed review think hotel look nice booked booking.com . arrive early room ready yet get know area nice . email hotel book ask room high floor checked get amazing room 51st floor ! nice big great view ts , Empire State Building Chrysler building . think room well keep date . clean also good . staff nice helpful . location also great . take second walk Times Square Avenue Americas . we great stay would love go back ! really would recommend hotel everyone ! hesitate booking ! ! : ) 
 Sep 19 2009 	 Clean Central - could need ? 	 half block Times Square 2 block Grand Central Station , location hotel can not beat ! ( 44th Broadway ) check - in quick simple , although check - in staff particularly friendly , concierge bell guy make friendly , helpful attitude throughout whole stay . check hour early expect request King Room available happy accommodate we double room ( 30 hour flight happy option ! ) fuss all . the room well appoint clean . would read previous review hard mattress , hotel seem rectify complaint add ' pillow top ' type underlay 's bed make difference . bed cover , also mention previous review , quite flimsy exactly warm , blanket additional pillow find hall closet ( also find iron ironing board in - room safe closet ) . bathroom large clean provide ample amenity . view rather lacking , central city offer , can not imagine anyone sit around gaze window ! couple quick note - convenience store across street front hotel , quite pricey would avoid favour ' Cranberry 's ' across street back entrance hotel . great breakfast also use internet pretty reasonable rate . 
 Sep 17 2009 	 Great Value . Superb Location . 	 first trip New York , want stay centrally choose hotel due proximity Times Square , Central Park etc . mixed review site little apprehensive . need ! arrive early morning disembark QM2 able leave luggage . tell could try book 11 am may room available . however , busy , around 4 pm arrive back ! request high floor give room 45 great view Chrysler building . luggage deliver within 10 min we goint room . room really big necessary amenity . room service well every day whilst staff speak really helpful . lift fast reliable location - could ask close theatre , restaurant etc etc . would definintely recommend hotel . pay £ 130 per night Expedia feel good VFM ! 
 Sep 16 2009 	 view ! 	 absolutely fantastic location . hotel gorgeous , fantastic view Times Square room 23rd floor . bed absolutely massive comfortable , huge flatscreen tv well , keep clean housekeeping . complaint lack free wi - fi room , price feel include minor thing ! would go back . 
 Sep 14 2009 	 unbeatable location Broadway 	 book hotel birthday surprise wife , first time New York . location superb Broadway / Times Square small fee , upgrade large room 33rd floor view towards Times Square . use hotel base spend much time probably get full value - excellent hotel , comfortable room , large bed think ever see Manhatten skyline 33rd floor room . could ask ? 
 Sep 13 2009 	 Excellent Location 	 Friendly service . staff helpful . room clean update . downside view look back alley . good value money . step action Times Square . 
 Sep 9 2009 	 Excellent Hotel would defiantly stay ! 	 back 6 night New York wedding would highly recommend hotel . location excellant , right beside Times Square , actually view window . staff helpful accomodate . room large consider New Yorks usual hotel room size . room could done bit upgrade decor wise nothing bad , clean tidy . would defiantly stay Millenium Broadway . 
 Sep 8 2009 	 one good Hotels ' ve stay price . 	 check ( 10:30 a.m. ) tell check - in Premier side concierge . turn randomly upgrade business side hotel . tell difference room quieter , less traffic , accomodating . room ready us problem early check - in . queen size bed , small desk , tv area couch ( swivel tv ) could watch bed couch , closet generous size bathroom separate tub shower . shower small adequate . room certainly spacious enough two people share . clean quiet . location hotel 2 short block Times Square . subway 5 short block away . easy navigate want go . would definitely stay price pay . hotel staff friendly happy answer question . 
 Sep 7 2009 	 great hotel great location 	 would hear hotel year , seem sponsor many tv show . Hotels.com running discount , decide try . arrive , tell king bed room available despite request bed ; however , able get roll away free . parking painless ( hand key doormen , car back half time estimate ) . room clean , safe , location unbeatable . will definitely stay could get good price . 
 Sep 7 2009 	 Great Location 	 Boyfriend surprise 7nights New York & amp ; pick hotel purely location ! close holiday get read review , negative one totally unjustified ! arrive early 4 pm check - in still check we ! staff polite , & amp ; room quite big great king size bed 41st floor ! good view corner Times Square , & amp ; tilt head could see Crysler Building & amp ; street noise ! fan great keep room nice & amp ; cool we go sleep ! great location ... first time visit New York , really easy find way Times Square ! problem organise shuttle bus hotel airport ! plan phoning confirm however one staff member say could get concierge we ! woman desk nice & amp ; problem we ! leave answer message get return later nite & amp ; confirm wrong airport ! go desk & amp ; man time ... explain collegue confirm wrong airport & amp ; ask could get print confirmation ( message say could go pick ) ! rude & amp ; basically say not problem , & amp ; not deal Blue Shuttle company & amp ; concierge would not do ! assure ! ! ! appart everything great ... would stay ! 
 Sep 6 2009 	 excellent experience ! 	 stay Millennium Broadway 4 night - Aug 28 - 31 , 2009 . book Travelzoo pay total $ 743 , include taxis . arrival somewhat apprehensive since price / location equation seem good . everything work fine . good sized room , king - sized bed , flat screen tv , in - room safe , quiet ( 30th floor ) , efficient elevator , friendly staff , efficient check - in & amp ; check - out . quibble would bedspread - bit thin - AC work well . plus , great location step 7th Avenue , 44th 45th Streets . good value . 
 Aug 26 2009 	 expectation exceed 	 husband book hotel weekend New York City . husband 's first time visit city , tell prepare anything . pleasantly surprised check Millenium - staff friendly even though early check , hold room view we check hour later . view incredible , location perfect , room average . bathroom decent flat screen tv really nice . thoroughly enjoy stay would highly recommend . 
 Aug 26 2009 	 pleasant ! 	 check breeze , agent excellent take 3mins ! ! check room , deliver rollaway 5mins turn night . proceed turn lamp , large piece bubble gum bed head . I report Frontdesk take 3day move . iron cord expose wire plug lot sparkss . take 3days bring replacement yes go dinner mash clothing . if be not bad enough lot stale chip , paper , qtip etc behind drawer add insult injury A / c leak resulted clothing soil . claim fix place blower room yes carpet wet Tue thr Friday . like say sammy manager good logging call , drop ball follow . give credit $ 172.00 torchure . cancel 7 room 7nights November not think really care customer ! ! ! Keva Adams 
 Aug 25 2009 	 Loved Millenium ! 	 money spend , location , beautiful bathroom , view room , hotel well worth . not even notice hard bed complain . probably due fact soooooo tire much ! walk hotel turn leave right , walk 20 step SMACK dab middle everything ! not folk go New York City anyway ? go sleep ? ( LOL ) . 7th heaven not even notice service other complain . enjoy every minute stay ! yes - would go ' m bring girlfriend next time ! 
 Aug 25 2009 	 Perfect location ! 	 use price line get hotel room decent price ( around $ 150 / night ) spend entire week . hotel room relax long day walk sightseeing Manhattan . bed comfortable , room spacious , cleanliness place overall fantastic . good thing hotel location . 's heart Theatre district love Broadway show , be 5 - 15 minute walking distance . not give full 5 star follow reason : 1 . service could well ( really approachable , friendly staff lobby ) 2 . hear loud sound neighbor door open close ( might acoustic room locate ) be really loud wake we every morning want sleep in . in light , would stay hotel go back NY . would not want stay Times Square ? 's great location ! 
 Aug 24 2009 	 good value good location 	 stay one night . location can not beat go Broadway show . step theatre . room decent size ( esp NYC ) , clean , quiet . great view Times Square . pay $ 185 king room plus tax . could not imagine pay close $ 400 / night regular listing price , price pay worth . would try . complaint check - in slooooooow . need people counter - one two help 10 + guest . 
 Aug 24 2009 	 check final bill 	 room alright . book Millenium check - in room Premier . night bill slip door charge mini - bar fee something not drink .. check - out remove mini - bar fee charge another fee something not take . watch bill overnight check - out . cautious .. seem like Millenium Company want get much hope not notice . 
 Aug 18 2009 	 great location great value 	 book hotel , read lot review . couple negative comment not believe justify . wife spend 6 night hotel . great , half block Times Square . 37th floor hear street noise . view room overlook Times Square beautiful . problem whatsoever . clean , comfortable , quiet . two block 42nd street subway . negative .... could soft pillow . thoroughly enjoy stay . disappoint , unless expect something ultra fancy . want nice , clean room decent price ... place . 
 Aug 17 2009 	 great location dull hotel poor customer service 	 Stayed Millenium Broadway 4nights august , find location hotel great hotel appear website . find inside hotel gloomy , smelly old especially carpet bathroom . stay superior room like standard room difference . find customer service quite poor person find helpful concierge . anytime ask question staff like want get rid tell phone back later answer etc . pay lot money stay , want pay money luxurious hotel good advice not stay want location times square def stay . 
 Aug 15 2009 	 always good choice 	 say several time year keep come back . location perfect price always much well many surround hotel . staff exceptional even help parking & quot ; issue NYC & quot ; advise good lot use . try get corner room much spacious side room . negative comment elevator tend slow side . everything else great ! 
 Aug 13 2009 	 Fantastic experience ! ! ! 	 wife stay July 30 August 3rd , 2009 . amazing time NYC hotel locate wonderful spot right times square . would stay heartbeat . 
 Aug 11 2009 	 Great Hotel Midtown Manhattan 	 stay two night mother last August . stay 44th floor corner room face Time Square . room clean exceptionally large Manhattan standard . staff helpful location could beat . also , breakfast every morning deli across street serve delicious breakfast option sandwich quite reasonable price . 
 Aug 10 2009 	 great value 	 wife stay overnight Millenium seeing show Broadway . check , offer free upgrade & quot ; Superior & quot ; class room . room 36th floor , quite spacious NYC . view not great ( landmark building side hotel ) , high enough traffic noise . it literally one block Times Square two block 42nd St subway entrance . if see show , would probably stay want travel around NYC see sight , would choose different location . hard navigate throng tourist Times Square . feel lot like Disneyworld , people front stop walk middle sidewalk apparent reason . elsewhere city not crowded . subway system expansive , really hotel near subway stop fine . 
 Aug 9 2009 	 sound sleep city never sleep 	 Booked room quick trip Manhattan celebrate wedding anniversary . find great price millenium webpage -- much well ' name price ' site . able check hour early . quite line check one clerk duty 20 people check . quickly add clerk find head room . we ' ve many hotel room Manhattan pretty much know expect , view wise . pleasently surprised view 44th street Chrysler building . the room large NYC room . king bed , dress table mini bar , nice sized hdtv pedestal top , desk chair , club chair , table lamp . overall , nicely decorate room . bathroom one sink , suprise , nice sized room well . the hotel step away Broadway Times Square , restaurant row theater Manhattan . close ' action ' Manhattan , concerned would noise issue . ' m happy say , siren , quiet peaceful . we order breakfast room service leave catch train home . order deliver quickly correctly . meal delicious arrange beautifully . complaint ? minor issue ... several small trash can leave outside door chair hallway . housekeeping staff quite quick knock enter morning . overall , fine hotel 's category specifically , staff top notch , friendly helpful . can not go wrong booking top , will sleep well ! 
 Aug 8 2009 	 highly recommend hotel 	 viisite NYC daughter please hotel every regard - clean spacious room , quiet comfortable , lovely large bathroom , great location . concierge helpful , give we access Premier side internet use . lot great dining ( db Bistro awesome ! ) theatre easy walking distance . can not wait return ! 
 Aug 8 2009 	 easy choise work great 	 room everything could expect . staff helpful , polite . bar downstairs delightful pleasant bartender . location , could well . work great : brodway ticket door traveller easing function . maby conciere thrill provide service . first time visit NY . love have it . on rainy day , nothing lifts spirit singing doorman . 
 Aug 4 2009 	 great hotel ! 	 get back NYC . book hotel Travelzoo special . arrive sell superior room book . upgrade us suite . we 51st floor view 44th St . room clean staff friendly . location great . highly recommend ! 
