great 	 hotel gem . like small hotel attentive service , place ! whole staff nice , polite , smile time , front desk housekeeper , breakfst staff etc . Breakfast include good , include good coffee . room clean bit small . but care , NY visit shop , stay room ! location perfect , litterally 2 block Penn station , Macy 's , Empire State building etc . even walk way Times Square , Broadway central park ( need time however ! ) go back recommend anytime ! price make even attractive : app . 250 $ US room 2 double bed ) . 
 Jun 18 2009 	 would rather stay . 	 ' m really sure . hotel provide free ear plugs white noise machine . letter counter arrive apologize & quot ; garbage truck & quot ; can not control . think construction site across street perhaps garbage transfer station kind . know midnight night horrible whirring , grind , crash clunk noise one would associate sound garbage truck make begin continue without stop throughout rest night , echo throughout entire neighborhood . high floor . really think overnight construction work . letter room upon arrival ( surprise ! CA not sleep ! ) not right answer . full disclosure booking ( book direct via web ) let market tell charge kind problem . also not provide clean towel . oh , read letter ' ve get green policy . ' m fine . dirty wet washcloth pick floor remove , replace without make special request . ( really think do would not neglect put tip little housekeeping envelope first morning . ) youthful staff front desk could helpful . ask question mostly feel like bother not really get helpful advice anyway . extend continental breakfast serviceable average little variety , fourth day . would helpful restaurant would open , . price not horrible location really pretty good . would go back real Wyndham next block little dough rather stay . spacious room microwave fridge , huge plus NYC . general would rather feel really welcome instead feel little scammed . also , understand need clean carpet chair time time leave letter might happen room time next day not good strategy guest . also tell day come room notify finish . pick stuff floor repeatedly prepare return carpet dry day , something discover walk sock foot . 's management issue , certain , although besides lower price , ' m sure really do neighborhood noise . still , 's fault feel take advantage . wife hardly sleep . 
 Jun 18 2009 	 Great Hotel great location 	 spend four day Wingate Inn 35th & amp ; 7th NYC . four adult sharing room . room clean , beautiful plenty room suitcase since four we catch 9 day cruise departure NYC . room 300 sq ft include plenty room bed , large closet large bathroom . quiet , except one night garbage pick 2:00 -- staff friendly extremely helpful every request . breakfast good -- egg , sausage , bagel , toast , waffle , cereal , fruit , juice , milk , & amp ; coffee . free safe & amp ; free internet . location could better-1/2 blk blue , 1 blk red 2 blk orange subway . street close night , day middle garment district . restaurant 1/2 blk west & amp ; 1 blk south , along drug store . feel safe night street , 2 blk Macy 's & amp ; 3 blk Empire State Bldg . would definitely recommend hotel anyone visit NYC . July , open Creole Restaurant also . 
 Jun 18 2009 	 Place stay Manhattan ! simply Superb ! 	 New york stay usual small room Manhattan abound . Wingate Midtown Manhattan though league ! location excellent , right behind Macy 's . wan na shop stay right place . TImes square 15 min walk . good eatery nearby , would highly recommend great bread factory 2 min walk . room large , bathroom really well equip , staff nice friendly ! one fantastic Place ! vegetarian breakfast hold good option we . great way start day . u Newyork look ! wingate good option ( unle ofcourse afford Waldorf astoria ) . hotel room rate simply fabulous ! 5 we book two double queen two night . ( travel parent ) . seriously stay ! ! 
 Jun 14 2009 	 Great Location Friendly Staff 	 book hotel read positive review fellow traveller , disappointed . room tidy , bed big enough two people , microwave fridge daily newspaper deliver room . would want ? location would strong point hotel , close Penn Station , Times Square 10 min walk , take subway various location Chinatown , Uptown Manhattan , Staten Ferry Island , Wall Street , Central Park ..... come JFK airport , take Air Train , take LIRR Penn Station . probably hotel within next 30 - 45 min easy . Exiting Penn Station find way hotel extremely easy LIRR , follow sign 34th St 7th Avenue , go escaltor exit main street ( 34th St 7th corner ) , go one block along 7th avenue 35th st , turn leave ( Starbucks ) walk 100 yard . breakfast , ok , time breakfast feel could little convenient , I m really morning person . overall selection food ok , think could variety especially vegetarian food intolerance . overall enough get day . overall , great place stay , definitely stay . 
 Jun 12 2009 	 disappoint 	 second time visit hotel , first time family . can not fault , clean tidy room , pleasant helpful staff , wonderful location . New York can not recommend hotel enough . every request make regard room location deliver , good true be . I suppose good recommendation back . 
 May 29 2009 	 Great Place ! 	 thoroughly impressed hotel . clean , complimentary high speed internet , functional furnishing , comfortable bed linen , fair price great location ! ! could ask ? definitely stay next visit city . thank much . Job well do ! ! 
 may 28 2009 	 location perfect ! 	 walk everywhere . 1/2 block Macy 's , short walk Time square . even walk pier tour Statue Liberty . Starbuck 's right corner . front desk staff friendly room large expect modernized bathroom . love microwave fridge . downside & quot ; breakfast & quot ; . well 9:00 want anything . one waffle maker everyone share . bad one cleans table serve counter not clean tidy . lot 's resaturant area serve breakfast reasonable price . aside good value pirce . 
 may 15 2009 	 Average New York Hotel 	 hotel badly locate Times Square within 10 minute walk reason pick hotel . room comfortable although view window side building / factory . would choose fairly expensive hotel order overlook anything well New York ! ! breakfast room small generous size donut pastry reception area quite nice . would recommend meet standard would expect price pay . 
 may 12 2009 	 great hotel good value money 	 husband recently stay hotel 5 night must say excellent value money . fussy person come quality cleanliness , hotel meet standard . arrive late night check easy . room nice size clean bed comfortable . even though could hear noise outside especially collect trash , hotel provide ear plug could use . personally like noise come outside , real new york feel New York busy city noise expect . complimentary buffet breakfast fantastic also . go early not busy food great . overall , hotel close walking distance macy 's , times square shopping strip , even walk central park . ever return New york definetly stay . 
 Apr 28 2009 	 Great Hotel path 	 hotel great place stay , close Penn Station Times Square . food , Staff amenity great ! clean everything place . street , 35th quiet consider Manhattan noise level night low . also , staff help we get ticket Broadway Show refuse tip service . 's expect find first rate hotel . 
 Apr 26 2009 	 ` ` Excellent '' ! ! ! 	 partner stay Wingate 5 night , fault anyway , Staff helpful pleasent , room clean every morning , breakfast serve 6am-9pm throughout week later weekend , every morning sausage , scrambled egg , toast , muffin , bagel , pastry , yogurt , juice , tea , coffee make waffle , never lack breakfast get go day early 6 am other late 8.30am always plenty food , however dining area get busy later go . miss breakfast load eatery choose , hotel provide free wireless internet room , also provide 2 computer internet access printer come hand we cheke online flight home print boarding pass . location hotel great , close subway hotel Penn station block , Macy 's 5 min walk away do not forget take passport go get 11 % discount card visitor centre towner ! , 10 min Times Square Empire State . get tour bus around island , get 3 day pass include load stuff like 2 hour boat tour along Hudson river , entry Empire State building admission hop bus whenever wherever like much price $ 86 per person great discount add cost attraction alone , tour guide see yellow jacket find outside tourist attraction bus stop . the Subway really quick way get around become easy use know . advise getting & quot ; Metrocard & quot ; intend use sub lot , top station sub ride cost $ 2 ride whether go 2 stop 20 cost u $ 2 time . get subway central park somewhere would highly recommend go ideal place get away hustle bustle city u fancy break , walk back home 5th Avenue call designer shop way back ! ! ! find every 20 block 1 mile . different type restaurant everywhere , would definately advise go steak , steak amazing , one restaurant particular Nick Stephs Steakhouse find 9 Penn Plaza near madison square gardens , go Porterhouse steak 2 $ 44 per person enough 2 hungry people side order huge ! ! ! fantastic , staff great restaurant lovely . however feel really tired want eat close hotel restaurant attatche hotel call Luxe get 10 % discount show room Keycard . could go forever fantastic place hotel brilliant wish still ! 
 Apr 20 2009 	 could hardly fault 	 second choice hotel read numerous review , however first choice available date want . firstly make welcome arrival , room clean , huge pleasant surprise friend already visit New York experience . free wire wireless high speed internet cost , safe room large enough hold laptop . take earplug light sleeper want get city do not , however hotel quiet do not ever use ( room 1605 ) breakfast okay free / include however quite basic quite sparse time , early lose . hot food scramble egg bacon sausage shape burger ( think something shape like burger morning do not appeal ) serve 5 morning row instead day bacon start . make toast 2 x 2 slice toaster , breakfast room busy expect wait . wife love bagel New Yorks suppose well certainly . apart cereal , fancy cake , tea , coffee , fruit juice waffle maker , be help clear away dish . never use gym eat restaurant drank bar . however location good get , stone throw ( 2 minute ) Macy 's , 10 min Empire State Building , Times Square 2 minute subway ( downtown ) Penn station . would definately stay recommend other , do not expect much breakfast . 
 Apr 18 2009 	 great hotel excellent location 	 sixth visit NYC good hotel stay . hotel clean modern condition . room large comparison Manhattan hotel . room face busy street therefore find quiet . reception housekeeping staff friendly . free wi - fi throughout hotel also bonus ! excellent location - Macy 's corner 7th Avenue - virtually opposite hotel . Empire State , Fifth Avenue Times Square short walking distance . low point breakfast busy hotel could staff order ensure table clean sufficient food . 
 Apr 10 2009 	 Great Location 	 attend conference early April hotel location extremely convenient . good point - location great major attraction within walk distance easy access subway station outside hotel . hotel close plenty restaurant . hotel staff pleasant helpful . bed comfortable . the good - price justified location , high hotel quality . hotel deliver average Sheraton hotel experience . room decor date . although room noticeable loose dirt , clearly spotless carpet need shampooed . give impression high traffic hotel minimal upkeep . room warm could find thermostat regulate temperature . spa service poor . initially really happy learn sauna steam room , however , neither operate properly . steam room 5 minute shut . decide try sauna instead , also work . sauna appear turn , temperature room temperature . go front desk steam room turn back also tell sauna . say steam room automatically shut get hot would come check sauna , . return steam room shut awhile later . time , other ask turn steam room back come check sauna . , sauna problem turn need reset . somewhat frustrated , end leave spa 25 minute . 
 Apr 8 2009 	 great hotel great spot 	 stay 5 night hotel complaint . great location , short walk Time Square around corner Macy 's , Victoria 's Secret , Old Navy , Maddison Square Garden etc . room free wireless internet free breakfast excellent bacon egg , bread , bagel , pastry , cereal favourite , make waffle ! room two double bed average size hotel room clean . good , middle Manhattan , room quiet . room 601 back hotel outside noise . window also double glaze extra quiet . subway station corner well Subway ( food ) across street Starbucks end street . would definitely stay hotel . 
 Mar 31 2009 	 good facility good service good value 	 hotel ideal good value trip NYC . room modern , pleasant clean ( bed comfy ! ) . staff friendly helpful , hotel good service ethos . example - mobile phone reception not reliable throughout building , US phone call free . make breakfast bit late not pack everything look disapprovingly place - no - one bat eyelid late arrival . hotel restaurant low key meal delicious , , service good . downside traveller might not much soul - 's much business hotel . given 's get everything would want good price , imagine tourist would happy stay . 
 Mar 29 2009 	 Great value 	 trip east 4 we stay 2 room 2 night . room clean everything need . room spacious thought would read review . good work - out equipment . staff helpful . think breakfast great ! hotel sell morning walk day , stop breakfast 7 - 7:30 people . not know kind breakfast people expect $ 119 room rate . egg , sausage , waffle , fruit , cereal , bagel , pastry , juice , yogurt , etc . think super not eat around 4 afternoon . hear noises night free long distance nice . use Amtrak get city city location perfect . also take short walk Times Square , Rockerfeller Plaza , Central Park , etc . several time . complaint stay ever New York . wife find several unbelievable bargain fabric store block . take downtown tour Grayline , take Staten Island Ferry , go Top Rock . lose wallet front Penn Station pull brochure back pocket . listen advice always put front pocket -- hassle . 
 Mar 26 2009 	 Great Hotel 	 , friend 21 year old daughter stay Wingate 6 night , find location excellent , great Penn Street station close , walk landmark see much , snow last 3 day magical especially Central Park . the Hotel Staff friendly helpful , room good size clean , coffee maker fridge useful especially keep cheescake Bread Factory around corner . the housekeeping staff good job . breakfast nice never run anything , set we day save we money time . 2 good evening meal brandon walkable distance Hotel , good irish bar accross road nightcap . 
 Mar 9 2009 	 good central location noisy . 	 Hotel roomy , comfortable clean . able walk Times Square , central park , 5th Avenue many sight . location really great ctreet itslef seem little seedy . first trip NYC hotel meet expectation reasonably price compare other . big negative - our room right next tot ice maker super loud make ice night sound like someone try get room . cell reception hotel , allow free call w / i 50 state plus . would recommend hotel . luxury comfortable affordable . 
 Mar 9 2009 	 Perfect location ; nice room 	 stay one week Christmas could please ! problem encounter promise hot breakfast adequate number people stay hotel . fact , sparse second morning eat elsewhere . get downstairs plenty time , not plan well enough . everything else , though , nice - sized room , free internet access , could well . be short walk Penn station numerous tourist site . 
 Mar 6 2009 	 little thing make hate place 	 little thing place cause give bad review . start good though : room large new york ( almost size regular room outside new york ) . room bathroom clean ( although would not take bath bathtub ) , bed pillow comfortable . the location 10 minute walk time square pretty nice area little icky ... bad thing little thing : first hotel decide & quot ; green & quot ; mean change sheet towel stay . sure give we towel ask still little annoying . the air conditioner could not stay set temperature , either & quot ; heat & quot ; & quot ; cool & quot ; could live warming room sleep extra blanket . the really annoying thing baggage check . check time 11am ( ask 12AM still ok ) flight 10pm . naturally figure leave luggage hotel . charge we 5 $ per item assume take 6pm , would charge we extra 10 $ per item would want leave 6PM . pure small mindedness greed . 15 $ per item outrageous . end take luggage 6pm spend extra hour airport avoid fee . also 16th floor everything quite speak guest stay 4th floor , tell noise unbearable , supply & quot ; white noise & quot ; machine ... 
 Feb 24 2009 	 Perfect shopping sightseeing 	 read review Trip Advisor stay 4 night 3 teenage daughter half term break . great central location , ideal shopping see sight . excellent staff , helpful knowledgable , list recomende restaurant real help . room pleasant , clean , surprising quiet , 14th floor , think low floor could noisy . fridge , microwave safe room , phone problem safe , staff come straight away solve , excellent service ! ! charge water already fridge clearly mark bottle .. 2 computer available guest printer bonus . problem lift stay , although review comment . breakfast good , choice 2 hot dish , cereal , bagel , bread , yougurt waffle . experience , food replenish regularly always manage get table . it self service people tend eat go rather linger . around corner Bread Factory , ideal quick lunch snack . would recomend hotel other would stay . leave luggage checking , store lobby , give receipt piece need show collection . 
 Feb 22 2009 	 fantastic fantastic fantastic 	 husband stay 4 night hotel impress everything . unsusal hotel perfect every way hotel be . it clean , friendly , staff excellent knowledge helpful always friendly smile . room lovely size immaculate maid service superb . this hotel ideally stuate 10 min walk Times Square central . could fault wait return next year ! ! . 
 Feb 20 2009 	 Great Value / Location / Service Midtown 	 Great Value / Location / service ... visit NYC 3 time year past 5 year say money , Wingate Wyndham Manhattan Midtown good value quality find . the room nice size NYC fridge microwave appreciate . we take train Penn station first time rather fly ... 2 block walk home . tickets MSG Knicks game another 2 block walk . Time Square theatre district 15 minute walk ... Macy 's block away . front counter staff friendly helpful . our room quiet elevat0r quick ( common Midtown hotel ) back ... new home NYC . 
 Feb 14 2009 	 Loved ! 	 Loved . great location , room clean . 3 star NY hotel , actually bed desk , comfy chair . bathroom clean , friend able take bath . bed comfy . definitely want come back . 
 Jan 26 2009 	 Polite staff clean smartly style well price hotel 	 stay one night busine trip . hotel staff polite friendly . front desk people pass hallway . room small ( NYC ) stylish . entire hotel clean smartly style . elevator problem depart 8 am Friday . gym compact well equip . eat one meal premise ; first rate . I would stay . 
 Jan 15 2009 	 great location 	 stay two couple two night January 2009 . hotel easy find room great . hotel clean good amenity , e.g. , free wifi , fridge , microwave , etc . bed extremely comfortable breakfast good choice , although busy . hotel fifteen minute walk Times Square ten minute Empire State Building . arrive 11 am morning , sail ( ! ) access room immediately . small negative pay hotel store bag check - out . charge $ 5 bag large suitcase . also get taxi airport hotel arrange transport go double price we . 
 Jan 15 2009 	 Beware Wingate 	 great hotel , happy hotel location book hotel advertising complementary water . day leave New York print everything Wingate , free internet , breakfast water etc everything book . leave check nothing book credit card ( know have not use always check ) rather shock statement find charge water . query Wingate think sneeky way get money people tell charge water case stay apply book . ask hotel refund credit card hear refunded card . lot money principle book complementary . notice one else also complain . beware charge credit card . good hotel treat guest fairly . would recommend hotel underhand dealing people credit card . 
 Jan 13 2009 	 Bad Little Hotel 	 wife , two kid stay New Years Eve week . pick hotel read review site amenity offer . room clean start look little tired place good size . 15th floor back never problem noise . fridge microwave great ' ve start charge $ 5 tiny bottle water leave fridge . problem really though nip one numerous deli 's nearby get big bottle lot less , cheek try charge $ 5 tiny bottle water , leave fridge empty . also cut back change sheet , towel toiletry explain letter leave room manager ( economic climate , cost saving , etc , etc ) , really problem price not go either . breakfast okay , much variety , include price room . Macy be along street ( get 11 % discount card guest service , cover tax add everything ) hotel close lot New York stuff . great time hotel great base . 's really business traveller place New York standard worth money pay . 
 Jan 9 2009 	 pleased wingate 	 , husband 14 yr old daughter stay Xmas . hotel comfortable . room decent size . clean daily . reception helpful . lift nightmare morning two cleaning trolley along people check other visit breakfast room trying use they . breakfast fine get early late riser lucky get slice toast ! ! breakfast room often full 7.30 take food room day . position perfect . within walk distance place underground stop close . would recommend would def stay , although bit pricey Xmas three day normal room rate increase due time year . 
 Jan 2 2009 	 spacious quiet clean ! 	 great ! first - time visitor Manhattan , find staff extremely helpful advice / recommendation . room quite spacious comfortable , much expect Manhattan , base ' ve hear friend stay hotel . read reviews place mention cramp unclean smelly room - worry . great location , clean quiet room , comfortable bed , great breakfast egg , sausage , waffle , toast , juice , coffee , fruit , muffin , etc . , plenty everything ! , pleased choice would definitely stay . pleased ! 
 Dec 31 2008 	 affordable great staff 	 wingate wyndham manhattan nyc 35th st dec 2008 stay day christmas , family 4 need time away home ... that s perfect place . staff accomodate , free continental breakfast , good family business traveler . affordable , block empire state building , near macy times square far either cab 5.00 . anyways try stay itenerary , book hotel accord want want see ... love go new york .so much anytime year ... way ' not feel like go far meal dessert there s bread factory starbuck corner street .... 
 Dec 20 2008 	 expensive Great Location 	 stay week Wingate Inn attend conference Jacob - Javits centre ten minute walk away . the hotel tuck away rough ready side street superbly locate Macys , Empire State , Times Square small walk away . hotel stroll away numerous subway line . the room big well appoint comfy bed nice bathroom . there facilitie hotel hey New York everything quick stroll away . breakfast good quality bit chaotic . in summary well appoint , well locate hotel exptremely expensive - especially carry british pound . 
 Dec 20 2008 	 good hopped 	 return 5 nite hotel . book cos review ta . stay new york honest good stay . feel take money chance . read back early part year surprise free water $ 5 cost $ 5 ur bag kepte u . do not space leave foya anyone get . do not recieve free map , information popcorn lead believe would get . helpful advice well get we jfk book us car . Tho costly cab problem street hotel do not many cab go , advice would walk 8th rank station . free breakfast fine sunday rest week do not bother . could not get small breakfast room . plenty place eat near tho 
 Dec 18 2008 	 small 	 location bad price pay NYC . 2 block subway station , 2 block Amtrak station . view bad entrance room . front desk helpful cheerful fact . room small 2 double bed . try squeeze tea facility area sandwich front door write desk . bed decent , bathroom . spend much time room since be sightsee day nite . since flight 9 pm next day , try late check , unfortunately hotel fully book . , morning afternoon walk NYC sit small sitting room await shuttle airport 2 hour . also pack ( shopping day ) open small space . quite embarrassing though . BF terrible . everything . food replenish sometime go . area also small comfortable . 
 Dec 17 2008 	 great experience 	 clean , roomy hotel heart midtown . ' m NYC least month mean ' ve stay quite hotel midtown - one well one . wish smoking room body wash ( instead plain soap ) would nice . watch $ 5 bottled water fridge , label quite elusive , noticed price open bottle . 
 Dec 16 2008 	 Great Macy 's - Noisy Street 	 great quality hotel - clean , tidy fresh . macy 1 block away good location MSG . breakfast great bonus although could busy . location be not good area general good base . real complaint noise night - know hotel can not help garbage truck tripple glaze well soundproofing would help . 4th floor email ask high room rear room - butin fairness thanksgiving week . I know do not go New York sleep even need could get ! staff friendly fun . overall hotel great hotel - bit noisy street side nice street . 
