Fantastic 	 back 4 night stay Marriott Eastside . bit hesitant stay Lexington Ave previous trip NYC always stay close Times Square , good location ever . hotel locate less 5 minute walk 5th Ave less 10 minute walk Times Square . staff friendly efficient especially Irish Porter Donegal . pleasant helpful . room service one night could walk day shopping . food service great cost $ 70 dinner two beer tea include . never stay hotel close Times Square , will stay Marriott . concierge great organise ' town car ' we go airport cost $ 75 include toll tip - cheap fare ever pay airport hotel NYC . seventh trip NYC would say good trip ever far fantastic hotel stay . will back ! 
 oct 8 2009 	 never 	 terrible hotel . first trip new york . going stay somewhere else . very unfriendly desk staff . read review unfriendly staff think do not matter , matter try sort problem . internet do not work room whole stay . annoying really need check e - mail . keep tell we would fix soon . get we phone support leave we hold . the business centre joke . two computer squeeze tiny corner , practically top , privacy whatsoever . ( expensive use ) . girl desk business centre surly look hotel staff member ever meet . our room look onto building site . first night seem generator operating night . luckily tired slept noise . noise stop next morning . mention staff tell room full noise come back let know . luckily noise do not come back . do not know would do consider hotel supposedly full . I read review say bathroom small extractor fan . tiny yes get stuffy steamy . room 4 people one tiny wardrobe . be wary type Taxi Bell boy get you . he book we cab think normal cab . 55USD incl . toll tipsit black car . do not use tunnel toll bridge . take much long get airport nearly late check . get yellow cab outside hotel insist yellow cab . 
 Oct 1 2009 	 nice hotel 	 arrive mid - afternoon get room immediately . room somewhat small NYC excpecte . room nice , bed comfortable ' ve hotel . room refrigerator walk street 2 block Duane Reade Pharmacy purchase water , pop , beer snack keep room . location great . reasonable walking distance many attraction short distance 5th St , Park Ave Broadway . Hotel Lexington Ave # 6 subway train & quot ; Lexington Line & quot ; catch 2 block away 51st 6 block away Grand Central ( 42nd ) . not use many amenity go day , great hotel come back every night . 
 Sep 30 2009 	 great stay noisy night 	 spend 9 night enjoy stay much except build new hotel next door lot construction noise night . travel lot always bring ear plug case - front desk also offer free ask . try get away noise much possible , try get room low room number ( ie : 1201,02 etc ) side construction # # 19+.We choose hotel walk mid - town attraction like Times Square , Central Park , 5th Avenue Shopping etc . 10 - 20 minute . subway 2 3 block away Grand Central 6 . contrary previous contributor , find everyone helpful . ever line front desk , seem staff float lobby come see could expedite request . everyone always give we name volunteer service personally call future . concierge lounge close Friday afternoon Sunday evening . even though Gold Platinum member manage get Lounge access pay extra dollar think worth get free food non - alcoholic drink . cost 2 breakfast downstairs , free continental breakfast bottled water drink duration stay . restaurant would recommend close avra ( literally around corner ) David Burke Towne House ( 10 block North ) . 24 hour drug store 2 block south anything may need . 
 Sep 24 2009 	 great location helpful staff amenity deteriorate ... 	 stay Marriott East Side regularly business , typically one - night trip . location fantastic , room comfortable front desk business center staff always friendly helpful . recent trip first multi - night ( 3 ) , find amenity disappointing . room service limit 6:00am-11:00pm , small refrigerator room , mini - bar - convenient traveler get late early meeting ( concierge level service not even available ) . annoying wi - fi service , painfully slow ! ! make extremely difficult get work do room . likely still stay East Side Midtown ( convenient location , good value ) would like see functional amenity cater business traveler , specifically fast broadband ! 
 Sep 17 2009 	 City Christmas 	 Christmas vacation , able take train Grand Central Station , right hotel without even go outdoors . although see review mention unfriendly staff , greeting could nicer ! greet like old friend . train station festive Christmas time : lovely art craft fair ( buy Christmas gift ) , periodic light show constellation ceiling ( applause traveler often follow ! ) , , without brave weather , marvelous dinner steakhouse station . concierge get we theatre ticket , go concert , explore city , suburban neighbor envious & quot ; Christmas travel & quot ; holday .. 
 Sep 14 2009 	 Great Location - shame rest ! 	 book Marriott Eastside 4 night stay shopping trip sister due central location . ' ve stay several Marriotts UK Europe find good , high 4 star standard . we book twin room ( 2 double bed ) . arrival ( late night long flight .. ) tell sorry , room one king bed . hotel overbooke twin late arrival unlucky one . receptionist agree put extra bed room ( would think might initiative arrival give twin room book ! ! ) . much prompting eventually say would try move we twin follow day . fine say . whole process seem like try pull tooth , clearly seem interest we . give info hotel amenity , ask breakfast tell midday . Shame come follow morning discover finish 11.No - one speak seem least apologetic room type book not available . maybe seem small thing , part reason choose hotel reasonable size room 2 double bed , hotel offer . the room small - mean small . use London hotel room truly box like - America expect something large ! panoramic view building site ( drill commence 7 am ) large brick wall . the website say hotel recently refurbish sign could see bedroom flat screen tv . carpet tatty not even mini bar . room feel stale rather unpleasant musty smell hotel , even towel . bed must admit comfortable ( king bed camp bed ! ) .next day tell would twin room available duration stay . much probe kind acknowledgment inconvenience cause we , staff eventually say would move we large room ( still king bed camp bed style arrangement ) offer we comp breakfast . room must 2 sq foot large first . view building site remain , albeit less noisy side site ! checkout , receptionist charge bill straight card without even show print first - ( common politeness ? ! ) ask refund complimentary breakfast - charge we ! ! - back card . the big issue us lack service offer . understand hotel get full not always right room , anyone apologise offer anything solution - push way room move . work hotel industry know possible tiny bit effort smile . travel America , be famous friendly service expect well . maybe hotel well purely location feel service necessary . really disappoint - would expect much well brand like Marriott . for look nice hotel area - try W hotel next door ! ! 
 Sep 9 2009 	 comfortable room 	 stay 6 night enjoy entire stay . check fast front desk effecient courtious . great bellman ! care recomendation resturants broadway show concierge desk offer . clean room , comfortable bed room , small effecient bathroom space . bonus fridge rooms.the location pretty good . 6 train uptown one block front door . grand central 5 min walk front door . waldorf across street . times square , rock center 10 min walk.i use many hotel service comment . use business center terrific shipping fedex , print boarding pass , email . 
 Sep 3 2009 	 great location excellent value 	 stay 5 night first visit new York . excellent location central . room 2 double bed recently refurbish . fridge room handy safe . clean friendly could ask . book via octopus travel superb deal £ 65 night ! ! ! 
 Sep 1 2009 	 Location Location Location ! ! ! 	 fabulous walk Central Park , Met , 5th avenue drool window . walk Rockefeller Center drink & amp ; photo opt . loved hotel ! ! ! receive high floor ( 26 ) corner unit great 3 lady one bed ..... king get roll away .... would nice 2 bed . hear many people complain front desk ... not enough room double bed . would stay ? ? ? ? absolutely ! ! ! ! location prefect ! easy grab train , bus cab . much see area . on way airport bellman hook we towncar $ 40 ! include : fare , tip toll ! ! ! that s way go ...... return lunch bag already trunk ..... FABULOUS trip : ) 
 Aug 28 2009 	 great location ! 	 hotel 49th lex , see everything .. walk distance . yes , know everything City pretty much walk distance ... could get ton place sneaker need ... know mean . Grand Central like 10 short - block away , Central Park , Time Square , Rock Center & quot ; Today Show & quot ; , shopping restaurant .. cheesecake Juniors ! bit pricey want save moola night ... 's location look save taxi fare end . & quot ; huge & quot ; Tour Bus line stop right infront .. Downtown Loop , Uptown Loop , Brooklyn Loop ... etc . get anywhere day ( every 15 minute ) even Ferry ( Free Statue Ferry ) drop . cost $ 50 48 hour .... good deal . guide nice ... let know everything stop along way . concierge hotel give map really informative thing local . order ticket everything right lobby . service bit blah ... clean , find odd order thing never come ( charge ) end ... want ! ! lolthe hotel great weekend package check booking . visit American Girl Doll store package ( kid get bed doll part package - nice ) .concierge / business center access not really worth ... unless want snack . ( $ 70 day per person Fruit Bars , Small Sandwichs evening various cookie PM ) ... well pop CVS street ( 2 block ) $ 10 buy thing ... room frig ! ! thing pitt end elevator ... run slow ... small ! floor 16 great ... might end wait 15 minute ride lift .... sure ( maybe one service something ) .. place hold function well busy .. would not call lobby quite floor room peaceful . 
 Aug 12 2009 	 great location comfortable room 	 Valet service quick courteous . check long slow . tell room not ready yet give slip paper say would call . wait hotel lobby , would well lounge open . eventually drink , nice bartender . People check go immediately room venture back desk ask lo behold room ready ! give reason not get call . we room 14th floor , two window , adequate size ny . wish high street noise loud early a.m . downfall bathroom door step away bed . room clean modern . bed good , feel like sleep cloud . Bathroom update , could use fan , clean . hotel clean crew polite always say hi smile face . plus also refrigerator safe room . checkout quick valet service too . the hotel close Grand Central Station walk Times Square , Rockefeller Center Central Park problem . would stay . 
 Aug 4 2009 	 great location excellent service 	 go NYC friend take girl ( age 8 ) fun long weekend visit American Girl Store . great location , friendly helpful staff , clean room . arrive around 10:00 room ready ..... good part upgrade suite . not try restaurant since many good one area . stay hotel . check rate , able get good rate Marriott.com . 
 Aug 4 2009 	 Excellent Hotel 	 husband , along friend , stay hotel three night past weekend . love hotel complaint regard stay . location perfect room plush , clean , cool , update . view slightly obscure scaffold early reviewer mention still pleased . staff courteous especially William , security officer . hotel walk distance Rock , NBS studio , etc . also several late night eatery , frequent . also like fact drug store one two block away able buy water bottle milk place fridge provide room . hotel also right across street Waldorf = Astoria- chance , walk W = a beautiful view . subway around two block away well . would definitely stay hotel ! 
 Aug 4 2009 	 excellent location comfortable value money 	 arrival front desk deal we efficiently . complaint doorman help bag annoyance . the room quite small compare use hotel adequate big enough 2 double bed . well decorate fresh . it work desk big enough laptop computer electrical item . the room also another table chair flat panel LCD TV . good wardrobe ( closet ) hang clothe store luggage . bathroom quite small , adequate clean . Marriott offer wire wi - fi internet access . problem connect wi - fi call front desk put help line issue deal less 5 minute . wi - fi bit pricey though . use Boingo alternative afterwards . we use restaurant use bar sightseeing City day . try Brooklyn Lager really quite good . for breakfast eat Midtown Restaurant East 55th Street . much well value hotel breakfast . when step outside hotel many amenity . restuarant , bar , coffee shop etc . to stock water snack day , couple pharmacy close . unlike Britain , pharmacy / drug store also convenience store . main chain Duane Reade . take leave hotel entrance Lexington Ave walk minute two find near one . overall , hotel comfortable clean staff efficient . fussy staying hotel would problem stay . 
 Jul 27 2009 	 Nice hotel good location expensive broadband ! ! ! 	 nice stay hotel . location central pleasant , NY standard , room good size comfortable bed , fridge , usual amenity . view great first day make bad scaffolding - have appreciate warning check - in extensive building work carry directly outside window ( open blind face lot burly man scaffold - awkward moment ) . hammer drill commence 7 am day thankfully stop couple day end stay point could see daylight ! staff excellent - pleasant courteous - helpful . one major gripe cost internet connection - $ 16.50 per day thereabout . think live age expect service free stay decent hotel . nice stay would probably stay . 
 Jul 23 2009 	 Perfect Location - Great Stay 	 could not happy size room , cleanliness location . minute walk Rockefeller Center Grand Central Station . staff helpful friendly . also get unbelievable price $ 139 / night AAA discount ! ! ! even reservationist could not believe . perfect comfortable stay event pack weekend - Ballet , Paul McCartney , Ellis Island , Metro . Mus . Art Restaurant Week ! would definitely stay . 
 Jul 15 2009 	 Nice Hotel - great 	 experience visit NYC twice 2 month . hotel across Waldorf Astoria - near NBC Studios - block subway . room nice - clean - staff courteous ... elevator small often back peak use . prefer stay New Yorker midtown , lively neighborhood . 
 Jul 1 2009 	 really nice hotel 	 stay one night . really nice hotel , cheap price . 
 Jun 17 2009 	 fabulous location great hotel '' 	 perfect hotel famiy five overnight celebrate 15 year old 's birthday . location central , staff courteous friendly valet parking reasonable convenient . give two adjoining room well equip , spacious comfortable . bed really exceptionally comfortable . Lexington Ave pretty noisy , spite garbage truck , get good night sleep . room small refirgerator coffee pot well safe . meet need . side , bathroom could use well ventilation small . big deal . 
 Jun 5 2009 	 love location 	 enjoy experience Big Apple one live Upper East Side Manhattan . Marriott Lexington & amp ; 49th superbly postione enjoy various sight place NY offer . old hotel obviously need refurbishment consider much cost stay ! however , one overlook factor place ideally situate within taxi metro distance major area NY city . hotel old world charm lack finesse poshness one would associate brand . stay quite pleasant uneventful . staff friendly polite consider NY City ! 
 May 26 2009 	 really improve hotel 	 4 year ago , terrible stay hotel . old , room & amp ; bath need repair , billing awful , housekeep dreadful , one good thing say 4 year ago . hotel major rennovation recently great job . room bath super clean , billing perfect , truly excellent job stay . Bellmen Patrick Jimmy well , helpful . breakfast buffet much improve . definitely recommend . location good . 
 May 25 2009 	 four Stars $ 139 Mid - Town ! 	 get fabulous deal Memorial Day weekend . stay least 3 night AAA member . great location , right across Lexington Intercontinental Waldorf , next W Doubletree , plus many nore hotel . easy hop subway catch cab . bit noisy Thurs night 4:30 trash truck outside , compe we free room service breakfast ( usually 2 egg $ 20 , coffee $ 8 + $ 4 charge + 15 % ) . unless be free , well breakfast block north . sidewalk cafe next door 48th mediterrranean fabulous . king room clean , small , coffee - maker , fridge safe , movie tv not work . bath spacious , shower . toilet one new kind less water , noisy . Penn station notice one 5 bag someone else 's . bellhop store luggage last day Vamoose bus Bethesda ( $ 25 , every 5th trip free ) evening , pick give we one look like not . hotel quick fix : find bag , bring cab Starbucks 31st 7th Av . , pick wrong one , 25 minute . impressive . hotel great huge lobby , lobby bar fine . take 3 elevator top floor fitness center , view great . internet $ 16 , parking would cost car . money , super , plus get Marriott point . 
 May 22 2009 	 terrific service beautiful room outstanding location . 	 celebrate 30th anniversary enjoy stay immensely . 4 day . Marriott Platinum membership level , give room upgrade high floor . mean relatively quiet . use hotel home base explore New York . lot good restaurant within easy walk distance . daily housekeeping flawless , everything room perfect . able get deal Marriott 's website , room rate reasonable NYC ( ~ $ 250 / night ) price back door four time . pay rack rate , would not call great value . we , great . one good thing location be away hustle bustle Times Square Rockefeller Center , relatively short walk Central Park , theater district , Rockefeller Center . also convenient subway stop block away make easy get part New York matter minute . overall , terrific stay . 
 may 6 2009 	 Great Hotel - Great LOcation 	 fantastic hotel New York excellently situate close attraction far enough away offer peaceful break relentless hustle bustle Manhattan . check cold snowy evening , 6 hour later plan heavy delay JFK . staff check efficient , polite helpful . initially give room 7th floor , clerk check reservation note stay week kindly upgrade we much large room 27th floor . hotel room well appoint clean . bathroom generously sized room clean tidy early morning . room quiet bed comfortable ! great stay would encourage anyone stay location – 10/10 . 
 Apr 30 2009 	 favorite NYC Marriott 	 love Marriott location also awesome staff . second time stay hotel even well first two year ago . upon arrive , friend chat woman check we . mention hotel not busy would pick weekend , would able give we room two double bed instead one king , great . couple minute chit - chat go room realize -- GOT HOOKED ! ! ! room huge NY standard . plenty space walk around , large closet nice - sized bathroom stand - alone shower large tub jet . bed super - comfy reading light attach headboard . view window cut halfway wall , not big deal since not spend much time room anyway . little sad leave room end stay , though rarely happen city room measure size small closet , always great luck Marriott . 
 Apr 25 2009 	 nice room nice staff great location . 	 nice room ( junior suite ) , nice staff , clean , great location travel another city return NY day stay hotel , keep baggage doorbell 3 dolar per bag per day . 
 Apr 20 2009 	 could well 	 go family spend easter weekend , check discover 2 room book different floor , small child , ask well choice , tell we full , even arrive early . it´s hard imagine 30 + floor 500 room hotel could find two room floor ! bad come take different elevator room , low level high level time arrive room find telephone line child room wasn´t work . spend weekend take operator ! everything else nice . 
 Apr 17 2009 	 Glad Chose Hotel ! ! 	 son actually find hotel , decide book trust judgement , be 15 . give we great rate , arrive 11:30am , allow we checkin early . open door , large hotel room ' ve ever see , assistant manager desk tell would give we quiet room away elevator , . beautiful room . staff courteous , everything clean , location perfect ! even great bagel place street , subway nearby . definately recommend hotel . 
 Apr 10 2009 	 great hotel great location - recommend ! 	 stay Feb 2009 5 night . hotel close everything want great deli opposite corner amazing hero ( sandwich ) .Room view Chrsyler Building . bed huge sooo nice sleep in . Room New York good size everything need . good gym top floor ! would stay hotel would recommend . bit pricey compare place ' ve stay worth money . 
 Mar 26 2009 	 Great Marriott - Best Concierge Lounge 	 overall one top ten Marriott 's business travel . platinum level member stay 75 + night year Marriott property . hotel clean , good service , good location work need get office mid - town . also 15min walk Times Square . upgrade suite . hotel also good concierge lounge Marriott property ' ve stay . breakfast great , expresso machine make coffee drink . evening put great spread . night two hot dish , nice sandwitche , salad . need go eat . also cheese cracker , bring dessert . also self service bar , pour nice drink . pay alcohol , 's self serve . soft drink bottled water free . lot restaurant around hotel , inexpensive expensive . avoid Raffels coffee shop corner 48th lex . food fine , think way price , even NYC . want quite room ask one inside & quot ; U & quot ; . hotel U shape room inside outside U. inside hear street traffic . also not view . want view ask high floor room outside . hotel Lexington , street noise . gym 35th floor well equip , free guest . 
 Mar 5 2009 	 one favorite property 	 stay Hotel since 2000 . love hotel room , window . usually stay corner room love view . 's old building , be something make feel much New York . course bed , linen bathroom not hurt either . I meet friend drink bar , ' m sure resturant site -if ' ve never eat . lobby get bit busy time , hotel quieter other ' ve stay Times - Square , feel homy . the gym top building , take 2nd elevator get -I find little inconvient -esp morning want workout get ready hoof train . seem like extra elevator ride take long ! -but 's minor . really enjoy stay , Lexington Avenue little east , since usually work downtown like property well Brooklyn Marriott , downtown financial Marriott ( really need work ) . 
 Feb 26 2009 	 Nice Hotel nothing say WOW ! 	 decide stay Marriott since friends family rate take girlfriend Valentine 's weekend . hotel look nice still process remodeled think . room bite small usual plus side room bed TV . really enjoy comfortable bed flat screen tv . negative hotel bathroom . like bathroom fan . super quiet pretty much hear everything person get really stuffy . 
 Feb 18 2009 	 Accomadating 	 great location , staff nice ! leave purse Hotel security dept . send next day . 
 Feb 15 2009 	 Marriott rock even NYC 	 perfect hotel need . great location 49th lex . quiet interior suite sliver view , wife . even outside room quiet . wonderful breakfast room wide selection , smoke salmon fresh egg fruit . good exercise room top floor great view . lobby energetic impressive not take five minute traverse like many hotel . plus ' m big fan Marriott bed bed . even though be lot fame boutique hotel city , ' m big fan Marriott . 
 Feb 14 2009 	 NYC Overnight 	 stay overnight sister visit brother family live Manhattan . choose Marriott point use not want one enormous hotel city . nice corner room , look back Waldorf - Astoria , two double bed . nicely appoint sized room smallish bathroom . still good NYC . clean modern . comfortable bed interesting artwork . thoughtful staff . 
 Feb 10 2009 	 favorite Marriott Property 	 platinum member Marriott . stay 85 night last year htis favorite place . staff great , room small quaint concierge floor decadent , food , drink dessert etc . right mindset make favorite also . NYC hotel , thing expensive high volume bind go wrong , staff quick fix whatever sliht perceive actual . give try ask corner room , great location well 
 Jan 30 2009 	 NIce Hotel Noisy 	 hotel 's location ideal - right middle key business sightseeing area . staff nice helpful , food bar good . room small adequate nicely appoint . tv ok , Direct TV signal cut major channel right prime time . one real problem noise . although 21st floor , noisy night . particular , trash truck come 9:30 10:00 night , take 20 minute complete run loud . exceed normal NYC noise . downside hotel . 
 Jan 15 2009 	 good hotel superbe loaction decent price 	 spend 2 night hotel business trip . meet place ( law firm ) walk distance , location ideal ( always take umbrella rainy weather forecast ) . room nice , clean well equip , bed comfortable , coffee maker ironing board available . bathroom amenity good . fresh newspaper deliver daily , slipper , flat screen tv international channel , e.g . BBC . room bit small , window open , view block ( 12th floor ) , reasonably quiet . build something street , even night . staff friendly , business center helpful attendance . smoke entire building . lobby sympathetic , always quite busy . check extremely efficient . yellow cab private limos outside . 
 Jan 8 2009 	 beautiful room 	 come NY 16 year old daughter , friend mother post Christmas shopping see show . we ask early check - in since train arrive 11 am . of course arrive hotel going happen . hold bag we go explore . go call cell phone room ready . 3:00 not recieve call , go back hotel . one room ready , take . would not ready 4 . ( remember ask early check ) time get settle , 30 minute get ready see Lion King . almost impossible two teenaged girl , make . bed comforable . elevator slow never know go down . overall hotel nice , clean close everything . 
 Jan 4 2009 	 Disappointing Poor Service 	 business trip Manhattan stay previously two property , Residence Inn Times Square Affinia Dumont , highly recommend write previous Trip Advisor Reviews on . check average . welcome welcoming . small busy lobby . build bit old room reflect . issue small quiet room . bed comfortable . desk chair . chair bit hard position since room small . could hear little noise adjoining room . the bathroom small . room moderately clean thoroughly clean . water pressure temperature okay . the plus room mini fridge . the plus property conciere lounge well stock refreshment snack . also exercise room well equip too . the property nearby workshop PWC headquarters Madision . attend USC CEO Stratgegy workshop early week , attend workshop Cornell ILR 's conference center 34th 5th . prior last day look bill date notice wascharge local call . go downstairs tell front desk person Hotel membership level , get free local call . tell honor property . typical service property . I not know property mgmt . treat staff poorly know staff treat client well . this one bad Marriott property stay good stay ! several property nearby , Double Tree Metropolitian , Waldorf Astoria , Omni several other . recommend property location critical , recommend Affinia Dumont Residence Inn , Times Square . 
 Jan 4 2009 	 bad experience ! 	 book hotel October direct hotel rate pre - pay . upon arrival hotel , problem check . although book 2 room , think 1 we . receptionist disappear 20 minute without explanation . eventually give room 19th floor . room nothing special . room not view . 4 night . one day , children room not clean till 8 p.m. make 2 phone call ! ! leave hotel , find hotel charge we book 1 room . specifically want pay advance due change rate exchange , find bad due mistake . Thye try tell bank obviously allow charge go . unfortunately , onlly book hotel mean stay New York Palace , think would expensive rate exchange . retrospect , ' m upset change would recommend hotel . thing go location . concierge not seem know anything ask restaurant . 
 Dec 20 2008 	 nice location ! good hotel . 	 first , location wonderful . across Waldorf - Astoria , Inter - Continental W hotel . couple block Rockefeller Center . lobby awful ! always crowded , noisy much small size hotel . however , spite lot people arrive time , check go smoothly . once room , thing change . room large two double bed ( alone ) like put luggage open one bed leave way . room attractive , bathroom good size decent lighting . although face 49th Lexington , street noise problem . big flat screen tv . comfortable chair table . nice desk ergonomic chair good light . restaurant ok breakfast meal . exciting neither bar lounge . fact , lounge really part small lobby . entrance way weak point hotel . however , would certainly stay not sleep lobby ! .There slight misunderstanding rate charge high one confirmation . however , minute reception , correct . 
 Dec 16 2008 	 Good Location 	 location perfect . midtown everything want see Midtown within walk distance . room small Marriott 's current standard . bar pretty boring , go across street Waldorf , W Intercontinental ( Barclay ) excellent bar scene 50 's type . major hotel corner intersection . 
 Dec 2 2008 	 great location 	 hotel great location . restaurant , shop , public transportation , everything block away . room small , clean . nice king size bed . 
 Nov 19 2008 	 good Stay Marriott East Side 	 location excellent , room smallish clean , bit traffic noise 9th floor . nothing hotel really stand exceptional . 
 Oct 31 2008 	 Great Location Small Rooms 	 stay eastside , Brooklyn Downtown Marriott business travel . even though Eastside Marriott & quot ; good & quot ; name room definitely small odd see anything another room window low . staff courteous , location great , except location Eastside Marriott inferior cousin . 
 Oct 26 2008 	 Poor Service 	 day check customer service poor . one meet we door assist luggage one welcome we . room small view another building . construction outside noisy wake we every morning . check one inquire stay . thing positive hotel convenient location site . 
 Oct 9 2008 	 great stay East Side Marriott 	 stay 3 night love hotel . room small comfortable . bed fabulous - need long day foot . location great - close subway central park . well - equip gym top hotel cardio machine , weight individual tv . would definitely stay - great ! 
 Oct 5 2008 	 would go back 	 elegant hotel , perfect location . room stylish , spacious , practical clean . Most staff friendly helpful , other ( minority ) look not want ... whole New York experience make : ) 
 Sep 23 2008 	 great location 	 recently stay Marriott East Side second trip New York . 3.5 - 4 star hotel unsure would find , pleasantly surprised . room lovely clean . bed huge ( king size ) comfortable . room back hotel trouble road noise . hotel situate across intercontinental hotel Waldorff Astoria near Chrysler building mere 10 minute walk time square 5th avenue bit shopping . drink hotel bar one evening find expensive would recommend . definetely would recommend hotel anyone stay ny ! ! 
 Sep 17 2008 	 Dissappointing 	 big room , however minibar ! ? allow traveler minibar anymore ? thing obviously outdate : peel wallpaper , old furniture claim & quot ; refurbish & quot ; .Overall decent stay worth money spend night city . ' ve stay hotel close tourism . 
