love 	 stay 5 night read rave review really live noise . great , modern , value money hotel . staff second none super - friendly , proactive attitude . there load great restaurant , bar , cafe club nearby even bar restaurant downstairs worth check meal drink head elsewhere . we always look forward yoghurt , muesli , banana OJ morning . 
 excellent stay 	 stay one night impressed . lovely reception area great room . small problem try check ( hotel fault ) reception staff could helpful . though free banana / yoghurt / orange juice great idea . would recommend hotel highly definately stay . 
 excellent location great value . 	 hsband London January 2008 stay Hoxton Hotel 5 night . manage get £ 29 deal . location perfect , close tube , take - away shop front hotel , walk distance supermarket . staff friendly & amp ; accommodate , aircon blow loudly , upon request kindly move we another room . room cosy , nice bathroom shower , large LCD tv fast free Wi - Fi . I ' hesitate stay . 
 rate HOXTON high ENOUGH 	 stay Hoxton Hotel time , £ 1 & amp ; £ 30 - special sale price . its easy reach get town , clean modern . staff great can not enough help . love alternative attitude brand . 
 oct 2 2009 	 can not beat 1 pound ! 	 ' ve want stay Hoxton ever since read 3 year ago actually get friend stay couple time . late 1 pound room sale come , set alarm wake 3:55am snag room delight get one pound night also 29 pound night too . walk lobby surprise big -- -- website review assume would tiny reception area small cafe next door . however , pleasantly surprise big lobby lot sofas chair around nice bar / restaurant leave . seem like lobby full people almost every time walk , day night know 's & quot ; hip & quot ; place be . room note small comfortable trouble noise . room face restaurant courtyard could hear people downstairs drown television seem close area 11 pm . pleasantly surprised see ' ve add one hour per day free telephone call include call U.S. Europe ! wish known day spend 25 pound another hotel make local call . include breakfast yogurt , juice banana want bread something else will need leave room although fill . all happy hotel friendly service , clean room wonderful free perk . know owner want expand chain probably get sidetrack credit crunch , will first one inv start look elsewhere ! would give 5 star ( want give 4.5 can not ) can not justify base normal rate ( 150 pound per night ) . might look elsewhere rate depend location free perk will use . 
 Sep 30 2009 	 Fun ... comfortable business 	 bar / restaurant really buzz , serve nice food . hotel surprisingly quite give noise downstair . room little small , London , bad . get free small breakfast go every day . 's 10 minute walk Liverpool Street perfect meeting city . well price service excellent . would definitely stay . 
 Sep 29 2009 	 Chic affordable London experience 	 stay Hoxton time , can not wait return . even busy staff friendly efficient . lobby / bar area always happen yet not feel crowded . room not huge London perfectly appoint plenty room . depend window facing , outside noise bit loud nothing overly annoying . love free wifi , free one hour telephone call Europe US , include light breakfast , cheap half bottle wine option front desk . wonderfully hip hotel option great part city ( short walk Spitalfields , Hoxton Square , Brick Lane , etc ) 
 Sep 27 2009 	 well place avaliable 	 spend 50 + night London last 6 month due business must say Hoxton favourite choice hotel . ( see review one ) .To cut bone : spend around 15 + night Hoxton - finding : + ( positive ) : usually friendly staffclean funky roomsfree wifi ( yeah ! ) nice powershowergreat restaurant lobby ( different owner co - operate hotel ) - ( negative ) : airco room usually not workA bit noisy ( not matter towards street backyard ) noisy call & quot ; connect room & quot ; ( warn ! ) iron + iron board roomthe reading lamp bed red light ! book well advance get low rate ( 100 pound per night ) good value hotel - otherwise go somewhere else . 
 Sep 26 2009 	 nice modern Hotel London 	 Hoxton Hotel Great Eastern Street friendly modern place . room clean bathroom marvelous . get free & quot ; light breakfast & quot ; fresh orange juice , yoghurt banana . Hoxton Grill Lobby support food . lobby convert bar evening . decide 2 min . walk Oldstreet Metro Station 8 min . walk Liverpoolstreet Station . area nice uprising . but London , cheap worth ! 
 Sep 24 2009 	 Hox Knocks Sox ! 	 10 min Liverpool Street Station , Hoxton not great location step elegent front door , greet stone guard dog , could anywhere world , not really matter it . the staff reception desk unbelievably helpful friendly . lobby set Hoxton Grill adjacent trendy stylish ample space . elevator clothe luxury leather halway illuminated neon ! room compact could ask . clean , tidy , well decorate furnish high quality . bed bed uber - comfortable shower superbly refreshing bathroom trendy too . with free wifi , phone call , light breakfast , water milk fridge , anniversary stay fantastic . £ 1 ! definately return ! 
 Sep 12 2009 	 Hoxton hotel choice London 	 return short trip London take daughter college , reserve room Hoxton close residence hall . entire experience wonderful ! room immaculate , bed comfortable , shower great . restaurant great food , dining room room service . recommend sweet corn basil soup . travel laptop , computer lobby guest . great place stay ...... comfortable , well care ......... beautiful hotel , wonderful service . 
 Sep 2 2009 	 Great Value 	 really like quirky , modern hotel . front desk staff helpful .... free internet lobby not travel laptop ..... room large London standard . thing feel tube stop convenient term location hotel change station get almost anywhere London . otherwise small inconvenience great value book early pricey city . 
 Sep 1 2009 	 extremely good value money ! 	 friend stay hotel one night near head big night , recommend . certainly live expectation ! get good rate around £ 77 one night ( per room ) reason offer cheaply prepay , cancel not get money back . give choice twin double also make sure friend room near other . the hotel look great - stylish , funky good restaurant ( Hoxton Grill ) attach . staff also friendly helpful . room particularly big , particularly small either decorate nicely good bathroom . pay attention small detail toiletrie Aveda , towel Frette bed comfortable too . we meal restaurant also great . restaurant busy buzzy good mix people . stay hotel , get free glass champagne meal nice surprise ! would definitely recommend , come back . 
 Sep 1 2009 	 Great London hotel ... 	 stay two week whilst work London , family find great place stay . clean , modern comfortable . Wifi useful , flexible atmosphere work family , suit wish stay somewhere different London . weekend liveley night life , right thick thing perfect visit central London . only draw back parking , beware slightly parking rear ( street ) warden fast wippet seem pop least expect . 
 Aug 25 2009 	 great hotel reasonable price ........ well ......... 	 stay Hoxton 6 time always great deal . love ethos hotel . premium price stay London . good food drink reasonable price . pride , least do . Pret Manger sell hotel SoHo House show considerable price increase . food drink increase approximately 25 % since last stay ther March year . disappointing initial premis hotel . but , still great little urban lodge ............. least . the surround area quite scruffy tube station quite intimidate lot people hang around particlalry evening . Boris need extend power get work Old Street Station surround area hotel need consider want increase price room . 
 Aug 21 2009 	 Excellent Hotel ! 	 extremely lucky manage get one £ 1 room Hoxton Hotel offer . stay hotel excellent . hotel lovely , keep tidy certainly nice funky feeling decor ! free wifi throughout also great need catch email etc . the room decent size desk , sofa flat screen tv . bed comfortable shower one well use ! room air con safe wait fridge arrival two bottle water bottle milk make hot drink . include price lite breakfast - Bottle orange juice , cereal / yoghurt fruit . leave bag hook outside door state many breakfast time require leave breakfast time . staff pleasant helpful bar area great late night drink . open til 1 am nice chill atmosphere . stay overlook courtyard back hotel never issue noise . the hotel locate within 5min walk Old Street tube station ideal get around London . also nearby great bar cafe Rivington Street , recommend Cargo Cantaloupe 's far take stroll Brick Lane find restaurant etc . I really recommend hotel guarantee back soon ! 
 Aug 18 2009 	 good get cheap deal . worth otherwise . 	 stay Hoxton many time since first open three year ago . get one cheap rate , normally weekend , good value . however , would disappoint pay weekday rate ( £ 150 + ) . great service design hotel - although new re - design lobby / bar big step backwards . room small although well equip . Shower still one good ' ve ever use . on late visit inward look room , look hotel bar . room noisy weekend , smoker bar sit beneath room loud music 12.30am . ask room back hotel , view Gherkin , even room front overlook great Eastern Street . tv room dreadful reception . 3 year ago flat screen pretty cool . 's pretty standard hotel need update . 
 Aug 17 2009 	 good place stay London 	 hotel minute walk Old Street tube staion , make easily accessible tube station . staff wonderful , accommodate early check . room clean not notice small , way situate . room equip everything would need , include bottle opener . hang breakfast bag side night , fill orange juice , fruit , pastry yogurt next morning innovative idea . room plenty coffee tea . refridgerator stock milk water . lounge offer free internet service hip look . 
 Aug 16 2009 	 Coolest hotel cool part London 	 OMG ! place cool . love Hoxton moment walk place . staff great , room clean , new , spacious oh stylish . walk around area fun . many good restaurant choose tube station around corner ( along much appreciated Starbucks kick day ) restaurant Hoxton fantastic staff try please every way . ask . 
 Aug 13 2009 	 Excellent Value Service Great Location Touring 	 Hoxton Hotel turn great base family four 6 day trip London . Old Street tube station block away able use Underground get central London see major sight without problem . Hoxton modern terrific staff answer every question put way -- good indian chinese food good way get place . adjoining room family ( nice quiet top floor ) able spread relax . lot nice touch : good linen toiletry , generously sized towel , fresh milk free water bottle , good internet access . area rather edgy arty , kid love feel like see hip side London . Hoxton grill seem neighborhood meeting place ; eat night two good . 
 Aug 12 2009 	 Loved Hoxton surround neighborhood 	 love stay , nice somewhat remove heavily touriste part town get feel would like live London . restaurant surround Hoxton amazing enjoy many wonderful meal ( well wonderful meal hotel ) . like downtown NYC will love place . part little gritty ( homeless folk tube stop ) , always feel safe . would also recommend Jack Ripper walk tour highlight Whitechapel area immediate south hotel walk Brick Lane Bangladeshi indian restaurant . the downside bathroom make bit noise ( could hear water running pipe odd time ) , not hear noise hallway room . 
 Aug 12 2009 	 Stunning Hotel - superb value 	 good shower ' ve ever . free ( light ! ) breakfast , wi fi , phone etc . food drink grill expensive , good generous quantity . selection beer bar veryy poor , though . the room modern , superbly appoint . air con real coffee coffee bag , free milk water fridge . have think thing ! fact can not think anything would forget . 
 Aug 11 2009 	 great hotel - love would stay without doubt 	 hoxton sleek modern hotel close City . reception staff friendly helpful . bar great place relax not rip buying drink like many hotel bar London . if arrive Old Street underground put , area around station look grim , soon get great Eastern Street start walk towards hotel soon realise great area lot bar , place eat , pub etc . the bedroom modern & quot ; trendy & quot ; bed confortable . bottle milk water fridge great little complimentary extra . love hotel certainly stay 
 Aug 5 2009 	 Fantastic Hotel Superb Staff Luxurious room Breakfast deliver ! 	 thoroughly enjoy stay Hoxton Hotel would highly recommend place stay London . orange wire frame car really highlight enter lobby lighting corridor add exciting feel hotel . staff really friendly helpful nature . room immaculately present bathroom spotless ! inclusion stock fridge milk water useful make tea coffee also provide . breakfast deliver door morning perfect start day complete stay hotel nicely . overall , praise Hoxton enough look forward stay ! 
 Aug 4 2009 	 Trendy Buzzy Hoxton ! 	 book good deal Hoxton Hotel month advance , 2 night weekend break July 09 , read good review number travel magazine ( Sunday Times Travel Magazine Best London Hotel 2008 ) trip Advisor review . receive warm welcome efficient , friendly reception staff arrive early , usual check - in time , room make available we . room 5th floor , offer great view city smell cigarette smoke ( non - smoker ) travel way , happy leave case go explore . room slightly small side , read several review , pleasantly surprised room well design lack space ' problem amenity right place , include small sofa area relax front tv . room wall little scuffed , generally everything good – especially consider price pay . Bed linen immaculate bathroom smart , great shower non - steam mirror – ' hotel ? ! open - plan reception / bar area funky , great mix modern traditional open - plan american - style diner area . ate already book table elsewhere return hotel Saturday evening place buzz – good Saturday night scene ! still receive quick attentive service order drink nibble . ' nice see reasonable price , encourage enjoy drink two hotel ! also tranquil courtyard area , middle hotel , gorgeous olive tree outside table / chair enjoy drink warm weather . light breakfast ( yoghurt / granola , fresh orange juice & amp ; banana ) deliver outside room perfect allow enjoy indulgent lunch . fresh milk fridge morning tea / coffee nice touch . hotel well place , minute walk Old Street tube station , fairly close Clerkenwell opposite direction , Shoreditch , Hoxton Square etc 15 - 20 minute walk Spitalfields . eat hotel Sunday evening food good pecan tart divine ! service extremely friendly , polite attentive . little extra free internet access ( 4 monitor available behind Reception ) free daily paper nice touch . certainly recommend , great concept , good price understand hotel city look forward ! 
 Aug 2 2009 	 positive review spot 	 stay early July 2 night kick tour Europe leave extremely impressed quality hotel . admittedly , slightly off - center location hotel 's main detraction , especially arrive late night ( ) , hotel make stylish , contemporary decor boutique - y feel . location : Hoxton area ( obviously ) , northeast headline attraction . area industrial / artsy feel would liken tribeca NYC ( many graphic design photography studio former warehouse turn loft buiding ) . 's 5 - minute walk Old Street station northern ( black ) line . find bus near Old Street convenient sightseeing destination . room : perfect . luxurious bed Frette linen , comforter , clever throw pillow . large flatscreen tv . clean , beautiful bathroom rainfall shower , Pears soap , Aveda toiletry . room slightly small side . room 4th floor face street problem noise . hotel : Lobby bar area chic . leather sofas , fireplace , tall ceiling . bartender excellent , mix drink proper way - scratch ( i.e . lemon press ) . modern art sculpture entryway change periodically . wifi : free room . also , get 1 hour day free international call ! think amazing . complaint lack sheer window , heavy curtain block light morning . ask reception already process order . breakfast : Pret lite consist banana , yogurt parfait w / granola , bottle oj.value : pay 100 pound night think worth money . snag room 1 pound booking way advance one promotional deal , power ( value ) . 
 Jul 31 2009 	 Funky Urban Lodge 	 manage book hotel £ 1 night sale . awesome funky . well worth money normal price . Handy Old Street tube station , plenty bus stop near £ 10 taxi king Cross . Wee shop across road great need anything . plus plenty food , bar taxi office within walk distance well . the staff fantastic nothing much bother . room well lay bed comfy , great seat facility . bathroom 2 shower walk closet excellent . plenty hot water shower pressure ! ! pert breakfast bag great nice way start day . room service excellent price reasonable well . library , great restaurant / bar hotel keep amuse . we will def go back ! ! 
 Jul 22 2009 	 fantastic hotel well worth stay ! 	 boyfriend stay two night 18th & amp ; 19th July weekend ticket Lovebox Festival Hackney . choose Hotel close Festival site hear amazing review decision ws make ! arrive 1 pm expect leave bag hold room check advertise 2 pm , luckily room ready we . reception area warm welcoming chic , modern feel ( check decor , stunning ) . staff really friendly helpful too . the room lovely , modern , flat screen tv shower AMAZING ! good shower ' ve use hotel ' ve stay . free small Pret breakfast provide too . Old Street Tube Station five minute walk away journey Mile end dead easy . for value money hotel fantastic , seem like pay alot what s available . get chance eat Hoxton Grill , food great . overall brilliant hotel , deffinately next trip London shall use hotel . 
 Jul 17 2009 	 good location 	 stay hotel early July . great location , minute tube . hotel lovely modern . purpose vist East End sample delight Brick Lane . go Brick Lane must stay . 10 minute walk hotel . definately stay . 
 Jul 16 2009 	 Amazing - Loved every minute 	 stay hox begin July 2009 could say enough place . London several time tourtist sight plan great place relax . short walking distance Old St tube Curtain Rd , fill great place hang night . also walk Brick Lane great shop . would stay anywhere else next visit big capital . love love love place . spotless room , nice decor fun time ! thank great time ! definitely back soon . 
 Jul 13 2009 	 Excellent value money 	 hotel , although slightly central London , provide excellent base explore ' cooler ' area city , include Hoxton Square , Shoreditch Spitalfields . familiar tv satire Nathan Barley find individual frequent area great amusement ... hotel lively bar area , frequent resident , decent courtyard enjoy drink outside . the room nice spacious , bathroom possibly good shower ' ve ever experience hotel . downside view window , obscure kind net / opaque curtain , mean either curtain draw fully kind privacy . 
 Jul 7 2009 	 Amazing Hotel Excellent Service 	 first , set - back : hotel locate edge congestion zone , include Willow St ( back hotel ) . also limit on - street parking though outside CPZ time park single yellow line . positive , load . receptionist helpful room simply amazing . tv could well interface otherwise fantastic . power shower brilliant air conditioning room useful hot day stay there . it be excellent location , near tube station Old St 5 min away . would stay would recommend hotel . absolute pleasure stay nice experience London Travelodge ! 
 Jun 30 2009 	 Faultless 	 want stay Hoxton area perfect- term location 's short walk Old St tube . book easy price excellent value ( £ 90 Friday night ) .The hotel spotless , staff friendly helpful , room ( although huge ) absolutely fine night 's stay . simple , fuss approach refreshing £ 5 / hour late check ( want stay past 12 ) simple Pret brekkie supplement fry resident grill . 
 Jun 25 2009 	 superb - long cheap great area thing 	 good - location suit . tend get overbooke Holiday Inn Express ( H. I. Exp . Old Street ) across road u need find berth nearby night without lug luggage . stay Holiday Inn whenever hoxton dearer move night - save we hundred - still use bar etc Hoxton . 
 Jun 25 2009 	 live funky website . 	 many hotel website promise decor staff cool airconditioning . I m abit dubious hotel claim thing like - however hate say hoxton deliver promise . entrance guard 2 bronze dog , lobby look like entrance art college painting sculpture dot place ... oh mention life size orange wire lamboughini . check simple heading room within 2 minute . the room promise . nice size good bed well soundproof window . like unit tv kettle store . look like do budget actually make enjoyable look - Quirky word think . shower another nice suprise yes , website boast steamproof mirror room come with . down bar quick beer ... excellent service really comfortable environment . staff bar evening morning seem pleased work hotel appear would anything help . room service stop deliver 10.30pm buy wine , champagne snack reception staff - , friendly even face 3 am fumble change ! location excellent , 10 minute walk liverpool street barbican door step Oxford street . would definately stay hotel would not hesitate recommend friend . nice one hoxton . 
 Jun 25 2009 	 Great Hotel go back stay next time 	 ' m highly recommend hotel . clean , comfortable excellent staff ( nice staff ) .Free wireless always good . sometime special price ( 1 pound ) . use 30pounds stay one night . worth ! ! ! ! go back London stay ! ! 
 Jun 20 2009 	 Great Place 	 efficiently run large hotel modern styling , staff still attentive relaxed way make seem like boutique hotel . room small , amenity great . 's gentrify Shoreditch neighborhood . would definitely stay . 
 Jun 14 2009 	 Great Hotel 	 great hotel price London , maybe little way . Liverpool Station far way catch bus train . hotel good shower many far expensive hotel stay . room small adequate well appoint . free breakfast great ( banana yogurt ) deliver bag door time specify . free bottled water fridge , well 60 minute free call anywhere include US . also free internet great lobby wonderful cozy intimate sitting area . highly recommend stay . also internet deal snag room 1 pound per night ! Snag room back hotel . hear street face room noisy wee hour . 
 Jun 12 2009 	 nice Interesting Hotel Best Location 	 decor quite trendy eye - catch . lobby interesting piece look . room clean sharp . service generally friendly restaurant also good . one good thing hotel definitely not try make extra money little thing like phone call ( cheap rate ) .I not thrilled location . 's business district . tube station far away , prefer hotel location least thing within walk / jog distance . overall recommend hotel location suit ! 
 Jun 7 2009 	 Love back 	 second stay Hoxton blow away great value , well run . love . thing people aware : book online bill entire stay right away , refundable cost 15 quid change , well sure date . 
 Jun 1 2009 	 Amazing ! ! 	 fantastic hotel term customer service style . book two room two night , one parent stay one husband , 5 month old baby . the room give great - think disabled access room slightly spacious meant plenty room cot provide . ( also bed provide ) fridge room great keep baby bottle cool warm weather also complimentary mineral water fresh milk tea coffee ( brilliant idea ! ! ) restaurant brill staff - although busy Friday Saturday night Shoreditch clubber still accommodate price behind bar reasonable London . if not want drink bar buy bottle beer , wine soft drink reception price cheap local shop supermarket - there s also bottle opener room glass provide . the location good little away usually stay walk Tower 20 - 25 minute plenty good restaurant locally . Saturday night go Genco Curtain Road lovely Hoxton staff excellent . this certainly pleasant surprise London not think stay anywhere else London compare level definitely price ! ! 
 Jun 1 2009 	 Friendliness efficiency comfort vibrant part town 	 stay occasionally Hoxton deal fancy bit change day two , never disappointed . fourth time year , every time stay , be easy . staff front desk efficient welcoming , room clean functional , need urban getaway . none usual stuffiness asociated hotel large business clientele turnover . 's perfect base explore immediate surrounding , particularly street art , gallery restaurant . problem , every time ' ve stay , be happen freezing outside ! also use room office day , internet every room , plus tea , coffee selection music channel tv , good place focus well entertain . business leisure , be much well . 
 may 29 2009 	 hox great - keep quiet ! ! 	 plan business shopping trip capital look place advance may bag bargain ! ! cool hotel fantastic set staff grille restaurant / bar offer good value food drink . stone throw hip Shoreditch / Clerkenwell Hoxton great . room large enough offer comfrtable bed etc shower great ! 
 May 28 2009 	 trendy modern great value ! 	 Hoxton good deal London . Super swank , super stylish . room small side problem ; ' definitely see small room London high price . plenty room two people luggage . every design element hotel , lobby hallway room bathroom bar , become hipst hangout night , brilliant . hotel surround interesting pub , club , cafe , shop 5 - minute walk Old Street tube stop . complimentary bottle water tasty Pret breakfast nice touch . Hoxton definitely favorite place stay London ! 
 may 27 2009 	 Great Hotel clean comfortable 	 highly recommend hotel , clean , comfortable excellent staff . free wireless always good , since be still hotel price range charge . 
 May 27 2009 	 Terrific Economical 	 combo business pleasure trip Hoxton highly recommend close friend . delightful & quot ; find & quot ; city know high price hotel . Hoxton perhaps least pretentious hotel ' ve ever visit . fancy , puff - up doorman bellan hand . good service squeaky clean accomodation . staff extremely pleasant impressed . hox cater young , frugal business crowd high tech amenity like free wi - fi hard - wire broadband connection , inexpensive long distance call clean , comfortable room . lobby usually fill thirty - something professional laptop cell - phone , business sort . room almost commercial / industrial design , simple , galvanized steel door frame set contemporary mode . instead cookie - cutter box room , room appear one straight wall ( window ) wooden - panel wall set slight angle break visual monotony . rate vary day ( publish , secret ) probably drive occupancy demand . look reasonabvly price , spotless hotel next visit London , make priority stop . 's block Financial District . moderately price Grill / restaurant lobby number private meeting room . 
 May 23 2009 	 good modern hotel 	 great modern hotel really put think detail around operation run . room quite ordinary overall feel service level hotel make far . also , suit business include free wireless , use printer etc . 
 May 22 2009 	 fantastic hotel excellent value ! 	 stay Hoxton 6 night recent visit London great stay . hotel offer nice little continental breakfast deliver door morning want little resturant downstairs offer breakfast reasonable price . staff friendly helpful , room make nicely every day ! room big enough comfortable ( quite roomy infact , compare place I ve stay London ) . make phone call Canada one night , do not show bill . ask front desk be not bill , say offer 1 hour free call North America day room ! wow- unexpected add bonus ! hotel reasonable walking distance Old Street Liverpoole tube station . little noisy morning , that s London- hotel fault . I would reccommend hotel anyone look nice hotel , great value London ! 
 May 21 2009 	 complaint business hotel 	 quite sure stay ... big difference north american hotel UK Europe . good business property though . internet , enough room breath , full desk quick ' business ' breakfast . stay week happy book soon . excellent front desk staff . cudo around ... see soon ... 
