disappointing 	 always hear Cumberland Hotel many visit London never stay despite dine marvelous restaurant bar area within hotel look delightful especially night . tell room would upgrade room extremly small , dark pokey ... could barely move luggage .... maybe 3 m x 3 m . glass divide bath room bedroom hate . complain ask room change aseperate bathroom . arrange also small standrd 4 5 star hotel . spend evening lobby nice part . 
 great location 	 get back great weekend Cumberland . book double twin room checking , receptionist unable find two room floor call manager , upgrade we kingsize . pleasant surprise totally unexpected daughter age 17 12 although would inconvenient different floor we , be not major problem . can not comment food do not eat hotel . location fantastic . round corner tube station opposite Hyde Park Marble Arch . Saturday buy day travel card £ 17 we great value , tube fare London expensive pay journey . Sunday , go shop able leave case hotel , walk Oxford Street walk back . drawback hotel come leave , bit queue front get taxi although queue move fairly quickly , hotel size quality perhaps taxi rank great weekend . one thing , bed comfy ever hotel 
 enjoy trip staff could nice ! 	 daughter book hotel surprise trip . warn expect much way room size & quot ; London room small & quot ; wrong ! ! room right we . build away main hotel , quiet not like glass door not fit bathroom ! staff helpful - book dinner bistro check , find receptionist forget . breakfast arrangement chaotic . staff helpful . want poach egg , go counter order , tell go another one , went tell go back original correct one - one ! ! ! get scramble egg instead ! ! enjoy stay London , would stay hotel would go elsewhere eat return . 
 Nov 11 2009 	 okish 	 hotel phenomenal location – almost touch Marble Arch come front door . reception vast – probably well need lot look wait check . really impressive sculpture look – well , still wait . second queue still wait 15 minute get front . queue behind we long – grumpy . sadly , although reception impressive interesting – everything ground floor neither . coridoor tired smell rather dubious . however , room ok , nothing special tolerable – probably quite would want price . anyway – cocktail . head beautiful bar fill beautiful people look , rather short , cocktail menu . fortunately , pick thing . upon order bartender look twitchy clearly ask recipe . give look start making – get point mixed lump fruit spirit add mixer . ' well good except appear two cocktail completely different – different colour , different size , different everything – completely lose confidence . Suffice say manager ' understand , ' like we ' sympathetic interested . eventually tip cocktail away rather dramatically switch bubbly think safe option . so , ' drink , ' expect glamour past reception ( take ) – revel location . check [ -- ] 
 Nov 9 2009 	 good location overlong book procedure 	 hotel good location shopping ( right next Oxford Street ) room quite large iron , iron board , flat screen tv etc . comfy bed . hotel seem rather impersonal . main entrance lobby large ultra modern . big problem time take book . pre - booked pre - pay yet despite 8 people infront we take 30 minute get door card . think staff try find room clean ready . do use facility one night can not comment . 
 Nov 8 2009 	 money spend lobby room need investment 	 whilst doubt great location , room pokey , dimly light bathroom badly design . room not even service call , acceptable 3 pm long day . Shower bathroom let water floor , sink unit badly design water everywhere . also doubt cleanliness . 
 Nov 6 2009 	 Fur coat ............. 	 there s doubt , first walk door reception / atrium , be impressed . staff seem slick efficient space dramatic cathedral like excellent videoart sculpture . smug feel money well spend , however , melt away enter thebedroom area . idea & quot ; IKEA acid & quot ; dawn room designer early ninety , ( last time room clean probably ) probably not invisage effect countless middle management rep type hurl dell laptop roller case room , dent scratch every surface , kick open door order meet ' Bob ' sale ' Carbon ' godawful bar . jeez , place horrible , could go ... get picture . 
 Nov 5 2009 	 bad hotel ever stay ! 	 rang prior arrive asked upgrade . informed would luxury room ! room locate annexe hotel . basement room , lift order bed touch wall , room small ! ! ! return 3 pm next day , room make ... shower do not work properly , breakfast large canteen area , long queue find seat get breakfast expensive ! 2nd morning queue sign breakfast 20 deep restaurant pack ! ! end go across road lovely bistro unable wait would miss meeting . still charge breakfast even cheek try charge high rate agree . staff rude give dam , customer service ... really need get act together ! ! would never stay hotel , company blacklist . 
 Nov 4 2009 	 Superb location try hard 	 stay 2 night Hallow'en weekend - great location,1 minute Marble Arch Tube Station , Oxford Street . lobby impressive spend 40 minute check - busy Friday afternoon , 5 desk open go anywhere fast . huge . room boutique type i.e . small . bed ( nice ) take room . ok weekend long ......... shower impressive part room . bar nice relatively trendy - staff helpful almost none english first language . problem try sort problem might issue . do not eat hotel can not comment . overall suitable weekend away location / price equation . sure week though . 
 Nov 3 2009 	 bad Hotel ' ve ever stay 	 terrible , terrible , terrible ! ! ! ! Booked prepaid delux double . quee check get large spacious twin blood one pillow . say happy wanted actually book , tell hotel full would move next day . understandable quite reasonable check quite late . sleepless night ( can not sleep single bed , ' m sorry ) shower get water floor , pack stuff unpacked night go downstairs explain ' guest relation ' situation . que people first clue ! completely unapologetic quite rude say would move . husband ask anything could inconvenience offer bottle wine room upgrade . when come back day sightseeing , collect new room key absolutely horrified ' upgrade room view ' . upgrade king size room half size room night , view traffic marble arch . course , bottle wine . go downstairs complain . yet quee speak someone redirect manager rudest person ever meet service industry ( work service industry ! ) . attitude simply ' what be wrong ? ' understanding simply say not good enough , get room pay would appreciate compensation huge inconvenience not rate room upgrade upgrade . offer free drink bar free ticket london sight seeing bus . incense . tell treatment attitude completely unacceptable say trip advisor would hear simply say ' not care trip advisor , not read ' . proof hotel care customer . the issue resolve much frustration say would refund 20 % . believe see it . the problem not stop ... shower new room drain flood bathroom floor light non - existent . final 4 night Cumberland 1 am drilling start . drill ... finally husband get go downstairs raise issue . reception staff insist underground ( teh 1st floor ) could move 7th floor wish . neighbour next room doubtful appear come inside hotal far loud underground . other , find hotel cold unlike hotel . bar restaurant overprice charge 12.5 % service charge . feel little rich couple time not get table service go bar . ice cake checkout leave bag collect later give we wrong luggage ! could easily walk someone else 's stuff vice versa ! positive location . room also Sky Sports husband enjoy . also kettle good selection tea every room nice touch whole experience utterly horribly overlook . easily find well hotel money . the problem hotel always busy not care problem . sorry long review , feel angry whole experience ! certanly return ! 
 Nov 1 2009 	 way toooo expensive nothing special ! 	 sway modern lobby crazy statue get elevator every expectation must lower . room extremely dark ( one light size golf ball ) . thus , make tad difficult see want get ready evening . plus , room smell wall carpet need update . stay one night glad since call get iron ironing board ! response & quot ; could wait ? shift be really busy someone come fill ? & quot ; finally come 30mins . rude staff , room small , dark - nothing redeem hotel money pay ! 
 Nov 1 2009 	 omg get 4 star 	 well travel couple find bad hotel full stop . allow premise 4 star unbelievable . booked delux king park view . arrival give delux double view insist king . lol look web page give delux double look like photo . move surprising new room look like , nightmare continue door miss lift area mean night full Bings corridor lift arrive . try complain one pick phone . try complain morning staff pass buck reception manager uninterested actually know , jump reception manager duty manager team lead . it would nice say something good , even Rhodes w1 breakfast area terrible . like Butlins resort . 
 Nov 1 2009 	 calm relaxing 	 want room overlook Oxford St tell one not ready yet - could either wait , room back . choose ' now ' not disappoint . look onto quiet street , almost traffic noise , despite near lift , not hear either . sleep well . the bed big comfortable , lovely linen nice pillow . window open - able , tall , room plenty natural light .. sell fridge ; buy ' proper ' milk , tea & amp ; choccy biscuit could decent cuppa - bliss . yes , bathroom glass door , be opaque step away . like uncluttered design nice shower ( tip - need flood floor , turn part way ' bath ' ' shower ' ) . fancy glass basin mean soap dish , 's make - up mirror - would good idea put one desk room . two quibble . staff seem German East European , ( apart concierge , Cockney ! ) super - efficient , though incredibly friendly , maybe hotel size efficency enough . location hotel mean could hit Primark 9 am empty tidy ! rate not include breakfast , 's Pret Manger next door , italian cafe road Duke St pancake , eggs & amp ; decent coffee newspaper - civilised . ' wow ' factor lobby draw , feel cold somewhere linger . not matter since room calm relaxing , hotel 's location perfect shopping , West end Hyde Park . 
 Oct 31 2009 	 Frustrating Experience Cumberland 	 book hotel group 9 people one night Saturday 24th October . booking make : 1 single room , 2 quad room . confirm book several time arrive , read review post tripadvisor , little bit anxious . upon arrival delighted location , close oxford street . whilst queue 25 min check - in , could not help notice guest deal check - in desk , seem difficulty one sort another ............................. assume booking . finally get check - in desk 3 pm . hand book confirmation etc staff member behind desk , everything fine tell 1 quad room book not ready yet due late check previous guest . tell need room straight away party leave hotel 4.30pm late , pre - theatre dinner reservation . attitude extremely frustrating . tell sorry ( clearly mean ) , 2 housekeeper work , would get room soon ready nothing could . ask would say 45 minute , say unacceptable want speak manager . eventually manager come repeat check - in staff member say . insist want suitable alternative accommodation , price quad room , bit battle , get 2 twin room ...................... manager say would send complimentary bottle wine apologise inconvenience . really feel get alternative accommodation strongly insist ............................ , would probabley leave sit reception whenever room ready . leave check - in desk , ask book confirmation paper back , however , no - one could find mass paper cover check - in desk . , whole check - in procedure take 1 hour . room quite nice - clean , spacious seem quiet part hotel . however , could work safe , rang reception 3 time get staff member take look , give time go diner reservation staff member arrive . bottle wine never arrive either , even though would not time drink , still annoyed . , glad leave hotel evening . breakfast follow morning surprisingly smooth efficient affair .................................. spacious dining room , great selection hot cold food , juice , pastry , friendly staff seem know . nearly make confusion previous day . check - out . present , basically charge price 2 twin room charge price 1 quad . explain situation staff member , 's attitude ' well can not take word , will pay full price will reimburse another time ' - imagine confusion would cause ? ? ! ! ! . understand could not take word , really feel notification sort name , whoever check would understand happende . co - incidence , spot staff member check previous day , call finally got check right price . , feel relieved leave cumberland . would stay ? maybe .............................. excellent location , absolutley reason , would expect confusion disorganisation . 
 Oct 28 2009 	 ` ` ok '' 	 Location great , right next Hyde park , cinema , marble arch tube stop course Oxford Street shopping . marble arch tube stop close trip , shame hotel fault . the Foyer impressive , feel like art gallery particularly inspire art . we book double luxury room , like double room . not much luxury it . very little atmosphere . poor lighting room , one big mirror & quot ; hallway & quot ; terrible dark . one light miss also . AC work fine . shower nice , leak heavily floor , dangerous . some staff pleasant , odd one point member staff burst room without knock ask check ! professional all . all , particularly exciting . ok.not thrill description make . 
 Oct 27 2009 	 dirty smell room 	 unappeale room - modern front house reception / bar area pity end . constant queue check in / out congest whole area , high noise level . staff unapproachable rude . room smell stale dirty . enough wardrobe space drawer room , 1 towel tiny bathroom . hotel call four * establishment market accordingly opinion . complain offer upgrade …… . ' bother dismal corporate colour , drawer sufficient hang space room , advise could sleep pull sofa bed , £ 400 per night . 
 Oct 27 2009 	 Never 	 Wife stay Cumberland Weekend 21/24 Oct . booked delux double Room . we would never use hotel follow reason . our supposodly delux double room reality single room double bed . the room altough modern space whatsoever get small single wardrobe hardly cupboard space . it nightmare get breakfast morning altough 8 lift nearly impossible use upwards 900 people idea get back room . as breakfast -We take child butlin many year ago believe butlin well breakfast choice well organise hotel . we usually weekend London 2 3 time year always stay Marriot hotel never complaint decide try elsewere change believe never again . on Monday morning decide lie miss breakfast however wake 0820 housekeeper inquire time entende depart . ice cake . we also use Rhodes Brassiere hotel saturday night trust one bad meal ever food service way long admirer Gary Rhodes say dissapointed understatement . 
 Oct 24 2009 	 good room good location 	 stay recently conference hold another hotel nearby , understand 1000 room feel bit like factory check , say girl check professional welcoming . room good size clean location ideal . bar staff less welcoming , breakfast bit frenzy , number suppose would . hotel would get & quot ; Good & quot ; rate rather & quot ; average & quot ; not quite hit & quot ; good & quot ; mark . 
 Oct 21 2009 	 beware room upgrade ! 	 3rd weekend stay hotel year . arrive 1 pm long queue check - in . tell deluxe double room book not ready yet . could go away come back hour queue , pay £ 30 upgrade room check - in straight away . promise well room late check . want wait line , go upgrade ( turn £ 30 PER NIGHT , explain properly ) & quot ; upgrade & quot ; room 2nd floor different room stay extra charge . fact room bad noisy aircon unit outside window . Thought would wait see noise like return room later . midnight come back , aircon noise join bang club music night club . go straight reception ( queue ... ) . chap reception helpful quickly upgrade we give we new room 4th floor great . my worry offer room & quot ; upgrade & quot ; may general practice get money hear other offer . hotel great location may try somewhere else next time . 
 Oct 19 2009 	 ` bother ! ! 	 would stay hotel ever . staff rude , room small , bathroom tiny , need painting tidying . 1 towel bathroom 2 we . cook breakfast cold , orange juice powder form , atmosphere like canteen - horrible . evening sit bar area feel sleeze , comfortable . would give hotel anything 2 star . stay somewhere else , . 
 Oct 16 2009 	 stay need area London 	 enter building reception / bar area quite impresssive like Art Gallery strange lighting look . , prefer mahogany thick carpet look four star hotel . get room sorely disappoint . door room recently paint give one coat colour previous layer paint show enter room meet strange smell , dirty carpet room small could almost touch wall ! hotel call four star establishment market accordingly opinion . give significant discount rack rate still feel grossly -charge . oh yes forgot say strange colour carry bedroom . 
 Oct 16 2009 	 good location pretty mediocre overall 	 end stay one night shunt ( along 4 colleague ) Thistle Marble Arch due overbooking - great start ! long queue check - in 5 pm onwards , try arrive early late . room first floor typical London corporate hotel . refurbish good shower , still look bit tired overall . although double glaze secondary glazing , traffic noise still problem room overlook street - even quieter side street . free hi - speed internet access - minimum £ 10 voucher poor - excuse rip - off business traveller . not dinner hotel several excellent lebanese restaurant round corner - try - fantastic value ! breakfast experience good . much like busy airport hospital canteen . plenty choice - bedlam - forget relax read paper quiet start day ! - need part London business desperately want Oxford street - 's ok . - plenty well hotel London try . 
 oct 8 2009 	 great location careful ! 	 overall hotel lovely . reception area gorgeous - really modern ! location perfect , second Marble Arch Tube ( athough close renovation weekend Bond Street Tube station 8 minute walk away . ) perfectly locate Oxford Street . reception staff quite rude though matter fact .The room small modern perfect night two 's visit city . nightclub hotel stay open 3 am ask receoption ensure room directly end room 1st floor . discover 1 am move ideal time night . floor appear okay fairness would imagine 1st floor club - worth ask unless plan stay 3 am anyway . we cocktail Gary Rhodes brasserie really nice relaxing . breakfast great - plenty variation . I would stay hotel - location excellent . probably suitable though someone look relax weekend away . 
 Oct 6 2009 	 big good 	 stop cumberland 2 night weekend trip apart strange reception foyer area good clean hotel great location great breakfast ( allthough bit busy may wait .. go 9:30 ) 
 oct 1 2009 	 Cold Uninviting 	 favour , stay Cumberland ! terrible experience , staff bore rude trouble understand English . room average need refurb tired , location central redeem feature stay . canteen style breakfast area , noisy , cramp reminiscent hospital cafe , without hygiene , find thick dark hair mushroom , disgusting . terrible experience 3 day worth price lack class would expect . 
 Sep 16 2009 	 excellent hotel 	 Istayed hotel husband mother find brilliant hotel . staff helpful , breakfast good - lot choice . location excellent touring around London . book hop bus bus stop close . shop close crowd ! ! would definately stay hotel 
 Sep 11 2009 	 great base operation London 	 take daughter London college graduation present , travel agent book we Cumberland . initially put ultra - modern lobby ( terribly welcoming ) size hotel ( usually prefer stay small hotel ) . however , we , turn perfect choice . go right breakfast dinner day , room entirely adequate we even though might feel small spend time . however , hotel several feature make great base operation touriste around London : ( ) right top Marble Arch tube station Central Line , ( ii ) close bus stop Hyde Park bus Oxford leave , ( iii ) concierge knowledgable helpful , ( iv ) breakfast include room rate good start early , ( v ) right northeast corner Hyde Park , easy ( pleasant ) walk major tourist destination ( first day , walk Hotel Tower London ) . 
 Sep 11 2009 	 excellent location great value 	 review regard noise , decor service worry . street level noise due loading unload 08:00 back hotel . window secondary glazing noise usual London . interior design interesting though get show cold shock glass bowl basin mirror must challenge cleaner . facility spotless ! . big hotel not anticipate prsonal service . conclusion comfortable experience bargain part London . 
 Sep 9 2009 	 Excellent hotel great location great service 	 be around favourite London . make sure stay outer perimeter face either Hyde Park Great Cumberland . 
 Sep 8 2009 	 great hotel ideal location 	 stay 1 night Saturday 5th Sept 09 . arrive train Glasgow & amp ; ideal hotel locate round corner Marble Arch tube station . hour early check problen leave bag concierge & amp ; come back later . great afternoon London , check around 5 pm - ok , staff not overly welcome not really expect large hotel . room 5th floor spacious & amp ; bed really comfy . room rear face quiet enough return around 1 am . bathroom nice , large walk shower . breakfast bit mad - head 9 am queue around 5minutes table . quite noisy ( like canteen ) could not grumble food plenty . leave breakfast room hour later , queue seat long unbelieveable - fact , would not wait we . queue snake right door round lift area - would imagine complaint guest wait time ! anyway , check 11 am , leave bag concierge station do not need get tube 1.30pm . problem . like stylish lobby .......... something bit different pattern carpet wood ! 
 Sep 7 2009 	 Excellent Location Good Value Hotel 	 stay second time short break London couple night . check 11 am allocate room immediately , big bonus mean could head enjoy day . small queue check - in , quickly go , guy check we pleasant helpful . room great , overly large european capital city standard good , bathroom good size , excellent shower . standard cleanliness high , adequate storage space bed comfortable high quality bed linen . times stay Cumberland read mixed review . however , would say pay £ 95 per night two we , without breakfast , think great value . complain quees check , busy hotel , staff efficient . think value money offer hotel outstanding , location central , tube bus within two minute walk , lot facility around easy walk distance . pay breakfast , walk Oxford Street 200 yard , turn right Mayfair find superb pavement cafe great breakfast £ 5.95 , first class coffee . alterantively not want walk Pret Manger right outside hotel . worth bear mind feel four star hotel , get four star hotel offer superior facility , find easily pay double price . 
 Sep 7 2009 	 Perfect ! 	 stay cumberland birthday , initially give room 2090 seem small seeing suppose deluxe double . notice turn bathroom sink tap water start leak back , informed reception move next room , no.2089 deluxe twin park view view oxford st huge , delighted room view superb room could see hyde park , albert hall , st pauls oxford st . wonderful & quot ; Room view & quot ; . hotel self huge foyer contempary , draw back huge eay get little lose amongst maze corridor soon find way . would recoomend hotel everybody perfect location amenity shop 4 tube stop west end , staff helpful indeed . PERFECT ! ! ! ! ! ! 
 Sep 6 2009 	 truly Awful 	 stay 5 year wedding anniversary . supposedly get ' great ' deal via ' secret hotel ' web . pay £ 95 apparently half price double deluxe sweet . previously stay Gouman Tower could not wait Tower fantastic . lobby dark uninvite almost impossible hear check staff mumble . get room awful - bed push wall - expect deluxe room . carpet stain view wall . husband go complain upgrade .... cost £ 45.00 ! ! tell high quality room view park - exactly size apart extra bedside cabinet mean bed long wall . view ... wall , unless stood desk point could see park crane neck . carpet filthy bathroom clean . thankfully stay one night - honestly say travel lodge would cleaner spacious . quite possibly bad hotel ' ever stay , . felt completely rip glad pay full price either room ( would £ 180 £ 195 ! ! ! ! ) . definitely worth . 
 Sep 5 2009 	 clean cheap rate hotel next Hyde Park 	 go see Bruce Springsteen Neil Young need cheap clean hotel . fine . London expensive . not expect much price work fine . it safe area . eat food . staff overwork . helpful bag wait outside ride . be fine . 
 Sep 5 2009 	 Great Location Good Hotel 	 book 2 night thi shotel , read ton bad review . know expect , pleasently surprised . couple point other complain : lobby : bit artsy , noisy cold . let us face not live , walk it . staff : efficient check - in -out . concierge helpful , admit though , complicated question . People complain atmosphere impersonal . well , big hotel . want greet last name pay room . safety : People complain stuff get steal room . safe room . name imply , put stuff safe . noise : enter hotel busy street . ask staff give room face street . , calm room . room : room rather big european standard . everything room bit artsy , okay . all , great time . luxury hotel . pay aroung $ 150 night . luxury hotel charge 2 - 3 time much . still good hotel great location ! 
 Sep 3 2009 	 impressed 	 husband get last minute deal £ 90 / night middle week , would cheap deliver another reviewer mention , apart pretty lobby , rest rather disappointing . room small ( queen - size bed wall ) decor quite cheap get start colour scheme ! top give room basement , really dark open curtain could see cab ' queue . definitely stay , actually live London want & quot ; treat & quot ; far treat . disappoint , either bother try breakfast know advance would another average expensive experience . 
 Aug 31 2009 	 Impersonal poorly run hotel 	 Unfriendly atmosphere , rubbish empty plate leave uncollected corridor . phone operator rude unhelpful . experience like stay airport : large institutional . room tired : floorboard lifting ; tap bathroom break nozzle ; carpet chew gum stick two place . artificial aroma spray around reception overpowering . reception appearance underground railway station . location central , remember end one busy least attractive street London ( Oxford Street ) . return hotel night unpleasant . 
 Aug 31 2009 	 great location modern hotel 	 great location right beside Marble arch tube station . hotel modern , room great - although change room upon arrival room small could get bed one side . guess single room . breakfast good , great choice . hotel bar absolute fortune , that s London ! ! 
 Aug 31 2009 	 Great stay 	 read previous recent review really expect worst pleasantly surprised . Stayed August bank holiday book last minute - cheap central London hotel available . arrive hotel around 1.30pm 5 min wait check . room available immediately . issue abit attitude check - in guy pre - empted question non - smoking room pick ! ! ! corner room overlook back hotel excellent condition really quiet . room well prepared - clean bathroom , great bedding , modern decor etc . beat location lobby remain stunning . sure enjoyment stay depend room - get good one good value money Central London . 
 Aug 31 2009 	 lovely lobby rest terrible 	 awful awful interior design , quirky border non - functional . room noisy outside , aircon , hallway . staff could bit cheerful . 
 Aug 28 2009 	 great location good hotel 	 hotel great spot , Oxford Street . find staff friendly helpful . yes , ten minute wait book , hotel thousand room , wait inevitable . not see queue lift , even though stay weekend . short wait breakfast , soon show clean table friendly staff member . plenty choice breakfast , include chicken sausage ! bedroom , although huge adequate , bathroom large great power shower . bar price steep , 's Wetherspoons , Tyburn , round corner . 
 Aug 28 2009 	 not expect get sleep .. ! 	 4 Star hotel ... ? ? ? - stay room overlook courtyard - noise external Plant room unbearable - not able sleep wink night - would not recommend hotel bad enemy . hotel detail say double glaze - room certainly not - advice stay somewhere else .. ! ! ! ! 
 Aug 27 2009 	 hotel total joke - ` ` Hotel Babylon '' real 	 Problem 1 ) reception record booking . desk staff could not handle keep re - checking name , pass problem another member team . almost complete check - in . problem 2 ) shower gush leak basin flood bathroom . hen notice tv bedroom hang wall , loose wire dangle . problem 3 ) call reception request change room . staff member bring new key card room , nip across corridor wear nightdress ( small ) large towel , drag luggage , key not work . problem 4 ) staff member disappear , old room lock behind , choice except go main lobby get help - wear towel ... problem 4 ) reception staff want argue would test key card , rather help get new room . lobby full view street , move behind reception desk get bit cover ( wear towel ) staff aggressive . problem 5 ) new room ( third ) clean , still use sheet etc . problem 6 ) could not get answer 10 min phone reception , go downstairs - still wear towel drag luggage . finally , fourth room standard ! morning complain Customer Relations . listen kindly admit night team notoriously bad . also promise phone follow complaint request refund - course , never do . do not stay HOTEL 
 Aug 27 2009 	 Location Location Location 	 Title say ! travel young kid tired sit restaurant ..... buy picnic dinner sit Hyde Park ( across road ) bottle wine , blanket lot perfect way spend summer day / eve London . the room service bar service hotel SCARY ! ! ! catered enjoy London pound ! room ok great , move twice still put we outside service entry door lot noise disturbance night ..... dampner . nevertheless room clean , large enough fridge stock bed linen comfy 
 Aug 26 2009 	 Poor Security room 	 Location good , room bad , staff unhelpful rude . breakfast - good choice warm . security room poor . bracelet steal hotel bedroom staff unhelpful . 
 Aug 25 2009 	 5 star hotel train station 	 many 4 5 star hotel London be not even near category . I arrive late night overbooke Radisson Portman previously make reservation . put room literally cell window , ask transfer understand many option staff [ -- ] . say sweet porter complain management hotel seriously staff . the follow day , wait 5 minute line get disgusting breakfast ever ( noisy ! ) wait 45 minute ( ! ! ! ) porter come help bring thing lobby . second porter also verge cry , tell hate work . lady check keep make really upset sigh , honest really feel sorry , waste whole morning checking . huge line people behind shout someone go front line . also verge cry whole experience I m exaggerate . relief get place . apart impressive lobby would rate hotel 2 star hotel . please favour avoid hotel , location great bt well hotel nthe area , would much rather go hotel like Radisson portman want say area somewhere do not feel like you re stay train station . if you re area also HIGHLY recommend eat Churchill hyatt restaurant front Radisson portman . open kitchen delicious food ! 
 Aug 24 2009 	 Superb location awful awful service . 	 get hotel via last Minute 50 % discount . would not stay full price actually stay doubt would go back half price . location unquestionably brilliant , 30 second walk Marble Arch tube station generally nice location overall . as walk lobby greet line 20 people wait check . line move slowly experience feel conducive 4 * hotel . thing deteriorate tell room ready , despite check time commence hour early . person check we cold , unfriendly loose grasp English . to make matter worse return later finally collect room key queue , despite promise could walk right front since already room allocate . to finish checking process , finally get point give key card , man tell we book room low level , despite request quiet room upper floor . finally find room , 8th floor , mark smoking room , despite multiple confirmation desk would get non smoking room . 90 minute process simply unacceptable . the room fine , decent decoration quite new . bathroom look lovely ridiculously design ! start shower without soak room . simply possible design . sink overly design would also soak surround area sort use . one positive note , meal W1 Brasserie excellent . 
