Leopard 	 husband London Thanksgiving week year try Rubens Hotel . hotel gracious , warm comfortable . room quite spacious London standard . ask turn service . chocolate yummy . favorte part stay meeting Said Mahri , manager Leopard Bar inside hotel . luxurious room wood panelling . romantic chic . say charming gracious host , knowledgeable London retaurant bar scene . 
 Pleasurable stay 	 fantastic location right next Palace , wonderful walk St James Park breakfast . stay catch couple show west end . bit way Covent Garden ( £ 15-£20 taxi ) ideal start point variety bar drink in . the service really good , consistent whoever meet whether reception , breakfast staff barman . standard room also good , bed one good ' ve ever stay ( wife want buy one ! ) . picky little pricey . lunch consist couple drink , salad , steak fry £ 50 . say plenty people eat drinking know ! really enjoy stay would go back . 
 Nov 2 2009 	 great Stay Rubens 	 hotel great location . across street Mews short walk Victoria Station , Buckingham Palace , restaurant shop . get Get stay option include huge , delicious breakfast every morning . also try master din room dinner . meal good service unbeatable . room little small , comfortable . staff friendly helpful . enjoy visit would definitely stay . 
 Oct 26 2009 	 Reubens winner 	 Rubens Palace truly 4 star hotel . service friendliness staff exceptional . stay executive king room . able split king bed twin . plenty elbow room bath product spa quality . would highly recommend hotel anyone look first class experience . location excellent . within walk distance practically everything . full english breakfast buffet satisfy . Dinner Cavary also nice . lounge bar area quiet comfortable . perfect place relax long day sightseeing . be inexpensive , well worth price . 
 Oct 26 2009 	 Super London hotel 	 second visit Rubens love much last year . this year fabulous , noisy ! not fault hotel . room side hotel road work , ufortunatly wake we early ! last year front look Royal Mews great lovely view . the next morning ( Sunday ) early road work really inconsiderate guest decide start walk bang around early four ! ! ! ! ! ! hotel beautiful old building creaky floor board awful try sleep impossible noise , husband rang reception , kindly suggest guest stop noisy avail ! Staff Hotel super last year . food , breakfast , exellent fine dining library resturant .We fun piano lounge evening husband sing lovely american pianist good fun . exellent location right Buckingham palace , infact walk everywhere weather warm . all lovely gem hotel , return third visit request high floor room away road work ! ! 
 Oct 23 2009 	 ruben great place stay 	 location guide hotel , close Victoria Station , close theater district walkable distance Big Ben . arrive early store luggage we go Kew Gardens . received London Telegraph newspaper morning -- 2 day complimentary breakfast provide we current convertor laptop , curl iron . free wi - fi air - conditioning nicely appoint room . 
 Oct 16 2009 	 Lovely friendly London hotel ! 	 stop work last night , want say lovely hotel London , proper 4 star ! staff friendly efficient breakfast treat ! room small , nicely decorate furnished , clean comfortable . room quiet London hotel , get good night sleep . Decor lounge area lovely unique , pianist midnight ! , would stay , either via work husband . excellent location ! ! 
 Oct 14 2009 	 highly recommend 	 hotel know true meaning & quot ; customer service & quot ; recent stay could not fault . beautiful room , stay 2 night weekend rate include breakfast ( well ever ) day carvery dinner 2 one night ! highly recommend Rubens ! 
 Oct 13 2009 	 short sweet . 	 enjoy wonderful evening Rubens . Loved check friendly welcome . room spacious well equip . view right Buckingham Palace ! mini - bar turn blessing disguise venture next door bBar turn great fun . travel occasion well look , newspaper , wonderful cocktail attentive service . restful night complete fine breakfast . 
 Oct 10 2009 	 Perfect hotel perfect location ! 	 spend week Rubens enjoy every moment . suite front hotel window double - pan street noise ! hotel good breakfast ever -- get busy day good start ! staff extremely friendly helpful . train station 2 block away trip outside London . hotel literally across street Buckingham Palace -- great location . easy walk along park Westminster Abbey Thames River . stay . 
 oct 9 2009 	 Classic Elegance 	 great location near Buckingham , theater , shoppiing . entire staff attentive comfort request . restaurant excellent food quality service . stay african Queen suite - luxurious end first trip Europe 
 Oct 8 2009 	 Rubens Fantastic ! 	 stay Rubens London , England pass August . wonderful accommodation fabulous people work . go way everything mean everything . walked call first name , could believe . send questionaire get hotel suggestion may want may handle first class . also , Rubens across Meuws attraction within walking distance . next stop London , consider stay Rubens . 
 Oct 8 2009 	 Outstanding 	 first trip Europe start 5 night Rubens Palace . beyond expectation . everything one would want hotel . People , cleanliness , location , help staff , great restaurant bar . get spoil first trip wife already say ever return London place want stay . 
 Oct 7 2009 	 great stay Rubens 	 travel London way back home tour Italy . take train Gatwick stay overnight Rubens Palace . good hotel , comfortable bed , nice even posh room big room . breakfast come room excellent . great location , site Victoria St. Staff really top thing , friendly nice . go dinner St Johns ( 15 - 20 min away hackney great meal ) , concierge phone tell go late . would go back Rubens Palace anytime London . 
 Oct 6 2009 	 Excellance great location 	 great hotel reasonable price London - staff friendly helpful ( continually smile ) location could not well access main sight tube . standard room bed enormous . full english breakfast superb - not eat day ! excellant carvery meal first evening beautiful surrounding good price London . itoo easy pl ease ? - , really good . word caution - latte coffee expensive £ 4.50 cup - Ouch ! make mistake . use coffee facility room next time buy Starbucks . despite deserve 5 * 
 oct 5 2009 	 nice british hotel near Buckingham Palace Victoria Station 	 stay weekend old hotel , find staff eager go way helpful . room unusually shape looked cramp , actually space ' stuff ' ( wrap two - week trip British Isles ) . much hastle , get internet go , sporadically , even manager duty personally try help . ' package ' include three course & quot ; carvery dinner & quot ; first night , delightful prime rib roast beef dinner trimming . breakfast buffet also quite good , unusual way cook egg right degree doneness . Tom concierge expertly knowledgable helpful , service desk fall day , unfortunately . would stay . 
 oct 4 2009 	 wonderful service superb location 	 hotel beautiful . delighted room ready arrive 1:00 pm -- room lovely well appoint , offer free internet service -- plus view Buckingham Palace mew . small issue arose , address immediately , graciously , satisfactorily . staff professional , knowledgeable , friendly , extremely helpful . location hotel convenient tube , sight Westminster Trafalgar Square , easily accessible . would certainly recommend hotel anyone stay London . 
 oct 2 2009 	 great location great service good room ! 	 five night stay Rubens Sept. ' 09 , upgrade Superior King Bed Room . room fairly small , clean meet need . & quot ; king bed & quot ; two single bed slide together , work fine . plenty storage clothe . bathroom quite nice - limit counter space necessity , well finish beautiful tile , bathtub / shower combo . like sleep cold room , air conditioning must good London ! room also free wi - fi ( personal computer , even keyboard wi - fi flat - screen tv ) . probably good feature hotel include city location general service . staff extremely professional & amp ; courteous . can not recall single incident poor service warrant mention . cleaning room , day employee stop confirm everything meet satisfaction . nice touch ! also , breakfast restaurant good . full buffet , cook - to - order egg station , pastry , cereal , juice , meat , ... traditional english breakfast . Most major attraction within walking distance , include Portobello Market , Notting Hill , Hyde Park , London Eye , Thames , River , Cabinet War Room , Parliament , course Buckingham Palace directly across street . also , location 2 - 3 block Victoria Station , rail & amp ; tube station well locate get anywhere London . Starbucks junky , Victoria Station fill square . also , excellent restaurant neighborhood ( indian food , try Quillon Taj Majal Hotel ; good ) . addition , Victoria Station area good pub , small grocery store , inexpensive food option . good people - watching . overall great visit London , would not hesitate set base camp Rubens Palace future visit . 
 oct 2 2009 	 Good Location Staff Surface Value ... ... 	 location great . quick walk gate Buckingham Palace , Victoria tube . quiet peaceful night want sleep . Front desk restaurant staff wonderful . nice , helpful , friendly , informative people . I expect small expensive room major city . get Manhattan , Washington DC , Boston time . room lay properly clean well , complaint . at Rubens , layout crazy . much furniture room . sort green plant food stick sheet first day arrive . the bathroom silly . bathtub wall 3 ft ground . one half tub entrance block dodgy glass screen , half block adjacent toilet ( 2 inch clearance ) . , suppose suppose swing open glass screen 10 degree maximum , sit tub edge , swing leg toilet order get ? royal suite fortunately additional stall shower ... otherwise , fear husband would either dirty injure . there lot cheap britishy frippery , room , hallway , exterior . look fancy , lack real quality . look like gold , feel like gold , look close , 's fool 's gold . fine pay fool 's gold price expect equivalent . the meal fine , overpriced . hope profit meal go excellent service staff . Layout , cleanliness , little simplicity would go long way . make cheap . 
 Sep 29 2009 	 elder 	 Excellent location , across king Mews . stay want get 6.30 , everything seem thin : wall , door , ceiling etc . staff helpfull . change room first night incredible noise street early morning ! breakfast ok , healthy . almost british food healthy . next time definitely choose another hotel , could send parent . 
 Sep 26 2009 	 terrible 	 disappointing . room smell really . rude dismissive staff . could not recommend condition . choose hotel overall good review experience opposite . 
 Sep 20 2009 	 perfect hotel perfect location 	 select Rubens due ideal location Buckingham Palace Houses Parliament . arrival discover Royal Mews 50 yard Hotel Westminster 15 minute stroll away . we impress staff hotel could not enough we . room book nicely decorate , comfortable clean although Standard room appear small side - problem however . the service dining room second none carvery excellent . although not dine Library restaurant look appealing , ' m sure stay make effort eat . 
 Sep 19 2009 	 blow away Reubens love ever go stay ! ! 	 Husband & amp ; stay Reubens twice far , go back birthday weekend 26th Sept. 2009 . staff extremely friendly , always make hotel stay we . stay hotel Victoria area London , never cross portal ever . 's Reubens we everytime . moment walk lovely door , Doorman smile , reception staff smile , Concierge smile , every member staff meet part hotel lovely , make stay special . food fantastic , magnificent breakfast , afternoon tea absolute delight , never do , treat friend family Reubens Afternoon Tea experience . last time stay , couple week ago , Charles II room , lovely comfortable bed , gorgeous bathroom , portrait flamboyant King Charles . feel like room Buckingham Palace . fact , almost tempt walk across road word Majesty Queen , recommend Reubens ever vacate palace reason . can not recommend high . can not put price quality , rich people , like get great value hard earn money , be expect Reubens Palace Hotel , Buckingham Palace Road , SW London . 
 Sep 15 2009 	 Old World Charm Sumptuous Food Excellent Location Rubens Palace 	 come town two night catch transatlantic cruise . hotel across street Buckingham Palace , street Victoria Station need meet transfer bus shop port Harwick . rubens reputation excellence live reputation . fly night Aug 30 walk 11:30am 31st tired . give room right away . room number 215 2nd floor . book superior king room fabulous sheet , pillow comfortable duvet . bathroom marble rain water shower head . one concern , must make sure tub mat secure step tub . security bar would welcome addition bath situation . room also flat screen tv free WIFI . floor almost ceiling window look back gate Buckingham Palace . hotel three eatery . Cavalry Bar Palace Lounge serve light meal , drink , snack Traditional Afternoon Tea . library strickly dinner restaurant favorite Old Masters Restaurant . although serve buffet style , food service amazing . three course offer could get two three . two course price 22.50 pound three course price 27.50 pound . much choose . homemade salad , soup , yorkshire pudding , many different vegetable choose along prime rib carve first night , lamb second night . food good eat night . dessert cart full homemade pudding , triffle pie . wonderful restful time Rubens intend return 2010 . highly recommend establishment every way , 
 Sep 15 2009 	 wonderful hotel 	 wonderful time hotel . staff fantastic good ' ve ever meet . hotel lovely room comfortable gorgeous bathroom . location great handy tourist attraction outstanding memory us warmth kindness staff . 
 Sep 15 2009 	 great location- Excellent service 	 delight great service location hotel . price reasonably . english Breakfast great . staff exceptionally helpful friendly . would highly recommend . 
 Sep 10 2009 	 Great Location ! friendly staff . would love stay .... 	 travel family five , end two rooms- everywhere Europe . room clean cosy . consult staff everything dine advice ticket information find well inform friendly . location perfect . step away tube , bus station , hop - on bus tour . hotel overlook Royal Mews , convenient transportation , also quiet area . enjoy breakfast every morning dinner pub area one night . food good convenience godsend tired kid . would love return hotel . 
 Sep 10 2009 	 perfect day rubens 	 return long weekend ( 5 day ) break London can not speak highly enough Rubens . choose executive room bit space room massive entirely comfortable , well equip peaceful . bathroom bite snug satisfactory . staff really make special holiday : could enough help we every single member team attentive seem genuinely keen make sure serve professional , yet warm friendly manner . talented pianist bar night add atmosphere . we find standard food high , cut 4 5 star hotel stay . fab breakfast load choice , whether want hearty english trimming healthy cereal fruit . theatre supper also good dinner Library die , one good meal anywhere . the hotel well position sight shop , locate right opposite Royal Mews within couple hundred yard Buckingham Palace . close tube Victoria , four five minute walk , Apollo Victoria Victoria Palace Theatres . we would strongly recommend hotel stay . 
 Sep 7 2009 	 Impeccable Service Outstanding Rooms Perfect Location 	 second stay ( business trip ) stay last Summer family vacation , make we feel home ( little one treat like royalty ) . staff continue impress impeccable service . 5 minute check room receive call front desk ask satisfied room . ? ! ? ? ' ve stay gizzillion hotel first . yet be ' m treat Rubens staff . truly go way make feel like be vip . universal treatment staff naturally come top ( i.e. , management ) , mind 's , well - run hotel . room extremely clean , spacious London standard , bed top , sheet pillow top , towel thick ( Holiday Inn - like sand - paper towel ) , bathroom ' furnishing / fixture new , breakfast U.S. style omlette , bacon , etc . , prefer european - like continental breakfast , be available . tea - time great time . course location great , be 3 - minute walk Victoria Station Buckingham Palace , take pick . I highly recommend hotel . 
 Sep 1 2009 	 lovely historic London hotel terrific location 	 want convenient London location get . ruben close Victoria tube , train coach station locate directly across Mews ( stable ) Buckingham Palace . room small US standard adequate . bed comfortable , pillow soft , bathroom good great shower . a / c work well staff friendly helpful . enjoy wonderful tea hotel restaurant truly put we english mode . still sparkle water provide well tea coffee service . 
 Aug 27 2009 	 Outstanding 	 stay two teenage child two room . can not say enough wonderful staff . arrange show ticket two show advance via e - mail Concierge . great seat waiting arrive . also arrange taxi pick we Heathrow land Concierge . hotel staff could not helpful . room comfortable though large . course room London Europe large . location excellent . across street Buckingham palace walk distance many attraction . Victoria Station hundred yard hotel convenient Tube . change would make go back would get breakfast part package . pre - pay breakfast enough place nearby grab croisant cup coffee . unless REALLY like eat big english breakfast , would consider check first eating morning stay . highly recommend hotel . 
 Aug 27 2009 	 absolutely fabulous 	 first visit London ( definitely will not last though ) stay Rubens & quot ; ice cake & quot ; . ' m sure people appreciate difficult select hotel city ' ve never visit . look several different hotel , read Trip Advisor , etc . finally settle Rubens ( e - mail back forth hotel staff patiently answer question ) .We thoroughy enjoy every aspect stay . staff fabulous - can not say enough well looked feel . ' ve never experience attentive sincere service food top notch well . we can not wait go back ! 
 Aug 22 2009 	 Nice lack something 	 stay Nottingham suite Rubens three night husband ten yrs old . although agree great location ( near Victoria station favourite London park , St. james ' ) , find hotel & quot ; old world & quot ; style do rather cheaply ( stick plastic print nobility heraldry bedstand bathroom ? ) . favourably impressed bathroom , huge floor heat nice touch asian decor , good toiletry . nice touch include newspaper morning canape evening . good breakfast ( choose continental full English ) although strange smell pork seem reside part breakfast room . concierge quite nice . addition 20GBP per night per guarantee Palace view seem quite exagerated . , feel , although nice hotel , could well value money well stay somewhere else . 
 Aug 21 2009 	 Fabulous Hotel 	 already say other worth repeat husband , son stay Rubens Palace month . two room , clean quite lovely . charm staff moment walk door , great service , quiet room helpful staff worth come back . definitely stay visit London , way can not get well location ! 
 Aug 20 2009 	 deserve high ranking . 	 wife stay four night Rubens aug.11 15th . get good deal ; on - line ; four night price three . yeah , floor little creaky , somewhat date feel slight mildew smell hallway . however , place BEST customer service hotel ' ever stay , include Ritz Carlton Four Seasons . combine clean room , recently renovate bathroom , outstanding location hotel ' beat . if / when go back London ' definitely stay Rubens . 
 Aug 19 2009 	 Great Stay 	 review , find exactly expect ... british charm , good service , good food , helpful staff . stay visit London , love location . 
 Aug 18 2009 	 Outstanding every way especially staff 	 wife stay Rubens first visit London . start , contact hotel email several week visit request early check - in room view Buckingham Palace . arrive noon , front desk clerk say room would ready hour , come back . also get room view Palace . room decorate nicely , abundance amenity . clean quiet . air conditioning work well well appreciate since temperature 70 's stay , full english breakfast real treat . quality variety food outstanding . location ideal - across street Buckingham Palace several block away Victoria Underground Station . good part stay Rubens staff . friendly , courteous helpful hotel staff ever encounter . difficulty contact transfer service pickup airport , call front desk make sure dialing number correctly . staffperson tell number need dial . call back several minute later see successful . still unable contact transfer service , contact arranged pickup time . next day need change time trouble contact service . go front desk desk clerk keep call service get . give front desk phone keep check make sure take care . nothing negative could say hotel experience . stay return London recommend hotel family friend well . 
 Aug 18 2009 	 good great 	 book hotel base availibility family room trip advisor review . many contact hotel prior ttrip . upon arrival , give room quickly ( arrive noon ) - 2 room price one base family package . unfortunately , room rear hotel , overlook construction site , air conditioning unit , garbage dumpster . complain , move low floor position . resolution appropriate recourse , state hotel & quot ; full . & quot ; go foward , bed delightful , bathroom quite adequate ( figure flush ) , service request meet friendly smile . unfortunately , day room service , quite inconsistent . one day towel , one day dirty tea service remove , one day newspaper , etc ... see mean . consistency , hotel would almost perfect ... chec see photo post website associate room type ... bit mislead family pacage page . breakfast expensive quite odd - egg deep fry oil - choose dine one local cafe ... much affordable . Location Victoria Station great .. daily trip ticket unlimited on / off 's great thing . we lovely vacation , wish not bump along way . 
 Aug 16 2009 	 good 4 star hotel excellent location 	 spend 3 night hotel choose due excellent location , value good review . location : 5 minute walk Victoria Station next Buckingham Palace , central good communication rest city airport even half - day trip Canterbury . ROOM : choose single room cost 140 euro / night include breakfast . expensive small , clean , elegant comfy bad price London central location . bathroom big , careful bath bit high fall floor . wall thin enough able listen neighbour tell , fortunately , could rest well night . breakfast : big selection warm cold food , fresh juice , fruit , cake . breakfast room look elegant service kind efficient . INTERNET : free wi - fi . work well cell phone internet provider ask hava Java instal ( fix ) . issue laptop . one pc available first floor , hotel size . overall , elegant hotel reasonable price excellent location . would come back . 
 Aug 16 2009 	 amazing 	 stay Rubens 8th August 2009 excellent previous occasion . hotel exceptional , food excellent staff extremely helpful . rather nice shopping complex short walk rear Hotel & amp ; cafe / bar etc . 
 Aug 14 2009 	 perfect set memorable weekend ! 	 say hotel good hotel ' ve stay in . the staff excellent , food Old Masters exquisite ( pre - theatre dinner breakfast ! ) everyone know mum 's birthday pre - arranged surprise room not quite ready , within 15 minute , together item have ask for . it great hotel , make perfect back - drop proposal fiance , say yes ( room 220 ) . stay room 215 find amazingly plush comfortable perfect place stay night London . the location hotel perfect Billy Elliott Wicked ( would recommend ) .Overall , amazing experience , perfect romantic break , family trip perfect location royally regal experience ! 
 Aug 11 2009 	 Nice amenity - great family 	 family return stay Rubens greatly enjoy . 13th trip London think ' ve finally find good hotel offer comfortable accomodation fair price . book triple room find bedroom bit tight always experience London ( throughout Europe , matter ) . request room view honor although may due limited number triple room available . book package include breakfast every morning one dinner carvery evening choice . breakfast outstanding dinner good , . staff member encounter pleasant . particularly appreciate attentive friendly service provide woman gift shop young woman Hungary Library restaurant . hotel well locate convenient public transportation . would definitely return . 
 Aug 11 2009 	 wonderful ... always ! ! 	 stay July 2009 . recent many visit last five year . first trip London select Rubens hotel ; stay every visit since stay travel London future . confirm positive review ; superlative service consistent throughout experience Rubens . the comfort ease stay ; relax atmosphere sophistication go era experience elsewhere . simple pleasure return theatre late evening sit lounge snack nightcap heading room . Dinner Library pure elegance well . the ruben one thing another , room , service , atmosphere entire collective experience combine satisfy please . anticipation excitement canopy facade come view . simply like . 
 Aug 10 2009 	 sure wrong 	 stay 4th August ' til 9th . well , hotel nice , restaurant ok , although breakfast include price really not understand offer continental enghlish breakfast . thing bother cleaniness room bathroom . although look clean , sensation give one , well , let us say , unclean . the location good , staff marvellous , not think stay . 
 Aug 7 2009 	 ok - ok 	 stay husband , daughter mother one night . daughter mother room nice - twin bed recently refurbish . room king size quite spacious London standard . hotel overall seem bit tired . can not put finger , none atmosphere sister hotel , none personal touch either ( request turndown phone housekeeping , breakfast Holiday Inn style buffet ) .In morning 0745 mother telephone front desk request keep noise ! consider bed time daughter shower , seem strange tell room complain noise ? thing could think shower make incredible bang noise might ? seem shame red carnation brand blame guest make noise dodgy plumbing creaky floorboard ( that s bugbear - do not stay - every floorboard hotel creak ) must admit , put slightly disappointing edge onto stay . return back hotel subsenquently cancel return home . overall , ok hotel , expect high standard personal service expect red carnation brand , would recommend hotel . 
 Aug 5 2009 	 excellent staff comfortable surrounding 	 stay sister property last year , Hotel 41 elect stay Rubens visit . please quiet Queen 's Suite incentive one free night stay three night . hotel simply comforable staff friendly , efficient effective meeting need . owner 's new lounge , Leopard Bar efficently manage say Mahri truley special place enjoy glass champagne , wiskey special chill vodka . 
 Aug 4 2009 	 wonderful Afternoon Tea ! ! ! 	 visit hotel afternoon tea absolutely wonderful - staff extremely pleasent lovely atmosphere . highly recommend . 
 Aug 3 2009 	 great service location 	 stay one night read reviews Trip advisor . arrive early wait well appoint bar room ready . reception excellent upgrade we large room bathroom TV inside . the staff friendly helpful . location excellent short walk Victoria . the decor little date clean welcoming . 
 Aug 3 2009 	 great service price 	 negative room size problem everywhere London not count . location great price value . good part staff , especially doorman , Nathan . fiance go one morning 7:30 pick rental car place street suppose open 8:00am . 9:45 back get worried . go stair ask concierge give walking direction call Hertz phone rang . Nathan call tell remember see fiancee leave concerned . take initiative remember leave time purpose order keep track well - be customer astonishing . man take job seriously well ! pretty upset point Nathan call Hertz try get info . answer ' m start think fiance hospital . Nathan calm hypothesize Hertz open late , ' ve know past . turn fiance small accident , fine . regardless , Nathan keep calm everything power get answer . also , go rental valet 20 euro , Nathan give we free parking tip . 
 Aug 3 2009 	 excellent - one good experience London ever ! 	 good location , warm welcome , efficient pleasant concierge reception staff - good start ! give recently refurbish comfortable room necessary amenity , large many ' ve London . excellent food restaurant serve professional friendly staff - delighted find genuine English & quot ; carvery & quot ; , relatively hard find London day ! convenient location within short walking distance Victoria station , couple minute Buckingham Palace . excellent place stay would thoroughly recommend . bergquist , Sweden 
 Aug 3 2009 	 excellent place stay . 	 stay hotel mum weekend . hotel lovely staff helpful . food service excellent . would recommend hotel stay . 
 Jul 30 2009 	 great hotel London - superb location service room . stay ! ! 	 wife pleasure stay hotel July 2009 . choose hotel base tripadvisor review ( always ! ! ) . glad . hotel amazing . locate right next Buckingham Palace Victoria Station - walk distance major tourist attraction London . room clean , non smoke large enough we . staff go way helpful time early check recomende place eat . nothing much trouble . front desk , breakfast service staff concierge superb . great great customer service ! ! ! breakfast provide great - large variety choose staff attentive . the day leave , Dave concierge helpful arrange transport airport - great ! ! ruben exactly hotel ! ! ! ! ! ! ! stay hotel make stay London much well memorable . everytime come London stay Rubens recommend friend - really good ! ! 
 Jul 30 2009 	 Great Hotel Wonderful Location 	 stay lady friend Valentines Day 2009 . book Valentines package , one hotel allow book one night rather two , big factor us booking . receive free upgrade Henry VII suite , spacious comfortable . package good value meal include next door lot little extra . service excellent , everyone make feel welcome . complaint , would recommend romantic weekend . come London tourist would good place stay well connected transport near Buckingham palace many attraction . 
 Jul 29 2009 	 Dream hotel dream trip 	 hotel impeccably clean stylish , bed unbelievably comfortable . crisp white sheet , pillow duvet make bed feel like cloud walk around city 12 hour . not think moved night . room well appoint small side typical area . concierge make we feel like visitor hotel ; tremendously helpful courteous . restaurant hotel unbelievable . first class treatment include warm cheerful greeting follow white glove service . food also first class , amazing . full english breakfast daily treat substantial enough carry we dinner . suggestion take advantage wonderful restaurant service available right fingertip . would definitely stay . trip celebrate 40th anniversary 60th birthday occur year . Rubens Palace help make dream trip dream come true . 
 Jul 28 2009 	 Super Hotel Price London 	 stay 2 night , service room wonderful . room odd shape , bit english size ( small ) well decorate . front desk concierge go way assist we every request . good place splurge , end trip relaxation spot . 
 Jul 28 2009 	 excellent choice hotel 	 husband ( gay couple ) return 6 day great hotel . location convenient , less five minute walk either Victoria Station Buckingham Palace . arrive around 12:00 pm get room without difficulty . staff consistently attentive , friendly helpful . room extremely comfortable though pay bit big room , would recommend . spectacular breakfast spread include . think hotel elegant . even central location , quiet , trouble sleep . feel comfortable also gay couple . hint homophobia staff person . would recommend without hesitation , would definitely return . 
 Jul 22 2009 	 superb stay 	 Great Hotel , Great Location , wonderful attentive staff throughout hotel . 
 Jul 21 2009 	 good location pleasant staff 	 location good major attraction walkable . breakfast great lot choice . room well equip airconditionng efficient 
 Jul 21 2009 	 Excellent Position 	 recommend hotel anyone . ideally position opposite Mews Buckingham Palace spend pleasant morning drinking coffee read newspaper watch coming going Mews . staff especially bar restaurant friendly . excellent offer lunch . bedroom fairly small bit old fashioned London hotel lovely clean . would doubtful next visit London would stay hotel Rubens . 
