Nov 	 love 	 love ! great ! @ room large ball ! 
 Jun 29 2009 	 Definite Recommend Families Children 	 husband book Embassy Suites long vacation weekend 20 month old son . first trip son , concerned would sleep new environment . hotel accommodate , especially regard need crib . originally give we Pak & amp ; play , send housekeeping immediately ' real ' crib call front desk . last night Saturday old kid dance team yell play Atrium late 10:45 pm , keep baby awake . husband call front desk twice complain , ultimately manager duty resolve problem give we night free . despite noise issue night , impressed hotel handle customer service issue , general ' can ' attitude everyone front desk staff valet maid doorman . the hotel brim family child , free breakfast buffet particular family mob scene . understandable , suite arrangement perfect location downtown make ideal place stay child . town without kids business , however , would run scream direction . word , be great place stay kid , not kid , way many kid ! location perfect . couple block Michigan , near Grand train stop , walk distance Navy Pier , short drive Lincoln Park . parking privilege make travel around town breeze . big plus LOCATION , customer service , friendly doorman , great maid service , fun atrium atmosphere , breakfast . oh , workout room great . big , right relative guest seem use cardio equipment good ' ve use long time , visit lot gym . big minus : chaotic lobby , always pack swimming pool , crazy loud kid ( mine , course ) . 
 Jun 23 2009 	 Excellent Embassy Suites Perfect Location 	 think Embassy Suites top ten Chicago Hotels . perfect location usually within 3 - 5 block excellent restaurant shopping . we love employee Michael Phillip excellent many question . the breakfast typical Embassy Suites do well efficiently . the manager 's reception well hot item day . the room luxurious mean , clean well appoint . we stay 6 night happy entire time . 
 Jun 16 2009 	 great time Chicago ! 	 stay several night Chicago take sight attend MN Twins / Cubs game Wrigley field . location hotel awesome . walk nearly everywhere couple block Red Line / CTA get Wrigley snap . room clean staff super helpful . breakfast perfect husband nothing crazy . compliant Chicago noisy city try sleep - siren go night bring earplug light sleeper . price high end expect location Embassy Suites . bring kid would consider stay close Navy Pier perfect couple . appetizer pizza restaurant good . pool reach 4 foot would make nice family small child - hot tub / fitness area tiny . super happy stay . 
 May 14 2009 	 great Breakfast wonderful staff ! 	 staff Embassy Suites amazing especially breakfast staff ! girl clear table friendly helpful . omelet die top young manager even help clear table girl still time fill coffee everyone seem genuine make round . simply wonderful wonderful wonderful ! 
 Apr 30 2009 	 ` ` elite '' hotel claim 	 stay room 538 , handicap room . ' m 5'10 . shower short , slide pole shower head attach broken . meet 7 am Wednesday morning . hairdryer start smoke 5 minute use , put behind . front desk kindly send maintenence give another one . however , come back room night clean , find old smokey one still attach wall new one sit sink ! ? ? ? be talk regualr handheld hair dryer . dryer large base suppose attach wall . to top , go make coffee preparation morning discover housekeeping not bother refill coffee creamer / sugar . 's close midnight instead go sleep like want half hour ago , ' m sit wait housekeeping refill coffee service . would not suggest hotel business traveler . need well oversight .. 
 Apr 15 2009 	 Enjoy stay caution 	 stay lot Hilton property Chicago -- good value th $ $ hotel well review . Hilton own quite property Chicago normally stay either Homewood Suites Hilton Garden , Embassy Suites well price extra bedroom . check breeze . frontline staff personal helpful , even valet parking assistant great . room ready appear clean surface . be well far . front door shop ! hotel area perfectly locate . return well evening great meal believe California Pizza Kitchen road ( PF Changs also around corner ) . take stock plan decide extend stay day . , front staff handle request precision smile . go bed sleep well . breakfast time ! ! ! 5star not expect , can not Embassy Suites something different breakfast bar ? not offer get right . bad food long time ! place pack little one carry doll ( cute ) bit noisy 's okay . fun watch . omlet good . buffet cold eggs bacon refuse let elderly mother eat cold egg fear bacteria . Coffee cup hold maybe half cup . cereal stale . thank goodness mini muffin & amp ; fruit edible . let us go back room minute . say clean , suggest Hilton time change furniture . armchair couch 622 badly worn . not cost business , recover replace worn furniture ? bad . ugly . day one use main restroom outside pool . filthy ! toilet dirty . floor mop couple day seem . get back room . day two , certainly staff time catch busy Easter weekend full messy child . watch clean staff come bathroom hope . luck . bad . sure anything do ! Embassy Suite cry loud , Motel sick ! register comment afraid speak good bad . come managment . not worry much front fountain look cleaning team . go eat breakfast kitchen . will bet make quick change . sure back say 's good value $ $ $ . wish someone way way Embassy Suites would take note change food . business either right , not , change way be do right . 
 Apr 14 2009 	 great hotel perfect service amenity ! 	 5 8 year old ; quick spring break . delightful hotel ! awesome breakfast every morning cocktail snack every evening atrium include price room ! room clean large ; staff wonderful ; great location downtown Chicago ! fantastic restaurant ! great place business family ! thank everyone Embassy Suites ! 
 Apr 14 2009 	 positive review right place great ! 	 great location within walk distance area attraction . clean , spacious room , comfy bed , good service ! nice woman make fresh coffee even though almost ready close breakfast , friendly bar staff reception hour , great service concierge desk ( Phillip try hard get Oprah ticket - unsuccessful make good promise find fun thing we ) much . kid love greeting time return hotel- & quot ; be glad be back & quot ; . feel like little celebrity . return hotel time be town . 
 Apr 8 2009 	 pleased ! ! 	 Chicago day Spring Break getaway - read positive review excited see hotel . everything describe - clean , friendly staff , excellent service . notoriously picky hotel ( poor husband dread take town ! ! ) hotel meet high expectation . return Chicago , stay ! thank ! 
 Apr 7 2009 	 Great Miracle Mile Location / Great Restaurant 	 whenever ' m Chicago , try stay location . staff friendly . breakfast always fresh hot . location convenient good shopping restaurant . travel alone female , always feel safe walk area night . room typical Embassy Suites - 2 room , nice bed bathroom plenty light . favorite thing stay restaurant attach hotel - Osterio via Stratta . awesome food , great service bar - Micki great bartender / server always remember ! hotel package American Girl store also . even get upscale boutique hotel , trust can not go wrong option . 
 Mar 28 2009 	 beautiful hotel inside 	 stay sister niece Gospel Music Channel 's & quot ; Gospel Dream & quot ; audition . actually try . blast . hotel beautiful . like walk garden , yet inside . fountain light tree walk way bridge build inside hotel ... beautiful ! room nice ! happy little live dining room area bed comfy ! love view downtown Chicago ! breakfast amazing hotel ! cook omelet whatever want ! overall , great place ! staff friendly everything place wonderful ! 
 Feb 23 2009 	 OPRAH fan - place stay ! ! ! ! 	 , like , huge OPRAH fan , hotel ! ! ! excellent service hotel even check ! ! ! review hotel site see many wonderful comment , girlfriend book room . contact Concierge advance arrival possibly get ticket Oprah since unable get advance trip . concierge actually return call say guarantee , would surely try get we ticket arrive . blow away - ' ve leave message concierge hotel / city never receive call back ! ! ! girlfriend arrive hotel taxi greet Mike , Bellman . lot bag tired site sore eye ! friendly guy ! check easily ( prepay room , get wonderful price look steal deal ! ) receive exactly request - upper floor away elevator . hotel 11 floor put 10th floor ! hotel ATRIUM style fountain lobby sound carry . open - air feeling . lot greenery make really beautiful ! elevator fast 4 ! ! ! ! ( ' ve hotel size 2 slow elevator real bonus ! ) Embassy Rooms large roomy compare hotel ! flat - screen tv living room totally impressed . also large tv bedroom well . bed comfy ! room immaculate refrigerator microwave room nice convenient . I go Concierge desk talk Richard , professional kind . ask Oprah ticket explain process . leave note morning Concierge call show request ticket behalf . promise make great effort acknowledge . free breakfast amazing ! hot , make order omelet , pancake , hash brown , cold cereal , bagel / toast / muffin , fresh fruit , juice , coffee - 's . cold item cold well hot item hot ! staff clear table quickly - leave little tip table cause helpful efficient . return hotel afternoon , Philip , another Concierge , leave message say request ticket Oprah would let we know hear . Philip get note Richard actually FOLLOWED ! another WOW ! return shopping , Richard back Concierge desk stop find hear Oprah staff yet say . take elevator time get room Richard call say Oprah staff call soon walk away desk ! put Standby next day ' early morning taping . elated ! one hour tell upgrade CONFIRMED ! Richard even re - confirmed time suppose - call we back specific instruction arrive , need leave hotel , necessary guideline need follow . this totally dream come true - able see tape Oprah Show ! give Richard BIG tip help ! also tip Philip help ! remain part stay , Richard also helpful guide we meal . Philip give we info late nite Catechism , play Royal George Theater . hilarious show ! catch - $ 30 door . front desk staff also cordial . hotel rate five STAR service ! convenient Magnificent Mile . great grocery store across street , course , Starbucks corner . dine restaurant take advantage evening reception look popular guest . overall hotel rate 5 star 5 survey card ! ! ! Primo indeed ! also find awesome management team acknowledge reviews website thank . spectacular ! 
 Feb 16 2009 	 Chicago 's good 	 time step curb front Embassy Suites State street treat like Royalty . doorman open taxi door carry bag inside desk . funny carry politeness normally see city size Chicago . staff polite helpful . room immaculate ! ! ! free happy hour every night exceleent weel daily free breakfast . concierge informative helpful . make recommendation dinner first night give we pass good night spot . second night help we reservation nice restaurant . great time experince awesome hotel . 
 Feb 15 2009 	 Great Option Downtown Chicago 	 hotel good option family visit downtown Chicago . stay Chicago business pleasure , favorite place stay both . the staff great , front desk housekeeper , wonderful . room clean , standard Embassy room . breakfast great , ' ve never wait extraordinary amount time . the good hotel 's location . block Red Line CTA train three four block Michigan Avenue . Rainforest Cafe block away one stop Double Decker trolley . nominal fee , take tour entire downtown , include museum campus , Millenium Park , Sears Tower , Navy Pier , etc . stay will not disappoint . 
 Feb 15 2009 	 hotel fine restaurant put top ! ! ! 	 hotel fine - nice , typical Embassy Suites . italian restaurant killer good , eat three night . ' ve put ' must stay ' list Chicago , particularly travel alone , not want walk alone night dinner . restaurant compromise , promise . 
 Feb 11 2009 	 Loved Embassy Suites -downtown 	 family stay 2 night Dec. book hotel read review lot research . since want celebrate Anniversary Chicago , look elegant hotel hotel live upto expectation . great hotel family . room big clean . good family 4 - 5.i like complementary breakfast manager reception . would serve item think break fast . name dish B / FIt wintertime . could walk Magnificent Mile near restaurant . we would definitely stay next time 
 Feb 2 2009 	 Love Downtown Embassy 	 stay New Year 's Eve Embassy well 2 - 3 time last two year . honestly say hotel family always request . reason : - location great ( hotel area know ) - Bathroon bedroom Livng room sofabe ( may seem insignificant important parent compare Homewood hotel suit bathroom bedroom area ) - never encounter one rude service staff member ( whatever position always pleasant ) -The breakfast make order wish INCLUDED price ( omelette brakfast item not rocket science family four service alone add $ 40 - 50 breakfast city ) .I must say really surprised hotel rank # 50 . stay half top 20 & quot ; popular & quot ; hotel Chicago although Sofitel , Park Hyatt , etc . nice ( good couple imo ) , $ 2 - 300.00 price difference not justify expense . think hotel least top 15 value , convienience , cleanliness , service . 
 Jan 27 2009 	 great location 	 accompany spouse business trip . location terrific close attraction restaurant / entertainment . room spacious . breakfast include standard fare . short wine / cheese offering include around 5 pm . 
 Dec 31 2008 	 love 	 second time stay Embassy Suites , first time three month ago . positive : LOCATION ! ! ! large , clean roomscomfortable bedscomplimentary breakfast ( lot choice ) grocery store across streetone block subway lineAttractive atriumconnecte wonderful bar / restaurantnegative : hallway / atrium pretty noisy . kid run around , yell , generally act like OUTSIDE instead inside . noise greatly amplify atruim design . fortunately , bedroom back suite hallway noise problem front ' living room ' part . , enjoy stay Embassy Suites much ! 
 Dec 22 2008 	 Girl 's Getaway 	 first time stay hotel Chicago . stay many hotel Chicago favorite . the location great ! book hotel look close theater district magnificent mile . location disappoint ! close highway make easy arrive leave . past would stay Michigan Avenue get try get road traffic add extra 30 minute commute . when arrive doorman make we feel welcome . tell we immediately & quot ; Welcome Home , ' ve expect ! & quot ; happy hour good . fajita pretzel mix . save we money purchase dinner . morning breakfast buffet wonderful . everything make order omlette pastry bacon fruit . satisfy . the room spacious . bed comfortable however not care pillow . nice 3 different sink room , make get ready morning much easy woman room ! look hotel stay Chicago ! 
 Dec 15 2008 	 absolutely wonderful 	 often stay Hilton chain hotel Chicago never stay one thought would give try . can honestly say one good hotel ever stay anywhere . from moment check - in check 4 day later one problem . staff friendly helpful , conciege desk brilliant , room spacious clean well daily wifi actually work ! manager reception quite busy go one day , breakfast ( cook order omlette - pick time carefully go ) superb . the location perfect shopping , one block Mag Mile . will definitely stay . 
 Dec 14 2008 	 Magnificent 	 magnificent hotel structure , location service . the door man time stay ( Michael ) great assistant / tour advisor / watchful eye friend would get seperate wander shopping frenzy . the happy hour great fun , front desk brilliant however clean / room service staff desperately lack English completely make request ( laundrette whether could come back later service room ) difficult . Hard Rock cafe far around corner highly recommend ! mini convenience store inside hotel rip - avoid possible . 
 Nov 22 2008 	 great family hotel 	 return trip chicago staying embassy suit 600 north state street . moment arrival treat magnificently . door man friendly helpful . travel 4 small child room ideal we . spacious comfortable bed . breakfast great . omlette mouthwatering . would recommend hotel anyone . especially good family small child 
 Nov 18 2008 	 good location little noisy 	 hotel locate close Michigan Ave many downtown attraction . hop free trolley close hotel get destination free . breakfast excellent though good get 8:30 - 9am . line long . complaint overall noise place . wall seem insulation hear room around . also since go family , sleep sleeper sofa . hear outside waterfall people walk hallway night . tempt give three star guess can not control room neighbor . 
 Oct 23 2008 	 Front Desk need Training 	 overall terrible place stay . great location . friendly Doorman . however , hotel desperate need Customer Service training . Front Desk staff turn apathy rather train deal customer 's need . breakfast delicous hot . unfortunately silverware plate need attention . normally would stay 2 - 3 time per year . ' m sure anymore . 
 Oct 21 2008 	 would not recommend Extended Stay 	 stay two week business training . hotel convienent location near Magnificent Mile bus / train stop . hotel nice looking . bed comfortable . manager 's reception ( happy hour ) alcoholic drink snack good remember . hot breakfast everyday great , not fool cooked order . mean omlet nothing else cook order . concierge helpful get reservation give direction , one guest prepare wait person front handle . complaint : price internet daily 10 dollar could use business center three computer always busy . wall paper thin room hear right outside door talk normal voice . almost able hear full conversation vent guest near . hear guest next door water running pipe loud . noise atrium filter room also . one washer two dryer guest may wash laundry . inconvienent able get change laundry detergent front desk , willing give change let buy single laundry detergent . would not recommend use laundry service price per item ( ie . underwear cost 6 dollar piece wash ) . would recommend dry cleaning hotel dry cleaner four block south hotel right . hotel travel agency use not get everything straight corporate credit card suppose file check 12th day time already charge personal credit card first week day . hotel fix within next day , temporarily maxe card day wait refund . , okay time minor bump . not recommend extended stay , make sure hotel everything correct reservation get . 
 Oct 5 2008 	 Location Service Comfort 	 stay Embassy Suites Downtown Chicago 5 night , happy property . include breakfast/ 6:30 - 9:30am excellent ( eat 8 am good , get busy later ) . many great restaurant ( Grand Luxe Cafe one favorite ) store closeby , feel safe walk even dark . feel safe hotel woman travel alone . internet access hotel fast , however free ! $ 9.95 per day . even use hour evening , midnight get 2nd next day 's useage . the 2 room suite well appoint large comfortable bed , microwave , safe , coffee maker , sofa table chair . 2 tv 's one flat screen living area . desk , table computer work area , chair table hard uncomfortable . living room area furniture hard rock kind wear suite occupy . beleive sofa living room fold bed . other plus , pool work area look beautiful clean , Manager 's reception 5 pm offer free drink , snack . look crowded , one evening stop 6 pm , snack leave . it attractive great front desk staff . 
 Oct 1 2008 	 stuck smoking room hotel 	 get stick smoking room . tell upon checkin hotel fully book , everyone yet check . ask non - smoking room tell & quot ; sell smoking room Priceline . & quot ; know Priceline customer one second - class immediately , hope bid hotel get non - smoking room . terrible experience . bidder beware get stuck room reek smoke ! ! ! 
 Sep 2 2008 	 great base tour family 	 stay one night Labor Day weekend conjunction w/ special event Chicago ( two DB two room suite ) . hotel knock sock luxury , clean pretty good condition . bed room vanity sink w/ door close live area w/ pull - out sofa . lobby common area quite nice . room pretty average type property . good mattress linen , pretty good towel , fixture , etc . small fridge microwave nice family . two grocery store within block hotel . easy stock up . hotel also free trolley line ( summer ) , short walk cta red line , mag mile shopping ( cta bus service museum , etc . ) . great location lot bustle base city visit . I miss evening reception family enjoy . breakfast morning great . hotel provide guidance get busy ; avoid rush pleasant meal . pool area bit tired , seem use available chlorine . Gym appear newly refinish , pretty good equipment . 
 Aug 30 2008 	 great stay 	 stay one night room lay nice walk front room small hallway bathroom bedroom pool nice clean hot tub breakfast good love omlet station 
 Aug 29 2008 	 great ! 	 get great package deal website . clean room safe location . staff pleasant . breakfast good ... plenty choose , bit chaotic . 
 Aug 16 2008 	 Great Hotel 	 SummaryPROS- location , breakfast , friendly staffcons- busy , small pool , long line breakfast manager 's receptionWe stay week 4th July enjoy Chicago firework celebration . hotel convient local bus system within walk distance various attraction food establishment . grocery store across street Starbucks . hotel great breakfast ok manager 's reception . hotel 's pool bit small number kid stay week fitness center crowd . however , fitness center new Precor equipment . leave portrait dinner cruise room check . clean staff security personnel mail photo back we courteous customer orient . would stay . 
