Hidden 	 3rd visit Hooters . the staff freindly helpful , bed pillow comfortable . cable television complimentary bottle water room . Dan Marinos 9.95 prime rib 24 hrs Hooters hot wing great . price right . 
 cheap weekend getaway 	 get great deal slot club Sat Sun . make nice quick cheap getaway wife . 
 great view Excellent Housekeeping 	 wife really like prime rib special . enjoy breakfast buffet fresh fruit biscuit . the housekeeping service good thoughtful , bring daughter extra sheet w/o ask second night . hooter restaurant waitress friendly helpful . although menu different : price sauce choice minimum . food good beer too . Dixie bar great look lady picture , couple bartender guy . maybe seasonal ? casino girl nice nice looking . machine need update like MGM across street . the room AC old HARD maintain consistant temperature makeing sleep difficult time . loud either hot cold between . although , win $ $ $ , likely return price good . 
 Good Value good location 	 room could use attention peel paint slightly damage drain bathroom . hallway rather dingy feel welcome . casino good . sure , upscale many casino service excellent staff helpful welcoming . gem hotel / casino gym , though could not figure turn light . 
 get pay 	 suckere internet special . casino small relatively clean , room however dirty date . reccomend . 
 great place stay price .... one complaint ! 	 family always stay hooter ! always accomodate every need ! day n age , economics way u can not beat price room hooter ! ! 
 stay anywhere . 	 young man check not helpful , never mention kids area list survey card . hallway the10th floor offensive odor , room carpet tire adequate - certainly nothing write home . elevator ( garage & amp ; room ) frightful - always work . slot machine dirty . security , housekeeping , maintenance helpful pleasant . heat pool . bed comfortable . 
 bad price 	 expect total dump base price pay , pleasantly surpirse . small casino lot penny nickle slot . restraunt , club , show site . food pretty good , drink ( not buy drink , expensive consider sit machine get free . gym pretty good equipment small hotel . pool area cozy fire pit different seat area visit . room typical Howard Johnson equivalent . bed comfortable room clean . however , food tray sit outside someone door eleveator 2 day anoye . walk distance many big hotel nice . would stay not want spend money big hotel . 
 Perfect 	 good location stay south strip . one Vegas small hotel , prefer . it doesn´t take long time get access room . 
 Great Hotel Mates 	 stay five night trip mate UK . overall small friendly hotel mean not take 30 minute get back room forget camera . yes plush hotel , yes fascilitie date need hotel place crash mate place . the staff really friendly helpful , party go day , pool bar excellent , last least hooter bar top class . other review say strip , 100 yard strip ! locate next MGM real good spot get Vegas . would go back , hell yeah , would go Wife , Hell , butu say friend stay next year . 
 Oct 27 2009 	 great price 	 frequent traveler Las Vegas . Golden Nugget favorite place stay , however , stay many hotel strip 50 + time Vegas . hooter decent price . pay $ 20 sunday night include buy one get one free breakfast buffet dan marinos , 2 complimentary ticket Todd Paul $ 100 promo slot play . casino small , however , Tropicana , MGM , Monte Carlo , New York New York casino close . room clean , however , entire hotel - elevator , carpet , room , bathroom desperate need updating . pool hot tub nice . budget great option vegas . 
 Oct 23 2009 	 never 	 never stay , bad service ever . would rather stay Motel 6 recieve well service . give smoking room even though tell due asmatic need non smoking room . not even make effort accomodate . view see trash . maid come make bed look like throw bedspread pillow . Dan Marino restaurant extremely slow service even though not crowd . completely dissapointe . write letter hotel manager yet recieve response . 
 Oct 20 2009 	 well expect review read 	 friend mine go Vegas head well last possible moment . look room cheap decide give hooter try glad . room pretty much like motel 6 room hooter trim . room fine clean house keep great job . room service great well restaurant excellent thrift price compare block away strip . person like luxury room much next guy wife stay Bellagio Sep suite $ 450 nite luxury room average $ 22 well worth price . $ 9.95 prime rib great well steak egg $ 11.95 
 Oct 15 2009 	 Hooters well think would ! 	 read negative review hotel / casino little unsure , ... price right & amp ; near & quot ; strip & quot ; .First , room clean , fair sized & amp ; comfy ! also great view strip window ! pool awesome open 24/7 ! big day / night LV , nice swim hot tub hour ! nothing fancy . nice & amp ; clean pool ( 2 ) & amp ; 2 hot tub . on site restaurant fine ( nothing special ) .The casino nice small & amp ; clean . it right across MGM walk across street huge casino , night life , studio 54 ( fun night club ! ! ) & amp ; tram ! tram take & quot ; strip & quot ; Tropicana right next door & amp ; Excalibur across . near many fun thing not car . stay price dirt cheap . $ 35 night ! see price go WAY ! bad ! fancy ! sexy either . the people work real nice & amp ; professional well . security guard awesome . mostly talk & amp ; never really seem care happen around . ask question & amp ; seem annoyed interrupted ! oh well ... 
 Oct 14 2009 	 would stay 	 luxury comfortable economy . hotel old well wear clean . not expect excellent room service . hair dryer broke take 1 + hrs get new one deliver ( leave hour ' m sure long take ) . hotel atmosphere fun lay back . nice music play . room clean bed surprisingly comfortable . walk distance several hotel . time recommend visit VooDoo Lounge ( top Rio ) evening . get beautiful view city great music . get early , might even get free entrance pass . 
 Oct 14 2009 	 bed BUGS ! ! ! 	 stay Hooters hotel LV , NV oct,9,2009 , oct 12,2009 . start get itchy bump , not know find one bedbug . disgusting ! check tell manager front desk , offer 20 $ . bite get bad , like allergic reaction . also , scared might bring back . the work experience life ! already call hotel leave message main manager , hope compensate stay ! 
 Oct 13 2009 	 Great Hotel price location great minor . 	 stay hooter las vegas Oct 10 thru 12th . go Vegas wedding decide hotel fairly cheap close strip . pretty small hotel big thought would staff nice gambling walk casino seem rude rude son . 13 year old , walk garage wait rest party catch , stand right front elevator wait , rude person come ( work hooter ) rudley ask 21 ? ? ? looked say point ! tell well gaming area allow , say ok well stay go car elevator ( mind game ) like well need wait garage ! look like umm yeah do not think thank suggestion LOL ! point rest party arrive leave . gift shop suck item , area empty 1 2 shirt . OMG restaurant ewwww ! ! never eat hooter decide dinner first night try wing . minor wait long one area sit minor . ( really mean girl do not bend hooter place LOL ! ) wait seat , right kitchen area traffic everyone go back forth get food . girl ... little surprised thought would pretty nice body case . sooo dissapointe wing oozze grease flavor whatsoever suppose hot wing . would never go back restaurant .. 
 Oct 8 2009 	 cheap price friendly staff would prefer stay elsewhere buck 	 score room $ 25 include breakfast . staff come across friendly . room decent size really need update . would typically say amazing bang buck Vegas perspective , can not say thing . price maybe $ 10 , could ve stay many option include Excalibur , stay much nice great location . also Sams Town cheap well avoid due nonconvenient location plan trip . overall , terrible , personally would try something else next round . 
 oct 8 2009 	 nice thought- definitely worth $ 24 ! 	 Hotel okay . expect little nice since say open 2006 , think redo old hotel . dealer really nice teach play crap . lot fun table . dealer standard & quot ; Hooters & quot ; type worker though- different expect . pay $ 24 per night great deal regard would stay inexpensive . not mind stay tiny bit strip will work ! ! ! 
 Oct 8 2009 	 budget hotel 	 good hotel money . however would spend little get lot . people really nice . food Dan Marino 's horrible . prime rib fat meat.hooter food normal course pay that . no coffee maker room coffee hotel . room average severely lack outlet . room call beach side think go see least view pool ... nope view parking lot . the pool nice staff include security pool awesome ! hotel quiet room area really nicesign free chip get coupon see comedian 7.95 . laugh begin end ! ! hilarious 
 Oct 5 2009 	 great time 	 great time . check good staff great informative . room cozy price ( good deal ) go see tod paul good . casino small nice . pool nice cold . stay twice love stay . food great marino ( steak garlic sauce excellent ) plus hooter food great . check easy . need later check get problem ( thank ) 
 Oct 1 2009 	 Perfect need 	 stay 2 night quick cheap trip Aug 2008 . get dirt cheap bungalo room suit need fine . pool area nice place relax night , staff friendly importantly like $ 30 / night . want something work well quick trip be plane spend much time room hotel perfect . be stay one day December nastalgia move Bellagio remain 4 night . can not wait . 
 Sep 28 2009 	 Hooters Wings ! ! 	 LOOOVE hooter wing hotel ... waaat kind place anyways ? ! not room change sleep wow run . moldy shower , Dirty Carpet , dumb front desk staff , top packing leave discover ant bed find way suitcase . one reason would Room Service not clean food hallway .... gross ! 
 Sep 26 2009 	 HOOTING TOOTING HOTEL 	 stay hotel 9/9/09 hotel nice . side towel provdide around pool small say least ( good take ) room ok would lot well fresh paint wall new carpet , wardbrobe door do not work either . breakfast buffee ok find another hotel lot well ( next one ) location ideal do not take long strip 5minute walk . budget hotel get vote next trip . 
 Sep 21 2009 	 great location hoot ! 	 although strip hotel great location . check fast easy , room standard clean . window look Tropicana strip , great view NYNY MGM night . safe faulty , think prveious guest leave lock call security minute fix . weather quite cool ( even we Scots ) not spend much time pool . spend wee jacuizi next pool however . pool area clean towel available . casino small compare other get quite busy weekend fill guy . eat times Dan marino good breakfast . bed comfy hotel noise pretty minimal . hooter walk distance lot major hotel / casino taxi bus journey keep minimum . return time soon hooter still stnade definately consider . 
 Sep 21 2009 	 great value money 	 read negative review hotel arrive think fair say find hotel . great location , clean room exactly want pay stay . next year thinking go 4 week hooters.very satisfied . 
 Sep 17 2009 	 great stay 	 shocked read bad review Hooter Las Vegas . great stay enjoy three night . queue check Pokie Machines casino resonably quick nothing like queue hotel look in . great room decor , clean tidy . close Strip gas station , convenience store Coco 's Resturant . also use Hooters Resturants bring souvenir Hooters shop . room look pool , not use plenty people drink , nice . we use casino enjoy free first drink use machine ( serious gambler - say ' be do ' Vegas ! ) .I would say hotel suitable young people party mode , although say 40 be still enjoy . 
 Sep 16 2009 	 great young crowd ! ! 	 stay one night love amosphere . high pay casino strip great kick back relax . great people 20 30 . pool cool , several seperate pool hot tub , one waterfall . do not go hot tub , do not look clean pool . stay thr bungalow room pool , nice view , basic frill room , bed comfy , room clean , little outdated , purpose great $ 40 night ! ! 
 Sep 11 2009 	 HOOTERIFIC ! 	 come friend softball tournament , blast pool party special around casino ! thank great time ! 
 Sep 8 2009 	 would not stay 	 worse nite stay Vegas , carpet filthy valet terible suggest something . lol front desk slow grandma fast . key card not work wife wait 1/2 hour get back . thing like waitres Marino room wing . thank bad evening Hooters Jim 
 Sep 6 2009 	 stay away hotel 	 bad experience Ever Vegas . visit second time Vegas stay Hooters 3 night . upset everything hotel.1 . book hotel hotel.com . check give we different room select pay advance . 1 person front desk long queue . we wait almost hour . 2 . 2 person Valet parking long queue car . 3 . next morning face terrible problem water blockage bath tub . call 5 - 6 time front desk , Maintenance , Operator etc . staff rude helping . wait 1.5 hr engineer . miss show . 4 . day come back end day find key work . 16th floor back forth front desk 3 - 4 time get key fix . nobody cared.waste 1 hour hall . 5 . problem toilet . water running could not use long time . previous day maintenance service.6 . expect kind apology / compensation time check trouble face completely ignore . stay away place . would find well place strip close . 
 Sep 5 2009 	 never stay ! ! ! ! ! 	 room major issue . bath tub do not drain water back ankle bathroon sink plumbing problem . tell front desk room soon start night . next morning , remodeling start next door .. ask change room , supervisor ( ) tell would hour could change . hour go , ask front desk , keep say sure room would available , one hole punch . several hour went , ask front desk , say still ready yet . , tell supervisor say would hour , yea right ! go back speak supervisor WOW come room , finally wait day . know get pay , OMG bad . public relation . website false leading . least one thing room service friendly . 
 Sep 2 2009 	 Hooters ! ....... ok 	 -As far room go , room actually quite nice . bed comfy , nice atmosphere room well . -the casino average not nearly big glamorous other strip work well want play couple video machine reasonably price table game . -The pool fair , look nice pool lot place go great value ie . ( Tropicana right next door fabulous pool money ) location - it little strip . look lot time strip would wise get hotel right strip . ( flamingo , harrah be around price . Restaurants- Hooters restaurant good course . Dan Marino 's fair . -overall run mill hotel vegas . well not bad especially price on / near strip . 
 Sep 1 2009 	 really pay ? ? 	 return long weekend Vegas share . place dump . snotty front desk , bad food , filthy dirty carpet hall , nasty window . $ 30 price tag expect date maybe nasty gross . we go Dan Marino Sunday brunch - omg ! seat fine .. table dirty , busser take drink order 10 minute , another 10 someone else bring . get silverware another table , along condiment , waitress polite horrible waitress . entire 1 hour , ask pay one buffet take one plate leave . comp meal would never go back again . room ok size nasty carpet , filthy window , a / c unit run time , quietly . outside 107 turning option . basically spring break , sleep , puke party situation . one pass hall phone walk restroom , another leave bucket vomit soda / ice machine floor .. stay night next morning .. save pay another 20 buck stay somewhere else . positive polite security guard show we room come back open door key work . 
 Sep 1 2009 	 Bad -- 	 check good . hotel , pool casino small . do win casino , see someone win 1000.00 free 100.00 game . be upgrade tower room , charge . the room ok -- mostly sleep there . the cleaning service good - the air condition work good room . stay 4 night -- 190.00 -- bad -- walk MGM get strip -- else long walk street -- 12.00 taxi fare airport - overall get good deal stay -- like hotel , good slept- shower go thing . do eat sure place be . not bad place -- try -- - 
 Aug 30 2009 	 Disgrace LAS VEGAS scene 	 hotel fit anywhere near strip let alone front MGM.This hotel low quality , old , dirty , grotty room / corridor rubbish . hotel comparison neighbour ' real casinos' . the picture website misleading . save disappointment , paythe extra go decent casino / hotel like MGM , Bellagio , Wynn , etc . probably even get room Luxor price Hooters . Luxor boom main casino , atleast decent , fairly new , neat look wicked outside - like pyramid . they even charge we resort fee left , credit card . email , say small print onthe booking agreement . check booking agreement say nothing aout nonsense . also , check , tell we charge , yet di dirty credit card ! 
 Aug 29 2009 	 Dingy room okay overall 	 probably would not stay , get great deal room , give shot . pro : small casino - easy get to / from room . not much gambling , make pretty good , cocktail waitress quick bring compe drink , even play penny slot . very friendly staff - upgrade room free , bartender cool make good drink . nice eye candy Hooters girl . decent location - technically strip , Las Vegas Blvd . within minute . cross Tropicana MGM 's back entrance , quick walk get monorail . be plan go downtown , head block south get route 109 , cheap , less crowded , much fast deuce . room service food good overall - get room 15 minute quality food actually not bad . good deal food be picky - Dan Marino 's try classy basically be glorify Hooters . 25 cent wing midnight hit spot long day drink though . bed clean comfortable . actually pretty quiet hallway not hear noise neighbor - overall get good sleep room . con : elevator look sound like be collapse . be almost bad notorious one Imperial Palace . hallway room serious need rehab . new paint job carpet order - lot stain , cigarette burn , etc . room service tray place outside room pick leave 24 hour . ice soda machine floor work . a / c unit extremely loud . tv seem like go fritz - sound keep go . order movie one night keep go back PPV menu . overall , be guy look cheap room basically sleep shower , not picky accomodation , might fit bill . overall , be look cheap dig , would prefer get something close midstrip like Imperial Palace Bill 's , get good deal , hooter may worth while . fyi - take shuttle airport get . figure since Hooters close airport , would quick trip - luck . take well hour , shuttle arrange pick half hour late decide grab taxi . extra $ 5 - 10 would spend taxi versus shuttle well worth . 
 Aug 28 2009 	 bad 	 fiance decide last minute leave vegas day early book Hooters $ 20 way trecke desert night . arrive 1 am quickly check . upgrade bungalow room tower room 8th floor bay view tower free . also get 2 free breakfast buffet Dan Marinos suggest skip unless low money want free meal . much selection food bland hey free . elevator parking garage casino pretty old dingy . yes casino small much Hooters could do . San Remo tiny casino Hooters look like do well could make . play crap drop bag room crap dealer extremely nice helpful . easily nice dealer around vegas . thank everything Vee Andrew ! remember Hooters do not make amoungst belagios venetians vegas . mid level hotel relax fun . picky person find flaw many thing definitely stay . like kick back fun , would recommend stay hooter 
 Aug 26 2009 	 Love place - highly reccomende 	 highly reccomend hotel , clean lively cheap . 3rd time would stay anywhere else . 
 Aug 21 2009 	 stay Hooters Hotel 	 first let start say , absolutely picky person ... long clean environment , ' m good . want stay cheap Hotel Vegas want spend money elsewhere ( gambling , dining , shop etc ) , well hooter cheap extremely dirty gross . location bad ( unless want middle strip ) . check - in / check - out people extremely rude , helpful question give we total attitude . casino amazingly small kind joke . walk hall get room notice lovely stain floor , gross . get hotel room notice stain everywhere . a / c incredibly loud sound like small animal unit try escape . bathroom horrible ... one towel & amp ; one wash cloth . bed sheet call room service see could put sheet bed , take 2 hour . room key constantly would work would make frequent trip back front desk get key renew . end notice almost $ 300 add hotel bill , & quot ; accidently & quot ; mess bill put random charge onto , fight take charge . seriously , could Vegas trip would spend little money stay nice & amp ; clean hotel . hope help ! 
 Aug 20 2009 	 Grotty liveable 	 staid hotel march 2008 , wish stay circus circus , place full frat style man , try relive youth , give unwelcomed attention female walk past , ask massive security deposit check , credit bank card we , pay cash , reception desk unsympathetic stare we whilst chew gum , never pay deposit stay Hiltons etc , belive hilton , stay back house small grotty casino pool area , room clean , tv small balcony , good bit rear parking rear access room troll casino front , great location walk strip etc problem , glad stay experience never go 
 Aug 18 2009 	 stay anywhere else 	 place go downhill . room small double bed . casino small . hooter restaurant even open 24 hour ! Dan Marino restaurant bad food . staff friendly location fine . would not stay . 
 Aug 12 2009 	 deal dirty 	 look review decide give Hooters chance , since look & quot ; deal & quot ; know would not spend much time room anyways . girlfriend take Vegas bachelorette party not want spend much money hotel room . well , kind wish spend little bit . first , think crowd casino would young fun group twenty thirty something . insteasd , bunch old trashy people look like 48 hour straight . guess would not matter need clean place stay not plan gambling use pool facility . unfortunatly , room bad . honestly , picky person . place basically clean , deal . well , room nasty feel . bed sheet stain ( not even try firgure ) , half carpet wet wear shoe fear athlete foot . bed tiny bathroom clean well . oh , a / c loud keep night . , picky , really think hotel nasty . fact , tempt go find another hotel ! ! save buck , please spend little bit avoid dirty place ! trust ! ! 
 Aug 8 2009 	 great deal 	 book 3 night hooter winter really great deal ( less $ 50 3 night ) . originally , book bungalow , staff kind enough upgrade we room inside hotel ( bungalow separate hotel ) . easy convenient get elevator room comfortable well . room beachy theme bed well cushion . quick walk MGM people accommodate . 
 Aug 4 2009 	 good value 	 stay 3 night July - stay hotel , 2007 go back relaxed atmosphere cheap room price . time around seem Hooters girl not quite happy chirpy however . room good size , clean comfortable . staff reception desk give we bare minimum term welcome pleasantry . small casino like , not take long get hotel room Strip . pool area security guard good bit much drink - take care unsavoury character quickly discreetly . complaint pool pool attendant clear away use towel , empty drink container , debris etc . great value fun place stay . not want boyfriend / husband look girl skimpy short tight singlet , . great boy / girl trip away couple wife / girlfirend jealous / psycho type . 
 Jul 26 2009 	 WARNING ! false Advertising ! 	 book & quot ; standard w/ $ 400 Extras & quot ; recieve one offer include list & quot ; extras & quot ; $ 100 promotional slot play we . free buffet , rib special , complimentary drink Pete & amp ; Shorty 's Dixie 's , complimentary ticket mentalist , $ 10 match play , $ 10 free play fulfil . bring attention management spout & quot ; reserve right change promotion offer time . & quot ; well thing would not stay without $ 400 extra think getting pay room extras suppose include room . room issue , first not 2 double bed standard room reserve instead put we thi cheap & quot ; bungalow & quot ; room one bed . first one ant place , second one sink shower not drain ant few first room . third room move we little well since bed actually make even turn shower head water continue come spout end 1 foot water end shower ! finally put we correct room next day pay first night move luggage four time 12 hour not good way start want relax vacation . not stay whatever stay New York New York Excalibur Luxor little deal endless problem . 
 Jul 18 2009 	 great time 	 room great , service . great time - Loved eat breakfast pool : ) 
 Jul 17 2009 	 Grea Place Stay be look resort 	 stay hotel girlfriend many time . able get many comp show museum girlfriend connection , not like spend money hotel frequent city much . room nice clean keep hooter style restaurant . room casino not fancy , 's hooter ( be suppose fancy ) . would stay plan big trip , Vegas regular spur moment Vegas trip , hotel nicely . girlfriend like place , ' m sure much big hit guy lady ( nothing beat 25 cent midnight chicken wing special also tip drink girl casino drink come non stop ) . also get ridiculously good rate hotel look even cheap frequent hotel . stay three night , include new year eve new year less $ 200 . book four night stay summer total $ 60 ( stay tower room , careful bungalow room detach casino seem bit seedy ) . miss early special year half price . also receive coupon book sign player card ( many buy one get one free ) . give free show ticket purchase one drink , look special . remember not expect top Vegas hotel room , mega resort . be literally around corner strip , could want ! 
 Jul 16 2009 	 average hotel good location 	 stay 4 day May 08 . - Hotel average+- Location good behind MGM point nobody pop accidentally . probably be not lively , people evening . - pool area nice- also small gym somehow adequate little work out- food be not special , normal junk- time nothing special go evenings- room okit pretty much ' ve expect price . less lively though . 
 Jul 11 2009 	 excellent dollar valueS 	 stay June 28 july2 everything perfect . 500 ft . walk strip , clean air contione room , agreat atmosphere especially pool excellent bartender lot meal $ 10.00 plus usual wing promotion . Dave J Ottawa Canada 
 Jul 11 2009 	 friendly place town 	 stay Hooter 's twice find friendly staff around . receptionist , waiter waitress , barmaid , etc . atmosphere fun exciting attention customer . boyfriend always come back . come 3rd time soon . room comfy make feel like tropical climate . gamble many casino town Hooter 's good atmosphere fun . big gambler not get perk . nice wait well . eat Dan Marino 's rest . food awesome . location clooose strip ! great value service . 
 Jul 6 2009 	 major disappoinment . 	 Staying Hooters sound like lot fun beforehand . unfortunately hotel shabby , smoky , sleazy . staff tired bored , even famous & quot ; Hooters Girls & quot ; act like would rather somewhere else . positive thing location , right next MGM Grand . 
 Jul 5 2009 	 Avoid ! 	 go open minded reading review see 3 star . , give 1 star . casino first impression arrival good , however check notice seedy grubby really , corridors room dark smell dope also stain grey carpet . room quilt cover say 5 7 day , stain horrible brown carpet room cheap wooden furniture . eat Hooters , avoid buffet breakfast food restaraunt , look like day much choice , surprised people eat . round pool area dirty never saw clean round whilst , chicken bone old straw etc .. floor . Brown pad seat stain way would sit one short . hotel avoid well hotel cheap ! thing go location opposite MGM , good go breakfast . 
 Jul 4 2009 	 tick every box cheap 	 stay Hooters 3 time , think brilliant always cheap , great location across road MGM . room similar size hotel stay Vegas - Paris , Luxor , MGM . never problem room , bed large , never reason complain anything . bathroom fine . pool area decent , small , pool side bar , although pool small , decent enough , heated . casino area small , bar near entrance hotel tiny , really use meeting point , quick drink head elsewhere . there restaurant call Dan Marino 's , eat time breakfast , good food handy late night ' ve get munchie . 24 hour shop next door Hooters , get drink snack room , well toiletry etc , be handy . the gambling area small , negative Hooters not view hotel would go night , small not proper bar . like cheap , good value money , room serve purpose . might go back Vegas November stay hooter , would always stay future , unless win lottery go girlfriend ! 
 Jul 2 2009 	 great stay well expect 	 would recommend hooter curious staying . originally book bungalow upgrade low floor tower upon arrival . room clean bed comfy . need . food alright price . casino small fun . would stay . 
 Jul 1 2009 	 Nice Pool - O.K hotel quick night 	 pre - book cheap rate Hooters plane get midnight need cheap place crash . be look get really low rate hooter fine quick night . 's Tropicana Blvd across MGM hotel ( monorail station ) , five minute less walk strip . check - inthe attached parkade not appear elavator parking front . wife check bungalow room book & quot ; upgrade & quot ; us tower room rate . check - in quick friendly aware charge $ 5 night resort fee . 's resort ..... casino area right , basically hooter restaurant slot machine table . RoomsWhen Hooters buy hotel throw new carpet , paint wall nail surfboard hall . warn hall dim dark paint not help much . room not anything write home ; bed sheet clean comfortable , linoleum old peel bathroom , fixture old stained , wall thin slide window false deck not lock . typical budget motel room . Public areasThe casino fun party atmosphere , lot good game , access cheap drink gambling . free form pool build buy hotel highlight property bar , hot tub , waterfall sandy area lounge . Dan Marinos 24 hour restaurant late night wing special breakfast buffet . ( get 2 - 1 coupon sign Owl Club player card . ) also hooter restaurant , comedy theatre , dixie country bar another casual bar . overall , Hooters O.K night 40 crowd , would recommend friend cheap place stay close airport , would great bachelor party would not recommend single woman dark hall laxed security . 
 Jun 29 2009 	 worth look budget . 	 casino fun , pool decent price right . room basic , clean good value . pool lose sun around mid afternoon , plan get sun early . casino allot fun , brunch Dan Marino 's decent hooter restaurant hooter restaurant . close monorail station 5 - 10 minute walk south end strip casino , good option budget . the parking garage brutal need clean , far bad part property . 
