love 	 husband come hotel several year . location excellent , staff wonderful , room comfortable . lot old fashioned charm . hotel like home away home . also great access shopping , North Beach , public transit great restaurant . 
 Petite Auberge Hotel treasure ! 	 husband pleasure stay Petite Auberge Hotel recently . delight friendly courteous staff . room quaint , cozy comfortable . in - room fireplace add much charm hotel . breakfast delicious exceed expectation . petite auberge delightful change large , impersonal hotel . ' ve already recommend Petite Auberge friend . look forward stay San Francisco . Dr. E. Mr. J. Pieterse 
 Old Fashion Charm 	 stay Petite Auberge several time last year think home away home grand city San Francisco . centrally locate great resturant , entertainment , course shopping ! back visit San Francisco ! 
 Petite Auberge San Francisco Ca 	 one good hotel stay . fine service , friendly staff , excellent room great breakfast . would highly recomme next trip San Francisco 
 Jul 30 2009 	 small room noisy 	 choose Petite Auberge base review . review hotel must stayed Room 22 . room small , bathroom size cruise ship bathroom . view ugly brick building across small courtyard . first check , ask could move since room next elevator stair , within 20 foot lobby door . tell hotel fully book . suspect , keep awake night sound bang front door elevator . something unaware since supply white noise machine room . even full volume , could drown sound guest come go . pay $ 59 night , might acceptable , expect well give room cost review . stay away hotel 's sister hotel Swan since appear management . hotel management read -- guest favor make room 22 storage space ! 
 Jul 28 2009 	 Home Away home 	 want wonderful accommodation visit San Francisco , suggest stay Petite Auberge . room occupy fireplace charmingly decorate comfortable . day begin wholesome hardy breakfast nice variety selection , great start day . evening , welcome back delicious assortment appetizer choice wine enjoy interesting & amp ; fun conversation guest . staff Petite Auberge fantastic genuine friendliness helpfulness . Petite Auberge located heart downtown San Francisco close Cable Cars , chinatown wonderful restaurant . petite Auberge perfect & quot ; home away home & quot ; visit San Francisco . 
 Jul 28 2009 	 Nice ... # 12 rate hotel SF ? ? ? 	 hotel great location , wonderful breakfast , cute room price . make sure ask room fireplace . big complaint getting hit face strong Pine - Sol / dirty wash cloth smell lobby hall , always red flag . either scent fade get use 4 day stay since travel long distance not plan spend much time hotel , not want bother look another hotel . overall positive experience great central location , price , room fireplace . lighten clean fluid use clean cloth / mop please . 
 Jul 18 2009 	 keep come back 	 every year August celebrate wedding anniversary happen stay home , ( live Bay Area ) , end spend weekend City stay Petite Auberge . research hotel SF find bargain nice review get ready book room we , always end Petite Auberge . bed comfy breakfast good . meet many interesting people evening wine reception . soon step door busy Bush Street feel like ' ve step another world , french country peaceful . maybe someday visit another hotel one always seem welcome we home . 
 Jul 17 2009 	 Disappointed . hotel appear decide cost cut big way 	 say & quot ; appear cost cut & quot ; despite stay imagine combination excellent past reviews substandard service mean change must make . go 5 different category : cleanliness : good standard clean day ; location : excellent . right near Union Square ( shopping area ) , cable car line generally quite cool area ; room : think & quot ; Deluxe fireplace & quot ; . concierge say , wait lift help thing , & quot ; oh not look room , be good one & quot ; surprising tone . think room pretty average ; quite small , comfortable bed generally feel quite tired . worth note room do quite antiquey style , like may well like . pretty indifferent antiquey style . slight problem squeaky floor board room , nothing major . value : pay £ 150/ $ 240 night . expect lot get thisand finally ... service : series incident lead give 1/5:1 . whenever need speak concierge / front desk pretty disappoint not one time . sign entrance petite auberge simply state - & quot ; please go sister hotel - White Swan Inn & quot ; . next door , give not key impression hotel would reception not massively impressed . 2 . check quite annoying , mainly result . rung reception ( not answer within 10 ring 5 - 6 time rung stay ) ask car valet ( see ) try save time take stuff room walk corrindor entrance . however car , try call reception ( white swans course ) answer . walk around reception ask could call reception Petite Auberge , sit next , unmanned course , wait car stuff . tell not know work phone would possible . 3 . ask give 20 - 30 minute car come valet . 20 - 30 minute ? Madness . assume staff work one time actually serve guest . ( lot mention cost valet review . , however , red herring opinion . $ 32 valet parking night actually cheap see central San Francisco , big deal . expensive city park . possibly cheap valet require long notice ... ) 4 . finally non reception staff seem hire cheaply . woman provide breakfast struggle understand cleaner seem positively fearful question . sorry write long review , feel give 1/5 service require lengthy explanation 
 Jul 16 2009 	 new hotel San Francisco 	 happy report find new favorite hotel San Francisco . Petite Auberge everything could possibly want . quiet , peaceful location easy walking distance Union Square Nob Hill . comfortable bed , lovely decor , gracious staff , spotless room , amazing breakfast ... little touch make feel catered . recommend hotel friend recommend . 
 Jul 11 2009 	 wonderful stay ! 	 pretty hard make review without repeat other say already . main point stand reputation quality hotel . one must know pretty old building , floor squeaky every one & quot ; jump & quot ; bed , everything be ok . prior complaint hear plumbing noise , mine go fellow traveler discreet enough take shower 1am ... otherwise noise , even street ( room 31 front second floor ) .there many people 1st week July pretty much often city , go 5pm wine cheese liked meet nice people . location terrific : 2 street away cable car Powell , walkable distance North Beach ( italian restaurant ) China Town downtown shopping . lot restaurant area , deli across street want munchie extra wine . staff nice provide we lot relevant info sightseeing . if ever go back Frisco , DEFINITELY return Petite Auberge . 
 Jul 10 2009 	 Home home 	 solo traveller please find home home , safe friendly environment Petite Auberge . service friendly welcoming , accomodation comfortable . facility information offer hotel satisfactory visit SF ( map , info , resto guide ) . evening wine reception enjoyable go dinner fellow guest one evening result mingle chatting adventure .... can not think anything negative say place ... really capture something large / chain hotel . 
 Jul 5 2009 	 Comfort attention detail prime location SF 	 return hotel next time visit San Francisco . upon check give print recommend restaurant area . list event surround area prominently display well selection free guide magazine . hotel staff helpful front desk , housekeeping , lovely lady organize breakfast area . complementary breakfast morning buffet style . Quiche , french toast , sausage , oatmeal , fresh fruit , assorted pastry , fresh juice , coffee , tea etc . seat area decorate lovely mural remind one see France . beautiful . although room spacious well maintain enjoy finish day tour San Francisco relax downstairs living room next fireplace good book . hotel comfortable neighborhood , safe walk around , convenient mini grocer , wonderful pizza parlour , Powell St. cable car , BART , Chinatown much . 
 Jul 1 2009 	 Petite Auberge home stay San Francisco . 	 stay Petite Auberge 5 time last 5 year stay pleasure . recent stay , pleased hear many first time visitor find delight Petite Auberge come expect . breakfast great , evening wine gather good time meet traveler . perfect location walk San Francisco , catch cable car feel home neighborhood . 
 Jun 30 2009 	 Great Place Great Memories ............... many thank . 	 stay short Petite Auberge , San Francisco come art end 3 week road trip cram happy memory . pick book hotel use on - line booking service rely hotel web site Trip Advisor inform choice . disappointed . arrive 18.30 warmly welcome offer ( free ! ) Californian Chardonay , salad , cheese biscuit . welcome ! turn spread lay comfortable lounge evening 17.30 . provide great opportunity meet exchange story fellow guest . also delicious home bake , ( assume ) , cake cookie tea coffee available time . complementary breakfast bufet offer good selection fresh cook hot option . spread set we hard day sightseeing gallery visit . hotel seem well position Union Square 10mins . away . great character hotel would say bit special . 
 Jun 29 2009 	 great anniversary trip ! 	 husband stay Petite Auberge early month 30th anniversary . three night ... wonderful atmosphere , breakfast morning delicious , location perfect . 
 Jun 28 2009 	 Felt like second home great location terrific price ! 	 great service ! treat like family wonderful staff . hotel exceptional value . Breakfast include . wine snack free evening cozy lounge . location perfect . 5 minute walk Union Square . ideal , welcome bed breakfast style place perfect location . breakfast evening snack wine include , unbeatable value . definitely back ! 
 Jun 26 2009 	 can not well San Francisco ! ! ! ! ! 	 purpose trip business pleasure . colleague stay one major hotel chain , one good hotel ever stay . quite jealous describe wonderful oasis big city . petite Auberge everything . location Union Square perfect . clean , beautifully decorate room , friendly , extremely helpful staff , excellent breakfast lovely wine reception afternoon could meet guest 's highlight . , course , fireplace room appreciate gruelling day meeting . research need next San Francisco trip ... definitely return Petit Auberge ! ! ! 
 Jun 26 2009 	 Great Place Stay ! 	 Texas want get San Francisco experience little bit family get . great place stay . everything easy , check , gentleman carry bag room , clean room , view street , great experience . would stay tell anyone know stay , great place . 
 Jun 22 2009 	 save great service 	 boutique hotel ok , could great updating . staff exceptional .... concierge eager assist plan make reservation . everyone valet housekeeping greet smile . book two room , one husband , one parent . room cost exact however , parent room small , bathroom stand show tub could use serious scrubbing . room much large fireplace tub shower . sink room little questionable dry wall behind crumble bit water damage , nothing little caulk could not fix . would go back know would get large two room . lot street noise noise people next we . hand , location excellent , staff pleasant , able forget negative . 
 Jun 9 2009 	 friendly staff tiny noisy plumbing cleanliness issue . 	 stay one night June . book great Tripadvisor review stay two jdv hotel great success . ( try Hotel Los Gatos stay Silicon Valley ) staff friendly helpful , not understand rave review . room tiny . could hear noise Bush street night especially early morining . dual pan window would make acceptable . sink clog several black hair shower . wife grossed bathroom refuse shower . breakfast basic . 
 Apr 28 2009 	 will not stay anywhere else ! 	 stay Petite Auberge several time past five year always delight ambience . full , mean full , breakfast morning incredible 's chance chat guest world plan day . evening everyone gather front fireplace wine delicious hor d'oerves chance share sight seeing adventure . every time go Petite Auberge greet warmly staff whole time treat like someone special . drawback expense parking garage associate hotel search around place cheap . one great thing Petite Auberge couple block Cable Car . happen like walk often walk Chinatown , Union Square , point beyond include many fine restaurant . love quaint little hotel will not stay anywhere else ! 
 Apr 25 2009 	 feel like home 	 Petite Auberge incredibly pleasant surprise . even read rave review , amazed stay . fact , thing San Francisco , plenty , Petite Auberge highlight trip . hotel clean atmosphere relax homey . room comfortable although bit small . upgrade large room fireplace minimal charge glad . set Petite Auberge apart service relaxed atmosphere . Breakfast serve buffet style . food put help . food normally include quiche , waffle egg dish , sausage meat , cereal , fresh fruit , muffin pastry , wide choice bread . choice juice , coffee , tea available . hotel offer cookie , apple , orange , pop bottled water free charge throughout day ( night ) . use ammenitie create small lunch . cocktail hour , whatever call extreme highlight . supposedly 5:00 -6:30 , although often go till 9:00 pm , wine put guest along cheese , cracker various sort , often come salad food pasta dish one night , spice cake . week , make habit attend . eat food living room set fireplace help facilitate conversation amongst guest . almost every day , spend around 2.5 hour talk different guest . never experience anything quite like . staff extremely helpful friendly , take hand approach allow guest really feel like could mingle . , incredibly positive experience would recommend other . 
 Apr 24 2009 	 Heavenly Dream 	 French Country Inn hotel chart ! staff make & amp ; spouse feel important need . room 3rd floor , comfortable & amp ; spacious enough 2 people , like window face bed look serene garden . queen size bed comfortable give we extra pillow comfort . miss complimentary breakfast ! food excellent , soothe ambiance , newspaper ready read , 24hr drink beverage plus ice , need . meet & quot ; Filipina & quot ; Patricia . work hard , smile , comfort lady & amp ; always make breakfast area refill clean . also valet parking , car come & amp ; tack . location excellent , price rate affordable , bathroom everything need toilet work . truly recommend place everyone experience heavenly dream . love hotel , come back . wake leave smile , especially free cookie ! 
 Apr 24 2009 	 Charming hotel comfortable room delightful staff 	 seek hotel charm brass glass , delight find Petite Auberge . room large , need - clean , comfortable welcoming . like able open window hear street sound ( loud ) . stay great price extremely reasonable . 
 Apr 11 2009 	 Perfect location great ambiance yummy food ! 	 3 night would go back heartbeat . location wonderful - block union square , great restaurant recommendation within walking distance . breakfast delicious - homemade bread , oatmeal , quiche - definitely good B & amp ; B France ! afternoon wine great way meet hotel guest relax night . great visit would highly recommend Petit Auberge ! 
 Apr 11 2009 	 could home . 	 small apartment norm San Francisco stay Petite Auberge really & quot ; Pied Terre & quot ; city . stay twice year , 2009 fourth year . valet parking not come car : San Francisco walk city . 's locate good neighborhood get explore ! historic building expect quirk go along structure age , part charm . complimentary full breakfast evening wine hour variety appetizer serve buffet style quiet cozy setting . also small garden outside dining room look intimate setting . small refrigerator always stock water soda . every year 's great staff first name good - bye hug basis everyone . ' ve stay King , full Queen , Cozy Queen room . favorite Full Queen back build south face bay window let lot light bonus view charming urban garden next door complete tree tall fifth story view . will back ! ! 
 Apr 10 2009 	 Awesome Hotel ! ! 	 great hotel ! great staff ! great breakfast , complimentary water , soda , fruit etc . love fire place ... definitely back ! 
 Apr 9 2009 	 absolutely wonderful stay San Francisco . 	 Petite Auberge hidden gem city San Francisco . inn comfortable , roomy , charming , beautifully design . also romantic large fireplace room . staff professional helpful . would recommend Petite Auberge Inn friend family . absolutely wonderful stay San Francisco . K & amp ; K 
 Apr 8 2009 	 lovely little hotel heart city . 	 Petite Auberge lovely little hotel . stay deluxe Queen fireplace whilst honeymoon . room really good size nice bathroom plenty light . breakfast good good selection . hotel well locate easy walking distance Union Square ferry building . cable car stop road . like reviewer would recommend join JDV club prior booking . 
 Apr 8 2009 	 comfortable first minute last 	 wife pleasure spending weekend San Francisco stay comfortable , cozy , invite Hotel call Petite Auberge , 863 Bush St . style French Country Inn . make feel welcome comfortable beginning end . employee treat we courteous accommodating manner . valet service excellent . breakfast healthy generous late afternoon wine delight relax enjoyable cozy comfortable setting . enjoy stay Hotel extent book Son wife later month . hotel upgrade room fireplace provide chocolate champagne upon arrival . quite nice gesture think . go soon enjoy ! 
 Apr 3 2009 	 love hotel ! 	 love hotel . give we great deal room second night . room fireplace simply light switch make room cozy right away . bring we whatever need need , smile face . problem check 1 arrive . staff amazing whole time . always go extra mile ask ... every time . even bring we breakfast bed husband request . charge we nothing service ! check , mention want leave bag front desk could walk starbuck spend half hour sip coffee , , bell man offer go pick car garage put bag we . tell we take time , car would wait we return . ( Starbucks 5 block away , way ) . Union square calm walk away . North Beach Chinatown ... walkable , wear tennis . ' ve stay twice , romantic getaway , time , service , location , room cleanliness , comfort , amenity ( breakfast , wine munchie , etc ) perfect need . oh , pay parking package valet service hotel ... 's worth . 
 Mar 25 2009 	 cozy end busy day . 	 book room fireplace glad . spend lot time either walk brisk San Francisco spring breeze chilly conference room ( another hotel ) come & quot ; home & quot ; cozy room end day absolute pleasure . 5 p.m. wine reception also welcome fun relax talk guest . hotel character , wonderful breakfast , genuine hospitality good value right downtown . highly recommend . 
 Mar 16 2009 	 Fabulous Experience ! 	 stumble upon hotel internet surprise ! good ( well ) review read ! staff wonderfully pleasant accomodate - even request check little later plan . wine reception delightful much need long travel day ! room clean cozy add ability feel refresh next day . location downtown SF add bonus - minute Chinatown Union Square ! sleep windows slightly open could not even tell even city ! definitely one hotel favorite list ! 
 Mar 2 2009 	 Cozy warm Welcoming Victorian Bed 	 find B & amp ; b line , website photo description attractive . never stay bed breakfast pleasantly surprise friendly staff beautiful lobby arrive . dissapointe . parking dilema anywhere SF car immediately unload bellman take secure offsite lot ( privelage ) luggage immediately take room . arrive minute social hour close hold open we get relax guest fire unwind glass ( two ) wine snack . B & amp ; b within walk distance shopping financial district well transportation hub cable , bus subway . breakfast bed one morning ( service great ) enjoy downstairs breakfast room another morning . our room cozy nicely decorate french country decor . fireplace add perfect touch retreat back room . feel safe comfortable entire trip . we two discomfort remedied : pillow comfortable ( ask other bring ) bathroom floor cold ( bare floor ( bring slipper ? ) 
 Feb 27 2009 	 love decor 	 room beautifully decorate lovely fireplace . clean well furnish beautiful nicknack . location could not well . easy walk distance Union Square , top Nob Hill , Fisherman 's Wharf , Chinatown North Beach .. staff friendly helpful . love wine appetizer evening meet nice people . charming elevator ! 
 Feb 27 2009 	 great value near Union Square 	 stay Petite Auberge night business trip . although typical business hotel , find quaint , comfortable , friendly . also , fantastic value . room nice , clean , comfortable . internet access , critical , work well . breakfast great . , make wonderful dinner recommendation nearby restaurant delicious reasonably price . staff friendly helpful . definitely stay . 
 Feb 27 2009 	 bit home California . 	 70 's enjoyable visit long time . treat guest also part family . guide provide help we make visit able walk place want see . 
 Feb 27 2009 	 like excellent hotel Paris budget traveler 	 one would immediately like hotel he / she & quot ; educated & quot ; Rick Steve style budget traveller . La Petite Auberge certainly small , central , friendly . moreover , name imply , feel like hotel Paris ( term size , style elevator , soundproof - ness , etc ) , characteristic . cozy queen room stay , small , shower like find small Paris hotel , warm . respect low season price get , PA great value . ( try book site , may promotions imaginative name solely available site . ) . week long trip LA SF stay chain hotel along way , PA 's complimentary breakfast godsend , fun taste italian spice flavor quiche . also reception 5 7 simple hor d'oeuvre , interesting & quot ; culture & quot ; event worth experience ( can not find Paris ) . also worth note free WiFi supply via & amp ; good reception ( ask front desk password ) . tv room still 20 ' CRT not bother turn since live opera show watch SF , finish complimentary hor d'oeuvre . we can not wait return La Petite Auberge claim teddy bear give return visitor ! 
 Nov 26 2008 	 Petite Auberge - Cozy cute ! 	 delight stay Petite Auberge two night . centrally locate walk Market / Powell ten minute . Joy Life Member ( apply free hotel 's website ) , boyfriend upgrade queen guest room fireplace . also give complimentary split red wine bon bon include free membership . evening reception fantastic ( gourmet cheese cracker , vegetable tray , apple streusel , wine ( red , white ) sherry . bottled water free . complimentary breakfast delicious ( scramble boil egg , sausage , quiche , danish , scone , croissant , assortment bread ( great sourdough , wheat , white ) , fresh cut fruit , coffee , tea , orange juice , cranberry juice ) . local paper deliver every morning USA Today available lounge fireplace . hotel quaint cozy really feel like small french country inn . hotel staff concierge housekeep friendly knowledgeable . front desk recommend great tapas place Mission District also print boarding pass I . I meet couple evening reception tell stay Petite Auberge 16 year ago . understand return certainly plan next time visit SF ! 
 Nov 25 2008 	 highly recommend 	 Petite Auberge lovely . staff member kind professional . room perfect , breakfast delicious , overall atmosphere warm inviting . 
 Nov 18 2008 	 great find San Francisco 	 Petite Auberge Bush Street SFO great find . 's small boutique hotel Nob Hill . 1 . great location ( block uphill Bart Station Powell Trolley line , minute Chinatown Gate Union Square ) 2 . lovely helpful staff take care need almost immediately.3 . delicious complete breakfast 4 . wonderful complimentary wine reception evening make lot new friend 
 Nov 18 2008 	 wonderful stay 	 stay Petite Auberge October 27 30th year thoroughly enjoy . hotel queit , ciomfortable , staff extremely helpful . king - size bed , fireplace , welcome long flight Ireland . arrive tired great feel welcome offer hospitability without sense stint . hotel supply freshly bake cookie arrival , coffee maker room , compolimentary wine reception evening great way make friend guest want . breakrfast , also complimentary , substantial , porridge , cook dish , lovely fresh bakery product available . help need supply friendly staff front desk . room side second floor quiet . decor nicely judge French Provencal style , fit calm atmosphere . lcoatuion excellent - mintue walk bring Union Square theatre district . 
 Nov 18 2008 	 Charming Hideaway Nob Hill 	 spend one night San Francisco fall love Petite Auberge . staff friendly helpful overall atmosphere quaint charming . sip wine front fireplace visit guest across country add special touch . really enjoy fireplace room . breakfast superb would go back minute . 
 Nov 11 2008 	 LOVELY stay ! 	 SF last week conference stumble across hotel search internet . picture lovely site decide find . get really good mark fellow travelor site book ! excellent choice turn ! book queen deluxe room spacious complete lovely fireplace ! ! ! definitely come handy night get quite chilly ! wine reception everynight addition jar cookie everyday front desk make feel cozy personal . staff really friendly , helpful knowledgeable thing SF . one huge plus 's close cable car stop close shopping town . ( shopping area way conference center ) gem hustling bustle city . one minor bad thing ( least ) stay room face street . get quite noisy night ( halloween etc ) along traffic noise . , obviously hotel already anticipate problem offer ear plugs requestd . def stay next time ' m town ! 
 Nov 10 2008 	 really really great stay 	 recently attend conference San Francisco girlfriend stay Petite Auberge 4 night . hotel wonderful . staff pleasure - friendly helpful . enjoy tasty breakfast socialize guest happy hour . cookie also awesome . loved fireplace room . mattress little tough , not care context wonderful experience . 's neat place wonderful atmosphere . absolutely stay next time ' m SF . 
 Nov 7 2008 	 Excellent Value - Great Location - Friendly Staff 	 recently attend conference San Francisco Mosone Center . look hotel within walking distance . book late , choice limit lucky ! otherwise would find great little hotel & quot ; Petite Auberge & quot ; , be Union Square . came list Expedia , not sure , read review look good . ' m 75 + room night per year traveler ' ve stay fair share & quot ; concrete box & quot ; . Inn look interesting , description photo & quot ; character & quot ; .The Petite Augerge Bed & amp ; Breakfast & quot ; hotel & quot ; . room nicely appoint antique furniture small touch remicinent B & amp ; B. fortunate get room work gas fireplace ( cozy ) ! book knickknacks mantel ( screw ) , robe armoire , comforter big puffy pillow bed . staff exceptional . friendly , helpful really give feel happy help you . the hotel serve breakfast morning , quiche , sausage , fresh fruit , hot cold cereal , assortment bread pastry . food delicious , dining room cozy . afternoon , wine cheese reception guest get together meet . surprised well attend ! able meet fellow traveler around globe , everyone enjoyable stay . 's B & amp ; b style , will probably find guest tend mature professional ( eg : quiet , polite considerate ) location standpoint , could not ask anything well . 's block Union Square / Nobb Hill 1/2 block Powell Street Cable Car . plenty restaurant choose within walk distance friendly knowledgeable staff help choose give good direction get . within walking distance Moscone Center attend conference , quick cab ride Fishermans Wharf ( go twice less $ 8.00 way ) take Cable Cars . the good : extremely clean , fantastic mean & quot ; Fantastic & quot ; Water pressure shower , great decor , superb staff , great food , central location , excellent value . the bad : well , nothing really . dis - like b & amp ; B 's , need extreme quite sleep , not like occasional floor squeak little street noise demand fancy restaurant bar lobby , might want look elsewhere . everyone else , great find . 
