Montana 	 anniversary gift wife London decide stay Montana Hotel , Kensington . Montana choose recommendation work colleague . perfect every way . location perfect . Bang heart Kensington Knightsbridge convenience shopping , bar london offer . the hotal Gloucester Road opposite Gloucester tube station ideal quick train ride site London short walk Kensington Palace Gardens . soon arrive look exactly like website photograph staff friendly welcoming . room adequate short stay , simple elegant . request bottle champagne place room arrive , explain reception first anniversary . surprise also complimentary box chocolate rise place bed , course take credit wife ask ( thank guy extra ) . hotel indian restaurant also serve breakfast convenient quick breakfast go explore . ask reception direction place go helpful even arrange couple excursion us whist . overall fantastic hotel accessible fantastic location . keep Montana . 
 bit let - down 	 location suberb 100 metre Gloucester Road tube station . sadly quite let service reception . guy encounte seem quite annoyed someone disturb surfing internet . room okay size , shower almost pressure ! ! also quite disappointed get small bar soap ! ! shampoo whatsoever . return hotel ! ! ! 
 May 27 2009 	 can not wait come back ! 	 stay April 20 - 26 , 2009 . even though arrive early post check - in time , room ready wait . pleasant surprise room ! last couple time ' ve stay London , another hotel area put dark , cramp , grimy room barely big enough one single bed . Montana , room ( number 311 ) clean bright , spacious . the bathroom small , uncomfortably . request tub , large , plenty space soap shampoo . mention previous review , hotel provide shampoo , issue prefer brand . provide small bar soap two towel . soap towel replace daily . boot grocery store tube station shopping arcade across street , buy anything else need . another nice touch mirror medicine cabinet glass - holder build wall . room thermostat control , A / c work well . room queen single bed , large window overlook charming residential street behind hotel , drawer electrical outlet could use . plugs british - style , will need adapter be another country . buy couple inexpensive one boot . also good - sized wardrobe , room safe tuck away . buy soda pre - make sandwich , fruit nearby grocery store , keep mini - fridge . leave money show attraction ! elevator indeed small , large enough friend go together ( carry - on sized ) bag . first night , discover bathtub drain break . call next morning , maintenance within hour . replace entire drain unit perfect rest stay . , rest staff , polite friendly . other note , location hotel can not beat . Gloucester Road station right across street . not forget look way , watch vehicle turn leave around corner Gloucester Road onto Cromwell Road - right way , even red ! 's straight shot Heathrow airport Piccadilly line ( way take less 30 minute ) . station also serve Circle District line . wide - screen tv really nice , especially come free music movie demand . Loved . also good variety channel available , include various BBC station , ITV , Channel 5 , cable choice . tv also clock wake - up alarm build , set remote control . man front desk give slip paper wifi network key could use free internet . set connection key index 2 , suspect flummoxes guest ... especially Macs use OSX , support key index 1 ! however , use netbook Windows XP get hook without problem . connection slow side , perfectly adequate check e - mail looking address Google map . basically , hotel everything hope find ( great location , wifi , mini - fridge , A / C , safe , tub ) ! ' m much look forward stay , next time visit London . 
 May 18 2009 	 fantastic location lovely stafff 	 stay family 2 small child excellent family room great flat screen tv , wifi , hairdryer , refreshment tray request reception , good bathroom . helpful staff . indian restaurant hotel serve good food make child welcome . beat location , literally across road Gloucester Road tube station approx . 3 stop Paddington train station change , easy get . great visit museum , kensington palace , harrod hyde park . would highly recommend would definately stay . yes several nice look hotel close also charge high price , plus get charge wifi not Montana . London not want sit hotel room day . perfect place choose . 
 May 14 2009 	 10 day English Paradise 	 4 lady ( 2 18 21 2 mid 40 & quot ; ) stay Montana Hotel Kensington . good overall . right across tube station ( Gloucester rd . ) 2 grocerystore nearby 2 starbuck 5 minute walk laundrymat . tha front desk staff friendly helpful . our room small narrow one picture one lady 's previous post fine daughter bathroom quite large . yes elevator small ( big bag fit one time ) second floor walk time.the hotel 7 minute walk Kensington Palace , Gardens plenty teen girl shop nearby ! ! breakfast toast cereal juice , tea etc unlimited good enough several morning we . 2 golden bust tour hotel happy guide meal include . arrive FRiday April 17 rain , perfect spring weather rest 10 day . on Tuesday travel train Buxton visit Chatsworth Wednesday , however , arrive Buckingham Hotel nothing 2 p.m. Tuesday front desk receptionist suggest climb past Poole cavern something call Solomon 's Temple . worth 18 year old daughter call good part entire trip . small fort set high peak district surround magnificent view . chatsworth beautiful personal favourite trip , must see romantic english lover . we take Eurostar Paris Friday , train fine Metro dirty smelly , Eiffel tower stair lovely though tire , walk Musee D'Orsay Louvre Notre Dame back day LOndon , finish high tea Orangery Kensington Palace . trip overall wonderful wait go see thing get glimpse . 
 Apr 29 2009 	 positively surprised 	 surprised read review . 7 order 2 double room triple room . triple room fine good space - small bathroom ! staff friendly immediately find another room instead basement room give we one double room . also helpful luggage problem lift . good service breakfast , pleasant stay . 
 Apr 16 2009 	 nothing special adequate 	 stay two night , theatre / city break . must say , location excellent , near tube station road , plus plenty amenity . room clean , exactly roomy . price - range can not imagine would get anything big central London though . en - suite shower room tiny ! ! actually amazing manage fit toilet , tiny sink shower cubicle small space ! one thing not manage fit hand towel . Decor abit date , flatscreen tv freeview pretty cool . Breakfast advertise continental , ' m sure would class cereal toast continental ? Chuck pastry ! ! cooked brekkie available extra cost . not visit hotel bar , visit indian restaurant quite nice . 10 % discount hotel guest . overall , job we . straight breakfast day not return til late , place rest head , fine . sure have want stay much long though ! ! oh , one thing , wi - fi connection not work . laptop could pick signal , would not connect net , wherever try , various time . real quibble place . 
 Apr 14 2009 	 well hotel choice vicinity ! avoid Hotel ! 	 hotel recommendable base different factor , first important , lack service attitude front desk personnel provide . we make trip airport Sunday early morning ( tube not work time ) front desk personnel suggest take taxi ( 50 pound ) make trip walk.after ask question nearby Underground personnel , suggest take bus ( 8 block hotel ) Heathrow ( 2 pound trip ) - unbelievable ! ! first night , ask front desk personnel go drink , typical London bar ... suggest stay since bar ( 2 table , 4 chair , one small tv ) ... really look like make fun we . obviously , take walk , find incredible place ( big bar ) front tube station . in vicinity ( 5 block around Gloucester Underground station ) many Hotels choose : hardly recommend Gloucester Millenium Hotel : incredible reception room , amazing staff , 10 pound night Montana . we stay single night another trip city , great experience ! 
 Mar 6 2009 	 lovely friendly welcome staff good clean room 	 friendliness helpfulness staff hotel second none . 's unusual find one member staff friendly London hotel full ! room clean comfortable . thing miss room kettle gentleman reception night return hotel evening kindly get cup boil water kitchen . single female stay London feel safe accommodation , close underground station , shop cafe close indian restaurant hotel , , although not try , look full obviously popular . would recommend hotel everyone . would also recommend visit Churchill Arms pub Kensington Church Street , traditional british Pub serve Thai food small cozy restaurant back - 's good book table though . 
 Jan 31 2009 	 Fabulous 	 Love Montana Kensington . second year row stay . last year bathroom tiny ask large one get one first floor . room fairly spacious clean , clean do daily early . room back hotel quiet . January 8th Jan 15th 2009 London COLD , however room always warm adjust heat accordingly . bathroom spacious bath / shower combo . always plenty hot water good pressure . the front desk personnel fabulous . act personal agent help restaurant confirmation cancellation , direction , get vip list nightclub etc . tha staff friendly pesonable ( visit ) main staff last year . the location amazing , tube across street Harrods etc museum 5 minute away . try Racine restaurant Old Brompton Street Murano ( Gordon Ramseys late ) Mayfair . the indian restaurant Hotel good quite busy time prepare ahead - guest also receive 10 % bill . we hate preach people cordiallity beget cordiality - some people adhere principle travel ! ! Nuff say highly recommend Hotel . Muskoka Guys 
 Jan 22 2009 	 cheap cheerful adequate 	 want real cheap , one night stay , order see show Albert Hall . location excellent Albert Hall , museum , Hyde Park , Harrods / shop tube . hotel look pleasant first sight receive friendly greeting . indian Restaurant part Hotel smell carry stair , room fortunately . room adequate great price . welcome tray room hair dryer , good size tv lot channel small safe . Bathroom ok , need renovation , little rough round edge , ie new silicon need around shower toilet roll holder fall wall sit loo , knees scrunch hand basin , price , adequate . double bed pillow comfy enough sheet sparce fight night - need big sheet ! breakfast morning include price - basic expect price . cereal , juice , toast tea / coffee . Presume could pay well breakfast we fine . would recommend one possibly 2 night stay , . perfectly adequate price , perfectly adequate may other , rather difficult say . overall , 7/10 . 
 Jan 7 2009 	 Loved Location 	 back wonderful 11 day stay Christmas New Year 's . love Montana . front desk staff , restaurant staff , housekeep friendly helpful . great location ; feel safe . previous review know hotel old budget property ; . find charming would stay . three elevator trip room 3rd floor . teenager small room two tandem twin bed ; huge bathroom tub & amp ; shower face street . traffic noise hear night . room acros hall . little space , double bed , tinest bathroom , shower , ever see . good sized quality towel little bar soap ( shampoo etc ) leave person bed . call fron desk extra towel tea tray . day extra towel leave tea tray refill . breakfast hour short later Sundays bank holiday . continental breakfast include coffee , tea hot chocolate ; two slice toast , two cereal choice , milk , juice water ( maybe tap , order water restaurant London Paris , bring expensive 500ml/16 oz water bottle ) . include room less 5 pound ( see price coffee size elsewhere , might seem like bargain ) . sit restaurant , Starbucks , Burger King across street . room fridge keep stock waitrose grocery store . boot ( drugstore ) also decent combo price pre - make sandwich / drink / snack . food allergy picky eater suggest take picnic lunch town trip find tricky find food one child . underground diagonally across street ; Picadilly , Circle , District line . picadilly quite deep , 30 step access elevator bring street level . Circle District 36 step street . convenient transport Heathrow train . choose Oster Card Travel Card ( read London Tube review TripAdvisor ) . purchase Hop Hop bus voucher hotel . stop barely half block away . purchase London Pass voucher Canada . good value we ; see 3 attraction day ambitious . exchange voucher London pass - short hour pick . London Pass may save time line - up purchase separate admission ; reseach Hop Hop people let skip queus sell ticket stop close attraction . good map exit underground would helpful . push , shove , step , roll luggage stroller . hard get bearing street sign fence , building , nowhere find ; be sweep along crowd . area crowd ; prepared . Harrods one crowded area , store ! 20 minute walk quick underground trip . keep mind London price food hotel easily double would pay North Amercia . happy Montana would stay . 
 Jan 5 2009 	 bad hotel 	 bad hotel . we stay basement room . very bad , cold ( air condition work bad noise ) room clean . only 1 towel . staff unpleasant . ( breakfast include ) good thing location near tube station . I don´t know room , basement floor terrible . not recommend 
 Nov 23 2008 	 Good Deal 	 place reasonable , give location near king Cross . room four flight walk - up tight fit , need rate £ 100 . hotel across park ownership , Hotel California , appear amenity , might worth check Montana full . 
 Nov 19 2008 	 avoid 	 London tough city get good value hotel room . Montana be even try . spend hundred pound night one bad hospitality experience ever . terrible value . much wrong place not even know start . perhaps start good bit , be easy since two : free wireless internet access location . location good , near tube station , cafe , shop etc trendy part town . grant though , may everyone . may good people business area even central London , tourist may prefer stay somwhere else close main sight . overall , not think fault location . now bad bit . room warm welcome guantanamo bay . be old , tired , slightly smelly extremely basic . bathrrom design tiny people , shower pokey water pressure . 100 pound get old soap way , remember bring everything else . lift small slow always stink something different ( be tobacco 's garlic fart - 's revolting ) . staff reception look bored uninspired . ask iron say ; not even volunteer let know one back . always want key leave hotel , find annoying unsafe . breakfast entail tea coffee , corn flake , four burn slice toast . extra money could order something else not dare ! restaurant area look unwelcome , table cloth look like ' ve since world war 2.anyway , could go forever . frankness , not find revolt experience ( not see cockroach filth , example ) be certainly average . 100 pound night think expect little bit well . 
 Nov 15 2008 	 good place sleep great location ... 	 third visit Montana Hotel , , indicate think excellent place stay ! location serve Picadilly tube line , travel west Heathrow airport northeast right center town . short answer , be hard pressed find well location , especially come go air . the hotel relatively simple , modest room ok bed . three visit , never trouble check - in cleanliness room . sometimes staff friendly other , never inattentive . luxury hotel . view window consist mainly rooftop urban landscape , elevator small bit creepy , inspire we get bit exercise stair . hotel locate safe neighborhood small shopping center right across street prove helpful grocery sundrie need arise . it might worth mention breakfast include , imply full english breakfast , instead , limited offer cereal toast . upgrade , price , might well make way across street Garfunkel 's . ( ' m bit partial waffle fruit topping ! ) London expensive place visit , espescially devalue dollar . despite early report contrary , find Montana Hotel good value , safe , clean place sleep , well situate explore city London . suspect visit ! 
 Oct 13 2008 	 price 	 London business , hotel book company work . location good get Central London ( road Gloucester Road tube ) , good number shop / restaurant nearby . I large room ( 2 double bed single ! ) Ground Floor behind Reception . colleague high floor much small room . also desk separate writing table large LCD tv . bedroom obviously refurbish fairly recently , sheet bed clean . bathroom standard . example , bath panel full hole crack ( repaired tape obviously peel year ago ) , cabinet beginning fall apart , toilet difficult flush internal mechanism need attention etc etc . however , accommodation clean , staff pleasant . another worry catch window either wobbly , not work . not think acceptable standard hotel , would interested see insurance company view make claim . the Bar look pleasant enough , dominate tv always appear on . I would choose stay pay , feel Corus Hyde Park much well value , although pound extra . company pay £ 90 / night include full english Breakfast En Suite . 
 Aug 17 2008 	 Exceptional Staff make ` ` class '' experience 	 book different hotel London travel agency arrival discover advertised standard . exhaust anxious state walked street learn else available happen upon Montana Hotel . warmly receive entire staff go way accommodate we , despite fairly solid booking , make stay relax enjoyable one . small , charming hotel locate within easy walk distance Gloucester Road Underground Station small restaurant , shop several major museum nearby . thus easy access public transit travel city well place visit foot Victoria Albert Museum , Science Museum Museum Natural History . room aesthetically attractive date convenience include internet access , flat screen tv movie / music choice , small fridge , safe box , air condition adequate closet storage space . accommodation keep exceptionally clean comfortable housekeeping staff . room price include continental breakfast cereal , toast & amp ; jam plus beverage option extensive breakfast . meal serve attractive dining room eveining cater hotel guest well other offer delicious indian cuisine . also small lounge bar hotel foyer , friendly wonderfully funny bar keep . though hotel almost fully book walk door , staff go way find we room first evening , enable we depart schedule activity early next day , move luggage different room remainder stay . kindness generosity staff elaborate enough , day clerk first meet respond situation sympathy making stay possible , night clerk came consider wonderful new friend . answer many question , help we learn city use public transit system ease . end stay even carry bag Underground platform need return trip Heathrow . giant establishment swimming pool grand ball room want look elsewhere . attractive , comfortable hotel feel completely safe care wonderful people whose service go beyond expectation suit need , Montana Hotel place stay . thank Montana bottom heart . 
 Jul 20 2008 	 return GREAT TIME 	 return Montana Hotel agreat time london . book family room 4 . room clean bed comfortable . the hotel good value money . breakfast need start day . staff friendly helpfull . everthing right doorstep hotel . Loved london agreat time would stay Montana . 
 Jun 27 2008 	 Great Value excellent location 	 stay Montana whilst recent trip Albert Hall . the location excellent , opposite Gloucester Road tube pub cafe nearby . particularly good London museum Albert Hall Hyde Park . the hotel clean room advertise available 11.00 although wait 10 minute arrive 1.00pm maid still room problem pop Stanthorpe Arms pub quick pint . tea tray deliver soon rang reception . the room tidy clean air con flat screen tv . reception breakfast service efficient overall represent good value money . would recomend stay visitng Kensington area London . 
 Jun 26 2008 	 right 	 go London quick weekend getaway . arrive Saturday morning checkout Monday . hotel perfect want . clean , small , great location . sure elevator small , bathroom size , want luxury , would look price range anyway ! book hotel good kick point , plan sleep , love ! 
 Jun 20 2008 	 clean hotel great service 	 check book hotel awful . walk street try other vicinity ( Holiday Inn etc . ) expensive full . enter Montana room free even let we check booking consider last hotel . room clean , spacious everything would expect good 3 star hotel . good room rate approx . 1/2 cost local hotel . staff helpful even site indian restaurant serve good food . I would recommend hotel use future stay London . Convenient Earls Court exhibition centre museum Tube station almost directly opposite . 
 Jun 13 2008 	 return visit 	 daughter return second visit Montana two year . room nicely recarpete repapered look new clean . happy value service get hotel . give room double twin bed spacious bathroom . room back side street quiet night even window open . location can not beat , Waitrose , boot , tube station , Stanhope Arms , Starbucks , etc . block . staff helpful , even send maintenance man repair handle break one bag . certainly come . 
 May 30 2008 	 Unhelpful Rude Receptionist 	 arrive time state book 7.30pm . arrive receptionist keep we wait 20 minute , seem problem booking . tell we last arrive room leave . book twin could offer we double . politely firmly tell would find we another room another hotel . said & quot ; ' m pay , would come wage & quot ; . explain right , eventually phone boss agree give we room hotel next door . at time receptionist apologise keep we wait error . toss key we , continue watch television . truly job . offer drink wait decide service bad , would eat restaurant drink bar either . hotel lose big time - service service ? double room tiny worth money . 
 May 7 2008 	 nice base 	 first impression not everything , tend colour view rest trip . to hotel 's reception minute leave tube station big bonus , automatic door walk step hotel . as enter , receptionist jump seat loung extremely helpful , especially find booking have book online 2 hour early could not recall agency would book not print confirmation due time constraint . he cheerful throughout guess reason hotel ( concert Albert Hall ) - guess make busy normal sunday evening . the lift second floor claustrophobic , say get 4 people , would not want try , be much different size old style UK telephone box . the room fine , 4 ft 6 double single , plasma tv ( far could find ) way make hot drink ( empty fridge though ) breakfast tea , toast , cornflake etc include £ 110 rate - serve room become indian restaurant later day . appear could upgrade full english £ 5.50 person . location fine , although room face front , guess could little noisy 's junction Gloucester Road Cromwell Road ( one main route central London . walk royal albert hall 15 minute Sloane Square 25 ( gently stroll time ) Harrods would SS museum rah.plenty restaurant , cafe etc close plus waitrose , boot , 2 bank , plenty bus course tube circle , district piccadilly - 10 min theatreland , 4 stop paddington come heathrow . 
 Apr 11 2008 	 Good 	 stay one night think good value money . staff fine ( despite early comment site ) en - suite single room also good . nice flatscreeen tv set internet movie option , large bath good bed . breakfast fine , location good , good value money give fact area one expensive one London . definitely book . 
 Mar 24 2008 		 mom stay Montana one night Easter . good value hotel handy location £ 80 twin room after . the hotel conveniently locate two minute walk Gloucester Road tube station . check fine receptionist perfectly pleasant . reception area link onto bar area well present clean ( use lovely air freshener smell nice ! ) .We book twin room find double get room ( probably disappointment , overall real issue find check twin room available ) . expect tea / coffee make facility room not upon arrival . however ( big customer service plus point ) , within couple minute reception rang room say tea tray 's way ... 30 second later , tray arrive . the room fairly recently redecorate spotlessly clean , plenty wardrobe space fridge big flatscreen tv . prepare size bathroom describe bijou . spotlessly clean shower work well ( be small bar soap / person provide make sure bring shampoo / conditioner / shower gel ) .We room back hotel , great nice quiet road noise contend with . the hotel also Indian Restaurant attach eat whilst menu fairly standard fare , price reasonable , service attentive , food tasty portion size good . continental breakfast include , previous review rate meagre . continental breakfast exactly get : cereal , toast , juice tea / coffee / hot chocolate . enough get we way mom snaffle last sachet marmalade , sigh disappointment overhear two sachet deliver table ... good service ! ! be look good value hotel handy central london location 3 night stay , would certainly recommend . next time head London , suspect will stay . 
 Mar 22 2008 	 Excellent London base 	 return 3 night stay Montana Hotel London . south Kensington area , close Royal Albert Halls , Kensington Gardens / Hyde Park , main museum Harrods . hotel clean indeed , modern furnishing - nice quadruple room family . staff nice helpful . & quot ; Light India & quot ; restaurant part hotel - meal one night nice . hotel across road underground station , plenty shop restaurant vicinity . would definitely recommend hotel London holiday . 
 Feb 7 2008 	 Love hotel 	 stay hotel last 5 year Wimbledon Tennis championship well later year day break . we would return staff service room satisfaction . everything possible do make stay comfortable . all staff good helpful go way help . it excellant location tube station across road , small shop , supermarket , chemist , bank , lovely restaurant well coffe shop cafe within walk distance course Harrods nearby . many museum nearby perfect short long stay . we recommend hotel friend recomende other . 
 Jan 17 2008 	 Rude Receptionist 	 upon arrive meet rude hotel receptionist ' ve ever displeasure meeting . enquire west - end ticket informed purchase & quot ; 12 1 & quot ; . replied & quot ; 12 - 1 ? & quot ; simply clarify time , rudely retort & quot ; yes.or could go 11 , would early . or could go 2 , would late . & quot ; discover pillow contain feather , return reception politely ask normal pillow allergic feather , receptionist rudely reply none foresee possibility situation bring pillow . would travel long distance pillow tow extremely inconvenient , ' ve stay lot hotel , include 3 star hotel , never deny normal pillow , ' ve never - would consider simple request , handle disrespect . several rude sarcastic comment make receptionist course stay , notice treat customer bad attitude . location hotel excellent , receptionist definitely bring quality stay hotel . 
