stay 	 spend 2 weekend night London Guards could wait leave . receptionist barely speak we check .. ask breakfast time , check etc . give one word answer . stay quad room smell like grandmother attic . luckily next hotel Edinburgh laundry facilite clothe smell musty . daughter fall badly wet floor come downstairs one morning ( sign post wet ) 3 employee watching not say word try help . unbelievable . Lancaster Gate tube stop also shut not even convenient . breakfast sufficient server polite . positive thing say hotel . many option London stay hotel . 
 Jul 20 2009 	 good location 	 stay hotel 4 night scandinavian cruise . average hotel disparately need renovation . room good size , clean necessary thing . like good hotel russian restaurant downstairs ! food great expansive . family own restaurant owner family nice pleasant ! lot russian celebrity visit place ! would like try russian food perfect place ! ! ! Name restaurant & quot ; Erebuni & quot ; - www.erebuni.ltd.uk 
 Jul 14 2009 	 great location value money 	 location hotel good 5 minute walk Paddington station . street situate quiet quite pretty . room bit tired look clean . staff friendly really helpful , change room one bath problem . breakfast good . little venice 15 minute walk away take stroll Sunday morning . swan pub live entertainment Fri , Sat & amp ; Sun night throughly enjoy . think price pay great little hotel long weekend away would defo book . 
 Jul 12 2009 	 good frill accommodation 	 warn exhorbitant cost accommodation London , relieved find London Guards Tripadvisor . arrive Paddington station , idea location , find within 15 minute , thank helpful people ask ( include one Aussie ! ) quiet square , minute walk Kensington Gardens Hyde Park , Lancaster Gate Queensway tube station , Hop - on - Hop - off bus pick point . breakfast basic adequate , staff helpful , book day tour , etc . room clean , quiet comfortable . old lady travel , feel safe time . 
 Jul 11 2009 	 great location value money . 	 knowing room size London small pleasantly surpise room 110 . bath toileterie , even a / c . comfortable bed , tea coffee facility . hotel lift smoking room . staff pleasant helpful speak reasonable english . close Kensgington Gardens Lancaster Gate tube station . would stay come London . Friday Saturday night might noisy outside street window patron come smoke late night . consider good value money . 
 Jul 9 2009 	 great value money 	 like reviewer choose hotel proximity Hyde Park friend attend Hard Rock Calling concert , location wise perfect . Lancaster Gate tube couple minute walk Hyde Park end road , Lancaster Gate entrance yard away . couple great pub local area – Mitre Craven Terrace also Black Lion Lancaster Gate , hotel also russian bar downstair . the hotel look little tired chintzy , need lick paint bit modernization . clean & amp ; quiet staff friendly & amp ; helpful . hotel happy look luggage free charge arrive early , need leave bag ' check out . our room number M1 pay £ 69 per room per night 2 sharing , price include breakfast . comparison hotel area , bargain . include breakfast continental , adequate , compliment breakfast staff particularly really lovely . please understand 2 star hotel , book expect 5 star luxury disappoint . however , like hotel lot , much booked follow week . 
 Jul 7 2009 	 good value 	 hotel bit shabby , 's location room size make . clean comfortable great airconditione basic edible breakfast . would stay . 
 Jun 30 2009 	 AVERAGE ! 	 high expectation read review tripadvisor ( one reason choose hotel first place ! ) second reason want hotel close Hyde Park go Hard Rock Calling hold Park . anyway , location great reason , little else . warm weekend , unfortunately , London Guards Hotel ! were'nt expect air - con , window actually open would help ! room old fashioned , good thing fridge handy warm ! Breakfast ' continental ' consist boxed cereal , two choice juice , cheese , yogurt , toast ' croissant ' hardly authentic ! first morning , also couple apple banana offer , sadly none second ! first floor , come two room walk stair , greet sight laundry room bag bag dirty laundry display floor ! welcome ! say hotel clean important , need stay area not much facility around , would suggest look elsewhere . 
 Jun 29 2009 	 wonderful hotel .... 	 Value money , helpful staff comfortable room . breakfast good variety cereal staff nice . located quiet beautiful area , short walk Hyde Park Queensway area one get food plenty souvenir ... Lancaster Gate tube Paddington station also within walking distance . 
 Jun 8 2009 	 cute sweet 	 happy hotel . descent price London , ' m sure could find well . clean comfortable . like decoration breakfast acceptable . staff friendly helpful . bit hard find first 10 minute walk tube hyde park . plenty small shop restaurant nearby . overall , good hotel , quiet safe neighborhood . 
 May 24 2009 	 Great Hotel money 	 complaints.comfortable , friendly polite staff . nice breakfast . add bonus russian bar serve till hour apparently . at price & quot ; go wrong , across road Hyde Park . Definetley stay . 
 May 8 2009 	 central charming value money need well staff training could first class hotel 	 give Room M2 beside school party . noise terrible . first morning awaken sleep 6 am jump bed . return 5 pm evening ball bounce wall door bang . next morning bad . begin 5 am . staff do not seem bother one surly male receptionist glare we complain . sadden location , room breakfast super . woulde go would request qwuiter room . 
 Apr 26 2009 	 Thought good ... 	 read review , think hotel really good one night stay ! ! ! travel friend , book two double / twin room ! ! ! get , ask room next least floor , request refuse ! ! ! friend get lovely room 1st floor double bed , get room second floor three single bed chance get two together ! ! ! ! ! ready go downstairs argue , partner say - never mind , thank God be stay 1 night , can not ruin holiday argue hotel , spend night seperate . not understand dull must give couple triple room ! ! ! staff breakfast room nice breakfast overall ok ! ! ! 
 Apr 14 2009 	 cheap maybe worth . 	 husband stay London Guards Hotel three night March 2009 . say , depend value hotel . hotel easy get Paddington station . two line near hotel use get downtown London . across park cul - de - sac , make quiet . room small , clean . breakfast bare minimum . staff real issue ; clue get major site , eat . even ask simple question seem annoyed , like job check in … strange . good note quick 10 minute walk Bays Water Street ton restaurant . personally never stay would strongly recommend anyone else , want somewhere cheap require amenity , might place . 
 Apr 6 2009 	 ok bargain ... 	 ok , partner stay London lot always pay arounf £ 150 night central West end location , book night Radisson Edwardian Sussex last Saturday night Friday decide would travel night , get travel inn something cheap , would London early next day . ok , room large fairly clean . bathroom huge . little noise night nothing major . building would expect 3 * location not bad , still zone 1 . ' e thing , bed breakfast , place cost £ 35 double room ! ! cheap ? ! last time pay little hotel box room B & amp ; b Blackpool ! obviously worth every penny get price ! honest probably would not go back , prefer little luxury , be budget London definitely somewhere consider . 
 Mar 19 2009 	 Excellent Value Money 	 stay 16th 17th March . room sufficent , bathroom also . surprised see bear mind normal shoebox size sort London Hotels . breakfast fine , flexible take location wonderful , right opposite entrance Kensington Gardens Hyde Park . £ 62 per night , can not go wrong . 
 Mar 8 2009 	 nice central hotel - good price - great location 	 stay two night 2 & amp ; 3 March 2009 mother . hotel easy find , top end Lancaster Gate right hand side . red door . we allocate great room - large London standard , clean , quiet , ensuite bathroom , fresh clean towel every day & amp ; lot soap / shampoo sachet , excellent hairdryer , coffee / tea make facility replenish daily fridge . Decor little date give hotel character . not understand previous complaint inclusive breakfast - ther everything continental breakfast plenty ! lovely fresh orange juice . location hotel good - 5 min walk Lancaster Gate tube station yes see Hyde Park hotel - ! stay next time be & quot ; big Smoke ! & quot ; 
 Feb 28 2009 	 Great Hotel great location 	 look hotel affordable , nice , breakfast , great location , search . travel group 4 ( 2 couple , 27 - 30 year old ) , elect stay family room 2 double bed . room nice , not expect state art decor , clean comfortable room normal traveler find adequate . staff hotel friendly , especially breakfast staff . continental breakfast elaborate , enough save meal money day stay . location opinion beat . hotel 2 block away Lancaster Gate Tube stop , central line . way Tube , stop Swan Pub good beer good food . big plus location wise fact hotel directly Hyde Park , beautiful . hotel guest walk park number tourist site . give hotel try , will not regret . 
 Feb 15 2009 	 Charming 	 charming hotel average three star hotel . charming familyroom ( difficult find London ) . big London . clean lovely view Hyde Park . staff friendly helpful . everything work perfect example late arrival , work minor problem . breakfast bit poor ok . location perfect quiet area . 
 Feb 7 2009 	 amazing value money ! 	 book single room upgrade double room huge couch ! room basement , not mind . build old lot character , room modern clean - digital tv , well heated , air conditioner , etc . breakfast basic good - fresh fruit , toast etc . location good - near Lancaster Gate underground station near bus go Piccadilly Circus one direction Notting Hill direction . also walk distance ( 10 minute ) Paddington station - Heathrow Airport train come go . also walk Hyde Park Harrods 10 minute . nearby Queensway lot good cheap chinese food . the internet bit expensive , recommend walk Queensway ( 5 min ) get 1.5 hour pound . 
 Jan 29 2009 	 great family room 	 stay 4 child 18 10 year old . hotel well locate , large family room ( two ) , fantastic value money ( London ! ) . hotel room clean , well set . staff accomodate . breakfast good full English upgrade available . pub , restuarant , laundromat handy , 100 m stroll Hyde Park - great . 
 Dec 27 2008 	 experience 	 staff friendly , condition room pleasant unfortunately happen stay Room # M1 AWARE night long activity room , perhaps Room # M3 , loud disturb noise throughout night management take appropriate course action , seem working room .Other hotel locate tranquil area Western London , close proximity every popular Hyde Park , conveniently sell fabulous tour historic London . recommend . 
 Oct 21 2008 	 great location Quaint Hotel 	 family enjoy pleasant stay London Guards . family room cater well need , nicely decorate location hotel wonderful site London situate attractive quiet area . find breakfast ample good selection . would highly recommend family trip London . 
 Oct 12 2008 	 take chance ! ! 	 odd experience London Guards . book two night -- exactly one week apart . first night , give room fine . nice view , clean , comfortable , nice large bath . actually go right good review upon return . second night give room almost seem different hotel . bad hotel room ever - anywhere ! bathroom moldy shower small curtain keep stick . think twice take chance hotel . 
 Oct 11 2008 	 two room one ok one ok 	 family four stay 4 night October 2008.one room nice . room ok bedroom , bathroom smell terrible . lot mould roof , smell come throug waterlock floor . ( try fill water , improved , removed smell ) possible turn heat either bathroom , hotel policy tell . room bathroom , would give hotel rating average . both room nicely clean day . Breakfast well expect base upon traveller review . polite helpfull staff breakfast restaurant . 
 Oct 3 2008 	 Great Value London Hotel 	 husband stay London Guards Hotel 10 night . hotel excellent location get around London . tube close Paddington station far walk away . area safe walk night , great pub close ( Swan ) shop purchase snack take back room . room large , clean , fridge , coffee / tea , safe quiet . want something fancy , place . want place sleep clean convient ... ! ! ! breakfast room great friendly staff . enough food get day start ... adequate .... great yogurt ! ! would hesitate recommend hotel anyone . return London , would book Expedia London Guards hotel . great experience . 
 Sep 28 2008 	 Wish could stay long 	 arrive London Guard hotel around 10 am arrive Australia late flight Heathrow , find check quick pleasant . unlike many hotel , require pay check out . the lift handy get we room four case , back pack etc . family room pleasant , clean , spacious , two queen size one single bed comfortable sleep soundly wake refresh next morning . bathroom roomy , clean , everything work clean soft thick towel day . Hyde Park close go nice walk park breakfast . breakfast staff thoughtful boy make hot chocolate specially , instead tea coffee offer we . breakfast usual continental serve self style , find good quality plentiful enjoyable food . girl serve we hot drink promptly clear wipe table guest finish leave room . there free internet access laptop room also free computer stair lounge . desk staff helpful pleasant . the hotel close bus service , run along Bayswater road either Notting Hill , Marble Arch , . Paddington quite close , little Venice bit canal boat ride worthwhile enjoyable ride go Camden town . the location hotel London attraction easy accessible foot , bus , tube canal . London Zoo also close by . there plenty place eat either locally road Notting Hill . we lovely three day stay 28th June 1st July wish could stay long . 
 Sep 23 2008 	 not pay advance ! 	 Zoom Airlines go business . three hotel reservation book London Amsterdam . one London hotel ( Luna Simone ) let we reservation without charge post 20 pound per night fee . Amsterdam B & amp ; B ( Boogards ) also release we without charge penny . London Guards hotel , however , KEPT three NIGHTS payment . , say cancellation policy clear ( refund , exchange , etc special internet rate ) , still feel take advantage bad situation . position fork another $ 2500cdn replace ticket Europe , expect go next 12 month . ask would consider give we credit towards future trip . communication send policy page we . give 3 1/2 week notice . POOR CUSTOMER SERVICE . understand travel , will not stay place happy get doubly pay accomodation . 
 Sep 22 2008 	 love 	 Ballina , Australia . stay London Guards Hotel ten night ( partner 11yr old daughter ) . complaint , terrify read hundred review London Hotels happy arrive London Guards - 5 star beautiful location close Transport , restaurant etc . the staff friendly helpful , staff breakfast room really sweet daughter , kind sad leave . our room huge fridge , pretty rare London . would definately recommend Hotel , remember 3 star Hotel expectation really high go Ritz . 
 Sep 13 2008 	 Disappointing 	 stay London 3 night . find stay London Guards Hotel disappointing . the hotel conveniently outside Hyde park close underground station - nice . room old desperate need upgrading . smell funny wall paper fall wall . find little black hair bed . breakfast extremely basic ... food food . stay $ 200canadian / night far bad ( surprisingly expensive ) hotel stay Europe . 
 Sep 11 2008 	 good hotel exceptional value money 	 Meand girlfriend check London Guards Hotel last minute lateroom . ' ve stay twice , £ 45 £ 35 rate include breakfast . both time room comfortable ( 1 huge 1 small - average size ) . be clean tidy generous tea / coffee toiletry provide . you always get odd tripadivsor reviewer compare London price elsewhere expect much money , experience give Paddington / Bayswater location , London Guards Hotel offer exceptional value safe , clean accommodation night . 
 Aug 24 2008 	 good location mediocre accomodation 	 hotel offer nice location near bayswater tube short walk Hyde Park . hotel facade appeal , however room public area run , ie . old carpet . room small , comfortable couple - bathroom full sized clean . small fridge tv nice addition modest room . very basic continental breakfast complimentary . english breakfast offer cost , well experience full english breaky pub restaurant nearby - plenty option low price . decent value someone look clean bed sleep night catch decor . 
 Aug 2 2008 	 Great Location 	 book hotel flight London . hotel old clean . find room fine - nothing luxurious sleep . Toiletries hair dryer provide iron board bring room upon request . arrive morning able get we right away . possible - would take bag could begin sightseeing . staff polite helpful . basic continental breakfast provide . much speak consider not know include - ok . love location - close transportation yet bustle congestion city . 2 block bus tube . would stay without question . good value . 
 Jul 30 2008 	 great value great location 	 wife stay London Guards Hotel 5 night , 2nd -6th Jun approach finger cross couple duds Europe . great loaction Lancaster Gate , minute bus tube , 5 minute Hyde Park . good hotel cafe within 10 minute walk , clean , bit old tired value hotel central London , enjoy , help friendly staff . breakfast adequate . another tick travel agent . 
 Jul 15 2008 	 great rate clean room 	 plan european vacation last detail , research every hotel carefully . excellent stay everywhere go , little nervous hotel , last one would stay . pleasant surprise . book long ahead trip get excellent price . neighborhood clean feel safe . even decent pub small convenience store nearby . travel parent book two room . clean spacious . breakfast good , great , meet need . staff helpful , enjoy five night . would stay . 
 Jul 1 2008 	 ok price 	 party 10 ( 4 kid -- 6 adult ) stay 6 night 2nd week June . beware vast difference room size . 2 3 room small , 3rd room HUGE , actually like small apartment . breakfast simple , adequate cold cereal , yougurt , crossiant , toast , butter , jam , juice , milk , hot coffee hot tea . staff polite . lots STAIRS navigate , elevator small . shower good , water cold day . service three room good . Shampoo , soap provide -- remember bring washclothe ! 2 pay computer access internet . cost around 1 pound ( $ 2.00 ) 1/2 hour . subway station less 1 block away . Hyde Park also close , nice place take kid , go jog nice walk . nice area , always feel safe . hotel locate quiet area many hotel seem equal price value . 
 Jun 27 2008 	 Quite nice 	 nice room . furnishing fresh comfortable . nice full bath . convenient location Lancaster Gate Tube restaurant . staff alert helpful . very basic breakfast . good , safe , quiet area across Kensington Gardens . 
 Jun 27 2008 	 Great Hotel 	 stay full week . book Twin room arrival allocate double . upgrade triple room really spacious . amenity excellent . breakfast adequate , keep we go nearly day . one two morning little hectic -- many people table , little wait ? staff friendly helpful . definately stay . Dianne HODKINSON . cheshire 
 Apr 25 2008 	 good location poor service 	 four people ( 2 adult 2 child ) , stay hotel April , 2008 , 4 night . hotel quite well locate , far Lancaster Gate metro station . book quad room , large quiet , 2 single bed one double bed . bathroom clean ok . cable tv 2 tv channel bad quality . breakfast clearly weak point , little choice . hotel staff welcome , especially reception . summarize : well - locate poor service 
 Apr 16 2008 	 London hotel expensive ; London Guards good value money 	 Booked London Guards base previous review . turn exactly expect - basic , clean , convenient . if leave Lancaster Gate tube station turn right ( Hyde Park leave ) , keep walk along Bayswater Road come church right - hotel behe church quiet cul de sac . we arrive early morning room available able leave bag return later . day departure also leave bag reception . find reception staff helpful ask information - otherwise leave we alone quite acceptable we . breakfast , basic , adequate staff not exactly bubbly efficient . even bring extra tea bag say tea weak ! room clean - plenty coathanger ! pillow thin - guess moan would not rate ! London - much see . take bus trip Big Bus Co . great shake , walk tour include definitely worthwhile . want economise could skip bus trip pay £ 5 guide walk leave Trafalger Square . 
 Mar 14 2008 	 full character 	 return three - night stay hotel , enjoyable time . twin room clean spacious , niggle four coathanger wardrobe - find hard travel light like , may want pack couple hanger . bed extremely comfortable , full - size fridge well stock little pot UHT milk go coffee tea provide . all staff polite helpful - greet towel first arrive middle downpour , nice touch . breakfast basic , expect , read previous review , price pay , expect much . coffee unusual taste - instant would well - bit queue toaster , everything clean supply cereal juice top regularly . minor moan - wake one morning noisy family we seem rush around room pack 5.30 morning certainly make attempt keep noise level , several time door slam goodbye yell people return room night , hotel hardly blame guest 's inconsiderate behaviour . overall , lovely little hotel lot character , great location . 
 Mar 9 2008 	 Excellent location 	 stay 3 night break 6 year old son February . choose due favourable review location - across Hyde Park museum walk distance Paddington . hotel easy find quietly locate . regularly walk Paddington tube eat ( large choice restaurant ) . Lancaster Gate tube station close along Bayswater Road . our triple room ( ground floor ) interesting layout stairs bedroom bathroom tea make facility . room clean tidy , bathroom large though sink plug use bath one ! Breakfast include nice - cereal ( even rice krispie cornflake taste like brand version cheap catering type ) , croissant , toast , yoghurt , tea / coffee ( top up offer ) juice . son offer hot chocolate hot milk also . not eat full fried breakfast exactly want ! staff fabulous - firmly believe 's treat people determine service - smile say good morning thank ' m sure less satisfied may find experience enjoyable ! front desk staff exceptionally helpful . thoroughly enjoy trip - superb value £ 91 per night total b & amp ; b 3 we . rebooke late July can not wait go back . 
 Mar 7 2008 	 bad Hotel EVER 	 , mother & amp ; daughter book 3 night early February . book triple room top floor . elevator old , scary , small frieght elevator carpet wall . room 3 single bed mattressse wooden box uncomfortable . tv top wardrobe poor reception remote work . bad bathroom reek bad sewer gag . hour call Front Desk tell would leave next day . say although room not want , would pay next night early check out . by midnight first night , daughter become ill call Front Desk ask near hospital . Clerk keep say ' know ' . finally ask taxi shock private town car pick we . ask near hospital almost carry 16 year old . drive 3 block drop we tell we walk alley St. Marys , charge 20 pound ! ! daughter treat discharge 8 am return hotel . tell Front Desk would leave 3 pm pay 2nd night anyways say fine . when come 3 pm tell manager say pay 3 night confirm go . amazed ! ! clerk speak every time . ask manager say sure time return . crock ! ! leave message manager detail feeling take sick kid elderly mother hole ! Manager hotel Vancouver Island horrify everything experience place . move great little hotel Chelsae pay extra $ 10.00 wonderful experience . return home find form letter London Guards thank we stay urge we contact return Britian . would rather bury alive . go elsewhere . 
 Feb 19 2008 	 Quiet hotel good location 	 book room internet two child ( 13 11 ) short break London . hotel clean staff pleasant helpful . Breakfast include cold buffet , fairly limited ; toast , cereal , fruit juice , yoghurt etc . cheese , meat fruit . the room give small clean good repair . hotel quiet night , road noise would not know central london even though walk distance , accross park , Harrods . it good value would stay . 
 Feb 11 2008 	 get pay 	 read previous review book London Guards leave wonder actually write extremely positive comment ? ! say bad good hope . good point location ( 2 min walk Lancaster Gate tube ) , size room ( huge 5 bed ( ! ) - 2 double single ) , quiet location clean . however hotel somewhat date need bit update . desk room make leftover bit kitchen worktop ( rather keep lovely old building ' m sure ) , lift order ( despite direct towards reception staff ) , breakfast extremely poor . price pay good London though suppose not spend long actually honest . might stay could not find anything else reasonable . 
 Feb 5 2008 	 good hotel great location 	 two adult three teenager family room one double three single bed . room spacious clean . front desk staff friendly let we check early . breakfast good , toast , cereal , yoghurt instant ( yuk ) coffee . difficult find hotel map print website may due jet lag 36 hour journey Australia . location good - close tube Hyde Park . December London freeze hotel lovely warm refuge . hindsight one good value money hotel stay european holiday . 
 Jan 27 2008 	 good value 	 hotel simply good value money . 's five star hotel , rate five star either . stay triple , like quad , room two single one queen size bed . room clean nice coffee tea make facility fridge . big plus fridge ! room quite spacious , bath kind tiny clean well function . queen size two bed different part room make almost like two room share bath - also big plus . seat option would appreciate , big deal , accept sit bed rate good . complimentary breakfast good , nothing special reason complain either . staff polite not exactly get impression make day stop . smile two would not kill , stay safe side , case . challenge find hotel , be kind anonymous hidden . probably would easier take time study map arrival . Lancaster Gate underground , walk straight Bayswater Road towards Queensway , turn right see church hotel right behind . quiet great location , close underground , Queensway Hyde Park . unless be expect five star hotel price three star , will not disappoint . 
 Jan 3 2008 	 small bed poor service still decent value money 	 wife staid London Guards hotel two night November 2007 stop London sightseeing pre - christmas shopping . the hotel conveniently locate north Hyde Park easy walk distance Lancaster Gate , Bayswater Queensway Tube station well bayswater area many restaurant taste . we get small room overlook ( experience quiet ) street . room small , literally space walk around bed put bag . book double room , bed look like single we . manage sleep ok particularily comfortable . also try get extra blanket quite cold room night , unfortunately take two hour least two additional reminder call reception actually get it . the breakfast first day basic good not bother go second day . we not really enjoy stay , guess can not expect much price . 
 Dec 31 2007 	 brit say ` ` well do '' 	 appear hotel middle upgrade - paint occurring . problem . fact , improvement nice . the room large , price reasonable ( $ 150 per night ) staff courteous . location exceptional , one block Hyde Park . if fault annoyance . breakfast staff chat noisily continuously eat . 
 Dec 11 2007 	 Decent Hotel Good Location 	 like location hotel , near Paddington Station Underground . also like price : $ 71 Sunday December . Checkin easy , room decently appoint unspectacular basically clean , coffee supply shower acceptable . word would rate place completely acceptable look relatively inexpensive place stay London close cool neighborhood easy public transportation access rest London . 
 Dec 10 2007 	 good value money 	 book two single room via Londonnghts.com friend visit London spa day treat overnight stay . friend two double bed one single large room , double bed mine . room clean comfortable , bathroom toiletry , hairdryer fridge room . breakfast obviously improve little bit since review read go , addition toast , croissant cereal , cheese ( process cheese slice ) , yogurt fruit juice . basic breakfast B & amp ; b rate cheap think perfectly acceptable . hotel near Lancaster Gate tube stop close hyde park , 20 -30 minute easy walk Marble Arch end Oxford Street . would stay , think good value money . 
 Dec 4 2007 	 good Clean Hotel money 	 stay hotel last two day England . room clean yet sparse . hotel staff friendly enough , not try breakfast ( english breakfast like anyway ) . location lovely close tube station Oxford Street , great place get last minute gift . overall good deal location London would certainly stay . 
 Dec 3 2007 	 good location Quiet hotel 	 book hotel use [ -- ] also book website well . londonnight may give little bit discount . good review Tripadvisor look forward . London Guards locate quiet square bayswater , short walk Lancaster Gate tube stop much Queensway , bayswater Paddington station be good location transportation . 's 15 - 20 minute walk Oxford Street be 2 minute Hyde Park well . room come continental breakfast fine . could order cook breakfast additional cost . room spacious clean small fridge well usual tea / coffee facility . average sized bathroom tub shower . hotel lift room also may stair . ask 's mobility issue . single right family size room . bed little hard , however 's matter individual taste . cost vicinity 70 - 75 pound double / twin pretty reasonable central London quiet location close transport . lot restaurant area near Paddington Queensway . walk straight across Hyde Park 10 minute get Albert Hall , V & amp ; Natural History museum . also , bus 274 go Lancaster Gate way Camden really love . 
 Nov 4 2007 	 small quaint - great location 	 stay London Guards hotel 3 night , find serviceable & amp ; clean . close hyde park & amp ; lancaster gate tube station . include breakfast standard fare , nothing rave though . 
 Oct 30 2007 	 great budget hotel 	 hotel situate two minute walk Hyde Park close Lancaster Gate tube station make perfect accessing hustle bustle Oxford Street rest London also give option quiet walk park Natural History Museum scene . the room daughter give double single bed , television , fridge bathroom shower bath , accomodation , whilst bit date , clean staff helpful . the review read visit generally critical breakfast quite happy continental option find perfectly adequate . I would definitely stay hotel would recommend anyone budget want convenient clean place stay . 
 Oct 11 2007 	 chmcsouza 	 stay 6 night London Guards . hotel clean , room nice comfy bed good bathroom . neighbourhood be quiet . 's easy get subway 2 block away Kensington Park . service cold breakfast ok . 
 Oct 9 2007 	 top value Budget Hotel 	 good experience hotel . read review go bit apprehensive accommodation . stay room 3 single bed . large suitcase able lay flat floor enough room walk around . room clean every day clean towel . bath shower . pleased room . staff front desk helpful hear speak language besides English . laptop able use wifi lounge . breakfast advertise . basic breakfast need . want improve breakfast could add tin fruit instead yogurt . go bar one night . could make profitable selling beer russian beer , could guest friendly . however , lot pub great atmosphere area . position hotel excellent . short walk Lancaster Gate tubestation , plus bus , Hyde Park one street away . read many review different hotel London go , feel hotel good value money . expect go pay . 
 oct 9 2007 	 not like noise 	 reading review surprised size room . double bed , little room put suitcase . book room twin bed , arrive thing available ( book two month early ) . room clean clean day fresh towel . free breakfast basic , cereal , yougurt , toast , coffee . come bad stuff ... noisy , noisy , noisy . restaurant run separate hotel bar go night , smoking building , everyone congragate outside smoke 2 - 3am morning . also next door hotel flat fill forgein exchange student sit outside night drink smoking . make sure check service provide shuttle service airport . post one price high book , do not think hotel fault make sure check . 
 Oct 8 2007 	 nice value moneymanager COOPERATIVE 	 Good Hotel , Value money , would certainlt recomend stay 
 Sep 17 2007 	 Good value - for - money 	 book triple room pleasantly surprised size ( Room202 ) huge window . bathroom also large budget hotel London . room bedding clean except bed cover use . front desk staff day helpful . breakfast sub - standard . however , 5 minute away close bayswater tube entire street local restaurant shop convenient . also love quiet location Kensington Park across street . however , make sure get good internet rate . book room C $ 190 night find later day rate C $ 600 room possibly due availability event . sky , Canada 
