dissapointe 	 stay venetian ten day November 2009 , long tire flight UK arrive busy check desk ( busy 24/7 ! ) quickly process find room easily . when open door , could cry ... absolutely fabulous ! bear mind one cheap suite , spotlessly clean , comfortable , flat screen tv 's lounge , bedroom bathroom , mini fridge / bar , safe , write desk internet access , massive comfortable bed usual free goody ! maid efficicient , food within hotel offer wide choice ridiculously expensive affordable basic . if return Vegas , would hesitate stay . enough say ! 
 disappointed 	 wife Vegas several time . make trip little different last add excitement try stay different hotel time . ' ve stay MGM Grand , New York , New York , Wynn . trip first stay Encore two night transfer Venetian take advantage Spa Package deal . wife always want stay mainly light , fragrance smell throughout hotel grand appearance lobby area . read great review hotel excited stay . check easy room we usual 3 pm check - in even though holiday weekend . please advise want strip view cost additional $ 50 per night . venetian like facade view back hotel pleasant . yes , lobby grand beautiful room , although consider & quot ; suite & quot ; hotel , small review lead believe especially compare room Encore , Wynn even suite New York , New York . think furniture old uncomfortable , although bed fine . one comment say dust item room find well . light dusting like not dust quite . especially disappointing noisiness hotel . door room SLAM shut force easily hear door closing hall . holiday weekend imagine annoyance . spa package include $ 50 discount toward spa treatment daily admission gym spa . well , $ 50 not take far Canyon Ranch Spa even 30 min . facial cost $ 100 . man 's spa nice always run fresh drinking water fresh fruit . one occasion find attendant remind refill . poker player must say venetian poker room one good strip . come back play poker far stay hotel will not come back . 
 Beautiful Room ever 	 particular could ask anything . 
 Best Place honeymoon ... get marry Vegas course ! 	 hotel truly unbelievable ! really like live Venetian Palace Venice ! beautiful , service great suite die . check indoor ( really indoor ) Venice outdoor theme experience . will not believe eye ! romantic place actually Venice . 
 lot fun ! ! ! 	 staff kind generous room service cater every need .. 
 second time stay herelove itwill stay every trip Vegas ! 	 Gorgeous hotel , relax , great service , clean , comfortable bed world ! ! staff always friendly accommodating , room large comfortable . lot amenity close . stay would recommend anyone stay Vegas . 
 would good never get beyond Wannabe . 	 way hotel try capture memorable site Venice one cluster area amazing . lobby nothing short grand . everything seem perfect , ... person check we say need pay $ 33 per night want two queen bed . remember specifically request 2 queen book package Continental , alas , much choice , really . get room -- 22 - 238 . like lobby , first look awesome -- spacious . notice CD player dusty . slipper . one set soap shampoo , etc . , toilet room smell like smoke . water taste like chlorine . coffee maker . tiny closet ( especially two woman ) . couch living room area wear . electrical socket loose wall . poor lighting . nothing seem genuine place . 's show . , Vegas , could one expect ? 
 Nov 18 2009 	 wow ! 	 great place . Suite unbelievable . probably good room ever stay . check take age annoying , quickly forget step suite . could spend entire time relax uber - comfortable bed ! 3 flat - screen tv : one wall front bed , one lounge one bathroom . curtain keep every big daylight room sleep late problem ( wake lunchtime one day particularly heavy night think still nighttime , effective curtain ) . staff ok . one slight annoyance . sister pay room credit card mine use minibar , taxis etc . card charge room process try rectify far hotel helpful . great place stay resort casino first class . 
 Nov 18 2009 	 sweetest trip . 	 arrive 1am Washington , DC flight lady counter super nice we . upgrade suite room sweetest trip ever . big fancy look hotel room ever stay . 
 Nov 17 2009 	 First Trip Vegas - absolutely fantastic hotel ! 	 read negative review prior visit Venetian somewhat concerned would find hotel - need not worried . venetian fantastic - check check inbetween ! email hotel prior stay advise celebrate special birthday , check short wait , agent wish happy birthday upgrade room 29th floor strip view . room like hotel room ' ve see - beautiful , clean spacious bathroom fantastic . call house keep ask robe report make mirror break , housekeeper arrive 5 minute later robe replacement mirror - service really can not fault . all staff encounter helpful friendly , contrary review , never find casino overly crowd . as pungent smell , even love - comfort return strip hotel day long ! although mean eat Grand Luxe always look busy , do not get round two delicious reasonably price meal Noodle Asia . overall , recommend hotel enough - excellent location , excellent service , excellent amenity - ask ? ? ? ? 
 Nov 17 2009 	 Venetian Hotel 	 Amazing hotel , room suite , need upgrade superior suite , standard one fantastic enough . lot see around hotel , highly recommend . 
 Nov 17 2009 	 nice 	 location great , close main casino Caesers Bellagio . room nice , spacious clean . get luxury room view strip satisfied . the Venetian , like big casino 's , busy take quite walk get room around casino . would stay ? overall , yes . 
 Nov 16 2009 	 first time Vegas 	 enjoy hotel . design amazing . room comfortable view great . hope go back Las Vegas sometime ' m old . 
 Nov 16 2009 	 Fantastic Hotel ! 	 stay venitian 60th birthday . fantastic hotel . prime position strip , right middle . originally tell 8th floor offer upgrade 45 dollar per room per night 21st floor view strip . worth every penny . great view , suite amazing , big downstairs house . ! ! hotel like mini resort restaurant great different type price food . staff really helpful always ready give advice . get lose walk around part fun , stay 4 night find different part hotel . St Mark 's sqaure mind blow , would think outside Venice . walk hotel block next door adjoining corridor shop , Wynn hotel fantastic . love window shopping . ! leave able leave suitcase secure lock 4 hour get airport . problem handle really well . see desk outside lobby check bag give receipt number claim bag back time . load taxis outside lobby wait take anywhere want go . need book . would recommend hotel anyone . Wish could go back tomorrow . ! 
 Nov 15 2009 	 ' M LOVE VENETIAN ! 	 stay 5 night Husband late Honeymoon June 2009 . first trip Vegas Venetian disappoint ! jaw drop walk lobby first time . lobby absolutely breathtaking problem wait line check couple minute sit take . walk hallway room - always something look ! upgrade ' Bella Suite ' far good hotel room ever stay . big spacious . bed comfortable - maid great job cleaning - even arrange shoe make - up vanity . impressed ; ) pool great - quiet , relaxing , plenty chair choose sun . gentle music play nearby . casino great - spend time ' Sports Book ' part bet baseball . have absolute best breakfast sandwhich ' ve ever taste ' Grand Lux Cafe ' - decently price food large portion ! staff helpful check we hold bag walk around wait shuttle bring we airport . overall - A+++++++ definetly stay ! ! 
 Nov 15 2009 	 beautiful crowded hectic ! 	 visit friend casino . room awesome casino floor busy hectic crowd crowd , could wait get ! maybe many convetion weekend busy . place beautiful great location , atmosphere . 
 Nov 15 2009 	 Loved ! ! ! 	 4th time Vegas first time stay Venetian . absolutely love stay ! staff check great , get we quickly even though 6 hour early expect . room fantastic much big expect ( comparison hotel would stay Vegas ) . strip view not bother since spend time strip bathtub .... ( big bathroom way ) . casino vibrant crowd mixed young old like . we able keep food cost fairly cheap good food court selection , lot healthy choice well standard go meal . grand lux cafe casino floor 150 item menu able nice dinner $ 30.the fashion show mall couple block away offer lot good shopping . I definitely go stay next trip absolute favorite hotel , service wise & amp ; price wise ! 
 Nov 14 2009 	 Best Best 	 absolutely gorgeous ! like step Italy ! fine restaurant . Canaletto 's B & amp ; B Ristorante favorite ! shop terrific ! 
 Nov 14 2009 	 Beautiful Hotel 	 oh god , beautiful hotel . it be Suite hotel book standard room , fantastic ! massive room sink living room , big bed lovely marble bathroom , can not imagine room type would like one stun enoughLot 's go hotel hotel Vegas hasn't . join reward program play Casino bit . know already earnt another free night . the pool area fantastic , especially 18 's area , really fun . feel like kind celebrity . would definitely stay ! 
 Nov 14 2009 	 Unbelievable hotel ! ! everything would ever want ! ! 	 first , not listen previous naysayer hotel . probably people & quot ; see glass half empty & quot ; anyway . wife say enough magnificent hotel . service experience first class . right registration desk , concierge , restaurant , shop , casino floor - encounter extremely pleasant helpful . hotel doubt good location strip . room huge awesome bed , pillow bathroom . 3 tv 's one suite boot ! read many review go agree several really need restaurant Grand Lux Cafe hotel . excellent food , great quality , generous portion decent price . eat seveal meal extremely happy . also eat Delmonicos inside hotel really experience ! walgreen right around corner mention several review handy get light snack , water etc . everything hotel Palazzo ( property attach Venetian ) clean well keep . we go three show : & quot ; & quot ; , Jersery Boys Santana . good , & quot ; & quot ; favorite . far previous reviewer complain walk registration desk room far , getting lose etc . - give break ! ! complainer probably & quot ; mouth breather & quot ; need exercise anyway . absolutely good hotel strip - bar none ! unbelievable trip Vegas certainly return Venetian . 
 Nov 13 2009 	 SPECIAL SPECIAL SPECIAL 	 place make feel special . stunning . yes walk fair way room - beautiful interesting walk . even wall window ceiling hotel worth take notice . put together beautifully . room spacious border opulent . check fast efficient . staff always helpful . location superb . really without doubt one interesting hotel strip . fourth trip honestly say good hotel I ve stay . do not miss Jersey Boys - excellent show . do not go Vegas gamble , go shop . never disappoint . love food , love show , love shopping , love America . well place start american holiday Vegas . loud , vulgar , top totally outside box normal life . love love love ! 
 Nov 12 2009 	 Best Hotel strip - fantastic value money 	 stay venetian 06 - 10/10/09 celebrating girlfriend 21st Birthday . arrive long flight Gatwick tired check quick easy , walk across casino floor get lift room . hear horror story regard walk 15 - 20 minute get room take we 5 minute lobby room door . we standard suite mean standard massive bed living area . massive plasma tv bedroom area slightly low level living room also tv bathroom . bathroom two sink , bath shower separate toilet , also little dressing table mirror girlfriend love . there amazing shop casino include David Goliath brilliant souvenir shop . river gondola ride inside hotel painting sky ceiling think outside , ' confusing . also food court shopping area . 2 3 restaurant hotel eat Grand Lux Cafe birthday breakfast girlfriend food nice good value . the lobby sixteenth chapel paint ceiling outside gondolas Venice attraction ( sorry never ' know , impressive ) also Madame Tussauds go . watch Bronx Tale theatre hotel good show . the casino amazing ; size overwhelming ' bet much casino minimum bet $ 25 game . tend go Harrah ' bet lot cheap round corner bet $ 5 $ 10 's mean money last long make fun . food would recommend Planet Hollywood Caesars Palace Outback around corner hotel offer buffet meal prefer sit menu meal . go hotel venetian far well although pay high price term value money well . Grand Canyon must see fountain Bellagio , Volcano Mirage Pirate ship show Treasure Island . also see Beach boy Mariah Carey make stay extra special . would definitely go back Vegas would stay venetian . 
 Nov 11 2009 	 wonderful hotel casino ! 	 husband go Vegas first time stay venetian . great choice turn . moment walk lobby ( grand smell delicious ) moment leave , ws good ! room amazing ... 22 nd floor view pool Venezia strip . bed comfortable , sit area fabulous bathroom .... oh , bathroom ! amazing . enjoy many restaurant never really get lose many other seem . not find walk casino elevator far . try breakfast Bouchon 's ! strawberry croissant like nothing ' ve taste . wnt Hoover Dam Fremont St. great different way . not let negative review bother ... hotel well ! 
 Nov 11 2009 	 bestttt hotel ever pleasure stay 	 LOVED hotel much decide go short month . everything conveniently close , seriously seem like hotel right middle everything good Vegas Strip . lobby fantastic , take million picture . like good security place , random people come room without room card , great . great deal get room also , absolutely fall love decor suite . thing think really good free water etc lol ... place item soon remove , automatically charge .... sooo not use . wish place sign card detail floor plan level know get ice first night . besides loved hotel would recommend everyone . walgreen close , low level not worry spend insane amount money little snack water . fact convince 3 people go hahaha ... also go Phantom Opera second night , BRILLIANT ! ! ! could not believe fast change scene effect great . 
 Nov 11 2009 	 amore ! 	 long weekend stay leave we make mental note stay venetian again . the complex nice walk ... beautiful walk every single time room nuts ! convenient get anywhere back forth room . worth price pay ... mention add $ 15.00 per night stay spa use not find check . bathroom good part suite ... double sink , separate roman tub glass shower . suite poor lighting couch sit area look old worn . number concierge booth ... always wait least 10 minute line speak one . buy ticket see David Spade show seat chart & quot ; section leave & quot ; , happen expensive section . get show , whole section less price seat gap empty seat . casino okay .... long time wait hostess service . regretting stay somewhere else . 
 Nov 11 2009 	 Love room bed pillow bathroom location restaurant 	 2nd trip can not wait go back . pool gorgeous , room opulent good room ' ve ever stay . ton restaurant club pick . shop hotel awesome walk across street Fashion Show Mall Caesar 's Forum Shoppes . everything could want ! 
 Nov 10 2009 	 Planes Trains Automobiles 	 visit highly tout Venetian another couple weekend getaway . disappoint service receive hotel staff . stay many hotel Vegas , MGM Grand , New York New York , Bellagio , Treasure Island . anything ask hotel additional cost room . simply ask additional glass going cost we $ 8.00 glass ( yes right , borrow glass hotel ) . play many hour casino , stretch would see server gaming table hour . wait line check hotel 1 hour ! plane , Trains Automobiles take get room . casino walk across entire hotel FIRST bank elevator , another reception area , walk ( kid quarter half mile least ) another bank elevator take room floor . walk room . take nearly 10 minute get casino room . make never want leave go room . stay casino spend money . bright note food good , waiter last night hotel lot good end one would even hire people meet . room nice expect , still worth $ 250 + night . FYI - Plug nose walk , use artificial smell pungent enough make sneeze gag . 4 us nasal problem end trip . 
 Nov 10 2009 	 see well day poor value 	 much positive say , unfortunately . poor value money compare offer Wynn / Encore , still beautiful Bellagio . location suit , close Fashion Show Mall , Forum Shops , Via Bellagio Boutiques shop Wynn . venetian hotel stay first visit LV , re - visit nostalgia . book King bed suite , find talk upgrade pool view check . room 25th floor , figured view nice . instead find stare two crane work unfinished section Palazzo . also realise pool view great shake , unless want spend time room day , look window . Vegas really fantastic Strip night . the furnishing dark , heavy bit oppressive , particularly combine poor lighting . even light ( include light cupboard ) still feel though eye sight go . little thing really - separately great problem , combination one kind feel enthusiasm lacking . cupboard door warp jamming , silicone sealant bathroom curl away marble tiling , battery need replace tv remote , wobbly tap , switch etc . towel robe exactly generously cut ( ' m fat ) , move walkway work - general impression money save cut back maintenance luxury touch . bit depressing , really . slot tight gnat 's backside , pipe music public area way intrusive , offensive synthetic aroma everywhere vile . day three could not stop sneeze , nose start blee . Grand Canal shop restaurant , live string trio serenade diner , poor musician compete loud pipe music . breakfast buffet Grand Luxe Cafe boring , except fresh fruit selection . daily resort fee ( - punishment stay ? ? ) supposedly include newspaper , collect desk near ground floor escalator , never open time leave hotel day . really super Halloween weekend , stay elsewhere next time . 
 Nov 9 2009 	 memorable last detail 	 ' quite since ' write one infamous Las Vegas escapade , seem like good time . lady packed hit ride probably special trip ' take Las Vegas . time beautiful Venetian Resort Casino ! good thing trip able keep secret girl last second . ' find turn Las Vegas BLVD venetian Parking structure ! needless say … she happy ! might well around hotel ' ever stay . aside ambience place let ' forget continent ' , price agreeable . ' type traveler ' always look deal , pay little extra definitely pay end . pay hotel , end save transportation , parking , even amenity , ' right ! really reason we leave hotel , get see strip . venetian offer food drink accommodate budget , good show around right site ' one well spa ' ever encounter Las Vegas . walk Grand Canal Shopping area visual wonder . whole area make people watch , enjoy nice glass wine coffee , sit bench admire sky paint ceiling neighboring work art paper plaza . one favorite way spend free time St Mark ' Square . ' replica real one Venice … minus pigeon . , Venetian Trio entertain crowd play music interact audience . ' always friendly ' pressure leave tip , however ' resist leave money every time walk through . the room incredible ! hotel all - suite , ' thing bad room . get basic luxury suite impress . king size bed comfortable pillow ' ever sleep , sink living room sectional sofa work station , marble bathroom tub big enough two separate glass enclose shower area mention … three flat screen television set ! need say ? perfect last detail . good thing everything need either hotel close , never want leave room . if ' look one kind hotel experience ; whether ' family , ' lover , fly solo , Venetian get number . 
 Nov 9 2009 	 Best Bathrooms everbig roomsvery comfy . 	 everything great.only thing bother cigarette smell 's Vegas . much do . we excellent stay . 
 Nov 9 2009 	 Best Hotel ever 	 hotel breathtaking . staff friendly . suite great , awesome view . complaint ...... alot people mill around casino try get lobby . know everyone look hotel , make guest go around people time . complaint night volcano mirage go every hour till like 11 pm , neat look window watch volcano . , would stay , awesome trip ! ! 
 Nov 8 2009 	 spacious ! 	 ' ve stay venetian time friend . great place stay go large group friend room suite . 2 queen bed well fold couch spacious . addition , bathroom nice 2 sink . good thing nice light makeup / vanity area . would highly recommend stay Veneitan . 
 Nov 7 2009 	 wonderful room ! 	 absolutely gorgeous room . huge , clean , modern , comfortable . could improve view , although look mountain get wonderful sunrise morning . only short walk casino elevator . have lovely manicure salon , wish have time massage spa look invite . 
 Nov 7 2009 	 great location big room italy twist family 	 stay son friend another hotel birthday . like hotel paper get big type room price . could get hotel via 2nd floor shop without go smoky casino son great . review may worth read go kid write way . lot eat opportunity would recommend tinteretto bakery dal toro breakfast . bit confusing start palazzo ventian join casino shop seem blend one . & quot ; first & quot ; bar / restaurant intermittent service , good view pirate show night time . hear quite alot noise neighbour couple night , wall thickest .. swim pool 4th floor get awful lot sun afternoon although heat , get freeze quick dash room warm . vegas complete sin city people kid . & quot ; lady rent & quot ; card flicker strip near planet hollywood , sign near we . great game arcade pay front play , near MGM , gameswork , world . also grand canyon . shopping opportunity great , include Town Square mall , , appear guide book mention rep small kid play area tree house , slide , maze water play area ( open cold ! ! ) among shop . tuscan brio grille great lunch stop bit noisy next airport . nice take son look statue luxor , eiffel tower , pirate show etc cost nothing . stay venetian get give $ 25 slot credit turn $ 40 , money gondola ride madame tussaud . husband recommend harrahs blackjack low table price friendly croupier . usual story move anything mini bar get charge can not store anything else fridge , walgreen bottom palazzo get really cheap bottle water , coke etc . not use mini bar . fashion show mall across road reasonable food court . airport return journey really naff . international terminal tiny shuttle bus take domestic terminal slightly well . 
 Nov 7 2009 	 dream vacation come true 	 arrivng , ask want upgrade update room . pass wewere send Venenzia wing , floor 2 . room ! ! ! love old world decor andit mint new condition . imagine beautiful room glad pass offer pay contemporary decor . bath large14x12 marble delight . Venenzia garden pool slice heaven multiplepools foutain heat water- separate garden design . abeautiful get - away . 
 Nov 6 2009 	 Viva ! 	 Fun , clean , exciting , great pool massive room . lot see hotel - show ( Jersey Boys fab ) , shop , restaurant , casino indoor canal . location right centre strip - amazing ! ! 
 Nov 5 2009 	 go back sleep 	 Big Nice etc Vegas hotel category room DARK ( hub cap etc amenity soap smell bad ) not book web site charge twice lot arguing effort make refund you . location good , hotel busy ( specially convention ) , room big ( dark ) hear happen corridor , pool nice sunny 3.30 .... would say , stay somewhere else come dinner visit dinner Grand canal ... sure FAMILY hotel 
 Nov 5 2009 	 large comfortable room - base park visit 	 ' ve stay twice venetian .. use base drive destination ( Death Valley , Grand Canyon , Red Rock Canyon , Hoover Dam , etc . ) . be gambler actually hate walk mess people crowd Strip outside hotel not go outside anything . plenty food option right venetian - good coffee decent pastry downstairs Buchon stand foot elevator lobby Grand Lux restaurant extensive menu ( include good fresh salad ) reasonably price ( top - shelf martini $ 16 ! ) . like one nice dinner time be Vegas . Buchon ( restaurant ) disappoint , Delmonico 's great ( pricey ) . must try crab cake .. bone - in rib eye steak big enough two us share . what be great hotel ? be locate near end strip 's less traffic weave try get town 's fee parking car ( think 's tacky hotel charge fee ) . however , since garage cavernous maze ( exaggeration ) , opt valet parking carhop find car need drive somewhere day . tip worth avoid hassle walk almost mile try find car leave ! staff always great we .. see sometimes guest may drunk , unreasonably demanding , beyond ill - mannered ( hence complaint hotel ) . leave tip housekeeper request anything additional need : soap , extra towel , shampoo , etc . respect beget respect ( good treatment ) return . large , clean room big , big bathroom , automatic drape , comfortable bed nice comforter 3 tv ! fight program want watch .. ever . get free internet access sign Club Grazie membership give slot play money use . mention not gambler ? take we figure use cash card slot machine ! since hotel one large Vegas , wait car checking room take awhile .. long line . yes , note perfume pump hvac system 's overpower ( ' m sensitive odor / fume ) prefer cigarette smoke odor . will back , sure . never want go home ' m stay .. , alas , responsibility . 
 Nov 5 2009 	 wedding Venetian 	 go venetian week grat time . wedding great , atmosphere awesom , stuff friendly . one thing - photo quality wedding could well : ) go to come friend great time together ! ! ! 
 Nov 4 2009 	 large busy interesting perfumed air Hmmmm ! 	 stay lot hotel business reason hotel room hotel room . say wife want stay one famous hotels strip experience happy stay . well appoint room separate low level lounge.area three flatscreen tv . free wireless internet . huge bathroom . excitement strip . great pool area inside . free parking . issue cloy perfume smell air . maybe guest appreciate one speak , come UK smoking ban public area casino area surprise . Expensive 's expect hotel . oh thank unhelpful Grazie card desk . queue 30 minute get free $ 50 card . find would not work go use later night . another 30 minute queue replacement tell could not issue rone without I d . even though obviously provide i d original . issue . could not bother queue never get working card thank nothing Marina ! 
 Nov 4 2009 	 Sparkle smile 	 hotel large personal service lacking . reservation / reception staff busy helpful . can not accomodation staff say good morning pass ? room good clean well everyday . one issue room coffee / tea make facility . fact every extra chargeable - internet access , gym etc Casino good staff helpful 
 Nov 3 2009 	 Great Hotel 	 stay 26th-31st Oct . standard room large King bed sofa bed 11 year old son . tip bring travel kettle none provide long walk morning coffee , hotel provide shuttle bus airport $ 6 per person ( airport ) . mini bar expensive get drink Walgreens Venetian Pallazio , alcohol ABC store fashion show mall close opposite Wynn . enjoy hotel , visit . great Grand Canyon South rim trip Grand Adventures . 
