spend 	 stay wife anniversary . check upgrade harbor - view room , find chocolate wait us & quot ; happy anniversary & quot ; note ( tell special occasion make reservation ) . room spacious , spotless , look brand new , quiet - could hear noise room hallway . hotel quiet weekend - 's busy week weekend 's nice place get away . dine hotel 's restaurant pleasantly surprised get free dessert account special occasion - front desk communicate restaurant anniversary . think nice touch . room service breakfast next morning overlook statue liberty ellis island perfect way start day . highly recommend . 
 Jun 29 2009 	 quiet oasis beautiful view . 	 pick hotel part New York visit -- Battery Park -- want place nice view enjoy quiet stay day mid - town . perfect choice . hotel beautiful . large room comfortable bed chair nice desk . bathroom large separate shower ( large ) bathtub . room view Statue Liberty -- nice . come telescope ; although never quite figured focus properly , nice touch . staff friendly generally helpful , although one around help lug heavy suitcase dozen stair curb taxi drop hotel entry door ( open automatically ) ( check find ramp right door , hide little wall way ) . food serve restaurant room service delicious prepare pay lot -- charge american breakfast ( 2 egg , toast , bacon ) $ 34 . ( walk along waterfront right eventually come shop find nice diner - like place breakfast day 2 . ) hand , room rate reasonable ( much less Central Park Ritz - Carlton ) . great hotel although plan one - time experience can not wait excuse get back New York another stay hotel . 
 Jun 29 2009 	 great ! 	 comfortable , quiet . Great Service . 2 double bed 2 adult 10 & amp ; 7 year old good amount room . $ 245+tax Sat night city view . problem distance uptown . close Ferries . 
 Jun 29 2009 	 heaven city 	 know late writing review find wonderful site begin upload stay . stay ritz battery park last june must say one good hotel stay . stay many 5 star hotel around world way there.the staff part wonderfull especially receptionist check we . bad flight airline lose bag stress receptionist upgrade we free charge stunning harbour view room jolly nice , find resturant staff rude teh manager extremely cold standoffish severe attitude problem . wouldent let mark hotel.the room stunning comfy bed fab view new york standard find huge . bathroom lovely . however allocate disabled room nfound taht showered water run bathroom floor . one call reception sort extra towle case .. rise bar wonderfull gym greatall wonderfull stay return 
 May 19 2009 	 Love still 6 visit ! 	 great hotel view statue Liberty room bar top floor . staff attitude concierge also great . stay six time visit New York quite often . modern room clean typical Ritz Carlton feel . would recommend also cheap central park well opinion . visit Century 21 great outlet & amp ; G Versace fraction price ... 
 May 10 2009 	 nice get - away 	 book overnight weekend get - away suburb . nice quiet location tip Manhattan - close enough cab Chinatown party . wonderful run morning along water / garden / sailboat . clean , quiet , sunny neighborhood . harbor - view king room - clean , contemporary , overlook water , comfortable bed , lighting , marble bathroom Bulgari toiletry ... comfortable , bright airy . would recommend hotel directory room ... not sure bar upstairs drink , time breakfast , etc . service friendly , other mention , polished one might expect Ritz Carlton . restaurant downstairs convenient 6 pm appetizer ( cheese plate w / chutney / honey / quince jam ) + glass wine ... breakfast next morning ... need make ... decor feel dark / tired location close water . ... overall , wonderful stay great get - away we . would definitely return . 
 Apr 27 2009 	 3 Star Hotel ...... 	 come back 3 night hotel disappoint . bar 14th floor close ! ! ! , menu restaruant poor , expensive New York steak menu full fat . try room service burger chip bottle wine ... good cost £ 100 + ! ! ! 3 star pay £ 50 - £ 100 night would say ok , % star cost £ 750 3 nigts ! ! ! Battery Park area nice clean , view room ( 9th floor ) nice , air con great . 
 Apr 22 2009 	 dissapointing 	 stay Ritz - Carlton Battery Park ( April 2009 ) , find level service close Ritz - Carltons . room nice , tv flat screen work well . not always turn service card show weather next day . chase hotel staff get enough shampoo since two we . addition , water hard come . fact , make trip Fitness Center water night - hardly something spend $ 330 / night hotel . 
 Apr 21 2009 	 great location . costly though 	 Ritz Carlton Battery Park New York expensive . although great , quiet location , New York sure worth . feel up - market price . think overall one pay location , less frantic New York experience stunning view . with average cost around $ 450 ( taxis add another $ 60 cost ) , expect hotel reek style general sophistication specialness . Ritz Carlton feel , hard work should . on positive side : · great location right Battery Park , near boat go Statue Liberty Ellis Island . mean quiet , almost forget New York . use uptown busy , noisy rush . calm room quiet . · décor stylish . nicely done refurbish even though open 7 year . nice touch beautiful wallpaper , trendy lamp such . · room , New York especially , large . great size fact . bed huge , comfortable . the · get room stunning view across Statute Liberty , though cost premium . room view look onto residence building . club level , get access Club Lounge beautiful view across river . lounge renovate instead 11th floor 8th . also quiet air - conditioning ever come across . huge plus hate noise often sleep air - con quiet leave on . · staff efficient helpful · fitness center 14th floor good size , good range modern equipment . I like stay , hard see good value . great treat ! one issue get itchy skin go left , sure something like bed bug contact hotel . 
 Apr 20 2009 	 Good Value like Battery Park Location 	 spend Easter weekend Property large family group include 5 young child . enjoy location Hotel find easy get around , use cab Subway . opt old - style suite ( hotel refurbishing room low floor ) 12th floor magnificent view Harbor city . family member stay just - refurbish room quite modern style . marble bathroom throughout seem unchanged spacious luxurious . hotel comfortable staff friendly child , appreciate . not give high rating thought Staff , though always willing assist seek , offer personalized service consider hallmark true luxury property . Guest Reception Team resolve room issue check - in pleasant efficiency . choose Club Suite Hotel process renovate Club Lounge . interim Lounge adequate see Club Concierge present , note Ritz Carlton property . information provide we regard time food presentation Lounge , initially inconvenient . locate floor Club Lounge , fine since probably receive well view room . offering Lounge average . think Club Lounge property Washington DC far superior . we excellent dinner 2 West Restaurant . room service prompt food quality satisfactory . I say find Housekeeping excellent Hotel . Suite always well clean service convenient hour . all , good stay decent value NYC . would definitely return recommend Hotel family . 
 Apr 14 2009 	 great hotel NY 	 stay one night weekend getaway March . book club room . room good fantastic view Statue Liberty Ellis Island . telescope room though . club lounge wonderful food spend evening sip champagne relaxing . subway close battery park , take uptown need go . want relax visit stay around battery park perfect we . lobby impressive Ritz Carltons stay . also get charge card check item use room , promptly refund call hotel . 
 Apr 14 2009 	 wonderful trip wonderful city ! 	 husband book week 's stay Ritz Carlton 40th Birthday , previously New York Honeymoon fall love city . return year 5 year old , Daniel , love ! hotel lovely staff , always meet we friendly smile greeting . we would highly recommend Zaytuna Deli block away Hotel , wonderful breakfast ( husband love apple fritter ) late night pizza peckish hard day sightseeing shopping . I would love return Christmas Shopping December , be hope ! 
 Apr 13 2009 	 good hotel experience 	 Ritz Carlton Batery Park family New Year 's 2008 - 2009 . hotel enjoyable , although would expect Ritz . lobby ok , altough rather small , room good , bed good , comfortable ! room clean bathroom large nice . expect staff friendly honestly , can not say rude either . hotel definetly close city centre , be close finantial district access subway system close . 's quiet neighbourhood walk night much worry . new year 's great not want go time square , go watch firework river . overall good stay , regret . 
 Apr 6 2009 	 Nice Property middle nowhere ... 	 never think one could feel way NYC , exactly location hotel feel like . 20 minute 20 dollar cab midtown . short walk Staten Island ferry financial district / wtc beyond dining option bar within walking distance . want feel isolate Manhattan , place . love feel city property remote taste . hotel nice fairly standard issue Ritz . check seamless handle well despite arrival noon . Suite upgrade offer need two bed get club level upgrade instead . room typical Ritz nothing , nothing less . Carpet either weird color soil . sure . due club level upgrade city view telescope / statute liberty view . coffee shop breakfast ok . try go view lounge close Friday evening private party . much save access hotel guest . Doormen helpful professional housekeeping staff . 
 Mar 22 2009 	 Quiet Location Right Rooms 	 stay one night March business . room view water top floor , quiet -- also hall noise , good . room smallish size ( unusual chain ) , bathroom one sink , separate tub shower . wall paper little old -- overall decor O.K . exceptional . service great , although not use much . restaurant close reasonably early , although 24 hour room service . 
 Mar 20 2009 	 horrible Hotel 	 hotel bad capital & quot ; B & quot ; ! room clean , staff rude , concierge mean , noisy . good thing could see Statue Liberty room . concierge tell we good restaurant across street . turn , restaurant noisy , smelly , hot , crowded , expensive wait hour fir food turn gross . not go ! 
 Mar 8 2009 	 good hotel ever 	 stay Ritz Carlton 4 night . room overlook Statue Liberty , exclusive invitiation Executive Lounge 11th floor . experience ! ! 4th stay New York area new we ( usually stay Manhattan ) . location fine , near Wall Street metro one block away . service receive good , warm welcoming . 
 Mar 1 2009 	 always great experience Battery Park RC 	 little far downtown some- love location short subway ride midtown , short walk Wall Street downtown . view fantastic food always excellent . stay several time experience always same- great . really like art deco decor low floor / common room . & quot ; Rise & quot ; lounge / bar top floor get little hectic people evening view skyline / statue liberty / light horizon , worth trip anyway . 
 Feb 18 2009 	 lovely view Lady Liberty 	 Ritz Battery Park great launch point tour Statue Liberty , Ellis Island , Museum American Indian Holocaust Museum . room spacious , Manhattan , telescope view harbor . rooftop bar cool stunning view . family friendly hotel staff friendly many child stay weekend visit . 
 Feb 15 2009 	 mixed Bag 	 draw hotel 's weekend package include dinner breakfast , pleased find room available Valentine 's Day weekend . there be lot like property . service , largely , impeccable . upgrade , promise harbor view room stunning view Statue Liberty telescope see even well . room simple nicely do bed , cover Frette linen , could not comfortable . Ritz disappoint two front : appaule room service rate / fee ( example : pot coffee one : $ 9 + $ 10 delivery + 18 % gratuity = insanity ) , lackluster dining room experience . dinner menu limited & quot ; concepty & quot ; ( choose meat , choose sauce , hope good ) result mediocre . breakfast buffet lovely , midway meal , waiter disappear never see . 
 Feb 7 2009 	 great place relax escape tourist atmosphere Midtown 	 spend four day midtown Manhattan see attraction , want get away hectic tourist fray Central Park relax New York Harbor / explore low Manhattan . know expect , really ideal place : well place stay low Manhattan . hotel certainly significant shortcoming note TripAdviser , come spectacular view , would wholeheartedly stay . even though experience well accommodation Ritz Carlton ' ( stay several lifetime ) , unique location hotel make stay worthwhile . ROOM : room nicely appoint seem pretty non - descript term décor . city view room $ 325 per night , think pretty good value . even though hotel open 2002 , carpet furnishing start show slight aging . television flat screen certainly small side . stay two Hampton Inns flat screen tv ' North Carolina , certainly time upgrade ! however , positive note , bed bathroom do typical Ritz Carlton style . bathroom feature separate walk shower , deep soak tub , course load marble . expect , bed Frette linen , feather duvet , ext . quality room certainly poor , actually well average , consensus room need renovation . service : service courteous time concierge helpful booking attraction restaurant , service ' meet expectation consider hear . happen Ritz Kids cold milk fresh cookie kid upon arrival ? happen Teddy Bears turn service ? perk provide guest hotel open since phase . lack make service Ritz Carlton Battery Park poor , per se , disappoint advertised hotel open . also service rise Bar unusually slow housekeeping could inconsistent time . overall staff friendly helpful slightly quality service experience Ritz Carlton ' . dining : eat hotel restaurant , 2 West , hear well option area . well restaurant within walking distance , eat Tribeca / Soho / Greenwich village . dinner , eat Aguagrill Soho , Nobu Tribeca , Babbo Greenwich Village , spectacular experience . seafood , japanese , italian respectively , well option city . breakfast , recommend eat french brasserie Balthazar , commonly rate one top brunch city . case hotel restaurant well ( see Dining Room Ritz Carlton Buckhead ) , case . Zagat AAA rate 2 West caliber Ritz Carlton restaurant . however , rise Bar great experience . however , ' odd closed outdoor terrace night safety reason . located top floor expansive view New York Harbor Statue Liberty , ' image well location bar city . certainly rival central park view Mandarin Oriental Midtown . ' even see Spa . also ' pool odd . overall : without doubt , Ritz Carlton Battery Park good alternative look get away hustle bustle tourist area . even though isolate much attraction , still able explore Chinatown , Little Italy , Ground Zero , World Financial Center , Ellis Island , Statue Liberty . going explore New York City , recommend explore low Manhattan addition Midtown . comparison five diamond hotel city , Ritz Carlton Battery Park substantially cheap ( we , $ 300 per night cheap ) . part hotel need quick renovation lobby bit small , still live Ritz Carlton name way . 
 Feb 4 2009 	 luxury new york 	 wife stay Ritz Carlton one night Christmas holiday . since previously stay another Ritz Carlton , hotel upgrade we suite . terrific . view harbor statue liberty room telescope . also room service excellent . get lot money hotel , probably since locate far Midtown , location provide peace quiet . subway close anyway . stay . 
 Jan 25 2009 	 Best Downtown 	 love Ritz Battery Park ! first , be five - star way , outstanding accommodation staff . second , relative insanely overprice Manhattan hotel market , Ritz frequently bargain . third , love downtown location . kid type formal vacation , might want downtown ( be obviously wonderful Ritz near Park , ) , ' ve live / work NYC , typically spend day two ' m back -- be easy get downtown airport easy leave , 's great spot ' ve get business day , be 10 - 15 min taxi dinner drink Midtown Village able head back genuine quiet night . mind , 's unbeatable combination , will keep come back . 
 Jan 24 2009 	 wonderful Getaway 	 arrive New York overcast day . valet checkin fair . take room prepared ( extra 45 minute ) time luggage take car upon arrival bellman . offer room floor club level however , rush time relaxed club level lounge . staff club lounge attentive club concierge staff helpful take care request . our room overlook Statue Liberty Ellis Island . lovely backdrop sunset . food original tasty club level . service go excellent good occasion , would definately recommend hotel anyone stay downtown . respond concern cab fare midtown , money save versus comparable hotel midtown make cost cab ride . 
 Jan 15 2009 	 Best Choice Downtown 	 start stay Ritz Carlton , Battery Park business recently real treat . name indicate , hotel Battery Park low tip Manhattan , convenient walk financial district ( 15 minute ) ferry Statue Liberty Ellis Island , . fairly isolate picking slim restaurant . say , need stay Manhattan beautiful hotel . not sure hotel build , seem new room reflect . time stay spacious room ( one small one ) large bathroom enough room comfortably work , dinner relax . service hotel amazing , everyone encounter could enough help / assist anything need . facility extremely well run . downside health club , one small room probably 20 piece exercise equipment . sauna , Jacuzzi amenity . the bottom line , need stay low Manhattan , opportunity choose Ritz completely different league hotel nearby ( Hilton Millennium , Embassy Suites Marriott ) . 
 Jan 15 2009 	 Great Staycation ! 	 book one night staycation celebrate love 30th birthday . originally book regular room decide edit reservation upgrade club level ... good decision ever . much fun , receive great attention fantastic staff even special treat room birthday . Ritz really get game . 
 Dec 27 2008 	 lovely 	 stay hotel summer three night . friend stay suite . check - in be not smooth would like staff friendly . our luggage take upstairs porter nice they . the room lovely spacious lovely view toiletry bedroom excellent - bvlgari brand . excellent location right next statue liberty , bar restaurant . service good staff friendly be not personal guest although probably big hotel . love alot maybe little prentencious 
 Dec 6 2008 	 customer sv great ! 	 Unfort , hubby tough year health front . 2 hospitalization check Ritz Carlton , BPC time ( actually live NYC ) .The staff front desk could amazing . idea must look bit tired , etc . incredibly gracious give we wonderful upgrade . breakfast deelish , view Lady Liberty beautiful bed really comfy ! peole suggest hotel need update . stay suite sure standard room look like really quite lovely . think quality high end hotel would def go back . not brand spank new super imp another hotel may suit need bit well - still , though , 4S RC 's lot tired . I think pay around $ 15 per day internet svs agree w poster : ridiculous pay wifi . I think front desk mng MIKE AMAZING ! gentleman take room sv order everyday super accommodate diet restriction doc recommend . past yrs stay variety FS , Cap Juluca , Sandy Lane Ritz BPC gracious staff . 
