loved 	 reach hotel stay 3 night stay good receive good service . 
 Jul 1 2009 	 1 star room 5 star price 	 stay conference.this hotel joke , price roof room terrible state : small , hardly place walk around bed , tv must see 80 's , old.the bathroom top everything : tub clog , washbasin.the toilet must build giant , sorry give graphic detail hardly stay sit position design high.nothing work , call several time fix internet connection wait forever get done.and hear day long : & quot ; sorry , sorry & quot ; way hotel give 5 star , joke.the so - call fitness center : so - call . 
 Jul 1 2009 	 Top Notch Hotel 	 great place stay . one night leave airport , be beautiful place . lobby huge , three restaurant , bar , mini - golf course back , nice pool , safe , room huge comfortable , staff friendly . ' m sure pay since book private tour , ' m assume lot ... 
 Jun 27 2009 	 HOTEL TOP QUALITY service AREAS 	 wife spend nearly two week Delhi attend friend 's wedding , locate partly Taj Palace partly Oberoi Hotel . despite marbled opulence Oberoi , feel Taj Palace possess warm personal ambience , high level attentive cheerful customer service . the Tea Room absolute delight take typically english afternoon tea cake ( although ninety two variety tea offer bafflingly large . ) Orient Express fantastic dinner menu serve luxurious setting , although three modestly price eat option within hotel suit every taste size pocket . the bathroom could possibly benefit refurbishment / upgrade judge high level , otherwise room spacious well serviced . our final transfer airport potentially mar non arrival outside taxi booking , friendly helpful hotel concierge organise replacement vehicle literally within minute , also contact airport put we fast track ticket priority make flight minute spare . tremendous service high order . 
 Jun 18 2009 	 great hotel 	 like stay ... overall experience excellent ... staff ... think stick feature spacious hotel room total area ... 
 Jun 13 2009 	 exquisite hotel countless amenity fabulous service ! 	 husband delight stay Taj Palace Delhi . everything room comfort cleanliness food , service amenity concierge even medical care , exceed expectation . husband get sick fever upset stomach toward end stay . hotel send doctor room within hour , conduct thorough check - up , make assessment provide we numerous option resource husband require attention . doctor predict , husband , hydrate eat khichri ( recommend doctor ) , well follow day , could enjoy rest trip outside hotel room . wish sickness upon one ( especially travel ) rest assure event well take care Taj Palace Delhi . 
 Jun 13 2009 	 love arrangement 	 hotel good ambience . cooperativeness hotel staff good . food hotel good quite bit varitety food . however veg food could well . 
 Jun 12 2009 	 Comfortable Stay 	 nice ambience specially green view room . food excellent 
 Jun 9 2009 	 Taj become addiction 	 locate heart city . hotel well connect airport important location one go see around Delhi . if wish indulge nice western cuisine ... try Orient Express locate hotel lobby . restaurant feature actual dining car famous Orient Express train . 
 Jun 8 2009 	 Great Hotel costly one day business trip 	 great hotel , good class luckily get mini - executive room free wine , chocolate room view . but hotel rate expensive peak period one day business trip costly company . but good place hotel Delhi , doubt.ciaoronak 
 Jun 8 2009 	 late night arrival 	 arrive late evening , long , tiring day Taj Palace , New Delhi . check pronto . also pleasantly surprised upgrade Club Lounge concierge club lounge continental food lay day . the club lounge also good location business discussion nibble meal , depend upon time day . the service , Taj property incredible . get use pamper receive Taj property India , would hate stay elsewhere . property brilliantly locate work . indeed beautiful property replete one could ask , shopping fitness / relaxation relate faciliitie . regret almost visit hotel see get hotel late evening - enough time hit sack leave early morning . pool lovely luxurious . 's someone beck call every need whilst pool , include lay titbit drink , need one . restaurant greatThe facility lag behind term facility . main shortcoming room easy get short notice . however , thank current slowdown , issue stands address . 
 Jun 6 2009 	 Excellent Service 	 return Delhi trip last week stay Taj Palace . I must say service truly excellent . though must share room 3rd floor still look ( though good condition still & amp ; well maintain ) stay 1990'sthey could renovation . the Orient Express Resturant excellent , coffee shop ( could renovation ) . Masala Art - indian resturant well .. food good , decor need 100 % change - par & quot ; taj standard & quot ; .Got laundry back 3 hour , well do ! overall must say value money , service truly excellent .. 
 Jun 4 2009 	 Taj Club - wow experience ! ! 	 2nd visit Taj Palace & amp ; enrol program give Club room stay . usual check process breeze documentation 2nd stay ... hostess come till room explain everything make comfortable . dinner alone room & amp ; room service give option go non veg spaghetti meal come time mention & amp ; yum ! ! ! meal right night meal heavy do not like anyway ...... ( hotel do not actually look & amp ; guess matter getting know customer well ) last time decide take walk next day morning time decide try gym , manager courteous well help everything & amp ; end workout even tell try spa ( service complimentary ) unfortunately could not rush work . breakfast elaborate one good range food come across & amp ; even friend join could not help go eat look range . checkout perfect hardly minute sort bill . Great & amp ; needless say property come back next time Delhi . 
 Jun 3 2009 	 great service 	 great service 
 Jun 3 2009 	 LOVED good FRAGRANCE 	 Fantastic Accomodation Leisure & amp ; business . Pools Marvolous . Hotel Clean Decor simply great . room Cosy Modern gadget provide great Time . 
 May 28 2009 	 Wonderful Palace 	 Taj Palace luxurious hotel facility present grand fashion . wonderful experience family . food excellent serve well - room service perfect appreciated guest . love beautiful ambience cusine . 
 may 25 2009 	 Power Bad Habit 	 writing document power bad habit sheer inertia . may agree might sympathise . stay Taj Palace maybe decade , mostly one two night . the good part location , around 15 minute dirve domestic airport , would award 9/10 . 's unfortunately end pay premium for . the good news end . room average ( except Club room shade well ) touch since perhaps 1995 . toilet , faucet , shower instal construction touch since . maybe faucet change five year ago . go carpet overall room upholstery . the room faint musty smell walk stay way hour . air conditioner usually rattle , least case several occasion . sometimes rattle turn high low . first half hour spend try fix everything one 's requirement . arrive 10.30 pm night long day easy thing do . there customer recognition speak . Taj Group , testify court , bad loyalty programme apology customer connect . fresh fruit greet return guest , even half - hearted attempt recognition , nothing . fair , Taj Hotel property well . obviously problem get bad see pay get . five - star price three three half star feel service . restaurant similar , untouched , un renovate feel . breakfast okay , nothing indicate anything special . yet , end stay time . business traveller , still okay . wait good alternative close proximity . sure come . 
 may 25 2009 	 Excellent overprice like Delhi 5 * hotel 	 like mid town cousin , hotel price around 20 min centre city . service excellent afford average room 20000 night . 
 May 16 2009 	 top quality hotel 	 really impress hotel . 's top notch : really friendly counter restaurant staff . seem gebuiely keen help tip . hotel expensive ( stay buy food ) quality shine . indian restaurant provide good food stay India . 
 May 4 2009 	 Royalty Palace 	 Taj Palace exemplify India 's rich cultural heritage amazing level Service & amp ; Guest Relations typical Taj Group Hotels . the expansive marble lobby Taj Palace impose , room ( specially newly renovate Club Floor ) . one feel Royal , moment one enter stay ( like old Taj Mumbai ) experience . must foreign tourist visit India . more expensive Delhi Hotels , possibly due grandeur location Diplomatic Enclave , one typically cost around US $ 400 per night regular room , Club floor around US $ 600.the room well equip large LCD tv , dvd player , Internet , Bose Stereo & amp ; Bose WorldSpace Radio set . apart customary welcome drink arrival ( in - suite ) , greet flower , fruit basket , cookie & amp ; bottle Chilean Wine . mini - bar well stock , tea / coffee maker . newly renovate bathroom modern fitment ample toileterie . Club Lounge renovate , , invite open bar Verandah , , choicest Wines , Champagne & amp ; Single Malts liberally pour we along delectable hors'de'vour . Chef Coffee Shop prepare excellent Lebanese fare we & amp ; find reasonably price . Tea House August Moon speciality asian restaurant famous Orient Express also continental cuisine & amp ; wine . Excellent Service level . Taj live expectation hospitality . 
 May 3 2009 	 old still ok 	 hotel old world charm , get bit creaky , room large & amp ; airy , carpet floor bad idea . Love LCD TV , installation top old furniture old furniture room bad idea . miss shower cabin , location breakfast still great . 
 Apr 30 2009 	 Coffee Shop outstanding . Ambience Food superb . 	 Taj Palace make 1 - day stay memorable . around , spick - and - span surrounding delightful environment . I happy see security arrangement , like airport . baggage screening frisking , do efficiently . obviously , Housekeeping Room Service flawless . however , facility would want tourist inclusive Transport Service airport . prestigious hotel , easy provide . 
 Apr 29 2009 	 Good Business Hotel 	 good business hotel , locate clsoe airport diplomatic enclave . service ok , would expect good asian bsuiness hotel . bathroom small need update . 
 Apr 29 2009 	 great ambience 	 top rate business hotel . ideally locate , away traffic jam . room big spacious . Taj hotel know courtesy good food . 's really home away home . the Hotel facility sufficient launch product . arragement superb . separate entrance hall really helpfull . 
 Apr 28 2009 	 great food 	 taj great like 5 star . the restaurant call masala art great . from music food performance . great hospitality . due economic slowdown hotel drop rate , cheap stay . 
 Apr 27 2009 	 surround green gardern nice . pool side sitting arrangement . 	 Taj Palace midst beautiful greenary though man make . hang creeper pool side table real treat eye . loved hospitality staff . facility room excellent . 
 Apr 26 2009 	 Standard Taj 	 Delhi city think Taj propertie serious competition other not cut it . this solid business hotel nothing stand besides usual high standard Taj service . the contender Delhi Imperial ( amazing ) Le Meridien Shangri - La also well Taj property . 
 Apr 21 2009 	 stay Taj become expereience . 	 great thing hotel convenient location . easily approachable airport railway station . nice wooded surrounding ... something rarity N.Delhi . itsa 5 star somehow lack amenity service wee bit , one would expect hotel . my experience hotel go way back I m sure much change since then . room service decent .. could bit well . food great .. buffet must try . room decor need little upgradation , something little ostentatious . lobby big open comfort ... much could plan there . all choose neighbour Maurya Sharaton Taj Palace .... i d say Maurya Sheraton would prefer stay . 
 Apr 18 2009 	 Good Service 	 Taj Palace Delhi Hotel frequent . take good care service really great . enjoy hospitality care take . room Club Class wee bit small , like room decent size choose club class . 
 Mar 29 2009 	 Taj Quality poor location 	 nice hotel , good breakfast buffet , 's locate embassy area Delhi , be nothing within walking distance hotel ... boring ! would prefer stay somewhere activity ( cheap ! ) 
 Mar 20 2009 	 good 4 star 	 hotel Delhi , high security exist . hotel close major site , locate diplomatic community , halfway airport central site . however , rooom clean , service excellent , food ( esp breakfast ) superior . real complaint street noise ( horn ) hearable trough window . 
 Feb 20 2009 	 great service though minor flaw 	 grand lobby . fantastic restaurant . great service . average room amenity . hotel staff attentive time . make mistake , would proceed service recovery promptly . minor flaw happen time time , see management commit provide guest maximum comfort . 
 Feb 19 2009 	 Fantastic Hotel excellent service . definitely go back 	 stay Taj Palace Hotel week wife 3 kid . perhaps one good hotel stay travel . room comfortable hotel lobby impressive . Taj hotel know service hotel exception . service restaurant spectacular . chef stop every day ask we food good waiter exceptionally attentive . 
 Feb 12 2009 	 good- upgrade twice ! 	 stay Taj Palace hotel part tour two nights- start trip end . hotel quite grand Taj hotel Mumbai live , still nice . quiet times upgrade club room , fantastic . room plush great views- thing high tech take work use light bath etc ! ! private club breakfast room superb , business lounge excellent , room service excellent love little touch like bring chocolate cake straberrie afternoon ! also , Molten Brown toiletry ... lovely . restaurant fine well food service- friendly . recommend stopover business trip Delhi . 
 Feb 1 2009 	 Fantastic hotel 	 one good hotel stay . room fantastic , staff great . hotel spotlessly clean . 
 Jan 7 2009 	 quite 5 star 	 stay one night enough . strong overpowering smell fragrant oil everywhere . exterior gaudy facade design old paintwork make look tired unappealing . entrance lobby good elevator lead room , gaudy carpet corridor tackily paint wall door require major upgrading job emphasis detail . room 3.5 4 star level . room entrance door cabinet work gloomy need replacement . colour coordination furniture , floor carpet , curtain taste . breakfast okay lavish bright red floor dining area design team ' change room ' tv programme . acceptable place stay price say £ 100 night . 
 Dec 31 2008 	 Nice Hotel pretty average ! 	 stay Taj Palace 2 night . first stop 11 day tour India part honeymoon . hotel New Delhi reside within residential area . feel safe hotel , guard main gate even security staff reception area . tell hotel get lot government official stay there . the lobby lovely look rather impressive large Chandelier . room pretty average would expect standard hotel . feel room stay ( 3rd floor ) little tired could spruce . quite allergic sneeze lot room- sure sign dust lurk . give we bunch red rose also cake congratulate we wedding- nice . service good food restaurant good standard- though case indian hotel pay lot standard . overall pleaseant stay- bad stop hotel . 
 Dec 4 2008 	 love hotel stay enjoy alot 	 Room Amenities : hotel round 100 villa room portuguese - goanese design air condition set beautifully landscape garden . villas elegantly appoint , international direct dial facility , music , cable tv , Room service laundry servicedining : foodie Banyan Tree serve Thai chinese cuisine ; Beach House Continental , indian Goan cuisine Caravela bar . Hotel Facilities : facility provide hotel include fitness centre , swimming pool , indoor outdoor game , travel desk , car rental , shopping arcade , currency exchange , doctor - on - call baby sitting . meeting banquet facility also available 
 Nov 29 2008 	 Nice clubroom reason stay 	 take club room , good buy . newly renovate , beautyfull bathroom , seperate shaower tub , shower rainforrest shower head . black marbel . bed nice , duveet pillow wonderfull . butlerservice come room , check room , fresh juice arrival . club lounge ok , free drink internet . the service italian restaurant always good , clubbenefit , take breakfast lounge . restaurant service sometimes grumpy , sometimes sloppy- time good . food fine . poolarea ok , beautysalon good service . if not club room , reason come back - close airport other .. 
 Nov 27 2008 	 5 star service 5 star price 	 get exactly would expect hotel like . top service , impeccable room , high price . must one well hotel city . the level service fact bit top : someone turn tap public washroom wash hand hand fresh towel ; staff give direction , take way want go ; reception , offer something eat drink every thirty second , make almost impossible hold conversation anyone ; everybody greet , even worker paint hall , etc . day , could barely take anymore . hardly complain , guess . bed sheet wonderful ; room , impeccably clean . main indian restaurant great food , highly recommend . european restaurant breakfast serve . always indian food available breakfast great . rest breakfast fine , extraordinary . location great . hard walk anywhere interesting . taxis cheap readily available time , make easy go somewhere . no surprise price either : expensive . my meeting hotel four day , much choice . sure would come back though though . think everything bite much taste . something little casual might feel bit real . 
 Nov 17 2008 	 expomania 	 taj palace delhi exotic hotel luxurious facility one even wonder spa , gym swimming pool . restaraunt offer multi - cuisine buffet delicious dish around world . attractive ambience place keep adhere would surely make stay would ave expect . 
 Nov 11 2008 	 great really 	 stay twice Taj Palace two day time Nov 2008 . ordinary room third floor . room ok nothing special . rate room 19000 night plus [ considerable ] taxis - that s expensive anywhere get here . the hotel middle diplomatic enclave armed troop security guard everywhere . long way place go eat . find service like reviewer bite attentive , start get nerve though staff nice little & quot ; give tip & quot ; orient . the food poor say terrible . try Indian Restaurant bad expensive indian meal month India . pappadum example dry tastless biryanni . the buffet breakfast average standard hotel - special touch find similarly price hotel . run everything [ grill tomato example ] time take forever 10 request fill dish back . good luck want egg breakfast - three staff stand front egg chef fill form try - seem get member waiting staff get egg ignore stand there . we try restaurant night buffet meal - cook main course order . breakfast completely chaotic . idea suppose serve . knife fork nowhere see mostly miss table . waiter & quot ; clean & quot ; table give use stained place mat ignore crumbs bit food lay surface . myriad layer different kind waiter watch completey unfaze take cloth clean table myself . we order main course specifically mild . came make hot mexican dish seem like milk shake - mind blowingly spicy . lamb dish come straggly little bit meat lot little bone - really truly awful food . we offer replacement dish say could eat main course . order rissotto prawn microwave point explosion make prawn like bit car tyre wife call french onion soup thin small . the raita worst taste India - chutney spicy pappadum . all poor l food chaotic untrained service .. book hotels flagship restaurant replica carriage Orient Express name . $ 100 head minimum experience rest food 6 meal bad cancel booking . bar service equally bizarre annoying . nice seating area outside reception.near pool area . sit ask diet tonic G 's full fat sweet full calorie . . ok two Bacardis diet coke please . five minute later waiter come back say could serve drink . offer we whisky brandy wine claim thay allow serve bacardi coke - would move indoors Orient Express bar obtain drink . want drink inside bar ac set Alaska level freeze cold pleasant evening outdoors . earth waiter could go get we drink serve sat never explain . speak one hotel charm hostesses greet arrival incident clearly idea seemingly influence horde differently garb bar staff appear nothing . go inside drink . stay somewhere else money . guide tell we Imperial much well food . save money stay Amber also stay trip review . 
 Nov 10 2008 	 5 - star experience 	 stay suite non - club floor . room spacious well - appoint . Liked separate dressing area . bathroom par luxury hotel . although reasonably size separate tub & amp ; shower , lack several area . first , look incredibly date ( 70 's style ) . water temperature erratic : shower take 5 - 10 minute get warm , tub warm instantly . drain pipe small , shower fill several inch stand water wait hot water . toilet make gurgling sound flush . maintenance staff agree drain pipe insufficient . overall , service generally attentive , somewhat erratic . breakfast buffet fairly chaotic : get coffee 5 - 10 minute process & amp ; rest food okay . generally good service front desk checkout . credit card company require call ( often happen use card large charge develop nation ) . clerk say nothing could do & amp ; insist call credit company . exactly 5 - star service . prodding finally call credit card company & amp ; everything go through . I would probably stay hotel . room overprice get . however , become convert Taj Group stay several palace hotel Rajasthan . , would look small new property . 
 Nov 5 2008 	 love service presentation 	 husband return husband friend house see hotel Hotel magnificient never experience never . lovely see . 
 Oct 29 2008 	 Overpriced . will stay . 	 conference choose hotel special rate available . however , tell room full expensive room propose although conference organizer insist room still available . we promise would downgrade possible ! take 4 phone call 24 hour arrival reconfirm reservation . the 800 number call not know reservation even though confirmation number . the email get return undeliverable . I tell call direct hotel pay phone .It waste 45 - 50 minute night departure Paris . pickup airport quick . the staff nice friendly . room smelled tobacco , look old old TV.No wired internet , wireless internet pay for . it work okay first day signal . someone come room try check laptop setting , could not really tell signal unavailable low thought due outside interference . toilet high otherwise okay . food expensive hotel far alternative food outlet . staff presence : hover around every step though not tip . its comfortable . overall hotel might five star past need change now . you pay use business center well . fitness center ordinary . I travel lot stay well hotel less expensive . , ( usually US Western Europe ) .Overall , overprice . need upgrade amenity , downgrade 5 - star status 
 Aug 9 2008 	 Nice hotel service attentive 	 stay club floor Taj Palace hotel . room nice clean . book hotel car airport go smoothly . driver wait we soon come custom . check quite smooth . however , service attentive . every time turn around , someone hover . also call multiple time ( even disturb light ) review hotel ! 
 Aug 5 2008 	 Staff stereotype visitor 	 stay Taj year long term guest . hotel begin stereotype female guest come visit . girlfriend work 5 star hotel come visit year . every time come treat lack dignity respect . appalled way treat people say understand still function five star hotel . there large group people work stay Taj . every one problem security staff . 
 Aug 3 2008 	 Superb Service 	 start land Delhi International Airport [ name airport ] receive Taj Driver Guest Relations Manager 1 am , something special property service . arrive standard car greet door exceptional quality service Guest Relations team know name also somehow work tired want little hassle get room . I guide room without formality take care room welcome butler . upgrade non - the - less Taj Club service beyond expectation . I feel royal , important secure – team property well ever experience year travel . the room appoint good quality fitting India 5 star highly competitive arena – Taj Property get right . the bed luxurious , mini bar reasonably price , food restaurant stunning . business hotel , one stay – room rate around r . 11,000 ( usd $ 250 ) night value money certainly serve guest . this hotel stay New Delhi opinion . pro : Service , attentive staff , great food , great little mini - golf course back ! con – none think 
 Jul 26 2008 	 Exceptional service Taj make feel alone stay hotel 	 Taj group hotel excellent local standard north american traveller may find exceptional term interior hotel . however , service Taj Palace make stand apart compare north american hotel . though like king prompt service make feel person stay hotel . also love eat , food excellent buffet breakfast unique . 
 Jul 6 2008 	 bit tired 	 restaurant service good , typical indian establishment . room hallway bit tired , need major upgrade ( soon ! ) particularly price room offer . staff courteous . 
 may 15 2008 	 favourite hotel Delhi 	 hotel far favourite Delhi . though little city , atmosphere room superb offer real luxury . unfortunately , pricing force budget , look pay sort price , would choice . room great , restaurant welcome staff ( would expect Taj ) delightful . 
 May 15 2008 	 Reasonable Hotel 	 stay one night Taj Palace fleeting visit , provide particulary indepth review . however , negative thing would mention starting look little bit tired ... little . the staff friendly helpful room comfortable fairly spacious . contain usual would expect find superior hotel , complimentary toiletry , fruit chocolate . make good airport hotel 15 minute drive away . good look shop , hustle bustle near area seem quite quiet . there reasonable sized outdoor swimming pool , alas time use look invite ! hotel will not knock foot perfectly pleasant comfortable stay . 
 May 10 2008 	 great hotel 	 arrive hotel long flight newark .. immediately escort club floor , spacious suite . room , like lobby , beautiful , amentie include snack arrival , robe , free happy hour private lounge nightly . business centre facility staff great . hospitality staff exceptionally good ... greet every turn friendly helpful person . breakfast buffet enormous good variety . hotel restaurant first class ... esp good service chinese restaurant . overall good stay 
 May 8 2008 	 many problem price 	 Hotel lot problem price.1 . try charge airport pickup arrange . argue this.2 . noisy renovation keep first arrive long flight try rest . rattled glass desk.3 . could not fiqure link two reservation want stay longer.4 . front office wake 1:00am trival subject . good point 1 . nice gym workout area2 . good food Oreint Express 
 Mar 23 2008 	 one night stop 	 stay one night Taj palace start week tour . hotel not look great outside - dit date lobby quite spectacular . arrive hotel fully book conference busy mean service not really great . need lunch place could find sit pool , wait long time get serve order wrong quickly rectify . room ok , twin bed unfortunately . particularly spacious decor non - descript clean , one couple tour stay club room sound much well . we eat indian restaurant excellent , service good waiter helpful keen tell we eat , ask share starter give we two huge portion price one free desert not go one . bhuna ghost lovely . all little disappointed , think suppose one good hotel Delhi would not say 5 star , could bit update pool area not great . suppose go back end tour instead fly Goa Jaipur quite glad not go back . 
 Mar 15 2008 	 property decline 	 second time ' ve stay Taj Palace , first time nearly two year ago . think low risk choice however last time not bad , definitely decline . check InWas swift , computer system time not know get room choice get could & quot ; smell & quot ; whether really non - smoking room . fortunately ! RatesToo high ... , hotel Delhi expensiveroomsmall . mine new carpet ( could still smell glue ) new furniture old tv bed not new mattress since English get boot . tiny bathroom . unusual complaint toilet high ground . ( know , bad visual ) quite uncomfortable ! cheap shower curtain mean bathroom floor usually wet . & quot ; Bathroom smell & quot ; pass room adjacent room . annoying . GymWAY SMALL ! 5 6 treadmill ( lifefitness ) , 1 old lifefitness elliptcal one new one , 2 bike . peak times cardio gym completely full people wait . weight machine weight gym obviously purchase purchase guy try save money good quality , & quot ; set & quot ; incomplete , i.e . quadricep machine , hamstring machine , etc .... half requirement purchase . 4 guy weight gym start feel crowdedfoodaverage . breakfast coffee shop quite limited buffet sit outside one morning disturb strong smell human faece come nearby drain . room service prompt efficient . food tasty . ServiceTypical India . aggressively nice woman work reception lobby greeting function no - one else really care . take 5 try first 2 4 day train restaurant staff make good Caffe Latte . still , one seem take 1/2 hour ! per early review , usual handle well , new challenging hardly handle . Delhi frustrating ' m draw conclusion good hotel . shangri - La major hotel not try ... must good one , Taj not cut ... like other - especially rate $ 500 / night . 
 Mar 3 2008 	 par 	 choose Taj Palace read TripAdvisor report . many review positive - number critical . balance think Taj Palace would good choice . it not - hotel expensive - room old well overdue renovation , although renovate not offer . room average size , wall thin meant noise travel . food equally expensive average . hotel well away attraction Delhi . service inconsistent , range average plain ordinary . simple request well handle , anything complex require decision impossible . less impressed hotel charge top dollar standard fall short deliver . intuitively must well choice - look elsewhere . 
 Feb 20 2008 	 great disappointment 	 hotel charge premium ( low cost country ) fail deliver . yes , room public area would expect 5 star hotel , attitude staff seem good separate guest cash . seem ability staff make decision - everything do rule book - generally flexibility . hospitality graciousness lacking . leave feeling & quot ; use abuse & quot ; .very questionable price value . 
 Feb 8 2008 	 Excellent service 	 incredible service everyone . staff immensly well train extremely coutreous . service dining staff even make sure food well prepare satisfaction hour serve ! ! ! room bit tired unless work diplomatic area , far sight . service doubt make alot though 
 Jan 14 2008 	 Nice hotel great service 	 stay Taj Palace day June 2007 . check process smooth fast . room average size decently appoint , though bit fray edge . hotel process refurbish . wish put refurbishment long ! use room service find food good . restraunt hotel fine one guest really appreciate . 
 Jan 7 2008 	 nice hotel 	 Taj Palace New Delhi comfortable hotel , quirk . book 2 club room three day stay . room rather small , freshly update modern decor . 's extensive varied breakfast buffet , snack club lounge 4 till 8 pm . staff polite attentive , strangely uninformed ; concierge unable provide we either alternative place eat area , information local tour Delhi . also , 's information room include Club Room price , receptionist not seem know . quirk ? clock room , though staff manage find cheap alarm clock we use ask . bathroom separate room wall glass . shade lower , provide illusion privacy - night , especially , everything see shade . may OK couple not shy , rather disconcert opposite - sex teenager share room . 
 Jan 6 2008 	 great hotel 	 fault hotel . nice room common area staff always polite , coureous attentive . staff always greet nomatter busy . contact hotel confirm book wrongdate say would fix . actually arrive wrong date still enter however fix quickly - may travel agent 's mistake , know . there great selection restaurant place hang inside hotel . always great atmosphere . great tourist business traveller . room service die arrive silver trolley . waiter , wear white glove , lay table room serve food . even offer pour tea put sugar . amazing attention detail . great location . would definately stay . 
 Jan 6 2008 	 Great Hotel room need urgent renovation 	 ( family four ) stay Hotel three night total Dec 2007 Jan 2008 , begin end trip Rajasthan . the first two night , stay Club Floor ( floor seven ) enjoy nice spacious room , well equipped . Jan 02 , 2008 , stay one night floor three , unfortunately good memory previous stay instantly vanish sight worn state room . cleanliness good , could tell room oldish need renovation . disappointed . the staff always helpful warm , attend need . lobby great luxurious contrast room somehow . during first stay , invite share champagne floor manager ( Club floor ) share comment . breakfast good , try restaurant nest hotel quite expensive family four . the location good , 20 minute international airport 10 minute city centre . if ever go back , make sure stay one refurbish room ( surely bear cost ) . 
 Dec 29 2007 	 good business hotel 	 stay week , overall pleased . the room spacious tastefully furnish , plenty complimentaryfood , mineral water , amenity include . spa gym extremely nice -- one well experience business hotel . there certainly lot hotel service . hotel door room encounter half - dozen ( least ) staff ask thing , whether anything improve . staff provide lot timely help -- bring thing room , make inquiry behalf , explain use appliance room . also true sometimes interest help match ability -- case , seem read script . particularly true restaurant , staff would sometimes forget order , nod eagerly misunderstand they . the number & quot ; feedback request & quot ; get oddly high , impression hotel continue improve they . the hotel near attraction -- require cab get anywhere . ' m sure well location -- easily stroll Delhi even close enough destination . one thing may confuse traveler ( think reflect mixed review ) although public areasare opulent , luxury hotel rather like good business hotel ( e.g . Marriott ) . room pleasant , wall room bit thin . like business hotel , tend overcharge many extra ( e.g . wifi , business service ) -- actually , overcharge , mean charge exactly would pay business hotel europe US . travel desk really helpful booking -- something particularly important India ; solve train air problem , book ticket , arrange car driver . could recommend arrange tour provide useful advise holiday issue . stay proper hotel India , say compare competition . buti happy get place comfortable , run professionally , everything work . hotel guest meet stay -- - mostly business people -- feel . long look ( pay ) something deluxe , good choice . 
