first 	 boyfriend book hotel , realize open Spring 2009 . stay King Deluxe corner room , absolutely stunning . service first class staff professional polite . hotel also mere 8 - 10 minute walk St. Paul Old Montreal . breakfast buffet also impressive top quality food service . would definitely stay return Montreal . 
 Great Value 	 stay weekend wife , hotel location pretty amazing , right near downtown core . get pretty much anything within walking distance . got great deal flight West jet . hotel still construction pool open yet , room fairly large , quiet well decorate . bathroom also nice , high end finish . overall great room value , would def . stay . 
 Aug 10 2009 	 still ready primetime ... 	 not believe review say hotel work 's kink , anyone past Sunday ( elevator break valet area complete disaster ) would disagree . the room large nice ready guest , least part , property whole still seem like not undergo final check starwood , preparation actually open . result , franchise , kind tarnish brand whole . the underlie problem witness four day management / manpower one : property need desperately competent general manager need hire many worker , especially weekend . staff encounter helpful great not enough . cause horrible tie valet area guest wait hour car employee pass overwork . also cause long check - in line actuality real dedicated concierge , expect check people , . elevator , property act like airline give sort credit anyone stay break . really not fun carry kid dozen flight stair . not property 's fault - ' m sure 's Thyssen Krupp - instal defective elevator - include designing system could take three elevator . consumer not think bad service work Thyssen Krupp , instead blame hotel . it be little design flaw hotel . aside parking debacle lack sufficient space , not understand someone could design swim pool small property large . heat still not work appear three small pool point future eventually fix heating problem sole remain pool tiny ( even glass bottom cool ) .Whether 's space cabinet room empty beg small refrigerator exercise room lacking earphone , hotel still not live westin name . ashame , hardworke staff , , nice make great effort recognize . time management change actually get property level . hard believe someone spend thirty plus million dollar leave state functioning . ' m surprised Starwood allow property open operate level - 's nice property . 
 Aug 10 2009 	 bad Valet Service ever 	 missing soap , miss cup , miss bathrobe , room strange loud crack sound irritate try sleep , ... valet service ! pay 25 dollar night expect quality valet service ... not expect ... first day ... 20 minute ... okay ... acceptable ... 2nd day ... 30 minute .... alright push .... 3rd day ... 1 hour 30 minute get car ! even pay 25 dollar park car would not . mention last day stay ... elevator break ... wait forever employee elevator .. deal 1 hour half wait car .... stay away need park car . 
 Aug 10 2009 	 Great Location Huge Rooms wonderful Stay ! 	 stay Westin Aug. 5 9 pleasantly surprised -- especially read less stellar review . positive : room huge -- two queen bed -- double -- seat area , desk , etc . plenty room spare . excellent location -- metro right across street Old Montreal two minute walk away . walk restaurant every night find area offer lot option . cleanliness -- room spotless , common area see . bartender friendly welcoming -- make good wine recommendation too . room service really fast -- plus late ( 10 p.m. arrival ) .Negatives : grossly under - staff . need least four five people front desk peak period . see three . fortunately we , not arrive depart peak , feel stand line . the restaurant crazy expensive . breakfast two ( bagel smoke salmon yogurt / granola parfeit coffee two : $ 49 tip ) . food good though . they need real gift shop real clerk . pay gift shop item front desk , 's line ... well , get picture . they elevator issue Sunday morning leave , quick call front desk send someone frieght elevator could check . would definitely stay visit Montreal . 
 Aug 9 2009 	 Westin Hotel St. Antoine 	 stay suite hotel 3 day . bad hotel experience ever Montreal . more importantly , none problem fix , extensive letter manager totally ignore . the lobby consistently full unhappy customer problem . never adequate desk staff deal ( e.g. , take 30 minute get key reprogramme could get room ) .avoid place like plague . 
 Aug 8 2009 	 Uninspired Corporate Hotel Good Location Restaurant 	 spend four night newly open Westin upper floor . room great view city skyline Mont Royal background . originally think good deal $ 141 ( approx $ 160 tax ) night website . , usual , get pay for . the previous reviewer correct . pro : ) professional , courteous check inb ) room clean comfortable king size bed . buy $ 3200 wish Westin website.c ) Location - top old Montreal , across street " Palais des congrès " convention centre right next Metro . tip : Congress centre , find mini mall cafe , shop , Tim Hortons , shop sell beer , wine , cig etc . open 11 pm . entrance Congress mall mark well , look like entrance office building.d ) Exercise Room – pool great kid ( small & amp ; supervised ) glass bottom . exercise room clean variety cardio weight machine ( beware Ladies – low free - weight 7.5 lbs ) . ) Gazette , hotel restaurant , ultra modern , extensive wine list high quality - recommend ! e ) room internet , wire WIFI , work well . con : ) new hotel , decor bland , uninspired , corporate . entrance cave like always involve navigate suv baggage cart . layout awkward elevator 50 metre lobby although high speed rarely wait.b ) room minibar fridge , however , small ice bucket ever see available find hidden ice machine behind unmarked door . signage please ! c ) window seal , force enjoy recycle hotel air.d ) room not bathtub shower large modern.e ) always like read city ' attraction venture explore city . room city guide room information weak . check lobby & quot ; five star & quot ; hotel always obvious large collection brochure info . none . back room turn cheap LCD tv check guest service local hotel channel . hotel ' even interactive tv system . check involve use paper folder drop box . new hotel 2009 visit , wonder ? f ) one litre bottle room water $ 5 . ' insult guest way . 
 Aug 8 2009 	 first impression Montreal ready leave upon arrival . 	 arrive husband 6 hour drive . arrive hour check - in not busy . however , one around pull hotel . wait couple minute go front desk check - in husband unload car . join check - in desk luggage tow one offer help we . clerk desk friendly fact actually quite cold . find strange even though tired drive , greet french smile . find upon check - in Expedia book wrong package . phone Expedia Customer Care phone hotel request upgrade . tell upgrade available minute hang phone another clerk upgrade package someone else check we ! decide go room horror , room overlook back roof office building . attempt room change avail . literally ready leave go elsewhere stay room pre - pay . find consierge find lovely young lady Sales Department save trip we give we dinner suggestion greet we everytime sa us smile . hotel advantage cover entrance proximity everything Old Montreal . take car even , room despite horrific view clean decor Asian inspire realxing color choice . construction complete not encounter construction noise zone spa yet open know advance . staff must improve customer service hotel elegant Zen - like environment able sustain . 
 Aug 6 2009 	 back Westin 	 service great . staff friendly . room nice husband love bed . eat dinner hotel good ceasar salad ever entire life . gym pool area nice . Tim Hortons across street convention center always access . back stay hotel . issue would cost park . feel pay room parking include . 
 Aug 1 2009 	 Beautiful Hotel - Construction Basically finish 	 family recently stay Le Westin Montreal 3 night tour city , hotel beautiful fresh . point , vast majority construction hotel finish . long need worry hotel understaffe , elevator work , dusty room , etc . not encounter problem . thing still need finished sidewalk pavement corner hotel little bit construction small area near fitness center . however , extremely minor thing will not impact stay . when arrive check - in , greet extremely professional upbeat staff . since hotel new , everyone work still seem energetic excited , ready help whatever need . valet staff helpful , pushy , greet we every time walk hotel always bring car quickly . impressed staff 's ability recognize we always greet we English realize not speak French . nice little detail not necessarily find large city hotel . front desk staff also professional , willing answer question address concern utmost professionalism . drive - up entrance area hotel nice , completely cover removed street . nice able walk cover area get car bring without feel like middle busy city street . definitely nice winter . hotel make combination old new building wing , set little bit oddly , never find problem . lobby rather large , seat area one side , large check - in area . escalator second floor offer seat area lounge / bar . we give room 2 queen bed new main tower room locate ( believe call St. Antoine tower ) . elevator hallway past restaurant , front desk . kind nice walk past front desk every time go room , since staff always say hello recognize we second day . guest room floor relatively small , set square shape room 4 side . imagine view less stellar , give room high floor face toward Rue St. Antoine , decent view Palais de Congres , small park / square hotel , downtown office apartment building . room gorgeous brand new . everything still new smell , good way . room 2 queen bed usual Westin white ensemble . small sitting area 2 chair , large desk , nice large flat screen tv . bathroom one favorite part , spacious huge walk - in shower . feature love . city hotel , room actually large , window large let lot light day . everything decorate gray , white , light blue , find room true calm retreat long day tour Montreal . executive club level , access club lounge . since stay partially weekend , not get full use . arrive Saturday night surprise not open breakfast Tuesday , hor d'oeuvres offer start Monday night . club lounge staff pleasant professional , lounge lot nice seating . could bit small hotel full , not experience problem . enjoy breakfast , usual cold item . not eat hotel restaurant , take peek menu breakfast price usual hotel , buffet breakfast around $ 20 per person individual entree around $ 14 . not check menu dinner . the indoor swimming pool interesting fun , since glass bottom center look hotel entranceway . always fun walk hotel watch people swimming , family enjoy go pool . also two small pool next large glass - bottom pool , look like jacuzzi , turn . not exactly know , since depth main pool , not warm not whirlpool jet . pool close early 7 pm , aware planning later swim . the hotel 's location perfect tour Montreal . 2 metro stop within easy walk distance , Square Victoria Place d'Armes . hotel staff direct we walk 2 block Square Victoria , find easy use Place d'Armes , access easily walk nice new Palais de Congres directly across street . Vieux Montreal Notre Dame Basilica block two away well . also walk hotel McGill University Parc Mont Royal , bit uphill hike , still doable . area around hotel bit dead weekend , since 's business area , safe centrally locate everywhere want go . many restaurant close hotel . may see much upon first inspection , walk around surround 2 3 block direction reveal good number cafe restaurant . all , love stay brand new hotel . everything new clean , great service atmosphere ' ve come expect Westin property . not experience problem construction , would say 's safe start stay ! kink seem work . will back be even Montreal . 
 Jul 31 2009 	 expect Westin 	 decide stay b / c hotel 7 month old . typically , new hotel clean everything seem little nice . even though hotel open , construction complete . pool still work . , want go pool , tell use pool InterContinental next door ( share pool Westin ' pool do ) . notice even though month old , hardware dresser miss . also , hotel maintenance crew insist come ' disturb ' sign post door , take look broken bathroom door , report we ( mean put we room knowingly break shower door ? ) . hotel also make bed 2 thick comforter ( take we 2 night figure ) , probably useful cold winter . however , stay July , sweat every night temperature @ 64 degree Ferenheit . finally decide put one comforter floorThere pluse hotel , convenient - 3 block Rue St. Paul , heart old Montreal Notre Dame Church . ton great eatery near short walk metro . the poor rating expect new Westin well . would recommend hotel well service & amp ; complete construction . otherwise , stay elsewhere . 
 Jul 28 2009 	 Birthing Pains new Westin 	 Westin new group open June . handsome re - use old Montreal newspaper building quite impressive . the hotel ' entrance literally carve building feature one kind swim pool atop entrance swimmer wave visit guest pool 's glass bottom ! room cleverly incorporate building design . corner room suite like size wall- wall window . the hotel si still shakeout period . Sunday , elevator mind . ride full elevator three time round trip 3rd 17th floor without stop . the hotel 's restaurant inundate breakfast guest take advantage buffet . long line guest wait table server overwhelmed crowd . diner use buffet coupon , can not see change crowd . the hotel half open finish construction second wing . hopefully , able accomodate guest restaurant future . location convenient Old Montreal , Notre Dame Congrees Center . build connect passageway behind buide seek cover inclement weather Congress Center connect undergorund passage way subway . 
 Jul 27 2009 	 service fantastic hotel miss thing 	 overall , enjoy stay . entire staff friendly courteous bunch- valet front desk . get car parking garage easy morning . call front desk make aware time need car valet stand time . linen bed fabulous - soft , comfy die . however , miss refrigerator room , ice maker across hall . pool area leave desire 4th floor . rather small none heat bit cold beginning . enjoy everything new . 
 Jul 26 2009 	 great location great room 	 wife stay Le Westin early July 3 night visit site around Montreal . get deal Westin Travelzoos give we 45 % list rate quite nice . the hotel open 7 week stay still work part pool yet open . still smell new . the valet parking real treat something traveler use . service include $ 26 / night parking fee reasonable consider downtown would hard press find well price park . room nice spacious . bed comfortable lot pillow bathroom spacious well appoint . tub , shower , okay we . location hotel really sell . 2 block Notre Dame church within walk distance old downtown activity . nice see site go drink dinner . 
 Jul 19 2009 	 great Stay ! 	 stay Westin one night July 17th . think hotel nice , feel luxurious . pool gym open use . valet service go smoothly . check , person front desk tell we would give we nice room view , ! beautiful view city . ' m sure people complain , think room nice bed sooooooo comfortable . complaint forgot put bar soap bathroom , biggie . ask will send room . 
 Jul 15 2009 	 potential ready 	 arrive 6 hour drive , pull think valet , front hotel . not find one continued area look like parking lot find almost slam circular construction site . 20 minute try get ' u - turn available , hubby drive car stay outside direct . one come help . we tell hotel twice even 3 night stay , still not put sign warn guest . hear couple folk thing guest . go front office find room not ready even call twice confirm . ask we join happy hour 3rd floor wine cheese give . ask pool ( confirm w/ SPG rep . ) tell will not open fall . pretty pissed parking space go , tell we cab free Sheraton . pour glass wine begin relax , approach server tell we & quot ; poured & quot ; half glass wine . mortify , guest stare we move . finally , room ready , upgrade find nice complete . club room usually good SPG property look like standard . drawer ' knob miss hallway light electrical wire hang . tell husband forget , let us go work . gym 's restroom even compete , black curtain everywhere carpet not instal correctly . water 2 guest arrive say call twice . gave go back get dress ask concierge go . really clue tell make sure come back Club Room happy hour ( bar one ) club room guest . trek way back , make sure miss , believe close . warning , sign anything . call tell we , staff member sick . on 2nd day , wait hubby come , get stick elevator ( 2 working ) . get back later , none work use freight elevator go , tell we would call guest elevator work . never get call . call SPG let safety concern also inform go hotel . file report stay already ruin . , water gym call twice . also stare server bar ; think think going pour another glass wine ! way treat gold platinum guest . they hotel staff kind sweet seem lose . concierge really idea send we 3 night go internet check w/ TA ( last minute trip ) . staff keep apologize everything happen , SPG even manager call we speak we stay . last night late . decide go Montreal anniversary say think amazing time lot frustration hotel . never know going go wrong get back . would stay time make sure trip advisor reviewer ready . staff , especially manager , Vincent , try absolute good make thing right do not make thing . hotel beautiful LOT potential Westin brand price , try elsewhere try next year kink . 
 Jul 13 2009 	 great location good price 	 staff really nice helpful , room clean spacious , bed really comfortable . bathroom nice really quiet . pool would nice , not complete elevator operation yet . thing room cause bit inconvenience ( fridge , ice floor yet , minor detail bathroom incomplete , ridiculously expensive bottled water room ) . parking pretty expensive staff point we cheap parking across street . room great view friend 's room look onto brick wall . basically hotel complete enough open operation - barely . however , overall good . get really really good price night great location , comfortable staff nice . 
