warn 	 hotel book room try relocate hotel several mile away , case 13 mile away middle nowhere . 
 Sep 11 2009 	 excellent location Friendly 	 impressed berkshire - amazing location Oxford Street , close Bond Street station - easy place base get around London . staff exceptionally helpful , friendly professional make stay hotel enjoyable . staff knowledgeable make great recommendation leisure time . hotel nicely furnish , clean & amp ; accommodate . highly recommend hotel 's great location staff . 
 Sep 10 2009 	 yet another great stay hotel 	 one favourit hotel . great service , good food , nice room location could well . stayd several timea . 
 Aug 11 2009 	 Excellent Service Value Money Central Location 	 arrive early stay staff could friendly . room ready , enable we access room immediately . book process efficient . the location hotel , Oxford Street real bonus able shopping return hotel periodically rest excellent cup coffee . also visit local restaurant Oxford Street evening meal . we stay twin room eighth floor , quiet . room pleasantly decorate plenty space , tv , tea / coffee - make facility . hotel extremely clean throughout .. thoroughly enjoy stay definitely stay . 
 Aug 10 2009 	 Perfect location quite good radisson 	 stay mum 22nd 24th June year , first trip Wimbledon 23rd . choose hotel love two Radissons stay previously ( Mountbatten & amp ; Hampshire ) , location perfect shopping plan two day trip . not happy price £ 295 per night , book Radisson website , long term health problem , could not take advantage early booker 20 % rate may need cancel . however , upon arrival upgrade well room . room adequately proportion , neat bathroom small sitting alcove . mod con , include Bang & amp ; Olufson TV . everything clean , staff clearly adhere request cleaning fluid use due allergy . major selling point bed - soooo comfortable ! not tend sleep well away home bed really help sleep . main thing love radisson cook english breakfast . since last visit , change waiter buffet service , food still outstanding quality , work well could take want miss not . mixed feeling one evening meal . burger chip absoloutely delicious , mum 's lamb quite tough . the staff hotel lovely helpful . whilst location perfect shopping , make hard relax main shopping street , boot light bright red outside room night ! also keen restaurant upstairs lobby area relax in . overall , room , service , staff food live previous Radissson experience , layout lack large lobby decked sofa find radisson leave slightly trail sister hotel . 
 Aug 4 2009 	 stay ! ! 	 would recommend hotel anyone , apart 's great location Oxford Street ; hotel nothing go ! ! WARNED .... avoid HOTEL cost ! ! book birthday weekend London partner , intend make weekend London . ( end July 2009 ) cut long story short , arrive turn away hotel , 4 different time , finally allow ' check - in ' room 5 pm ! website clearly state room 2 pm , rude lobby staff keep give excuse ' housekeep busy weekends' . as tell , ' guest ' problem ; aware ' understaffed weekend , employ housekeeper ? pay £ 150 per night , room ' allow 5 pm , partner birthday , arrange meet close family friend birthday dinner drink going see show . weekend completely ruin , could meet family friend drink dinner , time ready , go straight show . I find attitude every member staff disgusting ! stay hotel around world due nature job , say , even Travelodge well customer care customer service skill Radisson Edwardian Berkshire . I normally love Radisson hotel , yet find bad one , .. berkshire ... like review mention : room standard , nothing great . small size , room carpet get bit grubby . complimentary product bathroom ( shower cap etc ) , also tiny , tiny ' toilet , shower sink . the hotel ' restaurant food average . kind atmosphere restaurant , bar area , forget . ' like entrance funeral parlour . I recommend search alternative accommodation central London planning visit . would stay ? ...... never ! 
 Aug 4 2009 	 great hotel great location 	 book night hotel last weekend via lastminute.com get good rate . upon arrival hotel greet attentive polite receptionist . service regard can not fault . 's point review , room hotel small be full figure may wish look elsewhere show particular bit squeeze . say , room immaculate great condition . beautifully furnish range facility include safe , iron ironing board , mini bar complimentary toiletry . the location hotel great , whilst 's small , price pay ( £ 68 per night ) think would unreasonable expect grandeur space prime location . excellent place stay be London spot serious shopping . despite prime location , also find noise problem restful night 's sleep ( much need ! ) complaint hotel would cost breakfast ( £ 17 GBP ) , price item minibar ( £ 2.25 Kitkat ! ) lack decent channel television . 
 Aug 1 2009 	 small adequate 	 good , well run hotel . the room small , really small . ever work offshore know mean . location excellent , whole purpose stay hotel , unless 25 stone obese small room acceptable . the breakfast well present good quality . staff freindly helpful . if offer advise management hotel , would say check - in area dark sombre . 's small area brighten give new arrival well welcome . that say , be fine hotel would recommend . 
 Jul 31 2009 	 worth money 	 last week ( 23/24 July ) go London stay Radisson Edwardian Berkshire Oxford Street hotel . reasonable rate internet report tripadvisor good . 4 + * hotel excited stay there . check - in go smoothly lady reception nice . offer we choice two room ( one front one back hotel ) decide go room 721 front hotel . the hotel two lift - carry maximum four people . yes , be right , four people lift ! sooooo tiny old rickety . modernise use room key card operate lift , still incredibly slow old . fiancé 6 ' 7 & quot ; head touch ceiling – thank goodness lift not stop suddenly else would sore head ! lift stop quite large step lift floor outside awkward , especially suitcase . when get room quite impressed . large three window view look Oxford Street – could not get close shop would try ! double bed request ( comfortable ) reason blow - up single bed corner too . upon close inspection , however , start feel disappointed ' m afraid say report not good . we could not find drawer room anywhere , one exception wardrobe kettle tea coffee make facility – room anything else . girlie like put undies drawer make shelf wardrobe ; half leave suitcase . the bathroom quite large adequate need . little bottle shower gel / shampoo etc , large pump action bottle provide shower basin nice ( Gilchrist & amp ; Soames ) . shower quite powerful , however , water keep go hot cold quite unpleasant . extractor fan ceiling not work leave bathroom door open , even room still get steamy . towel robe provide free lovely , room ' handbook ' say charge £ 95 take one home , warn ! spend 10 minute hunt hairdryer find wardrobe place – everything else seem ; kettle , tea / coffee , safe , mini bar , suitcase stand , iron ironing board , trouser press , mirror . fact , much room clothe ! use hairdryer wardrobe interesting experience say least ! want dry hair hot , tiny cupboard get hair newly press clothe ? ? ! bizarre set ! use hair straightener awkward . sort dress table one wall bedroom not mirror , plug socket nearby . plug socket right next entrance door bedroom use whatsoever . socket floor box table sofa ( like floor box get work ! ) . go scrabble hand knee plug straightener . good job would bring travel mirror mirror nearby . the bedside light not really bedside . actually spotlight ceiling side bed incredibly bright blinding . switch far away bed lie lean right turn off . one thing fault location hotel . heart Oxford Street , 10 step Debenhams . selfridge road Bond Street tube close too . breakfast first morning disappointing . arrive 9.00am show table . lady say breakfast not include room rate – challenge go check reception . would order tea toast came back confirm indeed breakfast not include would charge - £ 17 ! ! ! see expensive decided get money 's worth piled plate high ! quality food good ; however , temperature cold . buffet style spoon use serve hot use napkin hold . time take fill plate get back table , food go cold , food could not hot first place . selection good usual – bacon , sausage , bean , croissant , juice , yoghurt etc etc . the second morning not make mistake go breakfast . we can not comment bar restaurant not use they . check - out slow . people front us guy concierge desk help . check bill , always , find book price website accommodation include VAT . concierge ask have good stay pointed item decide keep brief else 'd ! overall would not say 4 star hotel disappoint . would stay ? manage get good room rate , location fantastic can not fault . 
 Jul 29 2009 	 Nicest hotel ' ve ever stay . 	 even make book hotel would read load review TripAdvisor check everything would ok . hotel far good hotel mind , review positive . worry therefore find late review negative , involve use lift etc . lift seem work fine , manage get 5 lift still go ! although gap step get little big . man enter lift make 5 not exactly light person say least ! book basic room breakfast excellent rate , girlfriend birthday manager generously upgrade room , make rate even excellent . room stay King Deluxe Suite think , something similar name . service good , give free drink bar due small delay staff offer carry bag room . the room cleanliness outstanding quality , however find sandal bed upon leave put doubt mind much actually clean ! seem like pretty good job . room come two table , king size bed , couch , large CRT Television good brand , forget , sound excellent , get general coffee tea make facility also iron , safe , mini bar etc , could go ! mini bar one one scale , hear girlfriend theatre have pick lemonade inspect ingredient rather worried , luckily one view update version bill tv ! charge make ! Phew ! also , another thing mention , be travel alone build chain door , be rather stylish , easy use literally work flick switch ! ! bathroom marble , even wall shower powerful . Got soap shampoo include room , seem make hair nice soft , soft usually ! bathroom could done bit scrub slab marble , could not really fault ! breakfast also good , quite expensive not book room rate £ 17 per person , worth ? would not say worth , hotel price price around ball park figure expect . get breakfast included not pay full price , definitely worth little extra pay . full english breakfast option porridge , pancake , croissant , cereal etc ... basically everything would want extra option extra charge , thank ! overall service outstanding , never actually meet manager ( knowledge ) , seem nice fellow staff seem well train ! 2 course meal available restaurant £ 15 think reasonable deal , especially since restaurant , in - fact restaurant have good deal , even pre - book online , tempt , student not like anything burger chip , not menu ! ! anyway , yeah would definitely recommend hotel anyone come london , excellent location , walk hotel prince wales theatre , easy 10 - 15 minute walk . London busy though , obviously summer holiday ! go wax work , well worth wait ! ' m glad hotel entrance actually Oxford street otherwise have push way past people get ! Tube also convenient across road , great get St Pancras ! 
 Jul 20 2009 	 recommendable 	 nice big hotel .. situation perfect .. step away bond street underground station .. near piccadilly circus near hyde park .. next london trip , sure would stay . 
 Jul 18 2009 	 Great Location 	 one night great . go party Bond St look nice hotel close possible . could well . it five minute walk party venue right middle shopping area Oxford St . room lovely nice large bed . nice bathroom big bath . great sound proof noise street . very friendly helpful staff . need direction party venue man front desk google print we map . efficient . fantastic english breakfast include room rate . expensive we Kiwis NZ dollar well worth splurge . 
 Jul 15 2009 	 BEST HOTEL OXFORD STREET ! ! 	 stay berkshire 10 night good experience , stay cumberland thistle , location wise three make berkshire stand 5 star service room big hotel newly renovate , mr paul kennedy hotel manager good job hotel run 100 percent occupancy time manager bother guest request busy mr paul make sure request go unanswered .if look spend nice holiday central london want stay right oxford street well choice hotel number one hotel . 
 Jul 14 2009 	 great hotel brilliant location would defiantly stay ! ! 	 go London weekend shopping go . book hotel notice really central location . disappoint turn . room overlook Oxford Street location perfect . the room really good size nicely decorate comfy bed . staff friendly . happy advise place eat go sorted taxi friend night . I would really recommend hotel ! ! 
 Jul 13 2009 	 will not stay . small pokey room . look well value money 	 stay night girlfriend 2 sister . 2 room book . double we twin . got reservation 2 room leave double . what s point make reservation pay extra twin room . keep say fully book . book 3 month ago . lift dangerous . 6 inch step get lift come flush Floor squashed lift that . the room clutter . barely walk bed stupid table chair room small . lcd instead old tv would look less cluttered . breakfast ok staff friendly although overall dissapointe . spend nearly 400 pound 4 we stay hind sight worth less half . location good shopping will not stay 
 Jul 9 2009 	 would not stay 	 Disappointing hotel , lift constantly order ( work , restrict 3 person instead allocate 4 , little worrying ! ! ! ) , remote control tv , Rose wine Bar & amp ; room basic & amp ; bland . also electric socket anywhere near mirror use hair - straightner 
 Jul 8 2009 	 great location 	 great location Oxford st . , big room , friendly staff , free internet course reasonable price . 
 Jul 7 2009 	 Good Location shame room 	 hotel situate good location across road Bond Street tube station 10 minute walk Oxford Circus station . check time hotel 2 pm , get 215 try check in- tell would twin room book room would not ready another hour half ! leave bag go wander . get back hotel room ready get room turn double - friend not convenient . telephone reception explain give wrong room tell would call we back soon possible . hour later still not hear anything rang tell twin room available would stay put another bed could put room ( small enough start ) , nearly another hour later member staff come air bed - rather poor service wait 2 hour something sort want go back . stay hotel 2 night 2nd day member staff visit room around 3.30pm say could move we - bit late day leave go concert would not get back late - unfortunately do not time move ! breakfast hotel buffet good choice food available . would return back hotel sort room first - poor take long sort situation . 
 Jun 27 2009 	 pleasant stay 	 extremely well locate Oxford Street near Bond Street tube . Room nicely appoint comfortable bed . breakfast include buffet breakfast good indeed , especially scramble egg . appreciate complimentary wi - fi . the point stop give hotel 5/5 room little bit dusty place quite strong smell mildew bathroom , however go away use shower . give location level service / accomodation , deal get good value would hesitate recommend hotel would stay . 
 Jun 24 2009 	 Great Location 	 check quick hassle free . we prepay GBP 140 per night ( breakfast ) think may get upgrade room couch bit spacious . room spotless , nicely furnish ( nice tv ) . Bathroom adequate . this one comfortable bed ' ve ever sleep in . oh , location perfect , shop along Oxford street , minute Soho Covent Garden plenty nightlife . I would definitely stay hotel again . when check hassle ( couple drama queen whinge go nut bring luggage room ) . staff handle extremely well face completely undeserved abuse 2 guest . 
 Jun 18 2009 	 good location London -- reasonable 	 get London Canada year . always stay Radisson , 350 Oxford St . block two away Selfridges , within walk distance many theatre surround reasonable restaurant . know , travel , location . service amenity good too . L.C . 
 Jun 11 2009 	 Excellent Hotel staff location 	 do not often write review , feel say huge thank staff Raddison Berkshire London , take staff London reward hard work last finacial year , want quality hotel , exceptional location close shopping , west end , generally central , party mixed age requirement : Berkshire exceed expectation , Central , new bond street Oxford street , room modern clean comfortable , breakfast exceptional , staff extremely helpful polite , fun : 10 10 pleasant hotel also expensisve : well do : 
 Jun 9 2009 	 clean great location friendly staff 	 return nice hotel Oxford Street . location great shopping right next Bond Metro ( Tube ) Station . walk Soho , nice area restaurant pub . breakfast include pretty good ( smoke salmon vegetable would nice ) . 
 May 24 2009 	 cleanfriendly location excellent . five star way 	 stay two night 40th birthday , staff helpful friendly . give location Oxford street , hotel well price ( include breakfast ) . room clean tidy ascot restaurant also first class . definately book another trip near furture . recommend hotel friend family . 
 May 11 2009 	 lovely hotel excellent location 	 great location , friendly staff , comfortable room good breakfast . book via booking include breakfast - good value . front Bond Tube Station lot bus . good shopping ! 
 May 8 2009 	 experience excellent . 	 Service , food , room , location common area combine create good value . 
 may 7 2009 	 Great Hotel Great Location 	 wife recently one - night stay hotel , view West End show see London Marathon . previously bad experience west end hotel reception glitz room Dickensian . hotel definitely like . fact reception area quite small understate everything else hotel first class . first location : north side Oxford St right opposite Bond St station minute walk away Oxford St Regent St shopping . Piccadilly Circus ( theatreland ) two stop away Tube . 2 pm check - in great one day want make much use possible . actually arrive around 2.40pm standard room ready give free upgrade ( not ask ) . great start ! room beautifully present , spotless spacious . bathroom modern classy amenity . the ground floor bar quiet relax cocktail end evening . breakfast buffet style definitely average . checkout easy painless . all staff contact pleasant helpful treat we like value guest . we definitely stay next London . 
 may 3 2009 	 comfortable night 's stay 	 great location , friendly staff , comfortable room excellent breakfast . book via Yeego include breakfast - good value . free wifi . 
 Apr 27 2009 	 highly recommend 	 husband stay weekend leisure break London . location could well , right Oxford street , oppsite Bond street tube , able walk shop , site restaurant . hotel stylish comfortable , room fairly small everything would need comfortable , small problem window do not stay open could not get fresh air room despite air conditioning little warm stuffy open probably would rather noisy overlook main road worth great spot . breakfast buffet style , order egg benidict pay supplement . wait long time nothing special , hindsight buffet breakfast husband thoroughly enjoy . service excellent staff pleasant . I would highly recommend anyone look hotel heart london access site . 
 Apr 27 2009 	 lovely hotel excellent location 	 excellent location shopping , two minute walk bond st tube . nice clean room , friendly staff . definitely stay . 
 Apr 26 2009 	 almost perfect 	 stay Radisson Edwardian Berkshire , excellent overall . location prime , hotel staff great professional . privacy feel stay , make stay enjoyable , still middle attraction walk away major centrepoint area . draw back stay WIFI connection . although come free room , signal low , cut time . , recommend hotel everyone , defenitely stay . 
 Apr 22 2009 	 Great Location City Break 	 stay night meeting friend . right Oxford street great shopping , resturant , bar night club . breakfast good friendly service . 
 Apr 19 2009 	 Perfect 	 mother daughter ( 20 year old ) vacation . leisure , shop fun . hotel locate perfect location , deluxe double bed room , big comfortable . service outstanding . conclude , highly recommend hotel . 
 Mar 19 2009 	 highly recommend would return 	 Perfect location shop right Oxford Street , short distance theatre . fab night sleep comfortable room , room still smoke room good half group travel . breakfast follow monrne brilliant , 1 good London ' ve long time . Lot 's people check time Sunday morning , extremly quick have also receive discount NCP car park behind hotel add bonus . would return . 
 Mar 8 2009 	 shopping central 	 hotel perfectly base week end shopping trip social dining culture together . the staff multi lingual friendly available eager assist need . the communal area feel modern comfortable luxury living . the room equally luxurious comfortable ammenitie would expect standard stay girl friend enjoy wonderful weekend capital central location safe feel direct access tube bus route get location . 
 Mar 8 2009 	 Perfect London base 	 Oxford Street , hotel also short walk away many lovely restarant St Christopher 's Place James Road ( provide touch Paris London ) .also , Bond Street Jubilee Line , hotel good base traveller Wembley O2 stadium . 
 Mar 7 2009 	 Location x 3 	 hotel locate literally stone throw Oxford Street , perfect high street shopping . also go london palladium , walk distance 7 min away , take cab due high heel . Oxford Circus tube station also 5 min walk hotel . service bar excellent . room not ready arrival due miscommunicate error hotel take bag shop . room ( 3 us sharing ) , cost € 300 inc buffet breakfast lovely filling . would definitely go back hotel , staff , room location perfect . 
 Mar 5 2009 	 brilliant location 	 brillian location - could not well fact ! ! room slightly small side extremely comfortably , trendy clean - definitely stay . 
 Mar 3 2009 	 Excellent ! ! 	 top location , centre Oxford Street & amp ; Bond St Tube Station minute walk away , Ideal shopping transport , prove could easily walk location , Bond Street , Regent Street , Piccadilly , Etc check service first class , concierge excellent staff stay friendly , helpful courteous , honestly can not fault anything stay would certainly come back stay , pleasing hotel stay wife 
 Feb 25 2009 	 Excellent hotel splendid location 	 enjoyable stay . staff friendly room excellent . free internet access sell point need work afternoon . 
 Jan 17 2009 	 good location thing fine appalling treatment 	 stay hotel 1 night business . great location room comfortable little small side date . tv system also limit . need update reasonable value . the buffet breakfast fine staff helpful efficient ..... leave property bedroom . stupidly forget important piece medical equipment need use every night . really vital . leave room do not realise missing get home . next day call hotel helpful . housekeeping find would post would pay cost . delight immediately email credit card detail . nothing happen . item do not arrive . assume Chrismas post must delay force get replacement . . January , 3 week lose , get another email . Hotel Manger consider risk fraud would return item unless send fax scan credit card scan passport photo i d . take 3 week decide not fax machine . I call hotel pointed customer , stay , property find room , swipe credit card live UK address would post item address registration . dice . without fax item would not post back . clearly treat suspect crook try defraud way although could charge credit card cost postage understand . frankly would not send effect DIY identity fraud kit hotel . not trust . item worth perhaps £ 100 keep . never stay radission ashame this . my advice clear . hotel ok reasonable value ....... not stay . 
 Jan 10 2009 	 Great Location 	 agree reviewer 's well locate want base shopping business locally , although read review still little shocked small size room especially price would problem storage arrive 2 suitcase . room small , AC / heating noisy , hairdryer work one immediately bring ( opinion pay high price stay quality hotel guest find thing not work ? ) , bathroom cold heating like large shower do tile like turkish bath area find tile / marble seat cold heating . tea / coffee hide away cupboard ( biccie ) bit pain use kettle make drink . Iron & amp ; iron board provide room - nice touch . food / breakfast ok . staff friendly welcoming . tip anyone go hotel first time locate Debenhams & amp ; Mexx store street , take 40 min find come Bond St underground sign , would even contemplate drive parking around hotel ? 
 Dec 22 2008 	 Loved ! 	 great location - heart Oxford Street - Bond St Tube Station minute walk away - ideal shopping transport link . the hotel , staff , room service first class can not fault anything stay would certainly come back stay 5 star ! 
 Nov 25 2008 	 great location 	 stay hotel go Christmas shopping . great hotel right Oxford St. perfect shopping . we two executive twin room . good room bathroom nice smellie . I would always stay want go shop . 
 Nov 3 2008 	 great location tiny room 	 stay Radisson Edwardian Berkshire Hotel end October 2008 connection short business trip London . book hotel advance pay 188 GBP . arrive , check fast assign room 801 top floor first come room find small room prepare base review read advance . room quite nice seem organized tidy first glance . floor " rough " carpet wall light colour . queen size bed , small table chair , wardrobe centrepiece contain Bang Olufsen tv top minibar safe . furniture dark wood make quite slick contrast carpet wall . bed bad would prefer proper duvet freezing night long stay . discover tiny temperature controller door….but find next morning . the bathroom dark tile floor light tile wall . bathroom furniture quite modern think must refurbish many year ago . many amenity way : dispenser soap lotion , shower cap shampoo shower . bathroom quite cold heating floor big mirror fog take shower . easy control temperature water shower either feel like varied every time someone use water room . shower great proper glass door avoid water splashing . the location hotel great . step door basically second away Oxford street right across street Bond underground station . the breakfast buffet also nice . nice selection egg , bacon , sausage etc . ConclusionRadisson Edwardian Berkshire Hotel bad . location excellent room modern . room tiny need night ? usual internet free always plus business trip . 
 Aug 9 2008 	 good location 	 great location Oxford Street opposite Bond St tube station . 3 min selfridge grosvenor square . problem a / c do not work first night can not open window due noise do not get sleep . also fire bell go twice enough time get dress go . ] , 2 - 3 . : ( room small well appoint really good location , need ear plugs . staff helpful shift we second night , however concierge mention get complaint hot summer cold winter . would stay decent ear plug . 
 Aug 4 2008 	 great shopping location small room 	 hotel great location side street Oxford Street , next Debenhams , 30 second Bond Street tube station . however , hotel room feel small cramp , reception area small living room , tiny lift small room . standard room contain double bed small round glass table wall - mount tv , - even room chair , need use computer ( free wifi available ) perch end bed . like free wifi though - nice touch often hotel charge . room fairly stylish fairly recently refurbish , complaint . bit noisy night , though expect due location . overall , would recommend require convenient location much else hotel . 
 Jul 21 2008 		 hotel right oxford street make great location . people seem problem noise think wake face oxford st 2 week ago room right face street window close u hear nothing . also night street lyk movie set 's completley bare 's good . it be right next good shop obviously directly across tube station . bus also always get taxi oxford st nearly impossible . avoid unless be customer wan na go case be fulll . back hotel - check move room 3 time . firstly family five need room 3 room 2 . specify room 3 not find first room tehre one double bed . not find second room tehre 2 single bed go back first room , pull extra duffle bed someone sleep floor . dissapointe . the breakfast nice - everything need . hot food continental coffee bad thing world . beware bar way 's ground floor next reception - 4 pound glass water ? think . 
 Jul 16 2008 	 great location decent accomodation 	 Berkshire one radisson locate quite centrally around Oxford Street , quite close . location one possibly good , locate practically Oxford St. , hundred meter Bond Street station lot excellent shopping location . lobby hotel quite small , room , accord receptionist deluxe room & quot ; upgrade & quot ; . ' m quite sure do not basic room leave ' ve hear several story Radissons run room . anyway , do not mind upgrade , room definately liveable still certainly small London . I bite worried noise , delighted see modern double window room indirectly face Oxford St. surprise though , two window miss additionalm thick layer , mean everything street quite audible room . ' m sure second window break , one next bed mean earplug come handy.that however complaint , otherwise enjoy stay happy location . well , thing would mention slide glass door toilet , fad many hotel seem buy ridicilous . benefit one , really . price guess need pay London , anything cheap time show obvious decline quality well , another option worth consider Radisson Sussex locate behind Selfridges . perhaps bit spacious slightly slick . 
 Jul 11 2008 	 great location room could use help 	 spend 3 night hotel somewhat disappointed , gradually grow like . negative : book business package website include internet breakfast suppose deluxe room . request room away Oxford Street quiet . put 217 low floor arrive noon rather check - in time 2 pm overlook Oxford Street . noisy emergency vehicle could hear . air conditioning , yet summer quite warm , bring fan help . furnishing - especially mattress tired replace . decor could use fake plant something soften it . the positive : staff quite helpful . one evening , bring back curry farmer 's market young man front desk kindly heat serve room dinnerware . location awesome ! limited time London want get quick shopping theatre convenient . will go back ? Hmmm - depend afford something nice . would prefer boutique hotel , want save money limit time would consider stay . 
 Jun 5 2008 	 great location 	 general , enjoy 4 -night stay hotel . location could better transportation shopping . room small , confortable clean . be aware book hotel 's web site : offer choice & quot ; smoke non - smoking room & quot ; . ask non - smoking room special write request . use web site , choice appear first place , make request . arrive hotel , late evening , clerck tell we & quot ; ask non - smoking room , give room leave & quot ; little smoking room first floor . felt cheat . notice detail .... ! ! think web site prepared way give hotel flexibility , fair client . next day get non smoking room , discount breakfast free ; nothing apart apology clerk . 
 May 27 2008 	 rather disappointing ... 	 Sunday afternoon flight Gatwick decide treat nice night London evening ... book room hotel Lastminute.com fairly hefty discount . have pay full rate , would fairly displeased got , even discount price would say place nothing really special . thing go superb location fact could smoke room - something think government Nazis outlaw everywhere ! . aside , empty shampoo packet leave shower previous guest ( something one not expect 4 star hotel ! ) ... rather meagre tea coffee supply ( want one container milk hot drink , 's drink will get , hotel provide two container UHT milk 's ! ) ... completely outrageous food price ( £ 20 include tray charge continental breakfast , whereas hotel similiar standard stay recently offer full hot buffet Continental breakfast two pound less ) . list thoughtfully provide give guest cost item room case decide make really final straw - next time ' m London , will spend half spend last weekend stay hotel really know mean customer service ! 
 May 11 2008 	 excellent location Oxford Street terrible check - in 	 Stayed hotel part theatre break weekend . hotel 's entrance situate Oxford Street , ocation beat access shop ! check - in terrible , room ready arrive ( 1pmi - sh ) tell would ready 2:30pm - go lunch , return still ready - continue next hour , time speak someone different tell 10 minute ........ 1 hour later someone finally take onus situation finally let room ! ! room nice , lovely decor , quite spacious lovely bathroom - much view though . receive complimentary newspaper day breakfast self - service delicious . staff breakfast time attentive staff reception seem little vacant time . also little knowledge local area . 
 May 1 2008 	 steal 	 stay Hotel 3 night .. early check - in allow without extra charge .. good ~ but check mini bar , 's miss bottle .. noticed front desk right away .. charge me.also house keeper take cell phone charger away last day . cell phone run battery .. ( business trip ... ) 
 Mar 26 2008 	 Perfect Hotel Weekend Getaway 	 great location great hotel . stay deluxe room roomy amazing bathroom . would def stay . 
 Jan 30 2008 	 Good Location Oxford Street Shopping 	 stay 4 night early January 2008 . booked deluxe room hotel 's web site . daily breakfast newspaper include package newspaper deliver room 2 4 night . although address 350 Oxford Street , hotel entrance actually dead - end side street Oxford Street well light night . return hotel taxi , involve & quot ; diversion / detour & quot ; get ask driver drop Oxford Street o / s Debenham quick short walk . check online advance expedite check process arrival . lobby small staff hand assist baggage . hotel staff otherwise friendly helpful . breakfast selection okay eat hotel otherwise lunch dinner . room face Oxford Street window noise insulation quite good bothersome except occasional emergency vehicle siren . hotel Oxford Street across bond tube station . excellent location shopping access transportation . overall condition hotel room good except mattresse sofa room near end useful life . housekeep good . 
 Dec 4 2007 	 Style substance 	 stay 18 month ago small room small bed avoid try stay hotel similar price walk round bed get bath . book last week thought would try , specifically ask bath agent - get spend 5 minute whilst request consider , discuss receptionist manager . tell graciously upgrading would get price many hotel area . room noisy Oxford Street end , bathroom noisy cold blast window bath unpleasant . triumph style substance . would go alternative Sussex ! 
 Nov 27 2007 	 like ? it´s great 	 favorite hotel London . location great shopping . lot little thing like . bathroom plenty shelf cosmetic Q - tip cotton wool ball ! wireless internet include breakfast good . staff extremely helpful also . we 18 year old daughter boyfriend us room roomy comfortable . we also dinner restaurant excellent . I definetly stay . 
 Oct 7 2007 	 horrible hotel well situate 	 horrible dark dingy hotel peel wallpaper , scummy bathtub , rotten carpet awful smell ! ! two room change . difference . and forgot building work . drill 8 morning . absolutely shocking . never stay Radisson group hotel . 
