let 	 budget hotel budget hotel . bad hotel ever . depressing . upkeep . shower appliance come hook . stain carpet . personal unfriendly / demoralized . think want get rid budget crowd altogether . leave one night . favor go well hotel nearby . 
 Sep 20 2009 	 Location can not beat great value 	 location perfect Beijing , 3 minute walk wanfuje shopping street . far subway , think 10 minute walk . food buffet restaurant really excellent , great value money . go Beijing buffet , much expensive good generous . room fine , 3.5 4 star , everything work great , especially air conditioning . old new tower , new seem bit nice recently refurbish . compare Beijing hotel , outstanding value money . 
 Sep 16 2009 	 Value Money - Great Location Service ! 	 stay Novotel partner 5 day Beijing . manage get good deal online USD65 per night . location good , stone throw WangfuJing , although 8mins walk nearest MRT station , ok . room rather small good . good housekeeping service free WiFi room internet lobby . clean sheet hot water ! grasp bed hard . not surprise wake shoulder ache first 10mins morning . also , breakfast usd 17 per pax ridiculously expensive ! nearby shopping centre Mac 24hrs eatery open 8 am .. another corner , breadshop open 6 am worry ! stay fine run mill hotel , good location . 
 Sep 5 2009 	 affordable luxury heart Beijing 	 impressed minute walk lobby . immediately greet bellhop take bag . daughter arrive midnight tell son arrive 9:00 a.m. check time . assume would wait afternoon get room . request extra blanket immediately meet . room clean . concierge always helpful . make reservation we see acrobatic show arrive expect show cheap seat pay , take center front row . free buffet breakfast great . thing dislike smoke lobby bar . unfortunately seem norm anywhere China . 
 Sep 4 2009 	 great location usual Novotel style room 	 get put business trip Beijing , do not choice hotel . business trip spend 2 week travel round China return Beijing choose Emperor hotel , worth check , little pricier , fantastic . I think hotel fine business hotel , spend happy week . location great little time able quite happily see many part city foot . breakfast hotel good standard wonderful array choice western Eastern selection . the room typical Novotel style , stay Novotel similar standard chain hotel know expect . the taxi hail staff outside fabulous , run around outside hail taxi time day night , rain , everything . big thank - you . good pick think suit budget - enjoy Beijing ! 
 Aug 26 2009 	 Perfect location tour Forbidden City 	 stay Club level room service nice . king room comfortable couch big enough adult son sleep . charge third person . enjoy view Forbidden City room . club level include elaborate breakfast buffet happy hour free drink hor d'oeuvres . negative bed chinese bed hard . 
 Aug 25 2009 	 nice hotel nice staff 	 hotel bad experience . club goldmember card get extra 's . get free upgrade hotel full also get late check . booking ask hotel give upgrade superior room excutive room . check staff know anything request upgrade . come lady help tell next time want mine upgrade need call hotel . reservation form hotel put text hotel . sad give we upgrade hotel half full . the upgrade nothing big superiorroom website hotel tell we room free internet apple dockingstation . they also make mistake internetconection . internet 24 hour 3 day . want settle bill charge we 4 day internet . explain reception mistake girl want listen understand we . 20 minute complain explain charge we 3 day . still understand we . the room nice old really need upgrade room . the breakfast real party great buffet lot choice . I never stay Novotel Peace Beijing service not give . 
 Aug 12 2009 	 fantastic hotel central location nice pool 	 amazing foyer ! . room spacious clean . swimming pool second floor pleasant large change room small gym . breakfast buffet excellent choice european asian cuisine . Dodgy coffee machine though ! great location walk Forbidden City Tianamen Square . wear comfortable shoe buy water shop along way . take 20 min get . lot restaurant choose . main shopping area wanfuje far hotel . pretty night light . supermarket across road ( side street ) hotel sell drink snack cheaply . 
 Aug 7 2009 	 great location 	 Overall 5 day stay great . staff friendly service upto mark . coffee sachet room replace first one . House keeping see . use coffee kid 's room . the location hotel well . close shopping restaurant . would go back stay . 
 Aug 3 2009 	 decent central hotel - good option small family other 	 spend 5 night Novotel mid - July -a large , bland , good - quality , reasonably price western chain hotel locate central Beijing . opt executive room ( somewhat expensive assure well quality room ) - fine . - Views - top floor view Forbidden City - apparently room good view direction.- cost - check main discount website able get much well deal directly Novotel - 20 % regular sale rate , non - changeable non reimbursable reservation . become member Novotel / Ibis / Sofitel & quot ; frequent user & quot ; group - free easy web - access low price though.- Families teen - huge advantage Novotel kid ( least 1 , probably 2 ) stay free room age 16 , unlike 12 year cut - off hotel . lower cost good deal , make Novotel especially good option small families.- Location - central Beijing , near subway stop , near huge shopping mall shopping street , long walk short taxi ride Forbidden City , etc . go acrobat show one night trouble find taxi afterwards - end take metro back ( stop right beside theater ) get home fast 5 % cost end . fyi - subways ( metros ) easy use , announcement English well Chinese . plenty ATMs area ( across street nearby Peninsula Hotel ) . , good nearby food shop - turn right leave hotel , take first leave ; - maybe 40 meter road - good get snack reasonably price bottled water , etc.- room excellent shape . yes , hotel brand new room keep good condition , strong water pressure shower , safe include , sit area two small sofas coffee table , flat - screened tv , etc . - pool - small fine , impossible people lap kids pool time.- front desk concierge desk staff fine - well - inform pleasant . go less travel part Great Wall able get good English - speak driver day 600 yuan comfortable car . ( negotiate regular taxi 400 yuan , forget English , comfort , fair number Beijing taxi driver formula 1 wannabee ... - internet - two recent apple computer front lobby guest use free - quick access website . think ( sure ) wifi also available laptops.- Breakfast - Novotel breakfast buffet excellent overprice ( around 22 usd per person ) , eat . bad not offer lower - price continental breakfast people travel expense account ... never find good substitute breakfast restaurant area - place eat nearby mall shopping street open late , etc . twice buy pastry nearby store milk , Nescafe yogurt another , eat room . would return ? yes , without lot enthusiasm , , hotel bland fine . good option small family budget business traveler . would prefer go typical chinese hotel Hutong , end , glad - taxis loathe enter area ( road narrow ) , know small hutong hotel , first trip China , large western chain English - speak staff easy access make worth ... 
 Aug 1 2009 	 initially disappointing get well 	 arrive late 11.00 pm . although book pay advance many month advise go arrive late not pre - allocate we request room - two adjoining room family five main block preferably high view towards Forbidden City ( read Trip Advisor review ask . ) . instead give we two old room different floor adjoin tower - room number start 2 reception try give one room . say fully book night option - let we inspect room see suitable . 20 hour flight could - say not suitable go another hotel ? ? ? remember pre - pay . anyway promise move we next day . adjoining block carpet water stain smell musty - hallway low ceiling room look like not change since 1960 's . bed hard - well lie back try spread pressure body mattress rather lie side know pressure point . anyway move we next day main block level 10 . distant view Forbidden City back Novotel still cluster Hutongs . bed much well . room spacious average - well Novotels country . free wireless internet lobby bar - room internet exhorbitantly price although two free Macs lobby one one lways use . breakfast nice although bit pricey . cheaper good food mall 5 minute walk Wafujing St 6th floor . bottled water room rif consider could get 1.4 rmb local convinience store - pay 60 rmb room . stayed 11 night - great central location - walk second day Forbidden City - would well take taxi 35 degree Celcius ! 
 Jul 20 2009 	 alot learn guest expectation 	 outstanding location , poor service . weekend treat away Bangkok Beijing bad service weekend executive floor hotel . staff surely poorly train offer glass water lounge rather give lecture charge bottle water instead . thankfully place service encounter Beijing contradict poor impression . 
 Jul 17 2009 	 Excellent Hotel Beijing 	 Excellent location , close wan fuje shop street famous old Roastduck restaurant . staff bar staff friendly . impressed hotel . 
 Jun 26 2009 	 good city hotel 	 arrive able check straight away , even though 8 am . mean twin room rather king , good able get sleep , set we rest day . room pleasant , certainly shabby , people mention . the location good , minute main shopping area , walk distance Forbidden City , 20/30 minute think . always get distract shop , ' m sure long take . the pool nice , although footbath way pool look dirty , could not avoid . pool small , still english time ( sort ) swim open 6 am , pool ourselves . the breakfast good lot option , everything fresh . internet reception useful , hotel holiday provide service . change money lobby couple time , helpful , let mixture large small note . Mini - bar , like hotel , stupid price - 60 yuan bottle water , surely would make money charge less , people would use ? overall , good hotel , excellent location . 
 Jun 26 2009 	 good location slightly worn look appearance inside hotel 	 stay hotel 3 night , choose Peace Hotel seem central go hardcore sightseeing whilst Beijing . arrive late flight Kazakhstan , jump taxi Beijing airport initial confusion discover local recognise hotel ' Peace Hotel ' not understand Novotel part name . a huge lobby await , include 2 huge I - Mac 's free surfing , check - in fairly quick . layout hotel quite strange room wing mean go one floor walk around top lobby get lift floor stay . room standard Novotel fare , although large flat screen tv nice touch . the location good , choice 2 metro stop within minute walk distance . 's also locate less minute walk wangfuje St main Shopping St Beijing . it be quite possible walk Tianenman Square / Forbidden City , several occasion , take 10 - 15 minute ( depend hot ! ! ) overall hotel great location , although interior could little bit TLC . floor hallway carpet show sign air - con water leak manager tell due replace soon . 
 Jun 23 2009 	 reasonable Hotel great location 	 hotel good . within walking distance Forbidden City shopping district . subway station within 5 minute walk mean get around Beijing without much problem . Downsides - bed room unyielde hard could get strong wireless signal internet access suppose free . staff generally helpful . would stay . 
 Jun 5 2009 	 location important Beijing - Novotel Peace get 	 - number one hotel Wangfujing St. shopping , eat crowd , close ( 10 - 15min walk ) tiannaman Forbidden City . Beijing BIG sprawl city location important.- hotel two side .. lobby look modern free Internet via courtesy iMacs lobby . however , room old quite shabby . mattresse hard good way . old hotel try spruce renovation rooms.- think location make hotel would ignore room ' ve note fair . Beijing well price ( expedia we ) hotel great location . 
 Jun 3 2009 	 Holiday get away 	 whilst live central China , take family visit Beijing select Novotel Peace hotel weekend stay . as Novotels , China stay , staff excellent hotel give great value money . 
 May 26 2009 	 pleasant stay ... 	 stay 4 night 15 - 19 May ( room 1106 1108 ) would say pleasant stay hotel . upon arrival , give suite room not like idea walk wing hotel bring room . reception staff helpful make change give we executive room instead . though wish room high floor non - smoking , believe staff try well accommodate request . anyway , already nice hotel give we complimentary upgrade executive room . room 1106 strong smell smoke enter room , housekeeping staff duty helpful , spray air refresher help get rid smoke smell . concierge staff , Mr Stephen Mao , commendable . speak fluent English help we identify tourist attraction visit Beijing . also help we arrange English - speak taxi driver bring we Great Wall ( Mutianyu ) . free internet access lobby allow we check e - mail connect love one back home . excellent ! whole , enjoy stay hotel look forward stay . 
 May 25 2009 	 great location room average . 	 arrive hotel thought look really nice , certainly lobby restaurant area . however , room look ' very tired ' . also find bed hard , like sleep floor . fact even check sheet see whether fact board feel like . however , shower bathroom great extra large head well another use freehand . the wing stay funny smell - kind musty ' m sure something else . the location excellent , five minute walk main shopping street Beijing . staff friendly helpful . breakfast include rate enjoy selection . not eat meal hotel though . there two computer lobby provide free internet often use internet room expensive . 
 May 25 2009 	 great location style comfort European hotel . good value . 	 could not beat value location . could see Forbidden City window could easily walk wafuje shopping district . room lobby nice comfortable place american first trip China . staff nice , service oddity ' m sure fault . line exchange money often 20 minute , nearly impossible hail cab evening , nag enough & quot ; deposit & quot ; even though give credit card charge meal , incidental , etc . three criticism : breakfast buffet great , chinese , european american option , pricey lone option hotel . internet free high level room lobby . $ 20 / day two low grade room . oh , massage service , um , less professional . all , would stay easily . 
 may 13 2009 	 extremely overpriced poor value amateur / rude staff good location 	 Novotel 's accommodation least impressive expensive 7city-3week China trip . Beijing last city visit thought would splurge hotel end high note fall flat . book executive King room shock see room extremely substandard , unimpressive , small looked decorate 25 year ago . staff lazy generally unhelpful . porter / doorman stand outside refuse help we get cab occasion could smoke talk buddy . whenever ask employee something involve something pretend not speak english would hear speak fluent english 5 minute later . tell cab , supposedly double - checking , drop we wrong area airport HUGE problem Beijing airport since terminal far away might well another airport . thing make offended though restaurant / buffet . price absolutely ridiculous . outrageous go look see serve , maybe miss something ? Lobster Caviar cover gold leaf ? tell might interested eating want see offer , staff follow foot behind treat like criminal stuff food pocket run back door . lastly , let mention hotel know married honeymoon absolutely nothing make stay special . even congratulation . hotel extremely overprice quality room service . travel asia hotel cost 2 3 time much other major city like HK , Shanghai , etc . far superior every way . 
 May 13 2009 	 Nice situate 	 spend 4 night , hotel quite good suppose price reasonable . wireless restaurant free . the breakfast get extra ca 150RMB ... hotel center city , close Forbiden City . shoppe expensive . 
 May 8 2009 	 pleasant stay 	 first , arrive mid - afternoon Shanghai surprise 4.30pm room not ready . find internet room not complimentary . bring attention make booking Expedia.co.uk phone hotel check hotel confirm . receptionist , reluctantly agree honour promise . offer drink ask wait till room ready . king size bed available put room 2 queen bed even though executive room 1 bed . way , queen bed look like large single . nevertheless , room comfortable spacious comfortable sofa sit . nice floor ceiling window need clean , though . miss bathroom Shanghai wonderful shower Bund Riverside . phone room turn discover last day ask early morning call bell boy come upstairs knock door not answer . fair due , fault , previous tenant must switch . choose eat breakfast not include . man tour desk helpful choose book tour small bus small group Great Wall Ming tomb fine . on whole , aside early hiccup , pleasant stay . moment step build prepare deal solicit massage offer . get use . : ) 
 Apr 27 2009 	 could well 	 stay Beijing , stay Novotel Peace Novotel Xin Qiao . honest , enjoy Xin Qiao well . peace building seem old room . get upgrade premium floor ( suppose first place ) not great . luckily one night ... feel regular room dirty night , ventilation keep make high pitch sound , think something hall not . Breakfast Square near lobby lot well breakfast premium lounge . way selection , fresher food , however , not worth whatever charge , 125RMB . , afford , stay premium suite . Cleaner , new , free breakfast , Happy Hour , great ... free drink snack 6 pm 8 pm . aside , subway 5 minute walk ... far compare Novotel Xin Qiao , Xin Qiao step away subway . choose , would go Xin Qiao Peace . 
 Apr 25 2009 	 nice hotel good location 	 happy hotel - great location also rate get Accor Advantage member 3 day sale crazy - AUD $ 75.00 / night . hotel 5 min walk main shopping strip Beijing 5min taxi ride Forbidden CIty Tia'namen Square . arrive , request non smoking room none leave upgrade suite . nice enough situated old part hotel quite way away reception . large bit old tired compare part hotel . buffet breakfast fantastic - lovely food huge lobby great bar area could sit watch coming going hotel . also free internet 2 terminal near reception - good deal . staff always helpful attentive . 
 Apr 24 2009 	 Great Location 	 hotel everything could want . staff helpful , room comfortable , breakfast buffet enormous room service efficient . you book tour travel desk , would recommend hire hotel car visit Great Wall . cost 600 rmb whole day tag detour route . if not breakfast include room package expensive ( £ 15 per person ) , shop Mall across road low ground floor find nice chinese restaurant serve full breakfast around £ 3 , also serve great Dim Sum . free internet lobby Club room internet room also club lounge . worth pay extra club room get drink free charge evening light snack . hotel bar extremely expensive two drink two small snack come £ 24 - not want spend many evening relax bar . look supermarket one across road head towards Hilton hotel . shop hotel expensive charge 10x cost anything buy outside . clothe shop go Ya Show , 5 floor fake designer good , i - phone Gucci hand bag . bargain hard , thing sell 10 % original asking price , walk away not come price . daughter spend small fortune clothe reasonabley good quality - make sure room suitace . 
 Apr 22 2009 	 great location price 	 stay hotel last week 5 night . hotel service good . upon check give small room , not match description talk reservation department . immediately go stair explain wrong room , change room move bag immediately . standard room small would recommend couple . room 18th floor overlook street , enjoy breakfast everyday 19th floor . open 6:30am . conceirge front desk helpful providing direction , get cab , make dinner reservation , etc .... everything would expect big city . 
 Apr 21 2009 	 Great Location 	 Novotel Peace ideal place traveler want catch beijing finish business . located center active shopping area Beijing . also locate nearby Food street bustle local food evening . get thing like dog meat , fry scorpion , silk worm , snake etc . price reasonable approx . 700 rmb per night inclusive breakfast . novotel peace nothing fancy business feature service . 
 Apr 14 2009 	 great value location service 	 hotel within walk distance Forbidden City great shopping district . pay extra stay club level floor- wonderful buffet breakfast- probably good China . complaint super hard bed . really like hard bed like sleep floor sheet underneath . hotel soft beds- first one hard . 
 Apr 14 2009 	 good location 	 great location within walk distance forbid city ( reasonable walk ) within close distance night food market ( great eat scorpion ) reasonable room ( old wing could work ) , staff attentive enough although concierge not suggestive . ask good chinese restaurant outside hotel , suggest place next door . good . breakfast excellent almost worth stay . fresh ingredient ! ! overall good hotel . 
 Apr 12 2009 	 Perfect well locate hotel 	 Stayed Novotel Peace three night April 2 - 5 . clean , well - appoint , convenient central Beijing . business purpose perfect well - know hotel well walk distance everything . even Tianenmen Square Forbidden City easily walkable good shape . fantastic breakfast buffet ! flight crew Air France stay great croissant baguette ! highly recommend hotel type travel . 
 Mar 28 2009 	 Excellent Value Service Location 	 staff multilingual extremely helpful especially navigate foreign country . hotel not grandeur large hotel , still pleasant . room little cozy bed firm side . far value , location , service , hotel can not beat . 
 Mar 9 2009 	 western - friendly business tourism 	 stay 3 night Novotel . compare US business hotel , Novotel similar style nice Hilton , Westin , Marriott , similar & quot ; brand - name & quot ; hotel . ( Novotel recognize brand US . ) staff competent enough English make we languange - impair Americans feel ease . location within walk distance shopping mall restaurant shop . believe outside Beijing 's 2nd circle , reasonably close Forbidden City nearby attraction . hotel lobby impressive comfortable afternoon libation . breakfast buffet marvelous . would see great hotel business traveller , comfortable familiar hotel tourist . 
 Feb 12 2009 	 appreciate spacious room full - length window ' wall ' 	 take advantage good rate , US $ 70 per night , stay four - star hotel would otherwise splurge & quot ; normal & quot ; rate $ 150 + . room get double good view . bathroom well - equip , hot water time . everything work , damage evident anywhere room . must ' ve recently renovate . , love full - length window open onto street , ample sit space near window lounge chair rest . in - room bar well - stock , albeit fairly expensive ; contrast , room service ( burger platter order delicious hot ) reasonably price , high quality , pretty extensive western / european menu . hotel staff speak English quite well , take care answer question offer help , hold true restaurant manager well , Frenchman also speak English . location meticulously clean . perhaps one downside lack much bar scene premise ; lounge little : lounging , day field . also think breakfast buffet could offer extensive variety hot dish . 
 Feb 2 2009 	 Excellent every way . 	 stay hotel 8 night , two room . room spotless comfortable . the staff without exception , friendly helpful . we always eat breakfast buffet , give we great start day sightseeing shopping . 
 Jan 15 2009 	 making great stay 	 Novotel French chain Hotels , know reputation quality somewhat important . walk large open lobby find friendly ( helpful ) staff speak English . free Wifi Apple Computers guest use Lobby well . hotel room spacious , clean comfortable . water replenish everyday along nice towel bathroom supply . though inevitable will take cab lot , find location good , consider spread large Beijing . approx . 15 minute walk tian'man Sq . 3 minute walk one busy shopping road city , believe 's call Wangfujing Road . great food market open night road , eat Dog , Snake , Squid , whatever mystery meat vendor offer . get opportunity try buffet rather expensive , look amazing . overall , really enjoy stay would highly recommend anyone travel strict budget find good deal . 
 Dec 31 2008 	 central 	 Stayed Novotel Peace several time . good 4 star hotel centre Beijing opposite Peninsula close wangfuje shop street . airport take 40min . room clean spacious decor bit old fashion . book one Premiere room get access lounge . breakfast great offer big selection asian european dish . lobby two computer guest free access internet . 
 Dec 15 2008 	 Great Location need Better Maintenance 	 mention previous review , location hotel beat . easy walk Forbidden City , shopping , restaurant , etc . room , least room , book upgrade room ( recall exact term , high price standard room ) sadly need care . room large , bathroom large , bed comfortable , carpeting wear , drapery dangle hook , tv old get poor reception , bathroom shower curtain stain , marble bathroom mildew stain , towel small thin . sum , room shabby , give atmosphere poor maintanence . bit work place could bring standard we , speak poor management ( difficult put drapery back hook ? replace shower curtain ? scrub mildew bathtub caulking ? ) bad , hotel well locate potential , would book unless assure room refurbish . 
 Oct 3 2008 	 Loved Novotel Peace Beijing 	 spend 5 day Novotel Peace excellent , son stay free 15 , read good bad review decide stay , buffet breakfast well ever , even well Sofitel Xian , freshly make crepe wait , advise upgrade executive suite , 2 room suite 2 tv , son rollaway bed room , fault could find bed bit hard , hotel come across free internet lobby , 2 large apple mac , great . service excellent , Stephen porter arrive , speak good english write name chinese taxi . love Novotel Peace would not hesitate recommend anyone , even well Novotel Shanghai . 
 Sep 28 2008 	 give executive floor go 	 somehow - ' m still sure how- end executive floor hotel 5 night olympic . really enjoy perk . private check . enormous room - although strangly tiny bathroom leaky shower screen . floor take bespoke breakfast fantastic view across city place every night 6 - 8 hold & quot ; happy hour & quot ; free unlimited drink food - civilised . room service fair price ( although food bit tepid ) buffet restaurant opinion hugely overprice . location right thick city plenty place eat right top shopping centre . nice hotel . 
