boutique 	 special atmosphere , moment welcome friendly professional staff happy help request matter small . Hotel Rex great location near action ambience special load personality character often lack multinational hotel . normal room small , brightly decorate eclectic style . big day San Fran wonderful relax bar glass complimentary wine - Fridays string quartet follow jazz ensemble ! ask room high level senstive traffic noise . 
 Fabulous ! 	 stay Hotel Rex four night early November . check staff extremely helpful friendly find staff high calibre . deluxe double double room find plenty big enough even case lay floor . bed comfy shower wonderful . would ' ve like coffee maker room complimentary tea coffee available bar area morning . also , miss complimentary breakfast . Cafe Andree , next door , serve breakfast quite pricy comparison local restarant . complimentary wine evening great though ! hotel great location , block Union Square cable car station adjoining street . hotel staff great recommend tour restaurant . would recommend Lori 's diner breakfast great coffee Puccini Pinetti dinner . overall , would recommend Hotel Rex stay wonderful city . 
 Nov 6 2009 	 lovely homely yet chic hotel 	 lovely stay Rex around corner Union Square good access nightlife shopping streetcar stop corner Sutter Street access Fishermans Wharf also really easy . room nice spotlessly clean comfortable bed wonderful ambience hotel . fresh coffee available morning lounge staff guest helpful friendly . would definitely return Rex . 
 Nov 4 2009 	 great hotel ideal spot reasonable price . 	 2 day leave trip spend San Fransico . staff hotel great parking service make life easy . also great cafe 2 door serve lovely breakfast . definitely stay . also offer complimentary wine night ! ! 
 Nov 4 2009 	 mix feeling 	 husband stay recently really mixed feeling hotel . reach Hotel Rex nine hour drive welcome friendly staff . walk room realize bit warm thought could we spot a / c switch think turn bit later . night progress become unimaginably hot , call front desk realize a / c available specific room . exhausted could not think move another room finish unpack . thought would request move next morning . 3 am like sauna could not bear sleep . ridiculous . open window not help not like idea sleep window open anyways since room fire escape . 3:30am could not stand ask move immediately . front desk move we right away room a / c shock make think give we horrible room first place room a / c available . move new room realize significantly cool , not even need a / c , less noisy . the next morning speak manager problematic night . understand friendly immediately take responsibly room . impressed obviously compensate night . would say experience positive first night . advice stay room fire escape . notice reviews site complaint , wish read beforehand . think right Hotel Rex let room unacceptable perfectly good room available . think not first night experience would agree majority review hotel pleasant place friendly people nice restaurant . 
 Nov 3 2009 	 wonderful boutique hotel 	 stay Hotel Rex attend conference big , much expensive hotel mile away financial district . really like Rex 's large room , generous sized bath , atmosphere . room near back 3rd floor quiet . staff friendly helpful . location great easy access Powell Street Cable Cars hotel provide complimentary town car transportation Financial District every morning make get conference easy . price right . often regret stay hotel site conference case really glad Rex much charm big hotel . would definitely recommend either business stay vacation . 
 Nov 2 2009 	 Perfect location staff 	 Hotel Rex part Californial & quot ; Joie de vivre & quot ; collection boutique hotel . stay boutique hotel throughout San Francisco . always well located , clean , eclectically decorate friendly service - orient staff . Hotel Rex different . front desk aware staying week therefore upgrade quieter , slightly big room . lobby decorate library / book motif -from book panel & quot ; study & quot ; relax morning complimentary coffee tea evening complimentary glass wine . major newspaper available read site take back room . room tiny well lay . functional wire wireless complimentary internet access . room service prompt friendly . attach restaurant provide food great place full breakfast . price per room competitive 's location over - the - top feature . Hotel Rex sit exactly 1 block Powell - Mason Powell - Hyde cablecar line Union Square . business city conference nearby Moscone Center , location ideal . restaurant shopping step outside front door . return SF business leisure ( often ) definitely stay Hotel Rex . 
 Oct 30 2009 	 fabulous girl weekend Hotel Rex 	 hotel step away Union Square great thing SF offer . staff helpful restaurant superb . three we , two double bed . room good size nice amenity . could tell 's recently update everything clean hip . can not wait go back ! 
 Oct 30 2009 	 Rex Place 	 Hotel Rex always first choice travel San Francisco ( unless need stat close bay ) , ' ve stay many time . staff well anywhere , hotel comfortable , location great . room fairly large SF bed comfortable , although tell past trip be process replace room . warn hotel nothing fancy , be look home away home would hard beat . check 5 minute stand line . mean stash luggage enjoy city quick . wine reception bar area evening include live music Friday night . free coffee , tea , newspaper morning , bar area . business center , tuck away hard find ( be label Library ) . restaurant , Cafe Andre ' , actually good worth try not feel like go . eat friend trip food excellent . hotel block half Union Square , two block Nob Hill , around corner Sears Fine Foods ( fantastic ! ) , half block Powell Street Cable Car line . 's wrong place ? much , nit picky item . wireless internet slow make remote access usable , standard e - mail web browse fine . old building notice visit , least room sixth floor , floor dresser level ( dresser door stay closed ) . area hotel , mostly stairwell , remind unsettled nature ground bay area , ' ve stay minor quake never know someone tell later . anyway , not need pampered look hotel SF staff treat like family , actually meet speak traveler ( wine reception ) , begin feel like local , Rex place . oh , be lucky will even get meet Max ( ask staff ) . 
 Oct 28 2009 	 home home San Fancisco 	 Booking computer bit quirky , excellent staff soon sort problem . room clean well appoint , although coffee machine would handy . problem though coffee shop round block . the food hotel good reasonably price . lot altrnative eat place around block . 
 Oct 27 2009 	 friendly 	 plus : boutique hotel good price , reasonably good location , interesting decor friendly helpful staff . minus : room ( admitteldy clean reasonably well appounted ) TINY ! 
 Oct 27 2009 	 enjoy stay staff awesome 	 go Hotel Rex first part honeymoon really enjoy service receive . hotel fantastic location , wonderful staff great value . they offer guest complimentary glass wine 5 - 6 well receive food attach restaurant good . the room ok ( back hotel quiet view ) clean well servicedall , would certainly recommend people stay . within 1 block union square well 
 Oct 26 2009 	 Perfect hotel solo traveler 	 need hotel one night seminar Fairmont . Hotel Rex closeby price reasonable . glad choice . love ambiance wonderful staff . bar great place complimentary glass wine , another glass wine small plate later check email courtesy free wireless throughout hotel . fabulous location - easy walk Union Square Westfield ( hello Nordy 's ! ) .Room exceptionally clean nicely furnish . small , though , american standard . use american hotel room might feel cramp long stay two room . overall please select Rex 24 hour San Francisco . 
 Oct 26 2009 	 would come back heartbeat 	 arrive rental car 7 pm . find hotel easily . Great Location . within walk distance nearly everything . SF Hills challenge depend way head ! ! hotel quaint everything need . room small adequate clean . Bathroom recently renovate . service good intercomm system bit unreliable . 4.30am wakeup call miss one morning fortunately awake . front desk staff helpful obliging price reasonable . friend stay one expensive hotel SF say Hotel Rex far well location catch taxis regular basis . spectacular experience SF would thoroughly recommend traveller . 
 Oct 21 2009 	 Hidden Treasure 	 location great . service excellent . room clean nicely decorate . rate one good come across area . 
 Oct 18 2009 	 good value great location 	 disappoint Hotel Rex . pay little extra King Executive room , nice spacious include couch . new flashy , comfortable friendly service . complaint safe room - safety deposit box reception fine passport etc , make little difficult item like laptop . fantastic location , would certainly recommend . 
 Oct 17 2009 	 exactly describe 	 virtually every review hotel hit nail head . nothing exceptional solid value great location plesant helpful front desk staff . room slightly funky Executive king roomy worth small upcharge . glamorous hotel operator make well aged building give unique character . would hesitation choose hotel San FranciscoFree efficient internet much appreciate . long choose hotel charge outrageous internet fee . 
 Oct 15 2009 	 really nice hotel - great location without noisy 	 stay 3 night - really fab service front desk bottle Cava wait we anniversary - real treat . nice hotel - feedback would put room disabile access : bathroom mean room bit smalle accommodate large bathroom . fine though . very good location without noisy . never eat hotel always about . get transport pass - 18 dollar 3 day - use everything ! well worth - buy Walgreens cosmetic counter across road Hotel Rex . hotel staff - thank much special stay ! 
 Oct 13 2009 	 Hotel Rex charm stay long leave . 	 book Hotel Rex 20th anniversary trip online , base perceive value , location review . online pic make look quaint charming .... deliver count . location perfect we . tour book rent car Hotel Rex perfect walking distance we . price afordable icing cake . room update , beautifully decorate , clean spacious imagine . amenity keep fine boutique hotel . staff absolutely tremendous . every single interaction staff member exceptional ... society not expect much anymore , absolutely treat we important people room speak we . always leave housekeeping tip every single day , would thank note housekeeping . never anyone take time . another unexpected surprise chill bottle champagne leave Hotel Rex staff . special . wait visit San Francisco let everyone know wonderful experience . 
 Oct 13 2009 	 Hotel Rex work . 	 recent business trip San Francisco stay Hotel Rex . 2nd time stay would . hotel locate near Union Square convenient business trip . located area number good restaurant . staff hotel great . coffee 5:30 Happy Hour drink staff always ready help . my caution would sound sleeper reading . room locate street ( 4th floor ) street noise could issue . , sleeep like rock . light sleeper might want request room street . 
 Oct 12 2009 	 Great Location Great Service Cosy Good Value 	 stay two week would warmly recommend . keep lots luggage we travel around California , take post give we excellent recommendation . service warm , nothing problem ( particularly male reception staff ) pug dog reception adorable . free wine reception night atmospheric generous . room cosy bed comfortable . bathroom supply generous . would definately go back . great location , surround good bar restaurant . 
 Oct 12 2009 	 Good Value Boutique Hotel 	 stay Hotel Rex two night July . boutique hotel ' ve stay San Francisco Serrano , reason able book amazingly cheap room 2007 ( look Serrano trip rate well $ 200 night ) . serrano point comparison , would say Hotel Rex good value boutique hotel San Franciso might knock sock , money enough going still make great place stay . room stylish contemporary linen funky frame art , little ' cozy ' side . bathroom also bite small nice enough . room bit stuffy open window ( great able ! ) use fan provide room sleep like rock night . window face street , far enough noise not really problem ( especially fan go ) . location great - central always feel safe walking around area . term service , find everybody friendly helpful enough , nothing extraordinary ( think really ' wowed ' us Serrano ... ) like : fun , funky decor able open window . what like least : felt bit ' cramp ' everywhere - hallway room . 
 Oct 12 2009 	 Yep - good'un 	 first , grumble room dark , window look onto brick wall . solo traveller actually spend little daylight hour hotel , much annoyance want spend time room . other REALLY like place . room comfy though great bedlinen , toiletry , free fast wi - fi connection , etc etc . superbly locate Union Square great walk / tram North Beach , Fillimore St area etc . the hotel small , warm friendly exceptionally good staff . public sit room comfy ' free glass wine ' hour 5 6 pm nice touch full atmosphere guest seem pitch it . pot coffee etc available help 6 am lounge take back upto room also well think . not eat restaurant area not look anything special honest , need anyway choice outside front door . I would / will stay without question return San Francisco , hope soon rather later . 
 Oct 10 2009 	 wonderful boutique hotel well locate charm excellent service 	 pleasantly surprised wonderful boutique hotel within easy walk distance array restaurant , shop local transport . staff efficient friendly , create enjoyable atmosphere stay . row upon row old book , historical information , drawing contemporary dancer decore bar resturant make evening complimentary drink abundent breakfast well worth visit . 
 oct 9 2009 	 good boutique hotel ' ve ever stay ! 	 select hotel 32nd wedding anniversary / vacation base . Stayed Aug. 26 - Sept. 4 . Joie de Vivre hotel chain make hotel stay well ' ve ever experience world travel . decorator inspire New Yorker Magazine strove create 1930 's California literary / art scene . decor furniture , Steinbeck et al quotations/ charicature / wall art , painting , color scheme , Society list page elevator , library - club - like lobby lemon thyme scented toiletry lemon / green / black room decor , well thought . hotel excited sense . ask guest donate support literary charity , keep overall theme . everything wonderful -- location , service , food , etc . convenient everything want . amount time take valet retrieve rental car remote lot ( pay daily fee ) excessive visitor allow little extra slack need vehicle . use public transportation -bus , trolley , taxi ( include one resident parrot ! ) happy . five star ! * * * * * * 
 oct 7 2009 	 great atmosphere helpful staff 	 stay 5 night part honeymoon . lovely hotel plenty character . staff helpful great atmosphere bar hotel general . 's great location union square . thing bit pain bed quite small uncomfortable may good condition . part great stay . 
 Oct 5 2009 	 great option union square 	 expect lot place read review - live expectation . room small side ( San Francisco like though ) everything need . bed surprisingly comfy , sheet really soft . staff really nice , helpful . get great deal well worth . 
 oct 4 2009 	 great location 	 small hotel room size good little time . Ritz comfortable . need AC wise room would stuffy . front desk , esp . Orian , helpful . give we good service ever experience hotel stay expensive one . would stay location perfect city . 
 oct 4 2009 	 Great Hotel 	 spend 4 day Hotel Rex really love . incredible location , unique gracious hotel , enjoy wine night jazz Fridays , front desk want upgrade we large room street side decline put Room 508 much big regular queensized room quiet . view will trade view sleep . see queen room much small happy room . Windows not open luckily cool . think could problem later air conditioner strong loud . coffee good lobby always ready . would stay minute . good choice . 
 oct 4 2009 	 Nice Hotel 	 stay four night Rex july . room neat clean comfortable although little small side . location wise good place stay close public transport short walk china town . lot street people SF look rather nasty . fortunately rex area not seem frequent . certainly would like stay low end town look bad . we would stay rex recommend . 
 oct 2 2009 	 convenient comfortable ideally locate 	 Quirky boutique hotel provide ideal short stay location city . staff welcome answer question . room decor seem little tired perfectly comfortable compensate convenience locate . great access Market Street shopping area . good public transport connection airport also close bus , tram trolley stop areas city . free wine reception 5 6 pm nice touch make back hotel . one good breakfast city Sears around corner . 
 Sep 27 2009 	 Love love love Hotel Rex . 	 great hotel ! excellent location . walk everywhere . front desk staff friendly , knowledgeable really helpful . room ( double / double ) lovely : clean , quiet well - appoint . take stair room enjoy read quote famous writer floor . Maximo pug extra special addition . every hotel ambassador . 
 Sep 27 2009 	 great friendly boutique hotel 	 Front desk staff extremely helpful , check check efficient . room comfortable quiet . Hotel Rex great location close Union Square trolley line . would definitely stay . 
 Sep 26 2009 	 great place 	 recommend friend stay Rex really live recommendation ! . room great staff helpful , nothing much trouble certainly know city . 's great location agreat hotel special ambience . go back SanFranciscso certainly stay Rex 
 Sep 23 2009 	 great location 	 wife stay 3 day move coast . location amenity really good , especially wine afternoon . slight drawback size room otherwise everything else ok . Lori 's diner 50 yard away serve wonderful food 
 Sep 20 2009 	 really competent small hotel 	 4 night end 19th Sept. Room though big well furnish everything work . staff friendly helpful . Cafe Andre good breakfast . happy Hour good great jazz singer Friday . would recommend want quiet tastefully decorate hotel heart City 
 Sep 19 2009 	 Perfect home away home ! friendly comfortable Clean ! 	 Perfect location everything daughter last minute shopping college essential not want schleppe east coast walk stuff move dorm ! comfortable bed , clean nicely appoint room , great lobby plenty place sit - perfect morning drink coffee read array newspaper let daughter sleep . staff could not friendly accomodating - front desk staff everyone encounter hall - esp . Jeff pup Max ! ' ve already book trip visit daughter fortunate book . 
 Sep 17 2009 	 Great Service Great Location Great Price 	 staff friendly checking . decor fresh atmospheric . room large comfortable . location fantastic restaurant , shop , diner close . pick fault would say sanitary fitting bit wear air con unit ( need ) noisy . great value would hesitate recommend Rex . 
 Sep 15 2009 	 Superb experience - would definitely come back SFO Hotel Rex ! 	 husband stay Hotel Rex 4 day August 2009 . room clean , front desk staff polite enjoyable time . stay Hotel Frank , go Los Angeles , front desk unfriendly direction , place interest even restaurant . Hotel Rex polite , clean definitely accessible . , great stay ! 
 Sep 14 2009 	 Hotel REX SF favorite ! 	 Hotel Rex first choice time visit San Francisco . staff personable , extremely helpful , appropriately personal . 's beautiful old small hotel much character charm & gt ; 
 Sep 13 2009 	 Great Downtown SF Hotel 	 room nicely decorate , large enough comfortable , clean . the front desk staff helpful friendly . enjoy wine afternoonand one night entertainment ! ! restaurant good . hotel close Union Square close noisy night -- plesant , restful stay . other member family stay also please room hotel general . 
 Sep 13 2009 	 nice hotel shame finance dept 	 book hotel january last minute.com pre pay £ 488 4 night june . arrive hotel record booking . find us room photocopied paper work last minute.com . hotel assure we would charge need swipe credit card case want add purchase room . leave hotel give receipt tell booking sort nothing pay . july credit card statement show hotel take £ 312 account . several phone call last minute.com inform matter sorted would recieve refund . credit card statement arrive august hotel take £ 318 account credit back £ 301 pound day august . mean hotel REFUNDED £ 312 TAKEN £ 17 credit card . 
 Sep 13 2009 	 can not say enough good thing Rex 	 can not say enough good thing Rex . great location . there s store right across street . great restaraunt everywhere . music festival Golden Gate Park & amp ; need catch cab everyday across town . never take 60 second . staff helpful & amp ; friendly & amp ; knowledgable area . check & amp ; check go smooth . room clean . room two bed & amp ; big expect . do not hear door opening & amp ; close nite . price seem pretty good compare other area . definately stay Rex anytime city . 
 Sep 13 2009 	 Ambiance comfort excellent service 	 , warm , upbeat , trendy atmosphere . impeccable service . Happy Hour pleasurable experience . suite comfortable user friendly . design need mind . 
 Sep 12 2009 	 Perfect Location Nice Room 	 location could perfect ! first trip San Francisco find loation great ! Union Square less two block away , cable car stop corner . staff fabulous ! disappointment get & quot ; San Francisco Greeter . & quot ; would awesome , husband play golf day arrive . , cable car stop right corner , hop ( 7 a.m. ) go Wharf morning , ride back Union Square shopping . problem ! would definitely stay Rex highly recommend ! 
 Sep 11 2009 	 Hotel Rex - will definitely repeat guest 	 husband stay Hotel Rex leisure stay San Francisco . location perfect we tour around city , feel great base . front desk personnel always helpful knowledgeable . eat breakfast Cafe Andree - superb blueberry pancake huevos ranchero . let describe accomodation . junior suite king bed . Fodor 's list 2 drawback ; small bathroom musty hall smell . well , bathroom ample hallway part old building , part character . love library theme warm cozy feel lobby afternoon happy hour . room pretty lovely color bed comfortable . not care chain hotel anyway satisfied charming inn . can not really think anything negative say plan stay hotel next visit . Union Square 1 block , cable car route block , Walgreens across street dining option also nearby . would absolutely stay recommend traveler . 
 Sep 9 2009 	 great location even great city 	 first time San Francisco . find location , location , location key come big city . hotel centrally locate everything want check San Fran . right near Union Square central shopping hub . short walk take Chinatown , cable car nearby well . hotel quite old , number new furnishing modernise . room clean , large enough staff pleasant enough . ' wow ' factor hotel , great value price pay . the city number highlight , include Golden Gate bridge , Ghiradelli Square , Alcatraz , Little Italy , Ferry Building Chinatown etc . however great city walk around take atmosphere . you check Fleur d'Lys restaurant close hotel . Hubert Keller ( recently Top Chef Masters ) amazing chef , romantic setting . 
 Sep 7 2009 	 could not pick well place ! 	 husband not San Francisco 15 year , really look forward great experience five day town . Hotel Rex fit bill . great location - convenient walk almost everywhere cable car half block away . hotel ambiance wonderful - wonderful old woodwork , mustard wall great art - & quot ; lobby & quot ; area bar area like living room wine hour fun - meet lot great people world . front desk staff extremely friendly , helpful courteous give we great advice get place , eat etc . the room small accomodate - lot drawer armoire stash stuff . everything clean . negative two chair room next round table uncomfortable - need furnish well chair - eat Cafe Andre ( hotel restaurant ) twice - breakfast dinner - food good spectacular , waiter seem little inexperienced , convenient . all , would definitely return Hotel Rex next trip ! 
 Sep 6 2009 	 Location Location Location Clean Friendly Fabulous ! 	 second stay Hotel Rex , time friend join we SoCal ask room floor . Rex like stay family . wonderful host , look fulfill every need express . hotel grand , location perfect need . ' ve stay Wharf Russian Hill , really , Rex good location , value , attitude . 
 Sep 6 2009 	 Brilliant hotel 1940 's style 2009 comfort - 's look kid ! 	 walk Rex like go back time . expect see Bogart Bacall sit bar man wear hat like 1940 film noir . except behind literary style facade furnishing lie well manage , comfortable hotel right heart downtown San Francisco . all staff friendly happy help suggest thing see place eat . stay double double ( room 205 ) good size comfortable bed good furnishing . Bathroom ok - small bit basic shower strong water hot , real complaint . room quiet see something front might noisy Sutter Street active pretty much time nightclub next door . every evening offer free wine ( one glass ) excellent californian wine lounge / bar get pretty busy interesting guest local . bar food also available reasonably price . great attraction hotel location - minute shop Union Square bit Market Street . also get cable car corner Post Powell much easy wait end line want touristy thing . stay 4 night enjoy every minute lovely , stylish charming hotel . have breakfast next door Persimmon Restaurant clean , well run serve great selection large portion . can not wait go back sometime - highly recommend . traveller tip . rented car Avis Post Street ( pre - pay UK get good rate ) , endure great deal hassle try upgrade something big expensive sell optional insurance not need . four we insist need 7 seater . Ignore sell car book big enough family possibly couple squeeze . sale attempt delay we 30 minute - wonder line long number irate people wait get car . 
 Aug 31 2009 	 clean hotel good service reasonable rate 	 hotel reasonable , clean service good pay . location central , walk distance Bloomingdales , Nordstrom , Macy 's many big store , short walk tram station . 
 Aug 31 2009 	 Hotel Rex turn gem ! 	 find right hotel Union Square area San Francisco take lot research end , leap faith . strike rich Hotel Rex ! give we good rate , include parking , service superb time step door morning leave . staff well - train eager help way . our room spacious King back main street request , turn quiet . bed comfortable room immaculate . dinner breakfast onsite restaurant , excellent . Hotel Rex indeed home away home certainly recommend other . hopefully opportunity stay day ! 
 Aug 31 2009 	 always stay Rex . 	 ' ve never find hotel S.F . offer well mix value , convenience amenity . automatically book every time come s.f . business , 4 5 time year . 
 Aug 30 2009 	 great place stay 	 staff excellent . room whole hotel clean . reasonable . 
 Aug 30 2009 	 elegant comfortable artsy . 	 love Hotel Rex , staff friendly helpful . hotel locate heart San Francisco able walk everywhere . love elegant boutique atmosphere . 
 Aug 29 2009 	 great find near Union Square 	 Rex stay SF last 5 year not stay anywhere else . friendly staff , clean , great happy hour convenient anything would SF . everyone travel pleased Rex hotel choice . thank ! 
 Aug 29 2009 	 Felt like home away home 	 stay Hotel Rex 7 year ago good memory ... stay week quickly fall love . particular room little bit cave .. brick wall view , therefore little dark not get cellphone signal room .. quiet cozy . the staff lovely helpful . great hotel around . 
 Aug 27 2009 	 Met expectation 	 read glow review Tripadvisor , decide stay Hotel Rex , two block Union Square . room comfortable , bed quiet atmosphere welcome , furnish robe slipper gave add touch consideration guest ' need . staff surprisingly patient , helpful courteous ; manner , indicate normal way act . hotel offer wine gathering evening coffee morning . not take advantage , , comment . wa not find fault , , negative room might bother someone else , , fact life , . example : tv need how - to - operate schedule ; on - screen information adequate . staff came explain ; end problem . heater also need how - to infomation . next time , will get ; time , not important . refrigerator , microwave ... stay 7 night ... however , ask , receive , electric tea kettle , could make tea . bed comfortable get well rest , year . hotel part Joy Life club , strongly suggest people join . perk include personal attention upgrade . however , important , volunteer San Francisco person meet hotel give information area , take brief walking tour , explain describe , go along .. invaluable . hill San Francisco can not avoid , , someone still recover year hip leg problem , navigation intimidate . however , thank past therapy SF ; incredible energy , every thing work . one pleasant week spend year . 's lot information could share . ask question , will glad reply . 
