absoloutely 	 hotel pefect kid ! kiddie goody include : - color book check - in- fantastic rooftop pool kid - friendly policies- Cartoons elevators- huge ( 500 + sqf ) room plenty room play- close central park zoo playgroundsWe stay SPG point , can not beat ! also love adjacent restaurant ( Seppi 's ) , reasonable price food , especially Sunday brunch ! . 
 great hotel good location 	 second time stay hotel not let ! service always good friendly front desk staff . room spacious average NYC room great view Central Park . Norma 's ( hotel restaurant ) legendary breakfast bit pricey great starbuck directly opposite fab deli nearby . hotel bar lovely serve great prosecco ! burger bar also locate reception infamous , unfortunately not get eat queue always long . hotel concierge service second none , incredibly helpful recommend restaurant aswell book ticket tour . great place stay get good room rate . tip would give avoid room service work pricey , especially many great place eat nearby 
 ask Questions ... beware 	 would not think would ask hotel air conditioning ? 's warmer usual November . hotel warm . check thermostat room say , & quot ; be hot cold , call & quot ; . well , hot . set temperature 69 degree wait wait wait . end finally call . send engineer right . tell we Winter air conditioning hotel ... heat . want room cool open window . ( KIDDING ! ! ) . well , think cold drink mini bar might order . one .. full anything might like . except hotel unplugged ... worry . would willing bring one fee would actually cool drink . room advertise come 32 & quot ; flat screen tv . old Sony Trinitron . good side , midtown hotel terrific location . main desk always crowded elevator seem take forever . next time need midtown hotel , think will try something else . price like four star hotel certainly live billing . 
 Great Location -- Great Place Kids 	 okay .. 2 stay hotel times family ( long weekend time Thanksgiving City ! ! ! ) .. sincerely say GREAT place familie many different reason . # 1 Location , Location , Location . close Central Park , Close Rockefeller Center , Close Times Square , Close shopping list go ... # 2 Indoor pool : okay .. must admit set - up little weird first feel uncomfortable ... get ... INDOOR POOL Manhattan worth kid . Swimming Dinner Pool ... can not beat . # 3 Burger Joint Tons Restaurants close . little one easy meal good food mom dad must . Place Delivers ! . cold beer good burger City ! . pizza delivery Angelo 's Thai food Topaz Thai combine Mac Cheese Room Service great mix . okay -- 5 Stars ? & quot ; french & quot ; attitude staff front desk lack something issue , abilty apologize little lacking ... address issue ( little stuff , like extra pillow , jumble order room service ) not necessarily smile . say , , get way City Le Parker Meridien deliver family Junior Suite nice space family 4 , New York City standard . housekeep pleasant extra tip ever Thanksgiving City -- -Ruth 's Chris Price fixe menu AWESOME . $ 123 family 4 bottle wine ? can not beat ! 
 Better think 	 Hotel nothing special outside check take time , however room nice . see ceiling mold bathroom give old building New York probably expect . nothing personally notice ( husband point ) not affect stay . room quiet well maintain . hotel right behind Carnigie Hall 1 - 2 short block Central Park Madison/5th Avenue shopping . move another hotel half way trip experience two different location , say like Westin Times Square well . 
 Oct 27 2009 	 Perfect Weekend away 	 stay two night attend wed NYC little getaway . place 1st class stay perfect . staff awesome , hotel great location , room super clean comfy . upgrade we suite upon check - in thrilled . good hotel stay NYC , include Ritz . not get eat Burger Joint- line long , hear good . eat Norma 's Brunch - would say negative - good , SUPER cramp - litterally top one another food really nothing special .. $ 100 tip Brunch two , even NYC standard nut . 
 Oct 27 2009 	 Gread location quite expensive 	 stay Le Parker Meridien two week business . great location mid town choose . reception , door staff concierge friendly , room ok remarkable bathroom rennovate show age chip lose tile . gym good open public . charge fee hotel guest . small pool roof sun deck . bar unremarkable public area walkthrough two street . burger bar unusaual real hotel restaurant . I would happy stay get good price , otherwise would look well value elsewhere . 
 Oct 24 2009 	 Awful Customer Service non - update room 1985 stay elsewhere 	 find great price know well . room smell funny truly date 1980 's . tv break , call downstairs repair tell try unplug replug . try call back , tell sorry happen sometimes nothing could , full . 3 day stay - tv complete refusal move , upgrading , compensation . bathroom also old smell awful ( mold wall , corrode shower head etc .. ) . feel like rename Le Parker Motel . I would suggest stay elsewhere many great hotel area . price pay could choose new update hotel . even free would stay hotel . 
 Oct 21 2009 	 great hotel great location ... 	 second time review hotel . stay couple time last several weekend pleasure . always place Parkview room since . happy hotel service far . hotel well locate heart Manhattan , proximity Central Park , city interest . furthermore , hotel lot interesting thing , Burger Joint , Roof top swimming pool observatory , etc . believe other already put lot information hotel surrounding review , want go time . this time place low floor room , since hotel fully book . room facility ( 7th floor ) parkview room stay , still nice comfortable , mind view ( bad , least window window building across street , could still shade , without worry privacy ) . happy . low floor may good choice , ' want pay premium , not stay room long time ( since may want check city anyway tenure ) . plus still use roof top swimming pool observatory time open . I would like get new hide gem time review : check stretch class Saturday morning 10:30 City Center ( across street : 130 West 57th Street , next starbuck ) . place call " Ballet Arts " , locate 6th floor City Center . hard find , straight across street hotel . the class design dancer stretch relax mind body . last hour . teach nice lady South Korea , ballet dancer , actively involve many dancing activity city . since South Korea , lot oriental technique incorporate class , excellent , since class US less , nothing new Yoga american style . think really set class apart rest US . ' give wrong , ' dancer go . relax peaceful class , christian music floor mat gorgeous old NYC style studio . somewhat like yoga class , much relax joyful , different way ( hard muscle involvement ) . guess anybody take , fun , want relax weekend morning night sleep hotel . plus teacher tailor specific need level everybody class . course , much flexible other , class relaxation . class start warm stand shake hand leg stretching . work way head shoulder , chest , back , waist , hip leg ( quadricep , hamstring calf ) . slow progress , hard movement , pain . also choose work hard relaxation , totally . student nice , dancer , . could tell happy class . I strongly recommend class like relaxation active way , stay hotel weekend . run Sat morning 10:30 1 hour . cost $ 15 . specific dress requirement , need dress relax loose , stay comfortable . check . 
 Oct 18 2009 	 good location . 	 well position - near Central Park within walk distance Times Square . handy tube . Normas breakfast recommend french brasserie style bar delightful . burger bar seem strange addition upmarket hotel experience miss . staff helpful - change room arrival . request room 2 double bed overlook park . initially give room without view one bed put settee ! expensive current sterling exchange rate . tea / coffee make facility room . 
 Oct 16 2009 	 Fabulous hotel exquisite decor Fantastic location 	 would recommend hotel anyone travel NYC . centrally locate Midtown Manhattan give we easy access theater district , shopping museum . we will definitely stay future trip NYC ! 
 Oct 13 2009 	 NEVER 	 stay hotel almost 15 year see alot change , positive . last long weekend sadly last property . good location remain old property . we terrible time arrange room front desk staff . without get detail , level service drop point hotel do not even resemble old property . hotel remodel room 36th floor small careful bang furniture attempt navigate way bathroom . bathroom small even without bathtub wife could not stand get ready time . do not plan meet lobby . cold , small chair available uncomfortable . 
 Oct 10 2009 	 okay not live hype 	 husband stay quick visit NYC . overall would say hotel okay . happen get free night not pay 500 dollar night , would disappoint . especially pay everything include internet gym . 
 Oct 10 2009 	 Mold problem bathroom poor customer service 	 Corner suite 3602 bathroom reek mold black / red mold wall ceiling . call complain argue 15 minute & quot ; mold ok natural & quot ; . finally convince move type room 3702 bathroom less mold - still moldy bubbly crack paint ceiling , black mold grout quite dirty / wear appearance . 
 oct 8 2009 	 Perfect choice get good price 	 Upscale ( ultra high end ) , comfortable ( good room , great ) , outstanding location ( terrific view Central Park 37th floor ) , excellent food service . would stay heartbeat $ 200 / night . $ 200 / night see bargain since many nice hotel NYC . 
 oct 8 2009 	 good value NYC 	 well locate , clean recently renovate room . normal NYC street noise . room large comfortble , separate seat area large desk . large modern bathroom . 
 Oct 5 2009 	 nice great hotel great location 	 stay one night hope hotel , impressed . nice , border great , hotel . check - in smooth . junior suite sweeeet . mad Men retro feel deliberate consequence aging . bed comfy location fantastic . give late check - out , make siteseee easy . nb : enter 56th street , 57th street enterance bar / restaurant . 
 Oct 5 2009 	 stay free 	 spend quite time Asia spoil asian hospitality , recently stay weekend Le Parker Meridien Midtown , complemetary SPG free night program . arrival , hotel nice lobby lounge bar look charming . front desk receptionist quick check we offer we upgrade park view room . everything point nice stay surpise come enter room 15 - min wait elevator ride . immediate reaction step time tunnel enter cheap motel room 80 . everything room like date , whose idea keep VHS tape player entertainment console ? service average , NYC standard . unless hotel spend time money complete renovation , stay away , unless free . 
 Sep 30 2009 	 great 	 great cheap . uptown . watch mini bar , touch , get charge room . if find own parking , will save alot . 
 Sep 29 2009 	 great hotel 	 stay free night SPG . upgrade we free junior suite since son we , let sofa bed like sofa bed , uncomfortable . think room great , love shower , pool nice great evening view city . burger shack teh loby cool great eat . nice trip , particularly not cost anything ! would worth pay . 
 Sep 28 2009 	 several small dissappointment = one big letdown ! 	 go Manhattan last week short notice corporate travel dept . book Parker Meridien . not stayed look website like see . 's Ritz Trump Towers certainly look nice chain hotel . check impressed staff . friendly courteous well fast . work day last thing want big hassle check - in . first impression great . unfortunately impression not last upon see room . first thought look like much cheap hotel room get new new decoration . furniture seem cheap , room bathroom small , & quot ; amenity & quot ; joke . cordless phone last five minute battery die . iron never heat enough iron shirt . ironically A / c opposite issue . even though set 53 degree room never really get cool . ceiling shower cover mildew . ' m sure in - room vcr nice unfortunately leave VHS tape home . know hotel price Manhattan ridiculous even take account $ 350 + hope little moldy ceiling panoramic view back alley . know hotel room look be asleep money would like look little nice eye open . 
 Sep 27 2009 	 good location nice room great view service could improvement 	 pro : room interesting , junior suite separate living room . furnishing remind one boutique european hotel . Gravity Spa Gym awesome ! Norma interesting brunch experience , not forget make reservation brunch . the french restaurant hotel open till 3 great like we reach night . con : must go busy day usually spg platinum member never complain service starwood property . overall staff seem bit cold distract - ask late checkout check , never issue Starwood , day checkout call hour early say would checkout normal noon time . problematic make plan etc . , staff anything say fact always subject change day . room bill & quot ; city view & quot ; one could see tall building right front hotel . overall room low value money . 
 Sep 27 2009 	 bad customer service ever want SLEEP go elsewhere 	 travel lot experience up down hotel customer service . seem get well economy , bad , traveler remain loyal . weekend 's stay Meridien time low . terrible customer service . ineffective window glaze paper - thin wall / celiing . noisiest hotel ' ve ever stay . want sleep , go elsewhere . want customer service , go elsewhere ... people not care . good 1 1/2 & quot ; gap elevator floor eat shoe . refuse anything . ask quiet room ... give one face street right near construction keep night . opposite side hotel face another building front desk LIED say face another street point switch room . find late totally untrue . really , positive place restaurant Norma 's , serve good breakfast anywhere ( not mind spend $ 80 two people alcohol ) . 's good location , right 5th Ave . south Central Park . will not stay due terrible customer service hotel charge $ 500 / not . oh yeah , black mold bathroom add ambiance ( see photo ) . 
 Sep 27 2009 	 simply : overprice 	 good : - Gym excellent ( 10 $ per day apply addition ) - pool ( although always packed people ) - Nice Café lobby ( although service good ) - nice view Central ParkBad : - breakfast place ridiculously expensive - breakfast twice : 1 time pay around 110 $ two people , pay around $ 50 egg benedict espresso - throw bill table finish coffee free- elevator : always wait age want go downroom : - generally ok NYC ( absolut term : small special interior ) - bathroom mould ceile 
 Sep 25 2009 	 nice hotel great location 	 stay property past weekend not quite sure expect give mixed review . overall good stay would recommend property . check : friendly check agent immediately end conversation see walk towards counter quickly obtain detail . ask Starwood platinum member would like jr . suite park view room select jr . suite . know plat amenity etc select point . room : room 15th floor real view . realize actually second bank elevator around corner front desk assume actually go high floor . room view build across street much see perhaps high floor well city view . care honest even though room right elevator quiet comfortable . think perfect size bathroom quite large especially NYC . room also nice work area annoyance fact electrical outlet desk actually desk way hole desk put power cable drape front desk . relatively minor annoying . internet something like $ 16 / day wireless wire access use either comment speed . find decent wifi alternative room . tv LCD / Plasma good size surprised swivel entertainment center actually work well handy change live area bed area . entertainment area also include VCR DVD player . overall find room pleasant comfortable . do not blow we away like lot . fitness : end use fitness area info room make look like one good fitness area would ever see hotel . appear get fitness area via bar code room key pretty odd shape comparison normal room key . dining : drink outdoors french restaurant find reasonably price service good . understand wait long line burger assume good people stand line . find room service price high even NYC hotel standard especially many place dine nearby . thai restaurant next door nice environment ( cozy ) want authentic thai flavor despite thai people work . find pretty good thai wife be not impressed . location : find location excellent . take taxi mostly trip can not comment subway line nearby give proximity times square etc pretty convenient many subway line . central park block way times square nice stroll away . much prefer location time square . sheraton around corner although never stay either .... could imagine choose property base location . checkout : idea actual checkout time never saw post anyplace since plat leave need ( 1.30pm ) nobody seem care . guy downstairs happy hold bag find pleasant everyone despite extremely busy people want hold bag etc . 
 Sep 23 2009 	 great hotel get sale worth $ 400 / not though . 	 stay Le Parker Meridien one night September . love location , midtown great . within walk distance broadway central park far enough time square get quiet . nice hotel modern . however , bed room basically king - sized futon ... feel like one . look mattress platform hard . comfortable sleep since be NYC hotel room negative . ' m glad get sale priceline $ 150US night else would disappoint . overall , great hotel not think $ 400 good . 
 Sep 22 2009 	 pleasantly surprised 	 husband stay 2 night free , use starpoint . first time stay Meridien . lobby nicely decorate clean . also small indoor pool large gym . gym cost $ 10 day racquetball dry sauna , addition lot equipment . three restaurant . valet parking , self - park garage ( still valet ) $ 30 day parking coupon . business center small really expensive . check easy pleased get upgrade room Central Park view , even though pay anything stay . elevator little slow arrive . decor room hallway modern . room large NYC standard light - fill . bed really comfortable . room quiet . two small closet , safe , two desk area -- perfect business travel . large tv dvd VCR . bathroom clean Peter Thomas Roth toiletry . Maid service pretty good , washcloth not replenish . coffee pot , Starbucks directly across street . minibar can not use store food , apparently contain sensor inside would charge anything move . checkout luggage storage easy . fully book could offer we late checkout . the location pretty good within walk distance many attraction good restaurant . be also less block away two subway station . all , pleased stay would stay . 
 Sep 22 2009 	 Excellent Location 	 not usually end north 50th New York , hotel location well worth couple extra block . location quiet convenient , subway stop corner , plenty shop quick bite , starbuck directly across front hotel entrance . we get really good deal room , functional minimalist ; main goal not spend lot time hotel , anyway , not really picky . coffee machine room would nice coffee / tea . our room 9th floor , though close elevator , quiet . 
 Sep 18 2009 	 Le Meridien service standard nice hotel overprice 	 lobby hotel gorgeous ; even be stay worth trip see also stop Burger Joint . look neon burger sign hide lobby will hamburger heaven time . hotel , ok . room modern good size NYC standard . service lacking , especially SPG Platinum member far cry top notch service Le Meridien property . wait non - smoking room not upgrade not good sign . fact even offer smoking room troubling sign . recession Manhattan not happen hotel like charge $ 400 mid - week . 
 Sep 17 2009 	 FANTASTIC ! 	 hotel top notch . bar beautiful great place relax drink end night gear night town . burger place really good burger . room clean bed extra comfy . staff courteous professional . location could not well ! ! travel New York time year not think ever stay anywhere else . hotel ' ve stay not even compare ! ! 
 Sep 8 2009 	 great location business 	 ' ve stay many time would again . there quirk , whole , nothing not sort promptly . yes , tv bit big old ' ve problem wi - Fi , nothing would stop return . the big downside 's expensive possibly worth cost , location Midtown 's hard beat . and Burger Joint great . 
 Sep 8 2009 	 Decent hotel good location 	 check easy well organize . front desk attendant check we pleasant , give we good first impression . arrive quite early meeting friend central park ; room not yet available allow we leave bag easy claim - ticket valet style service . upon return hotel find quite spacious room comfortable king - sized bed . hotel first ' ve stay problem accomodate request remove product room allergic feather . pillow blanket replace synthetic request prior arrival .The bathroom clean single vanity bathtub shower standard white shower curtain . complaint bathroom sink shower drain slowly . not spend much time room , turn tv find nothing static . channel come barely viewable cumbersome outdated tv . spend afternoon early evening enjoy cocktail hotel lounge , Nave , beautifully decorate , comfortable , offer delicious cocktail . service great . though quite pricy , not surprising area hotel lounge . the location hotel great . complaint ; walkable distance Central Park stroll Times Square , close subway , taxis aplenty . true complaint maid service rang doorbell twice 9:30am day departure , still asleep . could figure room even doorbell ringing , come barge . though late previous night neglect put & quot ; disturb & quot ; sign door , would expect high end hotel would not problem maid service come far check time . lose receipt travel back use Business Center . cost almost $ 20 use internet less 5 minute print one page . fault , expensive service . all - in - all good hotel would recommend return . 
 Sep 7 2009 	 Sincere thoughtful service 	 pro : think management do good job training staff happy give sincere thoughtful service . arrive well standard check in - time would wait hour housekeeping clean room . sasha front desk suggest upgrade suite ( $ 50 more / night ) available immediately . upgrade well worth extra hour fun NYC ! ! get room , want ice way find machine nice gentleman housekeeping approach offer bring room . said & quot ; nice day & quot ; . especially impressed housekeeping staff always greet smile seem genuinely happy make smile back . con : $ 8 sign onto internet business center . shower glass enclosure privacy , no - one elsse use bathroom . overall , hotel little spendy , gracious service priceless ( not cost hotel anything ! ! ) 
 Sep 1 2009 	 Nice Hotel good service 	 reading post site Le Parker Meridien worry merely touch minibar would result outrageous charge , would never able find place put foot long key go give , dawn sun would stream sheer drape . go ahead book room three night start 28th location fact professional review nice thing say hotel despite mixed tripadvisor review . first note post minibar large sign states & quot ; Minibar fridge & quot ; go point & quot ; technology allow we charge item move ( technology pretty fast . ) & quot ; word want keep something cold use ice bucket hotel provide . fact minibar room underchare we take two diet coke second day check charge one . inform desk clerk error advise give honesty would charge one . the room key five half inch long , actually measure one , easily fit pocket slack . two inch long & quot ; normal & quot ; room key fit pocket well work first time every time use they . the drape room sheer keep room dark quite . 30th floor face 56th street problem noise light . actually room sheer drape another set rather ugly bright red drape latter ugly drape keep room dark . our room good size care much decor stack well average NY Hilton , Sheraton Marriott . staff friendly helpful wait check , arrive around 4:00 pm , check , leave 12:40 pm . lobby full busy Saturday notice substantial back around front desk . fact substantial line see stay line get hamburger place . this good hotel one would likely stay depend primarily price . stay nearby Hilton Sheraton prefer hotel either . also stay nearby Essex House Ritz hotel clearly superior term style , room size especially bathroom , though not think staff helpful . would even take Waldorf JW Marriott simply prefer location Waldorf find awaken 5:30 morning sound garbage truck ( note find noise problem Waldorf Tower may simply room one occasion stay Waldorf . ) bathroom shower problem water pressure hot water want bath luck . bathroom single sink expect also mean person time morning . great concierge staff- helpful printing article provide tip place eat . no turn service evening , live candy pillow look elsewhere . thing look turn service evening sometimes extra towel hotel provide four large bath towel plenty bath amenity miss lack turn service . we offer opportunity upgrade room $ 49 park view elect . nice view , could see miss catch elevator 30th floor , pay view Essex decide put money towards food item . still something deal always want Park view , 57th street side , think would hard press find well one . elevator problem , something surprised six , three low three upper floor . wait minute one occasion . Great Gym unfortunatley large number US open tennis playersworking make look old fat . hotel , least Sunday , seem center US Open player official 57th side 30 40 & quot ; official vehicle & quot ; outside every time use entrance . I expect stay hotel , unless someone else pay case select Ritz Essex House . like location find stay trouble free staff helpful . charming , romantic elegant offer good value service location think among good tourist big city . 
 Aug 25 2009 	 wonderful place treat . 	 ' ve stay two time -- time wonderful ! last time , gorgeous park view room 39th floor -- romantic anniversary weekend . place budget , perfect place treat . Breakfast Norma 's amazing delicious , crowded expensive -- still worth be able treat . sun roof breathtake little pool nice feature . excellent location park , theater , subway get anywhere else city . wonderful service -- complaint stay need Manhattan treat . 
 Aug 21 2009 	 Girl 's weekend .. awesome 	 go one dedicated girl 's weekend year year stay Le Parker Meridien . everything want . adjoining room view Central Park . room simple , modern clean . eat , drank saw show .. sleep much , bed comfortable .. another 2 hour would great ! alas , breakfast reservation Norma 's 9 am swim rooftop pool .. lie - in . great central location . shop around , Central Park right outside door , Broadway quick walk . could ask ? 
 Aug 20 2009 	 clean near central park nothing special 	 get discount room event . ' ve stay 10 different hotel NYC -- see review . one okay . take we 3 night get air temperature right -- literally like & quot ; 3 Bears & quot ; -- first night cold , second night warm last night right . do not touch anything minibar unless want buy . motion sensor . not use store leftover . pool top floor really good kid . outside nice . exercise club basement good -- $ 10 / day / person . ' m computer guy not feel like give money wifi check email iphone . Norma 's serve expensive breakfast ' ve ever -- $ 35 / per person . $ 9 coffee . $ 9 OJ . amazing . say recession ? leave 45 minute wait breakfast . I prefer place downtown staying . 's bad choice like area . 
 Aug 20 2009 	 amazing penthouse pool 	 5 night Dream Hotel - move Le Parker Meridien night . nice offer 2 bed instead share double bed ! room 6th floor - clean . tv elevator - amuse we . lobby really impressive . the room retro - not know fixture furniture actually 60 's design look like 60 's - excellent condition . bathroom decent size . really nothing complain about . we lunch Burger Joint - AWESOME . thing will remember view top building . go day dark - speechless . amazing . we use business center twice get internet - expensive , oh well . 
 Aug 16 2009 	 excellent location 	 stay teenage son fabulous location close central park times square hotel room lovely clean junior suite . hotel staff friendly . even overflow toilet delt quickly efficiently . pool great relax end day . would stay back town . 
 Aug 14 2009 	 ugly hotel room ever see 	 walk dark hall go room open door hotel room ugly hotel room ever see ! must decorate back 60 's . come New York twice year past 20 year stay several different hotel bad room ever see . bed practically sit floor . ugly gold bedspread ever see . bathroom small can not even get bathtub unless shut door , open door cover bathtub . staff overly friendly , location worth stay one room . good thing hotel Norma 's . great breakfast ! eat without stay . place stay New York would never go back . hate hotel ! ! 
 Aug 13 2009 	 Moldy Meridien 	 Bathroom funky smell turn mold across ceiling . switch room still stunk ... could muggy summer weather shoddy renovation paint mold . sure either way , really uncomfortable . room ok sized bed teeny tiny . could handle except spotty internet connection . definite business trip . place list . 
 Aug 12 2009 	 Best Spot 	 location great place far Top Rock NBC Studios close CBS store Disney Store inside hotel burger joint great burger ! staff great friendly ! always answer question ... staff treat everyone like ( vip ) 
