excellent 	 first trip New York unsure stay . location really important we since ticket concert Madison Square Gardens ( across road ) , decide Affinia Manhattan . Macy 's couple block away great local eating , thrilled choice . room large add bonus kitchenette make great place stay . can not thank concierge staff enough help ticket , sightseeing etc . local knowledge friendly service help make trip . yes , bathroom small perfectly adequate , yes noisy middle Manhattan - think add experience ! 
 Fabulous stay Affinia 	 stay 5 night Affinia Manhatten studio suite everything great . two comfortable double bed enough three adult . housekeep excellent problem anything need , quick phone call reception sort . room 25th floor noise bad , fire engine street , often . need good diner area good one go back entrance Madison squre garden call Stage door deli , thanksgiven dinner delicious . thank Amy help book , definitely recommend Affinia family friend , can not wait go back . 
 excellent city - great base hotel 	 stay Affinia 23rd 28th November . I do great deal research hotel find one thought would good bet . once get room sort ( change 3 time first one tub second overlook internal courtyard 3 foot away somebody else window ! ) - finally get room 8th floor overlook maddison square garden . great room . could see way times square buzz city life . the Concierge hotel fantastic - Maureen Ashley great ask advice help regard transportation etc buy UGG boot ( thank Ashley ! ) another lady ( sorry can not remember name ) recommend AMAZING Thai restaurant Chelsea - 10 minute walk hotel . food Spice good go twice ! - amazing cocktail , wait staff amazing never felt rush . chance go , go ! bar next door Niles great - reasonably price , great cocktail great service - include great banter bar staff ! ! ! love new york can not wait come back honeymoon although think would stay somewhere else inthe city - not love Affinia would like see something different . 
 love Affinia Manhattan ! 	 love hotel . room great ! room patio 26th floor . husband smoker work well kid hate smoke ! room spacious . bathroom small clean . bedroom great . living room kitchen spacious . problem noise . still hear siren taxi horn ! would recommend hotel family kitchen seperate bedroom . really enjoy first trip New York City ! 
 City Noise 	 teenage daughter stay one night 11/2009 . 17th floor face Madison Square Garden train station . the one negative hotel street noise . hear loud clear . ask room back away street high floor . room clean yes bathroom small planning speding lot time . tv old model , work city look tv . staff friendly helpful . locked room suitacase , room ready . room clean somewaht outdated decor . less $ 200 night 2 queen bed kitchenette well worth money . 
 Hotel need major makeover 	 Hotel book company 's travel agent , upon check realize make mistake , elevator old . arrive floor hall carpet dirty , wallpaper peel wall . continue room upon enter surprised , room big standard room NYC , furniture old . open bathroom killer , shower 3 foot 2feet wide whole bathroom maybe 4 foot wide , stay hotel . 
 warn ! ! ! 	 book 4 - star room Priceline ( first mistake ) . day check , call 1 - 800 reservation number confirm reservation ( base review TA ) request high - floor quiet room ( know well room high floor ) . confirm telephone agent . when check , give room 10th floor . point not match request , informed request note , high floor would extra $ 100 , special gesture , have give $ 50 . refuse pay extra , decide check room offer . room awful , say least . grant , room large ( especially Manhattan hotel ) , obviously date mid-80 good . carpet seem dirty , furniture old beat , overall one would expect two - star motel - 4 - star hotel pay for . I politely , firmly insist front desk manager want move room keep reservation request . move another , admittedly large , room , still calibre . , refuse offer , demand room least somewhat resemble room display hotel 's website ( use term & quot ; false advertizing & quot ; , feel case ) . eventually move room keeping pay , request , see hotel 's website . be warn : Afinia Manhattan renovation . renovate room good deal : large , offer small kitchenette , up - to - date furnishing hotel exceedingly convenient location . unrenovated room old tired . term & quot ; standard room & quot ; Afinia 's euphemism & quot ; dirty , old , decrepit room & quot ; . not accept & quot ; standard & quot ; room , not accept pay supplement renovated room . demand give room match hotel ' advertisement , pay for . business obligation truthful advertising . course , hotel always use photograph show amenity well , display photo update portion hotel expect guest accept less unacceptably misleading . btw , first last time book Priceline - another topic . 
 Nov 8 2009 	 small room lack attention detail 	 like Affinia Hotels stay . room small , bathroom minuscule , design date , coffee room coffee maker , window latch break , window could shut tight , noisy outside . main lobby area cold unwelcoming . convenient Penn station . would stay . breakfast next door , good . comfortable bed pillow . 
 Nov 5 2009 	 Superb location value 	 stay four night October excellent 2 - queen bed studio corner look towards Penn Station Times Square . book via travelrepublic six week ahead get great deal . room clean bright , huge fridge well resource kitchen . shop grocerie two door . restaurant aplenty nearby . breakfast mostly Andrews Coffee Shop three block away : great diner classic favourite mixed crowd . over road Harrington 's bar restaurant . go lunch watch football ( proper football = soccer ) match London ( Fulham v Roma ) . Got metro pass $ 20 load last four day . walk Grand Central , Empire State ( book ahead ) , Times Square ( Lion King amazing ) Macy 's ( two block away ) .A big shout woman concierge desk lobby : incredibly helpful knowledgable . print boarding pass too . I would definitely go , especially get deal . 
 Nov 3 2009 	 would go back tomorrow 	 Hotel excellent find . stay wife another couple ( two room ) Affinia Manhattan excellent location Penn Station central hotel short walk Macy 's , Times Square etc . review state hotel , room size excellent - queen sized bed lot floor space good kitchen , bathroom obviously . lobby decadent staff great . gripe would hotel bar , use air con cold girl not want go back . , really , take kid NYC - will stay hotel . 
 Nov 3 2009 	 great location ideal short stay NY . 	 location , half block Penn Station ideal short walk Macys Empire State . first visit NY , could much well . LIRR along Airttrain JFK Jamaica arrive across road , even heavy load , acccessible . first time stay Affinia . complaint , ninth floor , noisy light sleeper , fire station horn start blaring , become immune first night ! ! ! ! nearly . room fine size , plenty towel bathroom gel always restock nice . Checkin checkin stress free staff nothing polite , even Tom doorman , take bag traffic light outside could nice . across road Penn Station subway make ny easy get . would stay , yes , ideal short stay Big Apple . 
 Nov 1 2009 	 come back ! 	 back week Affinia Manhattan , second time . last time , thing stand wonderful service one - bedroom suite . arrive London wear , immediately make welcome Nino Diaz front desk , also sort change room , want high floor . nino information desk staff look we well throughout stay . room keep immaculate extra pillow minor repair sort quickly . I love fact bone hotel old , room ( 1 queen bedroom , living room sofa bed , two bathroom , kitchen ) like live flat , , comfortable bed , son not complain sofa bed . the decor fine , cut edge hotel . bathroom small , clean freshly decorate . kitchen fully equip include filter coffee machine ! location fantastic , several subway line either across road , couple block away , easy trip JFK Penn Station great . noise problem fire station close , son say ' it be New York sound like ' . personally , love fact open window ! minor gripe free wireless internet , use computer free information desk check flight print boarding pass . this hotel great long take - flashy , comfortable convenient . 
 Oct 31 2009 	 would never stay HOTEL 	 stay Hotel fifth time four year . always stay 's great location , always ask high room noise Fire Engines house next door Fire Station . Hotel Foyer lovely , room standard , tired urgent need upgrade . couple day room 27th Floor . wake find bite leg hand . enquire reception mosquito . tell New York . hand leg swell quite badly visit chemist surprised bite tell we change room N.Y. bad case bed bug . penicillin tablet advise start take . return note Housekeeper explain bed change nothing find leave we bottle water two chocolate . bite still bad go reception show assistant . call Housekeeper ask want ambulance ( , see face face would good ) . next morning husband suffer bite face back . visit reception tell would change room . go back room member staff approach we show bite . rang Housekeeper , last , come room , show bite . say would exterminator room . Housekeeper also offer nightwear dry clean Hotel 's expense . when get new room , cord blind husband stand chair wind . handle bathroom cupboard , bad smell cupboard sink . kitchen unit rust . call reception put new handle cupboard . suffer bite change room . when leave hotel 8 day stay bill show charge dry cleaning . complain remove , however , receive apology reduction bill problem experience . I email Hotel Manager return home . reply offer reduction room return . return . cheap Hotel feel long good value money . 
 Oct 29 2009 	 boutique hotel experience 	 location hotel amazing ! walk everywhere . take Airtrain LIRR JFK $ 10.75 per person instead $ 50.00 cab ride able get Penn Station walk across street hotel priceless ! room look nothing like advertised hotel website . room hallway renovate certainly not 10th floor stay . room outdate , carpet stain , drape shade dirty ... bed redeem quality . bathroom small could barely turn around . kitchen plate silverware . the staff adequate ... not expect anything special they . if be look great , convenient location clean bed sleep ... place . be look typical boutique hotel create memorable experience stay N.Y.C outstanding room , service amenity .... definitely place ! 
 Oct 25 2009 	 fantatstic 	 stay 1 bedroom suite- 2nd high floor- view empire state bedroom- great location , block times square- walk everywhere- would definately stay 
 Oct 24 2009 	 Great Location great bed . 	 book hotel read Tripadvisor never New York know expect . turn gem , great location , right middle action . say , long trip , bed heaven 6 foot wide really comfortable . room big even kitchen area come cooker , fridge , microwave utensile . back think well room near front noise 24hour . food problem NY Macy , couple block away . also Penn station across road take direct Newark airport approx $ 15 , save fortune taxis . we recommend hotel anyone first trip , great experience . 
 Oct 23 2009 	 beautiful lobby dumpy room 	 stay business trip recently . look website , excite , since hope feel bit pamper stay . room , however , depress look nothing like photo website . truth tell , feel like victim bait - and - switch . read post , see may actually nice room , sure not get one even though pay $ 300 / night . mine studio type , kitchenette use since dish -- even coffee maker . room dark , evidence old , aged ny building everywhere . usually love travel , hotel make want get home quickly possible . not even like get room service offputting eat dirty old room . whole experience make feel like really come world . the time stay 4 point think will go back next time . room may small , least be clean update . 
 oct 22 2009 	 Par 	 like sleep , go stay somewhere else . hotel near fire station must least three fire per night NY middle night . window hotel poor hear people talk loudly street 3 , mention jackhammer go till least 2 say nothing honk car . ' ve stay much well hotel Times Square never noise problem . first night hotel heat bring space heater . cable tv not work either . 
 Oct 20 2009 	 mixed feeling room 	 book hotel relative visit Europe really mix feeling hotel room . one room two bed : beautiful decoration wall , new furniture lot space . room similar studio ( kitchenette flatware , bedroom , living room sofa bed ) particularly nice : sofa bed carpet look old outdated , bedroom pretty dark cold . hotel Midtown location extremely convenient transportation ( LIRR , subway ) , shop ( Macy 's ) visit Manhattan . room clean service outstanding . 
 Oct 19 2009 	 good Affinia Dumont 	 certainly not bad hotel , suffer comparison Affinia property . the Affinia offer special book , Manhattan $ 30 less Dumont , ' ve stay ( love ) . since Mahhattan kitty - corner Penn Station , fly Newark ( be easy get Penn Station Newark ) thought would try Manhattan . Dumont much well pay extra next time . actually staff tell we one good room -- remodel studio . comfortable quiet , surprisingly -- back hotel fire station , expect noise . luckily , . room nice view Empire State Building . staff make big deal nice room would hate stay one regular guest room -- assumption not nice . hotel pro : location : Near Penn Station , Madison Square Garden , Empire State Building ... actually , easily walk , Chelsea High Line , even Greenwich Village , Union Square , Flatiron District . like 's southern part midtown close interesting neighborhood like ( Midtown boring ) . staff nice room . flat screen tv , good bed pillow , quiet room sit area . hotel con : hotel bit worn . charge internet access seem relic past -- even cheap chain motel give free wifi offer computer free . room con : 2 closet 3 hanger -- call hanger . we coffeemaker upon arise realize coffee -- call , ( tell we policy . would nice know night ! office nook bathroom TINY -- wonder not try give space bathroom nrather put office . husband could not even shower without curtain stick , shower small . bathroom one towel hook , even though room more . the Bagel Maven corner across street ( south ) GREAT place breakfast lunch -- hot breakfast like egg , either table service ( downstairs ) order counter take upstairs . great bagel bagel sandwich . 
 Oct 19 2009 	 great location tired look hotel 	 hotel great location central everything . room much large ' ve see downtown New York tired looking . room clean staff friendly helpful reservation etc . the wall pretty thin , could hear whole conversation woman next we . also fire police siren go night , bring ear plug light sleeper . two issue cause we grief , one key work second third day , would get back shopping need hurry dinner / theatre . one occasion call guest service ice deliver room 1 1/2 hour , plus second phone call , go front desk get . internet fee $ 14.95 / day . convenient location , good spot husband probably go back renovate . 
 Oct 18 2009 	 home away home ! 	 first time NYC Australia recommend . fantastic hotel great location ! right heart all- short stroll Times Sqaure , Macys , Penn Station .. right across road Starbucks Borders . stay next time ' m NYC ! staff tremendous helpful , consider first timer . give great tip go around city . first time NYC experience came stay great hotel . clean bed comfy ! sort Art Deco feel absolutely love theme . home away home ! ! 
 Oct 13 2009 	 Excellent hotel budget mind great service 	 Hotel Affinia Manhatten great location , right across street Penn Station . room fairly large 2 double bed , pull sofa bed , full kitchen stove fridge . restroom pretty small , large room , kitchen closet space come minor defect . friendly fast service great budget rate . would definably return . 
 Oct 13 2009 	 excellent location value money 	 fabulous central location , helpful , polite , friendly knowledgeable staff . room spacious , clean comfortable ( 2 double bed ) . handy kitchenette 24 hour store next door real bonus ! return next year stay . amazing value money 10/10 . 
 Oct 10 2009 	 wonderful anniversary trip ! 	 first visit New York , nervous expect - need worried . stay 5 day . studio room . bathroom small , perfectly adequate . addition kitchenette helpful although essential everything could possible need , food drink wise , within easy walk distance . bed incredible comfortabe great view 19th floor . location hotel certainly one good selling point . Times Square 15 min away - close noise ! 5th 6th avenue minute away , Maceys doorstep . make critism hotel - corridor room look bit worn dowdy - could bit brightening up . I must add great thank Maureen conciege desk , recommend Blue Fin restaurant us 25th wedding anniversary dinner - also book we . make sure great table staff new special occasion - turn wonderful night . would stay - absolutely . 
 Oct 10 2009 	 great stay 	 return great stay affinia manhatton , great location , right opposite penn station madison square gardens concert venue , transport throughout city fab , check quick , friendly give ask , want view city expect noise , take earplug would shame ask quiet room put back , nothing nice sit chair last thing night look NY scene , wonderfull , , ask high floor , corner refurbish room , duel oulook 2 side , room spacious newly decorate , bathroom unfortunatley , useable , short stay , beaufull 1930 's building , happy stay , would recommend would stay 
 Oct 9 2009 	 unbeatable location ... noise could problem 	 staff friendly , room beautiful clean , location beat . traffic loud think window must open ... not . ' m pretty deep sleeper , not bother much , mom keep lot night noise . high floor , -- imagine would worse low floor . all , would recommend stay , particularly able find superb deal online , would bring earplug ! 
 Oct 8 2009 	 bad experience many year 	 apparently Affinia Suites property , except 8x10 room sell ! ammenitie room , even soap . coffee machine . the management par room . totally non - chalant helpful . basically live nightmare next three night ! P.S . not use Priceline ... will sorry ! ! ! 
 Oct 8 2009 	 bring shower shoe 	 ' ve NYC several time admit ' ve spoil have always stay Waldorf Towers time . go friend budget . pick hotel previous positive review ideal location . arrive hotel fairly attractive lobby , however , must walk staircase decent length get reception area . not elevator move staircase even helpful staff assist . walk bag tow , pass several doorman bellhop one even bother look direction . quite frustrated , noisily drag suitcase nice stone step say , passively aggressively , be ridiculous not single staff member assist we be clearly stand around . arrive sweat reception desk wait least 20 min check . , staff around desk one would come help 1 person try check line people . book 2 rm , call ahead ask adjoining . inform not adjoining rm would get we adjacent room . check , however , not rm reserve we . fact , not even 2 rm floor ! explain call advance need room least floor be expect discount . staff member look find 2 room floor though one would not ready later day . say would take room head afternoon . staff member take cell phone # could let we know room ready . we head one ready room drop luggage . have hear many story people stay hotel room NYC barely fit bed not expect much . room quite sizable actually . disgusting little kitchen would not walk let alone prepare food concern since would not eat anyway . build central air noisy , filthy , ancient , window unit . unseasonably hot wknd run whole time . bathroom tiny ! shower small tile grout stain crack dirty . first purchase NYC flip flop Old Navy wear shower ! ! throughout rest afternoon await phone call hotel tell we room ready . quite apprehensive would give room someone else would completely fail fulfill request adjacent rm first place . eventually decide call need dress dinner tell room ready . , fail promise . the room corner unit even large . still disgusting kitchen , noisy window air conditioner , even tiny though filthier bathroom . small person - female , 5 ' 3 & quot ; , 110 lbs - could not stand shower without touch wall ! ! feel dirty getting . shower curtain not reach floor flood bathroom everytime . sink stain . hairdryer cake dust smell burn hair . the hotel next Madison Square Gardens . concert first night . end unit , loud ! friend 2 door hear nothing though . roll blind window . go close discover cover grimy fingerprint . gross . one would not even close strategically avoid walk front dress lol . manage miss close one kitchen first glance actually think people room ! apartment building next door close ! seriously could ' ve reach window touch building ! btw , realize walk shower . every night , 6 pm , show room key order enter elevator . bit pain . sure strict security . our flight not late evening store bag hotel checking . desk clerk rang bellhop take bag storage walk away staff see . wait 15 min anyone come not bellhop . first friendly helpful staff member have see 3 day , pregnant woman attempt call bellhop 2 time start take bag . course would not let take bag follow room . bellhop arrive ... conveniently . consider security measure get elevator would think have something place bag . room completely full luggage reference # give we anything . somehow manage get bag check , drag suitcase noisily stair one assist . 
 oct 8 2009 	 Exceeded Wildest Dreams 	 stay Affinia Manhattan end May 2009 . birthday trip decide go solo ( last minute ) . moment check , hotel staff super nice accomodate . although room originally book not ready yet , hold luggage & amp ; offer three choice room meantime wait room . begin large spectrum wonderful service throughout entire stay . staff courteous & amp ; helpful ; insider scoop see , subway line / stop take day - to - day sightseeing , direction theater Broadway show , feel good hand entire time . personable concierge / staff experience ' ve ever hotel . downright amazing . room magnificent , definitely elegant yet handy ( microwave heat left - over kitchen ) . room good size , nice bathroom & amp ; walk - in closet . also go online website w/ reso # order specialty pillow / extras ( 2 ) free charge ! , great trip GREAT hotel . DEFINITELY stay ! 
 Oct 8 2009 	 Excellent Hotel 	 far NYC hotel go , one one well - large room kitchen stove , fridge , microwave - everything make stay comfortable convenient . the bed excellent staff accomodating . right across MSG Penn StationWithin walking distance Times Square 
 Oct 8 2009 	 Good Value Good Service 	 stay one night attend trade show Javitts Center . location convenient purposeThe suite large 2 bathroom major plus . staff attentive . Room Service prompt food good . room well supply clean . would definitely stay . 
 oct 8 2009 	 Terriffic Trip - Great Location - Noisy 	 want heart NY , hotel may look . family stay 8/11/09 - 8/16/09 . room , 2 - bed suite plenty room small living kitchen area plus . bathroom little small , ok 1 person time . hotel old , add character city . complaint hallway smell little musty traffic noisy ( not help fire station right next door ) , even 10th floor , loud . even though noisy load , beat daily adventure , sleep issue . 
 Oct 7 2009 	 feel right home Affinia Manhattan 	 second stay well - locate hotel , right across Penn Station Madison Square Gardens . love home - like feel , convenience kitchen , friendliness helpfulness staff . bed perfectly comfortable room spacious ! place great value ! downside window treatment bite dirty need cleaning . likewise carpet could use shampoo . overall , fabulous happy stay ! 
 Oct 7 2009 	 Loved Affinia 	 glad stay hotel . leave train helpful Penn Station right across street . hotel good location . 10 15 min walk Times Square . originally want book hotel Times Square , glad do not . Times Square loud , crowded , busy nice hotel close enough walk far enough noise . everything walk distance hotel . wish room could little update do not mind much super clean . husband plan another trip New York definitely stay hotel . 
 Oct 3 2009 	 Excellent hotel great location 	 stay Affinia Manhatten , excellent friendly hotel perfect location get great site . directly opposite Madison Square Garden , one block away Macy 's 10 minute walk Times Square . wait go back ! 
 oct 2 2009 	 Great Location ! 	 get back four night stay say would recommend anyone . location , comfort , friendly staff excellent . view Empire State Building room bonus . across Penn Station make airport transfer Newark doddle . tip : try breakfast diner around hotel , half price Times Square . 
 Sep 29 2009 	 good hotel central location 	 visit Affinia Manhattan August 2009 partner part extend group . normally stay Midtown near park travel group friend think would fun stay hotel . get fantastic rate e - booker six night Affinia flight UK airport approximately £ 700 per person . read reviews hotel bit worried would get . would thoroughly recommend hotel budget get good deal . lobby lovely staff friendly . stay 12th floor although not high NYC term , problem noise . room large Super King size bed comfortable . kitchen area large fridge handy bringing snack drink also facility make tea / coffee etc . bathroom particularly small would say one negative side room . small shower ( bath ) small sink toilet . would recommend ask room bath one friend stay room large bathroom much nice . room clean comfortable although little tired decor wise . wallpaper could replace cost complain . room service Niles Bar excellent - quick delicious . bar modern good drink list attentive bar staff . hotel handy location look get area Manhattan . 's 20 minute walk Chelsea nice area wander around 10 minute walk Times Square . subway across road hotel would recommend use quick reliable . I would recommend hotel budget look central location good rate . 
 Sep 29 2009 	 Excellent Hotel ! excellent Location ! 	 arrive Saturday , September 12 stay 7 night . , super friendly helpful , check us hassle . offer we complimentary ugrade room ( 2 bathroom , living room , bedroom 2 double bed kitchenette ) . group consist 4 woman celebrate 40th birthday , 2 bathroom much appreciate ! kitchenette full size fridge , small stove , sink , microwave , dish , utensil , pot & amp ; pan , etc . use fridge , micro dish . living room pull - out sofa bed ( use ) , tv desk . bathroom nice sized NY would guess . water always hot water pressure great . lot electrical outlet plug charger , phone , etc . worry . room much clean expect . housekeep great job . even wash dish ! never wait long elevator . location can not beat . right across street Penn Station / Madison Square Garden . short walk Times Square , Empire State Building , shopping , etc . bother street noise , other suggest . 10th floor window open fresh air . police fire station around corner , noise not bother , light sleeper ( walk lot , put long day tired ) . feel safe time -- least bit uncomfortable . bagel shop across street really good food , market Dunkin Donuts right next door . restaurant , delis , bar shop everywhere . Carl , doorman / bellhop always friendly helpful . every person encounter front desk friendly , helpful , courteous , etc . can not say enough good thing entire friendly staff . hotel perect location . get map Concierge go ! walk everywhere -- Central Park , Financial District , Ho , Ho , Little Italy , Brooklyn Bridge , etc . grant , hike , will amazed see might otherwise miss . recommend hotel everyone travel NY would definitely stay return trip . thank Affinia Manhattan ! ! 
