Embassy 	 staff friendly helpful . breakfast one good ' ve hotel . get attend evening reception working , see look friendly inviting . stay next time travel Vegas . 
 Jul 6 2009 	 would stay anywhere else ? 	 stay hotel 4th July weekend , love . staff great , room immaculate comfortable . sleeper sofa even innerspre mattress ! bathroom nice , towel plush . breakfast excellent - great variety fresh . overall value , good hotel stay Las Vegas . sure , casino strip glitz marble everywhere , want quiet , affordable family friendly , check hotel . recommend pay dollar get large balcony . least 10 foot x20 foot two chaise lounge three chair – overlook south end strip . the hotel easy get airport convenient strip ( parking garage Palazzo Wynn ½ mile Sands Blvd . 
 Jun 16 2009 	 Typical Embassy Suites 	 find property pretty typical Embassy Suites . think previous review little harsh ... understand hotel strip , casino , resort . locate near convention center . find hotel clean quiet , staff courteous helpful . negative observation regard one two breakfast cook , good cook one . overall , favorable experience , would stay . 
 May 4 2009 	 ok hotel ... little run 	 hotel ok ... definately overprice condition . upon check room , one bed not cover place bed , bathroom sink make really loud noise ( old piping guess ) , corner room dusty , business center order , thy not flat screen tv . staff pretty frendly nothing overly impressive . 
 Apr 21 2009 	 good business hotel . 	 right , Great Vegas hotel book room low rate , esp midweek . , not mind stay nice hotel , happen casino , would go option . however Vegas business , pass family wish avoid Vegas Las Vegas , solid choice . good Breakfast , nice room , feel slightly dirty , could not put finger exact problem , feel like bit old could use scrub . parking good , pool inside , kind odd place pool weather 8 month year . overall good choice , get nice room less hotel casino . 
 Apr 19 2009 	 so - so 	 little disappointed hotel . room outdate look dirty . 's hard tell anything clean decor dark . bed hole . free WiFi , flat screen tv 's . okay night , would hate spend vacation hotel . 
 Apr 13 2009 	 great place christian non - gambler ( smoker ) young child 	 stay four young girl ( 9,6,4,7 month ) husband engineering convention . ( yes kid Vegas Hoover Dam , Grand Canyon , Shark Reef ! ! ! ! , Children 's museum ! ! ! ! , Lion Habitat , fountain Garden Bellagio , chocolate factory Dolphin habitat ) . pick place primarily want stay strip always stay Embassy Suite free ( include ) breakfast . service excellent . fountain fantastic child . thi undivided attention . entertain they . we see extensive breakfast Embassys sufficient . one thing watch . dinner restaurant first night 6 year old burn on - table candle . flame come top votive . staff attentive dinner free . 
 Feb 23 2009 	 Perfect wanted 	 choose Embassy Suites Convention Center , 11 year old us trip feel would able take advantage casino . plus add value free breakfast manager reception . arrive little noon , room ready . upgrade one " Large Balcony Rooms " , ' glad . face strip , view night spectacular . convinced view well anywhere stay strip see . balconie 12 foot 30 foot several chair lounge . ( see Picture ) make manager reception one night . Embassy Suites . one ever give limited number ticket drink like run Embassy ' , drink . free breakfast good quality one normal . room typical Embassy , think re - do . everything look new fresh . bathroom average size . lobby computer print boarding pass , , clerk offer print we . nice touch part . rent car , hotel conveniently locate strip , make good starting touristy stuff . issue parking casino mall . day trip dam Green Valley 2 hour total , worth trip , daughter impress drive far see " Brick Wall " hold back water . would rather shop day . sign . parking lot . guess enough people kill run across highway decide would pay lot . park , pretty much get line " tourist etiquette " take . offer take picture person front camera , ask people behind take one camera , . pretty much crammed tourist stuff could trip daughter ' sake . Volcano , Fountains , Conservatory , Sirens , Lions , Dolphins , & amp ; World , Caesars Shops ect . see Cirque du Soleil KA MGM . put another review , really like . add , think porn slapper good job pull back wife daughter go . put back walk , hey , least tact . overall , enjoy stay Embassy Suites would hesitate recommend anyone else . feel free pm question . 
 Feb 23 2009 	 nice great breakfast 	 breakfast - make order & amp ; hotService - greatnot slot machine see hotel - nice . near convention ctr near strip & amp ; casino 's 
 Jan 10 2009 	 Fantastic Staff . Nice Location . great Vacation 	 be hhonor member . take awhile get room . past check time . get ask , high floor quiet room . nice view city mountain . next morning tub back unappealing matter , front desk staff give we another room shower dress take care bathroom issue . housekeeping great , front desk staff amazing . hear one knucklehead complain silly thing handle complaint grace diplomacy . New Years Eve place pack different type . hotel typical embassy Suites nice breakfast spread atrium layout . location good front staff must way local cabby show within minute . even shuttle run back forth strip hourly - highly advertised . charge ! will definitely stay . great place staff make fantastic ! 
 Dec 30 2008 	 hide gem meeting family kid ! 	 return run seminar hotel impress aspect service well beautiful lobby , well appoint meeting sleep room , great indoor pool awesome full breakfast morning . attendee come seminar stay hotel happy . husband , one four year old come stay weekend love close strip kid friendly , non - smoking environment . take monorail go strip one day easy walk not feel neighborhood bad . also , think indoor pool hotel one Las Vegas come winter kid , pool , frig microwave room well full breakfast make choice Las Vegas ... , would not stay anywhere else . 
 Oct 21 2008 	 Loved Room - think twice location neighborhood 	 breakfast great room oversize clean location hotel less ideal . shuttle strip tell head block catch Monorail neightborhood scary would not walk night . vechile actually get break hotel not even care even though parking lot light . actually make feel like fault sign post say park risk . ? else park ? obviously problem will not anythig . ' m stick $ 350 bill fix car . thank Embassy Suites . recommend hotel . 
 Sep 12 2008 	 Peaceful Vegas 	 Embassy Suites hotel peaceful pleasant refuge craziness Vegas . be big Vegas fan , choose non gaming hotel . Embassy Suites nicely decorate keep . pool clean attractive setting . happy hour okay although not provide many drink choice kid allow order . breakfast good , nice selection . location bit far strip however hotel shuttle service recomend use . front desk advise we walk strip not listen , big mistake , hot great area walk . teenager enjoy Hard Rock cafe across street . college session insight effect would stay . say enjoy hotel much probably good thing Vegas trip . 
 Aug 26 2008 	 GREAT HOTEL BIT FAR STRIP 	 Embassy suit lovely place stay , room huge , go 15 year old daughter . bedroom 2 queen sized bed , living room pull sofa bed , chair , tv , fridge , microwave kitchen area . the breakfast divine complimentary . range healthy fruit yoghurt , cereal , bagel muffins eggs , sausage , bacon , waffle , pancake .... list go on . we walk strip first night take we 25 minute ( brisk walking ) middle strip . temperature 93 degree 8 pm night not pleasant walk . shuttle literally 5 10 min walk away take strip cost $ 5 every trip become quite expensive , al station inside hotel shuttle , take least 20 min go hotel door get station board shuttle , could walk . love walk heat humidity not pleasant . if go vegas would probably stay somewhere ont stip little close strip . 
 Aug 25 2008 	 Great Place Families 	 stay 2 night begin 1 night end vacation Zion , Bryce , Page , Sedona Grand Canyon . perfect place family 6 - kid enjoy swim although pool small indoor want cool . Breakfast include bonus . very helpful staff clean through . good choice strip . 
 Aug 3 2008 	 typical embassy 	 typical Embassy Suites . away Strip , hotel offer much peaceful stay still within couple block action . stay get bumpy start key card would open door - however , go desk problem remedie easily . fact complaint , service excellent room spotless . breakfast every morning amazing , ' m sure many place rival selection offer , especially consider free . , great experience definitely good alternative . 
 Jun 17 2008 	 average 	 typical suite accomodation service slow - take half hour get tv remote even long simple room service . breakfast real self service rush omlette first class . the pool massive dissapointment , small indoor outside heated spa even small . place pool scene . hotel seem popular resident viste ( mainly military ) brit flock noisily free beer bar five thirty . exactly convenient strip mount taxi cost . all average ; be ok first choice next time . 
 May 18 2008 	 close LVCC 	 fantastic staff ! ! ! everyone really friendly helpful . convention Convention Center . business center nice . great food breakfast . taxi find however . call taxi may take . usual smoky loud hotel Vegas . non gambling hotel would suitable kid . agree everyone sink shower really loud . hear everyone around bathroom . clean dark room . people go hang room though . really close convention center easy walk . little store next door . bad area town nicest either 
 May 12 2008 	 great place stay .... 	 first time stay ' off strip ' . embassy suit Convention Center ideally locate minute walk monorail access strip easy . hotel modern clean huge room . additionally , get full cooked breakfast order part cost room free drink 1730 - 1930 every day . wife save $ 300 least 10 day stay ... not mind quiet room gambling hotel place ... great brewery restaurant mile Paradise Road ! 
 May 11 2008 	 great need issue 	 frequ Hilton ( Embassy Suites ) guest know expect . excite want room near strip strip rent one room top floor huge balcony . upon check half funature balcony . like still another balcony bedroom also ( small could not sit ) . huge one great entertainment replace furnature ( take 9th floor balcony . not clean room one day insist DND sign door ( funny thing never one , keep ask one ) . bring put door someone steal made clean ( ok insist , ' m sorry would nice ) . one huge problem connect door room next door although deadlock able push open . 14 year old go room man try get . turn moved room next door try see door . issue try say could not get due deadlock , could see could stick hand , GOOD - FIX ! ! ! enjoy stay fix majo issue door nto return . 
 Apr 30 2008 	 Quiet Rest 	 hotel strip offer sensitive traveler quiet respite . check impeccable swift , room clean comfortable . Breakfast delicious . disappointment call Front Desk towel either forget ignore . the hotel locate behind Wynn 's mile walk Wynn entrance . Las Vegas Monorail station 5 minute walk away . 
 Apr 19 2008 	 Embassy Suites little past prime 	 bad point outweigh good tired Embassy Suites mile Las Vegas strip . first good -- clean inside , issue housekeeping . quiet , bother outside noise . wi - fi consistent , good signal , Hiltons Honor member , charge . bad point numerous . hotel past prime hot water roar like bull be turn . sure early morning shower disturb guest . entire time water run sound like jet engine . hot water handle bathroom sink come hand screw back . small refrigerator turn smelly first check , turn back drip annoyingly night disturb sleep . vend machine floor well stock would take dollar bill entire stay . two guest washing machine hotel 11 guest floor , could never find one not use . hotel offer shuttle Strip , not want face Las Vegas traffic , be limit take monorail , call taxi ( none hang around Embassy Suites ) walk . monorail station four block away , hotel locate area Vegas border seedy , would recommend make walk night . lastly , find hotel staff little impatient side overly anxious help routine question . overall , less pleasant stay . 
 Mar 28 2008 	 highly recommend 	 nice hotel . breakfast great . sleep quiet comfortable . 
 Mar 11 2008 	 consistantly Embassy Suites 	 place stay want Vegas action , say , Vegas , active lively happy hour bar Embassy Suites , good bad depend tolerance sound people enjoy echo place . especially room close 3rd floor Atrium . not mind , like lively atmosphere . the breakfast well Embassy Suites ' ve . hot plate offering , french toast diverse ingredient omelette . room service food surprisingly excellent affordable . fitness room small , three treadmill , mulit - use weight machine not want try figure couple . nice bright , view pool . the room look slightly date little dark . find utilize every lamp bulb not bright color scheme dark . and person write fridge freeze everything right on . the front desk super nice allow later usual check . parking lot convenient hotel beat path , plenty nearby quick drive walk get . 
 Feb 23 2008 	 can not believe 's Hilton Family 	 fully agree comment staff rude hotel , receptionist name tag Ashley horrible , never meet hotel staff manner . really not understand bad customer arrive want check . 's impolite inexperience , seem hate job show bad face we . visit many hotel every year absolutely bad ' ve ever come across past twenty year . 
 Feb 9 2008 	 Goodclean hotel . 	 stay hotel December 5 night wedding , good clean room ( move first night due near atrium bar ) problem . great breakfast , free internet free printer , especially helpful print boarding pass , stay extremely busy get little early avoid line . as state 5 min shuttle station , five min taxi huge shopping mall which.is strip cheaper . have problem get around either walk taxi . the big strip hotel huge , fancy little impersonal , one great value money , little way . 
 Feb 1 2008 	 Pass 	 Pass one . far anything marginal cafe ... staff rude unwilling help . check one night , pay $ 260 night . check Hilton Grand Vacation Club 2650 Las Vegas Blvd ... great place , pay $ 140 per night ... 
 Jan 29 2008 	 family 's favorite hotel 	 fmily 6 , 4 teenage kid , good place rest , delicious breakfast , even & quot ; happy hour & quot ; complementary & quot ; 
 Jan 6 2008 	 not care place 	 almost hesitate express view , many Trip Advisor poster seem enamor hotel . fact , book hotel base review read here . we would book room five night , end check first night hotel not mind . yes , suite concept handy , happy hour breakfast nice touch . however , difficult get drink due small bar area mass people belly bar Happy Hour . breakfast similar mob scene , food tasty , crowded breakfast area major drawback we . we also find hotel noisy , room face atrium noise really travel . our room desperate need overhaul - dark gloomyand living area furniture soil wear . bathroom really need attention - tile around showercould use good scrub repair - tile loose fall . chunk grout miss rest plain dirty . thecold water spigot come hand every time turn water , toilet paper spend time floor , dispenser hang one nail . every time turn water bathroom meet loud howl noise somewhere within pipe . the room leave we overall impression neglect dinginess . we look comfortable , quiet strip hotel experience particular Embassy Suites not fit bill , leave andfound clean , well - maintain hotel much quieter , less chaoticarea . parking hotel not problem , bit pain get parking lot , monorail run hereand 's easy miss turn . this hotel might work well , not work we . 
 Dec 30 2007 	 Typical Embassy Suites 	 wife generally choose Embassy SUites hotel , wehave find great value . ine different . excellent happy hour ( bartender great friendly ) . breakfast good , though need get 8 am avoid line place sit atrium . atrium get fill , open one conference room , window . instead , take food thrid floor eat bar ( also atrium ) .The room usual size ES , usual amenity , include microwave oven . keep milk fridge , turn firdge warm milk freeze . use shower door instead curtain tub ( thank ! ! ! ) , hotel , shower head not quite sufficient good rinse . hotel stop put flow restrictor shower head ? save water . take x amount water remove x amount soap . do 30 second 120 second , still amount fo water . tiny bit mildew stain tub calulke along door , generally batroom pretty good shape- perfect , like 90/100.We would stay . 
 Dec 16 2007 	 Bravo ! ! ! 	 Best Embassy Suites ever stay . come Thanksgiving week spend ( 8 ) night . love stay Hiltons Embassy Suites favorite chain . book one room large balcony ( anyone book room cost limit top 4 - 5 level . room small balcony ( cheap ) . balcony huge - probably big room , two lounge , 6 chair , two table , toddler could ride tricycle plenty room . room not seem upgrade way , clean nice . breakfast good keep we oversleep morning . make manager reception good ( well Embassy Suites ) . staff encounter nice . clean person nice , not try get cleaning room day . keep good watch get leave room . not see clean . would leave note tip deem complete . even tuck daugther doll . nice stay away stip kid four daycare center 10 mile two close 5 mile . give good recomedation hotel ! ! ! ! 
 Nov 30 2007 	 awesome 	 awsome room really comfy spacious . atmosphere nice still close everything esp . town convention . 
 Nov 29 2007 	 comfortable 	 decide brave Las Vegas Thanksgiving kid , use Hilton Hotel point stay Embasy Suites four night . honestly nothing bad say hotel . 's off - strip , non - smoking , quiet ( except kid run around breakfast ) . hotel offer free buffet breakfast , pretty good , hot , lot variety . huge line day Thanksgiving , think everone want get go shop . pool clean fun , bit much chlorine . bed comfortable , staff friendly , room clean . love bath soap , ! 1 mile strip , still casino within walking distance , case gambling bug strike . also , LV Monorail 5 minute walk , be great , safe clean way get strip not car . always cab sit outside hotel , . be go visit Las Vegas , great choice off - strip hotel . ( glitch experienced mom stay four we , bad back . ask rollaway room ( instead use pull - out couch ) , call time week prior arrival confirm . arrive 11 pm , rollaway informed Embassy Suites policy allow rollaways room two bed pull - out couch , due space fire hazard issue . okay , wish know arrive . ) 
 Oct 19 2007 	 Best Hotel Strip 	 stay 4 night , Mon - Fri October , wonderful road trip Arizona . look quiet place relax , one . hotel good condition ; room spacious living room , large chair , sofa sleeper , tv , table chair ; plenty counter space ; use mini frig , coffee pot microwave every day . bedroom 2 double bed tv . majority room face either north south . 10th floor ( 11floor total ) face north . beautiful view Hilton , Stratosphere surround hill . noise never problem . not car , quite hike strip . drive major casino ; nearly free parking elevator take right casino ( course ) . breakfast great ; large selection . problem work week close 9:00 . manager 's reception plus ; plenty snack appetizer , hot cold . bar area keep clean . yes , get crowded get right 5:30 . ! ! take beverage roomWe find hotel staff pleasant give we late checkout problem . the side hotel pool indoor wet Pacific Northwest , even sun October make want sit . large hot tub chair outdoors sunbather . would nice able swim sun . entire hotel non - smoking ; another plus we . I would definately recommend hotel would stay . 
 Oct 18 2007 	 perfect hotel ? 	 stay Embassy Suites 13 day September 27 October 9 everthing absolutely perfect ! stay world top hotel Peninsula Hong Hong Imperial Vienna never treat sincere courtesy comfort . unfortunate initial experience front desk associate ( Amanda ) immediately take Rickey we settle room matter minute . room usual Embassy suite comfortable bed totally sound proof central air conditioning , two tv 's , fridge microwave living area .. room spotless bathroom . towel , soap bath ammenitie first class . breakfast terrific especially make order waffle . eat Grill Room try hamburger well ever . prime rib die pasta share dish . Maria super waitress . happy hour ( ) well attend say hello Tad bar see NFL team go week ! use pool almost every day temp . high 80 be always spotless outdoor huge hottub tanning area . Supervisor Angelo Lim always seem around ensure guest well take care several time go way assist we . pleasure strip lot ground parking never problemWe think single thing complain entire stay simply wonderful . also mention houskeepe great . request room service every day 1 pm never missedWe moved call 5 star Ritz Carlton two night Lake Las Vegas dissapointment Embassy Suites . we already book Embassy next February can not wait go back . 
 Oct 14 2007 	 2nd stay 	 enjoy stay location Strip last year decide stay trip 25 year old son . suite 7th floor would little cramp son sleep sofa bed ask large corner suite . problem - give one 3rd floor . next restroom bar , bar close 11 pm never problem . staff hotel helpful , breakfast buffet excellent set evening . 
 Oct 3 2007 	 Oasis Vegas 	 stay Embassy Suites 29 Sept 02 Oct 2007.We impressed ! ! first , Hotel non smoking , huge bonus we non smoker . there casino we another bonus . town day evening delight return tranquil atmosphere hotel . you seven minute walk mono rail strip 5 minute . be relatively small hotel crowd contend , do not think ever wait 30 second elevator ! ! suite ( # 810 ) spacious , clean quiet . the staff efficient politebreakfast include delicious . the nightly Managers cocktail party another bonus , kudos staff run bar efficient friendly manner . there would question shall stay whenever vist Las Vegas , Embassy Suites truly Oasis middle fast pace busy city . go , pleased decision ! ! 
 Sep 25 2007 	 Outstanding Value 	 Booked Embassy Suites Saturday Sunday September . wife Vegas see couple show rate major casino hotel pretty outrageous , especially Saturday . Embassy 's rate ( $ 159 / night ) favorable Trip Advisor review generally good , make reservation . our experience excellent overall . room currently update attractive . service staff top notch . hotel well maintain . embassy minute drive Strip offer complimentary shuttle casino . would definitely stay . 
 Sep 2 2007 	 Good Strip option 	 good location pretty close Strip downtown Las Vegas . like fact absolutely gambling hotel ; be nice change everywhere else town . manager 's reception pretty nice , nice snack option . area small get fill pretty quickly . breakfast good- omelet great . daughter not really like muffin , though . staff nice helpful . room nice enough , little mildew around shower . oh , sink make awful noise turn . big deal , think get due renovation . room service one night , food good come pretty quickly . overall , good value location class hotel . have likely stay . 
 Aug 26 2007 	 need update good value Vegas 	 stay property one night . stay Embassy Suites before . the front desk person friendly helpful . parking easy free . room big , large apartment live school . bottled water waiting room nice . breakfast great coffee popular make - to - order omlette bar . the room somewhat rundown detract stay . AC make weird banging noises part night . wall quite thin ; could hear telephone ring next room . 
 Aug 26 2007 	 pretty good place thing consider 	 's clean , be quiet , 's smoke free . breakfast morning good . afternoon complementary snack drink okay . food consist nachos , popcorn snack mix . eat lunch dinner hotel comment restaurant . decor bit usual Embassy Suites . ask early maid service happy oblige . wireless internet connection good . bit surprised charge local call . think 's good slot machine game chance building . want gamble , 's place . summer , be probably advisable car since monorail station close . northwest use 100f+ temperature find difficult walking heat . thrifty cheap rental car always lot parking near strip . would stay ? heartbeat . . 
 Aug 17 2007 	 nice place stay family 	 stay business trip . son husband also come along . nice hotel . complimentary breakfast awesome . nice variety save money breakfast . pool quite small , big . Manager 's reception evening okay , not drink alcohol , not big attraction . snack always nachos cheese chex mex . hotel get little noisy reception go evening . otherwise , fairly quiet . nice place strip . overall , would recommend someone want away glitz strip nice place stay . internet free hotel room , two pc 's lobby area use free . front desk staff seem pretty helpful knowlegeable . 
 Jul 17 2007 	 quiet smoke - free hotel 	 choose off - strip hotel smoke - free , welcome relief night . room bathroom clean layout two room ( living room separate bedroom ) great one person want take nap someone else want work laptop watch tv living room . be sure remember cable access high speed internet . forgot mine , $ 9.95 charge per day wireless access room . another important thing know in - room safe available . try check laptop front desk , safe small thin - and - light laptop end lug around ( not want fry car ) . suggest bring laptop lock want keep room . there hair conditioner provide , bring not assume supply . make - to - order omelette hit family , pastry / donut not good . room right next elevator hear run , want peace quiet ask room not directly next elevator . 
 May 28 2007 	 definitely one good off - strip option ! ! 	 little apprehensive ahead arrival previously stay strip , Luxor . however , benefit Suites 's situation out - of - the - way Luxor , Mandalay Bay similar monorail station link neighbour Renaissance Strip 4 min walk - exit reception turn right , infront convention centre . what say : great hotel , modern , bright atrium reach 13 floor high welcome ambience , cafe / restaurant ground floor , well mid - size indoor pool , plus bar first floor balcony . room 13 ... high go wonderful view , even strip . watch LAS air traffic turn right final approach , outside window , hint aircraft noise . suite HUGE sizeable lounge atrium view , kitchenette , nice bathroom wonderful bedroom look city . staff pleasant swift attention , helpful need assistance , parking front include rate . 's - price put maybe attractive hotel class Las Vegas ... definite winner we back Vegas soon , would definitely book Embassy Suites more . a plus car rental user , hotel Paradise Rd , exactly 7 min airport terminal without need turn leave right . 
 May 28 2007 	 good Embassy Suites 	 room standard ES layout , decorate furnished notch ES ' ve stay . notice atrium area small , cause congestion breakfast ( although second buffet set meeting room overflow ) . affect ROOM size , atrium . also manager reception evening small area table / seat . skip . ' m 11th ( top ) floor AC fine , hear noise atrium living room , can not hear thing bedroom . walk strip quite possible like walk ( good 20 min ) . take Sands westbound pop Wynn Venetian ( would uncomfortable summer though ) . overall would gladly stay anytime . 
 May 21 2007 	 Good StripNon - Smoking option 	 spend two night property last week wife adult daughter . facility well maintain ample free parking . room spacious quiet . monorail run right Paradise Road front property near station Convention Center . certainly walk Strip property would suggest drive car parking venetian Wynn minute away easy get to . there excellent business center two computer terminal lobby . breakfast area clean well maintain multiple choice . indoor pool reasonable size outdoor hot tub spacious . I think good choice want non - smoking facility Strip car disposal . 
 may 20 2007 	 great Find Las Vegas 	 grab one night Embassy Suites . the hotel great shape , room spacious clean . they offer free breakfast free happy hour evening . no casino hotel . quiet location . pool 's Vegas pool scene . hotel close enough adventurous decent shape walk strip . ( take 20 minute - walk 95 degree heat . ) one reason another , ' ve stay hotel strip . accomodation Embassy Suites good , well , many strip . for Vegas convention goer , hotel certainly far ahead Las Vegas Hilton . only drawback Guest Services clerk somewhat difficult ask late check - out . 
