love 	 love Art , sculpture , bed / room , restaurant , pool , service , vive , peace . love sexy , romantic feeling place . spa open stay would really perfect . stay Hotel 2 month really love feel really comfortable satying . adult place sensual painting hotel sculpture . vive , look feel place scream passion romance . casino place great quiet , healthy peace relaxation . 
 thankful restaurant close 	 Artisan website give false impression actual property . stay hotel attend son 's wedding . Maria , wedding planner , staff organize handle detail . hotel disaster . maintenace problem . party four room . problem encounter room door become unhinged bathroom door would close . light bulb miss one work 40 watt make room dark dreary . Shower water would turn , water closet would stop run . call front desk ask maintence issue . maintence duty . hotel locate near expressway prepared hear car truck loudly accelerate night long . drywall drop hallway ceiling several room door & quot ; red & quot ; stop order Las Vegas Inspectors state room could occupy . learn upon arrival restaurant use Private Dining Room close two month . communicate son daughter - in - law prior arrival . probably BEST . book evening dinner wed two wonderful restaurant strip . make wedding . tolerate Artisan . staff try , receive backup Management Ownership . be like bleed hotel revenue put investment back . interesting bar . rating Wedding Chapel , strip restaurant = a+ Artisan= D- suggestion : stay strip , save cab fare , enjoy well lit room maintence perform . 
 Sep 26 2008 	 Unique eye candy strip 	 40 people stay hotel friend wedding . husband wed Artisan indoor wedding chaple ( small , beautiful ) dinner / reception dining area hotel . fancy fun . dj photographer great food good well . this hotel well strip cab driver tough time drive straight . pool area topless lady sit . ask bell hop handle situation several young people stay want use pool need education . one restaurant , one bar / lounge unable find vend machine sight . mini fridge room zip tie . unless plan spene $ 4.00 bottle water open door . bring thing room drink snack . great luck service enjoy unique stay . check web sight nice photo must see person appreciate unique art decor . over nice experience however since stay much close strip . 
 Sep 21 2008 	 screw . not stay ! 	 book hotwire , not know get . expect typical casino - hotel . nope . artisan additional charge list price can not find book . charge parking ! wife call place , & quot ; spooky & quot ; . bad hotel ' ve stay year . a / C ( Las Vegas ) must kind internal timer . wake every hour half turn back . try setting , none fix problem . could not find light switch entry way . end unscrew lightbulb turn . tv glaring led stay time . stay someplace else . 
 Sep 19 2008 	 RIPPED 	 stay Artisan March , 2008 . hotel book . Artisan sound interesting book reservation two night TravelWorm.com . outside hotel like old Howard Johnson face lift . inside hotel dark creepy . room ok . valet parking , besides pay parking charge , everytime go come back , tip parking attendant ; , drive near Vegas strip nice area . business near hotel strip club . to top , five month later ( August 2008 ) , without knowledge authorization , charge account $ 433.00.after charge account damage do , send we letter tell we charge account TravelWorm pay bill ! pay TravelWorm . dispute TravelWorm . dispute charge , aggravating . I would RECOMEND PLACE anyone ! 
 Aug 31 2008 	 like dream .. like Nightmare ! 	 fiance plan trip Vegas get marry . Originaly plan stay one hotel strip change mind upon see amazing photograph Artisan hotel . truly excited justified decision however could despite everyone say 's small , 's strip , be expensive . look back wish listen . here complaints:1.The hotel 's system thermostat air conditioning constantly consistantly reset turn . hotel must take extreme measure save energy regard customer . upon set thermostat desire temperature wait patiently room cool realize suddenly seem get warm . will also wake every two hour reset night . dare return room day will good hour half get back comfortable level.2 . nothing look large spacious photo see internet ridiculous . spend time admire hotel laptop actualy . see pool area laugh .. good photoshop edit pool seriously small even middleclass person back yard.3 . despite ask still recieve key card wrong code .. bad first impression.4 . room much small price.5 . Bathroom small.6 . Shower head suck.7 . room service open 24 hour , wait hour 7:30 order coffee , yoghurt cereal . upon 7:30 discover & quot ; chef & quot ; late . ask needed & quot ; chef & quot ; get coffee not give answer . 8:30 chef finally arrive take another 20 minute get someone kitchen answer call . wife finally get answer find offer bagel fruit . give serious attitude say & quot ; pick one , one want & quot ; .I take phone proceeded say kind room service not start till 7:30 require & quot ; chef & quot ; order coffee top not offer simple item want could find airport food stand . said & quot ; listen DUDE , not tell complaint , 's hotel deal mine take complaint manager can not anything ! & quot ; reply could least show time would love speak manager . bring next complaint.8 . manager duty 8:45 ! ! leave complaint front desk clerk never get back let know complaint passed take care off.9 . wife drink soda none less coke fridge dissapeare one per day . chekce hotel hurry give front desk complaint assure would charge . not know believe base track record hotel develop . recieve statement charge hotel steal drinks.10 . final complaint spa one main thing attract we hotel close construction . warn book hotel nore consolation shortcoming complaint . not recommend hotel anyone price . suspect couple would able make experience hotel come fully content . 
 Aug 28 2008 	 go . terrible customer service . hide charge . 	 book hotels.comthere mention additional charge book . after check credit card statement , see $ 34 additional charge they . when call , say book 2 day , nothing could , call hotels.comI call hotels.com , confirm reservation one day . , even though also unable anything , convince operator call hotel . I call hotel , story change . now , charge $ 15 / day 2 day parking resort fee . ( fee aware book ) .And charge $ 4 soda say drank mini bar . I tell never touch mini bar , let go . in opinion , offer take soda , never take , deal issue create overcharge I . I tell $ 15 fee second day erroneous , tell would receive $ 15 credit credit card . there apology , not wish nice day , like should . they make feel like total nuisance one make mistake . hotel ambiance bad though . like painting plaster place . the hotel , dark though , room . the hotel easy get . seem like right i-15 , mess street get it . get hotel illegal u turn . plus , dark side town , topless club around . safe area . they valet parking .. hence additional charge room . there ice machine , wait housekeeping bring ice . and check long process . they obviously understaffe , person check ( one desk 7 pm ! ) answer 3 call reservation check in . overall .. horrible experience . 
 Aug 28 2008 	 rough review give 	 First , hotels.com good rate Artisan Hotel . this hard review give love hotel much . bar , restaurant , lobby , room * check channel 69 tv * , pool , chapel unique beautiful . well decorate stylish . thing do not like hotel staff way treat guests.i stay hotel many time year . book friend , co - worker , Valentines Day , Birthday . ' ve stay small room penthouse suite ... needless say keep come back ignore rude staff . also totally rip main reason bad taste mouth regard staff . book penthouse one night ( almost thousand dollar night room ) hotel would allow guest room . upset . would anyone spend much money room stay alone ? even enjoy stay total waste money . stay hotel since pay less $ 100 night room . careful , alert , let take advantage . 
 Aug 20 2008 	 Scamed $ $ 	 wife stay place two night February 2008 . not Nevada since week . today , 6 month , look balance see $ 400 + withdrawel Artisan Hotel check ! ! ! ! call tell travel agency book hotel go bankrupt agency pay fee . since true rate high travel agency 's rate , charge we $ 400 + . call agency book Artisan ask go bankrupt . answer : bankrupt ! ' m process get money backI remember read something like happen someone else tripadvisor . I not understand Hotel would thing ... credibility basic foundation business . do GO 
 Aug 12 2008 	 Bad Service Overall 	 firstly , Front Desk experience bad nightmare ever . treat badly . call manager Night Shift least bother listen problem first point . proper room service . go personally Front Desk collect towel . ambiance good pay . would rather pay dollar extra stay well place . pay less . 
 Jul 30 2008 	 Bordello ambiance squeeze industrial zone 	 find entrance tricky - valet parking [ ] nuisance , maybe be convey high - end service . lobby super - dark , pretty good repro painting splatter wall ceiling . framed elevator door amusing continuation theme . select room base free wireless , 's part Clarion , price . room bit shabby , however . electrical outlet near desk - laptop go ...... lap . Shower do not shut completely , run water night ( hello ! be desert ! ) . room also super - dark ; fine night , disconcert 3 pm blaze summer afternoon . complimentary wine offer 530 - 6 ask , show grudgingly red wine , tiny glass , super - tiny pour . ice machine floor ( map back door say right across room ! ) , will send . valet parking offset free wireless ( do not tip wireless provider ) . front desk gamely helpful chipper , understaffed . leave property tricky - uturn require ( probably illegal ) . client ask stay , tell Vagabond Inn save money . hope not check receipt find really stay ! fairness , bed super - comfortable . bedding appear new . even party - time vegas , room fairly quiet . be budget game well - intentione kitsch inconvenience room , would ok . want predictable convenient , try somewhere else . 
 Jul 21 2008 	 neat place ! 	 return 2 day ago . 2 room ... 1 w / two bed 1 king . let outside fool ... enter place another world . sensuous . aware though might place kid anyone prudish . many still painting nude woman . see painting , photo , nothing opinion line way . painting Monet , Renior style . see MUCH bad billboard throughout city . love it . but big red flag child .... channel 69 complimentary explicit XXX channel ( explain we ) . pay view 24/7 .... 's thing would caution anyone on . here be lowdown stay ... Front Desk excellent . 3 resonable request handle quickly without issue - include room location ( 2 room ) .Ice order via room service complimentary ( give small tip ) . ask ice check open door . give 30 minute taxi get strip . 7 dollar ride 5 minute we . may get cab fast less 5 people party .. hold . parking 11.50 ... valet ... big deal excellent service . Resort Fee 3.50 per room . drink wine , make free wine taste 5:30 6:30 ... great converstion nice pour ..... tip Sommelier ... choose . certainly requirement ..... matter fact , ; feel compel tip anyone like place , service good . well brand mix drink 6.00 happy hour 2/1 ... make sure hit . solid drink . bar area amazing ! really oasis . eat hotel , menu reasonable , dining room beautiful . think expensive item 35.00 . order breakfast room service . great . basic egg sausage . come hash brown , fruit toast . Butter , preserve include . hot , quick tasty . pool area really neat . photo accurate . like Spanish Villa pool area . 4 1/2 foot deep , chilling area ... bed comfortable , overlook trump building spot Strip . 4th floor - claude Monet Room . kid double across hall . report zero outside noise . zero outside noise well . door solid thick . weigh ton ! bathroom small functionable , nothing special . room table really comfortable easy chair . lot pillow , iron board , pay mini bar safe couple robe use go pool . free , hassle wireless internet . as almost hotel , look could see need touch , need clean ... overall everything see great ! place locate right near Palace . huge gift store corner liqour store attach . could walk need bottle . Cab Fremont Strip . 2 mile Bellagio . aware traffic Vegas always issue strip , relax give self time ..... place we perfect . romantic ... want large room sink tub million buck view , night away , love it . check around rate deal ... caveat would pay rack rate hotel .... 125 would max .... 
 may 11 2008 	 Great 	 stay last night vacation head back air port . room really nice , bed soft , decor plesant pool perfect . interstate noise . early flight Vegas traffic noice room , could save money sleep ramp i-15 . noise audible even use ear plugs fan run night . hotel really nice , staff helpful , wine taste fun , noise , would never stay . 
 Apr 24 2008 	 rip 	 hotel firstly get room book expedia , 2 adult male share doulble bed , even though specially request two bed week . secondly disturbing , hotel , charge car parking fee , & quot ; resort charge ? & quot ; total $ 33.50 . grrrrrrrrr never even car . charge credit card return uk . grrrrrrrrrrrrrrrrr leave hotel specially ask ther thing extra pay , answered & quot ; SIR & quot ; pass imformation credit card fraud dept . stay RIP 
 Mar 17 2008 	 dirty 	 place dirty , dirty , dirty , shower break , spill wine room first check , top will not return deposit 150.00 , can not get member mgt . contact 's week ! ! ! place good deal be book question clean lack step room ! 
 Mar 12 2008 	 Eclectic 	 absolutely eclectic little hotel . top decor . price excellent , room clean beautifully appoint , staff cordial helpful . room dedicate different artist . nothing else like great change casino hotel . 
 Dec 20 2007 	 Artisan Hotel 	 Artisan Hotel small quaint , intimate experience can not miss 100 % gambling , want quality time sweet one . wonderful atmosphere , romantic , mysterious , low lighting candle everywhere . romantic get away ! ! ! go website- great picture ... look person . 
 Dec 6 2007 	 horrible Terrible not bother 	 stay hotel Vegas Marathon thinking stay small , non - casino hotel would better . wrong.if read review , get flavor hotel . essentially old Howard Johnson type motel get superficial facelift . art ambiance nice ( good part ) , bottom line nice luxurious place stay . we stay hotel one night leave . bed crappy hurt neck . noise freeway irritate always present . move strip hotel final night . seem like heaven one night Artisan . bed , noise bathrrom sub - par downright unpleasant . if tourist want good time Vegas plan take standard Vegas fare ( show , anything Strip ) , hotel . maybe would work town business want close freeway location . however , stay hotel , request room face away freeway . , stay plan use cab , prepare one ( even cabbie guy work airport ever hear place ) also , not pay full price . regret . standard weekend rate $ 175 . add - ons ( dislcose front ) , $ 200 . ridiculously overprice consider option Vegas . 
 Dec 4 2007 	 good experience Artisan 	 good friend stay Artisan Hotel one Saturday night Vegas . happy experience several reason . first , hotel advertise boutique , non - gaming hotel appeal we not gamble . however , locate possible walk Strip ( long , unpleasant walk ) want go Strip restaurant , shopping , show , etc . take cab every time . also , hotel locate right next 15 freeway extremely loud . get 2 hour sleep listen semis etc . go night . next , hotel art - theme decorate . unique lobby well decorate room dark . bathroom small dark / hard see . , two double bed bed extremely uncomfortable poor quality mattress , bedding , pillow . next , price high consider quality room close hotel freeway . pay $ 189 ! feel high consider rate hotel consider consider noise quality room . positive experienced Artisan whole staff friendly helpful . overall , would recommend Artisan traveler . 
 Nov 17 2007 	 artisan blue 	 wow . Dark inside . little interesting bookcase everywhere picture wall ceiling . cleanliness strong point . $ 2.50 energy charge additional $ 12.50 per night mandatory valet charge . book room say valet charge $ 6.00 apparently recently adjust slightly upward 100 % . bed look like use 15 year long . chair room suspicious look stain . memorable sense humor flexible standards- shot date - probably , maybe , possibly kid last point . overall , would view hotwire choice reason hesitant use hotwire . rate 3 star certainly not normal expect 3 star universe - i.e . doubletree , Holiday Inn , etc . add fee also annoy essentially like bait switch without option since hotwire purchase irreversible . 
 Nov 5 2007 	 stay ! ! ! ! 	 bad HOTEL stay ever ! ! ! ! currently undergo dispute hotel name Artisan Hotel & amp ; Spa . place unauthorized charge DEBIT card amount $ 250.00 . claim charge " smoke damage " room , present stay . upon checking - in , notify hotel strong smell cigarette , note complaint . place filthy strong smell cigarette leave nauseous whole trip ! accord hotel cleaning service , claim find one cigarette floor check . explain left room , cigarette , see neither we smoke , never . accuse we lie everything power avoid situation . try many time contact management give false information . finally get speak tell manager responsible making decision , claim " ton cigarette floor . " tell clean lady say one cigarette find , begin stumble word seem long interested talking . tell charge handling decision would contact man name , David Poire , claim also manager . try several day contact David avoid we cost . know accusation completely false also discover first time hotel do . find review service hotels.com people explain similar situation claim room service clean thoroughly . currently seek legal advice matter . every staff member rude food horrible ! ! ! ! another thing , hotel surround strip club . 
 Sep 28 2007 	 Adams Family Hotel 	 place call Adams Family Hotel . 's dark decorate Vampire - style . Cool Idea painting ( hence Artisan aspect ) place clearly old run building coat paint . old timey box air conditioner ( like motel ) run mill , cramp bathroom pipe run top near ceiling . goth girl front desk ( day shift ) Maria , rude husband twice ( time talk ) night shift staff quite nice helpful . try check early Maria become overwhelmed , head spin around come back much later . bed ok . safe use . little put & quot ; incidentals & quot ; room . wine , robe . note price . Kinda cheesy . robe note state decide take charge card $ 100 . ' ve never stay anywhere warn steal robe . wonder teenager own place ? think 's understand robe be not keep . bartender great great laugh King Vampire . drink good pour . breakfast mediocre . do not dinner . location bad feature place . first option except valet car . charge parking . good luck get anywhere place car . one way road road change name keep we go wrong way long think go miss dinner reservation . walk anything place . even would get jack 's sketchy part town . would probably scrape extra money stay somewhere else next time . be definitely cool bar drink late night . plus get lucky enough hook someone room free porn tv . bad thing condom $ 10 pop . ( pun intend ) 
 Aug 30 2007 	 Hidden fee add 27 % top book reservation price 	 hello , book hotel hotwire.com booking mention almost 1/3 extra pay hotel separately . this unpleasant surprise . hotel charge $ 11.50 use parking lot $ 3.50 strange energy surcharge . have know would not book hotel dissapointe . thank 
 Aug 26 2007 	 interesting terrible service 	 Hotel locate safe area ( least look like -- pretty ) .... walk - dark , love art idea management put . however , probably big disappointment really really bad service . front desk absolutely friendly . feel approach welcome . 
 Aug 11 2007 	 self - Serve Yourslef Hotel 	 hotel expectation give one star feel generous . friend wed pre - quote rate give different rate upon arrival plus hide fee not tell till arrive . friend room toilet leak bring luggage room . upon switch friend room , toilet leak everywhere , get luggage trolly move stuff . hotel convenient location $ 20.00 cab ride everywhere go . hotel soooo understaff wait 20 minute get drink go behind bar pour drink , well , guest . bartender also room service person service person restaurant . one point poor girl almost break tear stress . hotel 65 room 50 party staff hotel ( believe hotel well ) show we service . ask someone question not handle would send hotel look someone help . room extremely dark gloomy although pretty clean think be never guest . upon every complaint somehow make we feel like problem . front desk staff , well , manager rude incompetent . bar staff , security , maintenance housekeeping people great feel sorry work negative environment . hotel care bar nightlife care hotel guest stay . not think hotel around much long warn anyone consider stay think otherwise . hide fees cab ride could stay strip walk everywhere plus get room , bar plain service . good thing hotel friend wedding . 
 Aug 7 2007 	 bad hotel ever ! 	 wedding reception absolute bad customer service , rather customer service ! start Friday mother law slip girl front desk yell we fault slip . quote ; & quot ; 's furniture carpet wet . warn sign , apology , nothing ! wedding day , expect bar reception pool side fail give we even bother tell we . simply tell we one want understaff . blamme we well . next day bar 1 weekly Sunday event . guest also quote 3 different rate guest get cheap rate confirmation # check charge high rate . read dis- organize , staff , rude . love ambiance hotel never stay competent employee manager . awful , husband 100 guest ! 
 Jul 14 2007 	 hide fee bad neighborhood 	 hotel call Artisan probably painting find throughout lobby ( ceiling ) , hallway , inside hotel room . either like kind overkill will not . case , be bad themed hotel find Vegas . find room clean , free wifi cable tv ( 42 flat panel ) room nice . however , plan stay hotel future . ? ' hide fee bad location kill . upon register tell pay $ 3.50 energy surcharge fee $ 6.50 valet parking fee , self parking available . bring cheap hotel night ( advertise $ 59 book $ 67 taxis ) $ 77 . additional $ 10 - 20 dollar could stay number hotel area . you aware hotel locate next freeway exit . freeway run close hotel look like run partly property . close proximity make difficult locate entrance hotel . give credit , traffic noise minimal ( least floor ) . also need know hotel surround warehouse . two topless joint view room window . appear 2 3 block away . try drive neighborhood , get lose numerous cul de sacs come know area little . notice least 3 additional adult entertainment joint area bring total least 5.although decor hotel not bother , gf find excessive use candle illuminate dark lobby creepy . & quot ; color scheme & quot ; continued hotel room . paint dark color ( think deep crimson red ) bathroom tile trim entirely black except toilet wash basin . hotel advertise pool , spa workout room . could not locate spa aware pool workout room small . not think 4 people could exercise workout room time safely . pool grind small people back yard . this place seem fan certainly different day inn good western whether look romantic getaway plan visit Vegas child , think find well offering little extra money . hotel locate near Palace Station Casino ¼ mile Sahara Casino . ' within walk distance northern end strip doubt many people ever make walk freeway . traffic light narrow sidewalk exist walk technically possible . 
