great 	 stay 5 night dad November 14th-20th . check quick easy , give room 10th floor view Empire State Building . room good size , twin bedroom pleased size . also electronic safe cupboard free use room clean everyday . breakfast fine - thought would probably go buy breakfast continental plenty choice always enough food go around . buffet style breakfast muffin , cereal , toast , youghurt , bagel etc tea coffee could help throughtout day night . hotel great location wise - road macy 's empire state 5 - 10 minute walk time square . beware though city never sleep - not think night sleep straight without woken binman 3 be noisy people come back hotel . window also break first night mean noise awful staff fix straight away next day complaint that . the hotel also sell ticket attraction exactly price attraction themseleve handy mean queue ! ! staff friendly really helpful , reccommended boat trip not even know fantastic . main attraction walk . People quick tell get taxi get everywhere walk 10 minute ! ! walk central park hotel John Lennon 's old house people could not understand walk 20 minute get ... place get underground Ground Zero walk Statue Liberty dock around ten minute that . when get give map everything seem really far away ... 's . save money walk , really not take long much traffic road 's worth get taxi . the security immense prepare prod poke ! 's good consider everything happen make think Britain . Top Rock , Empire Statue Liberty get search go metal detector etc go , understandable make feel secure plus not actually take long . come airport book Supershuttle.com go . excellent service , tip book ( tip huge thing place go eat actually add tip .. ask want leave anymore ! ! ) . share ride 4 couple take hour get hotel give we time take sight sound not mind . going home last get pick ride take 20 min ! 's cheap get taxi flat rate $ 43 one way . one final thing ... reccommend Keen 's steak house . literally round block hotel good meal ' ve ! ! expensive well worth . not go around 5/6pm though businessman go dinner get stupidly busy . go Sunday quiet . lovely place , excellent staff fab food . 
 Oct 20 2009 	 overprice need renovation 	 choose hotel location , free internet ( contact office ) complementary breakfast . description look like stylish boutique hotel . get shabby old hotel , need renovation . room size fine . room try move chair arm - rest come . bed duvet , blanket ... bathroom small . internet connection oh slow ... 3 small lift one order , take forever go ( complementary ) breakfast self - service plastic cup plate small crowded room table chair almost one ! - well offer ! book 3 night , end check first day go Hilton Chelsea Inn pay less ! p.s . nobody ask check early 
 Oct 16 2009 	 great base sightseeing . 	 stay Metro five night ( 30th anniversary ) love location hotel . breakfast fine , eat dinner Metro Grill twice : food , wine service excellent . minor problem noise night outside ( back hotel ) , not enough problem spoil thing anyway 's city , get noise . the Metro 's ideal location trip sightseeing , use subway get everywhere would definitely stay . love . 
 Oct 10 2009 	 good money 	 room bit small , interior room ( window look alley bldgs , price location nothing well . couple block Penn Station , block Empire , half block subway Herald Square ... free continental breakfast ( unusual NYC ) . may go lounge room , perfect inexpensive on - the - town trip . 
 oct 9 2009 	 Fantastic Hotel - Desperate go back ! 	 hotel fantastic choice . clean , great continental breakfast , helpful friendly reception staff . room basic , small , clean tidy . location hotel amazing . great roof top terrace see top empire state building be brave enough go . definately recomme hotel anyone go New York . 
 Oct 7 2009 	 Excellent Round Hotel 	 come back NYC stay Hotel Metro - arrive quite early room not ready hotel happy store luggage went explore . room clean well decorate - not much slept eat breakfast - lot choice breakfast see complimentary really can not see people site complain , hotel not provide ! ! would definitely go back , location great site within walk distance subway 200 yds away . 
 Oct 7 2009 	 Great Hotel - Look . 	 return 5 night hotel pick hour search . decision make location , breakfast include price . disappoint . upgrade king room without ask great - clean , comfortable lot storage space walk closet . we eat hotel breakfast comment would recommend O'Reilly 's Fifth 4 -5 door . great presentation , excellent quality / quantity reasonable price . 4 meal time average $ 65.00 drink , appetizer entree . pub style downstairs intimate upstairs something everyone . we would also highly recommend hop hop bus Grey Lines . purchase three day pass use transportation well mean see city . sit top dress . approximately 15 degree cool . 
 Oct 5 2009 	 Excellent value money 	 stay one week September husband please hotel . first visit NYC spend age trawl review trying pick nice hotel . due flight arrive 3 hour early check disappointed room available us & amp ; not wait . check take 5 minute , staff polite & amp ; friendly . room clean & amp ; back hotel , great view good quiet night & amp ; sleep well bed comfy . also hear noise room around we good . room size good , could fit suitcase lot shopping bag quite comfortably . husband ask reception flatter pillow arrive 10 minute . breakfast excellent , go 9 am never problem get table . one small problem breakfast plate small , make 2 3 trip get want . location hotel fantastic , 1 minute Macy 's five minute Times Square . also use free internet access really useful . visit roof top terrace one evening problem get , show ID . also one meal Metro Grill nice . overall really nice stay , couple little problem like noisy air con small breakfast plate ! ! would definately stay , can not wait go back NYC , be amazing ! ! 
 Sep 30 2009 	 4 Nights 	 upgrade Kingsize room arrival , extra cost . the room spotlessly clean maintain way throughout stay . spacious room hair dryer Iron include . staff help full pleasant , breakfast plentyful time little crowded . cutlery plate disposable , really detramental meal . the location excellent , 200 metre Macys . ther subway stop end street easy access everywhere could think . 
 Sep 29 2009 	 great 	 hotel great location , close Macy 's , Empire State Building , subway station good value money New York . room clean . roof terrace excellent . staff friendly helpful well . breakfast basic , nothing special . also really like free internet access gym . would stay . 
 Sep 16 2009 	 good hotel location - room small 	 Hotel good location want Midtown , one block Empire State short walk Macy's / Time Square . room small compare New York hotel ' ve stay , adequately kitte . bathroom clean fitting bit shabby , toilet keep run flushed unless fiddle flush lever . continental breakfast good , lot eat , coffee good . air con unit room noisey , even wear wax earplug usually block everything ! 
 Sep 15 2009 	 great value - definite re - book 	 Loved hotel . clean , friendly , central . continental breakfast excellent , though shame redecoration make breakfast room bit cramp . room clean , tidy quiet would definitely recommend food cocktail Metro Grill . would like rooftop bar open though . definitely book hotel next time New York . 
 Sep 13 2009 	 Great Budget hotel short break 	 Metro great budget hotel would stay drop hat . think tourist NYC spend much time room , therefore long clean bed comfy , need - Metro satisfie . great location easy walk place cab cheap pretty much anywhere metro . other say bar roof give great view empire state , actually think could bar , feel bit make shift . the staff great , particularly door man . rain sort we couple umbrella . good breakfast , think invest additional toaster might make bit sense . overall happy money save accomodation easily spend amazing ny restaurant , try boathouse Central Park 
 Sep 13 2009 	 great ! 	 good hotel excellent location - close Times Square , Empire State Building Macy 's . subway station yard away rest city within easy reach . staff helpful room clean , comfortable good size . complimentary breakfast pleasant surprise . Metro Grill next door offer discount guest food excellent . definitely stay . 
 Sep 13 2009 	 excellent location clean hotel 	 arrive pleased find upgrage Pent House Suite . ( advise time book holiday present 30th birthday ) .The room spacious tastefully decorate clean . room equip iron ironing board - usually ' ve travel request reception . breakfast fine - could not complain complimentary - toast , fruit yoghurt , bagel muffin etc . downside plastic plate cutlery use , paper cup coffee . however plus side , put everything bin finish never long wait table clean away . dining area small , say never struggle table ( 7.30 morning ) . coffee available 24hrs day want cardboard cup lids available want take . hotel fantastic location . centre . 's 35th street 5th Avenue . heart everthing . get time square 15 minute stroll away . fantastic time woul not hesitate recommend hotel family friend . staff helpfull say hotel spotless . 
 Sep 11 2009 	 second stay would choose hotel - fab ! 	 husband stay Metro Oct 2005 could not believe excellent choice have make then . my cousin husband want go NYC year ask we go along . search many hotel , , not sure choose nothing praise Metro decide book it . if less positive point contact hotel try book directly would cost we £ 200 book Trailfinders . this hotel perfect location - step go leave right ( 1min ) be Empire State building step turn right left be Macy 's ( 1min ) turn right right keep go 10mins be Time Square ! plan return 3 year stay Midtown would definitely stay Metro . 
 Sep 11 2009 	 Mixed Views hotel 	 come back 5 night mother . pay extra superior room originally suppost go fiance try change twin room instead . arrive small double bedded room . look brick wall . would expect superior room . aware room new york small worth extra money . also air conditioning do not work neither safe . complain reception - get absolutely nowhere rather rude woman reception tell check first thing next morning . tell take case downstair would move another room day . time large room - double bed - twin room apparently - however least air conditioning unit work kinda view . rest hotel ok . breakfast ok . our complaint gentleman & quot ; bouncer & quot ; type rooftop garden . rude . ask want sit reading book . got trouble another time move chair one table another one . shout mother put swollen foot ( suffer illness ) side table . agree another person comment . nice guy ! ! 
 Sep 10 2009 	 Beware - may get room type reserve 	 book double , check early , give twin room , literally look like make - shift room 2 roll - away bed . informed front desk staff errror , unable anything since & quot ; reservation manager & quot ; duty follow morning . ask kind compensation , handle reservation manager . next morning , speak reservation manager , concur hotel error unable help we situation need handle kind central reservation department . assure would call within next 24 hour , , suspect , not call never credit less - quality room . although hotel good location , beware ... may get less - quality room pay front desk staff far adequate rectifying problem . 
 Sep 3 2009 	 middle 	 hotel make trip much well could . cheap hotel look however sound thing , one good hotel New York . pay really get lot . soon walk foyer , be greate lovely atmosphere . receptionist helpful , offer straight away book tour trip we . get 1.30pm , one room ready , know chance , due fact check usually 3 o'clock . queen Room Twin Room . queen room little small side , bed take room , however enough room put two large suitcase . twin room huge , spend time room big two . room nosy night , keep tell rest family , New York 's expect . mum complain however , wer not really willing move we . continetal breakfast amazing , find bread , yoghurt , fruit , bagel , crossiant cereal . want anything toast , great fun queue 1 machine corner , toast burn food , really 50/50 chance get burn crossiant . rooftop terrace gorgeous , amazing view , becareful take water , take bottle , fill tap water , make we put away sell bar . remind middle heat wave almost , find quite rude . also tell , sister age 21 , could not approach bar . , be allow drink water , be allow approach bar . not last long , take picture . location make hotel amazing , say empire state building Macy 's close buy , be lie . Macy 's half block right , shopping sit lovely Herald Sq Park outside Macys . empire State half block leave block . expect time square little close , go disabled person become little much . enter Metro Grill last night , end walk 5 minute , nothing menu would like price little expensive we , consider hear put 20 % tip bill return bad service . subway across road however , McDonalds aroudn corner , lovely little deli . overall , brilliant hotel , one would really recommend . staff brilliant , man rooftop terrace , room good size . think shower Queen room could bit big , trouble use shower , barely room move away scold water . 
 Sep 1 2009 	 love place 	 can not really say anything compliment hotel what s allready say , find staff excellent cleaner , dining room staff , reception doorman , allway helpful make stay pleasanteven stupidily locked valuable safe without first reading instruction reset safe number ; instruction clearly desk ( yes i m man ) trouble staff ever ( even think & quot ; @ # % ! & quot ; ) happy smile say trouble sirthe room small cosy , honest long go spend anyway beautiful roof top terrace sit would return new york would stay everytime 
 Aug 30 2009 	 two room suite great six day stay 	 stay six night two room suite twenty - something daughter boyfriend . room large quiet midst busy area . bed comfortable A / c work well - bless relief since hot muggy stay . breakfast varied quick . one small bathroom two room , two sink , one next shower dressing area . staff exceptionally polite helpful . location near shopping , Times Square many place visit easy walk . also less block major subway hub . Taxis always front well . altogether fine hotel base visit New York City . recommend highly . 
 Aug 30 2009 	 real gem hotel 	 girlfriend recently stay hotel love , hotel lovely inside room stay excellent , nice bathroom air con etc .The hotel take 50 , art deco theme think place amazing . the hotel close empire state building time square , right middle manhatton perfect location sight seeing . the hotel also boast rooftop bar find excellent perfect view empire state night . staff helpful point we right direction easily . would deffinitly stay hotel already plan next date stay . 
 Aug 29 2009 	 Lovely Hotel 	 second trip New York choose hotel central location . ten minute walk Times Square one block Empire State Building . arrival staff friendly efficient . room big enough air con much need ! ! breakfast plenty choice ; bagel , muffin , yogurt , cheese etc 24 hour tea coffee available . room clean good standard every day . would definitely stay . 
 Aug 24 2009 	 Great Location - Good Hotel ! 	 Fiancée stay 4 night ( Jul 2009 ) part month adventure around usa.my favourite thing Hotel Metro : Location Rooftop Bar . hotel situate one block Empire State Building 1 subway stop Times Square ( subway entrance end street ) . roof top bar offer great view Empire State Building ( day night ) great place relax day city . ( although drink little pricy ) .We find room comfortable ( like NYC hotel ) quite small . everything need : flat Screen tv , Telephone , Cable tv , Air - Con , Safe , etc .... bed quite comfortable bathroom nice clean . also , hotel breakfast ( include rate ) great way start day ( well save money ) . offer thing like : bagel , pastry , cereal , juice , coffee , etc ... , decent place stay . thing though weak hotel Concierge ( lack ) local information staff . PS : also good fitness centre free internet access . 
 Aug 20 2009 	 FANTASTIC HOTEL FANTASTIC LOCATION 	 place ! ! ! ! hotel excellent , room clean well decorate , staff helpful unobtrusive , room service fantastic , gym well equip roof top bar amazing . location good - macys road , time sqaure within walking distance , subway end street . fanastic hotel amazing city , definately stay next trip New York . 
 Aug 11 2009 	 Disappointing 	 visit New York special treat mum 's 70th birthday . despite email hotel advance let know , booking include name , not make attempt keep party together , acknowledge occasion . our room not ready arrive . try put we separate floor , give we room near protest . the room small incredibly noisy . it extremely cold , , could not sleep heater noisy . we not bother try get move tight schedule , not want waste time hang around shift stuff . finally , hotel little way - next time will book one close Times Square . I pick hotel suppose 1930s design know mum would love . not special have hope . disappointing . 
 Aug 11 2009 	 nice enough hotel great location 	 hotel great location fairly good value money ( New York least ) . room spacious similarly - price room NYC , though slightly date ( retro , depend perspective ) , nice enough . roof terrace excellent bar downstairs nice . staff friendly helpful well . - Europeans use sort thing hotel - hotel offer free tea coffee facility 24hrs . continental breakfast fairly nice . 
 Aug 8 2009 	 would stay tomorrow 	 arrival room be not ready lady reception bit grumpy offer we free tea coffee wait . get room 20mins later exactly expect . everything need exhausting holiday new york ( bed , shower , mini bar , safe air conditioning ) room clean maid service good ! room bite noisey nothing keep we awake long hard day walk street NYC.Breakfast fab ! 10 different choice bagel , bread toast , cereal , lot muffin choice pastry , philly bagel , jam , fruit , orange apple juice , tea coffee . do not matter time go , early late , always seat lot breakfast constantly re - stocked ! fantastic bonus ! roof top terrace fantastic view spend 20mins whole stay do not time ! hotel restraunt bit expensive serve good choice , eat ! do not credit card leave 250 dollar deposit room prepare happen . hotel fantastic location walk evrywhere five day stay ! prepare sore foot ! wish have take trainer ( never wear trainer ! ! ) overall desk staff could friendly be not make friend ! fantastic place stay would stay tomorrow could ! 
 Aug 2 2009 	 unbeatable location 	 Excelent hotel , worth value every sense : location , service comfort . 
 Aug 1 2009 	 want 	 stay 3 night family room teenager . get exactly hope -- - good location close action ( without noisy ) enough lodge space 3 we comfortably spread . right ! also get unexpected bonus exceptionally helpful staff registration . get great advice NYC activity great time city . would definitely stay ! 
 Aug 1 2009 	 great 	 Perfect location good size clean roommorning staff incredible . door man ton great tip . evening staff typical NY friendly . will return . 
 Jul 27 2009 	 bartender give extra tip credit card . 	 stay hotel 9 year ago . staff less friendly want relive experience book . room TINY . open door bed immediately infront we , take entire room . think joke room small . request new room also small . staff rude . bartender give extra tip credit card . location nice many hotel area go back Hotel Metro . 
 Jul 26 2009 	 great place stay Manhattan 	 family ( 2 adult 2 teenager ) stay early December 08 . good - sized apartment - separate bedroom we large living/2nd bedroom , 2 double bed view Empire State Building . bathroom decent size kitchenette basic , fine . keen ' mini - bar ' situation - could not put thing fridge without move thing set trigger rack bill . however almost Winter really problem . find staff polite helpful , make good use free computer access . breakfast basic good filling Grill make beautiful meal . loved location , close Macy 's , Empire State Building , subway station - want first trip New York - right middle Manhattan . surprised would feel comfortable hotel - would definitely stay . 
 Jul 23 2009 	 Superb Midtown location easy access landmark 	 location Hotel Metro simply could better - one street away Empire State Building , minute 's walk Macy 's , easy stroll Times Square shop Fifth Avenue . 34th Street / Herald Square subway station end road make trip Central Park , Upper East Side Financial District easy indeed . the hotel ' Old Hollywood ' theme , lobby decorate Art Deco style film poster wall . admittedly , decor rather tired - look , renovation underway many complete end five night . mention , room small - say , New York : earth would spend time room sleep ? be really small , anyway . room back hotel surprisingly quiet give hotel 's proximity main thoroughfare . the buffet breakfast plentiful filling , tea coffee available 24 hour day breakfast room ( tea Lipton , like good English brew might want bring . say ) . staff efficient friendly easy book shuttle bus back JFK departure . free wireless internet access also bonus useful online check - in flight . overall , excellent - value hotel ideal location first - time visitor wish sightsee . would definitely recommend hotel other absolutely consider stay next time visit NYC . 
 Jul 21 2009 	 defintely stay 	 centrally locate ..... clean motel . service great . 
 Jul 14 2009 	 great location rest ... 	 would recommend hotel want goot location . hotel 10 min away Times Square . street hotel locate busy , 's lot noise night . but downside . the staff reception really friendly . welcome short not get lot information . room rather small , clean . 's safe room free . yes , 's breakfast include price . find disappointing . lot choice , dining room cosy 's enough space eat plastic plate ( ! ! ) would therefore recommend take breakfast outside hotel . lot choice expensive . there ' rooftop terrace great view empire state building . next terrace , 's gym . not time go there . I book hotel promotion . , get value money location . promotion , would book hotel , otherwise would not . 
 Jul 12 2009 	 ideal location 	 family ( parent , sister & amp ; fiance ) stay Hotel Metro 5 night June . amazing time ! hotel ideally position major site . sit W35th St 5th & amp ; 6th - near Macy 's ( 1 min walk ) many high street store ( Gap , JC Penney , Victorias Secret , Old Navy , Footlocker name ) - walk direction bring Saks , Lord & amp ; Taylor upmarket store 5th Ave approx . 5 - 10mins . Times Square easy 10 min stroll . next street entrance Empire State pick tour bus uptown & amp ; downtown tour . hotel , pleased choice make , pricey comparable hotel UK New York ! room right elevator , worried might mean noise , guest well behave occassional footstep . room fine size wise , although big 3 room . view look inside hotel , however sister room front view Empire State . hotel staff friendly helpful - request deal promptly . breakfast include advantage - breakfast room get quite busy however never find problem obtain seat . rooftop bar , use much , however Friday evening popular busy non - resident . never eat Metro grill read mixed review , happy hour bar daily basis . gm small equipment well maintain adequate quick workout morning . would stay hotel ? yes definately ! 
 Jul 8 2009 	 Perfect last minute ! 	 book last minute concert Nokia get GREAT rate . nothing fancy clean , convenient subway Midtown stuff safe . free internet store stand close , complaint . 
 Jul 2 2009 	 super hotel 	 daughter first visit NYC indeed USA . ask nice room comment daughter smoker . they give we room 11th floof , one level roof terrace could smoke . room beautiful , spacious huge window , good sized bathroom . we back hotel noisy Friday night due loading truck etc.the fridge full expensive hotel stuff not use . staff friendly helpful especially doorman , Matthew . roof terrace amazing view Empire State building bonus . love decor hotel general ambience . 
 Jun 25 2009 	 Great Hotel - would highly recommend 	 2nd stay hotel would go back . excellent location macy empire state building . nice clean room small . friendly staff . free breakfast -be basic ( bagel , coffee , muffin ceral etc ) good thing we roof top bar fantastic view empire state building ( wish 'd time enjoy ) . good price New York . 
 Jun 12 2009 	 METRO HOTEL one BEST NEW YORK 	 service good hotel staff , especially doorman helpful knowledgable . room clean air con , heater , fresh towel , tea & amp ; coffee 24 hour , breakfast nice , free interent access , iron , toiletry , lot place eat around pizza place door fresh big slice . subway . around empire state bulding macdonald , burger king , wendys . u fancy indian u go little india whole street indian restaurant , taj mahal nice restaurant ten dollar u get set meal . like everything New York . natural History museum , central park , central park zoo , united nations , circle cruise , brooklyn night tour , ellis Island , statue liberty , empire state building , regal cinema time square , madam tussard . use hop hop bus blue bus good manage make deal $ 86 dollar 5 day instead 3 day include several free tour . good holiday ever lot eat lot see . would go back 
 Jun 9 2009 	 great friendly hotel excellent central location 	 come back fantastic 5 night stay hotel . first visit hotel partner . the hotel small friendly upon arrival hotel make feel welcome give lot information City . the room small also clean clean towel bed linen everyday . the breakfast nice add bonus hotel room only . it important bear mind room basic small surprised small tired evening much see lot walk spoil holiday . we room 5th floor back hotel would recommend guest ask room back effect noise warn noise night traffic etc .. grumble uncomfortable hard bed partner bad back could get comfortable . fridge would handy cheap stock drink snack supermarket rather mini - bar . I would definitely stay hotel location brillant turn right hotel 5 monute walk Macys 10 minute walk Time Square . also close Empire State . go brillant 2 day bus tour hotel offer include boat trip see Statue Liberty also entry rockfellar centre - well worth money would highly recommend . one tip first time NYC holidaymaker make use free internet facility check online go home new we also make use 24 hour free tea coffee dining room area . NYC faboulous place lot sightseeing shopping , go Woodbury Common cheap designer clothe need suitcase bring everything like home . also great Pizza place Time Square call John 's Pizzeria ( ask hotel staff ) large pizza nice eat .. hope enjoy .. 
 Jun 8 2009 	 good hotel choice 	 wife recently return 5 night stay Hotel Metro New York . hotel ideally locate 5th 6th avenue situate 35th street . familiar Manhattan , Island structure way easy navigate . avenue run North South street East West . subway Herald square literally minute ' walk away , easily efficiently get around fuss all . the hotel contemporary feel room comfortable well design . continental breakfast nice addition stock fruit give good start day . rooftop bar great feature well worth visit chill check view . however price cheap beware . find hotel staff pleasant informative use recommend airport shuttle bus company departure back Newark airport . we never get round dining hotel ' grill bar choice offer elsewhere vast reasonably price . eat drink , try variety location . little India , Chinatown Little Italy well worth visit find subway safe even late night . 
 may 31 2009 	 look forward come back everyday 	 Breakfast fantastic perk many hotel not . self service include : yoghurt , bagel , muffin , cereal , fruit salad , coffee , juice , toast etc . plastic crockery great . help coffee tea throughout day night . could use internet free second floor ( 2 computer ) . staff friendly . fresh towel beautifully make bed everyday . room big ( see pic ) - disabled room . much natural light due look inward onto rest hotel problem . look forward come back every afternoon ! central subway stone - throw . 
 May 26 2009 	 Shame service 	 hotel fantastic location 5th 6th avenue midtown . hotel less block Empire State Building visit roof bar hotel see view Empire State Building . room fine , nothing outstanding clean functional . nice resturant bar close ( Brandon 's opposite hotel outstanding ) Macy 's end street . complaint hotel staff . first night get stick elevator several guest . desk clerk duty irritatedand rude rang alarm , helpful . complain next day hotel manager not see problem refuse hear complaint . aside service issue great base explore city . 
 May 26 2009 	 fantastic hotel great location ! 	 Metro Hotel locate next street Empire State Building superb view rooftop terrace . location central transport link major sight . Macy 's Department Store also end street . the hotel clean staff extremely friendly welcoming . room spacious always clean . big benefit stay hotel breakfast include . choice food plentiful fresh . 
 May 14 2009 	 great location good hotel 	 stay Hotel Metro five night first trip nyc.the location fantastic- within walk distance Empire State , Macy 's , Times Square several subway station . we book standard room fine two us amenity need , include hair drier , ipod dock , tv etc . bathroom clean well stock toiletry . also pleasantly surprised fact sheet towel change every day maid . we fifth floor back hotel overlook road building site . noisy night fully expect be- New York ! hotel pleasant , particularly lobby breakfast room warm welcoming feel . Frank Sinatra music also pipe almost constantly , create old New York atmosphere ! complimentary continental breakfast excellent ( toast , cereal , granola , pastry , muffin , assorted bagel , jam , yogurt , cheese , fruit ) , although early go busy get . unlike previous reviewer , find selection wide plenty food available even come breakfast late one morning . free tea coffee available throughout day evening also bonus . we eat hotel restaurant , Metro Grill couple night fine convenient ' ve day come back late tired . may little expensive place unless want catch cab / subway somewhere eat fast food , decent place dinner nearby hotel far between . the roof garden bar also add bonus . expensive get busy night 's fantastic view Empire State building 's great place take photo . our trip unfortunately mar fact saturday night due leave strike severe food poisoning . thing eat sandwich share deli end road . although hotel large accomodate , one member staff difficult unhelpful experience . we ill unable leave room take airport transfer flight home . rang reception inform arrange stay hotel another night , fine give we good rate . however , ask see doctor man reception tell we not good idea say would instead get us cab go medical centre . seem real issue get doctor come hotel would not accept neither we could get bed let alone get cab . later rang downstairs ask water send room , man tell we not possible restaurant would not open another half hour would come downstairs get . also say need come front desk sign piece paper confirming would stay another night- could not seem appreciate neither we could venture away bathroom ! rang see doctor eleven morning , eventually visit half past ten night . this unfortunate turn event certainly not put we hotel . next day different member staff shift helpful rearrange transfer we sort bill . despite last day , fantastic time NYC certainly go back would gladly stay hotel again- although think will avoid delis ! 
