nice 	 take kid NYC Thanksgiving holiday nice stay Belvedere . staff helpful room nice size four people . hotel locate couple block Times Square , Rock , Macy be got see sty midtown . rate reasonable compare hotel area . would recommend hotel look reasonably price , well cared hotel . 
 GREAT ! ! ! ! 	 nothing negative hotel bad good .. could way soft ... .. Location AWESOME .. 2 - 3 minute Time Square ( walk ) .. clean big room , nice Bathroom , quit .. place we next elevator bit loud .. go 10 minute get another room without problem , Valet parking reasonable 43 usd .. great experience .. sure return . 
 Oct 28 2009 	 Undercover Tourist review hotel .... 	 travel lot . stay many hotel world . rate friend . month stop week NYC Belvedere Hotel . ? like name ... fact restaurant next door call ' Sombrero ' good frozen Margharitas New York . like Margharitas . ok , need know Belvedere Hotel . it be decent 3 Star , room compact , well equipped . two thing look decent bed powerful shower . tick .... cooking facility ( sort ) lot storage space . 17 floor , ask high floor , non - smoking . oblige . stay 15th floor . not use main set lift get high floor . third lift end corridor , usually take direct . main lift seem keep stop everywhere ( annoying ) 's lift suppose ! ! still annoy stop 13 time way room need breakfast ... know mean .... ( oh go fron door , turn leave , leave good diner breakfast .. 30 yard leave ... ) Room clean everyday , robe towel supply , coffee machine . tea bag ( TIP .. take tea bag , reason seem buy normal tea bag box 7 million ) .As place America , everyone want tip everything . overbear Belvedere . stay place will not give time day unless dish cash every 5 minute . nice change . the Belvedere close Time Square , great go look , not eat though , like going eat middle Leicester Square .. ( go Hells kitchen 9th Avenue ) Time Square get cut price ticket ( ) show . fancy spending WHOLE weekend queue get % 20ish ticket , tkts place . think open 11 . can not miss , look 10,000 people snake around middle Time Square . never Wicked Jersey Boys ... hand , want queue hour , well way get ticket theatre ; buy em online go ... ( organise know ) tkts another branch @ Sea Port Pier 17 ( be far away ) . queue . take credit card . get ticket quickly . get trip . mention , do not Wicked Jersey Boys ... tell never .. go directly theatre . usually ticket , also number front row seat available day $ 25 ... available box office ... go Sea Port , Abercrobie & amp ; fitch ... Mecca tourist . advice , go branch . one 5th Avenue thay make queue outside . reason get inside busy ( create bit demand ) ... do not Sea Port ... please keep mind & amp ; F topless male model wander place , staff nothing ever know ! ! work 5C principle . see within 5 foot , speak . 's LAW ! ! novelty first , wear 90th staff member ( actually make 2nd ) ask ' what s happen man ' ' how doin ' ' hey , be ' - stock phrase . seriously , good lookin people , wife call Abercrombie - bot .. get respond question , start conversation ... can not handle ... want stuff bit cheap discount rack , go Hollister SoHo . cave like vibe . still can not find way . still Hollister - bot . staff clue anything ( probably do not need eye anymore ) clothe , mean exactly different logo ( company ) everything $ 10 cheap . anyway , go track .... could lot bad Belvedere . it reasonableThe bed massivethe shower powerfulNice TVGood Location ... ( although tendancy come front door turn leave , want well cheap eating , turn right 9th Avenue , that s Hells Kitchen ... restaurant truely fantastic ) view 15th floor niceIt ( fairly ) quiet room climate control goodthe staff friendlythe concierge change daily , quite helpful ( open 8 pm ) Nice GymGood rate online- Shop around though .... tip . buy New York Passes really feel benefit . tell skip queue , not . every attraction airport style security , understand , add half hour onto go . new york pass 2 day 3 bus loop van get online $ 125 . top Rock tower night great . take age get though . go empire state early , 10 am mob . buy ticket Skyride . rubbish . unless like low budget simulator make feel sick prior go 102 story .... 's , go ... unless really , really want go Brooklyn Bus tour , would not bother . firstly bus open top . like coach , usually air - con . ' hop ' little chance get another day ! tell we 1hr 10mins . like 2 half . much see ... good bet walk Brooklyn bridge . find Juniors Diner , good cheesecake ever eat . walk back . hour well spend . the bus route good , weekend ... hop , hop thing like , queue age , not get upper seat , hop repeat ... go whole loop .. tour guide great . sorry .... stay Belvedere . like , overall 8/10 ... 
 Oct 27 2009 	 good place stay w/ kid NYC 	 bring 2 child ( age 7 8 ) first trip NYC we . little worried b / c hear New York hotel room cramp , find room Belvedere adequate . go update room 2 double bed , make use fridge / microwave . concierge warm helpful . eat hotel breakfast , mainly location ideal access restaurant every type . also make use room service one night- complaint . theatre district one destination , hotel ideal family . 
 Oct 20 2009 	 wedding ! 	 LA find hotel site . FABULOUS ! ! ! ! location , staff , room , ambiance perfect . come NYC vacation plan get marry City Clerks Manhatten . perfect trip wedding turn great . we come back every year aniversary stay Belvedere . corner , sky line view room must . boutique hotel room perfect size decor great . real gem city . within close distance restaurant row great local place without horrible crowd ; BECCO Amarone list . 
 Oct 20 2009 	 Charming hotel excellent service great location . 	 return six day NYC wonderful stay Hotel Belvedere . moment arrive every single staff member greet we warmth give we helpful , cheerful service . concierge happy answer question . stay Executive Queen room get AAA discount . ( note : room much old tired decor . want new , luxurious type room make sure reserve & quot ; Executive & quot ; level room . ) stay 17th floor nice view . complaint room warm night . we full american breakfast day ; nothing special good . I would hesitate stay hotel . 
 Oct 20 2009 	 really enjoy stay ! 	 reserve executive king room two month advance , stay three night . arrive ( bus subway Laguardia really easy Q33 bus N line 48th & amp ; 7th ) 4 hour early although could not check room , gladly take bag ( remember tip ! ) front desk call cell 2 hour later say room ready . room 1704 , excellent , clean , well appoint ( kohler bathroom , soaker tub , etc ) . bed comfortable ( soft bed fine ) nice linen . courteous quick service bring bag ( please remember tip , even store bag 1 $ per bag ) . Quiet ( NYC ) good view , lot storage good size ( NYC ) . concierge , pleasant helpfull . noticed people complain elevator , never problem 17th floor . issue people use elevator get 2nd 3rd floor , christ sake take stair able ! . around corner 8th 48 & amp ; 49 really good deli / grocery inexpensive quick breakfast . try restaurant hotel comment . find front staff pleasant courteous lobby clean comfortable . never try fitness room can not comment . overall know particular room stay excellent enjoyable , back next year . 
 Oct 17 2009 	 Nice hotel wonderful service ! 	 truly enjoy stay hotel . pay little second night , receive beautiful room ! definitely worth small difference money .... would ask upgrade ! ! concierge amazing . guide we right restaurant , activite , etc . take three teenager , really make stay special ! 
 Oct 17 2009 	 good location that s ! ! ! 	 say .. well staff rude , room basic wall like paper ! group 4 people stay 4 night , guy reception want full payment upfront even though give credit card number security . tell stay many hotel across world never ask pay upfront , insist policy right across city ( rubbish ! ! ! ) anyways pay rude . start get personal call first name , whch do not like , come across knew year . get room , old basic , bed uncomfortable clearly sound insulation room ... every morning awoken opera singer next door practice ! ! not eat can not comment food . overall experience poor will not go back . Devasted not stay W new york Times square , could got around price ! ! 
 Oct 12 2009 	 Perfect location nice comfortable room . 	 arrive hour check - in time give room right away . executive king room . think & quot ; Executive & quot ; room one recently renovate . room open beautiful chocolate brown marble floor foyer , bath small kitchenette . kitchenette nice - refrigerator , microwave , sink . bath nice product . king size bed super comfortable great linen . chandelier bed , desk / chair , chair window , flat screen tv plenty drawer / closet space . nice . we absolutely trouble staff . nice . the location convenient Theater District Times Square subway stop close . really need cab airport run . if consider hotel , rest assure will perfect stay . 
 Oct 11 2009 	 great location 	 stay five night . fantastic location . quick walk Times Square . Approx 5 - 10 minute . stay executive king . room well equip . Fridge/ Microwave / Tea Coffee supply . clean daily . Gray Line book office round corner Hotel . highly recommend tour city tour bus . . help find location want go back visit . take good pair walk shoe - walk mile rather use subway . great way see new york . would certainly visit hotel . avoid eat Times Square . expensive waht get . 
 Oct 10 2009 	 Excellent hotel 	 consider lot hotel choose Belvedere 's location mainly review Trip Advisor . defininitely disappointed . we executive King Room quite spacious lovely marble bathroom , nice toiletry even bathrobe . the staff friendly maid service room top class . short nothing spotlessly clean . we 17th floor wonderful view especially night time . the kitchenette wonderful , fridge , microwave coffee maker . just one block away corner 49th St 8th Ave Food Emporium store , shop breakfast supply . already say , location Belvedere perfect ... minute walk Times Square yet quiet enough street . we stay week go three Broadway show , one five minute walk hotel . it first trip New York brilliant time , not think would consider stay anywhere else next visit . highly recommend ! ! 
 oct 9 2009 	 stay ! 	 stay three night . town see tv taping Broadway play . hotel location outstanding sight right around corner . letterman three block , Times Square three block , right . price right . would stay new york minute ! room refrigerator , microwave , although somewhat small , room perfect . safe doorman attentive front desk staff . great value city expensive . 
 oct 9 2009 	 wonderful location clean room pleasant ! 	 stay Belvedere March 2009 friend college . loved ! find great deal website could not pass . convenient Times Square theatre district short walk 5th Ave . room ready upon arrival quickly check . got double room 14th floor , nice view area . Room slightly date , opinion still nice . room clean spacious enough two we . not spend much time hotel room definitely sufficient we trip . bell hop also nice check breeze . would definitely recommend ! 
 oct 8 2009 	 Wonderful Hotel - Fantastic Time NY 	 Belvedere Hotel beautiful , clean affordable hotel centrally locate everything NY . desk staff incredibly professional , courteous helpful . bellman well ' ve ever see - helpful every respect . concierge helpful wonderful suggestion . Maid service helpful impeccable job room . thing negative regard hotel elevator . small slow - elevator hall , service elevator , use often not problem . room roomy , beautiful , tastefully decorate , nice sized bathroom kitchenette . exceed expectation would definitely stay whole experience wonderful . first time NY could not happy accommodation . I would suggest Hop on / Hop bus tour . stop street hotel wonderful form transportation stop locate near sight worth see . tour guide incredibly informative knowledge history NY . learn something new every time take bus three day / one night loop pass . two favorite place eat Cafe Lalo ( feature movie & quot ; ' ve Got Mail & quot ; ) tiny restaurant call Rice Beans ( Beans Rice ? ) . food excellent ! enjoy restaurant open street able people - watch . Ellis Island another & quot ; must see & quot ; - incredible place ! sunset Empire State Building beautiful . we love NY can not wait go back ! 
 oct 8 2009 	 Perfect day stay 	 stay hotel four night find perfect need . location brilliant - close Time Square far enough disturbed noise . room clean comfortable though little small side - need sleeping ! find staff pleasant consierge reception helpful . would certainly use would recommend anyone look central location reasonable price . 
 Oct 8 2009 	 Belvedere hope 	 wife stay New York week choose Belvedere strength review medium price . good choice . king executive room , spotlessly clean , spacious , comfortable . complaint noisy draughty air conditioning unit , Sep / Oct could turn time . staff friendly , problem elevator , problem guest noisy , problem street noise . maybe depend location room . towards end corridor 5th floor . noisy neighbour , course , get anywhere , certain time year expect , especially New Year 's Eve . eat , think diner nearby missable . Pigalle Restaurant nearby good , Ellen 's Stardust Diner broadway/50th st unmissable ! 
 Oct 8 2009 	 everything right Belvedere Hotel 	 please stay Belvedere Hotel NYC ! accommodation great . room spacious tastefully decorate . lot marble bath pantry area . oh , mention every room mini - fridge Microwave ? staff seem always available friendly , inform eager help . atmosphere hotel warm friendly , almost like stay relative 's house . location hotel excellent , couple block , 5 minute walk , infamous Times Square . would HIGHLY recommend hotel service , comfort , ammenitie , location , staff price ! 
 Oct 6 2009 	 great hotel - basic al need 	 move Night Hotel over - price small great basic hotel wish would book beginning . stay un - renovated room 2 double bed around $ 180 usd include taxis . un - renovate & quot ; room . big room safe , mini kitchen , basic tv pay tv . frill hotel . guest around we complain cd player bath robe want frill not stay . room large NYC standard - would say double size Night Hotel room stay . lift little slow job staff great . planning stay NYC 8 night would say hotel great international traveller want large , clean room long stay someone travel domestically usd want something high end . 
 Oct 5 2009 	 Great Hotel 	 stay US OPEN . 's 3rd time stay hotel . hotel staff great helpful . hotel 2 block Times Square . room clean good bed could sleep . stay . wonderful time . 
 oct 4 2009 	 stay NFL draft ... money well spend ! 	 great location , great staff , friendly . want nice clean place stay great location . room actually lot large NYC hotel ' ve stay , past . 2 block Times Square 6 block Radio City Music Hall ... stay sure ! 
 oct 4 2009 	 Great Property - Rude Front Desk 	 enjoy stay location - close Times Square Broadway . year travel around world , never meet front desk rude . stay need interact front desk - not even think late check change reservation . lot good hotel neighborhood . check . 
 Sep 29 2009 	 great hotel ! 	 stay September 2009 . firstly slight problem have arrive around 1ish could not check 4 pm . pour rain New York leave luggage hotel wander rain hour . aside , hotel lovely . would read review room refurbishment assume refurbish room really nice . bed comfortable room quite large . would also read bathroom small not find . not use & quot ; kitchenette & quot ; area could see would useful long stay . room safe also plus point . use cafe breakfast every day expensive convenient . buffet good variety . the negative block away action would stay . 
 Sep 24 2009 	 good value great location 	 stay hotel three night recent holiday New York . location midtown close Times Square . room large New York standard contain small separate living area . one renovate room , choice make booking . although furnishing date room clean comfortable . check easy hotel staff extremely helpful . hotel quiet street noise . room airconditioner noisy , not keep awake . hotel excellent value money . 
 Sep 23 2009 	 Location Location Location ! 	 pick hotel many great review website every review & quot ; right ! & quot ; stay Belvedere one night cruise departure . get around 1 pm able check . lobby hectic , expect time day . room clean comfortable . negative comment , shower water temperature keep fluctuate hot cold . hotel walk distance Broadway show , NBC , Letterman , St Patrick 's Cathedral , Times Square . much see short walk ! problem get cab morning cruise terminal $ 7.00 fare . everything Belevedere top notch would hesitate stay would recommend hotel . 
 Sep 21 2009 	 Splendid location service stay . 	 wonderful hotel , clean , efficient , service great , perfect location . stay . 
 Sep 21 2009 	 good central hotel 	 Belvedere good quality hotel couple block Times Square . travel father share room two double bed . clean furniture fitting look reasonably new . bathroom good hot shower . coffee make facility room . room quiet . problem lift unlike report . not eat hotel plenty place nearby . have recommned base Midtown Manhattan cost less big chain still offer excellent quality . 
 Sep 20 2009 	 great price plus excellent accomodation = great value 	 would definitely stay . & quot ; Deluxe King & quot ; room 17th floor . huge , neither tiny . clean . nicely appoint . coffee maker , fridge microwave include . a previous reviewer stay 16th floor complaint water pressure . water pressure room always excellent . even well urban home Toronto ! hotel staff wonderful . polite , friendly , attentive . one exception & quot ; concierge & quot ; . cold , useless , even mean - outright refuse call shuttle service ! apparently hotel contract concierge service company make money ticket sale commission . big mistake nice boutique hotel try earn maintain reputation great service . fortunately , friendliness helpfulness staff make . 
 Sep 18 2009 	 good value centrally locate 	 good value hotel , centrally locate , friendly staff work reception . annoying thing room get really hot impossible turn heating . good value money NYC . 
 Sep 12 2009 	 convenient comfortable clean equipped live photo 	 group 3 woman ( family ) 3 we find hotel excellent . clean , good double bed , spacious , equip kitchenette , chest drawer , small closet , safe etc . our room really quiet , think window soundproof device . also coffee shop . well locate , walk distance major attraction . staff efficient , even trip , email exchange , prompt reply . worth price 
 Sep 12 2009 	 great stay 	 5.th floor , noise elevator neighbour . aircon / ventilator loud , yes , need night time . hall smell bit food time , smell never creep room . elevator bite slow , end use stair go time . I guess renovated room , bed great , furniture nice wall paint perfect condition ( girlfriend house painter would know ! ) .We surprised see big room , extra table two chair . bathroom nice clean . great coffee maker fridge soda , milk juice . never try café since make breakfast room every morning ( buy plastic spoon paper bowl , though , since get complimentary cup coffee ) .Had problem staff , seem friendly enough , not really much use time . location great . nice street , safe time close everything midtown close subway . restaurant nearby diverse , cuisine price , be something everyone . apart scary fire alarm go middle night saturday , perfect stay . guess could ' ve happen anywhere , luckily false alarm coax back room . we luggage store whole afternoon leave hotel , nice service get cab JFK.We would definitely stay . 
 Sep 9 2009 	 Great Location 	 Booking Checking staff professional friendly , nothing seem much trouble themthe room well appoint clean , even small kitchen area fridge , microwave coffeemaker , add really great location , buzz Times Square great eatery Hells Kitchen , could really fault hotel , would hesitate stay 
 Sep 9 2009 	 nice room price 	 room small , clean comfy . decoration modern price Nyc can not expect much . anyway , do not use climatisation night september .. exterior climatisor know experience loud . small Kitchem useful . otherwise personnel nice . would definitly go back ! ! 
 Sep 8 2009 	 Excellent Stay ! ! 	 love Belvedere .. close everything , room nice clean , spacious ny standard .. staff friendly , helpful ! ! definetly stay .. 
 Sep 7 2009 	 Excellent ! 	 stay last week husband 2 teenager ( 17yrs ) really fault hotel - beautiful room fine amount time spend . ' m find hard understand comment lift problem 4 day stay - long wait probably minute ! room spotless although bathroom little small side , shower great , clean ( nice toiletry ! ) . come JFK , easy get hotel via Skytrain , much cheap option . can not imagine could find well friendly place stay good location price pay - fact reservation placing review many people might get hear will not able get room next time visit NY ! ! 
 Sep 6 2009 	 Brilliant 	 honestly say one good hotel ever stay . great location , excellent staff , room fantastic , nice quiet , two huge comfortable bed fridge make holiday . can not wait back . recommend friend . close everything , eat easy , load great cheap place eat heart theatre district , could ask . perfect base holiday . New Yorkers soooo lucky weather ! 
 Sep 2 2009 	 decent city centre hotel . 	 Location , quiet street 8th Ave . NYC subway two block away 50th avenue . within easy walk distance major NYC attraction shopping . numerous restaurant vicinity , many high standard . room small lucky ' receive refurbish room . unfortunately old style room although comfortable desperately need upgrading . room also small kitchen area fridge , worktop , sink , coffee pot microwave ask , ? crockery cutlery effectively area useless . think area would well use clothe storage amount available limited . many reviewer complain lifts yes , two main one small , old busy , end corridor another much quieter . go Belvedere look Belvedere cafe . ' realise leave quick breakfast look ideal . stay , probably . 
 Sep 2 2009 	 Belvedere Hotel - New York City 	 price good room good size . take advice review call ahead ensure remodel room . decor beautiful can not beat convenience lot great restaurant Times Square . room overlook road street noise night ( save police car ) . hotel beautiful good location , not feel like staff overly - friendly ; like job . negative café : would recommend eat breakfast . food overprice good . plus , not tell front get item & quot ; la carte & quot ; - tell buffet . great diner close well food , price , ambiance . plus café staff rude . * * international traveler please aware must credit card name incidental . young couple check time one fork $ 300 worth traveler check . 
 Aug 26 2009 	 GREAT value Payne Family 	 fantastic location , great service , nice room . really enjoy stay Belvedere . 1 1/2 block Time Sq Broadway . 2 block 30 Rock , 20 minute walk Central Park . can not beat value . stay everytime visit city . 
 Aug 15 2009 	 great location excellent staff 	 location hotel outstanding , everything midtown close , minute ' walk . busboy front desk staff helpful attentive . stay 3rd floor room renovate . disappointed shabby furniture -- coffee ring table furniture disrepair . expect & quot ; old outdated & quot ; , shabby . carpet new , room clean , decent size , bed fine . bathroom counter space speak small , tub worn appear dirty . window air conditioner work okay , could close heavy drape would block air flow ( window openne screen ) , would wake 5:42 close drape sunrise block sunlight . problem slow elevator , use small elevator end hall never wait . even disappointing room , would stay , request renovate room . get pay . eat mexican restaurant nearby , meal excellent , rest family disappoint . also eat Ray 's pizza ( awful ) Georgios County Kitchen 9th breakfast ( good ) . good meal Mangia de Beva 9th 53rd . 
 Aug 11 2009 	 perfect stay 	 Belevedere sure contribute make first trip New York great experience . even though arrive way schedule check - in time , able get room straight away , drop bag hit town- Times Square literally around corner ! staff incredibly kind helpful . forget ' ve hear big city hotel staff snorty ! opt King executive room complimentary wireless internet access . kind ' would not get house fire ' heavy sleeper , say sleep like baby probably not account much ... bed * * really comfy ! plane back home really late , allow store luggage hotel , spend last hour stroll around , come back wait lobby airport shuttle concierge book we ... ' m definitely book hotel next trip ny ! 
 Aug 2 2009 	 great location everything need 	 stay 2 teenager 1 room together fine . aircon work well room always spotless . bathroom also clean well supply towel etc . small kitcheneet useful fridge need take travel kettle unless want heat water microwave . the hotel centrally located- place within walk distance cab outside always available . restaurant row 2 block away evening meal use delis lunch - time . despite centrality , hotel quiet disturbance within outside all . Decor little shabby , lift slow tv rather ancient bargain price do not expect state art trimming . staff helpful friendly . would not hesitate recommend unless want luxury would need pay . 
 Aug 1 2009 	 Great Location Reasonable Price 	 ideal location heart Manhattan . room clean come microwave , coffee pot fridge reasonably price get . short walk Broadway / TIme Square , Central Park ... staff courteous helpful , special mention Louis doorman , friendly helpful make stay pleasant one . 
 Jul 26 2009 	 find ! 	 Belvedere Hotel great . room not large well appoint . room large bathroom . Friend 's room . marble bath . 11th floor . real view , face tall building either . street side traffic / pedestrian noise . staff really courteous helpful . hotel also concierge assist . call front desk extra towel close midnight last night . arrive door w / i 10 minute , offer get we anything else need . luxurious hotel NYC , classy professional . $ 200 night . Located Theater District , couple block Times Square . 
 Jul 21 2009 	 wonderful experience 	 lot research prepare trip NYC . choose Belvedere several reason . location look ideal , value compare hotels convinence kitchenette . take advice reviewer request newly renovate room book . also mention call email confirm reservation . mention upon arrival , tell could upgrade well room high price per night . say , glad stuck deluxe double room . lovely . complaint . clean , large enough , beautifully decorate . use room amenity , hair dryer , room safe , air conditioner , coffeemaker , fridge microwave . everything run perfectly . bed comfortable , view even allow we get peek big ball Times Square . read many complaint elevator . use main one several time day , max . wait 10 minute , . must also add , staff member encounter helpful pleasant . overall aim enjoy New York spend fortune . belvedere perfect choice . would recommend hotel anyone , especially travel shoestring . 
 Jul 15 2009 	 great location quiet friendly . 	 friend recommend hotel location safety . read review idea expect . yes , elevator kind slow , use elevator end hall hardly anyone use almost always go straight . bathroom tiny , big deal except toilet tight wall angle bit avoid cold wall . shower temperature bit unpredictable morning , problem night . mini kitchen area fridge coffee maker , convenient . air conditioner window unit . drawback drape cover night , rig drape around unit feel air . way , drape completely blackout , love rarely find hotel . mattress firm , accustomed , still comfortable . place walk distance many place , hop on / hop grey line around corner . read noisy hotel , disagree . fire department corner , never hear room , also room right beside elevator , never hear well . staff beyond curteous helpful , room service quick good well . 
 Jul 9 2009 	 Satisfying Stay 	 hour research internet choose Belvedere , mainly read review . know go elevator slow , bathroom small location great . check breeze . get room 9th floor . room adequate , yes bathroom small . use service elevator never problem crowd . good feature hotel offer location . away noisy Times Square area somewhat neighborhood feel . 3 block Times Square , Central Park Broadway . Turned eat almost every meal 9th Ave ( Hell 's Kitchen ) . area abundance great restaurant 's 2 block away . belvedere great value . limited amenity . not even know restaurant third day . free internet room would ' ve nice . concierge seem like not want bother . friendly person industry . ask front desk staff question . overall nice experience Belvedere . friend stay Times Square regret almost twice much . back . 
 Jul 6 2009 	 fantastic location - little bit noisy 's part New York . 	 really good location - not eat restaurant - close metro food emporium - small bathroom sufficient . small kitchenette include fridge microwave sink . coffee maker kettle - toaster . reasonable rate . 
